001_00	Ха. Мим.
030_00	Тогда тот, кто уверовал, сказал: «О мой народ! Я боюсь, что вас постигнет нечто подобное дню соумышленников,
031_00	подобное тому, что произошло с народом Нуха (Ноя), адитами, самудянами и теми, которые были после них. Аллах не желает поступать несправедливо с рабами.
032_00	О мой народ! Я боюсь наступления для вас того дня, когда одни будут взывать к другим.
033_00	В тот день вы обратитесь вспять, но никто не защитит вас от Аллаха. Кого Аллах введет в заблуждение, тому не будет наставника.
034_00	Прежде к вам явился с ясными знамениями Йусуф (Иосиф), но вы до сих пор сомневаетесь в том, что он вам принес.
034_01	Когда же он умер, вы сказали: «Аллах не отправит посланника после него». Так Аллах вводит в заблуждение того, кто излишествует и сомневается».
035_00	Препирательство тех, которые оспаривают знамения Аллаха без всякого довода, явившегося к ним, весьма ненавистно Аллаху и верующим.
035_01	Так Аллах накладывает печать на сердце каждого возгордившегося тирана.
036_00	Фараон сказал: «О Хаман! Построй для меня башню. Быть может, я достигну путей,
037_00	путей небесных, и взгляну на Бога Мусы (Моисея). Воистину, я считаю его лжецом».
037_01	Вот так Фараону представилось прекрасным зло его деяний, и он был сбит с пути. А козни Фараона оказались безуспешными.
038_00	Тот, кто уверовал, сказал: «О мой народ! Последуйте за мной, и я поведу вас правильным путем.
039_00	О мой народ! Мирская жизнь - не что иное, как предмет пользования, а Последняя жизнь является Обителью пребывания.
040_00	Тот, кто совершил зло, получит только соответствующее воздаяние.
040_01	А те мужчины и женщины, которые поступали праведно, будучи верующими, войдут в Рай, в котором они будут получать удел без счета.
041_00	О мой народ! Почему я зову вас к спасению, а вы зовете меня в Огонь?
042_00	Вы призываете меня не веровать в Аллаха и приобщать к Нему в сотоварищи то, о чем у меня нет знания. Я же призываю вас к Могущественному, Всепрощающему.
043_00	Нет сомнения в том, что то, к чему вы меня призываете, не заслуживает молитв ни в этом мире, ни в Последней жизни, и что нам предстоит вернуться к Аллаху, и что излишествующие окажутся обитателями Огня.
044_00	Вы вспомните то, о чем я вам говорю. Я вверяю свое дело Аллаху. Воистину, Аллах видит рабов».
045_00	Аллах защитил его от зла того, что они замыслили, а род Фараона окружили (или поразили) скверные мучения -
046_00	Огонь, в который их ввергают утром и после полудня. А в День наступления Часа подвергните род Фараона самым жестоким мучениям!
047_00	Когда они будут препираться друг с другом в Огне, слабые скажут тем, которые превозносились: «Мы следовали за вами. Не избавите ли вы нас от доли Огня?».
048_00	Те, которые превозносились, скажут: «Все мы - в нем. Воистину, Аллах уже рассудил между рабами».
049_00	Те, которые попали в Огонь, скажут стражам Геенны: «Помолитесь вашему Господа, пусть Он облегчит наши мучения хотя бы на день».
050_00	Они скажут: «Разве ваши посланники не приходили к вам с ясными знамениями?». Они ответят: «Конечно». Они скажут: «Тогда молите сами». Но мольбы неверующих безуспешны.
051_00	Воистину, Мы окажем помощь Нашим посланникам и верующим в мирской жизни и в тот день, когда предстанут свидетели.
052_00	В тот день извинения (или оправдания) не помогут беззаконникам. На них лежит проклятие, и им уготована Скверная обитель.
053_00	Мы даровали Мусе (Моисею) верное руководство и дали в наследство сынам Исраила (Израиля) Писание
054_00	как верное руководство и напоминание для обладающих разумом.
055_00	Будь же терпелив, ибо обещание Аллаха истинно. Проси прощения за свой грех и прославляй хвалой своего Господа после полудня и утром.
056_00	Воистину, в сердцах тех, которые препираются относительно знамений Аллаха без всякого довода, явившегося к ним, нет ничего, кроме высокомерия. Они не достигнут этого (своей цели).
056_01	Прибегай же к защите Аллаха. Воистину, Он - Слышащий, Видящий.
057_00	Воистину, сотворение небес и земли есть нечто более великое, чем сотворение людей, но большинство людей не знает этого.
058_00	Не равны слепой и зрячий, а также те, которые уверовали и совершали праведные деяния, и творящие зло. Как же мало вы поминаете назидания!
059_00	Час непременно наступит, и в нем нет сомнения. Однако большинство людей не верует.
060_00	Ваш Господь сказал: «Взывайте ко Мне, и Я отвечу вам. Воистину, те, которые превозносятся над поклонением Мне, войдут в Геенну униженными».
061_00	Аллах - Тот, Кто сотворил для вас ночь, чтобы вы отдыхали в течение нее, и день для освещения. Воистину, Аллах оказывает людям милость, но большинство людей неблагодарны.
062_00	Таков Аллах - ваш Господь, Творец всякой вещи. Нет божества, кроме Него. До чего же вы отвращены от истины!
063_00	Таким же образом отвращаются те, которые отвергают знамения Аллаха.
064_00	Аллах - Тот, Кто сотворил для вас землю местом пребывания, а небо - кровлей. Он придал вам облик и сделал ваш облик прекрасным.
064_01	Он наделил вас благами. Таков Аллах, ваш Господь. Благословен Аллах, Господь миров!
065_00	Он - Живой, и нет божества, кроме Него. Взывайте же к Нему, очищая перед Ним веру. Хвала Аллаху, Господу миров!
066_00	Скажи: «Воистину, мне запрещено поклоняться тем, кого вы призываете помимо Аллаха, с тех пор, как ко мне явились ясные знамения от моего Господа, и мне велено покориться Господу миров».
067_00	Он - Тот, Кто сотворил вас из земли, потом - из капли, потом - из сгустка крови.
067_01	Потом Он выводит вас младенцами, чтобы потом вы могли достигнуть зрелого возраста и чтобы потом вы стали стариками, хотя среди вас есть такие, которых умерщвляют раньше, и чтобы вы достигли назначенного срока. Быть может, вы уразумеете.
068_00	Он - Тот, Кто дарует жизнь и умерщвляет. Когда же Он принимает решение, то стоит Ему сказать: «Будь!». - как это сбывается.
069_00	Разве ты не видел тех, которые препираются относительно знамений Аллаха? До чего же они отвращены от истины?
070_00	Они сочли ложью Писание и то, с чем Мы отправили Наших посланников. Но они узнают,
071_00	когда с оковами на шеях и в цепях их поволокут
072_00	в кипяток, а потом разожгут в Огне.
073_00	Потом им скажут: «Где те, кого вы приобщали в сотоварищи
074_00	к Аллаху?». Они скажут: «Они скрылись от нас. Да и не молились мы раньше никому». Так Аллах вводит в заблуждение неверующих.
075_00	Это вам за то, что вы ликовали на земле без всякого права и превозносились.
076_00	Входите во врата Геенны и пребывайте там вечно. Как же скверна обитель возгордившихся!».
077_00	Будь же терпелив, ибо обещание Аллаха истинно. Мы можем показать тебе часть того, что обещаем им, а можем умертвить тебя до этого. Они все равно будут возвращены к Нам.
078_00	Мы уже отправляли посланников до тебя. Среди них есть такие, о которых Мы рассказали тебе, и такие, о которых Мы не рассказывали тебе.
078_01	Все посланники показывали знамения только с дозволения Аллаха. Когда же явится веление Аллаха, будет вынесен истинный приговор, и там приверженцы лжи окажутся в убытке.
079_00	Аллах - Тот, Кто создал для вас скотину, чтобы на некоторых из них вы ездили верхом, а другими питались.
080_00	Они приносят вам пользу, и на них вы достигаете того, чего желают ваши сердца. На них и на кораблях вас перевозят.
081_00	Он показывает вам Свои знамения. Какие же знамения Аллаха вы отрицаете?
082_00	Разве они не странствовали по земле и не видели, каким был конец их предшественников?
082_01	Они превосходили их числом и силой и оставили больше следов на земле, но не спасло их то, что они приобретали.
083_00	Когда их посланники приходили к ним с ясными знамениями, они радовались тому знанию, которое было у них, и тогда их окружило (или поразило) то, над чем они издевались.
084_00	Когда они узрели Наше наказание, они сказали: «Мы уверовали в Единственного Аллаха и не веруем в тех, кого мы приобщали в сотоварищи к Нему!».
085_00	Но не помогла им вера, когда они увидели Наше наказание. Таким всегда было установление Аллаха для Его рабов. Вот тогда неверующие оказались в убытке.
