001_00	Алиф. Лам. Ра. Это - аяты ясного Писания.
031_01	Да ведь это - не человек. Он - не кто иной, как благородный ангел».
032_00	Она сказала: «Перед вами тот, из-за которого вы меня порицали.
032_01	Я действительно пыталась его соблазнить, но он отказался. Но если он не выполнит мой приказ, то будет заточен в темницу и окажется в числе презренных».
033_00	Он сказал: «Господи! Темница мне милее того, к чему меня призывают. Если Ты не отвратишь от меня их козни, то я уступлю им и окажусь в числе невежд».
034_00	Господь ответил на его мольбу и отвратил от него их козни. Воистину, Он - Слышащий, Знающий.
035_00	Они увидели его доказательства, но после этого все равно решили заточить его на некоторое время.
036_00	Вместе с ним в темницу попали двое юношей. Один из них сказал: «Я видел, что выжимаю виноград».
036_01	Другой сказал: «Я видел, что несу на голове хлеб, который клюют птицы. Поведай нам толкование этого, ибо мы считаем тебя одним из праведников».
037_00	Он сказал: «Не успеют принести еду, которой вас кормят, как еще раньше я растолкую ваши сновидения.
037_01	Это - часть того, чему научил меня мой Господь. Воистину, я отрекся от религии людей, которые не веруют в Аллаха и не признают Последнюю жизнь.
038_00	Я последовал за верой моих отцов Ибрахима (Авраама), Исхака (Исаака) и Йакуба (Иакова).
038_01	Нам не подобает поклоняться никому, кроме Аллаха. Такова милость Аллаха к нам и к человечеству, но большинство людей неблагодарны.
039_00	О мои товарищи по темнице! Множество различных богов лучше или же Аллах, Единственный, Могущественный?
040_00	Помимо Него вы поклоняетесь лишь именам, которые придумали вы и ваши отцы. Аллах не ниспослал о них никакого доказательства.
040_01	Решение принимает только Аллах. Он повелел, чтобы вы не поклонялись никому, кроме Него. Это и есть правая вера, но большая часть людей не знает этого.
041_00	О мои товарищи по темнице!
041_01	Один из вас будет разливать вино для своего господина, а другой будет распят, и птицы будут клевать с его головы. Дело, о котором вы спрашивали, уже предрешено».
042_00	Он попросил того, который, по его предположению, должен был спастись: «Напомни обо мне твоему господину». Но дьявол побудил его позабыть напомнить это его господину (или дьявол побудил Йусуфа забыть помянуть своего Господа), и он пробыл в темнице несколько лет.
043_00	Царь сказал: «Я видел, как семь тощих коров пожирают семерых тучных, а также семь зеленых колосьев и семь высохших.
043_01	О знатные люди! Разъясните мое видение, если вы умеете толковать сны».
044_00	Они сказали: «Это - бессвязные сны! Мы не умеем толковать такие сновидения».
045_00	Но тот из двух людей, который спасся, вдруг вспомнил его спустя много времени и сказал: «Я расскажу вам его толкование, только пошлите меня».
046_00	Он сказал: «О Йусуф (Иосиф)! О правдивый муж!
046_01	Поведай нам о семи тучных коровах, которых пожирают семь тощих, а также о семи зеленых колосьях и семи высохших, чтобы я вернулся к людям. Быть может, они уразумеют».
047_00	Он сказал: «Семь лет подряд вы будете усердно сеять. То, что вы пожнете, оставляйте в колосьях, за исключением небольшого количества, которое вы будете есть.
048_00	Затем наступят семь тяжелых лет, которые поедят то, что вы приготовите для них, кроме небольшого количества, которое вы сбережете.
049_00	Вслед за ними наступит год, когда люди получат обильные дожди и будут выжимать плоды».
050_00	Царь сказал: «Приведите его ко мне!».
050_01	Когда к нему пришел посланец, он сказал: «Возвращайся к своему господину и спроси его, что стало с женщинами, которые порезали себе руки. Воистину, моему Господу известно об их кознях».
051_00	Он сказал: «Что вы скажете о том, как вы пытались соблазнить Йусуфа (Иосифа)?». Они ответили: «Упаси Аллах!
051_01	Мы не знаем о нем ничего плохого». Жена знатного мужа сказала: «Теперь истина прояснилась. Это я пыталась соблазнить его, а он - один из тех, кто говорит правду.
052_00	Я признаюсь в этом для того, чтобы мой муж знал, что я не изменила ему в его отсутствие, и что Аллах не помогает козням изменников.
053_00	Я не оправдываю себя, ведь душа человека повелевает зло, если только мой Господь не проявит к ней милосердия. Воистину, мой Господь - Прощающий, Милосердный».
054_00	Царь сказал: «Приведите его ко мне. Я сделаю его своим приближенным». Побеседовав с ним, он сказал: «Сегодня при нас ты обрел положение и доверие».
055_00	Он сказал: «Назначь меня управлять хранилищами земли, ибо я - знающий хранитель».
056_00	Так Мы наделили Йусуфа (Иосифа) властью на земле. Он мог поселиться там, где желал. Мы одаряем Своей милостью, кого пожелаем, и не теряем вознаграждения творящих добро.
057_00	Воистину, вознаграждение в Последней жизни лучше для тех, которые уверовали и были богобоязненны.
058_00	Братья Йусуфа (Иосифа) прибыли в Египет и явились к нему. Он узнал их, а они его не узнали.
059_00	Снабдив их провизией, он сказал: «Привезите ко мне вашего брата по отцу. Разве вы не убедились, что я сполна наполняю меру и что я - самый гостеприимный из хозяев?
060_00	Если же вы не привезете его ко мне, то я не стану отмеривать вам. И тогда даже не приближайтесь ко мне».
061_00	Они сказали: «Мы постараемся уговорить его отца. Мы непременно сделаем это».
062_00	Он велел своим слугам: «Положите их деньги во вьюки, чтобы они узнали о них, когда возвратятся к своим семьям. Быть может, они вернутся».
063_00	Вернувшись к отцу, они сказали: «Отец наш! Нам не будут больше отмеривать зерно. Отпусти с нами нашего брата, и мы получим свою меру. Воистину, мы будем оберегать его».
064_00	Он сказал: «Неужели я доверю его вам так, как доверил прежде его брата? Аллах охраняет лучше. Он - Милосерднейший из милосердных».
065_00	Когда они развязали свои вьюки, то обнаружили, что их деньги были возвращены им. Они сказали: «Отец наш! Что еще можно пожелать?
065_01	Нам вернули наши деньги. Мы обеспечим пропитанием наши семьи, сбережем нашего брата и получим вдобавок верблюжий вьюк. Эта мера не будет обременительной».
066_00	Он сказал: «Я не отпущу его с вами, пока вы не поклянетесь Аллахом, что непременно вернетесь с ним, если только вы не попадете в окружение».
066_01	Когда же они поклялись ему, он сказал: «Аллах является Попечителем и Хранителем того, что мы сказали».
067_00	Он сказал: «Сыновья мои! Не входите через одни ворота, а войдите через разные.
067_01	Я ничем не смогу помочь вам вопреки воле Аллаха. Решение принимает только Аллах. На Него одного я уповаю, и пусть только на Него уповают уповающие».
068_00	Они вошли так, как им велел отец.
068_01	Он ничем не мог помочь им вопреки воле Аллаха, но таким было желание души Йакуба (Иакова), которое он удовлетворил (или которое было удовлетворено). Воистину, он обладал знанием, поскольку Мы научили его, но большая часть людей не знает этого.
069_00	Когда они вошли к Йусуфу (Иосифу), он прижал к себе своего брата и сказал: «Воистину, я - твой брат. Пусть не печалит тебя то, что они совершали».
070_00	Снабдив их провизией, он положил чашу в мешок своего брата. А затем глашатай закричал: «О караванщики! Вы - воры».
071_00	Повернувшись к ним лицом, братья сказали: «Что вы потеряли?».
072_00	Они сказали: «Мы потеряли чашу царя. Кто принесет ее, получит верблюжий вьюк. Я отвечаю за это».
073_00	Братья сказали: «Клянемся Аллахом! Вы знаете, что мы не прибыли для того, чтобы распространять нечестие. Мы не являемся ворами».
074_00	Они сказали: «Каким же будет возмездие ему, если вы лжете?».
075_00	Братья сказали: «Тот, в чьем вьюке она будет найдена, будет задержан в наказание. Так мы воздаем беззаконникам».
076_00	Он начал с их мешков до того, как обыскал мешок своего брата, а затем вытащил чашу из мешка своего брата.
076_01	Мы научили Йусуфа этой хитрости, ибо по законам царя он не мог задержать своего брата, если бы того не захотел Аллах. Мы возносим по степеням тех, кого пожелаем, и выше любого обладающего знанием есть более знающий.
077_00	Они сказали: «Если он украл, то ведь еще раньше воровал его брат».
077_01	Йусуф (Иосиф) утаил это в своей душе и не открылся им, а только подумал: «Ваше положение еще более отвратительно, и Аллаху лучше знать о том, что вы измышляете».
078_00	Они сказали: «О повелитель! Его отец - многолетний старик. Задержи вместо него кого-либо из нас. Мы видим, что ты - один из творящих добро».
079_00	Он сказал: «Упаси нас Аллах задержать кого-нибудь вместо того, у которого мы нашли нашу вещь. Поступив так, мы стали бы одними из беззаконников».
080_00	Отчаявшись, они уединились для совета, и старший из них сказал: «Помните ли вы о том, что отец заставил нас поклясться Аллахом и что раньше вы неправедно поступили с Йусуфом (Иосифом)?
080_01	Я ни за что не покину этой страны, пока отец не разрешит мне или пока Аллах не примет Свое решение относительно меня.
080_02	Воистину, Он - Наилучший из судий.
081_00	Возвращайтесь к отцу и скажите: "Отец наш! Твой сын украл. Мы свидетельствуем только о том, что знаем, и не ведаем о сокровенном.
082_00	Спроси жителей селения, в котором мы были, и караванщиков, с которыми мы вернулись. Воистину, мы говорим правду"».
083_00	Он сказал: «О нет! Это ваши души ввели вас в соблазн, и лучше проявить терпение. Возможно, Аллах возвратит мне всех вместе. Воистину, Он - Знающий, Мудрый».
084_00	Он отвернулся от них и сказал: «Как жаль Йусуфа (Иосифа)!». И его глаза покрылись бельмами от печали, которую он сдерживал.
085_00	Они сказали: «Клянемся Аллахом, ты не перестанешь поминать Йусуфа (Иосифа), пока не ослабеешь или не умрешь».
086_00	Он сказал: «Мои жалобы и печаль обращены только к Аллаху, и я узнаю от Аллаха то, чего вы не знаете.
087_00	О сыновья мои! Ступайте и разыщите Йусуфа (Иосифа) и его брата и не теряйте надежды на милость Аллаха, ибо отчаиваются в милости Аллаха только люди неверующие».
088_00	Войдя к нему, они сказали: «О повелитель! Нас и наш род поразила беда.
088_01	Мы прибыли с небольшим товаром. Отмерь нам меру сполна и окажи нам милость. Воистину, Аллах вознаграждает творящих добро».
089_00	Он сказал: «Поняли ли вы, как вы поступили с Йусуфом (Иосифом) и его братом, когда были невежественны?».
090_00	Они сказали: «Неужели ты - Йусуф (Иосиф)?». Он сказал: «Я - Йусуф, а это - мой брат.
090_01	Аллах облагодетельствовал нас. Воистину, если кто богобоязнен и терпелив, то ведь Аллах не теряет вознаграждения творящих добро».
091_00	Они сказали: «Клянемся Аллахом! Аллах предпочел тебя нам. Мы же были грешниками».
092_00	Он сказал: «Сегодня я не стану укорять вас. Да простит вас Аллах, ибо Он - Милосерднейший из милосердных.
093_00	Ступайте с моей рубахой и накиньте ее на лицо моего отца, и тогда он прозреет, а потом привезите ко мне всю свою семью».
094_00	Как только караван покинул Египет, их отец сказал: «Воистину, я чувствую запах Йусуфа (Иосифа), если только вы не считаете меня выжившим из ума стариком».
095_00	Они сказали: «Клянемся Аллахом, ты пребываешь в своем старом заблуждении».
096_00	Когда же прибыл добрый вестник, накинул рубаху на его лицо и тот прозрел, он сказал: «Разве я не говорил вам, что мне известно от Аллаха то, чего вы не знаете?».
097_00	Они сказали: «Отец наш! Попроси прощения нашим грехам. Воистину, мы были грешниками».
098_00	Он сказал: «Я попрошу моего Господа простить вас, ведь Он - Прощающий, Милосердный».
099_00	Когда они вошли к Йусуфу (Иосифу), он прижал к себе родителей и сказал: «Входите в Египет без опаски, если этого пожелает Аллах».
100_00	Он поднял своих родителей на трон, и они вместе с братьями пали ниц перед ним. Он сказал: «Отец мой!
100_01	Это - толкование моего давнего сна. Господь мой сделал его явью.
100_02	Он облагодетельствовал меня, освободив из темницы, и привел вас из пустыни после того, как дьявол посеял вражду между мною и моими братьями. Воистину, мой Господь добр, к кому пожелает. Воистину, Он - Знающий, Мудрый.
101_00	Господи! Ты даровал мне власть и научил толковать сновидения.
101_01	Творец небес и земли! Ты - мой Покровитель в этом мире и в Последней жизни. Умертви меня мусульманином и присоедини меня к праведникам».
102_00	Все это - часть повествований о сокровенном, которые Мы ниспосылаем тебе в откровении. Ты не был с ними, когда они вместе принимали решение и строили козни.
103_00	Большая часть людей не уверует, даже если ты страстно будешь желать этого.
104_00	Ты не просишь у них вознаграждения за это, ведь это - только Напоминание для миров.
105_00	Как же много на небесах и на земле знамений, мимо которых они проходят и отворачиваются.
106_00	Большая часть их верует в Аллаха, приобщая к Нему сотоварищей.
107_00	Неужели они не опасаются того, что покрывало наказания Аллаха окутает их или что Час настанет внезапно, когда они об этом и думать не будут?
108_00	Скажи: «Таков мой путь. Я и мои последователи призываем к Аллаху согласно убеждению. Пречист Аллах, и я не являюсь одним из многобожников».
109_00	До тебя Мы направляли посланниками только мужей из селений, которым мы внушали откровение. Разве они не странствовали по земле и не видели, каким был конец тех, которые жили до них?
109_01	Воистину, обитель в Последней жизни лучше для богобоязненных. Неужели они не разумеют?
110_00	Когда же посланники приходили в отчаяние и понимали, что их сочли лжецами, к ним приходила Наша помощь, и спасались те, кого Мы хотели спасти. Наше наказание нельзя отвратить от грешных людей!
111_00	В повествовании о них содержится назидание для обладающих разумом.
111_01	Это - не вымышленный рассказ, а подтверждение тому, что было до него, разъяснение всякой вещи, верное руководство и милость для верующих людей.
