001_00	Алиф. Лам. Мим.
119_01	Когда же остаются одни, то кусают кончики пальцев от злобы к вам. Скажи: «Умрите от своей злобы! Аллаху известно о том, что в груди».
120_00	Если с вами случается доброе, это огорчает их; если же вас постигает беда, они радуются.
120_01	Но если вы будете терпеливы и богобоязненны, то их козни не причинят вам никакого вреда. Воистину, Аллах объемлет все, что они совершают.
121_00	Вот ты покинул свою семью рано утром, чтобы расставить верующих по местам для сражения при Ухуде. Аллах - Слышащий, Знающий.
122_00	Когда два отряда среди вас готовы были пасть духом, Аллах был их Покровителем. Пусть же на Аллаха уповают верующие!
123_00	Аллах уже оказал вам поддержку при Бадре, когда вы были слабы. Бойтесь же Аллаха, - быть может, вы будете благодарны.
124_00	Вот ты сказал верующим: «Разве вам не достаточно того, что ваш Господь ниспосылает вам в помощь три тысячи ангелов?».
125_00	Конечно, да! Если же вы будете терпеливы и богобоязненны, и если враги нападут на вас прямо сейчас, то ваш Господь поможет вам пятью тысячами меченых ангелов.
126_00	Аллах сделал это всего лишь благой вестью для вас и сделал это, чтобы ваши сердца утешились благодаря этому, поскольку победа приходит только от Могущественного и Мудрого Аллаха,
127_00	и дабы отсечь от неверующих одну часть или разгромить их так, чтобы они вернулись разочарованными.
128_00	Ты не принимаешь никакого решения. Аллах же либо примет их покаяния, либо накажет их, ведь они являются беззаконниками.
129_00	Аллаху принадлежит то, что на небесах, и то, что на земле. Он прощает, кого пожелает, и подвергает мучениям, кого пожелает. Аллах - Прощающий, Милосердный.
130_00	О те, которые уверовали! Не пожирайте лихву в многократно умноженном размере и бойтесь Аллаха, - быть может, вы преуспеете.
131_00	Бойтесь Огня, который уготован неверующим.
132_00	Повинуйтесь Аллаху и Посланнику, - быть может, вы будете помилованы.
133_00	Стремитесь к прощению вашего Господа и Раю, ширина которого равна небесам и земле, уготованному для богобоязненных,
134_00	которые делают пожертвования в радости и в горе, сдерживают гнев и прощают людей. Воистину, Аллах любит творящих добро.
135_00	Тем же, которые, совершив мерзкий поступок или несправедливо поступив против самих себя, помянули Аллаха и попросили прощения за свои грехи, - ведь кто прощает грехи, кроме Аллаха?
135_01	- и тем, которые сознательно не упорствуют в том, что они совершили,
136_00	воздаянием будут прощение от их Господа и Райские сады, в которых текут реки и в которых они пребудут вечно. Как же прекрасно воздаяние тружеников!
137_00	До вас также случалось подобное (люди подвергались искушению, подобному тому, которому верующие подверглись во время сражения при Ухуде). Постранствуйте по земле и посмотрите, каким был конец тех, кто считал лжецами посланников.
138_00	Это есть разъяснение людям, верное руководство и увещевание для богобоязненных.
139_00	Не слабейте и не печальтесь, в то время как вы будете на высоте, если вы действительно являетесь верующими.
140_00	Если вам нанесена рана, то ведь подобная рана уже была нанесена и тем людям.
140_01	Мы чередуем дни (счастье и несчастье) для людей, чтобы Аллах узнал уверовавших и избрал среди вас павших мучеников, ведь Аллах не любит беззаконников,
141_00	и чтобы Аллах очистил тех, которые уверовали, и уничтожил неверующих.
142_00	Или вы полагали, что войдете в Рай, пока Аллах не узнал тех из вас, кто сражался и кто был терпелив?
143_00	Вы действительно желали смерти, пока не встретились с ней. Теперь вы увидели ее воочию.
144_00	Мухаммад является всего лишь Посланником. До него тоже были посланники.
144_01	Неужели, если он умрет или будет убит, вы обратитесь вспять? Кто обратится вспять, тот ничуть не навредит Аллаху. Аллах же вознаградит благодарных.
145_00	Ни одна душа не умирает, кроме как с дозволения Аллаха, в предписанный срок.
145_01	Тому, кто желает вознаграждения в этом мире, Мы дадим его, и тому, кто желает вознаграждения в Последней жизни, Мы дадим его. Мы вознаградим благодарных.
146_00	Сколько было пророков, рядом с которыми сражалось много набожных верующих!
146_01	Они не пали духом оттого, что постигло их на пути Аллаха, не проявили слабости и не смирились. Ведь Аллах любит терпеливых.
147_00	Они не произносили ничего, кроме слов: «Господь наш! Прости нам наши грехи и излишества, которые мы допустили в нашем деле, утверди наши стопы и даруй нам победу над людьми неверующими».
148_00	Аллах даровал им вознаграждение в этом мире и прекрасное вознаграждение в Последней жизни. Ведь Аллах любит творящих добро.
149_00	О те, которые уверовали! Если вы подчинитесь неверующим, то они обратят вас вспять, и вы вернетесь потерпевшими убыток.
150_00	О нет! Аллах является вашим Покровителем. Он - Наилучший из помощников.
151_00	Мы вселим ужас в сердца неверующих за то, что они приобщали к Аллаху сотоварищей, о которых Он не ниспослал никакого доказательства. Их пристанищем будет Огонь. Как же скверна обитель беззаконников!
152_00	Аллах исполнил данное вам обещание, когда вы уничтожали их с Его дозволения, пока вы не пали духом, не стали спорить относительно приказа и не ослушались после того, как Он показал вам то, что вы любите.
152_01	Среди вас есть такие, которые желают этот мир, и такие, которые желают Последнюю жизнь.
152_02	После этого Он заставил вас бежать от них, чтобы испытать вас. Он уже простил вас, ведь Аллах оказывает милость к верующим.
153_00	Вот вы бросились бежать, не оглядываясь друг на друга, тогда как Посланник призывал вас, находясь в последних (ближайших к противнику) рядах, и Аллах воздал вам печалью за печаль, чтобы вы не скорбели о том, что было вами упущено, и о том, что поразило вас.
153_01	Аллаху известно о том, что вы совершаете.
154_00	После печали Он ниспослал вам успокоение - дремоту, охватившую некоторых из вас.
154_01	Другие же были озабочены размышлениями о себе.
154_02	Они несправедливо думали об Аллахе, как это делали во времена невежества, говоря: «Могли ли мы сами принять какое-нибудь решение (или получим ли мы что-нибудь от этого дела)?».
154_03	Скажи: «Дела (или решения) целиком принадлежат Аллаху».
154_04	Они скрывают в своих душах то, чего не открывают тебе, говоря: «Если бы мы сами могли принять какое-нибудь решение (или если бы мы чтонибудь получили от этого дела), то не были бы убиты здесь». Скажи: «Даже если бы вы остались в своих домах, то те, кому была предначертана гибель, непременно вышли бы к месту, где им суждено было полечь, и Аллах испытал бы то, что в вашей груди, и очистил бы то, что в ваших сердцах. Аллаху известно о том, что в груди».
155_00	Тех из вас, которые повернули назад в тот день, когда встретились два войска при Ухуде, дьявол заставил поскользнуться по причине некоторых их поступков.
155_01	Аллах уже простил их, ведь Аллах - Прощающий, Выдержанный.
156_00	О те, которые уверовали!
156_01	Не будьте похожи на неверующих, которые сказали о своих братьях, когда они странствовали по земле или участвовали в походе: «Если бы они были рядом с нами, то не умерли бы и не были бы убиты», - дабы Аллах сделал это причиной скорби в их сердцах. Аллах оживляет и умерщвляет, и Аллах видит то, что вы совершаете.
157_00	Если вы будете убиты на пути Аллаха или умрете, то прощение от Аллаха и милость окажутся лучше того, что они накапливают.
158_00	Если вы умрете или будете убиты, то вы непременно будете собраны к Аллаху.
159_00	По милости Аллаха ты был мягок по отношению к ним. А ведь если бы ты был грубым и жестокосердным, то они непременно покинули бы тебя.
159_01	Прости же их, попроси для них прощения и советуйся с ними о делах. Когда же ты примешь решение, то уповай на Аллаха, ведь Аллах любит уповающих.
160_00	Если Аллах окажет вам поддержку, то никто не одолеет вас. Если же Он лишит вас поддержки, то кто же поможет вам вместо Него? Пусть же на Аллаха уповают верующие.
161_00	Пророку не подобает незаконно присваивать трофеи. Тот, кто незаконно присваивает трофеи, придет в День воскресения с тем, что он присвоил. Затем каждая душа сполна получит то, что она заработала, и с ними не поступят несправедливо.
162_00	Разве тот, кто последовал за довольством Аллаха, подобен тому, кто привел в ярость Аллаха и чьим пристанищем будет Геенна?! Как же скверно это место прибытия!
163_00	Они займут разные ступени перед Аллахом, ведь Аллах видит то, что они совершают.
164_00	Аллах уже оказал милость верующим, когда отправил к ним Пророка из них самих, который читает им
164_01	Его аяты, очищает их и обучает их Писанию и мудрости, хотя прежде они находились в очевидном заблуждении.
165_00	Когда несчастье постигло вас после того, как вы причинили вдвое большее несчастье, вы сказали: «Откуда все это?». Скажи: «От вас самих». Воистину, Аллах способен на всякую вещь.
166_00	То, что постигло вас в тот день, когда встретились две армии при Ухуде, произошло с дозволения Аллаха для того, чтобы Он узнал верующих
167_00	и узнал лицемеров. Им было сказано: «Придите и сразитесь на пути Аллаха или хотя бы защитите самих себя».
167_01	Они сказали: «Если бы мы знали, что сражение состоится, то мы непременно последовали бы за вами». В тот день они были ближе к неверию, чем к вере. Они произносят своими устами то, чего нет в их сердцах, но Аллаху лучше знать о том, что они утаивают.
168_00	Они сказали своим братьям, отсиживаясь дома: «Если бы они послушались нас, то не были бы убиты». Скажи: «Отвратите смерть от себя, если вы говорите правду».
169_00	Никоим образом не считай мертвыми тех, которые были убиты на пути Аллаха. Нет, они живы и получают удел у своего Господа,
