001_00	Alif-Lam-Ra. Dies sind die Zeichen des weisen Buches.
023_01	(Es ist doch nur) der Genuß des diesseitigen Lebens. Hierauf wird eure Rückkehr zu Uns sein, und Wir werden euch kundtun, was ihr zu tun pflegtet.
024_00	Das Gleichnis des diesseitigen Lebens ist nur wie Wasser, das Wir vom Himmel hinabsenden, worauf das Gewächs der Erde, von dem die Menschen und das Vieh verzehren, sich damit vermischt,
024_01	bis dann, wenn die Erde ihren Prunk angenommen hat und sich geschmückt hat und ihre Bewohner meinen, daß sie Macht über sie hätten, kommt Unser Befehl über sie" bei Nacht
024_02	oder bei Tag, und da lassen Wir sie abgemäht sein, als ob sie am Tag zuvor nicht in Blüte gestanden hätte. So legen Wir die Zeichen ausführlich dar für Leute, die nachdenken.
025_00	Allah lädt zur Wohnstätte des Friedens ein und leitet, wen Er will, zu einem geraden Weg.
026_00	Für diejenigen, die Gutes tun, gibt es das Beste (an Lohn) und noch mehr. Ihre Gesichter werden weder von Dunkelheit noch Erniedrigung bedeckt. Das sind die Insassen des (Paradies)gartens; ewig werden sie darin bleiben.
027_00	Für diejenigen aber, die böse Taten erwerben, ist der Lohn einer bösen Tat ein Gleiches, und Erniedrigung wird sie bedecken - sie haben vor Allah nichts, das sie schützen könnte -, als ob ihre Gesichter von Stücken finsterer Nacht überdeckt wären.
027_01	Das sind die Insassen des (Höllen)feuers; ewig werden sie darin bleiben.
028_00	Und am Tag, da Wir sie alle versammeln, und dann werden Wir zu denen, die (Allah etwas) beigesellt haben, sagen: "(Bleibt) an eurem Platz, ihr und eure Teilhaber!" Wir trennen sie dann voneinander.
028_01	Ihre Teilhaber sagen: "Nicht uns habt ihr gedient.
029_00	Allah genügt als Zeuge zwischen uns und euch. Wir waren gegenüber eurem Dienst (an uns) fürwahr unachtsam."
030_00	Dort wird jede Seele über das, was sie früher getan hat, nachgeprüft. Und sie werden zu Allah, ihrem wahren Schutzherrn, zurückgebracht, und entschwunden ist ihnen (dann), was sie zu ersinnen pflegten.
031_00	Sag: Wer versorgt euch vom Himmel und von der Erde, oder wer verfügt über Gehör und Augenlicht? Und wer bringt das Lebendige aus dem Toten und bringt das Tote aus dem Lebendigen hervor?
031_01	Und wer regelt die Angelegenheit? Sie werden sagen: "Allah." Sag: Wollt ihr denn nicht gottesfürchtig sein?
032_00	Dies ist doch Allah, euer wahrer Herr. Was gibt es denn über die Wahrheit hinaus außer dem Irrtum? Wie laßt ihr euch also abwenden?
033_00	So hat sich das Wort deines Herrn bewahrheitet gegen die, die freveln, weil sie nicht glauben.
034_00	Sag: Ist unter euren Teilhabern jemand, der die Schöpfung am Anfang macht und sie hierauf wiederholt? Sag: Allah macht die Schöpfung am Anfang und wiederholt sie hierauf. Wie laßt ihr euch also abwendig machen?
035_00	Sag: Ist unter euren Teilhabern jemand, der zur Wahrheit leitet? Sag: Allah leitet zur Wahrheit.
035_01	Hat jemand, der zur Wahrheit leitet, ein größeres Anrecht darauf, daß man ihm folgt, oder jemand, der nur (dann) die Rechtleitung findet, wenn er (selbst) rechtgeleitet wird? Was ist denn mit euch? Wie urteilt ihr?
036_00	Und die meisten von ihnen folgen nur Mutmaßungen. Aber Mutmaßungen nützen nichts gegenüber der Wahrheit. Gewiß, Allah weiß Bescheid über das, was sie tun.
037_00	Dieser Qur'an kann unmöglich ohne Allah ersonnen werden. Sondern (er ist) die Bestätigung dessen, was vor ihm war, und die ausführliche Darlegung des Buches, an dem es keinen Zweifel gibt, vom Herrn der Weltenbewohner.
038_00	Oder sagen sie: "Er hat ihn ersonnen" Sag: Dann bringt eine Sura bei, die ihm gleich ist, und ruft an, wen ihr könnt, anstatt Allahs, wenn ihr wahrhaftig seid.
039_00	"Nein! Vielmehr erklären sie das für Lüge, wovon sie kein umfassendes Wissen haben, und schon bevor seine Deutung zu ihnen gekommen ist. So haben es auch diejenigen, die vor ihnen waren, für Lüge erklärt. Schau, wie das Ende der Ungerechten war!
040_00	Und unter ihnen gibt es manche, die an ihn glauben, und unter ihnen gibt es manche, die nicht an ihn glauben. Dein Herr weiß sehr wohl über die Unheilstifter Bescheid.
041_00	Und wenn sie dich der Lüge bezichtigen, dann sag: Für mich ist mein Tun, und für euch ist euer Tun. Ihr seid unschuldig an dem, was ich tue; und ich bin unschuldig an dem, was ihr tut.
042_00	Und unter ihnen gibt manche, die dir zuhören. Kannst du aber die Tauben hören lassen, auch wenn sie nicht begreifen (wollen)?
043_00	Und unter ihnen gibt es manche, die auf dich schauen. Kannst du aber die Blinden rechtleiten, auch wenn sie nicht sehen?
044_00	Gewiß, Allah fügt den Menschen kein Unrecht zu, sondern die Menschen fügen sich selbst Unrecht zu.
045_00	Und an dem Tag, da Er sie versammelt', wird (ihnen) sein, als ob sie nur eine Stunde vom Tag verweilt hätten, und sie erkennen einander wieder.
045_01	Verloren sind dann diejenigen, die die Begegnung mit Allah für Lüge erklärten und nicht rechtgeleitet waren.
046_00	Ob Wir dich nun einen Teil dessen, was Wir ihnen androhen, sehen lassen oder dich (vorher) abberufen, zu Uns wird (auf jeden Fall) ihre Rückkehr sein. Hierauf ist Allah Zeuge über das, was sie tun.
047_00	Jede Gemeinschaft hat einen Gesandten. Wenn nun ihr Gesandter kommt, wird zwischen ihnen in Gerechtigkeit entschieden, und es wird ihnen kein Unrecht zugefügt.
048_00	Und sie sagen: "Wann wird dieses Versprechen eintreten, wenn ihr wahrhaftig seid?"
049_00	Sag: Ich vermag mir selbst weder Schaden noch Nutzen (zu bringen), außer was Allah will.
049_01	Jede Gemeinschaft hat eine (festgesetzte) Frist. Und wenn ihre Frist kommt, können sie (sie) weder um eine Stunde hinausschieben noch vorverlegen.
050_00	Sag: Was meint ihr, wenn Seine Strafe bei Nacht oder bei Tag (über) euch kommt, was werden die Übeltäter davon vorzuverlegen wünschen?
051_00	Werdet ihr dann, wenn sie hereinbricht, daran glauben? Wie, erst jetzt, und dabei habt ihr sie doch vorzuverlegen gewünscht?
052_00	Dann wird zu denen, die Unrecht getan haben, gesagt werden: "Kostet die ewige Strafe! Wird euch denn etwas anderes vergolten als das, was ihr verdient habt?"
053_00	Und sie erkundigen sich bei dir: "Ist es wahr?" Sag: Ja, bei meinem Herrn! Es ist bestimmt wahr, und ihr werdet euch (Ihm) nicht entziehen können.
054_00	Und wenn jede Seele, die Unrecht getan hat, das besäße, was auf der Erde ist, würde sie sich wahrlich damit loskaufen.
054_01	Sie halten Reue geheim, wenn sie die Strafe sehen. Und es wird in Gerechtigkeit zwischen ihnen entschieden, und es wird ihnen kein Unrecht zugefügt.
055_00	Sicherlich, Allah gehört (alles), was in den Himmeln und auf der Erde ist. Sicherlich, Allahs Versprechen ist wahr. Aber die meisten von ihnen wissen nicht.
056_00	Er macht lebendig und läßt sterben. Und zu Ihm werdet ihr zurückgebracht.
057_00	O ihr Menschen, zu euch ist nunmehr eine Ermahnung von eurem Herrn gekommen und eine Heilung für das, was in den Brüsten ist, eine Rechtleitung und Barmherzigkeit für die Gläubigen.
058_00	Sag: Über die Huld Allahs und über Seine Barmherzigkeit, ja darüber sollen sie froh sein. Das ist besser als das, was sie zusammentragen.
059_00	Sag: Was meint ihr zu dem, was Allah für euch an Versorgung herabgesandt hat und was ihr dann als Verbotenes und Erlaubtes festgelegt habt, - sag: Hat Allah es euch tatsächlich erlaubt, oder ersinnt ihr etwas gegen Allah?
060_00	Was wird die Meinung derer, die gegen Allah Lügen ersinnen, am Tag der Auferstehung sein? Allah ist wahrlich voll Huld gegen die Menschen. Aber die meisten von ihnen sind nicht dankbar.
061_00	Und mit keiner Angelegenheit befaßt Du dich, und nichts verliest du davon an Qur'an, und keine Tat vollbringt ihr, ohne daß Wir über euch Zeugen sind, wenn ihr euch (ausgiebig) darüber auslaßt.
061_01	Und es entgeht deinem Herrn nicht das Gewicht eines Stäubchens, weder auf der Erde noch im Himmel, und nichts Kleineres als dies oder Größeres; (es gibt) nichts, das nicht in einem deutlichen Buch (verzeichnet) wäre.
062_00	Sicherlich, über Allahs Gefolgsleute soll keine Furcht kommen, noch sollen sie traurig sein,
063_00	diejenigen, die glauben und gottesfürchtig sind.
064_00	Für sie ist die frohe Botschaft im diesseitigen Leben und im Jenseits. Keine Abänderung gibt es für die Worte Allahs. Das ist der großartige Erfolg.
065_00	Ihre Worte sollen dich nicht traurig machen. Gewiß, alle Macht gehört Allah. Er ist der Allhörende und Allwissende.
066_00	Sicherlich, Allah gehört, wer in den Himmeln und wer auf der Erde ist.
066_01	Es folgen diejenigen, die anstatt Allahs Teilhaber anrufen (ihren falschen Göttern); sie folgen nur Mutmaßungen, und sie stellen nur Schätzungen an.
067_00	Er ist es, Der euch die Nacht gemacht hat, damit ihr in ihr ruht, und den Tag hell'. Darin sind wahrlich Zeichen für Leute, die hören.
068_00	Sie sagen: "Allah hat Sich Kinder genommen." Preis sei Ihm! Er ist der Unbedürftige.
068_01	Ihm gehört, was in den Himmeln und was auf der Erde ist. Keine Ermächtigung habt ihr dafür. Wollt ihr über Allah etwas sagen, was ihr nicht wißt?
069_00	Sag: Gewiß, denjenigen, die gegen Allah Lügen ersinnen, wird es nicht wohl ergehen.
070_00	(Für sie ist) im Diesseits Nießbrauch, hierauf wird ihre Rückkehr zu Uns sein. Hierauf lassen Wir sie die strenge Strafe kosten dafür, daß sie ungläubig waren.
071_00	Und verlies ihnen die Kunde von Nuh, als er zu seinem Volk sagte: "O mein Volk, wenn euch mein Stand (unter euch) und meine Ermahnung mit Allahs Zeichen schwer ankommt, so verlasse ich mich auf Allah.
071_01	So einigt euch über eure Angelegenheit, ihr und eure Teilhaber, und (der Entschluß in) eure(r) Angelegenheit soll für euch nicht unklar sein; hierauf führt (ihn) an mir aus und gewährt mir keinen Aufschub.
072_00	Doch wenn ihr euch abkehrt, so habe ich von euch keinen Lohn verlangt. Mein Lohn obliegt nur Allah. Und mir ist befohlen worden, einer der (Allah) Ergebenen zu sein ."
073_00	Sie bezichtigten ihn aber der Lüge. Da erretteten Wir ihn und diejenigen, die mit ihm waren, im Schiff.
073_01	Und Wir machten sie zu Nachfolgern und ließen diejenigen ertrinken, die Unsere Zeichen für Lüge erklärten. So schau, wie das Ende der Gewarnten war!
074_00	Hierauf schickten Wir nach ihm Gesandte zu ihrem (jeweiligen) Volk; sie kamen mit den klaren Beweisen zu ihnen.
074_01	Aber sie waren nicht bereit, an das zu glauben, was sie zuvor für Lüge erklärt hatten. So versiegeln Wir die Herzen der Übertreter.
075_00	Hierauf schickten Wir nach ihnen Musa und Harun mit Unseren Zeichen zu Fir'aun und seiner führenden Schar, aber sie verhielten sich hochmütig und waren ein Volk von Übeltätern.
076_00	Als nun die Wahrheit von Uns zu ihnen kam, sagten sie: "Das ist wahrlich deutliche Zauberei."
077_00	Musa sagte: "Sagt ihr denn von der Wahrheit, nachdem sie zu euch gekommen ist: ,Ist das etwa Zauberei? Aber den Zauberern wird es nicht wohl ergehen."
078_00	Sie sagten: "Bist du zu uns gekommen, um uns von dem abzubringen, worin wir unsere Väter (vor)gefunden haben, und damit euch beiden die Oberhoheit im Land werde? Wir werden euretwegen nicht gläubig werden.
079_00	Und Fir'aun sagte: "Bringt mir jeden kenntnisreichen Zauberer herbei!"
080_00	Als die Zauberer kamen, sagte Musa zu ihnen: "Werft hin, was ihr zu werfen habt."
081_00	Als sie geworfen hatten, sagte Musa: "Was ihr vorgebracht habt, ist Zauberei. Allah wird sie zunichte machen. Gewiß, Allah läßt das Tun der Unheilstifter nicht als gut gelten.
082_00	Allah bestätigt die Wahrheit mit Seinen Worten, auch wenn es den Übeltätern zuwider ist."
083_00	Aber es glaubten Musa nur junge Leute aus seinem Volk, trotz ihrer Furcht vor Fir'aun und ihrer führenden Schar, davor, daß er sie verfolgen würde.
083_01	Fir'aun war ja überheblich im Land und gehörte wahrlich zu den Maßlosen.
084_00	Und Musa sagte: "O mein Volk, wenn ihr wirklich an Allah glaubt, dann verlaßt euch auf Ihn, wenn ihr (Ihm) Ergebene seid."
085_00	Sie sagten: "Auf Allah verlassen wir uns. Unser Herr, mache uns nicht zu einer Versuchung für das ungerechte Volk,
086_00	und errette uns durch Deine Barmherzigkeit von dem ungläubigen Volk!"
087_00	Und Wir gaben Musa und seinem Bruder ein: "Weiset eurem Volk in Ägypten Häuser zu und macht eure Häuser zu Gebetsstätten und verrichtet das Gebet. Und verkünde den Gläubigen frohe Botschaft."
088_00	Und Musa sagte: "Unser Herr, Du hast ja Fir'aun und seiner führenden Schar im diesseitigen Leben Pracht und Besitz gegeben, unser Herr, damit sie (andere) von Deinem Weg in die Irre fuhren.
088_01	Unser Herr, lösche ihren Besitz aus und schnüre ihre Herzen fest, so daß sie nicht glauben, bis sie die schmerzhafte Strafe sehen!"
089_00	Er sagte: "Eure beider Anrufung ist erhört. So verhaltet euch recht und folgt ja nicht dem Weg derjenigen, die nicht Bescheid wissen."
090_00	Und Wir ließen die Kinder Isra'ils das Meer durchschreiten.
090_01	Da verfolgten sie Fir'aun und seine Heerscharen in Auflehnung und Übertretung, bis daß, als er vom Ertrinken erfaßt wurde, er sagte: "Ich glaube, daß es keinen Gott gibt außer dem, an den die Kinder Isra'ils glauben. Und ich gehöre (nun) zu den (Allah) Ergebenen."
091_00	"Aber jetzt erst! Wo du dich doch zuvor widersetztest und zu den Unheilstiftern gehörtest?
092_00	Heute wollen Wir dich mit deinem Leib erretten', damit du für diejenigen, die nach dir kommen, ein Zeichen seiest." Und viele von den Menschen sind gegenüber Unseren Zeichen wahrlich unachtsam.
093_00	Und Wir wiesen den Kindern Isra'ils einen wahrhaftigen Aufenthaltsort zu und versorgten sie von den guten Dingen.
093_01	Sie wurden aber nicht (eher) uneinig, bis das Wissen zu ihnen gekommen war. Gewiß, dein Herr wird am Tag der Auferstehung zwischen ihnen über das entscheiden, worüber sie uneinig zu sein pflegten.
094_00	Wenn du über das, was Wir zu dir (als Offenbarung) hinabgesandt haben, im Zweifel bist, dann frag diejenigen, die vor dir die Schrift lesen.
094_01	Dir ist ja die Wahrheit von deinem Herrn zugekommen, so gehöre nun nicht zu den Zweiflern,
095_00	und gehöre auch nicht zu denen, die Allahs Zeichen für Lüge erklären, sonst wirst du zu den Verlierern gehören.
096_00	Diejenigen,gegen die sich das Wort deines Herrn bewahrheitet hat, glauben nicht -,
097_00	auch wenn jedes Zeichen zu ihnen käme -, bis sie die schmerzhafte Strafe sehen.
098_00	Wenn doch (irgend)eine Stadt geglaubt hätte, so daß ihr Glaube ihr genützt hätte! (Keine tat es), außer dem Volk des Yunus. Als diese glaubten, hoben Wir die schändliche Strafe im diesseitigen Leben von ihnen auf und gewährten ihnen Nießbrauch auf Zeit.
099_00	Und wenn dein Herr wollte, würden fürwahr alle auf der Erde zusammen gläubig werden. Willst du etwa die Menschen dazu zwingen, gläubig zu werden?
100_00	Keiner Seele ist es möglich zu glauben, außer mit Allahs Erlaubnis. Und Er legt den Greuel auf diejenigen, die nicht begreifen.
101_00	Sag: Schaut, was in den Himmeln und auf der Erde ist! Aber die Zeichen und die Warnungen werden den Leuten, die nicht glauben, nicht nützen.
102_00	Haben sie denn etwas anderes zu erwarten, als was den Tagen derer gleicht, die vor ihnen dahingegangen sind? Sag: So wartet ab! Ich bin mit euch einer von denen, die abwarten.
103_00	Dann werden Wir Unsere Gesandten und diejenigen, die glauben, erretten. So ist es Uns eine Pflicht: Wir retten die Gläubigen.
104_00	Sag: O ihr Menschen, wenn ihr über meine Religion im Zweifel seid, so diene ich nicht denjenigen, denen ihr anstatt Allahs dient, sondern ich diene Allah, Der euch abberuft.
104_01	Und mir ist befohlen worden, einer der Gläubigen zu sein.
105_00	Und: Richte dein Gesicht aufrichtig zur Religion hin als Anhänger des rechten Glaubens, und gehöre ja nicht zu den Götzendienern!
106_00	Und rufe nicht außer Allah an, was dir weder nützt noch schadet! Wenn du es tust, dann gehörst du folglich zu den Ungerechten.
107_00	Wenn Allah dir Unheil widerfahren läßt, so kann es keiner hinwegnehmen außer Ihm. Und wenn Er für dich etwas Gutes will, so kann keiner Seine Huld zurückweisen.
107_01	Er trifft damit, wen Er will von Seinen Dienern. Er ist der Allvergebende und Barmherzige.
108_00	Sag: O ihr Menschen! Zu euch ist nunmehr die Wahrheit von eurem Herrn gekommen.
108_01	Wer sich rechtleiten läßt, der ist nur zu seinem eigenen Vorteil rechtgeleitet. Und wer irregeht, der geht nur zu seinem Nachteil irre. Und ich bin nicht euer Sachwalter.
109_00	Und folge dem, was dir (als Offenbarung) eingegeben wird, und gedulde dich, bis Allah richtet! Er ist der Beste derer, die richten.
