001_00	Gewiß, Wir haben dir einen deutlichen Sieg verliehen,
016_01	Wenn ihr gehorcht, gibt Allah euch schönen Lohn; wenn ihr euch jedoch abkehrt, wie ihr euch zuvor abgekehrt habt, wird Er euch mit schmerzhafter Strafe strafen."
017_00	Keinen Grund zur Bedrängnis gibt es für den Blinden, und keinen Grund zur Bedrängnis gibt es für den Hinkenden, und keinen Grund zur Bedrängnis gibt es für den Kranken.
017_01	Wer Allah und Seinem Gesandten gehorcht, den wird Er in Gärten eingehen lassen, durcheilt von Bächen. Wer sich jedoch abkehrt, den straft Er mit schmerzhafter Strafe.
018_00	Allah hatte ja Wohlgefallen an den Gläubigen, als sie dir unter dem Baum den Treueid leisteten. Er wußte, was in ihren Herzen war, und da sandte Er die innere Ruhe auf sie herab und belohnte sie mit einem nahen Sieg
019_00	und viel Beute, die sie machen werden. Und Allah ist Allmächtig und Allweise.
020_00	Allah hat euch versprochen, daß ihr viel Beute machen werdet.
020_01	So hat Er euch diese schnell gewährt und die Hände der Menschen von euch zurückgehalten, und (dies,) damit es ein Zeichen für die Gläubigen sei und Er euch einen geraden Weg leite.
021_00	Auch eine andere (Beute), die ihr (noch) nicht zu erlangen vermochtet, hat Allah bereits umfangen. Allah hat zu allem die Macht.
022_00	Und wenn diejenigen, die ungläubig sind, gegen euch gekämpft hätten, hätten sie (euch) wahrlich den Rücken gekehrt. Hierauf finden sie weder Schutzherrn noch Helfer.
023_00	(So war) Allahs Gesetzmäßigkeit, die bereits zuvor ergangen war. Und du wirst in Allahs Gesetzmäßigkeit keine Änderung finden.
024_00	Und Er ist es, Der im Talgrund von Makka ihre Hände von euch und eure Hände von ihnen zurückgehalten hat, nachdem Er euch den Sieg über sie verliehen hatte. Und Allah sieht, was ihr tut, wohl.
025_00	Sie sind es, die ungläubig gewesen sind und euch von der geschützten Gebetsstätte abgehalten und die Opfertiere aufgehalten haben, daß sie (nicht) ihren Schlachtort erreichen.
025_01	Und wenn es (dort) nicht gläubige Männer und gläubige Frauen gegeben hätte, die ihr nicht kanntet, und damit ihr sie nicht niedertretet und damit euch nicht dadurch Schande ohne Wissen trifft, (haben Wir ..?.
025_02	Dies,) damit Allah in Seine Barmherzigkeit eingehen läßt, wen Er will. Wenn diese sich (von den Un gläubigen) deutlich getrennt hätten, hätten Wir diejenigen von ihnen, die ungläubig sind, wahrlich mit schmerzhafter Strafe gestraft.
026_00	Als diejenigen, die ungläubig waren, in ihren Herzen die Hitzigkeit entfachten, die Hitzigkeit der Unwissenheit -, da sandte Allah Seine innere Ruhe auf Seinen Gesandten und auf die Gläubigen herab und ließ sie an dem Wort der Gottesfurcht festhalten.
026_01	Sie hatten ja ein größeres Anrecht darauf und waren dessen würdig. Und Allah weiß über alles Bescheid.
027_00	Allah hat ja Seinem Gesandten das Traumgesicht der Wahrheit entsprechend wahr gemacht: Ihr werdet ganz gewiß, wenn Allah will, die geschützte Gebetsstätte in Sicherheit betreten, sowohl mit geschorenem Kopf als auch (mit) gekürztem Haar), und ohne euch zu fürchten.
027_01	Er wußte doch, was ihr nicht wußtet, und so be stimmte Er (für euch) vorher einen nahen Sieg.
028_00	Er ist es, Der Seinen Gesandten mit der Rechtleitung und der Religion der Wahrheit gesandt hat, um ihr die Oberhand über alle Religion zu geben. Und Allah genügt als Zeuge.
029_00	Muhammad ist Allahs Gesandter. Und diejenigen, die mit ihm sind, sind den Ungläubigen gegenüber hart, zueinander aber barmherzig.
029_01	Du siehst sie sich verbeugen und niederwerfen, indem sie nach Huld von Allah und Wohlgefallen trachten. Ihr Merkmal steht auf ihren Gesichtern durch die Niederwerfung.
029_02	Das ist ihr Gleichnis in der Tora. Und ihr Gleichnis im Evangelium ist das eines Getreidefeldes, das seine Triebe hervorbringt und dann stärker werden läßt, so daß sie verdicken und ebenmäßig auf ihren Halmen stehen, so daß es den Anbauern gefällt.
029_03	(Dies,) damit Er die Ungläubigen durch sie ergrimmen lasse. Allah hat denjenigen von ihnen, die glauben und rechtschaffene Werke tun, Vergebung und großartigen Lohn versprochen.
