001_00	Denjenigen, die ungläubig sind und von Allahs Weg abhalten, läßt Er ihre Werke fehlgehen.
030_00	Und wenn Wir wollten, würden Wir sie dir fürwahr zeigen, und so würdest du sie sicher an ihrem Merkmal erkennen. Und du wirst sie ganz gewiß an ihrer schiefen Sprache erkennen. Und Allah weiß über eure Werke Bescheid.
031_00	Und Wir werden euch ganz gewiß prüfen, bis Wir feststellen, welche sich abmühen von euch und welche standhaft sind, und bis Wir eure Werke prüfen.
032_00	Gewiß, diejenigen, die ungläubig sind, von Allahs Weg abhalten und dem Gesandten entgegenwirken, nachdem ihnen die Rechtleitung klar geworden ist, können Allah in nichts schaden. Und Er wird ihre Werke hinfällig werden lassen.
033_00	O die ihr glaubt, gehorcht Allah und gehorcht dem Gesandten und macht eure Werke nicht zunichte.
034_00	Gewiß, diejenigen, die ungläubig sind und von Allahs Weg abhalten und hierauf als Ungläubige sterben, so wird Allah ihnen nicht vergeben.
035_00	So werdet nicht schwach und ruft (nicht) zum Frieden, wo ihr doch die Oberhand haben werdet, denn Allah ist mit euch, und Er wird euch nicht um eure Werke bringen.
036_00	Das diesseitige Leben ist nur Spiel und Zerstreuung. Wenn ihr glaubt und gottesfürchtig seid, wird Er euch euren Lohn geben und von euch nicht euren (gesamten) Besitz verlangen.
037_00	Wenn Er ihn von euch verlangte und euch (dadurch) in Bedrängnis brächte, dann würdet ihr damit geizen, und Er würde (dadurch) euren Groll zum Vorschein bringen.
038_00	Ihr da seid es doch, die ihr aufgerufen werdet, auf Allahs Weg auszugeben. Jedoch gibt es unter euch welche, die geizen.
038_01	Wer aber geizt, der geizt nur gegen sich selbst. Allah ist der Unbedürftige, ihr aber seid die Bedürftigen. Wenn ihr euch abkehrt, wird Er euch durch ein anderes Volk ersetzen, und sie werden dann nicht gleich euch sein.
