001_00	Alif-Lam-Mim.
019_00	Er bringt das Lebendige aus dem Toten und bringt das Tote aus dem Lebendigen hervor und macht die Erde nach ihrem Tod wieder lebendig. Und so werdet auch ihr hervorgebracht werden.
020_00	Es gehört zu Seinen Zeichen, daß Er euch aus Erde erschaffen hat, hierauf wart ihr auf einmal menschliche Wesen, die sich ausbreiten.
021_00	Und es gehört zu Seinen Zeichen, daß Er euch aus euch selbst Gattinnen erschaffen hat, damit ihr bei ihnen Ruhe findet; und Er hat Zuneigung und Barmherzigkeit zwischen euch gesetzt.
021_01	Darin sind wahrlich Zeichen für Leute, die nachdenken.
022_00	Und zu Seinen Zeichen gehört die Erschaffung der Himmel und der Erde und (auch) die Verschiedenheit eurer Sprachen und Farben. Darin sind wahrlich Zei chen für die Wissenden.
023_00	Und zu Seinen Zeichen gehört euer Schlaf bei Nacht und Tag und auch euer Trachten nach etwas von Seiner Huld. Darin sind wahrlich Zeichen für Leute, die hören.
024_00	Und es gehört zu Seinen Zeichen, daß Er euch den Blitz (als Grund) zur Furcht und zum Begehren sehen läßt und vom Himmel Wasser herabkommen läßt und mit ihm dann die Erde nach ihrem Tod wieder lebendig macht.
024_01	Darin sind wahrlich Zeichen für Leute, die begreifen.
025_00	Und es gehört zu Seinen Zeichen, daß der Himmel und die Erde durch Seinen Befehl bestehen. Wenn Er euch hierauf ein (einziges Mal) ruft, da kommt ihr sogleich aus der Erde hervor.
026_00	Ihm gehört, wer in den Himmeln und auf der Erde ist. Alle sind Ihm demütig ergeben.
027_00	Und Er ist es, Der die Schöpfung am Anfang macht und sie hierauf wiederholt; das ist für Ihn noch leichter. Er hat die höchste Eigenschaft in den Himmeln und auf der Erde, und Er ist der Allmächtige und Allweise.
028_00	Er prägt euch aus eurem eigenen (Lebens)bereich ein Gleichnis: Habt ihr denn (aus der Schar) unter denjenigen, die eure
028_01	rechte Hand (an Sklaven) besitzt, Teilhaber an dem, womit Wir euch versorgt haben, so daß ihr darin gleich wäret
028_02	und ihr sie fürchten müßtet, wie ihr einander fürchtet? So legen Wir die Zeichen ausführlich dar für Leute, die begreifen.
029_00	Aber nein! Diejenigen, die Unrecht tun, folgen ihren Neigungen ohne (richtiges) Wissen. Wer sollte rechtleiten, wen Allah in die Irre gehen läßt? Und sie haben keine Helfer.
030_00	So richte dein Gesicht aufrichtig zur Religion hin als Anhänger des rechten Glaubens, - (gemäß) der natürlichen Anlage Allahs, in der Er die Menschen er schaffen hat. Keine Abänderung gibt es für die Schöpfung Allahs.
030_01	Das ist die richtige Religion. Aber die meisten Menschen wissen nicht.
031_00	(Haltet daran fest), indem ihr euch Ihm reuig zuwendet, und fürchtet Ihn und verrichtet das Gebet und gehört nicht zu den Götzendienern,
032_00	zu denjenigen, die ihre Religion spalteten und zu Lagern geworden sind, wobei jede Gruppierung froh ist über das, was sie bei sich hat.
033_00	Und wenn den Menschen Unheil widerfahrt, rufen sie ihren Herrn an, indem sie sich Ihm reuig zuwenden. Wenn Er sie hierauf Barmherzigkeit von Sich kosten läßt, gesellt sogleich eine Gruppe von ihnen ihrem Herrn (andere) bei,
034_00	um undankbar zu sein für das, was Wir ihnen gegeben haben. - Genießt nur; ihr werdet (es noch) erfahren.
035_00	Oder haben Wir ihnen etwa eine Ermächtigung offenbart, die dann von dem spricht, was sie Ihm beigesellen?
036_00	Und wenn Wir die Menschen Barmherzigkeit kosten lassen, sind sie froh darüber. Wenn sie aber etwas Böses trifft für das, was ihre Hände vorausgeschickt haben, verlieren sie sogleich die Hoffnung.
037_00	Sehen sie denn nicht, daß Allah die Versorgung großzügig gewährt, wem Er will, und auch bemißt? Darin sind wahrlich Zeichen für Leute, die glauben.
038_00	So gib dem Verwandten sein Recht, ebenso dem Armen und dem Sohn des Weges'. Das ist besser für diejenigen, die Allahs Angesicht begehren. Und jene sind es, denen es wohl ergeht.
039_00	Und was ihr an Ausgaben aufwendet, damit sie sich aus dem Besitz der Menschen vermehren, sie vermehren sich nicht bei Allah.
039_01	Was ihr aber an Abgaben entrichtet im Begehren nach Allahs Angesicht ... - das sind diejenigen, die das Vielfache erzielen.
040_00	Allah ist es, Der euch erschaffen und dann versorgt hat. Hierauf läßt Er euch sterben, hierauf macht Er euch wieder lebendig.
040_01	Gibt es unter euren Teilhabern einen, der irgend etwas von alledem tut? Preis sei Ihm! Erhaben ist Er über das, was sie (Ihm) beigesellen.
041_00	Unheil ist auf dem Festland und im Meer erschienen wegen dessen, was die Hände der Menschen erworben haben, damit Er sie einiges von dem kosten läßt, was sie getan haben, auf daß sie umkehren mögen.
042_00	Sag: Reist auf der Erde umher und schaut, wie das Ende derjenigen zuvor war. Die meisten von ihnen waren Götzendiener.
043_00	So richte dein Gesicht aufrichtig zur richtigen Religion hin, bevor von Allah ein Tag kommt, der nicht zurückgewiesen wird
044_00	Wer ungläubig ist, dessen Unglaube geht zu seinem (eigenen) Nachteil. Und wer rechtschaffen handelt, bereitet sich selbst die Lagerstatt vor,
045_00	damit Er denjenigen, die glauben und rechtschaffene Werke tun, aus Seiner Huld vergelte. Gewiß, Er liebt nicht die Ungläubigen.
046_00	Und es gehört zu Seinen Zeichen, daß Er die Winde als Verkünder froher Botschaft (voraus)sendet, und damit Er euch etwas von Seiner Barmherzigkeit kosten läßt und damit die Schiffe auf Seinen Befehl fahren und damit ihr nach etwas von Seiner Huld trachtet, und auf daß ihr dankbar sein möget.
047_00	Und Wir haben bereits vor dir Gesandte zu ihren (jeweiligen) Völkern gesandt.
047_01	Sie kamen zu ihnen mit den klaren Beweisen. Da übten Wir Vergeltung an denjenigen, die Übeltaten begingen; und es war für Uns eine Pflicht, den Gläubigen zu helfen.
048_00	Allah ist es, der die Winde sendet, und da wühlen sie die Wolken auf. Dann breitet Er sie im Himmel aus, wie Er will, und macht sie zu Stücken.
048_01	Da siehst du den (Platz)regen dazwischen herauskommen. Wenn Er damit von Seinen Dienern, wen Er will, trifft, freuen sie sich sogleich,
049_00	obwohl sie vorher, bevor (er) auf sie herabgesandt wurde, wahrlich ganz verzweifelt waren.
050_00	Schau doch auf die Spuren von Allahs Barmherzigkeit, wie Er die Erde nach ihrem Tod wieder lebendig macht. Er ist wahrlich Derjenige, Der (auch) die Toten wieder lebendig macht, und Er hat zu allem die Macht.
051_00	Und wenn Wir einen Wind sendeten und sie dann alles gelb werden sähen, würden sie (trotzdem) danach fortfahren, ungläubig zu sein.
052_00	(Sei nicht traurig,) denn du kannst nicht die Toten hören lassen noch die Tauben den Ruf hören lassen, wenn sie den Rücken kehren.
053_00	Noch kannst du die Blinden aus ihrem Irrtum heraus rechtleiten. Hören lassen kannst du nur, wer an Unsere Zeichen glaubt und die somit (Allah) ergeben sind.
054_00	Allah ist es, der euch (zuerst) in Schwäche erschafft. Hierauf verleiht Er nach der Schwäche Kraft.
054_01	Hierauf verleiht Er nach der Kraft Schwäche und weißes Haar. Er erschafft, was Er will, und Er ist der Allwissende und Allmächtige.
055_00	Und am Tag, da sich die Stunde erhebt, schwören die Übeltäter, sie hätten nicht länger als eine Stunde verweilt. So pflegten sie sich (von der Wahrheit) abwendig machen zu lassen.
056_00	Und diejenigen, denen Wissen und Glauben gegeben worden ist, sagen: "Nach Allahs Buch habt ihr bis zum Tag der Auferweckung verweilt.
056_01	Das ist nun der Tag der Auferweckung, aber ihr wußtet (es) nicht."
057_00	So wird an jenem Tag denjenigen, die Unrecht tun, ihre Entschuldigung nicht nützen, und es wird ihnen keine Gnade erwiesen.
058_00	Wir haben ja den Menschen in diesem Qur'an allerlei Gleichnisse geprägt. Und wenn du zu ihnen mit einem Zeichen kommst, sagen ganz gewiß diejenigen, die ungläubig sind: "Ihr bringt nur Falsches."
059_00	So versiegelt Allah die Herzen derjenigen, die nicht Bescheid wissen.
060_00	So sei standhaft. Gewiß, Allahs Versprechen ist wahr. Und diejenigen, die nicht überzeugt sind, sollen dich ja nicht ins Wanken bringen.
