001_00	อะลิฟ ลาม มีม
010_00	แท้จริงบรรดาผู้ปฏิเสธศรัทธานั้น ทรัพย์สมบัติของพวกเขา และลูก ๆ ของพวกเขานั้น จะไม่อำนวยประโยชน์แก่พวกเขาให้พ้นจากการลงโทษของอัลลอฮ์ได้แต่อย่างใดเลย และชนเหล่านี้แหละคือเชื้อเพลิงแห่งไฟนรก
011_00	เช่นเดียวกับสภาพความเคยชินของวงศ์วานอิสรออีล และบรรดาผู้ก่อนหน้าพวกเขา ซึ่งพวกเขาได้ปฏิเสธบรรดาโองการของเรา แล้วอัลลอฮ์ก็ได้ทรงลงโทษพวกเขา เพราะบาปกรรมของพวกเขาเอง และอัลลอฮ์นั้นเป็นผู้ทรงลงโทษอันรุนแรง
012_00	จงกล่าวเถิด (มุฮัมมัด) แก่บรรดาผู้ปฏิเสธศรัทธาว่า พวกท่านจะได้รับความปราชัย และ (ในวันปรโลก) พวกท่านจะถูกต้อนไปสู่ญะฮันนัม และเป็นที่นอนอันเลวร้านยิ่ง
013_00	แน่นอนได้มีสัญญาณหนึ่งปรากฏแก่พวกเจ้าแล้ว ซึ่งอยู่ในสองฝ่ายที่เผชิญหน้ากัน ฝ่ายหนึ่งต่อสู้ในทางของอัลลอฮ์ และอีกฝ่ายหนึ่งเป็นผู้ปฏิเสธศรัทธา
013_01	ซึ่งเห็นเขาเหล่านั้น ด้วยตาตนเองเป็นสองเท่าของพวกเขา และอัลลอฮ์นั้นจะทรงสนับสนุนผุ้ที่พระองค์ทรงประสงค์ด้วยการช่วยเหลือของพระองค์ แท้จริงในสิ่งที่กล่าวมานั้นย่อมเป็นข้อเตือนสติแก่ผู้มีดวงตา ทั้งหลาย
014_00	ได้ถูกทำให้สวยงาม (ลุ่มหลง) แก่มนุษย์ซึ่งความรักในบรรดาสิ่งที่เป็นเสน่ห์อันได้แก่ผู้หญงและลูกชาย,ทองและเงินอันมากมาย และม้าดีและปศุสัตว์ และไร่นา
014_01	นั่นเป็นสิ่งอำนวยประโยชน์ชั่วคราวในชีวิตความเป็นอยู่แห่งโลกนี้เท่านั้น และอัลลอฮ์นั้นณ พระองค์ คือที่กลับอันสวยงาม
015_00	จงกล่าวเถิด (มุฮัมมัด) ว่าจะให้ฉันบอกแก่พวกท่านถึงสิ่งที่ดียิ่งกว่านั้น ไหม?
015_01	คือบรรดาผู้ที่ยำเกรงนั้น ณ พระผู้เป็นเจ้าของพวกเขา พวกเขาจะได้รับบรรดาสวนสวรรค์ ซึ่งมีแม่น้ำหลายสายไหลผ่านอยู่เบื้องล่าง โดยที่พวกเขาจะพำนักอยู่ในสวนสวรรค์เหล่านั้นตลอดกาลและจะได้รับบรรดาคู่ครองที่บริสุทธิ์ และความพึงใจจากอัลลอฮ์ด้วย
015_02	และอัลลอฮ์นั้นทรงเห็นบรรดาบ่าวทั้งหลาย
016_00	คือบรรดาผู้ที่กล่าวว่า โอ้พระเจ้าแห่งพวกข้าพระองค์ แท้จริงพวกข้าพระองค์ศรัทธากันแล้ว โปรดทรงอภัยโทษให้แก่พวกข้าพระองค์ด้วยเถิด ซึ่งบรรดาความผิดของพวกข้าพระองค์และโปรดได้ทรงป้องกันพวกข้าพระองค์ให้พ้นจากการลงโทษแห่งไฟรกด้วย
017_00	บรรดาผู้ที่อดทน และบรรดาผู้ที่พูดจริง และบรรดาผู้ที่ภักดี และบรรดาผู้ที่บริจาคและบรรดาผู้ที่ขออภัยโทษในยามใกล้รุ่ง
018_00	อัลลอฮ์ทรงยืนยันว่า แท้จริงไม่มีผู้ที่ควรได้รับการเคารพสักการะใด ๆ นอกจากพระองค์เท่านั้น และมะลาอิกะฮ์ และผู้มีความรู้ในฐานะดำรงไว้ซึ่งความยุติธรรมนั้น ก็ยืนยันด้วยว่าไม่มีผู้ที่ควรได้รับการเคารพสักการะใด ๆ นอกจากพระองค์ผู้ทรงเดชานุภาพ ผู้ทรงปรีชาญาณเท่านั้น
019_00	แท้จริงศาสนา ณ อัลลอฮ์นั้นคือ อัลอิสลาม และบรรดาผู้ที่ได้รับคัมภีร์ มิได้ขัดแย้งกันนอกจากหลังจากที่ได้รับความรู้ มายังพวกเขาเท่านั้น ทั้งนี้เนื่องจากความอิจฉาริษยาระหว่างพวกเขา เอง
019_01	และผู้ใดปฏิเสธศรัทธาต่อบรรดาโองการของอัลลอฮ์แล้วไซร้แน่นอนอัลลอฮ์นั้นเป็นผู้ทรงรวดเร็วในการชำระ
020_00	แล้วหากพวกเขาโต้แย้งเจ้า ก็จงกล่าวเถิดว่าฉันได้มอบใบหน้า (ร่างกาย) ของฉัน แด่อัลลอฮ์แล้ว และผู้ที่ปฏิบัติตามฉัน(ก็มอบ) ด้วยและเจ้าจงกล่าวแก่บรรดาผู้ที่ได้รับคัมภีร์ และบรรดาผู้ที่เขียนอ่านไม่เป็น ว่า พวกท่านมอบ (ใบหน้าแด่อัลลอฮ์) แล้วหรือ?
020_01	ถ้าหากพวกเขาได้มอบแล้วแน่นอนพวกเขาก็ได้รับแล้ว ซึ่งแนวทางอันถูกต้อง และถ้าหากพวกเขาผินหลังให้ แท้จริงหน้าที่ของเจ้านั้นเพียงการประกาศให้ทราบเท่านั้น และอัลลอฮ์นั้นเป็นผู้ทรงเห็นปวงบ่าวทั้งหลาย
021_00	แท้จริงบรรดาผู้ปฏิเสธศรัทธา ต่อโองการทั้งหลายของอัลลอฮ์ และฆ่าบรรดานะบีโดยปราศจากความเป็นธรรม และฆ่าบรรดาผู้ที่ใช้ให้มีความยุติธรรม จากหมู่ประชาชนนั้น
021_01	เจ้า (มุฮัมมัด) จงแจ้งข่าวดี แก่พวกเขาเถิด ด้วยการลงโทษอันเจ็บแสบ
022_00	ชนเหล่านี้แหละคือผู้ที่บรรดาการงานของพวกเขาไร้ผลทั้งในโลกนี้ และปรโลก และจะไม่มีบรรดาผู้ช่วยเหลือสำหรับพวกเขาเลย
023_00	เจ้า (มุฮัมมัด) มิได้มองดูบรรดาผู้ที่ได้รับส่วนหนึ่งจากคัมภีร์ ดอกหรือ? โดยที่พวกเขาถูกเชิญไปสู่คัมภีร์ของอัลลอฮ์ เพื่อคัมภีร์นั้นจะได้ตัดสินระหว่างพวกเขา (พวกผิดประเวณี) แล้วกลุ่มหนึ่งในหมู่พวกเขาก็ผินหลังให้และพวกเขาก็กำลังผินหลังให้อยู่
024_00	นั่นก็เพราะพวกเขากล่าวว่า ไฟนรกนั้นจะไม่แตะต้องพวกเราเลย นอกจากบรรดาวันที่ถูกนับไว้ และสิ่งที่พวกเขากุขึ้นในศาสนาของพวกเขานั้น ได้หลอกลวงพวกเขาให้หลงเชื่อ
025_00	แล้วจะเป็นอย่างไรเล่า เมื่อเราได้ชุมนุมพวกเขาไว้สำหรับวันหนึ่ง ซึ่งในวันนั้นไม่มีการสงสัยใด ๆ และแต่ละชีวิตจะถูกตอบแทนอย่างครบถ้วนในสิ่งที่มีชีวิตนั้นได้แสวงหาไว้ โดยที่พวกเขาจะไม่ถูกอธรรม
026_00	จงกล่าวเถิด (มุฮัมมัด) ว่าข้าแต่อัลลอฮ์ผู้ทรงอภิสิทธิ์แห่งอำนาจทั้งปวง !
026_01	พระองค์นั้นจะทรงประทานอำนาจแก่ผู้ที่พระองค์ทรงประสงค์ และจะทรงถอดถอนอำนาจจากผู้ที่พระองค์ทรงประสงค์ และจะทรงให้เกียรติแก่ผู้ที่พระองค์ทรงประสงค์ และจะทรงยังความต่ำต้อยแก่ผู้ที่พระองค์ทรงประสงค์ ความดีทั้งหลายนั้นอยู่ที่พระหัตถ์ ของพระองค์ แท้จริงพระองค์นั้นเป็นผู้ทรงอานุภาพเหนือทุกสิ่งทุกอย่าง
027_00	พระองค์ทรงให้กลางคืนเข้าไปในกลางวัน และทรงให้กลางวันเข้าไปในกลางคืน และทรงให้สิ่งที่มีชีวิต
027_01	ออกจากสิ่งที่ไม่มีชีวิต และทรงให้สิ่งที่ไม่มีชีวิตออกจากสิ่งที่มีชีวิต และทรงให้ปัจจัยยังชีพแก่ผู้ที่พะองค์ทรงประสงค์โดยปราศจากการคำนวณ
028_00	ผู้ศรัทธาทั้งหลายนั้น จงอย่าได้ยึดเอาบรรดาผู้ปฏิเสธศรัทธาเป็นมิตรอื่นจากบรรดามุมิน และผู้ใดกระทำเช่นนั้น เขาย่อมไม่อยู่ในสิ่งใดที่มาจากอัลลอฮ์ นอกจากพวกเจ้าจะป้องกัน (ให้พ้นอันตราย)
028_01	จากพวกเขาจริง ๆ เท่านั้น และอัลลอฮ์ทรงเตือนพวกเจ้าให้ยำเกรงพระองค์ และยังอัลลอฮ์นั้นคือการกลับไป (ของพวกเจ้า)
029_00	จงกล่าวเถิด(มุฮัมมัด) ว่าหากพวกท่านปกปิดสิ่งที่อยู่ในอกของพวกท่าน หรือเปิดเผยมันก็ตาม อัลลอฮ์ก็ย่อมรู้สิ่งนั้นดีและทรงรู้สิ่งที่อยู่ในบรรดาชั้นฟ้า และสิ่งที่อยู่ในแผ่นดิน และอัลลอฮ์นั้นทรงอานุภาพเหนือทุกสิ่งทุกอย่าง
030_00	วันที่แต่ละชีวิตพบความดีที่ตนได้ประกอบไว้ถูกนำมาอยู่ต่อหน้า และความชั่วที่ตนได้ประกอบไว้ด้วย แต่ละชีวิตนั้นชอบ หากว่าระหว่างตนกั
030_01	บความชั่วนั้นจะมีระยะทางที่ห่างไกล และอัลลอฮ์ทรงเตือนพวกเจ้าให้ยำเกรงพระองค์ และอัลลอฮ์นั้นเป็นผู้ทรงกรุณาปราณีต่อปวงบ่าวทั้งหลาย
031_00	จงกล่าวเถิด(มุฮัมมัด) ว่า หากพวกท่านรักอัลลอฮ์ ก็จงปฏิบัติตามฉัน อัลลอฮ์ก็จะทรงรักพวกท่าน และจะทรงอภัยให้แก่พวกท่านซึ่งโทษทั้งหลายของพวกท่าน และอัลลอฮ์นั้นเป็นผู้ทรงอภัยโทษ ผู้ทรงเมตตาเสมอ
032_00	จงกล่าวเถิด(มุฮัมมัด) ว่า พวกท่านจงเชื่อฟังอัลลอฮ์และร่อซูลเถิด แต่ถ้าพวกเขาผินหลังให้ แท้จริงอัลลอฮ์นั้นไม่ทรงชอบผู้ปฏิเสธศรัทธาทั้งหลาย
033_00	แท้จริงอัลลอฮ์ได้ทรงคัดเลือก อาดัมและนูห์ และวงศ์วานของอิบรอฮีม และวงศ์วานของอิมรอนให้เหนือกว่าประชาชาติทั้งหลาย
034_00	เป็นเผ่าพันธุ์ ซึ่งสืบเชื้อสายมาจากกันและกัน และอัลลอฮ์นั้นเป็นผู้ทรงได้ยิน ผู้ทรงรอบรู้
035_00	จงรำลึกถึงขณะที่ภรรยาของอิมรอน กล่าวว่า โอ้พระผู้เป็นเจ้าของข้าพระองค์! แท้จริงข้าพระองค์ได้บนไว้ว่าให้สิ่ง(บุตร)ที่อยู่ในครรภ์ของข้าพระองค์ ถูกเจาะจงอยู่ในฐานะผู้เคารพอิบาดะฮ์ต่อพระองค์และรับใช้พระองค์เท่านั้น ดังนั้นขอพระองค์ได้โปรดรับจากข้าพระองค์ด้วยเถิด แท้จริงพระองค์ท่านเป็นผู้ทรงได้ยิน ผู้ทรงรอบรู้
036_00	ครั้นเมื่อนางได้คลอดบุตร นางก็กล่าวว่า โอ้พระเจ้าของข้าพระองค์!
036_01	แท้จริงข้าพระองค์ได้คลอดบุตรเป็นหญิง และอัลลอฮ์นั้นทรงรู้ดียิ่งกว่าถึงบุตรที่นางได้คลอดมา และใช่ว่าเพศชายนั้นจะเหมือนกันเพศหญิงก็หาไม่ และข้าพระองค์ได้ตั้งชื่อเขาว่า “มัรยัม” แล้วข้าพระองค์ขอต่อพระองค์ให้ทรงคุ้มครองนาง และลูกของนางให้พ้นจากชัยฏอนที่ถูกขับไล่
037_00	แล้วพระเจ้าของนางก็ทรงรับมัรยัมไว้อย่างดี และทรงให้นางเจริญวัยอย่างดีด้วยและได้ทรงให้ซะกะรียาอุปการะนาง คราใดที่ซะกะรียาเข้าไปหานางที่อัลมิห์รอบ เขาก็พบปัจจัยยังชีพ อยู่ที่นาง เขากล่าวว่า มัรยัมเอ๋ย!
037_01	เธอได้สิ่งนี้มาอย่างไร?นางกล่าวว่า มันมาจากที่อัลลอฮฺ แท้จริงอัลลอฮฺนั้นจะทรงประทานปัจจัยยังชีพแก่ผู้ที่พระองค์ทรงประสงค์โดยปราศจากการคิดคำนวณ
038_00	ที่โน่น แหละ ซะกะรียาได้วิงวอนต่อพระผู้เป็นเจ้าของเขาโดยกล่าวว่า ข้าแต่พระเจ้าของข้าพระองค์ โปรดได้ทรงประทานแก่ข้าพระองค์ซึ่งบุตรที่ดีคนหนึ่งจากที่พระองค์ แท้จริงพระองค์เป็นผู้ทรงได้ยินคำวิงวอน
039_00	และมะลาอิกะฮ์ได้เรียกเขา ขณะที่เขากำลังยืนละหมาด อยู่ในอัลมิห์รอบ ว่า
039_01	แท้จริงอัลลอฮ์ทรงแจ้งข่าวดีแก่ท่านด้วยยะห์ยา โดยที่จะเป็นผู้ยืนยันพจมานหนึ่ง จากอัลลอฮ์ และจะเป็นผู้นำและผู้รักษาไว้ซึ่งความบริสุทธิ์ และเป็นนะบีคนหนึ่งจากหมู่ชนที่เป็นคนดี
040_00	เขา กล่าวว่า ข้าแต่พระเจ้าของข้าพระองค์ ข้าพระองค์จะมีบุตรได้อย่างไร โดยที่ความชราภาพได้มาถึงข้าพระองค์แล้วและภรรยาของข้าพระองค์ก็เป็นหมันด้วย พระองค์ตรัสว่ากระนั้นก็ตามอัลลอฮ์จะทรงกระทำตามที่พระองค์ทรงประสงค์
041_00	เขากล่าวว่า ข้าแต่พระเจ้าของข้าพระองค์! โปรดได้ทรงให้มีสัญญาณหนึ่งแก่ข้าพระองค์ด้วยเถิด พระองค์ตรัสว่าสัญญาณของเจ้านั้นคือ เจ้าจะไม่สามารถพูดแก่ผู้คนเป็นเวลาสามวัน นอกจากด้วยการแสดงท่าทางเท่านั้น และจงรำลึกถึงพระเจ้าของเจ้ามาก ๆ และจงกล่าวสดุดีในความบริสุทธิ์ของพระองค์ ทั้งในเวลายืนและเวลาเช้า
042_00	และจงรำลึกขณะที่มะลาอิกะฮ์กล่าวว่ามัรยัมเอ๋ย! แท้จริงอัลลอฮ์ได้ทรงเลือกเธอและทรงทำให้เธอบริสุทธิ์ และได้ทรงเลือกเธอให้เหนือบรรดาหญิงแห่งประชาชาติทั้งหลาย
043_00	มัรยัมเอ๋ย! จงภักดีต่อพระเจ้าของเจ้าเถิด และจงสุยูดและรุกูอ์ ร่วมกับรรดาผู้รุกูอ์ทั้งหลาย
044_00	นั่นคือส่วนหนึ่งจากบรรดาข่าวของสิ่งเร้นลับ ซึ่งเราชี้แจงให้เจ้า ทราบ และเจ้ามิได้อยู่ ณ ที่พวกเขา ขณะที่พวกเขาโยเครื่องเสี่ยงทายของพวกเขา(เพื่อทราบว่า) ใครในหมู่พวกเขาจะได้อุปการะมัรยัม และเจ้ามิได้อยู่ ณ ที่พวกเขา ขณะพวกเขาโต้เถียงกัน
045_00	จงรำลึกถึงขณะที่มะลาอิกะฮ์กล่าวว่า มัรยัมเอ๋ย !
045_01	แท้จริงอัลลอฮ์ทรงแจ้งข่าวดีแก่เธอซึ่งพจมานหนึ่ง จากพระองค์ ชื่อของเขาคือ อัลมะซีห์ อีซาบุตรของมัรยัม โดยที่เขาจะเป็นผู้มีเกียรติในโลกนี้ และปรโลก และจะอยู่ในหมู่ผู้ใกล้ชิด
046_00	และเขา จะพูดแก่ผู้คนขณะอยู่ในเปล และในวัยกลางคน และจะอยู่ในหมู่คนดี
047_00	นางกล่าวว่า ข้าแต่พระเจ้าของข้าพระองค์ ข้าพระองค์จะมีบุตรได้อย่างไร ทั้ง ๆ ที่มิได้มีบุรุษใดแตะต้องข้าพระองค์ พระองค์ตรัสว่า กระนั้นก็ตาม อัลลอฮ์จะทรงบังเกิดสิ่งที่พระองค์ประสงค์ เมื่อพระองค์ทรงชี้ขาดงานใดแล้ว? พระองค์ก็เพียงประกาศิตแก่สิ่งนั้นว่า จงเป็นขึ้นเถิด แล้วมันก็จะเป็นขึ้น
048_00	และพระองค์ก็จะทรงสอนเขา ซึ่งการเขียน และความรู้อันถูกต้อง และสอนอัตเตารอต และอัลอินญีล
049_00	และเป็นฑูต (นะบีอีซา) ไปยังวงศ์วานอิสรออีล (โดยที่เขาจะกล่าวว่า) แท้จริงนั้นได้นำสัญญาณหนึ่งจากพระเจ้าของพวกท่านมายังพวกท่านแล้ว
049_01	โดยที่ฉันจะจำลองขึ้นจากดินให้แก่พวกท่าน ดั่งรูปนก แล้วฉันจะเป่าเข้าไปในมัน แล้วมันก็จะกลายเป็นนก ด้วยอนุมัติของอัลลอฮ์
049_02	และฉันจะรักษาคนตาบอดแต่กำเนิด และคนเป็นโรคเรื้อน และฉันจะให้ผุ้ที่ตายแล้วมีชีวิตขึ้น ด้วยอนุมัติของอัลลอฮ์
049_03	และฉันจะบอกพวกท่านถึงสิ่งที่พวกท่านจะบริโภคกันและสิ่งที่พวกท่านสะสมไว้ในบ้านของพวกท่าน แท้จริงในนั้น มีสัญญาณหนึ่งสำหรับพวกท่าน หากพวกท่านเป็นผู้ศรัทธา ้ว
050_00	และฉันจะเป็นผู้มายืนยันสิ่งที่อยู่เบื้องหน้าของฉัน อันได้แก่ อัตเตารอต และเพื่อที่ฉันจะได้อนุมัติแก่พวกท่าน
050_01	ซึ่งบางสิ่งที่ถูกห้ามแก่พวกท่าน และฉันได้นำสัญญาณหนึ่งจากพระเจ้าของท่านมายังพวกท่านแล้ว ดังนั้นพึงยำเกรงอัลลอฮ์เถิด และจงเชื่อฟังฉัน
051_00	แท้จริงอัลลอฮ์นั้นคือ พระเจ้าของฉัน และพระเจ้าของพวกท่าน ดังนั้น จงอิบาดะฮ์ ต่อพระองค์เถิด นี้แหละคือทางอันเที่ยงตรง
052_00	ครั้นเมื่ออีซารู้สึกว่ามีการปฏิเสธศรัทธาเกิดขึ้นในหมู่พวกเขา จึงได้กล่าวว่า ใครบ้างจะเป็นผู้ช่วยเหลือฉันไปสู่อัลลอฮ์ บรรดาสาวกผู้บริสุทธิ์ใจกล่าวว่า
052_01	พวกเราคือผู้ช่วยเหลืออัลลอฮ์ พวกเราศรัทธาต่ออัลลอฮ์แล้ว และท่านจงเป็นพยานด้วยว่า แท้จริงพวกเรานั้น คือผู้น้อมตาม
053_00	ข้าแต่พระเจ้าของพวกข้าพระองค์พวก ข้าพระองค์ศรัทธาแล้วต่อสิ่งที่พระองค์ได้ประทานลงมา และพวกข้าพระองค์ก็ได้ปฏิบัติตาม ร่อซูลแล้ว โปรดทรงบันทึกพวกข้าพระองค์ร่วมกับบรรดาผู้ที่กล่าวปฏิญาณยืนยันทั้งหลายด้วยเถิด
054_00	และพวกเขาได้วางแผน และอัลลอฮ์ก็ทรงวางแผนด้วย และอัลลอฮ์นั้นเป็นผุ้ทรงวางแผนที่ดีเยี่ยม
055_00	จงรำลึกถึงขณะที่อัลลอฮ์ตรัสว่า โอัอีซา ! ข้าจะเป็นผู้รับเจ้าไปพร้อมด้วยชีวิตและร่างกายของเจ้า และจะเป็นผู้ยกเจ้าขึ้นไปยังข้าและจะเป็นผู้ทำให้เจ้าบริสุทธิ์ พ้นจากบรรดาผู้ที่ปฏิเสธศรัทธา
055_01	และจะเป็นผู้ให้บรรดาที่ปฏิบัติตามเจ้าเหนือผู้ปฏิเสธศรัทธาทั้งหลาย จนกระทั่งถึงวันกิยามะฮ์ แล้วยังข้านั้นคือการกลับไปของพวกเจ้า แล้วข้าจะตัดสินระหว่างพวกเจ้า ในสิ่งที่พวกเจ้าขัดแย้งกัน
056_00	ส่วนบรรดาผู้ที่ปฏิเสธศรัทธานั้น ข้าจะลงโทษพวกเขาอย่างรุนแรงทั้งในโลกนี้และปรโลก และจะไม่มีบรรดาผู้ช่วยเหลือใดสำหรับพวกเขา
057_00	และส่วนบรรดาผู้ศรัทธา และประกอบสิ่งที่ดีทั้งหลายนั้น พระองค์จะทรงตอบแทนแก่พวกเขาโดยครบถ้วน ซึ่งรางวัลของพวกเขาและอัลลอฮ์นั้นไม่ทรงชอบบรรดาผู้อธรรม
058_00	ดังกล่าวนั้นแหละ เราอ่านมันให้เจ้าฟัง อันได้แก่โองการต่าง ๆ และคำเตือนรำลึกที่รัดกุมชัดเจน
059_00	แท้จริงอุปมาของอีซานั้น ดั่งอุปมัยของอาดัม พระองค์ทรงบังเกิดเขาจากดิน และได้ทรงประกาศิตแก่เขาว่าจงเป็นขึ้นเถิด แล้วเขาก็เป็นขึ้น
060_00	ความจริง นั้นมาจากพระเจ้าของเจ้า (มุฮัมมัด) ดังนั้นเจ้าจงอย่าเป็นคนหนึ่งในหมู่ผู้สงสัยเป็นอันขาด
061_00	ดังนั้นผู้ใดที่โต้เถียงเจ้าในเรื่องของเขา (อีซา) หลังจากที่ได้มีความรู้มายังเจ้าแล้ว ก็จงกล่าวเถิดว่า ท่านทั้งหลายจงมาเถิด เราก็จะเรียกลูก ๆ ของเรา และลูกของพวกท่านและเรียกบรรดาผู้
061_01	หญิงของเรา และบรรดาผุ้หญิงของพวกท่านและตัวของพวกเรา และตัวของพวกท่านและเราก็จะวิงวอนกัน (ต่ออัลลอฮ์) ด้วยความนอบน้อม โดยที่เราจะขอให้ละฮ์นัด ของอัลลอฮ์พึงประสบ แก่บรรพาผุ้ที่พูดโกหก
062_00	แท้จริงเรื่องนี้ เป็นเรื่องจริง และไม่มีผู้ที่ควรได้รับการเคารพสักการะใด ๆ นอกจากอัลลอฮ์เท่านั้น และแท้จริงอัลลอฮ์ คือผู้ทรงเดชานุภาพ ผู้ทรงปรีชาญาณ
063_00	แล้วหากพวกเขาผินหลังให้ แน่นอนอัลลอฮ์นั้นเป็นผุ้ทรงรู้ดี ต่อผู้บ่อนทำลายทั้งหลาย
064_00	จงกล่าวเถิด (มุฮัมมัด) ว่า โอ้บรรดาผู้ได้รับคัมภีร์ !
064_01	จงมายังถ้อยคำหนึ่งซึ่งเท่าเทียมกัน ระหว่างเราและพวกท่าน คือว่าเราจะไม่เคาระสักการะนอกจากพระองค์เท่านั้น และเราจะไม่ให้สิ่งหนึ่งสิ่งใดเป็นภาคีกับพระองค์ และพวกเราบางคนก็จะไม่ยึดถืออีกบางคนเป็นพระเจ้าอื่นจากอัลลอฮ์ แล้วหากพวกเขาผินหลังให้ ก็จงกล่าวเถิดว่า พวกท่านจงเป็นพยานด้วยว่า แท้จริงพวกเราเป็นผู้น้อมตาม
065_00	โอ้บรรดาผู้ที่ได้รับคัมภีร์ ! เพราะเหตุใดเล่าพวกเจ้าจึงโต้เถียงกันในตัวของอิบรอฮีม และอัตเตารอต และอัลอินญีลนั้นมิได้ถูกประทานลงมา นอกจากหลังจากเขา แล้วพวกเจ้าไม่ใช้ปัญญาดอกหรือ
066_00	พวกเจ้านี้แหละ ได้โต้เถียงกันในสิ่งที่พวกเจ้ามีความรู้ในสิ่งนั้นแล้ว แล้วก็เหตุไฉนเล่าพวกเจ้าจึงโต้เถียงกันในสิ่งที่พวกเจ้าไม่มีความรู้ และอัลลอฮ์นั้นทรงรู้ แต่พวกเจ้าไม่รู้
067_00	อิบรอฮีมไม่เคยเป็นยิวและไม่เคยเป็นคริสต์ แต่ทว่าเขาเป็นผู้หันออกจากความเท็จสู่ความจริง เป็นผู้น้อมตาม และเขาก็ไม่เคยอยู่ในหมู่ผู้ให้มีภาคีขึ้น (แก่อัลลอฮ์)
068_00	แท้จริงผู้คนที่สมควรยิ่งต่ออิบรอฮีมนั้น ย่อมได้แก่บรรดาผู้ปฏิบัติตามเขา และปฏิบัติตามนะบีนี้ และบรรดาผู้ที่ศรัทธาด้วย และอัลลอฮ์นั้นทรงคุ้มครองผู้ศรัทธาทั้งหลาย
069_00	กลุ่มหนึ่งจากผู้ได้รับคัมภีร์นั้นชอบหากพวกเขาจะทำให้พวกเจ้าหลงผิด และพวกเขาจะไม่ทำให้ใครหลงผิด นอกจากตัวของพวกเขาเองแต่พวกเขาไม่รู้
070_00	โอ้ผู้ที่ได้รับคัมภีร์ทั้งหลาย ! เพราะเหตุใดพวกเจ้าจึงปฏิเสธบรรดาโองการของอัลลอฮ์ ทั้ง ๆ ที่พวกเจ้าก็เป็นพยานยืนยันอยู่
