001_00	พระผู้ทรงกรุณาปรานี
033_00	โอ้ชุมนุมแห่งญินและมนุษย์ทั้งหลาย เอ๋ย! หากพวกเจ้ามีความสามารถที่จะผ่านไปให้พ้นขอบฟ้าทั้งหลายและแผ่นดินนี้ได้ ก็จงผ่านไปให้พ้นเถิด แต่ว่าพวกเจ้าไม่สามารถที่จะผ่านไปให้พ้นได้เว้นแต่ด้วยพลัง (พระบัญชาและพระประสงค์ของอัลลอฮ.)
034_00	ดังนั้นด้วยบุญคุณอันใดเล่าแห่งพระเจ้าของเจ้าทั้งสองที่เจ้าทั้งสองปฏิเสธ?
035_00	เปลวไฟ และทองเหลือง จะถูกส่งมายังเจ้าทั้งสองแล้วเจ้าทั้งสองก็ไม่อาจจะป้องกันตนเองได้
036_00	ดังนั้นด้วยบุญคุณอันใดเล่าแห่งพระเจ้าของเจ้าทั้งสองที่เจ้าทั้งสองปฏิเสธ?
037_00	ครั้นเมื่อชั้นฟ้าแตกกระจายออก มันจะกลายเป็นสีแดงคล้ายขี้ผึ้ง
038_00	ดังนั้น ด้วยบุญอันใดเล่าแห่งพระเจ้าของเจ้าทั้งสอง ที่เจ้าทั้งสองปฏิเสธ?
039_00	แล้วในวันนั้น มนุษย์และญินจะไม่ถูกถามถึงความผิดของเขา
040_00	ดังนั้นด้วยบุญคุณอันใดเล่า แห่งพระเจ้าของเจ้าทั้งสอง ที่เจ้าทั้งสองปฏิเสธ
041_00	บรรดาผู้ที่มีความผิดจะเป็นที่รู้จักกันได้ที่เครื่องหมายของพวกเขา แล้วจะถูกจับตรงผมที่ปีกหน้าผาก คือขมับและเท้า (แล้วลากลงนรก)
042_00	ดังนั้นด้วยบุญคุณอันใดเล่าแห่งพระเจ้าของเจ้าทั้งสอง ที่เจ้าทั้งสองปฏิเสธ?
043_00	นี่คือนรก ซึ่งบรรดาผู้ที่มีความผิดปฏิเสธไม่ยอมเชื่อ
044_00	พวกเขาจะเดินวกเวียนอยู่รอบ ๆ ระหว่างมันกับน้ำร้อนที่เดือด
045_00	ดังนั้นด้วยบุญคุณอันใดเล่าแห่งพระเจ้าของเจ้าทั้งสองที่เจ้าทั้งสองปฏิเสธ
046_00	และสำหรับผู้ที่ยำเกรง ต่อการยืนหน้าพระพักตร์แห่งพระเจ้าของเขา (เขาจะได้) สวนสวรรค์สองแห่ง
047_00	ดังนั้นด้วยบุญคุณอันใดเล่าแห่งพระเจ้าของเจ้าทั้งสอง ที่เจ้าทั้งสองปฏิเสธ
048_00	(สวนสวรรค์สองแห่งนั้น) แผ่กิ่งก้านเขียวชอุ่ม และผลไม้หลายชนิด
049_00	ดังนั้นด้วยบุญคุณอันใดเล่าแห่งพระเจ้าของเจ้าทั้งสองที่เจ้าทั้งสองปฏิเสธ
050_00	ในสวนสวรรค์ทั้งสองแห่งนั้นมีตาน้ำสองแห่งไหลพรั่งพรู
051_00	ดังนั้นด้วยบุญคุณอันใดเล่าแห่งพระเจ้าของเจ้าทั้งสองที่เจ้าทั้งสองปฏิเสธ?
052_00	ในสวนสวรรค์ทั้งสองแห่งนั้นมีผลไม้ทุกชนิดเป็นสองประเภท
053_00	ดังนั้นด้วยบุญคุณอันใดเล่าแห่งพระเจ้าของเจ้าทั้งสองที่เจ้าทั้งสองปฏิเสธ?
054_00	พวกเขานอนเอกเขนกอยู่บนฟูกนอนซึ่งซับในของมันทำด้วยไหมพรมอย่างดี ผลไม้ของสวนทั้งสองแห่งนั้นอยู่ใกล้แค่มือเอื้อม
055_00	ดังนั้นด้วยบุญอันใดเล่าแห่งพระเจ้าของเจ้าทั้งสองที่เจ้าทั้งสองปฏิเสธ?
056_00	ในสวนสวรรค์เหล่านั้นมีหญิงสาวพรหมจารี ผู้ลดสายตาลง (เฉพาะสามีของนางเท่านั้นป ซึ่งไม่มีมนุษย์ และไม่มีญินแตะต้องพวกนางมาก่อนเลย
057_00	ดังนั้นด้วยบุญคุณอันใดเล่าแห่งพระเจ้าของเจ้าทั้งสองที่เจ้าทั้งสองปฏิเสธ?
058_00	คล้ายกับว่าพวกนางเป็นทับทิม และปะการัง
059_00	ดังนั้นบุญคุณอันใดเล่า แห่งพระเจ้าของเจ้าทั้งสอง ที่เจ้าทั้งสองปฏิเสธ?
060_00	จะมีการตอบแทนความดีอันใดเล่านอกจากความดี
061_00	ดังนั้น ด้วยบุญคุณอันใดเล่าแห่งพระเจ้าของเจ้าทั้งสองที่เจ้าทั้งสองปฏิเสธ?
062_00	และอื่นจากสวนสวรรค์ทั้งสองแห่งนั้นแล้ว ยังมีสวนสวรรค์อีกสองแห่ง
063_00	ดังนั้นบุญคุณอันใดเล่าแห่งพระเจ้าของเจ้าทั้งสองที่เจ้าทั้งสองปฏิเสธ?
064_00	(สวนสวรรค์) ทั้งสองนั้น เขียวชอุ่ม
065_00	ดังนั้น ด้วยบุญคุณอันใดเล่าแห่งพระเจ้าของเจ้าทั้งสองที่เจ้าทั้งสองปฏิเสธ?
066_00	ในสวนสวรรค์ทั้งสองแห่งนั้น มีตาน้ำสองแห่งที่พวยพุ่งออกมาอย่างไม่ขาดสาย
067_00	ดังนั้นด้วยบุญคุณอันใดเล่าแห่งพระเจ้าของเจ้าทั้งสองที่เจ้าทั้งสองปฏิเสธ?
068_00	ในสวนสวรรค์ทั้งสองแห่งนั้นมีผลไม้และอินทผลัม และผลทับทิม
069_00	ดังนั้นด้วยบุญคุณอันใดเล่าแหงพระเจ้าของเจ้าทั้งสองที่เจ้าทั้งสองปฏิเสธ?
070_00	ในสวนสวรรค์เหล่านั้น มีหญิงสาวที่มีมารยาทดีสวย
071_00	ดังนั้นด้วยบุญคุณอันใดเล่าแห่งพระเจ้าของเจ้าทั้งสองที่เจ้าทั้งสองปฏิเสธ?
072_00	หญิงสาวผิวพรรณขาวผ่อง นัยตาคม (ที่เก็บตัวเฉพาะสามีของนางเท่านั้น) อยู่ในกระโจม
073_00	ดังนั้น ด้วยบุญคุณอันใดเล่าแห่งพระเจ้าของเจ้าทั้งสอง ที่เจ้าทั้งสองปฏิเสธ
074_00	ซึ่งไม่มีมนุษย์และไม่มีญิน แตะต้องพวกนางมาก่อนเลย
075_00	ดังนั้น ด้วยบุญคุณอันใดเล่า แห่งพระเจ้าของเจ้าทั้งสองที่เจ้าทั้งสองปฏิเสธ?
076_00	พวกเขาจะนอนเอกเขนกบนหมอนอิงสีเขียว และพรมที่มีลวดลายอย่างสวยงาม
077_00	ดังนั้น ด้วยบุญคุณอันใดเล่าแห่งพระเจ้าของเจ้าทั้งสองที่เจ้าทั้งสองปฏิเสธ
078_00	พระนามแห่งพระเจ้าของเจ้าผู้ทรงยิ่งใหญ่ ผู้ทรงโปรดปราน ทรงจำเริญยิ่ง
