001_00	อะลิฟ ลาม มีม
026_00	และผู้ที่อยู่ในชั้นฟ้าทั้งหลายและแผ่นดินเป็นกรรมสิทธิ์ของพระองค์ ทั้งมวลเป็นผู้จงรักภักดีต่อพระองค์
027_00	และพระองค์คือผู้ทรงเริ่มแรกในการสร้าง แล้วทรงให้มันกลับขึ้นมาอีก และมันเป็นการง่ายยิ่งแก่พระองค์ และคุณลักษณะอันสูงส่งในชั้นฟ้าทั้งหลายและแผ่นดินเป็นกรรมสิทธิ์ของพระองค์ และพระองค์เป็นผู้ทรงอำนาจ ผู้ทรงปรีชาญาณ
028_00	พระองค์ทรงยกอุทธาหรณ์แก่พวกเจ้าที่มาจากตัวของพวกเจ้าเอง จะมีบ้างไหมสำหรับพวกเจ้า (ที่จะยอมให้) ในหมู่ผู้ที่มือขวาของพวกเจ้าครอบครอง (บ่าวทาส) มีหุ้นส่วนในสิ่งที่เราได้ให้เครื่องยังชีพแก่พวกเจ้า
028_01	แล้วพวกเจ้า (กับพวกเขา) มามีส่วนเท่ากัน โดยพวกเจ้ากลัวพวกเขาเหมือนกับการกลัวของพวกเจ้าด้วยกันเอง
028_02	เช่นนั้นแหละ เราจำแนกสัญญาณทั้งหลายแก่หมู่ชนผู้ใช้ปัญญาเพื่อไตร่ตรอง
029_00	เปล่าเลย ! แต่ว่าบรรดาผู้อธรรมได้ปฏิบัติตามอารมณ์ใฝ่ต่ำของพวกเขาโดยปราศจากความรู้ แล้วผู้ใดเล่าจะแนะแนวทางแก่ผู้ที่อัลลอฮฺทรงปล่อยให้เขาหลงทางไปแล้ว และสำหรับพวกเขาจะไม่มีผู้ช่วยเหลือ
030_00	ดังนั้น เจ้าจงผินหน้าของเจ้าสู่ศาสนาที่เที่ยงแท้ (โดยเป็น) ธรรมชาติของอัลลอฮฺ ซึ่งพระองค์ทรงสร้างมนุ
030_01	ษย์ขึ้นมา ไม่มีการเปลี่ยนแปลงในการสร้างของอัลลอฮฺ นั่นคือศาสนาอันเที่ยงตรง แต่ส่วนมากของมนุษย์ไม่รู้
031_00	และจงยำเกรงพระองค์ และจงดำรงไว้ซึ่งการละหมาด โดยเป็นผู้ผินหน้ากลับไปสู่พระองค์ และอย่าอยู่ในหมู่ผู้ตั้งภาคี
032_00	(คือ) ในหมู่ผู้แบ่งแยกศาสนาของพวกเขาออกเป็นนิกายต่าง ๆ และแต่ละหมู่คณะก็พอใจต่อสิ่งที่พวกเขามีอยู่
033_00	และเมื่อทุกขภัยอันใดประสบแก่มนุษย์ พวกเขาก็วิงวอนขอต่อพระเจ้าของพวกเขา โดยเป็นผู้ผินหน้ากลับไปสู่พระองค์ ครั้นเมื่อพระองค์ได้ทรงให้พวกเขาลิ้มรสความเมตตาจากพระองค์ ณ บัดนั้นหมู่หนึ่งจากพวกเขาก็ตั้งภาคีต่อพระเจ้าของพวกเขา
034_00	ก็จงเนรคุณต่อสิ่งที่เราได้ให้แก่พวกเขา แล้วก็จงร่าเริงกันต่อไปเถิด แล้วพวกเจ้าจะได้รู้
035_00	หรือว่าเราได้ให้หลักฐานอันใดแก่พวกเขา เพื่อมันจะได้พูดในสิ่งที่พวกเขาตั้งภาคีต่อพระองค์
036_00	และเมื่อเราได้ให้มนุษย์ลิ้มรสความเมตตา พวกเขาก็ดีใจต่อมัน และเมื่อทุกข์ร้ายอันใดประสบแก่พวกเขา เนื่องด้วยสิ่งที่มือของพวกเขาประกอบไว้ แล้วพวกเขาก็หมดอาลัย B30:036:1B อิบนุกะษีรกล่าวว่า อันนี้เป็นการกล่าวถึงข้อเท็จจริงของมนุษย์ นอกจากผู้ที่อัลลอฮฺทรงคุ้มครองเขาคือเมื่อเขาได้รับความโปรดปรานเขาก็ดีใจและลืมตัว แต่เมื่อประสบกับความทุกข์ยาก เขาก็หมดอาลัยและสิ้นหวัง
037_00	แท้จริงในการนี้ แน่นอน ย่อมเป็นสัญญาณแก่หมู่ชนผู้ศรัทธา
038_00	จงบริจาคแก่ญาติสนิทซึ่งสิทธิของเขา และแก่ผู้ขัดสนและผู้เดินทางนั่นแหละเป็นการดียิ่งสำหรับบรรดาผู้ปรารถนาพระพักตร์ของอัลลอฮฺ และชนเหล่านั้นแหละพวกเขาเป็นผู้ประสบชัยชนะ
039_00	และสิ่งที่พวกเจ้าจ่ายออกไปจากทรัพย์สิน (ดอกเบี้ย) เพื่อให้มันเพิ่มพูนในทรัพย์สินของมนุษย์
039_01	มันจะไม่เพิ่มพูนณ ที่อัลลอฮฺและสิ่งที่พวกเจ้าจ่ายไปจากซะกาต โดยพวกเจ้าปรารถนาพระพักตร์ของอัลลอฮฺ ชนเหล่านั้นแหละพวกเขาคือผู้ได้รับการตอบแทนอย่างทวีคูณ
040_00	อัลลอฮฺคือผู้ทรงสร้างพวกเจ้า แล้วทรงให้ปัจจัยยังชีพแก่พวกเจ้า แล้วทรงให้พวกเจ้าตาย แล้วทรงให้พวกเจ้าเป็น จะมีผู้ใดบ้างใ
040_01	นหมู่ภาคีของพวกเจ้ากระทำสักอย่างหนึ่งจากสิ่งเหล่านั้น มหาบริสุทธิ์แด่พระองค์ และพระองค์ทรงสูงส่งจากสิ่งที่พวกเขาตั้งภาคี
041_00	การบ่อนทำลาย ได้เกิดขึ้นทั้งทางบกและทางน้ำ เนื่องจากสิ่งที่มือของมนุษย์ได้ขวนขวายไว้เพื่อที่พระองค์จะให้พวกเขาลิ้มรสบางส่วนที่พวกเขาประกอบไว้ โดยที่หวังจะให้พวกเขากลับเนื้อกลับตัว
042_00	จงกล่าวเถิดมุฮัมมัด “พวกเจ้าจงท่องเที่ยวไปตามแผ่นดิน แล้วจงพิจารณาดูว่าบั้นปลายของกลุ่มชนในอดีตเป็นเช่นไร ส่วนมากของพวกเขาเป็นผู้ตั้งภาคี”
043_00	ดังนั้น จงมุ่งหน้าของเจ้าเพื่อศาสนาอันเที่ยงธรรม ก่อนที่วันหนึ่งของอัลลอฮฺจะมาถึง ซึ่งไม่มีทางหลีกเลี่ยงได้ วันนั้นพวกเขาจะแตกแยกกัน (เป็นสองฝ่าย)
044_00	ผู้ใดปฏิเสธศรัทธา การปฏิเสธศรัทธาก็ตกอยู่กับเขา และผู้ใดกระทำความดี พวกเขาก็เตรียมที่พักไว้สำหรับตัวของพวกเขาเอง
045_00	เพื่อที่พระองค์จะทรงตอบแทนบรรดาผู้ศรัทธาและกระทำความดีทั้งหลาย ด้วยความดีของพระองค์ แท้จริงพระองค์ไม่ทรงชอบพวกปฏิเสธศรัทธา
046_00	และหนึ่งจากสัญญาณทั้งหลายของพระองค์คือ พระองค์ทรงส่งลมเป็นการแจ้งข่าวดีทั้งหลาย และเพื่อพระองค์จะทรงให้พวกเจ้าได้ลิ้มรสความเมตตาของพระองค์ และเพื่อเรือเดินทะเลจะได้แล่นไปโดยพระบัญชาของพระองค์ และเพื่อพวกเจ้าจะได้แสวงหาจากความโปรดปรานของพระองค์ และเพื่อพวกเจ้าจะได้ขอบคุณ
047_00	และโดยแน่นอน เราได้ส่งบรรดาร่อซูลก่อนหน้าเจ้าไปยังหมู่ชนของพวกเขา และเขาเหล่านั้นได้นำหลักฐานต่าง ๆ มาให้ พวกเขาแล้ว
047_01	ดังนั้น เราได้ตอบแทนบรรดาผู้กระทำความผิดอย่างสาสม และหน้าที่ของเราคือการช่วยเหลือบรรดาผู้ศรัทธา
048_00	อัลลอฮฺทรงเป็นผู้ส่งลมทั้งหลาย แล้วมันได้รวมตัวกันขึ้นเป็นเมฆ แล้วพระองค์ทรงให้มันแผ่กระจายไปตามท้องฟ้า เท่าที่พระองค์ทรงประสงค์
048_01	และพระองค์ทรงทำให้มันเป็นกลุ่มก้อน แล้วเจ้าจะเห็นฝนตกลงมาจากท่ามกลางมัน เมื่อมันได้ตกลงมายังผู้ที่พระองค์ทรงประสงค์จากปวงบ่าวของพระองค์ เมื่อนั้นพวกเขาก็ดีใจ
049_00	และทั้ง ๆ ที่พวกเขา ก่อนที่ฝนจะตกลงมาแก่พวกเขา พวกเขาก็เป็นผู้หมดหวัง
050_00	ดังนั้น เจ้าจงพิจารณาดูร่องรอยแห่งความเมตตาของอัลลอฮฺว่า พระองค์ทรงให้แผ่นดินมีชีวิตชีวาหลังจากความแห้งแล้งของมันอย่างไร แท้จริงในการนั้น แน่นอน พระองค์ย่อมเป็นผู้ทรงให้มีชีวิตแก่คนที่ตายไปแล้ว และพระองค์นั้นเป็นผู้ทรงอานุภาพเหนือทุกสิ่งทุกอย่าง
051_00	และหากเราได้ส่งลมไป แล้วพวกเขาได้เห็นมัน (พืชผล) เป็นสีเหลือง แน่นอนพวกเขาจะกลายเป็นผู้เนรคุณหลังจากนั้น
052_00	ดังนั้น แท้จริงเจ้าจะไม่ทำให้คนตายได้ยิน และเจ้าจะไม่ทำให้คนหูหนวกได้ยินการเรียกร้องได้ เมื่อพวกเขาเป็นผู้ผินหลังกลับ
053_00	และเจ้าก็มิใช่ผู้ชี้นำทางแก่คนตาบอดหลังจากการหลงทางของพวกเขา เจ้ามิได้ทำให้ผู้ใดได้ยิน นอกจากผู้ศรัทธาต่อสัญญาณทั้งหลายของเรา โดยที่พวกเขาเป็นผู้นอบน้อมยอมจำนน
054_00	อัลลอฮฺทรงเป็นผู้สร้างพวกเจ้าในสภาพอ่อนแอ แล้วหลังจากความอ่อนแอพระองค์ก็ทรงทำให้มีความแข็งแรงแล้วหลังจากความแข็งแรงทรงทำให้อ่อนแอและชราภาพ
054_01	พระองค์ทรงสร้างสิ่งที่พระองค์ทรงประสงค์และพระองค์เป็นผู้ทรงรอบรู้ อานุภาพ
055_00	และเมื่อวันอวสานเกิดขึ้น ผู้กระทำผิดทั้งหลายจะสาบานว่า พวกเขามิได้พำนักอยู่ (ในโลกดุนยา) นอกจากเพียงชั่วครู่ชั่วยามเท่านั้น เช่นนั้นแหละ พวกเขาถูกให้หันออก (จากความจริงสู่ความเท็จ)
056_00	และบรรดาผู้มีความรู้และศรัทธา กล่าว (ตอบโต้พวกเขา)
056_01	ว่า “โดยแน่นอน พวกท่านได้พำนักอยู่ตามกำหนดของอัลลอฮฺจนกระทั่งวันฟื้นคืนชีพ ดังนั้นนี่คือวันฟื้นคืนชีพแต่พวกท่านไม่ยอมเชื่อ”
057_00	ในวันนั้นการแก้ตัวของพวกเขาจะไม่อำนวยประโยชน์แก่บรรดาผู้อธรรม และพวกเขาจะไม่ถูกขอร้องให้กลับเนื้อกลับตัว
058_00	และโดยแน่นอนในอัลกุรอานนี้เราได้ยกอุทาหรณ์ไว้ทุกอย่างสำหรับมนุษย์ และหากว่าเจ้านำมาให้พวกเขาสัญญาณหนึ่ง แน่นอน บรรดาผู้ปฏิเสธศรัทธาจะกล่าวว่า “พวกท่านมิใช่ใครอื่น นอกจากเป็นผู้หลอกลวง”
059_00	เช่นนั้นแหละ อัลลอฮฺทรงประทับตราบนหัวใจของบรรดาผู้ไม่ยอมรับรู้
060_00	จงอดทน (ต่อไปเถิดมุฮัมมัด) แท้จริงสัญญาของอัลลอฮฺนั้นเป็นจริงเสมอ และอย่าให้บรรดาผู้ไม่มีความเชื่อมั่นทำให้เจ้ากังวลใจ
