001_00	الم
020_00	کہہ دو کہ ملک میں چلو پھرو اور دیکھو کہ اس نے کس طرح خلقت کو پہلی دفعہ پیدا کیا ہے پھر خدا ہی پچھلی پیدائش پیدا کرے گا۔ بےشک خدا ہر چیز پر قادر ہے
021_00	وہ جسے چاہے عذاب دے اور جس پر چاہے رحم کرے۔ اور اُسی کی طرف تم لوٹائے جاؤ گے
022_00	اور تم (اُس کو) نہ زمین میں عاجز کرسکتے ہو نہ آسمان میں اور نہ خدا کے سوا تمہارا کوئی دوست ہے اور نہ مددگار
023_00	اور جن لوگوں نے خدا کی آیتوں سے اور اس کے ملنے سے انکار کیا وہ میری رحمت سے نااُمید ہوگئے ہیں اور ان کو درد دینے والا عذاب ہوگا
024_00	تو اُن کی قوم کے لوگ جواب میں بولے تو یہ بولے کہ اُسے مار ڈالو یا جلا دو۔ مگر خدا نے اُن کو آگ (کی سوزش) سے بچالیا۔ جو لوگ ایمان رکھتے ہیں اُن کے لئے اس میں نشانیاں ہیں
025_00	اور ابراہیم نے کہا کہ تم جو خدا کو چھوڑ کر بتوں کو لے بیٹھے ہو تو دنیا کی زندگی میں باہم دوستی کے لئے (مگر) پھر قیامت کے
025_01	دن تم ایک دوسرے (کی دوستی) سے انکار کر دو گے اور ایک دوسرے پر لعنت بھیجو گے اور تمہارا ٹھکانا دوزخ ہوگا اور کوئی تمہارا مددگار نہ ہوگا
026_00	پس اُن پر (ایک) لوط ایمان لائے اور (ابراہیم) کہنے لگے کہ میں اپنے پروردگار کی طرف ہجرت کرنے والا ہوں۔ بیشک وہ غالب حکمت والا ہے
027_00	اور ہم نے اُن کو اسحٰق اور یعقوب بخشے اور اُن کی اولاد میں پیغمبری اور کتاب (مقرر) کر دی
027_01	اور ان کو دنیا میں بھی اُن کا صلہ عنایت کیا اور وہ آخرت میں بھی نیک لوگوں میں ہوں گے
028_00	اور لوط (کو یاد کرو) جب اُنہوں نے اپنی قوم سے کہا کہ تم (عجب) بےحیائی کے مرتکب ہوتے ہو۔ تم سے پہلے اہل عالم میں سے کسی نے ایسا کام نہیں کیا
029_00	تم کیوں (لذت کے ارادے سے) لونڈوں کی طرف مائل ہوتے اور (مسافروں کی) رہزنی کرتے ہو اور اپنی مجلسوں میں ناپسندیدہ کام کرتے
029_01	ہو۔ تو اُن کی قوم کے لوگ جواب میں بولے تو یہ بولے کہ اگر تم سچے ہو تو ہم پر عذاب لے آؤ
030_00	لوط نے کہا کہ اے میرے پروردگار ان مفسد لوگوں کے مقابلے میں مجھے نصرت عنایت فرما
031_00	اور جب ہمارے فرشتے ابراہیم کے پاس خوشی کی خبر لے کر آئے تو کہنے لگے کہ ہم اس بستی کے لوگوں کو ہلاک کر دینے والے ہیں کہ یہاں کے رہنے والے نافرمان ہیں
032_00	ابراہیم نے کہا کہ اس میں تو لوط بھی ہیں۔ وہ کہنے لگے کہ جو لوگ یہاں (رہتے) ہیں ہمیں سب معلوم ہیں۔ ہم اُن کو اور اُن کے گھر والوں کو بچالیں گے بجز اُن کی بیوی کے وہ پیچھے رہنے والوں میں ہوگی
033_00	اور جب ہمارے فرشتے لوط کے پاس آئے تو وہ اُن (کی وجہ) سے ناخوش اور تنگ دل ہوئے۔ فرشتوں نے کہا کچھ خوف نہ
033_01	کیجئے۔ اور نہ رنج کیجئے ہم آپ کو اور آپ کے گھر والوں کو بچالیں گے مگر آپ کی بیوی کہ پیچھے رہنے والوں میں ہوگی
034_00	ہم اس بستی کے رہنے والوں پر اس سبب سے کہ یہ بدکرداری کرتے رہے ہیں آسمان سے عذاب نازل کرنے والے ہیں
035_00	اور ہم نے سمجھنے والے لوگوں کے لئے اس بستی سے ایک کھلی نشانی چھوڑ دی
036_00	اور مدین کی طرف اُن کے بھائی شعیب کو (بھیجا) تو اُنہوں نے کہا (اے قوم) خدا کی عبادت کرو اور پچھلے دن کے آنے کی اُمید رکھو اور ملک میں فساد نہ مچاؤ
037_00	مگر اُنہوں نے اُن کو جھوٹا سمجھا سو اُن کو زلزلے (کے عذاب) نے آپکڑا اور وہ اپنے گھروں میں اوندھے پڑے رہ گئے
038_00	اور عاد اور ثمود کو بھی (ہم نے ہلاک کر دیا) چنانچہ اُن کے (ویران گھر) تمہاری آنکھوں کے سامنے ہیں اور شیطان نے اُن کے اعمال ان کو آراستہ کر دکھائے اور ان کو (سیدھے) رستے سے روک دیا۔ حالانکہ وہ دیکھنے والے (لوگ) تھے
039_00	اور قارون اور فرعون اور ہامان کو بھی (ہلاک کر دیا) اور اُن کے پاس موسٰی کھلی نشانی لےکر آئے تو وہ ملک میں مغرور ہوگئے اور ہمارے قابو سے نکل جانے والے نہ تھے
040_00	تو ہم نے سب کو اُن کے گناہوں کے سبب پکڑ لیا۔ سو ان میں کچھ تو ایسے تھے جن پر ہم نے پتھروں کا
040_01	مینھہ برسایا۔ اور کچھ ایسے تھے جن کو چنگھاڑ نے آپکڑا اور کچھ ایسے تھے جن کو ہم نے زمین میں دھنسا دیا۔ اور کچھ
040_02	ایسے تھے جن کو غرق کر دیا اور خدا ایسا نہ تھا کہ اُن پر ظلم کرتا لیکن وہی اپنے آپ پر ظلم کرتے تھے
041_00	جن لوگوں نے خدا کے سوا (اوروں کو) کارساز بنا رکھا ہے اُن کی مثال مکڑی کی سی ہے کہ وہ بھی ایک
041_01	(طرح کا) گھر بناتی ہے۔ اور کچھ شک نہیں کہ تمام گھروں سے کمزور مکڑی کا گھر ہے کاش یہ (اس بات کو) جانتے
042_00	یہ جس چیز کو خدا کے سوا پکارتے ہیں (خواہ) وہ کچھ ہی ہو خدا اُسے جانتا ہے۔ اور وہ غالب اور حکمت والا ہے
043_00	اور یہ مثالیں ہم لوگوں کے (سمجھانے کے) لئے بیان کرتے ہیں اور اُسے تو اہلِ دانش ہی سمجھتے ہیں
044_00	خدا نے آسمانوں اور زمین کو حکمت کے ساتھ پیدا کیا ہے۔ کچھ شک نہیں کہ ایمان والوں کے لئے اس میں نشانی ہے
045_00	(اے محمدﷺ!
045_01	یہ) کتاب جو تمہاری طرف وحی کی گئی ہے اس کو پڑھا کرو اور نماز کے پابند رہو۔ کچھ شک نہیں کہ نماز بےحیائی اور بری باتوں سے روکتی ہے۔ اور خدا کا ذکر بڑا (اچھا کام) ہے۔ اور جو کچھ تم کرتے ہو خدا اُسے جانتا ہے
046_00	اور اہلِ کتاب سے جھگڑا نہ کرو مگر ایسے طریق سے کہ نہایت اچھا ہو۔ ہاں جو اُن میں سے بےانصافی کریں (اُن کے ساتھ اسی طرح مجادلہ کرو) اور کہہ دو
046_01	کہ جو (کتاب) ہم پر اُتری اور جو (کتابیں) تم پر اُتریں ہم سب پر ایمان رکھتے ہیں اور ہمارا اور تمہارا معبود ایک ہی ہے اور ہم اُسی کے فرمانبردار ہیں
047_00	اور اسی طرح ہم نے تمہاری طرف کتاب اُتاری ہے۔ تو جن لوگوں کو ہم نے کتابیں دی تھیں وہ اس پر ایمان لے آتے ہیں۔
047_01	اور بعض ان (مشرک) لوگوں میں سے بھی اس پر ایمان لے آتے ہیں۔ اور ہماری آیتوں سے وہی انکار کرتے ہیں جو کافر (ازلی) ہیں
048_00	اور تم اس سے پہلے کوئی کتاب نہیں پڑھتے تھے اور نہ اُسے اپنے ہاتھ سے لکھ ہی سکتے تھے ایسا ہوتا تو اہلِ باطل ضرور شک کرتے
049_00	بلکہ یہ روشن آیتیں ہیں۔ جن لوگوں کو علم دیا گیا ہے اُن کے سینوں میں (محفوظ) اور ہماری آیتوں سے وہی لوگ انکار کرتے ہیں جو بےانصاف ہیں
050_00	اور (کافر) کہتے ہیں کہ اس پر اس کے پروردگار کی طرف سے نشانیاں کیوں نازل نہیں ہوئیں کہہ دو کہ نشانیاں تو خدا ہی کے پاس ہیں۔ اور میں تو کھلم کھلا ہدایت کرنے والا ہوں
051_00	کیا اُن لوگوں کے لئے یہ کافی نہیں کہ ہم نے تم پر کتاب نازل کی جو اُن کو پڑھ کر سنائی جاتی ہے۔ کچھ شک نہیں کہ مومن لوگوں کے لیے اس میں رحمت اور نصیحت ہے
052_00	کہہ دو کہ میرے اور تمہارے درمیان خدا ہی گواہ کافی ہے جو چیز آسمانوں میں اور زمین میں ہے وہ
052_01	سب کو جانتا ہے۔ اور جن لوگوں نے باطل کو مانا اور خدا سے انکار کیا وہی نقصان اُٹھانے والے ہیں
053_00	اور یہ لوگ تم سے عذاب کے لئے جلدی کر رہے ہیں۔ اگر ایک وقت مقرر نہ (ہو چکا) ہوتا تو اُن پر عذاب آبھی گیا ہوتا۔ اور وہ (کسی وقت میں) اُن پر ضرور ناگہاں آکر رہے گا اور اُن کو معلوم بھی نہ ہوگا
054_00	یہ تم سے عذاب کے لئے جلدی کررہے ہیں۔ اور دوزخ تو کافروں کو گھیر لینے والی ہے
055_00	جس دن عذاب اُن کو اُن کے اُوپر سے اور نیچے سے ڈھانک لے گا اور (خدا) فرمائے گا کہ جو کام تم کیا کرتے تھے (اب) اُن کا مزہ چکھو
056_00	اے میرے بندو جو ایمان لائے ہو میری زمین فراخ ہے تو میری ہی عبادت کرو
057_00	ہر متنفس موت کا مزہ چکھنے والا ہے۔ پھر تم ہماری ہی طرف لوٹ کر آؤ گے
058_00	اور جو لوگ ایمان لائے اور نیک عمل کرتے رہے اُن کو ہم بہشت کے اُونچے اُونچے محلوں میں جگہ دیں گے۔ جن کے نیچے نہریں بہ رہی ہیں۔ ہمیشہ ان میں رہیں گے۔ (نیک) عمل کرنے والوں کا (یہ) خوب بدلہ ہے
059_00	جو صبر کرتے اور اپنے پروردگار پر بھروسہ رکھتے ہیں
060_00	اور بہت سے جانور ہیں جو اپنا رزق اُٹھائے نہیں پھرتے خدا ہی ان کو رزق دیتا ہے اور تم کو بھی۔ اور وہ سننے والا اور جاننے والا ہے
061_00	اور اگر اُن سے پوچھو کہ آسمانوں اور زمین کو کس نے پیدا کیا۔ اور سورج اور چاند کو کس نے (تمہارے) زیر فرمان کیا تو کہہ دیں گے خدا نے۔ تو پھر یہ کہاں اُلٹے جا رہے ہیں
062_00	خدا ہی اپنے بندوں میں سے جس کے لئے چاہتا ہے روزی فراخ کر دیتا ہے اور جس کے لئے چاہتا ہے تنگ کر دیتا ہے بیشک خدا ہر چیز سے واقف ہے
063_00	اور اگر تم ان سے پوچھو کہ آسمان سے پانی کس نے نازل فرمایا پھر اس سے زمین کو اس کے مرنے کے بعد
063_01	(کس نے) زندہ کیا تو کہہ دیں گے کہ خدا نے۔ کہہ دو کہ خدا کا شکر ہے۔ لیکن ان میں اکثر نہیں سمجھتے
064_00	اور یہ دنیا کی زندگی تو صرف کھیل اور تماشہ ہے اور (ہمیشہ کی) زندگی (کا مقام) تو آخرت کا گھر ہے۔ کاش یہ (لوگ) سمجھتے
065_00	پھر جب یہ کشتی میں سوار ہوتے ہیں تو خدا کو پکارتے (اور) خالص اُسی کی عبادت کرتے ہیں۔ لیکن جب وہ اُن کو نجات دے کر خشکی پر پہنچا دیتا ہے تو جھٹ شرک کرنے لگے جاتے ہیں
066_00	تاکہ جو ہم نے اُن کو بخشا ہے اُس کی ناشکری کریں اور فائدہ اٹھائیں (سو خیر) عنقریب اُن کو معلوم ہوجائے گا
067_00	کیا اُنہوں نے نہیں دیکھا کہ ہم نے حرم کو مقام امن بنایا ہے اور لوگ اس کے گرد ونواح سے اُچک لئے جاتے ہیں۔ کیا یہ لوگ باطل پر اعتقاد رکھتے ہیں اور خدا کی نعمتوں کی ناشکری کرتے ہیں
068_00	اور اس سے ظالم کون جو خدا پر جھوٹ بہتان باندھے یا جب حق بات اُس کے پاس آئے تو اس کی تکذیب کرے۔ کیا کافروں کا ٹھکانا جہنم میں نہیں ہے؟
069_00	اور جن لوگوں نے ہمارے لئے کوشش کی ہم اُن کو ضرور اپنے رستے دکھا دیں گے۔ اور خدا تو نیکو کاروں کے ساتھ ہے
