001_00	(خدا جو) نہایت مہربان
042_00	تو تم اپنے پروردگار کی کون کون سی نعمت کو جھٹلاؤ گے؟
043_00	یہی وہ جہنم ہے جسے گنہگار لوگ جھٹلاتے تھے
044_00	وہ دوزخ اور کھولتے ہوئے گرم پانی کے درمیان گھومتے پھریں گے
045_00	تو تم اپنے پروردگار کی کون کون سی نعمت کو جھٹلاؤ گے؟
046_00	اور جو شخص اپنے پروردگار کے سامنے کھڑے ہونے سے ڈرا اس کے لئے دو باغ ہیں
047_00	تو تم اپنے پروردگار کی کون کون سی نعمت کو جھٹلاؤ گے؟
048_00	ان دونوں میں بہت سی شاخیں (یعنی قسم قسم کے میووں کے درخت ہیں)
049_00	تو تم اپنے پروردگار کی کون کون سی نعمت کو جھٹلاؤ گے؟
050_00	ان میں دو چشمے بہہ رہے ہیں
051_00	تو تم اپنے پروردگار کی کون کون سی نعمت کو جھٹلاؤ گے؟
052_00	ان میں سب میوے دو دو قسم کے ہیں
053_00	تو تم اپنے پروردگار کی کون کون سی نعمت کو جھٹلاؤ گے؟
054_00	(اہل جنت) ایسے بچھونوں پر جن کے استرا طلس کے ہیں تکیہ لگائے ہوئے ہوں گے۔ اور دونوں باغوں کے میوے قریب (جھک رہے) ہیں
055_00	تو تم اپنے پروردگار کی کون کون سی نعمت کو جھٹلاؤ گے؟
056_00	ان میں نیچی نگاہ والی عورتیں ہیں جن کو اہل جنت سے پہلے نہ کسی انسان نے ہاتھ لگایا اور نہ کسی جن نے
057_00	تو تم اپنے پروردگار کی کون کون سی نعمت کو جھٹلاؤ گے؟
058_00	گویا وہ یاقوت اور مرجان ہیں
059_00	تو تم اپنے پروردگار کی کون کون سی نعمت کو جھٹلاؤ گے؟
060_00	نیکی کا بدلہ نیکی کے سوا کچھ نہیں ہے
061_00	تو تم اپنے پروردگار کی کون کون سی نعمت کو جھٹلاؤ گے؟
062_00	اور ان باغوں کے علاوہ دو باغ اور ہیں
063_00	تو تم اپنے پروردگار کی کون کون سی نعمت کو جھٹلاؤ گے؟
064_00	دونوں خوب گہرے سبز
065_00	تو تم اپنے پروردگار کی کون کون سی نعمت کو جھٹلاؤ گے؟
066_00	ان میں دو چشمے ابل رہے ہیں
067_00	تو تم اپنے پروردگار کی کون کون سی نعمت کو جھٹلاؤ گے؟
068_00	ان میں میوے اور کھجوریں اور انار ہیں
069_00	تو تم اپنے پروردگار کی کون کون سی نعمت کو جھٹلاؤ گے؟
070_00	ان میں نیک سیرت (اور) خوبصورت عورتیں ہیں
071_00	تو تم اپنے پروردگار کی کون کون سی نعمت کو جھٹلاؤ گے؟
072_00	(وہ) حوریں (ہیں جو) خیموں میں مستور (ہیں)
073_00	تو تم اپنے پروردگار کی کون کون سی نعمت کو جھٹلاؤ گے؟
074_00	ان کو اہل جنت سے پہلے نہ کسی انسان نے ہاتھ لگایا اور نہ کسی جن نے
075_00	تو تم اپنے پروردگار کی کون کون سی نعمت کو جھٹلاؤ گے؟
076_00	سبز قالینوں اور نفیس مسندوں پر تکیہ لگائے بیٹھے ہوں گے
077_00	تو تم اپنے پروردگار کی کون کون سی نعمت کو جھٹلاؤ گے؟
078_00	(اے محمدﷺ) تمہارا پروردگار جو صاحب جلال وعظمت ہے اس کا نام بڑا بابرکت ہے
