001_00	طٰسٓمٓ
051_00	ہمیں امید ہے کہ ہمارا پروردگار ہمارے گناہ بخش دے گا۔ اس لئے کہ ہم اول ایمان لانے والوں میں ہیں
052_00	اور ہم نے موسیٰ کی طرف وحی بھیجی کہ ہمارے بندوں کو رات کو لے نکلو کہ (فرعونیوں کی طرف سے) تمہارا تعاقب کیا جائے گا
053_00	تو فرعون نے شہروں میں نقیب راونہ کئے
054_00	(اور کہا) کہ یہ لوگ تھوڑی سی جماعت ہے
055_00	اور یہ ہمیں غصہ دلا رہے ہیں
056_00	اور ہم سب باسازو سامان ہیں
057_00	تو ہم نے ان کو باغوں اور چشموں سے نکال دیا
058_00	اور خزانوں اور نفیس مکانات سے
059_00	(ان کے ساتھ ہم نے) اس طرح (کیا) اور ان چیزوں کا وارث بنی اسرائیل کو کر دیا
060_00	تو انہوں نے سورج نکلتے (یعنی صبح کو) ان کا تعاقب کیا
061_00	جب دونوں جماعتیں آمنے سامنے ہوئیں تو موسیٰ کے ساتھی کہنے لگے کہ ہم تو پکڑ لئے گئے
062_00	موسیٰ نے کہا ہرگز نہیں میرا پروردگار میرے ساتھ ہے وہ مجھے رستہ بتائے گا
063_00	اس وقت ہم نے موسیٰ کی طرف وحی بھیجی کہ اپنی لاٹھی دریا پر مارو۔ تو دریا پھٹ گیا۔ اور ہر ایک ٹکڑا (یوں) ہوگیا (کہ) گویا بڑا پہاڑ (ہے)
064_00	اور دوسروں کو وہاں ہم نے قریب کردیا
065_00	اور موسیٰ اور ان کے ساتھ والوں کو تو بچا لیا
066_00	پھر دوسروں کو ڈبو دیا
067_00	بےشک اس (قصے) میں نشانی ہے۔ لیکن یہ اکثر ایمان لانے والے نہیں
068_00	اور تمہارا پروردگار تو غالب (اور) مہربان ہے
069_00	اور ان کو ابراہیم کا حال پڑھ کر سنا دو
070_00	جب انہوں نے اپنے باپ اور اپنی قوم کے لوگوں سے کہا کہ تم کس چیز کو پوجتے ہو
071_00	وہ کہنے لگے کہ ہم بتوں کو پوجتے ہیں اور ان کی پوجا پر قائم ہیں
072_00	ابراہیم نے کہا کہ جب تم ان کو پکارتے ہو تو کیا وہ تمہاری آواز کو سنتے ہیں؟
073_00	یا تمہیں کچھ فائدے دے سکتے یا نقصان پہنچا سکتے ہیں؟
074_00	انہوں نے کہا (نہیں) بلکہ ہم نے اپنے باپ دادا کو اسی طرح کرتے دیکھا ہے
075_00	ابراہیم نے کہا کیا تم نے دیکھا کہ جن کو تم پوجتے رہے ہو
076_00	تم بھی اور تمہارے اگلے باپ دادا بھی
077_00	وہ میرے دشمن ہیں۔ مگر خدائے رب العالمین (میرا دوست ہے)
078_00	جس نے مجھے پیدا کیا ہے اور وہی مجھے رستہ دکھاتا ہے
079_00	اور وہ جو مجھے کھلاتا اور پلاتا ہے
080_00	اور جب میں بیمار پڑتا ہوں تو مجھے شفا بخشتا ہے
081_00	اور جو مجھے مارے گا اور پھر زندہ کرے گا
082_00	اور وہ جس سے میں امید رکھتا ہوں کہ قیامت کے دن میرے گناہ بخشے گا
083_00	اے پروردگار مجھے علم ودانش عطا فرما اور نیکوکاروں میں شامل کر
084_00	اور پچھلے لوگوں میں میرا ذکر نیک (جاری) کر
085_00	اور مجھے نعمت کی بہشت کے وارثوں میں کر
086_00	اور میرے باپ کو بخش دے کہ وہ گمراہوں میں سے ہے
087_00	اور جس دن لوگ اٹھا کھڑے کئے جائیں گے مجھے رسوا نہ کیجیو
088_00	جس دن نہ مال ہی کچھ فائدہ دے سکا گا اور نہ بیٹے
089_00	ہاں جو شخص خدا کے پاس پاک دل لے کر آیا (وہ بچ جائے گا)
090_00	اور بہشت پرہیزگاروں کے قریب کردی جائے گی
091_00	اور دوزخ گمراہوں کے سامنے لائی جائے گی
092_00	اور ان سے کہا جائے گا کہ جن کو تم پوجتے تھے وہ کہاں ہیں؟
093_00	یعنی جن کو خدا کے سوا (پوجتے تھے) کیا وہ تمہاری مدد کرسکتے ہیں یا خود بدلہ لے سکتے ہیں
094_00	تو وہ اور گمراہ (یعنی بت اور بت پرست) اوندھے منہ دوزخ میں ڈال دیئے جائیں گے
095_00	اور شیطان کے لشکر سب کے سب (داخل جہنم ہوں گے)
096_00	وہ آپس میں جھگڑیں گے اور کہیں گے
097_00	کہ خدا کی قسم ہم تو صریح گمراہی میں تھے
098_00	جب کہ تمہیں (خدائے) رب العالمین کے برابر ٹھہراتے تھے
099_00	اور ہم کو ان گنہگاروں ہی نے گمراہ کیا تھا
100_00	تو (آج) نہ کوئی ہمارا سفارش کرنے والا ہے
101_00	اور نہ گرم جوش دوست
102_00	کاش ہمیں (دنیا میں) پھر جانا ہو تم ہم مومنوں میں ہوجائیں
103_00	بےشک اس میں نشانی ہے اور ان میں اکثر ایمان لانے والے نہیں
104_00	اور تمہارا پروردگار تو غالب اور مہربان ہے
105_00	قوم نوح نے بھی پیغمبروں کو جھٹلایا
106_00	جب ان سے ان کے بھائی نوح نے کہا کہ تم ڈرتے کیوں نہیں
107_00	میں تو تمہارا امانت دار ہوں
108_00	تو خدا سے ڈرو اور میرا کہا مانو
109_00	اور اس کام کا تم سے کچھ صلہ نہیں مانگتا۔ میرا صلہ تو خدائے رب العالمین ہی پر ہے
110_00	تو خدا سے ڈرو اور میرے کہنے پر چلو
111_00	وہ بولے کہ کیا ہم تم کو مان لیں اور تمہارے پیرو تو رذیل لوگ ہوتے ہیں
112_00	نوح نے کہا کہ مجھے کیا معلوم کہ وہ کیا کرتے ہیں
113_00	ان کا حساب (اعمال) میرے پروردگار کے ذمے ہے کاش تم سمجھو
114_00	اور میں مومنوں کو نکال دینے والا نہیں ہوں
115_00	میں تو صرف کھول کھول کر نصیحت کرنے والا ہوں
116_00	انہوں نے کہا کہ نوح اگر تم باز نہ آؤ گے تو سنگسار کردیئے جاؤ گے
117_00	نوح نے کہا کہ پروردگار میری قوم نے تو مجھے جھٹلا دیا
118_00	سو تو میرے اور ان کے درمیان ایک کھلا فیصلہ کردے اور مجھے اور جو میرے ساتھ ہیں ان کو بچا لے
119_00	پس ہم نے ان کو اور جو ان کے ساتھ کشتی میں سوار تھے، ان کو بچا لیا
120_00	پھر اس کے بعد باقی لوگوں کو ڈبو دیا
121_00	بےشک اس میں نشانی ہے اور ان میں اکثر ایمان لانے والے نہیں تھے
122_00	اور تمہارا پروردگار تو غالب (اور) مہربان ہے
123_00	عاد نے بھی پیغمبروں کو جھٹلایا
124_00	جب ان سے ان کے بھائی ہود نے کہا کیا تم ڈرتے نہیں
125_00	میں تو تمہارا امانت دار پیغمبر ہوں
126_00	تو خدا سے ڈرو اور میرا کہا مانو
127_00	اور میں اس کا تم سے کچھ بدلہ نہیں مانگتا۔ میرا بدلہ (خدائے) رب العالمین کے ذمے ہے
128_00	بھلا تم ہر اونچی جگہ پر نشان تعمیر کرتے ہو
129_00	اور محل بناتے ہو شاید تم ہمیشہ رہو گے
130_00	اور جب (کسی کو) پکڑتے ہو تو ظالمانہ پکڑتے ہو
131_00	تو خدا سے ڈرو اور میری اطاعت کرو
132_00	اور اس سے جس نے تم کو ان چیزوں سے مدد دی جن کو تم جانتے ہو۔ ڈرو
133_00	اس نے تمہیں چارپایوں اور بیٹوں سے مدد دی
134_00	اور باغوں اور چشموں سے
135_00	مجھ کو تمہارے بارے میں بڑے (سخت) دن کے عذاب کا خوف ہے
136_00	وہ کہنے لگے کہ ہمیں خواہ نصیحت کرو یا نہ کرو ہمارے لئے یکساں ہے
137_00	یہ تو اگلوں ہی کے طریق ہیں
138_00	اور ہم پر کوئی عذاب نہیں آئے گا
139_00	تو انہوں نے ہود کو جھٹلایا تو ہم نے ان کو ہلاک کر ڈالا۔ بےشک اس میں نشانی ہے۔ اور ان میں اکثر ایمان لانے والے نہیں تھے
140_00	اور تمہارا پروردگار تو غالب اور مہربان ہے
141_00	(اور) قوم ثمود نے بھی پیغمبروں کو جھٹلا دیا
142_00	جب ان سے ان کے بھائی صالح نے کہا کہ تم ڈرتے کیوں نہیں؟
143_00	میں تو تمہارا امانت دار ہوں
144_00	تو خدا سے ڈرو اور میرا کہا مانو
145_00	اور میں اس کا تم سے بدلہ نہیں مانگتا۔ میرا بدلہ (خدا) رب العالمین کے ذمے ہے
146_00	کیا وہ چیزیں (تمہیں یہاں میسر) ہیں ان میں تم بےخوف چھوڑ دیئے جاؤ گے
147_00	(یعنی) باغ اور چشمے
148_00	اور کھیتیاں اور کھجوریں جن کے خوشے لطیف ونازک ہوتے ہیں
149_00	اور تکلف سے پہاڑوں میں تراش خراش کر گھر بناتے ہو
150_00	تو خدا سے ڈرو اور میرے کہنے پر چلو
151_00	اور حد سے تجاوز کرنے والوں کی بات نہ مانو
152_00	جو ملک میں فساد کرتے ہیں اور اصلاح نہیں کرتے
153_00	وہ کہنے لگے کہ تم تو جادو زدہ ہو
154_00	تم اور کچھ نہیں ہماری طرح آدمی ہو۔ اگر سچے ہو تو کوئی نشانی پیش کرو
155_00	صالح نے کہا (دیکھو) یہ اونٹنی ہے (ایک دن) اس کی پانی پینے کی باری ہے اور ایک معین روز تمہاری باری
156_00	اور اس کو کوئی تکلیف نہ دینا (نہیں تو) تم کو سخت عذاب آ پکڑے گا
157_00	تو انہوں نے اس کی کونچیں کاٹ ڈالیں پھر نادم ہوئے
158_00	سو ان کو عذاب نے آن پکڑا۔ بےشک اس میں نشانی ہے۔ اور ان میں اکثر ایمان لانے والے نہیں تھے
159_00	اور تمہارا پروردگار تو غالب (اور) مہربان ہے
160_00	(اور قوم) لوط نے بھی پیغمبروں کو جھٹلایا
161_00	جب ان سے ان کے بھائی لوط نے کہا کہ تم کیوں نہیں ڈرتے؟
162_00	میں تو تمہارا امانت دار پیغمبر ہوں
163_00	تو خدا سے ڈرو اور میرا کہا مانو
164_00	اور میں تم سے اس (کام) کا بدلہ نہیں مانگتا۔ میرا بدلہ (خدائے) رب العالمین کے ذمے ہے
165_00	کیا تم اہل عالم میں سے لڑکوں پر مائل ہوتے ہو
166_00	اور تمہارے پروردگار نے جو تمہارے لئے تمہاری بیویاں پیدا کی ہیں ان کو چھوڑ دیتے ہو۔ حقیقت یہ ہے کہ تم حد سے نکل جانے والے ہو
167_00	وہ کہنے لگے کہ لوط اگر تم باز نہ آؤ گے تو شہر بدر کردیئے جاؤ گے
168_00	لوط نے کہا کہ میں تمہارے کام کا سخت دشمن ہوں
169_00	اے میرے پروردگار مجھ کو اور میرے گھر والوں کو ان کے کاموں (کے وبال) سے نجات دے
170_00	سو ہم نے ان کو اور ان کے گھر والوں کو سب کو نجات دی
171_00	مگر ایک بڑھیا کہ پیچھے رہ گئی
172_00	پھر ہم نے اوروں کو ہلاک کردیا
173_00	اور ان پر مینھہ برسایا۔ سو جو مینھہ ان (لوگوں) پر (برسا) جو ڈرائے گئے برا تھا
174_00	بےشک اس میں نشانی ہے۔ اور ان میں اکثر ایمان لانے والے نہیں تھے
175_00	اور تمہارا پروردگار تو غالب (اور) مہربان ہے۔
176_00	اور بن کے رہنے والوں نے بھی پیغمبروں کو جھٹلایا
177_00	جب ان سے شعیب نے کہا کہ تم ڈرتے کیوں نہیں؟
178_00	میں تو تمہارا امانت دار پیغمبر ہوں
179_00	تو خدا سے ڈرو اور میرا کہا مانو
180_00	اور میں اس کام کا تم سے کچھ بدلہ نہیں مانگتا میرا بدلہ تو خدائے رب العالمین کے ذمے ہے
181_00	(دیکھو) پیمانہ پورا بھرا کرو اور نقصان نہ کیا کرو
182_00	اور ترازو سیدھی رکھ کر تولا کرو
183_00	اور لوگوں کو ان کی چیزیں کم نہ دیا کرو اور ملک میں فساد نہ کرتے پھرو
184_00	اور اس سے ڈرو جس نے تم کو اور پہلی خلقت کو پیدا کیا
185_00	وہ کہنے لگے کہ تم جادو زدہ ہو
186_00	اور تم اور کچھ نہیں ہم ہی جیسے آدمی ہو۔ اور ہمارا خیال ہے کہ تم جھوٹے ہو
187_00	اور اگر سچے ہو تو ہم پر آسمان سے ایک ٹکڑا لا کر گراؤ
188_00	شعیب نے کہا کہ جو کام تم کرتے ہو میرا پروردگار اس سے خوب واقف ہے
189_00	تو ان لوگوں نے ان کو جھٹلایا، پس سائبان کے عذاب نے ان کو آ پکڑا۔ بےشک وہ بڑے (سخت) دن کا عذاب تھا
190_00	اس میں یقیناً نشانی ہے۔ اور ان میں اکثر ایمان لانے والے نہیں تھے
191_00	اور تمہارا پروردگار تو غالب (اور) مہربان ہے
192_00	اور یہ قرآن (خدائے) پروردگار عالم کا اُتارا ہوا ہے
193_00	اس کو امانت دار فرشتہ لے کر اُترا ہے
194_00	(یعنی اس نے) تمہارے دل پر (القا) کیا ہے تاکہ (لوگوں کو) نصیحت کرتے رہو
195_00	اور (القا بھی) فصیح عربی زبان میں (کیا ہے)
196_00	اور اس کی خبر پہلے پیغمبروں کی کتابوں میں (لکھی ہوئی) ہے
197_00	کیا ان کے لئے یہ سند نہیں ہے کہ علمائے بنی اسرائیل اس (بات) کو جانتے ہیں
198_00	اور اگر ہم اس کو کسی غیر اہل زبان پر اُتارتے
199_00	اور وہ اسے ان (لوگوں کو) پڑھ کر سناتا تو یہ اسے (کبھی) نہ مانتے
200_00	اسی طرح ہم نے انکار کو گنہگاروں کے دلوں میں داخل کردیا
201_00	وہ جب تک درد دینے والا عذاب نہ دیکھ لیں گے، اس کو نہیں مانیں گے
202_00	وہ ان پر ناگہاں آ واقع ہوگا اور انہیں خبر بھی نہ ہوگی
203_00	اس وقت کہیں گے کیا ہمیں ملہت ملے گی؟
204_00	تو کیا یہ ہمارے عذاب کو جلدی طلب کر رہے ہیں
205_00	بھلا دیکھو تو اگر ہم ان کو برسوں فائدے دیتے رہے
206_00	پھر ان پر وہ (عذاب) آ واقع ہو جس کا تم سے وعدہ کیا جاتا ہے
207_00	تو جو فائدے یہ اٹھاتے رہے ان کے کس کام آئیں گے
208_00	اور ہم نے کوئی بستی ہلاک نہیں کی مگر اس کے لئے نصیحت کرنے والے (پہلے بھیج دیتے) تھے
209_00	نصیحت کردیں اور ہم ظالم نہیں ہیں
210_00	اور اس (قرآن) کو شیطان لے کر نازل نہیں ہوئے
211_00	یہ کام نہ تو ان کو سزاوار ہے اور نہ وہ اس کی طاقت رکھتے ہیں
212_00	وہ (آسمانی باتوں) کے سننے (کے مقامات) سے الگ کر دیئے گئے ہیں
213_00	تو خدا کے سوا کسی اور معبود کو مت پکارنا، ورنہ تم کو عذاب دیا جائے گا
214_00	اور اپنے قریب کے رشتہ داروں کو ڈر سنا دو
215_00	اور جو مومن تمہارے پیرو ہوگئے ہیں ان سے متواضع پیش آؤ
216_00	پھر اگر لوگ تمہاری نافرمانی کریں تو کہہ دو کہ میں تمہارے اعمال سے بےتعلق ہوں
217_00	اور (خدائے) غالب اور مہربان پر بھروسا رکھو
218_00	جو تم کو جب تم (تہجد) کے وقت اُٹھتے ہو دیکھتا ہے
219_00	اور نمازیوں میں تمہارے پھرنے کو بھی
220_00	بےشک وہ سننے اور جاننے والا ہے
221_00	(اچھا) میں تمیں بتاؤں کہ شیطان کس پر اُترتے ہیں
222_00	ہر جھوٹے گنہگار پر اُترتے ہیں
223_00	جو سنی ہوئی بات (اس کے کام میں) لا ڈالتے ہیں اور وہ اکثر جھوٹے ہیں
224_00	اور شاعروں کی پیروی گمراہ لوگ کیا کرتے ہیں
225_00	کیا تم نے نہیں دیکھا کہ وہ ہر وادی میں سر مارتے پھرتے ہیں
226_00	اور کہتے وہ ہیں جو کرتے نہیں
227_00	مگر جو لوگ ایمان لائے اور نیک کام کئے اور خدا کو بہت یاد کرتے رہے اور اپنے اوپر
227_01	ظلم ہونے کے بعد انتقام لیا اور ظالم عنقریب جان لیں گے کہ کون سی جگہ لوٹ کر جاتے ہیں
