001_00	Alif, Lâm, Mìm.
060_01	E, improvvisamente, sgorgarono dodici fonti, e ogni tribù seppe dove doveva bere! «Mangiate e bevete il sostentamento di Allah e non spargete la corruzione sulla terra.»
061_00	E quando diceste: «O Mosè, non possiamo più tollerare un unico alimento.
061_01	Prega per noi il tuo Signore che, dalla terra, faccia crescere per noi legumi, cetrioli, aglio, lenticchie e cipolle!».
061_02	Egli disse: «Volete scambiare il meglio con il peggio?
061_03	Tornate in una città , colà troverete certamente quello che chiedete!».
061_04	E furono colpiti dall'abiezione e dalla miseria e subirono la collera di Allah, perché dissimulavano i segni di Allah e uccidevano i profeti ingiustamente. Questo perché disobbedivano e trasgredivano.
062_00	In verità coloro che credono e i giudei, nazareni o sabei, tutti quelli che credono in Allah e nell'Ultimo Giorno e compiono il bene riceveranno il compenso presso il loro Signore.
062_01	Non avranno nulla da temere e non saranno afflitti.
063_00	E quando stringemmo il Patto con voi ed elevammo il Monte: «Tenetevi saldi a quello che vi abbiamo dato e ricordatevi di quello che contiene!». Forse potrete essere timorati.
064_00	Ma poi volgeste le spalle, e senza la grazia di Allah e la Sua misericordia per voi, sareste certamente stati tra i perdenti.
065_00	Avrete saputo di quelli dei vostri che trasgredirono il Sabato ai quali dicemmo: «Siate scimmie reiette».
066_00	Ne facemmo un terribile esempio per i loro contemporanei e per le generazioni che sarebbero seguite e un ammonimento ai timorati.
067_00	Il nome della sura deriva dal vers. Il vers. è statò rivelato durante il pellegrinaggio dell'addio.
067_01	In nome di Allah, il Compassionevole, il Misericordioso. E quando Mosè disse al suo popolo: «Allah vi ordina di sacrificare una giovenca!». Risposero: «Ti prendi gioco di noi?». «Mi rifugio in Allah dall'essere tra gli ignoranti.»
068_00	Dissero: «Chiedi per noi al tuo Signore che ci indichi come deve essere». Rispose: «Allah dice che deve essere una giovenca né vecchia né vergine, ma di età media. Fate quello che vi si comanda!».
069_00	Dissero: «Chiedi per noi al tuo Signore che ci indichi di che colore deve essere». Rispose: «Allah dice che dev'essere una giovenca gialla, di un colore vivo che rallegri la vista».
070_00	Dissero: «Chiedi al tuo Signore che dia maggiori particolari, perché veramente per noi le giovenche si assomigliano tutte. Così, se Allah vuole, saremo ben guidati».
071_00	Rispose: «Egli dice che deve essere una giovenca che non sia stata soggiogata al lavoro dei campi o all'irrigazione, sana e senza difetti».
071_01	Dissero: «Ecco, ora ce l'hai descritta esattamente». La sacrificarono, ma mancò poco che non lo facessero.
072_00	Avevate ucciso un uomo e vi accusavate a vicenda… Ma Allah palesò quello che cercavate di occultare.
073_00	Allora dicemmo: «Colpite il cadavere con una parte della giovenca». Così Allah resuscita i morti e vi mostra i Suoi segni affinché possiate comprendere.
074_00	Dopo di ciò i vostri cuori si sono induriti ancora una volta, ed essi sono come pietre o ancora più duri.
074_01	Vi sono infatti pietre da cui scaturiscono i ruscelli, che si spaccano perché l'acqua fuoriesca, e altre che franano per il timore di Allah. E Allah non è incurante di quello che fate.
075_00	Sperate forse che divengano credenti per il vostro piacere, quando c'è un gruppo dei loro che ha ascoltato la Parola di Allah per poi corromperla scientemente dopo averla compresa.
076_00	E quando incontrano i credenti, dicono: «Anche noi crediamo».
076_01	Ma quando sono tra loro dicono: «Volete dibattere con loro a proposito di quello che Allah vi ha mostrato, perché lo possano utilizzare contro di voi davanti al vostro Signore? Non comprendete?».
077_00	Non sanno che Allah conosce quello che celano e quello che palesano.
078_00	E tra loro ci sono illetterati che hanno solo una vaga idea delle Scritture sulle quali fanno vane congetture.
079_00	Guai a coloro che scrivono il Libro con le loro mani e poi dicono: «Questo proviene da Allah»
079_01	e lo barattano per un vii prezzo! Guai a loro per quello che le loro mani hanno scritto, e per quello che hanno ottenuto in cambio.
080_00	E hanno detto: «Il Fuoco ci lambirà solo per pochi giorni!». Di' loro: «Avete forse fatto un patto con Allah?
080_01	In tal caso Allah non manca mai al Suo patto! Dite a proposito di Allah cose di cui non sapete nulla».
081_00	Badate, chi opera il male ed è circondato dal suo errore, questi sono i compagni del Fuoco, vi rimarranno in perpetuità.
082_00	E coloro che hanno creduto e operato nel bene, sono i compagni del Paradiso e vi rimarranno in perpetuità.
083_00	E quando stringemmo il patto con i Figli di Israele: «Non adorerete altri che Allah, vi comporterete bene con i genitori, i parenti, gli orfani e i poveri; userete buone parole con la gente, assolverete all'orazione e pagherete la decima!».
083_01	Ma dopo di ciò avete voltato le spalle, a parte qualcuno tra voi, e vi siete sottratti.
084_00	E quando accettammo la vostra alleanza: «Non spargete il sangue tra voi e non scacciatevi l'un l'altro dalle vostre case!». Accettaste il patto e ne foste testimoni.
085_00	E ora invece vi uccidete l'un l'altro e scacciate dalle loro case alcuni dei vostri, dandovi man forte nel crimine e nella trasgressione.
085_01	E se sono prigionieri ne pagate il riscatto, quando anche solo l'espellerli vi era stato vietato.
085_02	Accettate dunque una parte del Libro e ne rinnegate un'altra parte ?
085_03	Non c'è altro compenso per colui che agisce così se non l'obbrobrio in questa vita e il castigo più terribile nel Giorno della Resurrezione. Allah non è incurante di quello che fate.
086_00	Ecco quelli che hanno barattato la vita presente con la vita futura, il loro castigo non sarà alleggerito e non saranno soccorsi.
087_00	Abbiamo dato il Libro a Mosè, e dopo di lui abbiamo inviato altri messaggeri. E abbiamo dato a Gesù , figlio di Maria, prove evidenti e lo abbiamo coadiuvato con lo Spirito di Santità.
087_01	Ogniqualvolta un messaggero vi portava qualcosa che vi spiaceva, vi gonfiavate d'orgoglio! Qualcuno di loro lo avete smentito e altri li avete uccisi.
088_00	E dissero: «I nostri cuori sono incirconcisi» , ma è piuttosto Allah che li ha maledetti a causa della loro miscredenza. Tra loro sono ben pochi, quelli che credono.
089_00	E quando, da parte di Allah, venne loro un Libro che confermava quello che avevano già – mentre prima invocavano la vittoria sui miscredenti – quando giunse loro quello che già conoscevano, lo rinnegarono.
089_01	Maledica Allah i miscredenti.
090_00	A che vii prezzo hanno barattato le loro anime! Negano quello che Allah ha fatto scendere, ribelli all'idea che Allah, con la Sua grazia, faccia scendere la Rivelazione su chi vuole dei Suoi servi.
090_01	Sono incorsi in collera su collera. I miscredenti avranno un castigo avvilente.
091_00	E quando si dice loro: «Credete in quello che Allah ha fatto scendere», rispondono: «Crediamo in quello che è stato fatto scendere su di noi».
091_01	E rinnegano il resto , anche se è la Verità che conferma quello che già avevano ricevuto. Di' loro: «E se siete credenti, perché in passato avete ucciso i profeti di Allah?».
092_00	E certamente Mosè vi ha recato prove evidenti. Poi, in sua assenza, vi prendeste il Vitello e prevaricaste.
093_00	E quando stringemmo il Patto con voi ed elevammo il Monte. «Tenetevi saldamente a quello che vi abbiamo dato ed ascoltate!», dissero: «Ascoltiamo ma disobbediamo».
093_01	E i loro cuori, per la miscredenza, si abbeverarono al Vitello. Di' loro: «Quanto è spregevole quel che vi ordina la vostra credenza, se davvero credete!».
094_00	Di': «Se è vostra la dimora finale presso Allah, escludendo tutte le altre genti, auguratevi la morte se siete veritieri!».
095_00	Essi non lo faranno mai, per ciò che le loro mani hanno commesso. Allah conosce bene i prevaricatori.
096_00	E vedrai che sono gli uomini più attaccati alla vita, persino più degli associatori. Qualcuno di loro vorrebbe vivere mille anni.
096_01	Ma tutto questo non lo salverebbe dal castigo, vivesse anche quanto desidera. Allah osserva quello che fanno.
097_00	Di': «Chi è nemico di Gabriele, che con il permesso di Allah lo ha fatto scendere nel tuo cuore, a conferma di quello che era venuto in precedenza, come Guida e Buona novella per i credenti.
098_00	chi è nemico di Allah e dei Suoi Angeli e dei Suoi messaggeri e di Gabriele e di Michele, ebbene Allah è il nemico dei miscredenti.
099_00	In verità abbiamo fatto scendere su di te segni evidenti e solo i perversi li rinnegano.
100_00	Ma come? Ogniqualvolta stringono un patto, una parte di loro lo infrange? In realtà la maggior parte di loro non è credente.
101_00	E quando giunse loro, da parte di Allah, un messaggero che confermava quello che già avevano ricevuto,
101_01	alcuni di quelli a cui erano state date le Scritture, si gettarono alle spalle il Libro di Allah , come se non sapessero nulla.
102_00	Prestarono fede a quel che i dèmoni raccontarono sul regno di Salomone.
102_01	Non era stato Salomone il miscredente, ma i dèmoni: insegnarono ai popoli la magia e ciò che era stato rivelato ai due angeli Hârût e Mârût a Babele.
102_02	Essi però non insegnarono nulla senza prima avvertire: «Badate che noi non siam altro che una tentazione: non siate miscredenti».
102_03	E la gente imparò da loro come separare l'uomo dalla sua sposa, ma non potevano nuocere a nessuno senza il permesso di Allah.
102_04	Imparavano dunque ciò che era loro dannoso e di nessun vantaggio. E ben sapevano che chi avesse acquistato quell'arte, non avrebbe avuto parte nell'altra vita. Com'era detestabile quello in cambio del quale barattarono la loro anima. Se l'avessero saputo .
103_00	Se avessero creduto e vissuto nel timor di Allah, avrebbero avuto da Allah ricompensa migliore. Se solo avessero saputo.
104_00	O voi che credete, non dite «râ'inâ» ma dite «undhurnà» e ascoltate. Gli empi miscredenti avranno un doloroso castigo.
105_00	Quelli della gente del Libro che sono miscredenti e gli associatori, detestano che il vostro Signore faccia scendere su di voi la Sua benevolenza.
105_01	Ma Allah sceglie chi vuole per la Sua misericordia! Allah è il Padrone dell'immenso favore.
106_00	Non abroghiamo un versetto né te lo facciamo dimenticare, senza dartene uno migliore o uguale. Non lo sai che Allah è Onnipotente.
107_00	Non sai che Allah possiede il Regno dei cieli e della terra e, all'infuori di Lui, non c'è per voi né patrono né soccorritore.
108_00	Vorreste interrogare il vostro Messaggero come in passato fu interrogato Mosè ? Sappiate che chi scambia la fede con la miscredenza, in verità si allontana dalla retta via.
109_00	Tra la gente del Libro, ci sono molti che, per invidia, vorrebbero farvi tornare miscredenti dopo che avete creduto e dopo che anche a loro la verità è apparsa chiaramente!
109_01	Perdonateli e lasciateli da parte, finché Allah non invii il Suo ordine. In verità Allah è Onnipotente.
110_00	Assolvete l'orazione e pagate la decima. E tutto quanto di bene avrete compiuto lo ritroverete presso Allah. Allah osserva tutto quello che fate.
111_00	E dicono: «Non entreranno nel Paradiso altri che i giudei e i nazareni». Questo è quello che vorrebbero! Di': «Portatene una prova, se siete veritieri».
112_00	Invece coloro che sottomettono ad Allah il loro volto e compiono il bene, avranno la ricompensa presso il loro Signore, non avranno nulla da temere e non saranno afflitti.
113_00	Gli ebrei dicono: «I nazareni si basano sul nulla»; e i nazareni dicono: «I giudei si basano sul nulla»; e gli uni e gli altri recitano il Libro.
113_01	Anche quelli che non conoscono nulla parlano alla stessa maniera. Allah, nel Giorno della Resurrezione, giudicherà dei loro dissensi.
114_00	Chi è più ingiusto di chi impedisce che nelle moschee di Allah si menzioni il Suo nome e che, anzi, cerca di distruggerle?
114_01	Costoro non potranno entrarvi se non impauriti. Per loro ci sarà ignominia in questa vita e un castigo terribile nell'altra.
115_00	Ad Allah appartengono l'Oriente e l'Occidente. Ovunque vi volgiate, ivi è il Volto di Allah. Allah è immenso e sapiente.
116_00	Dicono: «Allah si è preso un figlio». Gloria a Lui! Egli possiede tutto quello che è nei cieli e sulla terra. Tutti Gli sono sottomessi.
117_00	Egli è il Creatore dei cieli e della terra; quando vuole una cosa, dice «Sii» ed essa è.
118_00	E quelli che non sanno nulla dicono: «Perché Allah non ci parla o perché non ci fa pervenire un segno divino?». Anche quelli che vennero prima di loro tennero simili discorsi.
118_01	I loro cuori si assomigliano. Eppure abbiamo esposto con chiarezza i nostri segni a coloro che credono.
119_00	In verità ti abbiamo inviato come nunzio e ammonitore, e non ti sarà chiesto conto di quelli della Fornace.
120_00	Né i giudei né i nazareni saranno mai soddisfatti di te, finché non seguirai la loro religione.
120_01	Di' : «E la Guida di Allah, la vera Guida». E se acconsentirai ai loro desideri dopo che hai avuto la conoscenza, non troverai né patrono né soccorritore contro Allah.
121_00	Coloro che hanno ricevuto il Libro e lo seguono correttamente , quelli sono i credenti. Coloro che lo rinnegano sono quelli che si perderanno.
122_00	O Figli di Israele, ricordate i favori di cui vi ho colmati e di come vi ho favorito rispetto ad altri popoli del mondo.
123_00	E temete il Giorno in cui nessun'anima potrà alcunché per un'altra , e non sarà accolta nessuna intercessione e nulla potrà essere compensato. Ed essi non saranno soccorsi.
124_00	E Abramo!… Quando il suo Signore lo provò con i Suoi ordini ed egli li eseguì, disse: «Farò di te un imâm per gli uomini»,
124_01	«E i miei discendenti?», «Il Mio patto, disse, non riguarda quelli che prevaricano».
125_00	E quando facemmo della Casa un luogo di riunione e un rifugio per gli uomini.
125_01	Prendete come luogo di culto quello in cui Abramo ristette ! E stabilimmo un patto con Abramo e Ismaele: «Purificate la Mia Casa per coloro che vi gireranno attorno , vi si ritireranno , si inchineranno e si prosterneranno ».
126_00	E quando Abramo disse: «Fanne una contrada sicura e provvedi di frutti la sua gente, quelli di loro che avranno creduto in Allah e nell'Ultimo Giorno», disse: «E a chi sarà stato miscredente concederò un godimento illusorio e poi lo destinerò al castigo del Fuoco.
126_01	Che tristo avvenire!».
127_00	E quando Abramo e Ismaele posero le fondamenta della Casa, dissero: «O Signor nostro, accettala da noi! Tu sei Colui che tutto ascolta e conosce .
128_00	O Signor nostro, fai di noi dei musulmani e della nostra discendenza una comunità musulmana. Mostraci i riti e accetta il nostro pentimento. In verità Tu sei il Perdonatore, il Misericordioso.
129_00	O Signor nostro, suscita tra loro un Messaggero che reciti i Tuoi versetti e insegni il Libro e la saggezza, e accresca la loro purezza. Tu sei il Saggio, il Possente».
130_00	Chi altri avrà dunque in odio la religione di Abramo, se non colui che coltiva la stoltezza nell'animo suo? Noi lo abbiamo scelto in questo mondo, e nell'altra vita sarà tra i devoti.
131_00	Quando il suo Signore gli disse: «Sottomettiti», disse: «Mi sottometto al Signore dei mondi».
132_00	Fu questo che Abramo inculcò ai suoi figli, e anche Giacobbe: «Figli miei, Allah ha scelto per voi la religione: non morite se non musulmani».
133_00	Forse eravate presenti quando la morte si presentò a Giacobbe ed egli disse ai suoi figli: «Chi adorerete dopo di me?».
133_01	Risposero: «Adoreremo la tua divinità, la divinità dei tuoi padri Abramo e Ismaele e Isacco, il Dio unico al quale saremo sottomessi».
134_00	Questa è gente del passato. Avrà quello che ha meritato e voi avrete quello che meriterete, e non dovrete rispondere della loro condotta.
135_00	Dicono: «Siate giudei o nazareni, sarete sulla retta via». Di': « piuttosto la religione di Abramo, che era puro credente e non associatore».
136_00	Dite: «Crediamo in Allah e in quello che è stato fatto scendere su di noi e in quello che è stato fatto scendere su Abramo, Ismaele,
136_01	Isacco, Giacobbe e sulle Tribù , e in quello che è stato dato a Mosè e a Gesù e in tutto quello che è stato dato ai Profeti da parte del loro Signore, non facciamo differenza alcuna tra di loro e a Lui siamo sottomessi».
137_00	Se crederanno nelle stesse cose in cui voi avete creduto, saranno sulla retta via; se invece volgeranno le spalle, saranno nell'eresia. Ma Allah ti basterà contro di loro. Egli è Colui che tutto ascolta e conosce.
138_00	Questa è la tintura di Allah ! Chi mai può tingere meglio che Allah? Noi Lo adoriamo.
139_00	Di': «Volete polemizzare con noi a proposito di Allah, Che è il nostro e vostro Signore? A noi le nostre opere e a voi le vostre! Noi ci diamo solo a Lui.
140_00	Vorreste forse sostenere che Abramo e Ismaele e Isacco e Giacobbe e le Tribù erano giudaizzati o nazareni?». Di': «Ne sapete forse più di Allah?».
140_01	Chi è peggior empio di chi nasconde qualcosa che ha ricevuto da Allah? Ma Allah non è incurante di quello che fate.
141_00	Questa è gente del passato. Avrà quello che ha meritato e voi avrete quello che meriterete e non dovrete rispondere della loro condotta.
142_00	E gli stolti diranno: «Chi li ha sviati dall'orientamento che avevano prima?».
142_01	Di': «Ad Allah appartiene l'Oriente e l'Occidente, Egli guida chi vuole sulla Retta Via».
143_00	E così facemmo di voi una comunità equilibrata , affinché siate testimoni di fronte ai popoli e il Messaggero sia testimone di fronte a voi.
143_01	Non ti abbiamo prescritto l'orientamento se non al fine di distinguere coloro che seguono il Messaggero da coloro che si sarebbero girati sui tacchi.
143_02	Fu una dura prova, eccetto che per coloro che sono guidati da Allah. Allah non lascerà che la vostra fede si perda. Allah è dolce e misericordioso con gli uomini.
144_00	Ti abbiamo visto volgere il viso al cielo. Ebbene, ti daremo un orientamento che ti piacerà.
144_01	Volgiti dunque verso la Sacra Moschea. Ovunque siate, rivolgete il volto nella sua direzione.
144_02	Certo, coloro a cui è stato dato il Libro, sanno che questa è la verità che viene dal loro Signore. Allah non è incurante di quello che fate.
145_00	Anche se tu recassi a coloro che hanno ricevuto la Scrittura, ogni specie di segno, essi non seguiranno il tuo orientamento, né tu seguirai il loro, né seguiranno gli uni l'orientamento degli altri.
145_01	E se dopo che ti è giunta la scienza, seguissi i loro desideri, saresti certamente uno degli ingiusti.
146_00	Coloro ai quali abbiamo dato la Scrittura, lo riconoscono come riconoscono i loro figli. Ma una parte di loro nasconde la verità pur conoscendola.
147_00	La verità appartiene al tuo Signore. Non essere tra i dubbiosi.
148_00	Ognuno ha una direzione verso la quale volgere il viso. Gareggiate nel bene. Ovunque voi siate, Allah vi riunirà tutti. In verità Allah è Onnipotente.
149_00	E da qualunque luogo tu esca, volgi il tuo viso verso la Santa Moschea , ecco la verità data dal tuo Signore e Allah non è disattento a quello che fate.
150_00	E allora, da qualunque luogo tu esca,
150_01	volgi il tuo viso verso la Santa Moschea. Ovunque voi siate,
150_02	rivolgetele il viso, sì che la gente non abbia pretesti contro di voi – eccetto quelli di loro che prevaricano non temeteli, ma temete Me, affinché realizzi per voi la Mia Grazia e forse sarete ben guidati.
151_00	Infatti vi abbiamo inviato un Messaggero della vostra gente,
151_01	che vi reciti i Nostri versetti, vi purifichi e vi insegni il Libro e la saggezza e vi insegni quello che non sapevate.
152_00	Ricordatevi dunque di Me e Io Mi ricorderò di voi, siateMi riconoscenti e non rinnegateMi.
153_00	O voi che credete, rifugiatevi nella pazienza e nell'orazione. Invero Allah è con coloro che perseverano.
154_00	E non dite che sono morti coloro che sono stati uccisi sulla via di Allah , ché invece sono vivi e non ve ne accorgete.
155_00	Sicuramente vi metteremo alla prova con terrore, fame e diminuzione dei beni, delle persone e dei raccolti. Ebbene, da' la buona novella a coloro che perseverano .
156_00	coloro che quando li coglie una disgrazia dicono: «Siamo di Allah e a Lui ritorniamo».
157_00	Quelli saranno benedetti dal loro Signore e saranno ben guidati.
158_00	Safâ e Marwa sono veramente fra i segni di Allah e non ci sarà male alcuno se coloro che fanno il Pellegrinaggio alla Casa o la Visita, correranno tra questi due.
158_01	Allah sarà riconoscente a chi si sarà imposto volontariamente un'opera meritoria. Allah è grato, sapiente.
159_00	E coloro che dissimulano i segni e le direttive che Noi abbiamo rivelato,
159_01	dopo che nel Libro chiaramente li esponemmo agli uomini… ebbene, ecco coloro che Allah ha maledetto e che tutti maledicono.
160_00	Invece coloro che si sono pentiti e si sono emendati… da costoro Io accetto il pentimento. Io sono Colui che accoglie il pentimento, il Misericordioso.
161_00	E i miscredenti che muoiono nella miscredenza, saranno maledetti da Allah, dagli angeli e da tutti gli uomini.
162_00	Rimarranno in questo stato in eterno e il castigo non sarà loro alleviato, né avranno attenuanti.
163_00	Il vostro Dio è il Dio Unico, non c'è altro dio che Lui, il Compassionevole, il Misericordioso.
164_00	Nella creazione dei cieli e della terra, nell'alternarsi della notte e del giorno,
164_01	nella nave che solca i mari carica di ciò che è utile agli uomini, nell'acqua che Allah fa scendere dal cielo,
164_02	rivivificando la terra morta e disseminandovi animali di ogni tipo, nel mutare dei venti e nelle nuvole costrette a restare tra il cielo e la terra, in tutto ciò vi sono segni per la gente dotata di intelletto.
165_00	E fra gli uomini vi sono coloro che attribuiscono ad Allah degli uguali e li amano come amano Allah.
