001_00	La lode ad Allah, Che ha fatto scendere il Libro sul Suo schiavo senza porvi alcuna tortuosità.
024_00	senza dire «se Allah vuole». Ricordati del tuo Signore quando avrai dimenticato e di' : «Spero che il mio Signore mi guidi in una direzione ancora migliore».
025_00	Rimasero trecento anni nella loro caverna, e ne aggiungono altri nove.
026_00	Di': «Allah sa meglio quanto rimasero». Appartiene a Lui il segreto dei cieli e della terra.
026_01	Ha il miglior udito e la migliore vista. Al- l'infuori di Lui non avranno patrono alcuno ed Egli non associa nessuno al Suo giudizio.
027_00	Recita quello che ti è stato rivelato del Libro del tuo Signore. Nessuno può cambiare le Sue parole e non troverai , all'infuori di Lui, alcun rifugio.
028_00	E persevera insieme con coloro che invocano il loro Signore al mattino e alla sera, desiderando il Suo Volto.
028_01	Non vadano oltre loro i tuoi occhi, in cerca degli agi di questa vita. Non dar retta a colui il cui cuore abbiamo reso indifferente al Ricordo di Noi, che si abbandona alle sue passioni ed è oltraggioso nel suo agire.
029_00	Di': «La verità dal vostro Signore: creda chi vuole e chi vuole neghi».
029_01	In verità abbiamo preparato per gli ingiusti un fuoco le cui fiamme li circonderanno, e quando imploreranno da bere, saranno abbeverati da un'acqua simile a metallo fuso che ustionerà i loro volti. Che terribile bevanda, che atroce dimora.
030_00	Quanto a coloro che credono e compiono il bene, non lasceremo andar perduta la ricompensa di chi avrà agito per il bene.
031_00	Ecco coloro che avranno i Giardini dell'Eden dove scorrono i ruscelli.
031_01	Saranno ornati di bracciali d'oro e vestiranno verdi abiti di seta finissima e di broccato e staranno appoggiati su alti divani. Che eccellente ricompensa, che splendida dimora.
032_00	Proponi loro la metafora dei due uomini : ad uno di loro demmo due giardini di vigna circondati da palme da datteri, separati da un campo coltivato.
033_00	Davano il loro frutto i due giardini senza mancare in nulla e in mezzo a loro facemmo sgorgare un ruscello.
034_00	Alla raccolta disse al suo compagno: «Ti sono superiore per beni e più potente per clan!».
035_00	Entrò nel suo giardino e, ingiusto nei suoi stessi confronti, disse: «Non credo che tutto questo possa giammai perire.
036_00	non credo che l'Ora sia imminente, e se mi si condurrà al mio Signore, certamente troverò qualcosa di meglio che questo giardino!».
037_00	Gli rispose il suo compagno argomentando con lui: «Vorresti rinnegare Colui Che ti creò dalla polvere e poi dallo sperma e ti ha dato forma d'uomo.
038_00	Per quanto mi concerne è Allah il mio Signore e non assocerò nessuno al mio Signore.
039_00	Conveniva che entrando nel tuo giardino dicessi: "Così Allah ha voluto! Non c'è potenza se non in Allah!". Sebbene tu mi veda inferiore a te nei beni e nei figli
040_00	può darsi che presto il mio Signore mi dia qualcosa di meglio del tuo giardino e che invii dal cielo una calamità contro di esso riducendolo a nudo suolo.
041_00	o che l'acqua che irriga scenda a tale profondità che tu non possa più raggiungerla».
042_00	Fu distrutto il suo raccolto, ed egli si torceva le mani per quello che aveva speso: i pergolati erano distrutti. Diceva: «Ah! Se non avessi associato nessuno al mio Signore!».
043_00	E non ci fu schiera che potesse essergli d'aiuto contro Allah ed egli stesso non poté aiutarsi.
044_00	Ché in tal caso ad Allah, il Vero, la protezione. Egli è il Migliore nella ricompensa e nel esito.
045_00	Proponi loro la metafora di questa vita: è simile ad un'acqua che facciamo scendere dal cielo; la vegetazione della terra si mescola ad essa, ma poi diventa secca stoppia che i venti disperdono.
045_01	Allah ha potenza su tutte le cose.
046_00	Ricchezze e figli sono l'ornamento di questa vita. Tuttavia le buone tracce che restano sono, presso Allah, le migliori quanto a ricompensa e una bella speranza.
047_00	Nel Giorno in cui faremo muovere le montagne vedrai la terra spianata e tutti li riuniremo senza eccezione.
048_00	Compariranno in file schierate davanti al tuo Signore: «Eccovi ritornati a Noi come vi creammo la prima volta. E invece pretendevate che mai vi avremmo fissato un termine?».
049_00	E vi si consegnerà il Registro. Allora vedrai gli empi, sconvolti da quel che contiene. Diranno: «Guai a noi!
049_01	Cos'è questo Registro che non lascia passare azione piccola o grande senza computarla?». E vi troveranno segnato tutto quello che avranno fatto. Il tuo Signore non farà torto ad alcuno.
050_00	E quando dicemmo agli angeli: «Prosternatevi davanti ad Adamo», si prosternarono, eccetto Iblîs, che era uno dei dèmoni e che si rivoltò all'Ordine di Allah.
050_01	Prenderete lui e la sua progenie come alleati in luogo di Me, nonostante siano i vostri nemici? Un pessimo scambio per gli ingiusti.
051_00	Non li presi a testimoni della creazione dei cieli e della terra e neppure della creazione di loro stessi e certamente non accetterei l'aiuto dei corruttori.
052_00	Nel Giorno in cui dirà: «Chiamate coloro che pretendevate Miei consimili», li invocheranno, ma essi non risponderanno e tra loro avremo posto un abisso.
053_00	Gli iniqui vedranno il fuoco. Allora capiranno di stare per cadervi e non avranno nessuno scampo.
054_00	Certamente, in questo Corano, abbiamo offerto alle genti ogni sorta di esempi. Ciononostante l'uomo è la più polemica delle creature.
055_00	Cosa mai impedisce agli uomini di credere, dopo che è giunta loro la Guida, e di chiedere perdono al loro Signore? subire il destino dei loro avi e li colpisca in pieno il castigo.
056_00	Non inviammo i profeti se non per annunciare ed ammonire.
056_01	I miscredenti usano le menzogne per indebolire la verità. Deridono i Nostri segni e ciò di cui li si avverte.
057_00	Quale peggior ingiusto di colui che si allontana dai segni di Allah, dopo che essi gli sono stati ricordati, e che dimentica quello che ha commesso ?
057_01	Abbiamo posto un velo sui loro cuori, sì che non capiscano e abbiamo messo una pesantezza nelle loro orecchie. Anche se li richiami alla retta via, essi non la seguiranno mai.
058_00	Il tuo Signore è il Perdonatore, Colui Che detiene la misericordia. Se considerasse quello che hanno fatto, certamente affretterebbe il castigo; ma ognuno di loro ha un termine e nessuno potrà sfuggirvi.
059_00	Quelle città le facemmo perire quando furono ingiusti; per ognuna avevamo stabilito un termine per la loro distruzione.
060_00	quando Mosè disse al suo garzone : «Non avrò pace finché non avrò raggiunto la confluenza dei due mari dovessi anche camminare per degli anni!».
061_00	Quando poi giunsero alla confluenza, dimenticarono il loro pesce che, miracolosamente, riprese la sua via nel mare.
062_00	Quando poi furono andati oltre, disse al suo garzone: «Tira fuori il nostro pranzo, ché ci siamo affaticati in questo nostro viaggio!».
063_00	Rispose: «Vedi un po',
063_01	quando ci siamo rifugiati vicino alla roccia, ho dimenticato il pesce – solo Satana mi ha fatto scordare di dirtelo – e miracolosamente ha ripreso la sua via nel mare.
064_00	Disse: «Questo è quello che cercavamo». Poi entrambi ritornarono sui loro passi.
065_00	Incontrarono uno dei Nostri schiavi , al quale avevamo concesso misericordia da parte Nostra e al quale avevamo insegnato una scienza da Noi proveniente.
066_00	Chiese: «Posso seguirti per imparare quello che ti è stato insegnato della retta via?».
067_00	Rispose: «Non potrai essere paziente con me.
068_00	Come potresti aver pazienza dinnanzi a cose che non potrai comprendere?».
069_00	Disse: «Se Allah vuole sarò paziente e non disobbedirò ai tuoi ordini».
070_00	ribadì: «Se vuoi seguirmi, non dovrai interrogarmi su alcunché prima che io te ne parli».
071_00	Partirono entrambi e, dopo essere saliti su una nave, quello vi produsse una falla. Chiese: «Hai prodotto la falla per far annegare tutti quanti? Hai certo commesso qualcosa di atroce!».
072_00	Rispose: «Non ti avevo detto che non avresti avuto pazienza insieme con me?».
073_00	Disse: «Non essere in collera per la mia dimenticanza e non impormi una prova troppo difficile».
074_00	Continuarono insieme e incontrarono un giovanetto che uccise. Insorse: «Hai ucciso un incolpevole, senza ragione di giustizia? Hai certo commesso un'azione orribile».
075_00	Rispose: «Non ti avevo detto che non avresti avuto pazienza insieme con me?».
076_00	Disse: «Se dopo di ciò ancora ti interrogherò, non mi tenere più insieme con te. Ne avrai buon diritto».
077_00	Continuarono insieme e giunsero nei pressi di un abitato. Chiesero da mangiare agli abitanti, ma costoro rifiutarono l'ospitalità.
077_01	S'imbatterono poi in un muro che minacciava di crollare e lo raddrizzò. Disse: «Potresti ben chiedere un salario per quello che hai fatto».
078_00	Disse: «Questa è la separazione. Ti spiegherò il significato di ciò che non hai potuto sopportare con pazienza.
079_00	Per quel che riguarda la nave, apparteneva a povera gente che lavorava sul mare. L'ho danneggiata perché li inseguiva un tiranno che l'avrebbe presa con la forza.
080_00	Il giovane aveva padre e madre credenti, abbiamo voluto impedire che imponesse loro ribellione e miscredenza
081_00	e abbiamo voluto che il loro Signore desse loro in cambio più puro e più degno di affetto.
082_00	Il muro apparteneva a due orfani della città e alla sua base c'era un tesoro che apparteneva loro. Il loro padre era uomo virtuoso e il tuo Signore volle che raggiungessero la loro età adulta e disseppellissero il loro tesoro; segno questo della misericordia del tuo Signore.
082_01	Io non l'ho fatto di mia iniziativa. Ecco la spiegazione di quello che non hai potuto sopportare con pazienza».
083_00	Ti interrogheranno a proposito del Bicorne. Di': «Vi racconterò qualcosa sul suo conto».
084_00	In verità gli abbiamo dato ampi mezzi sulla terra e modo di riuscire in ogni impresa.
085_00	Egli seguì una via.
086_00	Quando giunse all' occidente , vide il sole che tramontava in una sorgente ribollente e nei pressi c'era un popolo.
086_01	Dicemmo: «O Bicorne, puoi punirli oppure esercitare benevolenza nei loro confronti».
087_00	Disse: «Puniremo chi avrà agito ingiustamente e poi sarà ricondotto al suo Signore che gli infliggerà un terribile castigo.
088_00	E chi crede e compie il bene avrà la migliore delle ricompense e gli daremo ordini facili».
089_00	Seguì poi una via.
090_00	E, quando giunse dove sorge il sole, trovò che sorgeva su di un popolo cui non avevamo fornito alcunché per ripararsene.
091_00	Così avvenne e Noi abbracciavamo nella Nostra scienza tutto quello che era presso di lui.
092_00	Seguì poi una via.
093_00	Quando giunse alle due barriere , trovò tra di loro un popolo che quasi non comprendeva alcun linguaggio.
094_00	Dissero: «O Bicorne, invero Gog e Magog portano grande disordine sulla terra! Ti pagheremo un tributo se erigerai una barriera tra noi e loro».
095_00	Disse: «Ciò che il mio Signore mi ha concesso è assai migliore. Voi aiutatemi con energia e porrò una diga tra voi e loro.
096_00	Portatemi masse di ferro». Quando poi ne ebbe colmato il valico disse: «Soffiate!». Quando fu incandescente, disse: «Portatemi rame, affinché io lo versi sopra».
097_00	Così non poterono scalarlo e neppure aprirvi un varco.
098_00	Disse: «Ecco una misericordia che proviene dal mio Signore. Quando verrà la promessa del mio Signore, sarà ridotta in polvere; e la promessa del mio Signore è veridica».
099_00	In quel Giorno lasceremo che calino in ondate gli uni sugli altri. Sarà soffiato nel Corno e li riuniremo tutti insieme.
100_00	In quel Giorno mostreremo l'Inferno ai miscredenti
101_00	che hanno avuto gli occhi velati di fronte al Mio Monito e che non potevano udire.
102_00	I miscredenti credono di potersi scegliere per patroni i Miei servi all'infuori di Me? In verità abbiamo preparato l'Inferno come dimora dei miscredenti.
103_00	Di': «Volete che vi citiamo coloro le cui opere sono più inutili.
104_00	coloro il cui sforzo in questa vita li ha sviati, mentre credevano di fare il bene?».
105_00	Sono coloro che negarono i segni del loro Signore e l'Incontro con Lui. Le loro azioni falliscono e non avranno alcun peso nel Giorno della Resurrezione.
106_00	La loro retribuzione sarà l'Inferno, per la loro miscredenza e per essersi burlati dei Miei segni e dei Miei Messaggeri.
107_00	Coloro che credono e compiono il bene avranno per dimora i giardini del Paradiso.
108_00	dove rimarranno in perpetuo senza desiderare alcun cambiamento.
109_00	Di': «Se il mare fosse inchiostro per scrivere le Parole del mio Signore, di certo si esaurirebbe prima che fossero esaurite le Parole del mio Signore, anche se Noi ne aggiungessimo altrettanto a rinforzo».
110_00	Di': «Non sono altro che un uomo come voi.
110_01	Mi è stato rivelato che il vostro Dio è un Dio Unico. Chi spera di incontrare il suo Signore compia il bene e nell'adorazione non associ alcuno al suo Signore».
