001_00	Yã kũ waɗanda suka yi ĩmãni! ku cika alkawurra.
036_00	Lalle ne waɗanda suka kãfirta, lalle dã sunã da abin da ke a cikin ƙasa gabã ɗaya da misãlinsa tãre da shi, dõmin su yi fansa da shi daga azãbar Rãnar ¡iyãma, bã a karɓarsa daga gare su,
036_01	kuma sunã da azãba mai raɗadi.
037_00	Sunã nufin su fita ne daga wuta, kuma ba su zama mãsu fita daga gare ta ba, kuma sunã da azãba zaunanniya.
038_00	Kuma ɓarãwo da ɓarauniya sai ku yanke hannuwansu, bisa sakamako ga abin da suka tsirfanta, a kan azãba daga Allah. Kuma Allah Mabuwãyi ne, Mai hikima.
039_00	To, wanda ya tuba a bãyan zãluncinsa, kuma ya gyãra (halinsa), to, lalle ne Allah Yanã karɓar tubarsa. Lalle Allah Mai gãfara ne, Mai jin ƙai.
040_00	Shin, ba ka sani ba cewa lalle ne, Allah Shi ne da mulkin sammai da ƙasa, Yanã azãbtar da wanda Yake so, kuma Yanã yin gãfara ga wanda yake so, kuma Allah a dukkan kõme, Mai ĩkon yi ne?
041_00	Yã kai Manzo!
041_01	Kada waɗanda suke tseren gaugawa a cikin kãfirci su ɓãta maka rai, daga waɗanda suka ce: "Mun yi ĩmãni" da bãkunansu, alhãli zukatansu ba su yi ĩmãnin ba, kuma daga waɗanda suka tuba (watau Yahudu) mãsu yawan saurare ga wasu mutane na dabam waɗanda ba su je maka ba, sunã karkatar da zance daga bãyan wurarensa, sunã cewa: "Idan an bã ku wannan, to, ku karɓa, kuma idan ba a bã ku shĩ ba, to, ku yi sauna."
041_02	Kuma wanda Allah Ya yi nufin fitinarsa, to bã zã ka mallaka masa kõme ba, daga Allah.
041_03	Waɗannan ne waɗanda Allah bai yi nufin Ya tsarkake zukãtansu ba. Sunã da kunya a cikin duniya, kuma sunã da wata azãba mai girma a cikin 1ãhira.
042_00	Mãsu yawan saurãre ga ƙarya ne, mãsu yawan ci ga haram, to, idan sun zo maka, sai ka yi hukunci a tsakãninsu kõ ka bijira daga gare su.
042_01	Kuma idan ka bijira daga gare su, to, bã zã su cuce ka da kõme ba, kuma idan ka yi hukunci, to, sai ka hukunta a tsakãninsu da ãdalci. Lalle ne, Allah Yanã son mãsu ãdalci.
043_00	Kuma yãya suke gabãtar da kai ga hukunci, alhãli a wurinsu akwai Attaura, a cikinta akwai hukuncin Allah, sa'an nan kuma sunã karkacewa a bãyan wannan? waɗannan bã muminai ba ne!
044_00	Lalle ne Mu, Mun saukar da Attaura, a cikinta akwai shiriya da haske Annabãwa waɗanda suke sun sallamã, sunã yin hukunci da ita ga waɗanda suka tuba (Yahudu), da mãlaman tarbiyya, da manyan malamai ga abin da aka neme su da su tsare daga Littãfin Allah, kuma sun kasance, a kansa, mãsu bã da shaida.
044_01	To, kada ku ji tsõron mutãne kuma ku ji tsõroNa kuma kada ku sayi 'yan kuɗi kaɗan da ãyoyiNa.
044_02	wanda bai yi hukunci ba da abin da Allah Ya saukar, to, waɗannan su ne kafirai.
045_00	Kuma Mun rubuta a kansu, a cikinta cewa, lalle (anã kashe) rai sabõda rai, kuma (anã ɗebe) idõ sabõda idõ, kuma (ana katse) hanci sabõda hanci, kuma kunne sabõda kunne kuma haƙori sabõda haƙõri kuma a raunuka a yi sakayya.
045_01	To, wanda ya yi sadaka da shi, to, shi kaffãra ce a gare shi. Kuma wanda bai yi hukunci ba da abin da Allah Ya saukar, to, waɗannan su ne azzãlumai.
046_00	Kuma Muka biyar a kan gurãbansu da Ĩsa ɗan Maryama, yãnã mai gaskatãwa ga abin da yake a gaba gare shi daga Attaura, kuma Muka bã shi Injĩla a
046_01	cikinsa akwai shiriya da haske, yanã mai gaskatãwa ga abin da yake a gaba gare shi daga Attaura, kuma shi shiriya ne da wa'azi ga mãsu taƙawa.
047_00	Kuma sai mutãnen injĩla su yi hukunci da abin da Allah ya saukar a cikinta. Kuma wanda bai yi hukunci ba da abin da Allah ya saukar, to, waɗannan su ne fãsiƙai.
048_00	Kuma Mun saukar da Littãfi zuwa gare ka da gaskiya, yanã mai gaskatãwa ga abin da yake a gaba gare shi daga Littãfi (Attaura da Injĩla), kuma mai halartãwa a kansa. sai ka yi hukunci a tsakãninsu da abin da Allah Ya saukar kuma kada ka bĩbiyi son zũciyõyiniu daga abin da ya zo maka daga gaskiya.
048_01	Ga kõwanne daga gare ku Mun sanya sharĩa da hanya (ta bin ta).
048_02	Kuma dã Allah Yã so, dã Yã sanya ku al'umma guda, kuma amma dõmin Ya jarraba ku a cikin abin da Ya bã ku.
048_03	Sai ku yi tsere ga ayyukan alheri. Zuwa ga Allah makõmarku take gabã ɗaya. Sa'an nan Ya bã ku lãbãri ga abin da kuka kasance kunã sãɓãwa a cikinsa.
049_00	Kuma ka yi hukunci a tsakãninsu da abin da Allah Ya saukar kuma kada ka bĩbiyi son zũciyõyinsu, kuma ka yi saunar su fitine ka daga sãshen abin da Allah Ya saukar zuwa gare ka.
049_01	To, idan sun juya bãya, to, ka sani cewa, kawai Allah yana nufin Ya sãme su da masĩfa ne sabõda sãshen zunubansu. Kuma lalle ne, mãsu yawa daga mutãne, haƙĩƙa, fãsiƙai ne.
050_00	Shin, hukuncin Jãhiliyya suke nema? Kuma wane ne mafi kyau ga hukunci daga Allah sabõda mutãne waɗanda suke yin yaƙĩni (tabbataccen ĩmãni)?
051_00	Yã ku waɗanda suka yi ĩmãni! Kada ku riƙi Yahudu da Nasãra majiɓinta. Sãshensu majiɓinci ne ga sãshe.
051_01	Kuma wanda ya jiɓince su daga gare ku, to, lalle ne shĩ, yanã daga gare su. Lalle Allah bã Ya shiryar da mutãne azzãlumai.
052_00	Sai ka ga waɗanda a cikin zukatansu akwai cuta, sunã tseren gaugawa a cikinsu, sunã cewa: "Munã tsõron kada wata masĩfa ta sãme mu."
052_01	To, akwai tsammãnin Allah Ya zo da buɗi, kõ kuwa wani umurni daga wurinSa, har su wãyi gari a kan abin da suka ɓõye a cikin zukatansu, sunã mãsu nadãmã.
053_00	Kuma waɗanda suka yi ĩmãni sunã cewa: "Shin, waɗannan ne waɗanda suka yi rantsuwa da Allah iyãkar rantsuwõyinsu, cewa su, lalle sunã tãre da ku?" Ayyukansu sun ɓãci, sabõda haka suka wãyi gari sunã mãsu hasãra.
054_00	Yã ku waɗanda suka yi ĩmãni! wanda ya yi ridda daga gare ku daga addininSa,
054_01	to, Allah zai zo da wasu mutãne, Yanã son su kuma sunã son Sa, mãsu tawãlu'i a kan muminai mãsu izza a kan kãfurai.
054_02	Sunã yin, jihãdi a cikin hanyar Allah, kuma bã su tsõron zargin wani mai zargi. Waccan falalar Allah ce, Yanã bãyar da ita ga wanda Yake so. Kuma Allah Mayalwaci ne, Mai ilmi.
055_00	Abin sani kawai, majiɓincinku Allah ne da ManzonSa da waɗanda suka yi ĩmãni, waɗanda suke sunã tsayar da salla kuma sunã bãyar da zakka kuma sunã ruku'i,
056_00	Kuma wanda ya jiɓinci Allah da ManzonSa da waɗanda suka yi ĩmãni, to, ƙungiyar Allah sune mãsu rinjãya.
057_00	Yã ku waɗanda suka yi ĩmãni!
057_01	Kada ku riƙi waɗanda suka riƙi addininku bisa izgili da wãsa, daga waɗanda aka bai wa Littãfi daga gabãninku da kãfirai, masõya, Kuma ku bi Allah da taƙawa idan kun kasance muminai.
058_00	Kuma idan kuka yi kira zuwa ga salla, sai su riƙe ta bisa izgili da wãsa. Wannan dõmin lalle ne su, mutãne ne (waɗanda) bã su hankalta.
059_00	Ka ce: "Ya Mutãnen Littãfi! Shin, kunã ganin wani laifi daga gare mu? Fãce dai dõmin mun yi ĩmãni da Allah da abin da aka Saukar zuwa gare mu da abin da aka saukar daga gabãni, kuma dõmin mafi yawanku fãsiƙai ne."
060_00	Ka ce: "Shin, in gaya muku mafi sharri daga wannan, dõmin sakamako daga wurin Allah? wanda Allah Ya la'ane shi kuma Ya yi fushi da shi, kuma Ya sanya daga gare su birai da aladai, kuma ya bauta wa ¦ãguta.
060_01	Waɗannan ne mafiya sharrin wuri, kuma mafiya ɓata daga tsakar hanya."
061_00	Kuma idan sun zo muku sai su ce: "Mun yi ĩmãni." Alhãli kuwa haƙĩƙa, sun shigo da kãfirci, kuma su lalle ne, sun fita da shi, kuma Allah ne Mafi sani ga abin da suka kasance sunã ɓõyewa.
062_00	Kuma kana ganin mãsu yawa daga gare su, sunã tseren gaugawa a cikin zunubi da zãlunci da cinsu ga haram. Haƙĩƙa, tir da abin da suka kasance suna aikatãwa.
063_00	Don me Malaman Tarbiyya da manyan malamai (na Yahudu) ba su hanã su daga faɗarsu ga zunubi da cinsu ga haram ba? Haƙiƙa, tir daga abin da suka kasance sunã sanã'antãwa.
064_00	Kuma Yahudu suka ce: "Hannun Allah abin yi wa ƙuƙumi ne. " An sanya hannuwansu a cikin ƙuƙumi! Kuma an la'ane su sabõda abin da suka faɗa.
064_01	Ã'a, hannuwanSa biyu shimfiɗaɗɗu ne, Yanã ciyarwa yadda Yake so. Kuma lalle ne abin da aka saukar zuwa gare ka yanã ƙãra wa mãsu yawa daga gare su, girman kai da kãfirci.
064_02	Kuma Mun jefa a tsakãninsu, ƙiyayya da ƙeta, zuwa Rãnar ¡iyãma, kõ da yaushe suka hura wata wuta dõmin yãƙi, sai Allah Ya bice ta. Sunã aiki a cikin ƙasa dõmin ɓarna, alhãli kuwa Allah bã Ya son mãsu fasãdi.
065_00	Kuma dã dai lalle Mutãnen Littãfi sun yi ĩmãni, kuma sun yi taƙawa, haƙĩƙa, dã Mun kankare miyãgun ayyukansu daga gare su, kuma dã Mun shigar da su gidãjen Aljannar Ni'ima.
066_00	Kuma dã dai lalle su, sun tsayar da Attaura da Injĩla da abin da aka saukar zuwa gare su daga Ubangijinsu, haƙĩƙa, dã sun ci daga bisansu da kuma daga ƙarƙashin ƙafãfunsu.
066_01	Daga gare su akwai wata al'umma mai tsakaitãwa kuma mãsu yawa daga gare su, abin da suke aikatawa yã munana.
067_00	Yã kai Manzo! Ka iyar da abin da aka saukar zuwa gare ka daga Ubangijinka. Kuma idan ba ka aikata ba, to, ba ka iyar da manzancinSa ba ke nan. Kuma Allah Yanã tsare ka daga mutãne.
067_01	Lalle ne, Allah bã Ya shiryar da mutãne kãfirai.
068_00	Ka ce: "Yã ku Mutãnen Littãfi! Ba ku zama a kan kõme ba, sai kun tsayar da Attaura da Injĩla da abin da aka saukar zuwa gare ku daga Ubangijinku."Kuma lalle ne, abin da aka saukar zuwa gare ka daga Ubangijinka, yanã ƙara wa mãsu yawa daga gare su girman kai da kãfirci.
068_01	To, kada ka yi baƙin ciki a kan mutãne kãfirai.
069_00	Lalle ne, waɗanda suka yi ĩmãni da waɗanda sukatuba (Yahũdu) da Karkatattu da Nasãra, wanda ya yi ĩmãni da Allahda Rãnar Lãhira, kuma ya aikata aiki na ƙwarai, to, bãbu tsõro a kansu, kuma bã su zamo sunã baƙin ciki ba.
070_00	Lalle ne haƙĩƙa Mun riƙi alkawarin Bani Isrã'ĩla, kumaMun aiki manzanni zuwa gare su, ko da yaushe wani manzo ya je musu da abin da rãyukansu bã su so,
070_01	wani ɓangare sun ƙaryata, kuma wani ɓangare sunã kashewa,
071_00	Kuma suka yi zaton cewa wata fitina bã zã ta kasance ba sai Suka makanta, kuma suka kurubta, sa'an nan Allah Ya karɓi tuba a gare su, sa'an nan suka makanta kuma suka kurunta mãsu yawa daga gare su, alhãli Allah Mai gani ne ga abin da suke aikatãwa.
072_00	Lalle ne haƙĩƙa waɗanda suka ce: "Lalle ne Allah, shĩne Masĩhu, ɗan Maryama," sun kãfirta. Alhãli kuwa Masĩhu yã ce: "Yã Banĩ Isrã'ĩla! Ku bauta wa Allah Ubangijina, kuma Ubangijinku."
072_01	Lalle ne shĩ, wanda ya yi shirki da Allah, to, lalle ne, Allah Yã haramta masa Aljanna. Kuma bãbu wasu mataimaka ga azzãlumai.
073_00	Lalle ne, haƙĩƙa, waɗanda suka ce: "Allah na ukun uku ne," sun kãfirta, kuma babu wani abin bautãwa fãce Ubangji Guda.
073_01	Kuma idan ba su hanu daga abin da suke faɗa ba, haƙĩƙa, wata azãba mai raɗaɗi tãnã shãfar waɗanda suka kãfirta daga gare su.
074_00	shin fã, bã su tuba zuwa ga Allah, kuma su neme Shi gãfara, alhãli kuwa Allah Mai gãfara ne, Mai jin ƙai?
075_00	Masĩhu ɗan Maryama bai zama ba fãce Manzo ne kawai, haƙĩƙa, manzanni sun shige dage gabãninsa, kuma uwarsa siddika ce.
075_01	Sun kasance sunã cin abinci. Ka duba yadda Muke bayyana musu ãyõyi. Sa'an nan kuma ka duba yadda ake karkatar da su.
076_00	Ka ce: "Ashe kunã bauta wa, baicin Allah, abin da ba ya mallakar wata cuta sabõda ku kuma haka wani amfani alhãli kuwa Allah Shi ne Mai ji, Masani?"
077_00	Ka ce: "Yã ku Mutanen Littãfi! Kada ku zurfafa a cikin addininku, abin da bã gaskiya ba, kuma kada ku bĩbiyi son zuciyõyin waɗansu mutãne waɗanda suka riga suka ɓace a gabãni,
077_01	kuma suka ɓatar da wasu mãsu yawa, kuma suka ɓace daga tsakar hanya."
078_00	An la'ani waɗanda suka kãfirta daga Banĩ Isrã'ĩla a kan harshen Dãwuda da Ĩsa ɗan Maryama. wannan kuwa sabõda sãɓãwar da suka yi ne, kuma sun kasance suna ta'addi.
079_00	Sun kasance bã su hana juna daga abin ƙi, wanda suka aikata. Haƙĩƙa abin da suka kasancesunã aikatãwa yã munana.
080_00	Kana ganin mãsu yawa daga gare su, sunã jiɓintar waɗanda suka kãfirta. Haƙĩƙa tir da abin da rãyukansu suka gabãtar sabõda su, watau Allah Yã yi fushi da su, kuma a cikin azãba su mãsu dawwama ne
081_00	Kuma dã sun kasance sunã ĩmãni da Allah da Annabi da abin da aka saukar zuwa gare shi, dã ba su riƙe su masõya ba. Kuma amma mãsu yawa daga gare su, fãsiƙai ne.
082_00	Lalle ne kana sãmun mafiya tsananin mutãne a adãwa ga waɗanda suka yi ĩmãni, Yahudu ne da waɗanda suka yi shirki.
082_01	Kuma lalle ne kanã sãmun mafiya kusantarsu a sõyayya ga waɗanda suka yi ĩmãni su ne waɗanda suka ce: "Lalle mu ne Nasãra."
082_02	Wancan kuwa sabõda akwai ¡issawa da ruhubãnãwa daga cikinsu. Kuma lalle ne su, bã su yin girman kai.
083_00	Kuma idan suka ji abin da aka saukar zuwa ga Manzo, kanã ganin idanunsu sunã zubar da hawãye, sabõda abin da suka sani daga gaskiya, sunã cewa: "Yã Ubangijinmu!
083_01	Mun yi ĩmãni, sai ka rubuta mu tãre da mãsu shaida.
084_00	"Kuma mene ne yake gare mu, bã zã mu yi ĩmãni daAllah ba, da kuma abin da ya zo mana daga gaskiya, kuma munã gurin Ubangijinmu Ya shigar da mu tãre da mutãne sãlihai?"
085_00	Sabõda haka, Allah Yã sãkã musu, dõmin abin da suka faɗa da gidãjen Aljanna (waɗanda) ƙõramu sunã gudãna a ƙarƙashinsu, sunã madawwama a cikinsu, kuma wannan ne sakamakon mãsu kyautatãwa.
086_00	Kuma waɗanda suka kãfirta kuma suka ƙaryata game da ãyõyinMu, waɗancan ne abõkan Wuta.
087_00	Yã ku waɗanda suka yi ĩmãni! Kada ku haramta abubuwa mãsu dãɗi da Allah Ya halatta muku, kuma kada ku ƙetare haddi. Lalle ne, Allah bã Ya son mãsu ƙetare haddi.
088_00	Kuma ku ci daga abin da Allah Ya azurta ku, halat mai daɗi, kuma ku bi Allah da taƙawa, wanda yake ku, mãsu ĩmãni ne da shi.
