001_00	¡̃. Inã rantsuwa da Alƙur'ãni Mai girma.
036_00	Kuma da yawa Muka halakar, a gabãninsu, (mutãnen yanzu) ɗaga waɗansu al'ummomi, (waɗanda suke) sũ ne mafi ƙarfin damƙa daga gare su, sa'an nan suka yi bincike a cikin ƙasãshe: 'Kõ akwai wurin tsĩra'? (Babu).
037_00	Lalle ne, a cikin wancan, akwai tunãtarwa ga wanda zũciyarsa ta kasance gare shi, kõ kuwa ya jẽfa saurãro, alhãli kuwa yanã halarce (da hankalinsa).
038_00	Kuma lalle ne, haƙĩƙa, Mun halitta sammai da ƙasã da abin da ke a tsakãninsu, a cikin kwãnaki shida, alhãli wata'yar wahala ba ta shãfe Mu ba.
039_00	Sabõda haka, ka yi haƙuri a kan abin da suke fadã, kuma ka yi tasĩhi game da gõdẽ wa Ubangijinka (watau ka yi salla) a gabãnin fitõwar rãnã da gabãnin ɓacẽwarta.
040_00	Kuma daga dare, sai ka yi tasbĩhi a gare Shi da bãyan sujada.
041_00	Kuma ka saurãra a rãnar da mai kira ke yin kira daga wuri makusanci.
042_00	Rãnar da suke saurãron tsãwa da gaskiya. Wancan shĩ ne yinin fita (daga kabari).
043_00	Lalle Mũ ne haƙĩƙa, Mu ne ke rãyarwa, kuma Mũ ne ke kashẽwa, kuma zuwa gare Mu kawai ne makõmar take.
044_00	Rãnar da ƙasã ke tsattsãgẽwa daga gare su, sunã mãsu gaggãwa. Wancan tãrãwar mutãne ne, mai sauƙi a gare Mu.
045_00	Mũ ne mafi sani game da abin da suke faɗi, kuma bã zã ka zama mai tĩlasta su ba. Sabõda haka ka tunatar game da Alƙur'ani, ga wanda ke tsõron ƙyacewaTa.
