001_00	(Allah) Mai rahama.
036_00	To, sabõda wanne daga ni'imõmin Ubangijinku, kuke ƙaryatãwa?
037_00	Sa'an nan idan sama ta tsãge kuma ta zama jã kamar jar fãta.
038_00	To, sabõda wanne daga ni'imõmin Ubangijinku, kuke ƙaryatãwa?
039_00	To, a ran nan bã zã a tambayi wani mutum laifinsa ba, kuma haka aljani.
040_00	To, sabõda wanne daga ni'imõmin Ubangijinku, kuke ƙaryatãwa?
041_00	zã a iya sanin mãsu laifi da alãmarsu, sabõda haka sai a kãma kwarkaɗarsu da sãwãyensu.
042_00	To, sabõda wanne daga ni'imõmin Ubangijinku, kuke ƙaryatãwa?
043_00	Wannan Jahannama ce wadda mãsu laifi ke ƙaryatãwa game da ita.
044_00	Sunã kẽwaya a tsakaninta da ruwan ɗimi mai tsananin tafasa.
045_00	To, sabõda wanne daga ni'imõmin Ubangijinku, kuke ƙaryatãwa?
046_00	Kuma wanda ya ji tsõron tsayãwa a gaba ga Ubangijinsa yanã da Aljanna biyu.
047_00	To, sabõda wanne daga ni'imõmin Ubangijinku, kuke ƙaryatãwa?
048_00	Mãsu rassan itãce.
049_00	To, sabõda wanne daga ni'imõmin Ubangijinku, kuke ƙaryatãwa?
050_00	A cikinsu akwai marẽmari biyu sunã gudãna.
051_00	To, sabõda wanne daga ni'imõmin Ubangijinku, kuke ƙaryatãwa?
052_00	A cikinsu akwai nau'i biyu daga kõwane 'ya'yan itãcen marmari.
053_00	To, sabõda wanne daga ni'imõmin Ubangijinku, kuke ƙaryatãwa?
054_00	Sunã gincire a kan waɗansu shimfiɗu cikinsu tufãfin alharĩni mai kauri ne kuma nũnannun 'yã'yan itãcen Aljannar biyu kusakusa suke.
055_00	To, sabõda wanne daga ni'imõmin Ubangijinku, kuke ƙaryatãwa?
056_00	A cikinsu akwai mãtã mãsu taƙaita ganinsu, wani mutum, gabanin mazajensu bai ɗebe budurcinsu ba kuma haka wani aljani.
057_00	To, sabõda wanne daga ni'imõmin Ubangijinku, kuke ƙaryatãwa?
058_00	Kamar dai su yaƙũtu ne da murjãni.
059_00	To, sabõda wanne daga ni'imõmin Ubangijinku, kuke ƙaryatãwa?
060_00	Shin, kyautatãwa nã da wani sakamako? (Ã'aha) fãce kyautatãwa.
061_00	To, sabõda wanne daga ni'imõmin Ubangijinku, kuke ƙaryatãwa?
062_00	Kuma baicinsu akwai waɗansu gidãjen Aljanna biyu.
063_00	To, sabõda wanne daga ni'imõmin Ubangijinku, kuke ƙaryatãwa?
064_00	Mãsu duhun inuwa.
065_00	To, sabõda wanne daga ni'imõmin Ubangijinku, kuke ƙaryatãwa?
066_00	A cikinsu akwai marẽmari biyu masu kwarãrar ruwa.
067_00	To, sabõda wanne daga ni'imõmin Ubangijinku, kuke ƙaryatãwa?
068_00	A cikinsu akwai 'ya'yan itãcen marmari da dabĩno darummãni.
069_00	To, sabõda wanne daga ni'imõmin Ubangijinku, kuke ƙaryatãwa?
070_00	A cikinsu, akwai wasu mãtã mãsu kyaun hãlãye, mãsu kyaun halitta.
071_00	To, sabõda wanne daga ni'imõmin Ubangijinku, kuke ƙaryatãwa?
072_00	Mãsu farin idãnu da baƙinsu waɗanda aka tsare a cikin haimõmi.
073_00	To, sabõda wanne daga ni'imõmin Ubangijinku, kuke ƙaryatãwa?
074_00	Wani mutum, gabanin mazajensu bai ɗẽbe budurcinsu ba, kuma haka wani aljani.
075_00	To, sabõda wanne daga ni'imõmin Ubangijinku, kuke ƙaryatãwa?
076_00	Sunã gincire a kan wasu matãsai mãsu kõren launi da katĩfun Abkara kyãwãwa.
077_00	To, sabõda wanne daga ni'imõmin Ubangijinku, kuke ƙaryatãwa?
078_00	Sũnan Ubangjinka, Mai girman Jalãla da Karimci, ya tsarkaka.
