001_00	¦. S̃. M̃.
038_00	Sai aka tãra masihirta dõmin ajalin yini sananne.
039_00	Kuma aka ce wa mutãne "Kõ kũ mãsu tãruwã ne?
040_00	"Tsammãninmu mu bi masihirta, idan sun kasance sũ ne marinjãya."
041_00	To, a lõkacin da masihirta suka jẽ suka ce wa Fir'auna,"Shin, lalle ne, haƙĩƙa munã da ijãra idan mun kasance mũ ne marinjãya?"
042_00	Ya ce: "Na'am! Kuma lalle ne, kũ ne a lõkacin haƙĩƙa muƙarrabai."
043_00	Mũsã ya ce musu, "Ku jẽfa abin da kuke mãsu jẽfãwa."
044_00	Sai suka jẽfa igiyõyinsu, da sandunansu, kuma suka ce: "Da ƙarfin Fir'auna lalle ne mũ, haƙĩƙa, mũ ne marinjãya."
045_00	Sai Mũsa ya jẽfa sandarsa, sai ga ta tanã harhaɗe abin da suke yi na ƙarya.
046_00	Sai aka jẽfar da masihirta sunã mãsu sujada.
047_00	Suka ce: "Mun yi ĩmãni da Ubangijin halitta."
048_00	"Ubangijin Mũsa da Hãrũna."
049_00	Ya ce: "Ashe, kun yi ĩmãni sabõda shĩ, a gabãnin in yi muku izni? Lalle ne shi, haƙĩƙa babbanku ne wanda ya kõya muku sihirin, to, zã ku sani.
049_01	Lalle ne haƙĩƙa, zan kakkãtse hannuwanku da kafãfunku a tarnaƙi, kuma haƙĩƙa, zan tsĩrẽ ku gabã ɗaya."
050_00	Suka ce: "Bãbu wata cũta! Lalle ne mũ mãsu jũyãwa ne zuwa ga Ubangijinmu."
051_00	"Lalle ne mu munã kwaɗayin Ubangijinmu, Ya gãfarta mana kurakuranmu dõmin mun kasance farkon mãsu ĩmãni."
052_00	Kuma Muka aika zuwa ga Mũsã cẽwa ka yi tafiyar dare da bãyiNa, lalle ne kũ waɗanda ake biyã ne.
053_00	Sai Fir'auna ya aika mãsu gayya a cikin birãne.
054_00	"Lalle ne, waɗannan, haƙĩƙa, ƙungiya ce kaɗan."
055_00	"Kuma lalle ne sũ, a gare Mu, Mãsu fusãtarwa ne."
056_00	"Kuma lalle ne mũ haƙĩƙa gabã ɗaya mãsu sauna ne."
057_00	Sai Muka fitar da su daga gonaki da marẽmari.
058_00	Da taskõki da mazauni mai kyau.
059_00	Kamar haka! Kuma Muka gãdar da su ga Banĩ Isrãĩla.
060_00	Sai suka bĩ su sunã mãsu fita a lõkacin hũdõwar rãnã.
061_00	Sa'an nan a lõkacin da jama'a biyu suka ga jũna, sai abõkan Mũsã suka ce: "Lalle ne mũ haƙĩ ƙa, waɗanda ake riska ne."
062_00	Ya ce: "Kayya! Lalle ne Ubangijina Yanã tare da ni, zai shiryar da ni."
063_00	Sai Muka yi wahayi zuwa ga Mũsã cẽwa "Ka dõki tẽku da sandarka." Sai tẽku ta tsãge, kõwane tsãgi ya kasance kamar falalen dũtse mai girma.
064_00	Kuma Muka kusantar da waɗansu mutãne a can.
065_00	Kuma Muka tsĩrar da Mũsã da waɗanda suke tãre da shi gabã ɗaya.
066_00	Sa'an nan kuma Muka nutsar da waɗansu mutãnen.
067_00	Lalle ne a cikin wannan akwai ãyã, kuma mafi yawansu ba su kasance mãsu ĩmãni ba.
068_00	Kuma lalle ne Ubangijinka, kaƙĩƙa, Shĩ ne Mabũwayi, Mai jin ƙai.
069_00	Kuma ka karanta, a kansu, lãbãrin Ibrãhĩm.
070_00	A sã'ilin da ya ce wa ubansa da mutãnensa, "Mẽne ne kuke bauta wa?"
071_00	Suka ce: "Munã bauta wa gumãka, sabõda haka munã yini mãsu lazimta a gare su."
072_00	Ya ce: "Shin, sunã jin ku, a lõkacin da kuke kira?"
073_00	"Kõ kuwa sunã amfãnin ku, kõ sunã cũtar ku?"
074_00	Suka ce: "Ã'a mun sãmĩ ubanninmu, kamar haka ne suke aikatãwa."
075_00	Ya ce: "Shin to, kun ga abin da kuka kasance kunã bautã wa?"
076_00	"Kũ da ubanninku mafi daɗẽwa?"
077_00	"To lalle ne, sũ maƙiya ne a gare ni, fãce Ubangijin halittu."
078_00	"Wanda Ya halitta ni, sa'an nan Yanã shiryar da ni."
079_00	"Kuma Wanda Yake Shĩ ne Yake ciyar da ni, kuma Yanã shãyar da ni."
080_00	"Kuma idan na yi jiyya, to, Shĩ ne Yake warkar da ni."
081_00	"Kuma wanda Yake matar da ni, sa'an nan Ya rãyar da ni."
082_00	"Kuma wanda Yake inã kwaɗayin Ya gãfarta mini kurãkuraina, a rãnar sãkamako."
083_00	"Ya Ubangijĩna! Ka ba ni hukunci, kuma Ka riskar da ni ga sãlihai."
084_00	"Kuma Ka sanya mini harshen gaskiya a cikin mutãnen ƙarshe."
085_00	"Kuma Ka sanya ni daga magãdan Aljannar ni'ima."
086_00	"Kuma Ka gãfarta wa ubãna, lalle ne shi, ya kasance daga ɓatattu."
087_00	"Kuma kada Ka kunyata ni a rãnar da ake tãyar da su."
088_00	"A rãnar da dũkiya bã ta amfãni, kuma ɗiya bã su yi."
089_00	"Fãce wanda ya jẽ wa Allah da zũciya mai tsarki."
090_00	Kuma aka kusantar da Aljanna ga mãsu taƙawa.
091_00	Kuma aka fitar da wutã babba dõmin halakakku.
092_00	Kuma aka ce musu, "Inã abin da kuka kasance kunã bautawa?"
093_00	"Baicin Allah? Shin sunã tamakon ku kõ kuwa sunã tsare kansu?"
094_00	Sai aka kikkife su a cikinta, su da halakakkun.
095_00	Da rundunar Ibilĩsa gabã ɗaya.
096_00	Suka ce: alhãli sunã a cikinta sunã yin husũma,
097_00	"Rantsuwa da Allah! Lalle ne mun kasance, haƙĩƙa, a cikin ɓata bayyananna."
098_00	"A lõkacin da muke daidaita ku da Ubangijin halittu.
099_00	"Kuma bãbu abin da ya ɓatar da mu fãce mãsu laifi."
100_00	"Sabõda haka bã mu da waɗansu macẽta."
101_00	"Kuma bã mu da abõki, masõyi."
102_00	"Sabõda haka dã lalle munã da (dãmar) kõmawa, dõmin mu kasance daga mũminai!"
103_00	Lalle ne, a cikin wancan akwai ãyã, kuma mafi yawansu, bã su kasance mũminai ba.
104_00	Kuma lalle ne, Ubangijinka, Shi ne Mabuwãyi, Mai jin ƙai.
105_00	Mutãnen Nũhu sun ƙaryata Manzanni.
106_00	A lõkacin da ɗan'uwansu, Nũhu, ya ce musu, "Shin, bã zã ku yi taƙawa ba?"
107_00	"Lalle ne, zuwa gare ku, ni Manzo ne amintacce."
108_00	"To, ku bi Allah da taƙawa, kuma ku yi mini ɗã'ã."
109_00	"Kuma bã ni tambayar ku wata ijãra a kansa. Ijãrãtã ba ta zama ba fãce daga Ubangijin halittu."
110_00	"Sabõda haka, ku bi Allah da taƙawa, kuma ku yi mini ɗã'ã."
111_00	Suka ce: "Ashe, zã mu yi ĩmãni sabõda kai alhãli kuwa mafiya ƙasƙanci sun bi ka?"
112_00	Ya ce: "Kuma bã ni da sani ga abin da suka kasance sanã aikatãwa."
113_00	"Hisãbinsu bai zama ba fãce ga Ubangijina, dã kunã sansancẽwa."
114_00	"Ban zama mai kõre mũminai ba."
115_00	"Nĩ ba kõwa ba ne sai mai gargaɗi mai bayyanãwa."
116_00	Suka ce: "Lalle ne, idan ba ka hanu ba, yã Nũhu, (daga maganarka,) haƙĩƙa, kanã kasancẽwa daga waɗanda ake jẽfewa"
117_00	Ya ce: "Yã Ubangijĩna! Lalle ne mutãnena sun ƙaryatã ni."
118_00	"Sai ka yi hukunci, a tsakãnĩna da tsakãninsu tabbataccen hukanci, kuma ka tsĩrar da ni, da waɗanda suke tãre da ni daga mũminai."
119_00	Sai Muka tsĩrar da shi, shi da waɗanda suke tãre da shi, a cikin jirgi wanda aka yi wa lõdi.
120_00	Sa'an nan Muka nutsar a bãyan haka, da sauran.
121_00	Lalle ne a cikin wannan akwai ãyã, kuma mafi yawansu, ba su kasance mãsu ĩmãni ba.
122_00	Kuma Lalle ne, Ubangijinka, haƙĩƙa, Shĩ ne Mabuwãyi, Mai Rahama.
123_00	Ãdãwa sun ƙaryata Manzanni.
124_00	A lõkacin da ɗan'uwansu, Hũdu ya ce musu, "Bã zã ku yi taƙawa ba?"
125_00	"Lalle ne ni, zuwa gare ku, haƙĩƙa, Manzo ne, amintacce."
126_00	"Sabõda haka ku bi Allah da taƙawa, kuma ku yi mini ɗã'ã."
127_00	"Kuma bã ni tambayar wata ijãra a kansa. Ijãrãta ba ta zama ba, fãce daga Ubangijin halittu."
128_00	"Shin, kunã yin ginin sitadiyo a kõwane tsauni ne, kunã yin wãsa?"
129_00	"Kuma kunã riƙon matsãrar ruwa, tsammãninku, ku dawwama?"
130_00	"Kuma idan kun yi damƙa, sai ku yi damƙar kunã mãsu tanƙwasãwa."
131_00	"To ku bi Allah da taƙawa, kuma ku yi mini ɗã'ã."
132_00	"Ku ji tsõron wanda Ya taimake ku da abin da kuka sani."
133_00	"Ya taimake ku da dabbõbin ni'ima da ɗiya."
134_00	"Da gõnaki da marẽmari."
135_00	"Lalle ne nĩ, inã ji muku tsõron azãbar wani yini mai girma."
136_00	Suka ce: "Daidai ne a kanmu: Kã yi wa'azi kõ ba ka kasance daga mãsu wa'azi ba."
137_00	"Wannan abu bai zamõ ba fãce hãlãyen mutãnen farko."
138_00	"Kuma mũ ba mu zama waɗanda ake yi wa azãba ba."
139_00	Sabõda haka suka ƙaryata shi, sai Muka halakar da sũ. Lalle ne a cikin wannan akwai ãyã, kuma mafi yawansu ba su kasance mãsu ĩmãni ba.
140_00	Kuma lalle ne, Ubangijinka, haƙĩƙa, Shi ne Mabuwãyi, Mai jin ƙai.
141_00	Samũdãwa sun ƙaryata Manzanni.
142_00	A lõkacin da ɗan'uwansu Sãlihu ya ce: "Shin, bã zã ku bi Allah da taƙawa ba?"
143_00	"Lalle ne nĩ zuwã gare ku, Manzo ne, amintacce."
144_00	"Sabõda haka ku bi Allah da taƙawa, kuma ku yi mini ɗã'ã.
145_00	"Kuma bã ni tambayar ku wata ijãra a kansa. Ijãrãta ba ta zama ba fãce da a Ubangijin halittu."
146_00	"Shin, anã barin ku a cikin abin da yake a nan, kunã amintattu?"
147_00	"A cikin gõnaki da marẽmari."
148_00	"Da shuke-shuke da dabĩ nai, 'ya'yan itãcensu hirtsi mãsu narkẽwa a ciki?"
149_00	"Kuma kunã sassaƙa gidãje daga duwãtsu, kunã mãsu alfãhari?"
150_00	"Sabõda haka ku bi Allah da taƙawa, kuma ku yi mini ɗã'ã."
151_00	"Kada ku yi ɗã'ã ga umurnin maɓarnata."
152_00	"Waɗanda suke yin ɓarna a cikin ƙasa, kuma bã su kyautatãwa."
153_00	Suka ce: "Kai daga mãsu sihiri kurum kake."
154_00	"Bã kõwa kake ba, fãce mutum kamarmu. To, kã zo da wata ãyã idan kã kasance daga mãsu gaskiya."
155_00	Ya ce: "Wannan rãkuma ce tanã da shan yini, kuma kunã da shan yini sasanne."
156_00	"Kada ku shãfe ta da cũta har azãbar yini mai girmã ta shãfe ku."
157_00	Sai suka sõke ta sa'an nan suka wãyi gari sunã mãsu nadãma.
158_00	Sabõda haka azãba ta kãma su. Lalle ne a cikin wannan akwai ãyã, kuma mafi yawansu, ba su kasance mãsu ĩmãni ba.
159_00	Lalle ne Ubangijinka, haƙĩ ƙa, Shĩ ne Mabuwayi, Mai jin ƙai.
160_00	Mutãnen Lũɗu sun ƙaryata Manzanni.
161_00	A lõkacin da ɗan'uwansu, Lũɗu ya ce musu, "Bã zã ku yi taƙawa ba?"
162_00	"Lalle ne nĩ, zuwa gare ku, Manzõ ne, amintacce."
163_00	"Sabõda haka ku bi Allah da taƙawa, kuma ku yi mini ɗã'ã."
164_00	"Kuma bã ni tambayar ku wata ijãra, Ijãrãta ba ta zama ba fãce daga Ubangijin halittu."
165_00	"Shin kunã jẽ wa maza daga cikin talikai?"
166_00	"Kuma kunã barin abin da Ubangijinku Ya halitta muku daga mãtanku? Ã'a, ku mutãne ne mãsu ƙẽtarẽwa!"
167_00	Suka ce: "Lalle ne haƙĩƙa idan ba ka hanu ba, yã Lũɗu! Tĩlas ne kanã kasancẽwa daga waɗanda ake fitarwa (daga gari)."
168_00	Ya ce: "Lalle ne ga aikinku, haƙĩƙa, inã daga mãsu ƙinsa."
169_00	"Ya Ubangijina! Ka tsĩrar da ni da iyãlĩna daga abin da suke aikatãwa."
170_00	Sabõda haka Muka tsĩrar da shi, Shi da mutãnensa gabã ɗaya.
171_00	Fãce wata tsõhuwa a cikin mãsu wanzuwa.
172_00	Sa'an nan kuma Muka darkãke wasu.
173_00	Kuma Muka yi ruwan sama a kansu ruwa, sai dai ruwan waɗanda ake yi wa gargaɗi ya mũnana.
174_00	Lalle ne ga wannan, akwai ãyã, kuma mafi yawansu bã su kasance mãsu ĩmãni ba.
175_00	Kuma lalle ne Ubangijinka, haƙĩƙa, Shĩ ne Mabuwãyi, Mai jin ƙai.
176_00	Ma'abũta ƙunci sun ƙaryata Manzanni.
177_00	A lõkacin da Shu'aibu ya ce musu, "Bã zã ku yi taƙawa ba?"
178_00	"Lalle ne ni, zuwa gare ku, Manzo ne, amintacce."
179_00	"Sabõda haka ku bi Allah da taƙawa kuma ku yi mini ɗã'ã."
180_00	"Kuma ba ni tambayar ku wata ijãra a kansa. Ijãrata ba ta zama ba fãce daga Ubangijin halittu."
181_00	"Ku cika mũdu, kuma kada ku kasance daga mãsu sanyãwar hasãra (ga mutãne)."
182_00	"Kuma ku yi awo da sikẽli daidaitacce."
183_00	"Kuma kada ku nakasa wa mutãne abũbuwansu kuma kada ku yi fasãdi a cikin ƙasa kuna mãsu ɓarna."
184_00	"Kuma ku ji tsõron Allah wanda Ya halitta ku, kũ da jama'ar farko."
185_00	Suka ce: "Kai dai daga waɗanda suke sihirtattu kawai ne."
186_00	"Kuma bã kõwa kake ba, fãce mutum kamarmu kuma lalle ne munã zaton ka, haƙĩƙa, daga maƙaryata."
187_00	"To ka jẽfo wani ɓaɓɓake daga sama a kanmu, idan ka kasance daga mãsu gaskiya."
188_00	Ya ce: "Ubangijĩna ne Mafi sani ga abin da kuke aikatãwa."
189_00	Sai suka ƙaiyatã shi, sabõda haka, azãbar rãnar girgije ta kãma su. Lalle ne ita, tã kasance azãbar yini mai girma.
190_00	Lalle a cikin wancan haƙĩka akwai ãya, amma mafi yawansu ba su kasance mãsu ĩmãni ba.
191_00	Kuma lalle Ubangijĩnka, haƙĩƙa, Shĩ ne Mabuwãyi, Mai jin ƙai.
192_00	Kuma lalle shi (Alƙur'ãni), haƙĩƙa, saukarwar Ubangijinhalittu ne.
193_00	Rũhi amintacce ne ya sauka da shi.
194_00	A kan zũciyarka, dõmin ka kasance daga mãsu gargaɗi.
195_00	Da harshe na Larabci mai bayãni.
196_00	Kuma lalle shin, haƙĩƙa, yanã a cikin litattafan (Manzannin) farko.
197_00	Ashe, bai kasance ãyã ba a gare su, ya zama Mãlaman Banĩ Isrã'ĩla sun san shi?
198_00	Kuma dã mun saukar da shi a kan sãshen Ajamãwa,
199_00	Ya karanta shi a kansu, ba su kasance sabõda shi mãsu ĩmãni ba.
200_00	Kamar wancan ne! Muka shigar da shi a cikin zukãtan mãsu laifi.
201_00	Bã zã su yi ĩmãni da shĩ ba sai sun ga azãbar nan mai raɗadi.
202_00	Sai ta taho musu kwatsam, alhãli kuwa sũ, ba su sansance ba.
203_00	Sai su ce: "Shin, mu waɗanda ake yi wa jinkiri ne?"
204_00	Ashe, to, da azãbarMu suke nẽman gaggãwa?
205_00	Ashe, to, kã gani, idan Muka jĩshe su daɗi a shẽkaru,
206_00	Sa'an nan abin da suka kasance anã yi musu wa'adi (da shi) ya jẽ musu,
207_00	Abin da suka kasance anã jĩshe su dãɗin bã zai tunkuɗe azãba ba daga gare su.
208_00	Kuma bã Mu halakar da wata alƙarya ba fãce tanã da mãsu gargaɗi.
209_00	Dõmin tunãtarwa, kuma ba Mu kasance Mãsu zãlunci ba.
210_00	Kuma (Alƙur'ãni) Shaiɗãnu ba su ɗõra sauka da shĩba.
211_00	Kuma bã ya kamãta a gare su (su Shaiɗãnu su sauka da shi), kuma ba su iyãwa.
212_00	Lalle ne sũ, daga saurãre, haƙĩƙa, waɗanda aka nĩsantar ne.
213_00	Sabõda haka, kada ka kira wani abin bautãwa na dabam tãre da Allah, sai ka kasance daga waɗanda ake yi wa azãba.
214_00	Kuma ka yi gargaɗi ga danginka mafiya kusanci.
215_00	Kuma ka sassauta fikãfikanka ga wanda ya bĩ ka daga mũminai.
216_00	Sa'an nan idan suka sãɓã maka to ka ce: "Lalle nĩ, barrantacce ne daga abin da kuko aikatãwa."
217_00	Kuma ka dõgara ga Mabuwãyi, Mai jin ƙai.
218_00	Wanda Yake ganin ka a lõkacin da kake tãshi tsaye.
219_00	Da jujjuyãwarka a cikin mãsu yin sujada.
220_00	Lalle Shi, Shi ne Mai ji, Masani.
221_00	Shin, (kunã so) in gaya muku a kan wanda Shaiɗãnnu kan sauka?
222_00	Sukan sauka a kan dukkan maƙaryaci, mai zunubi.
223_00	Sunã jẽfa (abin da suka) ji, alhãli kuwa mafi yawansu maƙaryata ne.
224_00	Kuma mawãƙa halakakku ne ke bin su.
225_00	Shin, ba ku cẽwa, lalle ne sũ, cikin kõwane rango sunã yin ɗimuwa (su ƙẽtare haddi) ba?
226_00	Kuma lalle ne, sũ, sunã faɗin abin da bã su aikatãwa?
227_00	Fãce waɗanda suka yi ĩmãni suka aikata ayyukan ƙwarai, kuma suka ambaci Allah da yawa, kuma suka rãma zãlunci, daga bãyan an zãlunce su.
227_01	Kuma waɗanda suka yi zãlunci, zã su sani a wace majũya suke jũyãwa.
