Sad
001_00	Sâd. Per il Corano il Monito.
047_00	In verità sono presso di Noi, tra i migliori degli eletti.
048_00	E ricorda Ismaele, Eliseo e Dhù'l Kifl , ciascuno di loro è tra i migliori.
049_00	Questo è un Monito. In verità i timorati avranno soggiorno bello.
050_00	i Giardini di Eden, le cui porte saranno aperte per loro.
051_00	Colà, comodamente appoggiati, chiederanno abbondanza di frutta e bevande.
052_00	E staranno loro vicine quelle dallo sguardo casto, coetanee.
053_00	Ciò è quanto vi è promesso per il Giorno del Rendiconto.
054_00	In verità questi sono i beni che vi concediamo e che non si esauriranno mai.
055_00	Così sarà. I ribelli avranno invece il peggiore dei soggiorni.
056_00	l'Inferno in cui saranno precipitati; qual tristo giaciglio.
057_00	Così sarà. E allora che assaggino acqua bollente e acqua fetida
058_00	ed altri simili tormenti.
059_00	Questa è una folla che si precipita insieme con voi: non avranno benvenuto e cadranno nel Fuoco.
060_00	Diranno: «Non c'è benvenuto per voi, per voi che ci avete preparato tutto ciò!». Qual tristo rifugio.
061_00	Diranno: «Signore, raddoppia il castigo nel Fuoco a chiunque ce lo abbia preparato».
062_00	Diranno: «Perché mai non vediamo quegli uomini che consideravamo miserabili.
063_00	dei quali ci facevamo beffe e che evitavamo di guardare?».
064_00	Invero saranno queste le mutue recriminazioni della gente del Fuoco.
065_00	Di': «Io non sono altro che un ammonitore. Non c'è altro dio all'infuori di Allah, l'Unico, il Dominatore.
066_00	il Signore dei cieli e della terra e di ciò che vi è frammezzo, l'Eccelso, il Perdonatore».
067_00	Di': «Questo è un annuncio solenne.
068_00	ma voi ve ne allontanate.
069_00	Non avevo nessuna conoscenza della discussione del supremo consesso .
070_00	mi è stato solo rivelato che non sono che un ammonitore esplicito».
071_00	quando il tuo Signore disse agli angeli: «Creerò un essere umano con l'argilla.
072_00	Dopo che l'avrò ben formato e avrò soffiato in lui del Mio Spirito, gettatevi in prosternazione davanti a lui».
073_00	Tutti gli angeli si prosternarono assieme.
074_00	eccetto Iblìs, che si inorgoglì e divenne uno dei miscredenti.
075_00	disse: «O Iblìs, cosa ti impedisce di prosternarti davanti a ciò che ho creato con le Mie mani? Ti gonfi d'orgoglio? Ti ritieni forse uno dei più elevati?».
076_00	Rispose: «Sono migliore di lui: mi hai creato dal fuoco, mentre creasti lui dalla creta».
077_00	disse: «Esci di qui, in verità sei maledetto.
078_00	e la Mia maledizione sarà su di te fino al Giorno del Giudizio!».
079_00	Disse: «Signore, concedimi una dilazione fino al Giorno in cui saranno resuscitati».
080_00	Rispose: «Tu sei fra coloro cui è concessa dilazione
081_00	fino al Giorno dell'Istante noto».
082_00	Disse: «Per la Tua potenza, tutti li travierò.
083_00	eccetto quelli, fra loro, che sono Tuoi servi protetti».
084_00	disse: « la Verità, Io dico in Verità.
085_00	che riempirò l'Inferno di te e di tutti quelli di loro che ti seguiranno».
086_00	Di' : «Non vi chiedo ricompensa alcuna , né sono fra coloro che vogliono imporsi.
087_00	Questo non è che un Monito per le creature.
088_00	E tra qualche tempo ne avrete certamente notizia».
