La Consultazione
001_00	Hâ',Mîm
015_01	Allah è il nostro Signore e il vostro Signore. A noi le nostre azioni, a voi le vostre. Nessuna polemica tra noi e voi. Ci riunirà Allah e verso Lui è la meta».
016_00	Coloro che polemizzano a proposito di Allah dopo che già è stato risposto al Suo appello, hanno argomenti che non hanno alcun valore presso Allah. Su di loro la collera e avranno un severo castigo.
017_00	Allah è Colui che ha rivelato secondo verità il Libro e la Bilancia. Chi ti potrà rendere edotto ? Forse l'Ora è vicina.
018_00	Vogliono affrettarne la venuta coloro che non credono in essa, mentre i credenti sono intimoriti, sapendo che è verità.
018_01	Coloro che polemizzano sull'Ora sono in evidente errore.
019_00	Allah è dolce con i Suoi servi e concede a chi vuole. Egli è il Forte, l'Eccelso.
020_00	A chi avrà voluto ararel'altra vita, accresceremo la sua aratura mentre a chi avrà voluto arare questa vita, concederemo una parte, ma non avrà parte alcuna dell'altra vita.
021_00	Hanno forse associati che, a proposito della religione, abbiano stabilito per loro una via che Allah non ha consentito?
021_01	Se non fosse stata presa la Decisione finale, già sarebbe stato giudicato tra loro! Gli ingiusti avranno doloroso castigo.
022_00	Vedrai gli ingiusti impauriti di ciò che avranno meritato e che ricadrà su di loro.
022_01	Coloro che credono e compiono il bene, saranno nei prati del Giardino e avranno tutto ciò che vorranno presso il loro Signore. Questa è la grazia grande.
023_00	Questa è la novella che Allah dà ai Suoi servi che credono e compiono il bene. Di': «Non vi chiedo alcuna ricompensa, oltre all'amore per i parenti».
023_01	A chi compie una buona azione, Noi daremo qualcosa di migliore. In verità Allah è perdonatore, riconoscente.
024_00	Diranno invece: «Ha inventato menzogne contro Allah». Se Allah volesse, sigillerebbe il tuo cuore.
024_01	Con le Sue parole Allah cancella il falso e realizza la verità. Egli conosce quello che nascondono i petti.
025_00	Egli è Colui che accoglie il pentimento dei Suoi servi, perdona i loro peccati e conosce quello che fate.
026_00	Esaudisce coloro che credono e compiono il bene e li accresce della Sua grazia. I miscredenti avranno severo castigo.
027_00	Se Allah avesse dato abbondanza di ricchezze ai Suoi servi, si sarebbero ribellati sulla terra. Elargisce invece ciò che vuole, con misura. Egli è ben informato sui Suoi servi e li osserva.
028_00	Egli è Colui che fa scendere la pioggia, quando già se ne dispera; così diffonde la Sua misericordia. E il Patrono, il Degno di lode.
029_00	Fra i Suoi segni vi è la creazione dei cieli e della terra e degli esseri viventi che vi ha sparso; Egli è in grado di riunire tutti quando Lo vorrà.
030_00	Qualunque sventura vi colpisca, sarà conseguenza di quello che avranno fatto le vostre mani , ma molto perdona.
031_00	Non potrete opporvi sulla terra e, all'infuori di Allah, non avrete né patrono né alleato.
032_00	Fra i Suoi segni vi sono le navi, come montagne sul mare.
033_00	Se vuole, calma i venti ed ecco che stanno immobili sulla superficie. In verità in ciò vi sono segni per tutti i pazienti e i riconoscenti.
034_00	Oppure le annienta per quel che si meritarono ; ma Egli molto perdona.
035_00	Coloro che polemizzano sui Nostri segni, sappiano di non avere nessuna via d'uscita.
036_00	Tutto ciò che vi è stato concesso non è che godimento effimero di questa vita, mentre quel che è presso Allah è migliore e duraturo; coloro che credono e confidano nel loro Signore.
037_00	coloro che evitano i peccati più gravi e le turpitudini e che perdonano quando si adirano.
038_00	coloro che rispondono al loro Signore, assolvono all'orazione, si consultano vicendevolmente su quel che li concerne e sono generosi di ciò che Noi abbiamo concesso loro.
039_00	coloro che si difendono quando sono vittime dell'ingiustizia.
040_00	La sanzione di un torto è un male corrispondente, ma chi perdona e si riconcilia, avrà in Allah il suo compenso. In verità Egli non ama gli ingiusti.
041_00	Chi si difende per aver subito un torto non incorre in nessuna sanzione.
042_00	Non c'è sanzione se non contro coloro che sono ingiusti con gli uomini e, senza ragione, spargono la corruzione sulla terra: essi avranno doloroso castigo.
043_00	Quanto invece a chi è paziente e indulgente, questa è davvero la miglior disposizione.
044_00	Colui che Allah svia, non avrà oltre a Lui patrono alcuno. Vedrai gli ingiusti che, alla vista del castigo, grideranno: «C'è un modo per ritornare ?».
045_00	Li vedrai, ad esso esposti, umiliati e impotenti, lanciarsi sguardi furtivi, mentre i credenti diranno: «In verità, coloro che avranno causato la loro rovina e quella delle loro famiglie, nel Giorno della Resurrezione saranno i perdenti».
045_01	In verità gli ingiusti avranno duraturo castigo.
046_00	Non avranno patroni che li aiuteranno contro Allah. Colui che Allah svia non ha nessuna via.
047_00	Rispondete al vostro Signore, prima che venga un Giorno il cui termine Allah non differirà. In quel Giorno non avrete rifugio e non potrete negare alcunché.
048_00	Se volgono le spalle, che non ti inviammo loro affinché li custodissi: tu devi solo trasmettere.
048_01	Quando facciamo gustare all'uomo una misericordia che proviene da Noi, egli se ne rallegra; se lo coglie invece una sventura, per ciò che le sue mani hanno commesso, subito l'uomo diventa ingrato.
049_00	Appartiene ad Allah la sovranità dei cieli e della terra. Egli crea quello che vuole. Concede femmine a chi vuole e, a chi vuole, maschi.
050_00	oppure concede maschi e femmine insieme e rende sterile chi vuole. In verità Egli è il Sapiente, il Potente.
051_00	Non è dato all'uomo che Allah gli parli, se non per ispirazione o da dietro un velo, o inviando un messaggero che gli riveli, con il Suo permesso, quel che Egli vuole. Egli è altissimo, saggio.
052_00	Ed è così che ti abbiamo rivelato uno spirito dal Nostro ordine. Tu non conoscevi né la Scrittura né la fede.
052_01	Ne abbiamo fatto una luce per mezzo della quale guidiamo chi vogliamo, tra i Nostri servi. In verità tu guiderai sulla retta via.
053_00	la via di Allah, Cui appartiene tutto quel che è nei cieli e sulla terra. Sì, ritornano ad Allah tutte le cose.
