001_00	Haa, Miim.
029_00	(Kebanyakan mereka tidak kembali kepada tauhid, dan Aku pula tidak segerakan azab mereka) bahkan Aku memberikan mereka dan datuk nenek mereka menikmati kesenangan hidup, sehingga datanglah kepada mereka kebenaran (Al-Quran), dan seorang Rasul yang menerangkan tauhid.
030_00	Dan ketika kebenaran (Al-Quran) itu disampaikan kepada mereka, berkatalah mereka: "Sesungguhnya ini adalah sihir, dan sesungguhnya kami tetap mengingkarinya".
031_00	Dan (kerana mereka mencemuh Nabi Muhammad) mereka berkata: "(Kalaulah Al-Quran ini menjadi bukti kenabian seseorang, maka) sepatutnya Al-Quran ini diturunkan kepada seorang besar (yang kaya dan berpengaruh) dari salah sebuah dua bandar yang (terkenal) itu?"
032_00	(Mengapa pemberian Kami itu mereka ingkarkan?) Adakah mereka berkuasa membahagi-bahagikan (perkara-perkara keruhanian dan keugamaan yang menjadi sebesar-besar) rahmat Tuhanmu (wahai Muhammad, seolah-olah Kami hanya berkuasa dalam perkara kebendaan dan keduniaan sahaja? Mereka tidak ingkarkan): Kami membahagi-bahagikan antara mereka segala keperluan hidup mereka dalam kehidupan dunia ini,
032_01	(setengahnya Kami jadikan kaya raya dan setengahnya miskin menderita); dan juga Kami telah menjadikan darjat setengah mereka tertinggi dari darjat setengahnya yang lain; (semuanya itu) supaya sebahagian dari mereka senang mendapat kemudahan menjalankan kehidupannya dari (bantuan) setengahnya yang lain. Dan lagi rahmat Tuhanmu (yang meliputi kebahagiaan dunia dan akhirat) adalah lebih baik dari kebendaan dan keduniaan semata-mata yang mereka kumpulkan.
033_00	Dan kalaulah tidak kerana manusia akan menjadi umat yang satu (dalam kekufuran), nescaya Kami jadikan bagi orang-orang yang kufur ingkar kepada Tuhan Yang Maha Pemurah, bumbung rumah-rumah mereka dari perak, dan tangga-tangga yang mereka naik turun di atasnya (dari perak juga),
034_00	Dan juga pintu-pintu rumah mereka (dari perak juga), dan kerusi-kerusi panjang yang mereka berbaring di atasnya (dari perak juga),
035_00	Serta berbagai barang perhiasan (keemasan). Dan (ingatlah), segala yang tersebut itu tidak lain hanyalah merupakan kesenangan hidup di dunia; dan (sebaliknya) kesenangan hari akhirat di sisi hukum Tuhanmu adalah khas bagi orang-orang yang bertaqwa.
036_00	Dan sesiapa yang tidak mengindahkan pengajaran (Al-Quran yang diturunkan oleh Allah) Yang maha Pemurah, Kami akan adakan baginya Syaitan (yang menghasut dan menyesatkannya), lalu menjadilah Syaitan itu temannya yang tidak renggang daripadanya.
037_00	Dan sesungguhnya Syaitan-syaitan itu tetap menghalangi mereka dari jalan yang benar, sedang mereka menyangka bahawa mereka orang-orang yang mendapat hidayah petunjuk.
038_00	Sehingga apabila ia (yang terjerumus dalam kesesatan itu) datang kepada Kami (pada hari kiamat), berkatalah ia (kepada Syaitannya): "Alangkah baiknya (kalau di dunia dahulu ada sekatan yang memisahkan) antaraku denganmu sejauh timur dengan barat! Kerana (engkau) adalah sejahat-jahat teman".
039_00	(Lalu dikatakan kepada mereka): "Pada hari ini, setelah nyata bahawa kamu telah menganiaya diri sendiri, (maka apa yang kamu cita-citakan itu) tidak sekali-kali akan memberi faedah kepada kamu, kerana sesungguhnya kamu dan teman-teman kamu itu tetap menderita bersama-sama di dalam azab".
040_00	Maka (mengapa engkau berdukacita wahai Muhammad) adakah engkau berkuasa menjadikan orang-orang yang pekak mendengar, atau menunjuk jalan kepada orang-orang yang buta (mata hatinya), dan juga orang-orang yang berada dalam kesesatan yang nyata?
041_00	Oleh itu (bertenanglah engkau, kerana) kalaulah Kami wafatkan engkau (sebelum Kami perlihatkan kepadamu azab yang akan menimpa mereka), maka sesungguhnya Kami tetap menyeksakan mereka.
042_00	Atau sekiranya Kami (hendak) memperlihatkan kepadamu apa yang Kami janjikan kepada mereka (dari azab seksa itu), maka Kami tetap berkuasa terhadap mereka.
043_00	Dengan yang demikian, berpegang teguhlah engkau kepada Al-Quran yang telah diwahyukan kepadamu; kerana sesungguhnya engkau berada di atas jalan yang lurus.
044_00	Dan sesungguhnya Al-Quran itu memberikan kemuliaan dan peringatan kepadamu (wahai Muhammad) dan kepada kaummu; dan kamu akan ditanya kelak (tentang isi kandungannya yang kamu telah amalkan).
045_00	Dan bertanyalah kepada umat mana-mana Rasul yang Kami telah utuskan sebelummu; pernahkah Kami memberi hukum menetapkan sebarang tuhan untuk disembah, selain dari Allah Yang Maha Pemurah.
046_00	Dan demi sesungguhnya! Kami telah mengutus Nabi Musa dengan membawa mukjizat-mukjizat Kami, kepada Firaun dan kaumnya, lalu ia berkata: "Sesungguhnya aku ini ialah Rasul dari Tuhan sekalian alam".
047_00	Maka apabila ia datang kepada mereka dengan membawa tanda-tanda kekuasaan Kami, mereka dengan serta-merta mencemuh dan menggelakkan (apa yang dibawanya) itu.
048_00	Dan tidaklah Kami memperlihatkan kepada mereka sesuatu tanda kebenaran Nabi Musa melainkan tanda itu adalah lebih terang dari yang terdahulu daripadanya; Dan Kami timpakan mereka dengan berbagai azab (bala bencana), supaya mereka kembali (bertaubat).
049_00	Dan (apabila bala bencana itu menimpa mereka), mereka merayu kepada Nabi Musa dengan berkata: "Wahai orang yang bijak pandai, pohonkanlah kepada Tuhanmu keselamatan untuk kami dengan (kemuliaan) pangkat Nabi yang diberikan kepadamu; sesungguhnya kami (sesudah itu) akan patuh beriman".
050_00	Setelah Kami hapuskan azab itu daripada mereka, mereka terus mencabuli janjinya.
051_00	Dan Firaun pula menyeru (dengan mengisytiharkan) kepada kaumnya, katanya: "Wahai kaumku! Bukankah kerajaan negeri Mesir ini - akulah yang menguasainya, dan sungai-sungai ini mengalir di bawah (istana) ku? Tidakkah kamu melihatnya?
052_00	"Bahkan bukankah aku lebih baik daripada orang yang hina keadaannya ini, dan yang hampir-hampir tidak dapat menjelaskan perkataannya?
053_00	"(Kalau betul ia seorang Rasul) maka sepatutnya ia dipakaikan (oleh Tuhannya) gelang-gelang emas (yang menandakan ia seorang pemimpin), atau datang malaikat bersama-sama dengannya (sebagai saksi tentang kebenarannya)?"
054_00	(Dengan yang demikian), maka Firaun memperbodohkan kaumnya, lalu mereka mematuhinya; sesungguhnya mereka itu adalah kaum yang fasik - derhaka.
055_00	Setelah mereka menyebabkan kemurkaan Kami (dengan perbuatan derhaka itu), Kami menyeksa mereka, iaitu menenggelamkan mereka semuanya di laut (sehingga binasa).
056_00	Maka kami jadikan mereka contoh dan pengajaran bagi orang-orang yang datang kemudian.
057_00	Dan ketika (nabi Isa) anak Maryam dikemukakan sebagai satu misal perbandingan, (untuk membantahmu wahai Muhammad), tiba-tiba kaummu bersorak-sorak kesukaan terhadapnya (kerana menyangka bahawa mereka telah menang).
058_00	Dan mereka berkata lagi: "Manakah yang lebih baik, benda-benda yang kami sembah atau Isa?" Dan (sebenarnya) mereka tidak mengemukakan perbandingan itu kepadamu (wahai Muhammad) melainkan kerana membantah semata-mata (bukan kerana mencari kebenaran); bahkan mereka itu adalah kaum yang suka sekali mengemukakan bantahan.
059_00	Nabi Isa itu tidak lain hanyalah seorang hamba yang telah Kami kurniakan nikmat kepadanya (dengan pangkat Nabi), dan Kami jadikan dia satu contoh (kekuasaan kami yang menakjubkan) bagi kaum Bani Israil.
060_00	Dan kalaulah kami kehendaki, kami berkuasa melahirkan daripada kamu (wahai kaum lelaki): malaikat mengganti kamu (menjalankan urusan) di muka bumi.
061_00	Dan sesungguhnya Nabi Isa menjadi tanda kedatangan hari kiamat, maka janganlah kamu ragu-ragu tentang (hari kiamat) itu, dan turutlah (petunjukKu); inilah jalan yang lurus.
062_00	Dan janganlah Syaitan menghalang kamu (daripada menurut jalan yang benar); sesungguhnya Syaitan itu musuh yang nyata bagi kamu.
063_00	Dan ketika Nabi Isa datang (kepada kaumnya) dengan membawa keterangan-keterangan yang nyata, berkatalah ia: "Sesungguhnya aku datang kepada kamu dengan membawa hikmat (ajaran Tuhan), dan untuk menerangkan kepada kamu: sebahagian dari (perkara-perkara ugama) yang kamu berselisihan padanya. Oleh itu, bertaqwalah kamu kepada Allah dan taatlah kepadaku.
064_00	"Sesungguhnya Allah ialah Tuhanku dan Tuhan kamu, maka sembahlah kamu akan Dia; inilah jalan yang lurus".
065_00	Kemudian, golongan-golongan (dari kaumnya) itu berselisihan sesama sendiri. Maka kecelakaan dan kebinasaanlah bagi orang-orang yang zalim itu, dari (paluan) azab seksa yang tidak terperi sakitnya, pada hari pembalasan.
066_00	(Mereka yang menentang Nabi Muhammad) tidak ada lagi yang mereka tunggu melainkan saat kiamat yang akan datang kepada mereka secara mengejut, dan dalam keadaan mereka lalai leka dengan perkara-perkara keduniaan.
067_00	Pada hari itu sahabat-sahabat karib: setengahnya akan menjadi musuh kepada setengahnya yang lain, kecuali orang-orang yang persahabatannya berdasarkan taqwa (iman dan amal soleh).
068_00	(Mereka - yang bertaqwa - itu, diberi penghormatan serta diseru oleh Allah Taala dengan firmanNya): "Wahai hamba-hambaku! Pada hari ini kamu tidak akan merasai sebarang kebimbangan (dari sesuatu yang tidak baik); dan kamu pula tidak akan berdukacita".
069_00	(Mereka itu ialah) orang-orang yang beriman akan ayat-ayat keterangan Kami, serta mereka menjadi orang-orang Islam yang taat patuh,
070_00	(Mereka diberi sebaik-baik balasan dengan dikatakan kepada mereka): "Masuklah kamu ke dalam Syurga bersama-sama isteri-isteri kamu (yang beriman), dengan menikmati sepenuh-penuh kegembiraan dan kesenangan".
071_00	Diedarkan kepada mereka pinggan-pinggan besar dan piala-piala dari emas; dan di dalam Syurga itu pula disediakan segala yang diingini oleh nafsu serta di pandang indah oleh mata; dan (dikatakan kepada mereka): "Kamu adalah tetap kekal di dalamnya".
072_00	Dan (dikatakan lagi kepada mereka): "Inilah Syurga yang diberikan kamu mewarisinya, disebabkan apa yang kamu telah kerjakan".
073_00	"Kamu beroleh di dalamnya berbagai jenis buah-buahan, untuk kamu makan daripadanya".
074_00	"Sesungguhnya orang-orang yang berdosa (dengan kekufurannya), kekal selama-lamanya di dalam azab seksa neraka Jahannam.
075_00	Tidak diringankan azab itu daripada mereka, dan mereka tinggal menderitainya dengan berputus asa (daripada mendapat sebarang pertolongan),
076_00	Dan tidaklah kami menganiaya mereka, akan tetapi merekalah yang menganiaya diri sendiri.
077_00	Dan mereka menyeru (ketua malaikat penjaga neraka, dengan berkata): "Wahai Malik! Biarlah hendaknya Tuhanmu mematikan kami (kerana kami tidak tahan menderita)!" Maalik menjawab: "Sesungguhnya kamu tetap kekal di dalam azab!"
078_00	(Bagi menyatakan sebabnya mereka dibiarkan di dalam azab, Allah Taala berfirman): "Demi sesungguhnya! Kami telah menyampaikan kebenaran kepada kamu (melalui Rasul Kami), akan tetapi kebanyakan kamu (telah menentangnya, kerana kamu) tidak suka kepada kebenaran itu".
079_00	Bahkan mereka (yang kafir) itu telah mengambil keputusan menjalankan satu rancangan (hendak membunuh Rasul Kami), maka Kami juga mengambil keputusan (menggagalkan rancangan mereka).
080_00	Patutkah mereka menyangka bahawa Kami tidak mendengar apa yang mereka sembunyikan (di dalam hati) dan apa yang mereka perkatakan (dengan berbisik) sesama sendiri? (Bukan sebagaimana yang mereka sangka) bahkan utusan-utusan Kami (malaikat) yang menjaga mereka, ada menulis segala yang mereka lakukan.
081_00	Katakanlah (Wahai Muhammad, kepada mereka yang musyrik itu): "Kalau betul Allah yang maha pemurah, mempunyai anak (sebagaimana yang kamu dakwakan) maka akulah orang yang awal pertama yang akan menyembah anak itu; (tetapi dakwaan kamu itu tidak berasas)!"
082_00	Maha Suci Allah Tuhan yang menciptakan langit dan bumi, - tuhan yang mempunyai Arasy (yang melambangkan kebesarannya), - (Maha Sucilah Ia) dari apa yang mereka katakan itu.
083_00	Oleh itu, biarkanlah mereka (wahai Muhammad) tenggelam dalam kesesatan mereka dan leka bermain-main (dalam dunia mereka), sehingga mereka menemui hari yang dijanjikan kepada mereka (untuk menerima balasan).
084_00	Dan (ingatlah), Allah jualah Tuhan yang berhak disembah di langit, dan Dia lah Tuhan yang berhak disembah di bumi; dan Dia lah jua Yang Maha Bijaksana, lagi Maha Mengetahui.
085_00	Dan Maha Tinggilah Kebesaran Tuhan yang menguasai langit dan bumi serta segala yang ada di antara keduanya; dan Dia lah jua yang mengetahui tentang (masa datangnya) hari kiamat; dan kepadanyalah kamu semua akan dikembalikan.
086_00	Dan segala yang mereka sembah yang lain dari Allah, tidak mempunyai sebarang kuasa untuk memberikan syafaat pertolongan, kecuali sesiapa yang memberi penerangan mengakui kebenaran dengan mentauhidkan Allah, Tuhan Yang Sebenar-benarnya secara mereka mengetahuiNya dengan yakin (bukan dengan kata-kata orang; maka merekalah yang mungkin diizinkan memberi dan mendapat syafaat itu).
087_00	Dan demi sesungguhnya! Jika engkau (wahai Muhammad) bertanya kepada mereka: "Siapakah yang menciptakan mereka?" Sudah tentu mereka akan menjawab: "Allah!". (Jika demikian) maka bagaimana mereka rela dipesongkan (dari menyembah dan mengesakanNya)?
088_00	Dan (Dia lah Tuhan yang Mengetahui rayuan Nabi Muhammad) yang berkata: Wahai TuhanKu! Sesungguhnya mereka ini adalah satu kaum yang tidak mahu beriman (maka terserahlah kepadaMu untuk mengadilinya)!"
089_00	(Tuhan menjawab rayuannya dengan berfirman): "Jika demikian, maka janganlah engkau (wahai Muhammad) hiraukan mereka, dan katakanlah: ` Selamat tinggalah! ' Kemudian mereka akan mengetahui kelak (akibat keingkarannya)! "
