001_00	Saat yang tetap berlaku itu -
030_00	(Lalu diperintahkan malaikat penjaga neraka): "Tangkaplah orang yang berdosa itu serta belenggulah dia, -
031_00	"Kemudian bakarlah dia di dalam neraka Jahiim; -
032_00	"Selain dari itu, masukkanlah dia dalam (lingkaran) rantai besi yang ukuran panjangnya tujuh puluh hasta, (dengan membelitkannya ke badannya)!
033_00	"Sesungguhnya dia dahulu tidak beriman kepada Allah Yang Maha Besar,
034_00	"Dan dia juga tidak menggalakkan (dirinya dan orang lain) memberi makanan (yang berhak diterima oleh) orang miskin.
035_00	"Maka pada hari ini, tidak ada baginya di sini (seorangpun dari) kaum kerabat serta sahabat handai (yang dapat menolongnya), -
036_00	"Dan tidak ada makanan (baginya) melainkan dari air danur,
037_00	"Yang tidak memakannya melainkan orang-orang yang melakukan perkara yang salah".
038_00	Maka Aku bersumpah: Demi segala (yang nyata) yang kamu melihatnya, -
039_00	Dan segala (yang ghaib) yang kamu tidak melihatnya, -
040_00	Bahawa sesungguhnya Al-Quran itu ialah (wahyu dari Kami) yang disampaikan oleh Rasul yang mulia.
041_00	Dan bukanlah Al-Quran itu perkataan seorang penyair (sebagaimana yang kamu dakwakan. Tetapi sayang!) amatlah sedikit kamu beriman.
042_00	Dan juga bukanlah Al-Quran itu perkataan seorang pawang (sebagaimana yang kamu katakan. Tetapi sayang!) amatlah sedikit kamu mengambil peringatan.
043_00	(Al-Quran itu) diturunkan dari Allah Tuhan sekalian alam.
044_00	Dan kalaulah (Nabi Muhammad yang menyampaikan Al-Quran itu) mengatakan atas nama Kami secara dusta - sebarang kata-kata rekaan, -
045_00	Sudah tentu Kami akan menyentapnya, dengan kekuasaan Kami, -
046_00	Kemudian sudah tentu Kami akan memutuskan tali jantungnya (supaya ia mati dengan serta-merta);
047_00	Maka tidak ada seorangpun di antara kamu yang dapat menghalang (tindakan Kami itu) daripada menimpanya.
048_00	Dan sesungguhnya (Al-Quran) itu tetap menjadi peringatan bagi orang-orang yang bertaqwa.
049_00	Dan sesungguhnya Kami sedia mengetahui bahawa ada di antara kamu yang mendustakan (Al-Quran, maka Kami akan membalasnya).
050_00	Dan sesungguhnya Al-Quran itu sudah tentu akan menyebabkan penyesalan bagi orang-orang yang kafir (semasa mereka menerima balasan).
051_00	Dan sesungguhnya Al-Quran itu adalah kebenaran yang diyakini (dengan seyakin-yakinnya).
052_00	Oleh itu bertasbihlah dengan memuji nama Tuhanmu Yang Maha Besar.
