001_00	Ta-Ha.
040_00	Als deine Schwester hinging und sagte: .Soll ich euch auf jemanden hinweisen, der ihn betreuen würde? So gaben Wir dich deiner Mutter wieder, damit sie frohen Mutes und nicht traurig sei. Und du tötetest eine Seele, und da erretteten Wir dich aus dem Kummer, und Wir unterzogen dich einer harten Prüfung.
040_01	So verweiltest du jahrelang unter den Leuten von Madyan. Hierauf kamst du zu einer vorausbestimmten Zeit, o Musa.
041_00	Und Ich habe dich für Mich auserwählt.
042_00	Geh, du und dein Bruder, mit Meinen Zeichen, und laßt nicht nach in Meinem Gedenken.
043_00	Geht zu Fir'aun, denn er lehnt sich auf.
044_00	Und so redet mit ihm in sanften Worten, auf daß er bedenken oder sich fürchten möge."
045_00	Sie sagten: "Unser Herr, gewiß, wir fürchten, daß er übereilig gegen uns vorgeht oder daß er das Maß überschreitet."
046_00	Er sagte: "Fürchtet euch nicht. Ich bin gewiß mit euch, Ich höre und Ich sehe (, was geschieht).
047_00	So kommt denn zu ihm und sagt: ,Wir beide sind Gesandte deines Herrn. Lasse die Kinder Isra'ils mit uns gehen, und strafe sie nicht. Wir sind ja mit einem Zeichen von deinem Herrn zu dir gekommen.
047_01	Und Friede sei auf demjenigen, der der Rechtleitung folgt.
048_00	Uns ist ja (als Offenbarung) eingegeben worden, daß die Strafe denjenigen überkommt, der (die Botschaft) für Lüge erklärt und sich abkehrt'."
049_00	Er sagte: "Wer ist denn euer beider Herr, o Musa?"
050_00	Er sagte: "Unser Herr ist derjenige, der allem seine Natur gegeben und (es) hierauf rechtgeleitet hat."
051_00	Er sagte: "Wie steht es denn mit den früheren Geschlechtern?"
052_00	Er sagte: "Das Wissen um sie ist bei meinem Herrn in .einem Buch. Mein Herr im nicht, noch vergißt Er."
053_00	(Er ist es,) Der euch die Erde zu einer Lagerstatt gemacht und für euch auf ihr Wege sich hinziehen und vom Himmel Wasser herabkommen läßt, womit Wir dann Arten verschiedener Gewächse hervorbringen.
054_00	Eßt und weidet euer Vieh. Darin sind wahrlich Zeichen für Leute von Verstand.
055_00	Aus ihr haben Wir euch erschaffen, und in sie bringen Wir euch zurück, und aus ihr bringen Wir euch ein anderes Mal hervor.
056_00	Und Wir zeigten ihm ja Unsere Zeichen alle, aber er erklärte (sie) für Lüge und weigerte sich.
057_00	Er sagte: "Bist du zu uns gekommen, um uns aus unserem Land mit deiner Zauberei zu vertreiben, o Musa?
058_00	Aber wir werden dir ganz gewiß Zauberei gleicher Art bringen. So setze zwischen uns und dir eine Verabredung(szeit) fest, die weder wir noch du verfehlen werden, an einem Ort, der (uns allen) gleichermaßen recht ist."
059_00	Er sagte: "Eure Verabredung(szeit) soll der Tag des Schmuckfestes sein, und die Menschen sollen am hellen Morgen versammelt werden."
060_00	Und so kehrte sich Fir'aun ab, und dann nahm er seine ganze List zusammen. Hierauf kam er.
061_00	Musa sagte zu ihnen: "Wehe euch! Ersinnt gegen Allah keine Lüge, sonst vertilgt Er euch durch eine Strafe. Enttäuscht wird ja, wer Lügen ersinnt."
062_00	Da stritten sie untereinander über ihre Angelegenheit und führten insgeheim vertrauliche Gespräche.
063_00	Sie sagten: "Diese beiden sind wahrlich nur Zauberer, die euch aus eurem Land mit ihrem Zauber vertreiben und eure vorbildliche Lebensweise beseitigen wollen.
064_00	So einigt euch auf eure List, hierauf kommt in Reihen. Und wohl ergehen wird es ja heute demjenigen, der die Oberhand gewinnt."
065_00	Sie sagten: "O Musa, entweder wirfst du, oder wir werden es sein, die zuerst werfen."
066_00	Er sagte: "Nein! Vielmehr werft ihr (zuerst)." Und sogleich kamen ihm ihre Stricke und Stöcke durch ihre Zauberei so vor, als ob sie sich rasch bewegten.
067_00	Und er, Musa, empfand Furcht in seiner Seele.
068_00	Wir sagten: "Fürchte dich nicht; du, ja gewiß du, wirst die Oberhand gewinnen.
069_00	Wirf hin, was in deiner Rechten ist, so verschlingt es das, was sie gemacht haben. Was sie gemacht haben, ist nur die List eines Zauberers, und dem Zauberer wird es nicht wohl ergehen, wohin er auch kommen mag ."
070_00	Da warfen sich die Zauberer ehrerbietig nieder. Sie sagten: "Wir glauben an den Herrn Haruns und Musas."
071_00	Er (Fir'aun) sagte: "Ihr glaubt an ihn, bevor ich es euch erlaube? Er ist wahrlich euer Ältester, der euch die Zauberei gelehrt hat.
071_01	So werde ich ganz gewiß eure Hände und eure Füße wechselseitig abhacken und euch ganz gewiß an Palmstämmen kreuzigen (lassen). Und ihr werdet ganz gewiß erfahren, wer von uns strenger im Strafen und beständiger ist."
072_00	Sie sagten: "Wir werden dich nicht dem vorziehen, was an klaren Beweisen zu uns gekommen ist, und (vor) Demjenigen, Der uns erschaffen hat. So entscheide, was du entscheiden magst; du entscheidest nur über dieses irdische Leben.
073_00	Wir glauben an unseren Herrn, damit Er uns unsere Verfehlungen vergebe und (auch) die Zauberei, zu der du uns gezwungen hast. Allah ist besser und be ständiger."
074_00	Gewiß, wer zu seinem Herrn als Übeltäter kommt, für den gibt es die Hölle; darin wird er weder sterben noch leben.
075_00	Wer zu Ihm als Gläubiger kommt, der rechtschaffene Werke getan hat, für jene gibt es die höchsten Rangstufen,
076_00	die Gärten Edens, durcheilt von Bächen; ewig darin zu bleiben. Das ist der Lohn desjenigen, der sich läutert.
077_00	Und Wir gaben Musa ja (als Offenbarung) ein: "Zieh bei Nacht mit Meinen Dienern fort und schlage ihnen einen trockenen Weg durch das Meer; du befürch test weder, eingeholt zu werden, noch hast du Angst'."
078_00	Da verfolgte sie Fir'aun mit seinen Heerscharen, und es überdeckte sie vom Meer, was sie überdeckte.
079_00	Fir'aun hatte sein Volk in die Irre geführt und nicht rechtgeleitet.
080_00	O Kinder Isra'ils, Wir retteten euch ja vor eurem Feind, verabredeten Uns mit euch auf der rechten Seite des Berges und sandten das Manna und die Wachteln auf euch hinab:
081_00	"Eßt von den guten Dingen, mit denen Wir euch versorgt haben, und lehnt euch dabei nicht (durch Undankbarkeit) auf, sonst bricht Mein Zorn über euch herein; denn derjenige, über den Mein Zorn hereinbricht, wird sicherlich stürzen.
082_00	Und Ich bin wahrlich Allvergebend für denjenigen, der bereut und glaubt und rechtschaffen handelt und sich hierauf rechtleiten läßt."
083_00	"Und was hat dich veranlaßt, von deinem Volk fortzueilen, o Musa?"
084_00	Er sagte: "Sie folgen mir doch auf der Spur. Und ich bin zu Dir geeilt, mein Herr, damit Du (mit mir) zufrieden seiest."
085_00	Er sagte: "Wir haben dein Volk der Versuchung ausgesetzt, nachdem du (weggegangen) warst, und der Samiri hat sie in die Irre geführt."
086_00	Da kam Musa zu seinem Volk zornig und bekümmert zurück. Er sagte: "O mein Volk, hat euch euer Herr nicht ein schönes Versprechen gegeben? Dauerte es euch mit dem Bund zu lange,
086_01	oder wolltet ihr, daß Zorn von eurem Herrn über euch hereinbricht, so daß ihr die Vereinbarung mit mir gebrochen habt?"
087_00	Sie sagten: "Wir haben die Vereinbarung mit dir nicht aus unserem (eigenen) Willen gebrochen, sondern wir trugen (ganze) Lasten von den Schmucksachen des Volkes, und dann haben wir sie geworfen, und ebenso hat der Samiri (welche) hineingelegt.
088_00	So brachte er ihnen ein Kalb hervor als Leib, das blökte. Sie sagten: ,Das ist euer Gott und der Gott Musas, aber er hat (es) vergessen'."
089_00	Sehen sie denn nicht, daß er ihnen kein Wort erwidert und ihnen weder Schaden noch Nutzen zu bringen vermag?
090_00	Harun hatte ihnen ja bereits zuvor gesagt: "O mein Volk, ihr seid damit nur der Versuchung ausgesetzt worden. Gewiß, euer Herr ist der Allerbarmer; so folgt mir und gehorcht meinem Befehl."
091_00	Sie sagten: "Wir werden nicht davon ablassen, uns seiner Andacht hinzugeben, bis Musa zu uns zurückkehrt."
092_00	Er (Musa) sagte: "O Harun, was hat dich, als du sie irregehen sahst, davon abgehalten,
093_00	mir zu folgen? Hast du dich denn meinem Befehl widersetzt? "
094_00	Er sagte: "O Sohn meiner Mutter, pack mich nicht am Bart und nicht am Kopf. Ich fürchtete, du würdest sagen: ,Du hast unter den Kindern Isra'ils Zwietracht gestiftet und mein Wort nicht beachtet'."
095_00	Er sagte: "Doch was ist mit dir, o Samiri?"
096_00	Er sagte: "Ich gewahrte, was sie nicht gewahrten, und so faßte ich eine Handvoll (Erde) von der Spur des Gesandten und warf sie dann hin (ins Feuer). So habe ich es mir selbst eingeredet."
097_00	Er sagte: "Geh weg! Es ist dir im Leben beschieden, zu sagen: .Berührt mich nicht! Und du hast eine Verabredung, die dir nicht gebrochen wird.
097_01	Und schau auf deinen Gott, dessen Andacht du dich dauernd hingegeben hast. Wir werden ihn ganz gewiß verbrennen, und hierauf werden wir ihn ganz gewiß in das große Gewässer streuen.
098_00	Euer Gott ist allein Allah, außer Dem es keinen Gott gibt. Er umfaßt alles mit (Seinem) Wissen."
099_00	Auf diese Weise erzählen Wir dir (einiges) von den Berichten dessen, was früher geschah. Und Wir haben dir ja von Uns aus eine Ermahnung gegeben.
100_00	Wer sich davon abwendet, der wird am Tag der Auferstehung eine (drückende) Last tragen,
101_00	ewig darin zu bleiben. Wie böse wird (dies) für sie am Tag der Auferstehung als Last sein!
102_00	Am Tag, da ins Horn geblasen wird und Wir die Übeltäter als Leute mit blauen Augen versammeln.
103_00	Sie flüstern einander zu: "Ihr habt nur zehn (Nächte) verweilt."
104_00	Wir wissen sehr wohl, was sie sagen, wenn der Vorbildlichste von ihnen in seinem Verhalten sagen wird: "Ihr habt nur einen Tag verweilt."
105_00	Sie fragen dich nach den Bergen. Sag: Mein Herr wird sie wie Staub zerstreuen
106_00	und sie dann als leere Ebene zurücklassen,
107_00	worauf du weder eine Vertiefung noch Erhebung siehst.
108_00	An jenem Tag folgen sie dem Rufer, bei dem es nichts Krummes gibt; die Stimmen senken sich in Demut vor dem Allerbarmer, so daß du nichts hörst außer Flüstern.
109_00	An jenem Tag nützt die Fürsprache nicht, außer durch denjenigen, dem es der Allerbarmer erlaubt und mit dessen Worten Er zufrieden ist.
110_00	Er weiß, was vor ihnen und was hinter ihnen liegt, sie aber umfassen es nicht mit (ihrem) Wissen.
111_00	Demütig werden sich die Gesichter vor dem Lebendigen und Beständigen senken. Und wirklich enttäuscht wird, wer (als Last begangenes) Unrecht trägt.
112_00	Wer aber etwas an rechtschaffenen Werken tut und dabei gläubig ist, der wird kein Unrecht und keine (Lohn)minderung befürchten.
113_00	Und so haben Wir ihn als einen arabischen Qur'an hinabgesandt. Und Wir haben darin verschiedene Androhungen dargelegt, auf daß sie gottesfürchtig werden mögen oder er bei ihnen Gedenken (Allahs) hervorrufe.
114_00	Erhaben ist Allah, der König, der Wahre! Und übereile dich nicht mit dem Qur'an, bevor dir seine Offenbarung vollständig eingegeben worden ist. Und sag: Mein Herr, lasse mich an Wissen zunehmen.
115_00	Und Wir hatten bereits zuvor Adam eine Verpflichtung auferlegt. Aber er vergaß (sie), und Wir fanden bei ihm keine Entschlossenheit.
116_00	Und als Wir zu den Engeln sagten: "Werft euch vor Adam nieder." Da warfen sie sich nieder, außer Iblis. Er weigerte sich.
117_00	Da sagten Wir: "O Adam, dieser (da) ist dir und deiner Gattin gewiß ein Feind. Daß er euch beide ja nicht aus dem (Paradies)garten vertreibt! Sonst wirst du unglücklich sein.
118_00	Gewiß, es ist dir gewährt, daß du darin weder hungerst noch nackt bist,
119_00	und daß du darin weder dürstest noch Sonnenhitze erleidest."
120_00	Aber da flüsterte ihm der Satan ein und sagte: "O Adam, soll ich dich auf den Baum der Ewigkeit hinweisen und auf eine Herrschaft, die nicht vergeht?"
121_00	So aßen sie beide davon, und da zeigte sich ihnen ihre Blöße offenkundig, und sie begannen, Blätter des (Paradies)gartens auf sich zusammenzuheften. So widersetzte Adam sich seinem Herrn, und da fiel er in Verirrung.
122_00	Hierauf erwählte ihn sein Herr, und so wandte Er Sich ihm Reue-Annehmend zu und leitete (ihn) recht.
123_00	Er sagte: "Geht alle fort von ihm. Einige von euch seien des anderen Feind. Doch wenn dann von Mir Rechtleitung zu euch kommt, dann wird derjenige, der Meiner Rechtleitung folgt, nicht irregehen und nicht unglücklich sein.
124_00	Wer sich aber von Meiner Ermahnung abwendet, der wird ein beengtes Leben fuhren, und Wir werden ihn am Tag der Auferstehung blind (zu den anderen) versammeln.
125_00	Er wird sagen: "Mein Herr, warum hast Du mich blind (zu den anderen) versammelt, wo ich doch sehen konnte?"
126_00	Er sagt: "So sind auch zu dir Unsere Zeichen gekommen, und doch hast du sie vergessen. Ebenso wirst du heute vergessen."
127_00	So vergelten Wir demjenigen, der maßlos ist und nicht an die Zeichen seines Herrn glaubt. Die Strafe des Jenseits ist wahrlich strenger und nachhaltiger.
128_00	Ist ihnen denn nicht deutlich geworden, wie viele Geschlechter Wir vor ihnen vernichtet haben, in deren Wohnorten sie (nun) umhergehen? Darin sind wahrlich Zeichen für Leute von Verstand.
129_00	Wenn es nicht ein schon früher ergangenes Wort von deinem Herrn und eine festgesetzte Frist gäbe, wäre (die sofortige Strafe) fürwahr unabwendbar.
130_00	So ertrage standhaft, was sie sagen, und lobpreise deinen Herrn vor dem Aufgang der Sonne und vor ihrem Untergang, und
130_01	zu (verschiedenen) Stunden der Nacht preise (Ihn) und (ebenso) an den Enden des Tages, auf daß du zufrieden sein mögest.
131_00	Und richte nur nicht deine Augen auf das, was Wir manchen von ihnen paarweise als Nießbrauch gewähren - den Glanz des diesseitigen Lebens -, um sie darin der Versuchung auszusetzen. Die Versorgung deines Herrn ist besser und beständiger.
132_00	Und befiehl deinen Angehörigen, das Gebet (zu verrichten), und sei beharrlich darin. Wir fordern keine Versorgung von dir; Wir versorgen dich. Und das (gute) Ende gehört der Gottesfurcht.
133_00	Und sie sagen: "Wenn er uns doch ein Zeichen von seinem Herrn bringen würde!" Ist nicht zu ihnen der klare Beweis dessen gekommen, was auf den früheren Blättern steht?
134_00	Hätten Wir sie vor ihm durch eine Strafe vernichtet, hätten sie fürwahr gesagt: "Unser Herr, hättest Du doch einen Gesandten zu uns gesandt, so daß wir Deinen Zeichen hätten folgen können, bevor wir erniedrigt und in Schande gestürzt würden!"
135_00	Sag: Jeder wartet ab; so wartet auch (ihr) ab. Dann werdet ihr (noch) erfahren, wer die Leute des ebenen Weges sind und wer rechtgeleitet ist.
