001_00	Sad. Beim Qur'an, voll der Ermahnung!
032_00	da sagte er: "Ich habe mich der Liebe der (irdischen) Güter hingegeben und es darüber unterlassen, meines Herrn zu gedenken, bis sie sich hinter dem Vorhang verbarg.
033_00	Bringt sie mir wieder her." Da begann er, ihnen die Beine und den Hals zu zerhauen.
034_00	Und Wir setzten ja Sulaiman der Versuchung aus und setzten eine Gestalt auf seinen Thron. Hierauf wandte er sich (Allah) reuig zu.
035_00	Er sagte: "Mein Herr, vergib mir und schenke mir eine Königsherrschaft, die niemandem nach mir geziemt. Gewiß, Du bist ja der unablässig Schenkende."
036_00	Da machten Wir ihm den Wind dienstbar, daß er nach seinem Befehl sanft wehte, wohin er es für treffend hielt;
037_00	und auch die Satane, jeden Bauarbeiter und Taucher,
038_00	und andere, in Ketten zusammengebunden.
039_00	"Das ist Unsere Gabe. So erweise Wohltaten oder sei zurückhaltend, (und dies,) ohne zu rechnen."
040_00	Für ihn wird es fürwahr (den Zutritt in) Unsere Nähe und eine schöne Heimstatt geben.
041_00	Und gedenke Unseres Dieners Ayyub. Als er zu seinem Herrn rief: "Mich hat der Satan mit Mühsal und Pein heimgesucht."
042_00	- "Tritt kräftig mit deinem Fuß auf; da ist kühles Wasser zum Waschen und zum Trinken."
043_00	Und Wir schenkten ihm seine Angehörigen (wieder) und noch einmal die gleiche Zahl dazu, aus Barmherzigkeit von Uns und als Ermahnung für diejenigen, die Ver stand besitzen.
044_00	Und: "Nimm in deine Hand ein Bündel (dünner Zweige) und schlag damit zu und sei nicht eidbrüchig." Gewiß, Wir fanden ihn standhaft. Welch ein trefflicher Diener! Er war immer wieder umkehrbereit.
045_00	Und gedenke Unserer Diener Ibrahim, Ishaq und Ya'qub, die Kraft und Einsicht besaßen.
046_00	Wir erlasen sie durch eine besondere Eigenschaft aus, mit dem Gedenken an die (jenseitige) Wohnstätte.
047_00	Sie gehören bei Uns wahrlich zu den Auserwählten und Besten.
048_00	Und gedenke Isma'ils, Alyasa's und Du '1-Kifls. Alle gehören zu den Besten.
049_00	Dies ist eine Ermahnung. Und für die Gottesfürchtigen wird es wahrlich eine schöne Heimstatt geben,
050_00	die Gärten Edens, deren Tore ihnen geöffnet stehen,
051_00	worin sie sich lehnen und worin sie nach vielen Früchten und nach Getränk rufen.
052_00	Und bei ihnen sind gleichaltrige (weibliche Wesen), die ihre Blicke zurückhalten.
053_00	Das ist, was euch für den Tag der Abrechnung versprochen wird.
054_00	Das ist fürwahr Unsere Versorgung; sie geht nicht zu Ende.
055_00	Das ist (für die Gottesfürchtigen). Für diejenigen jedoch, die das Maß (an Frevel) überschreiten, wird es wahrlich eine schlechte Heimstatt geben,
056_00	die Hölle, der sie ausgesetzt sein werden - eine schlimme Lagerstatt!
057_00	Das ist - sie sollen es kosten - heißes Wasser und stinkender Eiter
058_00	und anderes dergleichen in verschiedenen Arten.
059_00	- "Da ist eine Schar, die sich mit euch hineinstürzt." - "Sie sind nicht willkommen, denn sie werden dem (Höllen)feuer ausgesetzt sein."
060_00	Sie sagen: "Nein! Vielmehr seid ihr es, die ihr nicht willkommen seid. Das habt ihr uns doch bereitet - ein schlimmer Aufenthalt!"
061_00	Sie sagen: "Unser Herr, erhöhe demjenigen, der uns dies bereitet hat, das (Strafmaß) als mehrfache Strafe im (Höllen)feuer."
062_00	Und sie sagen: "Wie kommt das, daß wir (gewisse) Männer nicht sehen, die wir zu den Bösewichten zählten?
063_00	Haben wir sie (etwa zu Unrecht) zum Gegenstand des Spottes genommen? Oder haben die Blicke sie verfehlt?"
064_00	Das ist tatsächlich wahr: (so ist) der Streit der Bewohner des (Höllen)feuers miteinander.
065_00	Sag: Ich bin nur ein Überbringer von Warnungen, und keinen Gott gibt es außer Allah, dem Einen, dem Allbezwinger,
066_00	dem Herrn der Himmel und der Erde und dessen, was dazwischen ist, dem Allmächtigen und Allvergebenden.
067_00	Sag: Es ist eine gewaltige Kunde,
068_00	von der ihr euch abwendet.
069_00	Ich hatte kein Wissen über die höchste führende Schar', als sie miteinander stritten.
070_00	Mir wird ja (als Offenbarung) eingegeben, daß ich nur ein deutlicher Warner bin.
071_00	Als dein Herr zu den Engeln sagte: "Ich werde ein menschliches Wesen aus Lehm erschaffen.
072_00	Wenn Ich es zurechtgeformt und ihm von Meinem Geist eingehaucht habe, dann fallt und werft euch vor ihm nieder."
073_00	Da warfen sich die Engel alle zusammen nieder,
074_00	außer Iblis; er verhielt sich hochmütig und gehörte zu den Ungläubigen.
075_00	Er sagte: "O Iblis, was hat dich davon abgehalten, dich vor dem niederzuwerfen, was Ich mit Meinen Händen erschaffen habe? Verhältst du dich hochmütig, oder gehörst du etwa zu den Überheblichen?"
076_00	Er sagte: "Ich bin besser als er. Mich hast Du aus Feuer erschaffen, wohingegen Du ihn aus Lehm erschaffen hast."
077_00	Er sagte: "Dann geh aus ihm hinaus, denn du bist der Steinigung würdig,
078_00	und gewiß, auf dir liegt Mein Fluch bis zum Tag des Gerichts."
079_00	Er sagte: "Mein Herr, gewähre mir Aufschub bis zu dem Tag, da sie auferweckt werden."
080_00	Er sagte: "Gewiß, du gehörst zu denjenigen, denen Aufschub gewährt wird,
081_00	bis zum Tag der (wohl)bekannten Zeit."
082_00	Er sagte: "Nun, bei Deiner Macht, ich werde sie allesamt ganz gewiß in Verirrung fallen lassen,
083_00	außer Deinen Dienern, den auserlesenen unter ihnen."
084_00	Er sagte: "Es ist die Wahrheit - und Ich sage ja die Wahrheit;
085_00	Ich werde die Hölle ganz gewiß mit dir und mit all denjenigen von ihnen füllen, die dir folgen."
086_00	Sag: Ich verlange von euch keinen Lohn dafür. Und ich gehöre nicht zu denjenigen, die Unzumutbares auferlegen.
087_00	Es ist nur eine Ermahnung für die Weltenbewohner.
088_00	Und ihr werdet die Kunde darüber ganz bestimmt nach einer gewissen Zeit erfahren.
