001_00	Kaf-Ha-Ya-'Ayn-Sad.
069_00	Hierauf werden Wir aus jedem Lager ganz gewiß denjenigen herausnehmen, der sich dem Allerbarmer am heftigsten widersetzt hat.
070_00	Dann wissen Wir wahrlich am besten über diejenigen Bescheid, die es am ehesten verdienen, ihr ausgesetzt zu sein.
071_00	Und es gibt keinen unter euch, der nicht daran vorbeigehen würde. Dies obliegt deinem Herrn unabänderlich beschlossen.
072_00	Hierauf erretten Wir diejenigen, die gottesfürchtig waren, und lassen die Ungerechten in ihr auf den Knien zurück.
073_00	Und wenn ihnen Unsere Zeichen als klare Beweise verlesen werden, sagen diejenigen, die ungläubig sind, zu denjenigen, die glauben: "Welcher der beiden Gruppen hat nun eine bessere Stellung und eine schönere Gesellschaft?"
074_00	Aber wie viele Geschlechter vernichteten Wir vor ihnen, die besser an Ausstattung und Aussehen waren!
075_00	Sag: Wer sich im Irrtum befindet, den möge der Allerbarmer lange darin gewähren lassen.
075_01	Wenn sie dann sehen, was ihnen angedroht ist, entweder die Strafe oder die Stunde, da werden sie wissen, wer sich in einer (noch) schlechteren Lage befindet und die schwächere Heerschar hat.
076_00	Und Allah mehrt denjenigen, die rechtgeleitet sind, ihre Rechtleitung. Das Bleibende aber, die rechtschaffenen Werke - sie sind bei deinem Herrn besser in der Belohnung und besser als Rückkehr.
077_00	Was meinst du wohl zu demjenigen, der Unsere Zeichen verleugnet und sagt: "Mir werden ganz gewiß Besitz und Kinder gegeben"?
078_00	Hat er etwa Einblick in das Verborgene gewonnen, oder hat er vom Allerbarmer eine Verpflichtung entgegengenommen?
079_00	Keineswegs! Wir werden aufschreiben, was er sagt, und ihm die Strafe noch verlängern.
080_00	Und Wir erben von ihm das, was er sagt, während er einzeln zu Uns kommt.
081_00	Und sie haben sich anstatt Allahs Götter genommen, damit sie ihnen zu Macht gereichen.
082_00	Keineswegs! Sie werden den von ihnen (empfangenen) Dienst verleugnen und werden ihnen Gegner sein.
083_00	Siehst du nicht, daß Wir die Satane gegen die Ungläubigen gesandt haben, damit sie sie heftig aufreizen?
084_00	So wünsche nichts gegen sie zu beschleunigen; Wir zählen ihnen schon (die Tage) ab.
085_00	An einem Tag, da Wir die Gottesfürchtigen als eine (geehrte) Abordnung zum Allerbarmer versammeln
086_00	und die Übeltäter, wie eine durstige Herde zur Tränke zur Hölle treiben,
087_00	verfugen sie nicht über die Fürsprache, außer demjenigen, der vom Allerbarmer eine (diesbezügliche) Verpflichtung entgegengenommen hat.
088_00	Und sie sagen: "Der Allerbarmer hat Sich Kinder genommen."
089_00	Ihr habt ja eine abscheuliche Sache begangen.
090_00	Beinahe brechen davon die Himmel auseinander, und (beinahe) spaltet sich die Erde, und (beinahe) stürzen die Berge in Trümmern zusammen,
091_00	daß sie dem Allerbarmer Kinder zuschreiben.
092_00	Es ziemt dem Allerbarmer nicht, Sich Kinder zu nehmen.
093_00	Niemand in den Himmeln und auf der Erde wird zum Allerbarmer anders denn als Diener kommen (können).
094_00	Er hat sie erfaßt und sie genau gezählt.
095_00	Und sie alle werden zu Ihm am Tag der Auferstehung einzeln kommen.
096_00	Gewiß, denjenigen, die glauben und rechtschaffene Werke tun, wird der Allerbarmer Liebe bereiten.
097_00	Wir haben ihn eigens leicht gemacht in deiner Sprache, damit du durch ihn den Gottesfürchtigen frohe Botschaft verkündest und durch ihn hartnäckige Leute warnst.
098_00	Und wie viele Geschlechter haben Wir vor ihnen vernichtet! Nimmst du noch irgend jemanden von ihnen wahr, oder hörst du von ihnen noch den geringsten Laut?
