001_00	Alif-Lam-Mim
027_00	Du läßt die Nacht in den Tag eindringen und läßt den Tag eindringen in die Nacht. Und Du läßt das Lebendige aus dem Toten hervorgehen und läßt hervorgehen das Tote aus dem Lebendigen.
027_01	Und Du versorgst, wen Du willst, ohne zu berechnen.
028_00	Die Gläubigen sollen nicht die Ungläubigen anstatt der Gläubigen zu Schutzherren nehmen. Wer das tut, hat überhaupt nichts mit Allah (gemeinsam) -, es sei denn, daß ihr euch (durch dieses Verhalten) vor ihnen wirklich schützt.
028_01	Allah mahnt euch zur Vorsicht vor Sich selbst. Und zu Allah ist der Ausgang.
029_00	Sag: Ob ihr verbergt, was in euren Brüsten ist oder es offenlegt, Allah weiß es; Er weiß, was in den Himmeln und was auf der Erde ist. Und Allah hat zu allem die Macht.
030_00	An dem Tag wird jede Seele das, was sie an Gutem getan hat, bereit finden. Und von dem, was sie an Bösem getan hat, hätte sie gern, wenn zwischen ihr und ihm ein weiter Abstand wäre.
030_01	Und Allah mahnt euch zur Vorsicht vor Sich selbst. Allah ist Gnädig zu den Menschen.
031_00	Sag: Wenn ihr Allah liebt, dann folgt mir. So liebt euch Allah und vergibt euch eure Sünden. Allah ist Allvergebend und Barmherzig.
032_00	Sag: Gehorcht Allah und dem Gesandten. Doch wenn sie sich abkehren, so liebt Allah die Ungläubigen nicht.
033_00	Gewiß, Allah hat Adam und Nuh und die Sippe Ibrahims und die Sippe 'Imrans vor den (anderen) Weltenbewohnern auserwählt,
034_00	eine der anderen Nachkommenschaft. Und Allah ist Allhörend und Allwissend.
035_00	Als 'Imrans Frau sagte: "Mein Herr, ich gelobe Dir, was in meinem Mutterleib ist, für Deinen Dienst freigestellt. So nimm (es) von mir an! Du bist ja der Allhörende und Allwissende."
036_00	Als sie sie dann zur Welt gebracht hatte, sagte sie: "Mein Herr, ich habe ein Mädchen zur Welt gebracht." Und Allah wußte sehr wohl, was sie zur Welt gebracht hatte, und der Knabe ist nicht wie das Mädchen.
036_01	"Ich habe sie Maryam genannt, und ich stelle sie und ihre Nachkommenschaft unter Deinen Schutz vor dem gesteinigten Satan."
037_00	Da nahm ihr Herr sie auf gütigste Art an und ließ sie auf schöne Weise heranwachsen und gab sie Zakariyya zur Betreuung.
037_01	Jedesmal, wenn Zakariyya zu ihr in die Zelle trat, fand er bei ihr Versorgung. Er sagte: "O Maryam, woher hast du das?" Sie sagte: "Es kommt von Allah; Allah versorgt, wen Er will, ohne zu berechnen."
038_00	Da rief Zakariyya seinen Herrn an und sagte: "Mein Herr, schenke mir von Dir aus gute Nachkommenschaft! Du bist ja der Gebetserhörer.
039_00	Und da riefen ihm die Engel zu, während er betend in der Zelle stand: "Allah verkündet dir Yahya,
039_01	ein Wort von Allah zu bestätigen, einen Herrn, einen Keuschen und Propheten von den Rechtschaffenen."
040_00	Er sagte: "Mein Herr, wie soll ich einen Jungen bekommen, wo mich schon hohes Alter überkommen hat und meine Frau unfruchtbar ist?" Er (, der Engel,) sagte: "So (wird es sein); Allah tut, was Er will."
041_00	Er (Zakariyya) sagte: "Mein Herr, setze mir ein Zeichen." Er sagte: "Dein Zeichen ist, daß du drei Tage lang nicht zu den Menschen sprechen wirst außer durch Gebärden. Und gedenke deines Herrn häufig und preise (Ihn) am Abend und am frühen Morgen!"
042_00	Und als die Engel sagten: "O Maryam, Allah hat dich auserwählt und dich rein gemacht und dich auserwählt vor den Frauen der (anderen) Weltenbewohner!
043_00	O Maryam, sei deinem Herrn demütig ergeben, wirf dich nieder und verbeuge dich zusammen mit den sich Verbeugenden."
044_00	Dies gehört zu den Nachrichten vom Verborgenen, das Wir dir (als Offenbarung) eingeben. Denn du warst nicht bei ihnen, als sie ihre Rohre warfen (, um durch das Los zu bestimmen), wer von ihnen Maryam betreuen sollte. Und du warst nicht bei ihnen, als sie miteinander stritten.
045_00	Als die Engel sagten: "O Maryam, Allah verkündet dir ein Wort von Ihm, dessen Name al-Masih 'Isa, der Sohn Maryams ist, angesehen im Diesseits und Jenseits,
045_01	und einer der (Allah) Nahegestellten."
046_00	Und er wird in der Wiege zu den Menschen sprechen und im Mannesalter und einer der Rechtschaffenen sein."
047_00	Sie sagte: "Mein Herr, wie sollte ich ein Kind haben, wo mich (doch) kein menschliches Wesen berührt hat?" Er (, der Engel,) sagte: "So (wird es sein); Allah erschafft, was Er will. Wenn Er eine Angelegenheit bestimmt, so sagt Er zu ihr nur: ,Sei! und so ist sie.
048_00	Und Er wird ihn die Schrift, die Weisheit, die Tora und das Evangelium lehren.
049_00	Und (Er wird ihn schicken) als einen Gesandten zu den Kindern Isra'ils (, zu denen er sagen wird): ,Gewiß, ich bin ja mit einem Zeichen von eurem Herrn zu euch gekommen: daß ich euch aus Lehm (etwas) schaffe, (was so aussieht) wie die Gestalt eines Vogels, und dann werde ich ihm einhauchen, und da wird es ein (wirklicher) Vogel sein.
049_01	Und ich werde mit Allahs Erlaubnis den Blindgeborenen und den Weißgefleckten heilen und werde Tote mit Allahs Erlaubnis wieder lebendig machen.
049_02	Und ich werde euch kundtun, was ihr eßt und was ihr in euren Häusern aufspeichert.
049_03	Darin ist wahrlich ein Zeichen für euch, wenn ihr gläubig seid.
050_00	Und das zu bestätigen, was von der Tora vor mir (offenbart) war, und um euch einiges von dem zu erlauben, was euch verboten war.
050_01	Und ich bin mit einem Zeichen von eurem Herrn zu euch gekommen; so fürchtet Allah und gehorcht mir!
051_00	Gewiß, Allah ist mein Herr und euer Herr; so dient Ihm. Das ist ein gerader Weg."
052_00	Als 'Isa aber ihren Unglauben wahrnahm, sagte er: "Wer sind meine Helfer (auf dem Weg hin) zu Allah?" Die Jünger sagten: "Wir sind Allahs Helfer.
052_01	Wir glauben an Allah, und bezeuge, daß wir (Ihm) ergeben sind!
053_00	Unser Herr, wir glauben an das, was Du (als Offenbarung) herabgesandt hast, und folgen dem Gesandten. So schreibe uns auf unter die Zeugnis Ablegenden!"
054_00	Und sie schmiedeten Ränke, und (auch) Allah schmiedete Ränke; und Allah ist der beste Ränkeschmied.
055_00	Als Allah sagte: "O 'Isa, Ich werde dich (nunmehr) abberufen und dich zu mir emporheben und dich von denen, die ungläubig sind, reinigen und diejenigen, die dir folgen, bis zum Tag der Auferstehung über diejenigen stellen, die ungläubig sind.
055_01	Hierauf wird eure Rückkehr zu Mir sein, und dann werde Ich zwischen euch richten über das, worüber ihr uneinig zu sein pflegtet.
056_00	Was nun diejenigen angeht, die ungläubig sind, so werde Ich sie im Diesseits und im Jenseits mit strenger Strafe strafen; und sie werden keine Helfer haben.
057_00	Was aber jene angeht, die glauben und rechtschaffene Werke tun, so wird Er ihnen ihren Lohn in vollem Maß zukommen lassen. Und Allah liebt nicht die Ungerechten."
058_00	Dies verlesen Wir dir von den Zeichen und den weisen Sprüchen.
059_00	Gewiß, das Gleichnis 'Isas ist bei Allah wie das Gleichnis Adams. Er erschuf ihn aus Erde. Hierauf sagte Er zu ihm: "Sei!" und da war er.
060_00	(Das ist) die Wahrheit von deinem Herrn; gehöre daher nicht zu den Zweiflern!
061_00	Wer nun mit dir darüber streitet, nach dem, was dir an Wissen zugekommen ist, so sag (zu denen): "Kommt her! Laßt uns unsere Söhne und eure Söhne, unsere Frauen und eure Frauen, uns selbst und euch selbst zusammenrufen
061_01	und hierauf flehen und so den Fluch Allahs über die Lügner kommen lassen!"
062_00	Gewiß, dies sind die wahren Geschichten. Und keinen Gott gibt es außer Allah. Allah - Er ist wahrlich der Allmächtige und Allweise.
063_00	Doch wenn sie sich abkehren, so weiß Allah sehr wohl über die Unheilstifter Bescheid.
064_00	Sag: O Leute der Schrift, kommt her zu einem zwischen uns und euch gleichen Wort: daß wir niemandem dienen außer Allah und Ihm nichts beigesellen
064_01	und sich nicht die einen von uns die anderen zu Herren außer Allah nehmen. Doch wenn sie sich abkehren, dann sagt: Bezeugt, daß wir (Allah) ergeben sind.
065_00	O Leute der Schrift, warum streitet ihr über Ibrahim, wo die Tora und das Evangelium erst nach ihm (als Offenbarung) herabgesandt worden sind? Begreift ihr denn nicht?
066_00	Ihr da seid es doch, die ihr über etwas gestritten habt, wovon ihr Wissen habt; warum streitet ihr nun aber über etwas, wovon ihr kein Wissen habt? Allah weiß, ihr aber wißt nicht.
067_00	Ibrahim war weder ein Jude noch ein Christ, sondern er war Anhänger des rechten Glaubens, einer, der sich Allah ergeben hat, und er gehörte nicht zu den Götzendienern.
068_00	Die Menschen, die Ibrahim am nächsten stehen, sind wahrlich diejenigen, die ihm folgten, sowie dieser Prophet und die, die (mit ihm) glauben. Und Allah ist der Schutzherr der Gläubigen.
069_00	Gern möchte euch ein Teil von den Leuten der Schrift in die Irre führen. Aber sie führen nur sich selbst in die Irre, ohne (es) zu merken.
070_00	O Leute der Schrift! Warum verleugnet ihr Allahs Zeichen, wo ihr doch (selbst) Zeugen seid?
071_00	O Leute der Schrift, warum verdeckt ihr das Wahre durch das Falsche und verbergt wissentlich die Wahrheit?
072_00	Und ein Teil von den Leuten der Schrift sagt: "Glaubt an das, was auf diejenigen, die glauben, (als Offenbarung) herabgesandt worden ist, am Anfang des Tages und verleugnet es (wieder) an seinem Ende, auf daß sie umkehren mögen!
073_00	Und glaubt nur jemandem, der eurer Religion folgt. Sag: Gewiß, die (wahre) Rechtleitung ist Allahs Rechtleitung. (Und glaubt nicht,) daß (auch) jemandem (anderen) das gleiche gegeben werde, was euch gegeben wurde, oder daß man mit euch (zu Recht) vor eurem Herrn streite.
073_01	Sag: Gewiß, die Huld liegt in Allahs Hand. Er gewährt sie, wem Er will. Und Allah ist Allumfassend und Allwissend.
074_00	Er zeichnet mit Seinem Erbarmen aus, wen Er will, und Allah besitzt große Huld.
075_00	Unter den Leuten der Schrift gibt es manche, die, wenn du ihnen einen Qintar anvertraust, ihn dir (wieder) aushändigen.
075_01	Es gibt unter ihnen aber auch manche, die, wenn du ihnen (nur) einen Dinar anvertraust, ihn dir nicht (wieder) aushändigen, es sei denn, du bist ständig hinter ihnen her.
075_02	Dies, weil sie sagen: "Gegen uns kann man der Schriftunkundigen wegen nicht vorgehen". Und sie sprechen (damit) wissentlich eine Lüge gegen Allah aus.
076_00	Aber nein! Wer seinen Bund hält und gottesfürchtig ist, - gewiß, Allah liebt die Gottes fürchtigen.
077_00	Diejenigen, die ihren Bund mit Allah und ihre Eide für einen geringen Preis verkaufen, haben am Jenseits keinen Anteil.
077_01	Und Allah wird am Tag der Auferstehung weder zu ihnen sprechen noch sie anschauen noch sie läutern. Für sie wird es schmerzhafte Strafe geben.
078_00	Und wahrlich, eine Gruppe von ihnen verdreht mit seinen Zungen die Schrift, damit ihr es für zur Schrift gehörig haltet, während es nicht zur Schrift gehört.
078_01	Und sie sagen: "Es ist von Allah", während es nicht von Allah ist. Und sie sprechen (damit) wissentlich eine Lüge gegen Allah aus.
079_00	Es steht einem menschlichen Wesen nicht zu, daß ihm Allah die Schrift, das Urteil und das Prophetentum gibt, und er hierauf zu den Menschen sagt: "Seid Diener von mir anstatt Allahs!"
079_01	sondern: "Seid Leute des Herrn, da ihr das Buch zu lehren und da ihr (es) zu erlernen pflegtet." ,
080_00	Und (es steht ihm nicht zu,) euch zu befehlen, die Engel und die Propheten zu Herren nehmen. Sollte er euch den Unglauben befehlen, nachdem ihr (Allah) Ergebene seid?
081_00	Und als Allah mit den Propheten ein Abkommen traf: Was immer Ich euch an Büchern und Weisheit gebracht habe -, und danach ist zu euch ein Gesandter gekommen, das bestätigend, was euch (bereits) vorliegt, an den müßt ihr ganz gewiß glauben und dem müßt ihr ganz gewiß helfen.
081_01	Er sagte: "Erklärt ihr euch einverstanden und nehmt ihr unter dieser (Bedingung) Meine Bürde an?" Sie sagten: "Wir erklären uns einverstanden." Er sagte: "So bezeugt es, und Ich gehöre mit euch zu den Zeugnis Ablegenden."
082_00	Wer sich aber nach diesem abkehrt, so sind jene die Frevler.
083_00	Begehren sie denn eine andere als Allahs Religion, wo sich Ihm doch (jeder) ergeben hat, der in den Himmeln und auf der Erde ist, freiwillig oder widerwillig? Und zu Ihm werden sie zurückgebracht.
084_00	Sag: Wir glauben an Allah und (an das,) was auf uns und was auf Ibrahim, Isma'il, Ishaq, Ya'qub und die Stämme (als Offenbarung) herabgesandt wurde
084_01	und was Musa, "Isa und den Propheten von ihrem Herrn gegeben wurde. Wir machen keinen Unterschied bei jemandem von Ihnen, und wir sind Ihm ergeben.
085_00	Wer aber als Religion etwas anderes als den Islam begehrt, so wird es von ihm nicht angenommen werden, und im Jenseits wird er zu den Verlierern gehören.
086_00	Wie sollte Allah ein Volk rechtleiten, das (wieder) ungläubig wurde, nachdem es den Glauben (angenommen) hatte und (nachdem) es bezeugt hatte, daß der Gesandte wahrhaft ist, und (nachdem) zu ihm die klaren Beweise gekommen waren! Und Allah leitet nicht das ungerechte Volk recht.
087_00	Der Lohn jener ist, daß auf ihnen der Fluch Allahs und der Engel und der Menschen allesamt liegt,
088_00	ewig darin zu bleiben. Die Strafe soll ihnen nicht erleichtert noch soll ihnen Aufschub gewährt werden,
089_00	außer denjenigen, die nach alledem bereuen und verbessern, so ist Allah Allvergebend und Barmherzig.
090_00	Jene (aber), die ungläubig werden, nachdem sie den Glauben (angenommen) haben, und hierauf an Unglauben zunehmen, deren Reue wird nicht angenommen werden, und jene sind die Irregehenden.
091_00	Gewiß, diejenigen, die ungläubig geworden sind und als Ungläubige sterben, - von keinem von ihnen würde die (ganze) Erde voll Gold angenommen werden, auch wenn er sich damit loskaufen wollte.
091_01	Für jene wird es schmerzhafte Strafe geben; und sie werden keine Helfer haben.
092_00	Ihr werdet die Güte nicht erreichen, bevor ihr nicht von dem ausgebt, was euch lieb ist. Und was immer ihr ausgebt, so weiß Allah darüber Bescheid.
093_00	Alle Speisen waren den Kindern Isra'ils erlaubt außer dem, was Isra'il sich selbst verbot, bevor die Tora offenbart wurde.
093_01	Sag: Bringt doch die Tora bei und verlest sie dann, wenn ihr wahrhaftig seid.
094_00	Wer also nach alledem gegen Allah (noch) Lügen ersinnt, jene sind die Ungerechten.
095_00	Sag: Allah hat die Wahrheit gesprochen. So folgt dem Glaubensbekenntnis Ibrahims, (als) Anhänger des rechten Glaubens, und er gehörte nicht zu den Götzendienern.
096_00	Das erste (Gottes)haus, das für die Menschen gegründet wurde, ist wahrlich dasjenige in Bakka, als ein gesegnetes (Haus) und eine Rechtleitung für die Weltenbewohner.
097_00	Darin liegen klare Zeichen. (Es ist) der Standort Ibrahims. Und wer es betritt, ist sicher.
097_01	Und Allah steht es den Menschen gegenüber zu, daß sie die Pilgerfahrt zum Hause unternehmen - (diejenigen,) die dazu die Möglichkeit haben. Wer aber ungläubig ist, so ist Allah der Weltenbewohner Unbedürftig.
098_00	Sag: O Leute der Schrift, warum verleugnet ihr Allahs Zeichen, wo doch Allah Zeuge dessen ist, was ihr tut?
099_00	Sag: O Leute der Schrift, warum haltet ihr die, die glauben, von Allahs Weg ab, indem ihr danach trachtet, ihn krumm zu machen, wo ihr doch Zeugen seid? Doch Allah ist nicht unachtsam dessen, was ihr tut.
100_00	O die ihr glaubt, wenn ihr einer Gruppe von denen gehorcht, denen die Schrift gegeben wurde, werden sie euch, nachdem ihr den Glauben (angenommen) habt, wieder zu Ungläubigen machen.
101_00	Wie aber könnt ihr (wieder) ungläubig werden, wo euch doch Allahs Zeichen verlesen werden und unter euch Sein Gesandter ist? Doch wer an Allah festhält, der wird gewiß auf einen geraden Weg geleitet.
102_00	O die ihr glaubt, fürchtet Allah in gebührender Furcht und sterbt ja nicht anders denn als (Allah) Ergebene!
103_00	Und haltet alle fest am Seil Allahs und geht nicht auseinander!
103_01	Und gedenkt Allahs Gunst an euch, als ihr Feinde wart und Er dann eure Herzen zusammenführte, worauf ihr durch Seine Gunst Brüder wurdet.
103_02	Und (als) ihr am Rand einer Feuergrube wart und Er euch dann davor errettete. So macht Allah euch Seine Zeichen klar, auf daß ihr rechtgeleitet werden möget!
104_00	Und es soll aus euch eine Gemeinschaft werden, die zum Guten aufruft, das Rechte gebietet und das Verwerfliche verbietet. Jene sind es, denen es wohl ergeht.
105_00	Und seid nicht wie jene, die auseinander gingen und uneinig wurden, nachdem die klaren Beweise zu ihnen gekommen waren. Für jene gibt es gewaltige Strafe.
106_00	An dem Tag, da (die einen) Gesichter weiß und (die anderen) Gesichter schwarz sein werden. Was nun diejenigen angeht, deren Gesichter schwarz sein werden (, so wird zu ihnen gesagt werden): "Seid ihr ungläubig geworden, nachdem ihr den Glauben (angenommen) hattet? So kostet die Strafe dafür, daß ihr wieder ungläubig geworden seid."
107_00	Was aber diejenigen angeht, deren Gesichter weiß sein werden, so werden sie sich in Allahs Erbarmen befinden. Ewig werden sie darin bleiben.
108_00	Dies sind die Zeichen Allahs, die Wir der Wahrheit entsprechend verlesen. Und Allah will keine Ungerechtigkeit für die Weltenbewohner
109_00	Allah gehört (alles), was in den Himmeln und was auf der Erde ist, und zu Allah werden (all) die Angelegenheiten zurückgebracht.
110_00	Ihr seid die beste Gemeinschaft, die für die Menschen hervorgebracht worden ist. Ihr gebietet das Rechte und verbietet das Verwerfliche und glaubt an Allah.
110_01	Und wenn die Leute der Schrift glauben würden, wäre es wahrlich besser für sie. Unter ihnen gibt es Gläubige, aber die meisten von ihnen sind Frevler.
111_00	Sie werden euch keinen Schaden zufügen, außer Beleidigungen. Und wenn sie gegen euch kämpfen, werden sie euch den Rücken kehren, und hierauf wird ihnen keine Hilfe zuteil werden.
112_00	Auferlegt ist ihnen Erniedrigung, wo immer sie angetroffen werden-, außer mit einem Seil von Allah und einem Seil von den Menschen -, und sie haben sich Zorn von Allah zugezogen, und Elend ist ihnen auferlegt.
112_01	Dies, weil sie stets Allahs Zeichen verleugneten und die Propheten zu Unrecht töteten, weil sie sich widersetzten und stets übertraten.
113_00	Sie sind nicht (alle) gleich. Unter den Leuten der Schrift ist eine standhafte Gemeinschaft, die Allahs Zeichen zu Stunden der Nacht verliest und sich (im Gebet) niederwirft.
114_00	Sie glauben an Allah und den Jüngsten Tag und gebieten das Rechte und verbieten das Verwerfliche und beeilen sich mit den guten Dingen. Jene gehören zu den Rechtschaffenen.
115_00	Und was sie an Gutem tun, das wird ihnen nicht ungedankt bleiben. Und Allah weiß über die Gottesfürchtigen Bescheid.
116_00	Gewiß, denjenigen, die ungläubig sind, werden weder ihr Besitz noch ihre Kinder vor Allah etwas nützen. Das sind Insassen des (Höllen)feuers. Ewig werden sie darin bleiben.
117_00	Das Gleichnis dessen, was sie in diesem irdischen Leben ausgeben, ist das eines eisigen Windes, der die Saatfelder von Leuten trifft, die sich selbst Unrecht zugefügt haben; und so vernichtet er sie.
117_01	Allah hat ihnen kein Unrecht zugefügt, sondern sie selbst fügen sich Unrecht zu.
118_00	O die ihr glaubt, nehmt keine Vertrauten außer von euch. Sie scheuen keine Mühe, euch zu verwirren, und möchten gern, daß ihr in Bedrängnis geratet.
118_01	Schon wurde aus ihren Mündern Haß offenkundig, aber was ihre Brüste verborgen halten, ist (noch) schwerwiegender. Wir haben euch die Zeichen bereits klargemacht, wenn ihr begreifen wollt.
119_00	Da habt ihr sie doch geliebt, während sie euch nicht lieben, und ihr glaubt an das gesamte Buch.
119_01	Wenn sie euch treffen, sagen sie: "Wir glauben." Wenn sie jedoch allein sind, beißen sie sich in die Fingerspitzen vor Grimm gegen euch. Sag: Sterbt an eurem Grimm! Gewiß, Allah weiß über das Innerste der Brüste Bescheid.
120_00	Wenn euch etwas Gutes widerfährt, tut es ihnen leid. Wenn euch jedoch etwas Böses trifft, sind sie froh darüber.
120_01	Wenn ihr aber geduldig seid und gottesfürchtig, wird euch ihre Arglist keinen Schaden zufügen. Allah umfaßt, was sie tun.
121_00	Und als du von deinen Angehörigen frühmorgens weggingst, um den Gläubigen Stellungen für den Kampf zuzuweisen. Und Allah ist Allhörend und Allwissend.
122_00	Als zwei Teil(gruppen) von euch vorhatten, aufzugeben, wo doch Allah ihr Schutzherr ist. Und auf Allah sollen sich die Gläubigen verlassen.
123_00	Allah hat euch doch schon in Badr geholfen, als ihr verächtlich erschient. Darum fürchtet Allah, auf daß ihr dankbar sein möget!
124_00	Als du zu den Gläubigen sagtest: "Genügt es euch denn nicht, daß euch euer Herr mit dreitausend herabgesandten Engeln unterstützt?
125_00	Ja doch! Wenn ihr standhaft seid und gottesfürchtig und sie unverzüglich über euch kommen, unterstützt euch euer Herr mit fünftausend gekennzeichneten Engeln."
126_00	Allah machte es nur zu einer frohen Botschaft für euch, und damit eure Herzen dadurch Ruhe finden -, denn der Sieg kommt nur von Allah, dem Allmächtigen, dem Allweisen -,
127_00	damit Er einen Teil derjenigen, die ungläubig waren, abtrennte oder sie niederwarf, so daß sie enttäuscht umkehrten.
128_00	Es ist gar nicht deine Angelegenheit, ob Er ihre Reue annimmt oder sie straft, denn sie sind ja Ungerechte.
129_00	Und Allah gehört (alles), was in den Himmeln und was auf der Erde ist. Er vergibt, wem Er will, und Er straft, wen Er will. Und Allah ist Allvergebend und Barmherzig.
130_00	O die ihr glaubt, verschlingt nicht den Zins um ein Vielfaches vermehrt, sondern fürchtet Allah, auf daß es euch wohl ergehen möge!
131_00	Und hütet euch vor dem (Höllen)feuer, das für die Ungläubigen bereitet ist!
132_00	Und gehorcht Allah und dem Gesandten, auf daß ihr Erbarmen finden möget!
133_00	Und beeilt euch um Vergebung von eurem Herrn und (um) einen (Paradies)garten, dessen Breite (wie) die Himmel und die Erde ist. Er ist für die Gottesfürchtigen bereitet,
134_00	die in Freude und Leid ausgeben und ihren Grimm zurückhalten und den Menschen verzeihen. Und Allah liebt die Gutes Tuenden
135_00	und diejenigen, die, wenn sie eine Abscheulichkeit begangen oder sich selbst Unrecht zugefügt haben, Allahs gedenken und dann für ihre Sünden um Vergebung bitten - und wer sollte die Sünden vergeben außer Allah?
135_01	- und (die) nicht auf dem beharren, was sie getan haben, wo sie doch wissen.
136_00	Der Lohn jener ist Vergebung von ihrem Herrn und Gärten, durcheilt von Bächen, ewig darin zu bleiben. Und wie trefflich ist der Lohn derjenigen, die (gut) handeln!
137_00	Schon vor euch sind Gesetzmäßigkeiten ergangen. So reist doch auf der Erde umher und schaut, wie das Ende der Leugner war.
138_00	Dies ist eine klare Darlegung für die Menschen und eine Rechtleitung und Ermahnung für die Gottesfürchtigen.
