001_00	Ta-Sin-Mim.
188_00	Er sagte: "Mein Herr weiß am besten, was ihr tut."
189_00	Aber sie bezichtigten ihn der Lüge. Da ergriff sie die Strafe des Tages der schattenspendenden Wolke; gewiß es war die Strafe eines gewaltigen Tages.
190_00	Darin ist wahrlich ein Zeichen, doch sind die meisten von ihnen nicht gläubig.
191_00	Und dein Herr ist fürwahr der Allmächtige und Barmherzige.
192_00	Und er ist ganz sicher eine Offenbarung des Herrn der Weltenbewohner;
193_00	mit dem der vertrauenswürdige Geist herabgekommen ist
194_00	auf dein Herz, damit du zu den Überbringern von Warnung gehörst,
195_00	in deutlicher arabischer Sprache.
196_00	Und er ist wahrlich in den Schriften der Früheren (erwähnt).
197_00	War es denn kein Zeichen für sie, daß die Gelehrten der Kinder Isra'ils darüber Bescheid wissen?
198_00	Wenn Wir ihn einem der Nichtaraber offenbart hätten
199_00	und er ihn ihnen vorgelesen hätte, hätten sie nicht daran geglaubt.
200_00	So haben Wir ihn in die Herzen der Übeltäter einziehen lassen.
201_00	Sie glauben nicht eher daran, bis sie die schmerzhafte Strafe sehen
202_00	und diese plötzlich über sie kommt, ohne daß sie merken,
203_00	bis sie dann sagen: "Wird uns Aufschub gewährt?"
204_00	Wünschen sie denn Unsere Strafe zu beschleunigen?
205_00	Was meinst du wohl? Wenn Wir sie über Jahre hinweg genießen lassen,
206_00	und hierauf über sie kommt, was ihnen stets angedroht wurde,
207_00	nicht nützen wird ihnen (dann)', was ihnen an Nießbrauch gewährt wurde.
208_00	Und Wir vernichteten keine Stadt, ohne daß sie Überbringer von Warnungen gehabt hätte,
209_00	(dies) als Ermahnung. Und nie sind Wir ungerecht.
210_00	Nicht die Satane sind mit ihm herabgekommen;
211_00	es ziemt ihnen nicht, und sie können es (auch) nicht.
212_00	Sie sind vom Hören fürwahr ausgeschlossen.
213_00	So rufe neben Allah keinen anderen Gott an, sonst wirst du zu den Gestraften gehören.
214_00	Und warne die Nächsten deiner Sippe.
215_00	Und senke deinen Flügel für diejenigen von den Gläubigen, die dir folgen.
216_00	Wenn sie sich dir widersetzen, dann sag: "Ich sage mich los von dem, was ihr tut."
217_00	Und verlasse dich auf den Allmächtigen und Barmherzigen,
218_00	Der dich sieht, wenn du aufrecht stehst,
219_00	und deine Stellungswechsel unter denjenigen, die sich niederwerfen.
220_00	Er ist ja der Allhörende und Allwissende.
221_00	Soll ich euch kundtun, auf wen die Satane herabkommen?
222_00	Sie kommen auf jeden ungeheuerlichen Lügner und Sünder herab.
223_00	Sie hören hin, und die meisten von ihnen sind Lügner.
224_00	Und die Dichter - es folgen ihnen die Verirrten.
225_00	Siehst du nicht, daß sie in jedem Tal ziellos umherwandern
226_00	und daß sie sagen, was sie nicht tun?
227_00	Außer denjenigen, die glauben, rechtschaffene Werke tun und Allahs häufig gedenken und sich (erst) selbst helfen, nachdem ihnen ja Unrecht zugefügt wurde.
227_01	Und diejenigen, die Unrecht tun, werden erfahren, was für eine Rückkehr sie haben werden.
