001_00	Den Gläubigen wird es ja wohl ergehen,
024_00	Da sagte die aus seinem Volk führende Schar, die ungläubig war: "Dieser ist nur ein menschliches Wesen wie ihr, das einen Vorzug euch gegenüber haben will.
024_01	Und wenn Allah gewollt hätte, hätte Er wahrlich Engel herabgesandt. Wir haben so etwas bei unseren Vorvätern nicht gehört.
025_00	Er ist nur ein Mann, der an Besessenheit leidet; so wartet mit ihm für eine gewisse Zeit ab."
026_00	Er sagte: "Mein Herr, hilf mir, wo sie mich der Lüge bezichtigen."
027_00	Da gaben Wir ihm ein: "Verfertige das Schiff vor Unseren Augen und nach Unserer Eingebung.
027_01	Wenn dann Unser Befehl kommt und der Ofen brodelt, so führe von jeder (Art) ein Paar und deine Angehörigen hinein, außer gegen wen das Wort vorher ergangen ist. Und sprich Mich nicht an zugunsten derjenigen, die Unrecht getan haben; sie werden ertränkt werden.
028_00	Und wenn du dich nun auf dem Schiff eingerichtet hast, du und diejenigen, die mit dir sind, dann sag: (Alles) Lob gehört Allah, Der uns von dem ungerechten Volk errettet hat!
029_00	Und sag: Mein Herr, gewähre mir einen gesegneten Abstieg', denn Du bist der Beste derjenigen, die Abstieg gewähren."
030_00	Darin sind wahrlich Zeichen. Wir haben (sie damit) fürwahr geprüft.
031_00	Hierauf ließen Wir nach ihnen ein anderes Geschlecht entstehen.
032_00	Dann schickten Wir zu ihnen einen Gesandten von ihnen: "Dient Allah! Keinen Gott habt ihr außer Ihm. Wollt ihr denn nicht gottesfürchtig sein?"
033_00	Und die führende Schar aus seinem Volk, die ungläubig war und die Begegnung mit dem Jenseits für Lüge erklärte und der Wir im diesseitigen Leben üppigen Wohlstand verliehen hatten, sagte: "Dieser ist nur ein menschliches Wesen wie ihr,
033_01	das von dem ißt, was ihr eßt, und von dem trinkt, was ihr trinkt.
034_00	Wenn ihr einem menschlichen Wesen euresgleichen gehorcht, dann werdet ihr fürwahr Verlierer sein.
035_00	Verspricht er euch etwa, daß ihr, wenn ihr gestorben und zu Erde und Knochen geworden seid, (wieder) hervorgebracht werdet?
036_00	Weit, weit entfernt ist das, was euch versprochen wird.
037_00	Es gibt nur unser diesseitiges Leben: Wir sterben und wir leben, und wir werden nicht auferweckt.
038_00	Er ist nur ein Mann, der gegen Allah eine Lüge ersonnen hat; und wir wollen ihm nicht glauben."
039_00	Er sagte: "Mein Herr, hilf mir, wo sie mich der Lüge bezichtigen."
040_00	Er sagte: "Über ein kleines werden sie wahrlich Reue empfinden."
041_00	Da ergriff sie zu Recht der Schrei, und so machten Wir sie zu Abschaum. Weg darum mit dem ungerechten Volk!
042_00	Hierauf ließen Wir nach ihnen andere Geschlechter entstehen.
043_00	Keine Gemeinschaft kann ihrer Frist vorausgehen, noch sie hinausschieben.
044_00	Hierauf sandten Wir Unsere Gesandten, einen nach dem anderen. Jedesmal, wenn zu einer Gemeinschaft ihr Gesandter kam, bezichtigten sie ihn der Lüge. So ließen Wir die einen von ihnen auf die anderen folgen und machten sie zu(m Gegenstand von) Geschichten.
044_01	Weg darum mit Leuten, die nicht glauben!
045_00	Hierauf sandten Wir Musa und seinen Bruder Harun mit Unseren Zeichen und einer deutlichen Ermächtigung
046_00	zu Fir'aun und seiner führenden Schar. Sie aber verhielten sich hochmütig und waren überhebliche Leute.
047_00	Sie sagten: "Sollen wir denn zwei menschlichen Wesen unseresgleichen glauben, wo doch ihr Volk in unserem Dienst steht?"
048_00	Sie bezichtigten sie der Lüge, und so gehörten sie zu denen, die vernichtet wurden.
049_00	Und Wir gaben bereits Musa die Schrift, auf daß sie rechtgeleitet werden mögen.
050_00	Und Wir machten den Sohn Maryams und seine Mutter zu einem Zeichen und gewährten ihnen Zuflucht auf einer Anhöhe mit festem Grund und Quellwasser.
051_00	"O ihr Gesandten, eßt von den guten Dingen und handelt rechtschaffen; gewiß, Ich weiß über das, was ihr tut, Bescheid.
052_00	Gewiß, diese ist eure Gemeinschaft, eine einzige Gemeinschaft, und Ich bin euer Herr; so fürchtet Mich!"
053_00	Aber sie spalteten sich in ihrer Angelegenheit untereinander nach (verschiedenen) Büchern'; und jede Gruppierung ist froh über das, was sie bei sich hat.
054_00	So lasse sie in ihrer Verwirrung für eine gewisse Zeit
055_00	Meinen sie etwa, daß Wir, wenn Wir sie mit Besitz und Söhnen unterstützen,
056_00	Uns beeilen, ihnen gute Dinge (zu gewähren)? Aber nein! Sie merken nicht.
057_00	Gewiß, diejenigen, die aus Furcht vor ihrem Herrn besorgt sind
058_00	und die an die Zeichen ihres Herrn glauben
059_00	und die ihrem Herrn nicht(s) beigesellen
060_00	und die geben, was sie geben, während ihre Herzen sich (davor) ängstigen, weil sie zu ihrem Herrn zurückkehren werden,
061_00	diese beeilen sich mit den guten Dingen, und sie werden sie erreichen.
062_00	Wir erlegen keiner Seele mehr auf, als sie zu leisten vermag. Und bei Uns ist ein Buch, das die Wahrheit redet, und es wird ihnen kein Unrecht zugefügt.
063_00	Aber nein! Ihre Herzen befinden sich in tiefer Achtlosigkeit davor'. Und es gibt bei ihnen (andere) Taten außer diesen, die sie ausführen.
064_00	Wenn Wir dann diejenigen von ihnen, die üppig leben, mit der Strafe ergreifen, flehen sie sogleich laut um Hilfe.
065_00	"Fleht nicht um Hilfe heute, denn euch wird von Uns nicht geholfen.
066_00	Meine Zeichen wurden euch bereits verlesen. Aber ihr pflegtet auf euren Fersen kehrtzumachen,
067_00	indem ihr euch davon hochmütig in eurem Nachtgeplauder abwandtet."
068_00	Haben sie denn nicht über das Wort nachgedacht, oder ist zu ihnen gekommen, was nicht zu ihren Vorvätern kam?
069_00	Oder haben sie ihren Gesandten nicht erkannt, so daß sie ihn (nun) verwerfen?
070_00	Oder sagen sie: "Er leidet an Besessenheit?" Nein! Vielmehr kam er zu ihnen mit der Wahrheit, aber den meisten von ihnen ist die Wahrheit zuwider.
071_00	Wenn die Wahrheit ihren Neigungen gefolgt wäre, gerieten die Himmel und die Erde und wer in ihnen ist wahrlich ins Verderben. Aber nein! Wir kamen zu ihnen mit ihrer Ermahnung, sie aber wenden sich von ihrer Ermahnung ab.
072_00	Oder verlangst du von ihnen eine Entlohnung? Aber die Entlohnung deines Herrn ist besser, und Er ist der beste Versorger.
073_00	Und du lädst sie wahrlich zu einem geraden Weg ein.
074_00	Jene, die nicht an das Jenseits glauben, weichen fürwahr vom Weg ab.
075_00	Wenn Wir Uns ihrer erbarmten und das Unheil, das auf ihnen ist, hinwegnähmen, würden sie wahrlich in ihrer Auflehnung verharren und umherirren.
076_00	Wir haben sie ja mit der Strafe ergriffen. Aber weder unterwarfen sie sich ihrem Herrn noch flehten sie demütig.
077_00	Wenn Wir ihnen dann ein Tor zu strenger Strafe öffnen, sind sie darüber sogleich ganz verzweifelt.
078_00	Er ist es, Der euch Gehör, Augenlicht und Herzen hat entstehen lassen. Wie wenig dankbar ihr seid!
079_00	Und Er ist es, Der euch auf der Erde (an Zahl) hat anwachsen lassen, und zu Ihm werdet ihr versammelt werden.
080_00	Und Er ist es, Der lebendig macht und sterben läßt; und auf Ihn geht der Unterschied von Nacht und Tag zurück. Begreift ihr denn nicht?
081_00	Aber nein! Sie sagen das gleiche, was die Früheren gesagt haben.
082_00	Sie sagen: "Wenn wir gestorben und zu Erde und Knochen geworden sind, sollen wir denn dann wirklich auferweckt werden?
083_00	Dies ist bereits zuvor uns und unseren Vätern versprochen worden. Das sind nur Fabeln der Früheren."
084_00	Sag: Wem gehört die Erde und wer auf ihr ist, wenn ihr (es) wißt?
085_00	Sie werden sagen: "(Alles) gehört Allah." Bedenkt ihr denn nicht?
086_00	Sag: Wer ist der Herr der sieben Himmel und der Herr des gewaltigen Thrones?
087_00	Sie werden sagen: "(Alles) gehört Allah." Sag: Wollt ihr denn nicht gottesfürchtig sein?
088_00	Sag: In wessen Hand ist die Herrschaftsgewalt über alles, Der Schutz gewährt und gegen Den kein Schutz gewährt werden kann, wenn ihr wißt?
089_00	Sie werden sagen: "(Alles) gehört Allah." Wieso seid ihr denn einem Zauber verfallen?
090_00	Nein! Vielmehr sind Wir zu ihnen mit der Wahrheit gekommen, aber sie sind wahrlich Lügner.
091_00	Allah hat Sich keine Kinder genommen, und keinen Gott gibt es neben Ihm, sonst würde fürwahr jeder Gott das wegnehmen, was er erschaffen hat, und die einen von ihnen würden sich den anderen gegenüber wahrlich überheblich zeigen.
091_01	Preis sei Allah, (und Erhaben ist Er) über das, was sie (Ihm) zuschreiben,
092_00	Dem Kenner des Verborgenen und des Offenbaren! Erhaben ist Er über das, was sie (Ihm) beigesellen.
093_00	Sag: Mein Herr, wenn immer Du mir zeigst, was ihnen angedroht wird,
094_00	mein Herr, dann stelle mich nicht unter das ungerechte Volk.
095_00	Wir haben fürwahr die Macht dazu, dir zu zeigen, was Wir ihnen androhen.
096_00	Wehre mit dem, was besser ist, das Böse ab. Wir wissen sehr wohl, was sie da zuschreiben.
097_00	Und sag: Mein Herr, ich nehme Zuflucht bei Dir vor den Aufstachelungen der Satane.
098_00	Und ich nehme Zuflucht bei Dir davor, mein Herr, daß sie mich aufsuchen.
099_00	Wenn dann der Tod zu einem von ihnen kommt, sagt er: "Mein Herr, bringt mich zurück,
100_00	auf daß ich rechtschaffen handele in dem, was ich hinterlassen habe." Keineswegs! Es ist nur ein Wort, das er (so) sagt; hinter ihnen wird ein trennendes Hindernis sein bis zu dem Tag, da sie auferweckt werden.
101_00	Wenn dann ins Horn geblasen wird, dann wird es zwischen ihnen keine Verwandt schaft mehr geben an jenem Tag, und sie fragen sich nicht mehr gegenseitig.
102_00	Wessen Waagschalen schwer sein werden, das sind diejenigen, denen es wohl ergeht.
103_00	Wessen Waagschalen aber leicht sein werden, das sind diejenigen, die ihre Seelen verloren haben; in der Hölle werden sie ewig bleiben.
104_00	Das Feuer schlägt in ihre Gesichter, und sie werden darin erblaßt sein..
105_00	"Wurden euch nicht Meine Zeichen verlesen, ihr aber pflegtet sie für Lüge zu erklären?"
106_00	Sie werden sagen: "Unser Herr, unser Unglück hat uns besiegt, und wir waren irregehende Leute.
107_00	Unser Herr, bringe uns aus ihr heraus. Wenn wir rückfällig werden, dann sind wir (wirklich) ungerecht."
108_00	Er sagt: "Seid darin verstoßen, und sprecht nicht mit Mir.
109_00	Gewiß, eine Gruppe von Meinen Dienern pflegte zu sagen: .Unser Herr, wir glauben, so vergib uns und erbarme Dich unser, denn Du bist der Beste der Barmherzigen.'
110_00	Aber ihr nahmt sie zum Gegenstand des Spottes, bis ihr ihretwegen Meine Ermahnung vergaßt, und ihr pflegtet über sie zu lachen.
111_00	Ich habe ihnen heute, daß sie standhaft waren, damit vergolten, daß sie die Erfolgreichen sind."
112_00	Er wird sagen: "Wie viele Jahre habt ihr in der Erde verweilt?"
113_00	Sie werden sagen: "Verweilt haben wir einen Tag oder den Teil von einem Tag; doch frage diejenigen, die zählen (können)."
114_00	Er wird sagen: "Ihr habt nur ein wenig verweilt, wenn ihr doch nur wüßtet!
115_00	Meint ihr denn, daß Wir euch zum sinnlosen Spiel erschaffen hätten und daß ihr nicht zu Uns zurückgebracht würdet?"
116_00	Doch Erhaben ist Allah, der König, der Wahre. Es gibt keinen Gott außer Ihm, dem Herrn des ehrwürdigen Thrones.
117_00	Und wer neben Allah einen anderen Gott anruft, für den er keinen Beweis hat, dessen Abrechnung liegt nur bei seinem Herrn. Gewiß, den Ungläubigen wird es nicht wohl ergehen.
118_00	Und sag: Mein Herr, vergib und erbarme Dich, denn Du bist der Beste der Barmherzigen.
