001_00	Alif-Lam-Ra. Dies sind die Zeichen des deutlichen Buches.
025_01	Und sie fanden ihren Herrn bei der Tür vor. Sie sagte: "Der Lohn dessen, der deiner Familie Böses (antun) wollte, ist nur, daß er ins Gefängnis gesteckt wird, oder schmerzhafte Strafe."
026_00	Er sagte: "Sie war es, die versucht hat, mich zu verführen." Und ein Zeuge aus ihrer Familie bezeugte: "Wenn sein Hemd vorn zerrissen ist, dann hat sie die Wahrheit gesprochen, und er gehört zu den Lügnern.
027_00	Wenn sein Hemd aber hinten zerrissen ist, dann hat sie gelogen, und er gehört zu den Wahrhaftigen."
028_00	Als er nun sah, daß sein Hemd hinten zerrissen war, sagte er: "Das gehört zu euren Listen. Eure List ist gewaltig.
029_00	Yusuf, lasse davon ab! Und (du, jene,) bitte um Vergebung für deine Sünde! Du gehörst ja zu denjenigen, die Verfehlungen begangen haben."
030_00	(Einige) Frauen in der Stadt sagten: "Die Frau des hohen Herrn versucht, ihren Burschen zu verführen. Er hat sie in leidenschaftliche Liebe versetzt. Wir sehen wahrlich, sie befindet sich in deutlichem Irrtum."
031_00	Als sie nun von ihren Ränken hörte, sandte sie zu ihnen und bereitete ihnen ein Gastmahl'.
031_01	Sie gab einer jeden von ihnen ein Messer und sagte (zu Yusuf): "Komm zu ihnen heraus." Als sie ihn sahen, fanden sie ihn groß(artig), und sie zerschnitten sich ihre Hände und sagten: "Allah behüte! Das ist kein Mensch, das ist nur ein ehrenvoller Engel."
032_00	Sie sagte: "Seht, das ist der, dessentwegen ihr mich getadelt habt. Ich habe allerdings versucht, ihn zu verführen, doch er widerstand.
032_01	Und wenn er nicht tut, was ich ihm befehle, wird er ganz gewiß ins Gefängnis gesteckt werden, und er wird gewiß zu den Geringgeachteten gehören."
033_00	Er sagte: "Mein Herr, das Gefängnis ist mir lieber als das, wozu sie mich auffordern. Und wenn Du ihre List von mir nicht abwendest, werde ich mich zu ihnen hingezogen fühlen und zu den Toren gehören."
034_00	Da erhörte ihn sein Herr und wendete ihre List von ihm ab. Er ist ja der Allhörende und Allwissende.
035_00	Hierauf schien es ihnen angebracht, nachdem sie die Zeichen (seiner Unschuld) gesehen hatten, ihn für eine gewisse Zeit ins Gefängnis zu stecken.
036_00	Mit ihm kamen zwei Burschen ins Gefängnis. Der eine von ihnen sagte: "Ich sah mich Wein auspressen."
036_01	Der andere sagte: "Ich sah mich auf dem Kopf Brot tragen, von dem die Vögel fraßen. Tue uns die Deutung hiervon kund. Wir sehen, daß du zu den Gutes Tuenden gehörst."
037_00	Er sagte: "Es wird euch kein Essen gebracht, mit dem ihr versorgt werdet, ohne daß ich euch die Deutung davon kundgetan habe, bevor es euch gebracht wird. Seht, das ist etwas von dem, was mich mein Herr gelehrt hat.
037_01	Verlassen habe ich das Glaubensbekenntnis von Leuten, die nicht an Allah glauben, und (verlassen habe, ich) sie, die sie das Jenseits verleugnen,
038_00	und ich bin dem Glaubensbekenntnis meiner Väter Ibrahim, Ishaq und Ya'qub gefolgt. Es steht uns nicht zu, Allah etwas beizugesellen.
038_01	Das ist etwas von Allahs Huld gegen uns und gegen die Menschen. Aber die meisten Menschen sind nicht dankbar.
039_00	O meine beiden Gefängnisgefährten! Sind verschiedene Herren besser oder Allah, der Eine, der Allbezwinger?
040_00	Ihr dient außer Ihm nur Namen, die ihr genannt habt, ihr und eure Väter, für die Allah (jedoch) keine Ermächtigung herabgesandt hat.
040_01	Das Urteil ist allein Allahs. Er hat befohlen, daß ihr nur Ihm dienen sollt. Das ist die richtige Religion. Aber die meisten Menschen wissen nicht.
041_00	O meine beiden Gefangnisgefährten! Was den einen von euch angeht, so wird er seinem Herrn Wein zu trinken geben.
041_01	Was aber den anderen angeht, so wird er gekreuzigt, und die Vögel werden von seinem Kopf fressen. Entschieden ist die Angelegenheit, über die ihr um Auskunft fragt. "
042_00	Und er sagte zu dem von beiden, von dem er glaubte, daß er entkommen werde: "Erwähne mich bei deinem Herrn." Aber der Satan ließ ihn vergessen, ihn bei seinem Herrn zu erwähnen, (und) so blieb er noch einige Jahre im Gefängnis.
043_00	Und der König sagte: "Ich sah sieben fette Kühe, die von sieben mageren gefressen wurden, und sieben grüne Ähren und (sieben) andere dürre.
043_01	O ihr führende Schar, gebt mir Auskunft über mein (Traum)gesicht, wenn ihr ein (Traum)gesicht auslegen könnt."
044_00	Sie sagten: "(Das ist) ein Bündel von wirren Träumen. Wir wissen über die Deutung der Träume nicht Bescheid."
045_00	Derjenige von beiden, der entkommen war und sich nach einiger Zeit erinnerte, sagte: "Ich werde euch seine Deutung kundtun. Darum entsendet mich."
046_00	"Yusuf, du Wahrhaftiger, gib uns Auskunft über sieben fette Kühe, die von sieben mageren gefressen werden, und üb
046_01	er sieben grüne Ähren und (sieben) andere dürre, auf daß ich zu den Leuten zurückkehre, auf daß sie wissen mögen."
047_00	Er sagte: "Ihr werdet unablässig sieben Jahre wie gewohnt säen. Was ihr erntet, das laßt in seinen Ähren, bis auf ein weniges, wovon ihr eßt.
048_00	Hierauf werden nach alledem sieben harte (Jahre) kommen, die das aufzehren werden, was ihr für sie vorbereitet habt, bis auf ein weniges von dem, was ihr aufbewahrt.
049_00	Hierauf wird nach alledem ein Jahr kommen, in dem die Menschen Regen haben und in dem sie (Früchte) auspressen werden."
050_00	Der König sagte: "Bringt ihn zu mir." Als der Bote zu ihm kam, sagte er: "Kehr zu deinem Herrn zurück und frag ihn, wie es mit den Frauen steht, die sich ihre Hände zerschnitten.
050_01	Mein Herr weiß doch über ihre List Bescheid."
051_00	Er sagte: "Was war da mit euch, als ihr versuchtet, Yusuf zu verführen?" Sie sagten: "Allah behüte! Wir wissen nichts Böses gegen ihn (anzugeben)." Die Frau des hohen Herrn sagte: "Jetzt ist die Wahrheil ans Licht gekommen.
051_01	Ich habe versucht, ihn zu verführen. Und er gehört fürwahr zu den Wahrhaftigen.
052_00	Dies ist, damit er weiß, daß ich ihn nicht in seiner Abwesenheit verraten habe und daß Allah die List der Verräter nicht gelingen läßt.
053_00	Und ich spreche mich nicht selbst frei. Die Seele gebietet fürwahr mit Nachdruck das Böse, außer daß mein Herr Sich erbarmt. Mein Herr ist Allvergebend und Barmherzig."
054_00	Und der König sagte: "Bringt ihn zu mir. Ich will ihn mir selbst vorbehalten." Als er mit ihm sprach, sagte er: "Du bist (von) heute (an) bei uns in fester Stellung und vertrauenswürdig."
055_00	Er sagte: "Setze mich über die Vorratskammern des Landes ein; ich bin ein kenntnisreicher Hüter."
056_00	So verliehen Wir Yusuf eine feste Stellung im Land, so daß er sich darin aufhalten konnte, wo immer er wollte. Wir treffen mit Unserer Barmherzigkeit, wen Wir wollen, und Wir lassen den Lohn der Gutes Tuenden nicht verlorengehen.
057_00	Aber der Lohn des Jenseits ist wahrlich besser für diejenigen, die glauben und gottesfürchtig sind.
058_00	Und da kamen Yusufs Brüder und traten bei ihm ein. Er erkannte sie, während sie ihn nicht erkannten.
059_00	Als er sie nun mit ihrem Bedarf ausgestattet hatte, sagte er: "Bringt mir einen (Halb)bruder von euch väterlicherseits. Seht ihr denn nicht, daß ich volles Maß gebe und daß ich der beste Obdachgeber bin?
060_00	Wenn ihr ihn mir nicht bringt, so bekommt ihr bei mir kein Maß mehr, und ihr sollt nicht in meine Nähe kommen."
061_00	Sie sagten: "Wir werden versuchen, seinen Vater in Bezug auf ihn zu bewegen, und wir werden es bestimmt tun."
062_00	Und er sagte zu seinen Burschen: "Steckt ihre (Tausch)ware (zurück) in ihr Gepäck, so daß sie sie (wieder)erkennen, wenn sie zu ihren Angehörigen zurückgekehrt sind, auf daß sie wiederkommen mögen."
063_00	Als sie zu ihrem Vater zurückkamen, sagten sie: "O unser Vater, ein (weiteres) Maß ist uns verweigert worden. Darum lasse unseren Bruder mit uns gehen, so bekommen wir ein (weiteres) Maß zugeteilt; wir werden ihn fürwahr behüten."
064_00	Er sagte: "Kann ich ihn euch etwa anders anvertrauen, als ich euch zuvor seinen Bruder anvertraut habe? Allah ist besser als Behütender, und Er ist der Barmherzigste der Barmherzigen."
065_00	Und als sie ihre Sachen öffneten, fanden sie, daß ihre Ware ihnen zurückgegeben worden war. Sie sagten: "O unser Vater, was begehren wir (mehr)? Das ist unsere Ware, sie ist uns zurückgegeben worden.
065_01	Wir werden Vorrat für unsere Angehörigen bringen, unseren Bruder behüten und das Maß (der Last) eines Kamels mehr haben. Das ist ein leicht(erhältlich)es Maß."
066_00	Er sagte: "Ich werde ihn nicht mit euch senden, bis ihr mir ein verbindliches Versprechen vor Allah gebt, daß ihr ihn mir ganz gewiß wiederbringt, es sei denn, ihr werdet umringt."
066_01	Als sie ihm ihr verbindliches Versprechen gegeben hatten, sagte er: "Allah ist Sachwalter über das, was wir (hier) sagen."
067_00	Und er sagte: "O meine Kinder, geht nicht (alle) durch ein einziges Tor hinein, sondern geht durch verschiedene Tore hinein.
067_01	Ich kann euch gegen Allah nichts nützen. Das Urteil ist allein Allahs. Auf Ihn verlasse ich mich; und auf Ihn sollen sich diejenigen verlassen, die sich (überhaupt auf jemanden) verlassen (wollen)."
068_00	Als sie hineingingen, wie ihr Vater ihnen befohlen hatte, konnte es ihnen vor Allah nichts nützen. (Es war) nur ein Bedürfnis in der Seele Ya'qubs, das er (damit) erfüllte.
068_01	Und er besaß fürwahr Wissen, weil Wir es ihn gelehrt hatten. Aber die meisten Menschen wissen nicht.
069_00	Als sie bei Yusuf eintraten, zog er seinen Bruder zu sich. Er sagte: "Gewiß, ich bin dein Bruder. So sei nicht bekümmert wegen dessen, was sie getan haben."
070_00	Als er sie nun mit ihrem Bedarf ausgestattet hatte, steckte er das Trinkgefäß in das Gepäck seines Bruders. Hierauf rief ein Rufer aus: "Ihr (da, von der) Karawane, ihr seid fürwahr Diebe."
071_00	Sie sagten, indem sie sich ihnen zuwandten: "Was vermißt ihr?"
072_00	Sie sagten: "Wir vermissen den Kelch des Königs. Wer ihn wiederbringt, erhält die Last eines Kamels, und dafür bin ich Bürge."
073_00	Sie sagten: "Bei Allah, ihr wißt doch, wir sind nicht gekommen, um im Land Unheil zu stiften, und wir sind keine Diebe."
074_00	Sie sagten: "Was soll dann die Vergeltung dafür sein, wenn ihr Lügner seid?"
075_00	Sie (die Brüder) sagten: "Die Vergeltung dafür soll sein, daß derjenige, in dessen Gepäck er gefunden wird, selbst das Entgelt dafür sein soll. So vergelten wir den Ungerechten."
076_00	Er begann (zu suchen) in ihren Behältern vor dem Behälter seines Bruders. Hierauf holte er es aus dem Behälter seines Bruders hervor.
076_01	So führten Wir für Yusuf eine List aus. Nach dem Gesetz des Königs hätte es ihm nicht zugestanden, seinen Bruder (als Sklaven) zu nehmen, außer daß Allah es wollte. Wir erhöhen, wen Wir wollen, um Rangstufen. Und über jedem, der Wissen besitzt, steht einer, der (noch mehr) weiß.
077_00	Sie sagten: "Wenn er stiehlt, so hat ein Bruder von ihm schon zuvor gestohlen." Aber Yusuf hielt es in seinem Innersten geheim und legte es ihnen nicht offen. Er sagte: "Ihr befindet euch in einer (noch) schlechteren Lage.
077_01	Und Allah weiß sehr wohl, was ihr beschreibt."
078_00	Sie sagten: "O hoher Herr, er hat einen Vater, einen hochbetagten Greis. So nimm einen von uns an seiner Stelle. Wir sehen, daß du zu den Gutes Tuenden gehörst."
079_00	Er sagte: "Allah schütze uns (davor), daß wir einen anderen nehmen als denjenigen, bei dem wir unsere Sachen gefunden haben! Wir würden sonst wahrlich zu den Ungerechten gehören."
080_00	Als sie die Hoffnung an ihm aufgegeben hatten, zogen sie sich zurück zu einem vertraulichen Gespräch. Der Älteste von ihnen sagte: "Wißt ihr (denn) nicht, daß euer Vater von euch ein verbindliches Versprechen vor Allah entgegengenommen hat und daß ihr zuvor (eure Pflicht) gegenüber Yusuf vernachlässigt habt?
080_01	Ich werde das Land nicht verlassen, bis mein Vater es mir erlaubt oder Allah ein Urteil für mich fällt.
080_02	Er ist der Beste derer, die Urteile fällen.
081_00	Kehrt zu eurem Vater zurück und sagt: ,O unser Vater, dein Sohn hat gestohlen, und wir bezeugen nur das, was wir wissen, und wir sind nicht Hüter über das Verborgene.
082_00	Frag die Stadt, in der wir waren, und die Karawane, mit der wir angekommen sind. Wir sagen gewiß die Wahrheit'."
083_00	Er sagte: "Nein! Vielmehr habt ihr selbst euch etwas eingeredet. (Es gilt) schöne Geduld (zu üben). Aber vielleicht wird Allah sie mir alle wiederbringen. Er ist ja der Allwissende und Allweise."
084_00	Und er kehrte sich von ihnen ab und sagte: "O mein Kummer um Yusuf!" Und seine Augen wurden weiß vor Trauer, und so hielt er (seinen Kummer) zurück.
085_00	Sie sagten: "Bei Allah, du hörst nicht auf, Yusufs zu gedenken, bis du hinfällig geworden bist oder zu denen gehörst, die umkommen."
086_00	Er sagte: "Ich klage meinen unerträglichen Kummer und meine Trauer nur Allah (allein), und ich weiß von Allah her, was ihr nicht wißt.
087_00	O meine Kinder, geht und erkundigt euch über Yusuf und seinen Bruder. Und gebt nicht die Hoffnung auf das Erbarmen Allahs auf. Es gibt die Hoffnung auf das Erbarmen Allahs nur das ungläubige Volk auf."
088_00	Als sie (wieder) bei ihm eintraten, sagten sie: "O hoher Herr, Unheil ist uns und unseren Angehörigen widerfahren. Und wir haben (nur) Ware von geringem Wert gebracht.
088_01	So gib uns (dennoch) volles Maß und gib (es) uns als Almosen. Allah vergilt denjenigen, die Almosen geben."
089_00	Er sagte: "Wißt ihr (noch), was ihr Yusuf und seinem Bruder damals in eurer Torheit antatet?"
090_00	Sie sagten: "Bist du denn wirklich Yusuf?" Er sagte: "Ich bin Yusuf, und das ist mein Bruder.
090_01	Allah hat uns eine Wohltat erwiesen. Gewiß, wer gottesfürchtig und standhaft ist -- gewiß, Allah läßt den Lohn der Gutes Tuenden nicht verlorenge hen."
091_00	Sie sagten: "Bei Allah, Allah hat dich uns vorgezogen. Und wir haben wahrlich Verfehlungen begangen."
092_00	Er sagte: "Keine Schelte soll heute über euch kommen. Allah vergibt euch, Er ist ja der Barmherzigste der Barmherzigen.
093_00	Geht mit diesem meinem Hemd und legt es auf das Gesicht meines Vaters, so wird er sein Augenlicht (wieder)erlangen. Und bringt eure Angehörigen allesamt zu mir."
094_00	Als nun die Karawane aufgebrochen war, sagte ihr Vater: "Wahrlich, ich nehme Yusufs Geruch war. Wenn ihr mich nur nicht bezichtigen würdet, Unsinn zu reden!"
095_00	Sie sagten: "Bei Allah, du befindest dich fürwahr in deinem alten Irrtum."
096_00	Als nun der Frohbote kam, legte er es auf sein Gesicht, und da hatte er sein Augenlicht wiedererlangt. Er sagte: "Habe ich euch nicht gesagt, daß ich von Allah her weiß, was ihr nicht wißt?"
097_00	Sie sagten: "O unser Vater, bitte für uns um Vergebung unserer Sünden, denn wir haben gewiß Verfehlungen begangen."
098_00	Er sagte: "Ich werde meinen Herrn um Vergebung für euch bitten. Er ist ja der Allvergebende und Barmherzige."
099_00	Als sie nun bei Yusuf eintraten, zog er seine Eltern an sich und sagte: "Betretet Ägypten, wenn Allah will, in Sicherheit."
100_00	Und er hob seine Eltern auf den Thron empor. Und sie fielen vor ihm ehrerbietig nieder.
100_01	Er sagte: "O mein lieber Vater, das ist die Deutung meines (Traum)gesichts von zuvor. Mein Herr hat es wahrgemacht.
100_02	Und Er hat mir Gutes erwiesen, als Er mich aus dem Gefängnis herauskommen ließ und euch aus dem nomadischen Leben hierherbrachte, nachdem der Satan zwischen mir und meinen Brüdern (zu Zwietracht) aufgestachelt hatte. Gewiß, mein Herr ist feinfühlig (in der Durchführung dessen), was Er will. Er ist ja der Allwissende und Allweise.
101_00	Mein Herr, Du hast mir etwas von der Herrschaft gegeben und mich etwas von der Deutung der Sprüche gelehrt. (O Du) Erschaffer der Himmel und der Erde, Du bist mein Schutzherr im Diesseits und Jenseits.
101_01	Berufe mich als (Dir) ergeben ab und nimm mich unter die Rechtschaffenen auf. "
102_00	Dies gehört zu den Nachrichten vom Verborgenen, das Wir dir (als Offenbarung) eingeben. Denn du warst nicht bei ihnen, als sie sich einigten, indem sie Ränke schmiedeten.
103_00	Aber die meisten Menschen werden, auch wenn du noch so sehr (danach) trachtest, nicht gläubig sein.
104_00	Und du verlangst von ihnen keinen Lohn dafür. Es ist nur eine Ermahnung für die Weltenbewohner.
105_00	Wie viele Zeichen gibt es in den Himmeln und auf der Erde, an denen sie vorbeigehen, wobei sie sie unbeachtet lassen!
106_00	Und die meisten von ihnen glauben nicht an Allah, ohne (Ihm andere) beizugesellen.
107_00	Glauben sie denn, sicher zu sein davor, daß eine überdeckende Strafe von Allah über sie kommt oder daß plötzlich die Stunde über sie kommt, ohne daß sie merken?
108_00	Sag: Das ist mein Weg: Ich rufe zu Allah aufgrund eines sichtbaren Hinweises, ich und diejenigen, die mir folgen. Preis sei Allah! Und ich gehöre nicht zu den Götzendienern.
109_00	Und Wir haben vor dir nur Männer gesandt von den Bewohnern der Städte, denen Wir (Offenbarungen) eingaben.
109_01	Sind sie denn nicht auf der Erde umhergereist, so daß sie schauen (konnten), wie das Ende derjenigen war, die vor ihnen waren? Die Wohnstätte des Jenseits ist wahrlich besser für diejenigen, die gottesfürchtig sind. Begreift ihr denn nicht?
110_00	Erst dann, als die Gesandten die Hoffnung aufgegeben hatten und sie meinten, daß sie belogen worden seien, kam Unsere Hilfe zu ihnen. Und so wird errettet, wen Wir wollen. Aber vom übeltätigen Volk wird Unsere Gewalt nicht abgewandt.
111_00	In ihren Geschichten ist wahrlich eine Lehre für diejenigen, die Verstand besitzen.
111_01	Es ist keine Aussage, die ersonnen wird, sondern die Bestätigung dessen, was vor ihm war, und die ausführliche Darlegung aller Dinge und eine Rechtleitung und Barmherzigkeit für Leute, die glauben.
