001_00	Alef, Lam, Mim.
073_01	(Temeis, acaso), que alguém seja agraciado com o mesmo com que fostes agraciados, ou com que vos refutem peranteo vosso Senhor? Dize-lhes (ainda): A graça está na Mão de Deus, que a concede a Seu critério, porque Deus é Munificente, Sapientíssimo.
074_00	Ele agracia, com a Sua misericórdia, exclusivamente a quem Lhe apraz, porque Deus é Agraciante por excelência.
075_00	Entre os adeptos do Livro há alguns a quem podes confiar um quintal de ouro, que te devolverão intacto; também há osque, se lhes confiares um só dinar, não te restituirão, a menos que a isso os obrigues.
075_01	Isto, porque dizem: Nada devemos aos iletrados.
075_02	E forjam mentiras acerca de Deus, conscientemente.
076_00	Qual! No entanto, quem cumpre o seu pacto e teme, saiba que Deus aprecia os tementes.
077_00	Aqueles que negociam o pacto com Deus, e sua palavra empenhada, a vil preço, não participarão da bem-aventurança davida futura;
077_01	Deus não lhes falará, nem olhará para eles, no Dia da Ressurreição, nem tampouco os purificará, e sofrerão um doloroso castigo.
078_00	E também há aqueles que, com suas línguas, deturpam os versículos do Livro, para que peneis que ao Livro pertencem, quando isso não é verdade. E dizem: Estes (versículos) emanam de Deus, quando não emanam de Deus.
078_01	Dizem mentiras arespeito de Deus, conscientemente.
079_00	É inadmissível que um homem a quem Deus concedeu o Livro, a sabedoria e a profecia, diga aos humanos: Sede meusservos, em vez de o serdes de Deus!
079_01	Outrossim, o que diz, é: Sede servos do Senhor, uma vez que sois aqueles que estudame ensinam o Livro.
080_00	Tampouco é admissível que ele vos ordene tomar os anjos e os profetas por senhores. Poderia ele induzir-vos àincredulidade, depois de vos terdes tornado muçulmanos?
081_00	Quando Deus aceitou a promessa dos profetas, disse-lhes: Eis o Livro e a sabedoria que ora vos entrego. Depois voschegou um Mensageiro que corroborou o que já tendes. Crede nele e socorrei-o.
081_01	Então, perguntou-lhes: Comprometer-vos-eis a fazê-lo? Responderam: Comprometemo-nos. Disse-lhes, então: Testemunharei, que também serei, convosco, Testemunha disso.
082_00	E aqueles que, depois disto, renegarem, serão depravados.
083_00	Anseiem, acaso, por outra religião, que noa a de Deus? Todas as coisas que há nos céus e na terra, quer queiram, quernão, estão-Lhe submetidas, e a Ele retornarão.
084_00	Dize: Cremos em Deus, no que nos foi revelado, no que foi revelado a Abraão, a Ismael, a Isaac, a Jacó e às tribos,
084_01	e noque, de seu Senhor, foi concedido a Moisés, a Jesus e aos profetas; não fazemos distinção alguma entre eles, porque somos, para Ele, muçulmanos.
085_00	E quem quer que almeje (impingir) outra religião, que noa seja o Islam, (aquela) jamais será aceita e, no outro mundo, essa pessoa contar-se-á entre os desventurados.
086_00	Como poderá Deus iluminar aqueles que renunciaram à fé, depois de terem acreditado e testemunhado que o Mensageiroé autêntico e terem recebido as evidência? Deus não encaminha os iníquos.
087_00	A retribuição desses será a maldição de Deus, dos anjos e de toda a humanidade.
088_00	A qual (maldição) pesará sobre eles eternamente,; o suplício não lhes será mitigado, nem serão tolerados.
089_00	Salvo aqueles que, depois disso, arrependem-se e se emendarem, pois que Deus é Indulgente, Misericordiosíssimo.
090_00	Quando àqueles que descrerem, após terem acreditado, imbuindo-se de incredulidade, jamais será aceito oarrependimento e serão os desviados.
091_00	Os incrédulos que morrerem na incredulidade jamais serão redimidos, ainda que ofereçam, em resgate, todo o ouro que possa caber na terra.
091_01	Estes sofrerão um doloroso castigo e não terão socorredores.
092_00	Jamais alcançareis a virtude, até que façais caridade com aquilo que mais apreciardes. E sabei que, de toda caridadeque fazeis, Deus bem o sabe.
093_00	Aos israelitas, todo o alimento era lícito, salvo aquilo que Israel se havia privado antes de a Tora ter sido revelada.
093_01	Dize-lhes: Trazei a Tora e lede-a, se estiverdes certos.
094_00	E aqueles que forjarem mentiras acerca de Deus, depois disso, serão iníquos.
095_00	Dize: Deus diz a verdade. Segui, pois, a religião de Abraão, o monoteísta, que jamais se contou entre os idólatras.
096_00	A primeira Casa (Sagrada), erigida para o G6enero humano, é a de Bakka, onde reside a bênção servindo de orientaçãoà humanidade.
097_00	Encerra sinais evidentes; lá está a Estância de Abraão, e quem quer que nela se refugie estará em segurança.
097_01	Aperegrinação à Casa é um dever para com Deus, por parte de todos os seres humanos, que estão em condições de empreendê-la; entretanto, quem se negar a isso saiba que Deus pode prescindir de toda a humanidade.
098_00	Dize: Ó adeptos do Livro, por que negais os versículos de Deus, sabendo que Deus é Testemunha de tudo quanto fazeis?
099_00	Dize (ainda): Ó adeptos do Livro, por que desviais os crentes da senda de Deus, esforçando-vos por fazê-la tortuosa, quando sois testemunhas (do pacto de Deus)? Sabei que Deus não está desatento a tudo quando fazeis.
100_00	Ó fiéis, se escutásseis alguns daqueles que receberam o Livro (o judeus), converter-vos-íeis em incrédulos, depois deterdes acreditado!
101_00	E como podeis descrer, já que vos são recitados os versículos de Deus, e entre vós está o Seu Mensageiro? Quem seapegar a Deus encaminhar-se-á à senda reta.
102_00	Ó fiéis, temei a Deus, tal como deve ser temido, e não morrais, senão como muçulmanos.
103_00	E apegai-vos, todos, ao vínculo com Deus e noa vos dividais; recorda-vos das mercês de Deus para convosco, porquanto éreis adversários mútuos e Ele conciliou os vossos corações
103_01	e, mercê de Sua graça, vos convertestes em verdadeiros irmãos; e quando estivestes à beira do abismo infernal, (Deus) dele vos salvou.
103_02	Assim, Deus vos elucida os Seus versículos, para que vos ilumineis.
104_00	E que surja de vós uma nação que recomende o bem, dite a retidão e proíba o ilícito. Esta será (uma nação) bem-aventurada.
105_00	Não sejais como aqueles que se dividiram e discordaram, depois de lhes terem chegado as evidências, porque essessofrerão um severo castigo.
106_00	Chegará o dia em que uns rosto resplandecerão e outros se ensombrecerão. Quanto a estes, ser-lhes-á dito: Então, renegastes depois de terdes acreditado? Sofrei, pois, o castigo da vossa perfídia!
107_00	Quanto àqueles, cujos rostos resplandecerão, terão a misericórdia de Deus, da qual gozarão eternamente.
108_00	Estes são os versículos de Deus, que em verdade te recitamos. Deus jamais deseja a injustiça para a humanidade.
109_00	A Deus pertence tudo quanto há nos céus e na terra, e todos os assuntos retornarão a Deus.
110_00	Sois a melhor nação que surgiu na humanidade, porque recomendais o bem, proibis o ilícito e credes em Deus. Se os adeptos do Livro cressem, melhor seria para eles.
110_01	Entre eles há fiéis; porém, a sua maioria é depravada.
111_00	Porém, não poderão vos causar nenhum mal; e caso viessem a vos combater, bateriam em retirada e jamais seriamsocorridos.
112_00	Estarão na ignomínia onde se encontrarem, a menos que se apeguem ao vínculo com Deus e ao vínculo com o homem.
112_01	Eincorreram na abominação de Deus e foram vilipendiados, por terem negado os Seus versículos, morto iniquamente os profetas, bem como por terem desobedecido e transgredido os limites.
113_00	Os adeptos do Livros não são todos iguais: entre eles há uma comunidade justiceira, cujos membros recitam osversículos de Deus, durante a noite, e se prostram ante o seu Senhor.
114_00	Crêem em Deus e no Dia do Juízo Final, aconselham o bem e proíbem o ilícito, e se emulam nas boas ações. Estescontar-se-ão entre os virtuosos.
115_00	Todo o bem que façam jamais lhes será desmerecido, porque Deus bem conhecem os que o Temem.
116_00	Aos incrédulos de nada valerão a fortuna e os filhos, ante Deus, porque serão condenados ao inferno, ondepermanecerão eternamente.
117_00	O exemplo deles, ao despenderem neste mundo, é como o exemplo de um povo condenado, cujas semeaduras sãoaçoitadas e arrasadas por um vento glacial.
117_01	Mas não é Deus que os condena, mas sim eles próprios.
118_00	Ó fiéis, não tomeis por confidentes a outros que não sejam vossos, porque eles tratarão de vos arruinar e de voscorromper, posto que só ambicionam a vossa perdição. O ódio já se tem manifestado por suas bocas; porém, o que ocultamem seus corações é ainda pior.
118_01	Já vos elucidamos os sinais, e sois sensatos.
119_00	E eis que vós os amais; porém, eles não vos amam, apesar de crerdes em todo o Livro; porém, eles, quando vos encontram, dizem: Cremos! Mas quando estão a sós mordem os dedos de raiva.
119_01	Dize-lhes: Morrei, com a vossa raiva! Sabeique Deus bem conhece o íntimo dos corações.
120_00	Quando sois agraciados com um bem, eles ficam aflitos; porém, se vos açoita uma desgraça, regozijam-se.
120_01	Mas seperseverardes e temerdes a Deus, em nada vos prejudicarão as suas conspirações. Deus está inteirado de tudo quanto fazem.
121_00	Recordar-te (ó Mensageiro) de quando saíste do teu lar, ao amanhecer, para assinalar aos fiéis a sua posição no campode batalha. Sabe que Deus é Oniouvinte, Sapientíssimo.
122_00	E de quando dois grupos dos teus pensaram em acovardar-se, apesar de ser Deus o seu Protetor. Que a Deus seencomendem os fiéis.
123_00	Sem dúvida que Deus vos socorreu, em Badr, quando estáveis em inferioridade de condições. Temei, pois, a Deus eagradecei-Lhe.
124_00	E de quando disseste aos fiéis: Não vos basta que vosso Senhor vos socorra com o envio celestial de três mil anjos?
125_00	Sim! Se fordes perseverantes, temerdes a Deus, e se vos atacarem imediatamente, vosso Senhor vos socorrerá, comcinco mil anjos bem treinados.
126_00	Deus não o fez como anúncio para vós, a fim de sossegar os vossos corações. Sabei que o socorro só emana de Deus, oPoderoso, o Prudentíssimo.
127_00	Assim o fez para aniquilar um falange de incrédulos e afrontá-los, fazendo com que fugissem frustrados.
128_00	Não é da tua alçada, mas de Deus, absolvê-los ou castigá-los, porque são iníquos.
129_00	A Deus pertence tudo quando há nos céus e na terra. Perdoa a quem Lhe apraz e castiga a quem deseja, porque Deus éIndulgente, Misericordiosíssimo.
130_00	Ó fiéis, não exerçais a usura, multiplicando (o emprestado) e temei a Deus para que prospereis,
131_00	E precavei-vos do fogo infernal, que está preparado para os incrédulos.
132_00	Obedecei a Deus e ao Mensageiro, a fim de que sejais compadecidos.
133_00	Emulai-vos em obter a indulgência do vosso Senhor e um Paraíso, cuja amplitude é igual à dos céus e da terra, preparado para os tementes,
134_00	Que fazem caridade, tanto na prosperidade, como na adversidade; que reprimem a cólera; que indultam o próximo. Sabei que Deus aprecia os benfeitores.
135_00	Que, quando cometem uma obscenidade ou se condenam, mencionam a Deus e imploram o perdão por seus pecados -mas quem, senão Deus perdoa os pecados?
135_01	- e não reincidem, com conhecimento, no que cometeram.
136_00	Para estes a recompensa será uma indulgência do seu Senhor, terão jardins, abaixo dos quais correm os rios, ondemorarão eternamente. Quão excelente é a recompensa dos diligentes!
137_00	Já houve exemplos, antes de vós; percorrei, pois, a terra e observai qual foi a sorte dos desmentidores.
138_00	Este (Alcorão) é uma declaração aos humanos, orientação e exortação para os tementes.
139_00	Não desanimeis, nem vos aflijais, porque sempre saireis vitoriosos, se fordes fiéis.
140_00	Quando receberdes algum ferimento, sabei que os outros já sofreram ferimento semelhante.
140_01	E tais dias (de infortúnio) são alternados, entre os humanos, para que Deus Se assegure dos fiéis e escolha, dentre vós, os mártires; sabei que Deus não aprecia os iníquos.
141_00	E (assim faz) Deus para purificar os fiéis e aniquilar os incrédulos.
142_00	Pretendeis, acaso, entrar no Paraíso, sem que Deus Se assegure daqueles, dentre vós, que combatem e sãoperseverantes?
143_00	Aneláveis a morte antes de vos terdes deparado com ela. Viste-la, então, como os vossos próprios olhos!
144_00	Mohammad não é senão um Mensageiro, a quem outros mensageiros precederam.
144_01	Porventura, se morresse ou fossemorto, voltaríeis à incredulidade? Mas quem voltar a ela em nada prejudicará Deus; e Deus recompensará os agradecidos.
145_00	Não é dado a nenhum ser morrer, sem a vontade de Deus; é um destino prefixado.
145_01	E a quem desejar a recompensa terrena, conceder-lha-emos; e a quem desejar a recompensa da outra vida, conceder-lha-emos, igualmente; também recompensaremos os agradecidos.
146_00	Quantos profetas e, com eles, quantos grupos lutaram pela causa de Deus, sem desanimarem com o que lhes aconteceu; não se acovardaram, nem se renderam!
146_01	Deus aprecia os perseverantes.
147_00	Eles nada disseram, além de: Ó Senhor nosso, perdoa-nos por nosso pecados e por nossos excessos; firma os nossospassos e concede-nos a vitória sobre os incrédulos!
148_00	Deus lhes concedeu a recompensa terrena e a bem-aventurança na outra vida, porque Deus aprecia os benfeitores.
149_00	Ó fiéis, se obedecerdes aos incrédulos, eles vos farão voltar ao que éreis antes, e sereis desventurados.
150_00	Mas Deus é vosso Protetor, e é o melhor dos socorredores.
151_00	Infundiremos terror nos corações dos incrédulos, por terem atribuído parceiros a Deus, sem que Ele lhes tivesseconferido autoridade alguma para isso. Sua morada será o fogo infernal. Quão funesta é a morada dos iníquos!
152_00	Deus cumpriu a Sua promessa quanto, com a Sua anuência, aniquilastes os incrédulos, até que começastes a vacilar edisputar acerca da ordem e a desobedecestes, apesar de Deus vos Ter mostrado tudo o que aneláveis.
152_01	Uma parte de vós ambicionava a vida terrena, enquanto a outra aspirava à futura.
152_02	Então, Deus vos desviou dos vossos inimigos, para provar-vos; porém, Ele vos indultou, porque é Agraciante para com os fiéis.
153_00	Recordai-vos de quando subistes a colina às cegas, enquanto o Mensageiro ia pela retaguarda, incitando-vos aocombate.
153_01	Foi então que Deus vos infligiu angústia após angústia, para ensinar-vos a não lamentardes pelo que haveisperdido, nem pelo que vos havia acontecido, porque está bem inteirado de tudo quanto fazeis.
154_00	Logo depois da angústia, infundiu-vos uma calma sonorífera, que envolveu alguns de vós, enquanto outros,, preocupados consigo próprios, puseram-se a conjecturar ignomínias acerca de Deus, como na era da idolatria, dizendo: Tivemos, acaso, alguma escolha?
154_01	Responde-lhes: A escolha pertence inteiramente a Deus!
154_02	E eis que eles guardam para si oque noa te manifestam, dizendo (mais): Se houvéssemos tido escolha, não teríamos sido chacinados.
154_03	Dize-lhes: Sabei que, mesmo que tivésseis permanecido nas vossas casas, certamente, àqueles dentre vós, aos quais estava decretada a morte, estaapareceria, no local de sua morte.
154_04	Isso, para que Deus comprovasse o que ensejáveis e purificasse o que havia em vossoscorações; sabei que Deus conhece dos peitos as intimidades.
155_00	Aqueles que desertaram, no dia do encontro dos dois grupos, foram seduzidos por Satanás pelo que haviam perpetrado;
155_01	porém Deus os indultou porque é Tolerante, Indulgentíssimo.
156_00	Ó fiéis, não sejais como os incrédulos, que dizem de seus irmãos, quando estes viajam pela terra ou quando estão em combate: Se tivessem ficado conosco, não teriam morrido, nem sido assassinados!
156_01	Com isso, Deus infunde-lhes a angústia nos corações, pois Deus concede a vida e a morte, e Deus bem vê tudo quando fazeis.
157_00	Mas, se morrerdes ou fordes assassinados pela causa de Deus, sabei que a Sua indulgência e a Sua clemência sãopreferíveis a tudo quando possam acumular.
158_00	E sabei que, tanto se morrerdes, como ser fordes assassinados, sereis congregados ante Deus.
159_00	Pela misericórdia de Deus, foste gentil para com eles; porém, tivesses tu sido insociável ou de coração insensível, elesse teriam afastado de ti. Portanto, indulta-os, implora o perdão para eles e consulta-os nos assuntos (do momento).
159_01	E quando te decidires, encomenda-te a Deus, porque Deus aprecia aqueles que (a Ele) se encomendam.
160_00	Se Deus vos secundar, ninguém poderá vencer-vos; por outra, se Ele vos esquecer, quem, em vez d'Ele, vos ajudará? Que os fiéis se encomendem a Deus!
161_00	É inadmissível que o profeta fraude; mas, o que assim fizer, comparecerá com o que tiver fraudado, no Dia daRessurreição, quando cada alma será recompensada segundo o que tiver feito, e não será injustiçada.
162_00	Equiparar-se-á quem tiver seguido o que apraz Deus com quem tiver suscitado a Sua indignação, cuja morada será oinferno? Que funesto destino!
163_00	Há distintos graus (de graça e de condenação), aos olhos de Deus, porque Deus, bem vê tudo quanto fazem.
164_00	Deus agraciou os fiéis, ao fazer surgir um Mensageiro da sua estirpe, que lhes ditou os Seus versículos, redimiu-os,
164_01	elhes ensinou o Livro e a Prudência, embora antes estivessem em evidente erro.
165_00	Qual! Ando sofreis um revés do adversário, embora inflijais outro duas vezes maior, dizeis: Donde nos provém isto? Responde-lhes: De vós mesmos. Sabei que Deus é Onipotente.
166_00	O que vos aconteceu, no dia do encontro das duas hostes, aconteceu com o beneplácito de Deus, para que sedistinguissem os verdadeiros fiéis;
167_00	E também se distinguissem os hipócritas, aos quais foi dito: Vinde lutar pela causa de Deus, ou defender-vos. Disseram: Se soubéssemos combater, seguir-vos-íamos!
167_01	Naquele dia, estavam mais perto da incredulidade do que da fé, porque diziam, com as suas bocas, o que não sentiam os seus corações. Porém, Deus bem sabe tudo quanto ocultam.
168_00	São os que, ficando para trás, dizem de sues irmãos: Se nos tivessem obedecido, não teriam sido mortos! Dize-lhes: Defendei-vos da morte, se estiverdes certos.
