001_00	Ó humanos, temei a vosso Senhor, porque a convulsão da Hora será logo terrível.
031_00	Consagrando-vos a Deus; e não Lhe atribuais parceiros, porque aquele que atribuir parceiros a Deus, será como sehouvesse sido arrojado do céu, como se o tivessem apanhado das aves, ou como se o vento o lançasse a um lugar longínquo.
032_00	Tal será. Contudo, quem enaltecer os símbolos de Deus, saiba que tal (enaltecimento) partirá de quem possuir piedadeno coração.
033_00	Neles (os animais) tendes benefícios, até um tempo prefixado; então, seu lugar de sacrifício será a antiga Casa.
034_00	Para cada povo temos instituído ritos (de sacrifício), para que invoquem o nome de Deus, sobre o que Ele agraciou, degado. Vosso Deus é Único; consagrai-vos, pois, a Ele.
034_01	E tu (ó Mensageiro), anuncia a bem-aventurança aos que sehumilham,
035_00	Cujos corações estremecem, quando o nome de Deus é Mencionado; os perseverantes, que suportam o que lhes sucede, são observantes da oração e fazem caridade daquilo com que agraciamos.
036_00	E vos temos designado (o sacrifício) dos camelos, entre os símbolos de Deus. Neles, tendes benefícios. Invocai, pois, onome de Deus sobre eles, no momento (do sacrifício), quando ainda estiverem em pé, e quando tiverem tombado.
036_01	Comei, pois, deles e daí de comer ao necessitado e ao pedinte. Assim vo-los sujeitamos, para que Nos agradeçais.
037_00	Nem suas carnes, nem seu sangue chegam até Deus; outrossim, alcança-O a vossa piedade. Assim vo-los sujeitou, paraque O glorifiqueis, por haver-vos encaminhado.
037_01	Anuncia, pois, a bem-aventurança aos benfeitores.
038_00	Em verdade, Deus defende os fiéis, porque Deus não aprecia nenhum pérfido e ingrato.
039_00	Ele permitiu (o combate) aos que foram atacados; em verdade, Deus é Poderoso para socorrê-los.
040_00	São aqüeles que foram expulsos injustamente dos seus lares, só porque disseram: Nosso Senhor é Deus!
040_01	E se Deus não tivesse refreado os instintos malignos de uns em relação aos outros, teriam sido destruídos mosteiros, igrejas, sinagogas e mesquitas, onde o nome de Deus é frequentemente celebrado.
040_02	Sabei que Deus secundará quem O secundar, em Sua causa, porque é Forte, Poderosíssimo.
041_00	São aqueles que, quando os estabelecemos na terra, observam a oração, pagam o zakat, recomendam o bem e proíbem oilícito. E em Deus repousa o destino de todos os assuntos.
042_00	Porém, se te desmentem (ó Mensageiros), o mesmo que fizeram, antes deles, os povos de Noé, de Ad e de Tamud.
043_00	(Assim também) o povo de Abraão e o povo de Lot.
044_00	E o povo de Madian (fez o mesmo); também foi desmentido Moisés. Então, tolerei os incrédulos; mas logo os castiguei, e que rigorosa foi a Minha rejeição!
045_00	Quantas cidades destruímos por sua iniqüidade, transformando-as em ruínas, com os poços e os castelos fortificadosabandonados!
046_00	Não percorreram eles a terra, para que seus corações verificassem o ocorrido? Talvez possam, assim, ouvir eraciocinar!
046_01	Todavia, a cegueira não é a dos olhos, mas a dos corações, que estão em seus peitos!
047_00	Pedem-te incessantemente a iminência do castigo; saibam que Deus jamais falta à sua promessa, porque um dia, para oteu Senhor, é como mil anos, dos que contais.
048_00	E quantas cidades iníquas temos tolerado! Mas logo as castigarei e a Mim será o destino.
049_00	Dize: Ó humanos, sou apenas um elucidativo admoestador para vós.
050_00	E os fiéis que praticarem o bem obterão um indulgência e um magnífico sustento.
051_00	Por outra, aqueles que se esforçarem em desacreditar os Nossos versículos serão os réprobos.
052_00	Antes de ti, jamais enviamos mensageiro ou profeta algum, sem que Satanás o sugestionasse em sua predicação;
052_01	porém, Deus anula o que aventa Satanás, e então prescreve as Suas leis, porque Deus é Sapiente, Prudentíssimo.
053_00	Ele faz das sugestões de Satanás uma prova, para aqueles que abrigam a morbidez em seus corações e para aqueles cujoscorações estão endurecidos, porque os iníquos estão em um cisma distante (da verdade)!
054_00	Quanto àqueles que receberam a ciência, saibam que ele (o Alcorão) é a verdade do teu Senhor; que
054_01	creiam nele e que seus corações se humilhem ante ele, porque Deus guia os fiéis até à senda reta.
055_00	Porém, os incrédulos não cessarão de estar em dúvida acerca dele, até que a Hora lhes chegue de improviso, ou osaçoite o castigo do dia nefasto.
056_00	A soberania, naquele dia, será de Deus, que julgará entre eles. Os fiéis que tiverem praticado o bem entrarão nos jardinsdo prazer.
057_00	Em troca, os incrédulos, que desmentirem os Nossos versículos, sofrerão um castigo ignominioso.
058_00	Aqueles que migraram pela causa de Deus e forma mortos, ou morreram, serão infinitamente agraciados por Ele, porqueDeus é o melhor dos agraciadores.
059_00	Em verdade, introduzi-los-á em um lugar que comprazerá a eles, porque Deus é tolerante, Sapientíssimo.
060_00	Assim será! Aquele que se desforrar um pouco de quem o injuriou e o ultrajou, sem dúvida Deus socorrerá, porque éAbsolvedor, Indulgentíssimo.
061_00	Isto, porque Deus insere a noite no dia e o dia na noite e é, ademais, Oniouvinte, Onividente.
062_00	Isto porque Deus é a Verdade; e o que invocam, em vez d'Ele, é a falsidade. Sabei que Ele é Grandioso, Altíssimo.
063_00	Porventura, não reparas em que Deus faz descer água do céu, tornando verdes os campos? Sabei que Deus é Onisciente, Sutilíssimo.
064_00	Seu é tudo quanto existe nos céus e quanto há na terra, porque é Opulento, Laudabilíssimo.
065_00	Não tens reparado em que Deus vos submeteu o que existe na terra, assim como as naves, que singram os mares por Sua vontade?
065_01	Ele sustém o firmamento, para que não caia sobre a terra, a não ser por Sua vontade, porque é, para com os humanos, Compassivo, Misericordiosíssimo.
066_00	E Ele é Quem vos dá a vida, então vos fará morrer, em seguida vos devolverá a vida. Em verdade, o homem é ingrato!
067_00	Temos prescrito a cada povo ritos a serem observados. Que não te refutem a este respeito! E invoca teu Senhor, porquesegues uma orientação correta.
068_00	Porém, se te refutam, dize-lhes: Deus sabe melhor do que ninguém o que fazeis!
069_00	Deus julgará entre vós, no Dia da Ressurreição, a respeito de vossas divergências.
070_00	Ignoras, acaso, que Deus conhece o que há nos céus e na terra? Em verdade, isto está registrado num Livro, porque éfácil para Deus.
071_00	E adoram, em vez de Deus, coisas, às quais Ele não concedeu autoridade alguma, e da qual não têm conhecimento algum; porém, os iníquos não terão nenhum protetor.
072_00	E quando lhes são recitados os Nossos lúcidos versículos, descobres o desdém nos semblantes dos incrédulos, chegandomesmo a ponto de se lançarem sobre aqueles que lhes recitam os Nossos versículos.
072_01	Dize: Poderia inteirar-vos de algo pior do que isto? É o fogo (infernal), que Deus prometeu aos incrédulos. E que funesto destino!
073_00	Ó humanos, eis um exemplo; escutai-o, pois: Aqueles que invocais, em vez de Deus, jamais poderiam criar uma mosca; ainda que, para isso, se juntassem todos.
073_01	E se a mosca lhe arrebatasse algo, não poderiam dela tirá-lo, porque tanto osolicitador como o solicitado, são impotentes.
074_00	Não aquilatam Deus como (Ele) merece. Saibam eles que Deus é Forte, Poderosíssimo.
075_00	Deus escolhe os mensageiros, entre os anjos e entre os humanos, porque é Oniouvinte, Onividente.
076_00	Ele conhece tanto o seu passado como o seu futuro, porque a Deus retornarão todas as coisas.
077_00	Ó fiéis, genuflecti, prostrai-vos, adorai vosso Senhor e praticai o bem, para que prospereis.
078_00	E combatei com denodo pela causa de Deus; Ele vos elegeu. E não vos impôs dificuldade alguma na religião, porque é ocredo de vosso pai, Abraão.
078_01	Ele vos denominou muçulmanos, antes deste e neste (Alcorão), para que o Mensageiro sejatestemunha vossa, e para que sejais testemunhas dos humanos.
078_02	Observai, pois, a oração, pagai o zakat e apegai-vos a Deus, Que é vosso Protetor. E que excelente Protetor! E que excelente Socorredor!
