001_00	Ha, Mim.
034_00	Jamais poderão equiparar-se a bondade e a maldade! Retribui (ó Mohammad) o mal da melhor forma possível, e eis queaquele que nutria inimizade por ti converter-se-á em íntimo amigo!
035_00	Porém a ninguém se concederá isso, senão aos tolerantes, e a ninguém se concederá isso, senão aos bem-aventurados.
036_00	Quando Satanás te incitar à discórdia, ampara-te em Deus, porque Ele é o Oniouvinte, o Sapientíssimo.
037_00	E, entre os Seus sinais, contam-se a noite e o dia, o sol e a lua.
037_01	Não vos prostreis ante o sol nem ante a lua, masprostrai-vos ante Deus, que os criou, se realmente é a Ele que quereis adorar.
038_00	Porém, se se ensoberbecerem, saibam que aqueles que estão na presença do teu Senhor glorificam-No noite e dia, semcontudo se enfadarem.
039_00	E entre os Seus sinais está a terra árida; mas quando fazemos descer a água sobre ela, eis que se reanima e se fertiliza.
039_01	Certamente, quem az faz reviver é o Mesmo Vivificador dos mortos, porque é Onipotente.
040_00	Em verdade, aqueles que negarem os Nossos versículos não se ocultarão de Nós. Quem será mais venturoso: o que forprecipitado no fogo ou o que comparecer, a salvo, no Dia da Ressurreição?
040_01	Agi como queirais, mas sabei que Ele bem vêtudo quanto fazeis!
041_00	Aqueles que degenerarem a Mensagem, ao recebê-la, (não se ocultarão d'Ele). Este é um Livro veraz por excelência.
042_00	A falsidade não se aproxima dele (o Livro), nem pela frente, nem por trás; é a revelação do Prudente, Laudabilíssimo.
043_00	Tudo quanto te dizem já foi dito aos mensageiros que te precederam. Saibam eles que o teu Senhor é Indulgente, maistambém possui um doloroso castigo.
044_00	E se houvéssemos revelado um Alcorão em língua persa, teriam dito: Por que não nos foram detalhados os versículos? Como!
044_01	Um (livro) persa e um (Mensageiro) árabe? Diz-lhes: Para os fiéis, é orientação e bálsamo; porém, para aqueles quenão crêem e estão surdos, é incompreensível, como se fossem chamados (para algo) de um lugar longínquo.
045_00	Havíamos concedido o Livro a Moisés, acerca do qual houve discrepâncias. Porém, se não tivesse sido por uma palavrapredita por teu Senhor, já os teria julgado; mas eles se mantiveram em uma dúvida inquietante, acerca disso.
046_00	Quem pratica o bem, o faz em benefício próprio; por outra, quem faz o mal, é em prejuízo seu, porque o teu Senhor não éinjusto para com os Seus servos.
047_00	Só a Ele concerne o conhecimento da Hora. E nenhum fruto sai do seu invólucro e nenhuma fêmea fica prenhe ou gera, sem o Seu conhecimento.
047_01	No dia em que Ele os convoca, (perguntará): Onde estão os parceiros que Me atribuístes? Dirão: Asseguramos-Te que nenhum de nós pode testemunhar!
048_00	E desvanecer-se-á tudo quanto haviam invocado antes, e se convencerão de que não terão escapatória.
049_00	O homem não se farta de implorar o bem; mas, quando o mal o açoita, ei-lo desesperado, desalentado.
050_00	Todavia, se depois de tê-lo açoitado a adversidade, o agraciamos com a Nossa misericórdia, dirá: Isto é (mérito) meu enão creio que a Hora chegue; e se retornar ao a meu Senhor, certamente obterei a Sua bem-aventurança.
050_01	Porém, inteiraremosos incrédulos de tudo quanto tiverem cometido e lhes infligiremos um severo castigo.
051_00	Mas quando agraciamos o homem, ele desdenha e se envaidece; em troca, quando o mal o açoita, eis que não cessa deNos suplicar!
052_00	Dize-lhes: Uma vez que (o Alcorão) emana de Deus e o rechaçais... haverá alguém mais extraviado do que aquele queestá em um profundo cisma?
053_00	De pronto lhes mostraremos os Nossos sinais em todas as regiões (da terra), assim como em suas próprias pessoas, atéque lhes seja esclarecido que ele (o Alcorão) é a verdade. Acaso não basta teu Senhor, Que é Testemunha de tudo?
054_00	Não é certo que estão em dúvida quanto ao comparecimento ante o seu Senhor? Acaso não é verdade que Deus éOnímodo?
