001_00	¡Hombres! Temed a vuestro Señor, pues en verdad el temblor de la Hora será algo terrible.
041_00	Esos que si les damos poder en la tierra establecen el salat, entregan el zakat y ordenan lo reconocido y prohiben lo reprobable.A Allah pertenece el resultado de los asuntos.
042_00	Y si niegan la verdad... Ya lo hicieron antes que ellos la gente de Nuh, Ad y Zamud.
043_00	Así como la gente de Ibrahim y la gente de Lut.
044_00	Y los compañeros de Madyan. Y también Musa fue tachado de mentiroso. Consentí por un tiempo a los que se negaban a creer pero luego los sorprendí.Y cómo fue Mi reprobación.
045_00	¡Cuántas ciudades que eran injustas hemos destruido quedando en ruinas sobre sus cimientos! ¡Y cuántos pozos quedaron desiertos y cuántos elevados palacios!
046_00	¿Es que no van por la tierra teniendo corazones con los que comprender y oídos con los que escuchar?
046_01	Y es verdad que no son los ojos los que están ciegos sino que son los corazones que están en los pechos los que están ciegos.
047_00	Te apremian con el castigo, pero Allah no falta a Su promesa.Es cierto que un día junto a tu Señor es como mil años de los que contáis.
048_00	A cuántas ciudades que eran injustas dejamos seguir para luego castigarlas. Hacia Mí se ha de volver.
049_00	Di: ¡Hombres! Yo sólo soy para vosotros un claro advertidor.
050_00	Los que crean y lleven a cabo las acciones de bien, tendrán perdón y una generosa provisión.
051_00	Y quienes se esfuerzan en eliminar Nuestros signos pensando que ganarán, ésos son los compañeros del Yahim.
052_00	Antes de ti no hemos enviado ningún mensajero ni profeta al que no le ocurriera que al recitar (lo que le era inspirado),
052_01	el Shaytán interpusiera algo en su recitación*.Pero Allah anula lo que el Shaytán inspira.Luego Allah afirma Sus signos y Allah es Conocedor, Sabio.
053_00	Para hacer de lo que infunde el Shaytán una prueba para los que tienen una enfermedad en el corazón y los que lo tienen endurecido.Es cierto que los injustos están en una profunda oposición.
054_00	Y para que sepan aquellos a los que se les ha dado el conocimiento que es la verdad que viene de tu Señor, crean en ello y se tranquilicen así sus corazones.
054_01	Realmente Allah es el Guía de los que creen y los conduce a un camino recto.
055_00	Y los que se niegan a creer no dejarán de dudar acerca de ello hasta que no les llegue de repente la Hora o el castigo de un día sin continuidad.
056_00	Ese día el dominio será de Allah que juzgará entre ellos.Los que hayan creído y llevado a cabo las acciones de bien estarán en los Jardines de la Delicia.
057_00	Y quienes hayan descreído y negado la verdad de Nuestros signos, ésos tendrán un castigo envilecedor.
058_00	Y los que hayan emigrado en el camino de Allah y luego los hayan matado o hayan muerto, Allah les dará una hermosa provisión; es cierto que Allah es el mejor en proveer.
059_00	Y les hará entrar por una entrada que les complacerá.Verdaderamente Allah es Conocedor, Benévolo.
060_00	Así es. Y quien devuelva una injusticia con otra semejante a la que se le hizo y luego se cometa algún abuso contra él, es cierto que Allah le ayudará. Allah es Indulgente, Perdonador.
061_00	Eso es porque Allah es Quien hace que la noche penetre en el día y el día penetre en la noche y porque Allah es Quien oye y Quien ve.
062_00	Eso es porque Allah es la Verdad y lo que invocáis aparte de Él es lo falso. Allah es el Excelso, el Grande.
063_00	¿Es que no ves que Allah hace que caiga agua del cielo y con ella reverdece la tierra? Verdaderamente Allah es Benévolo, Conocedor de lo más recóndito.
064_00	Suyo es lo que hay en los cielos y en la tierra y realmente Él es el Rico, el Digno de alabanza.
065_00	¿Es que no ves que Allah ha puesto a vuestro servicio todo lo que hay en la tierra, así como la nave que navega por el mar gracias a Su
065_01	mandato y que sostiene el cielo para que no caiga sobre la tierra a menos que sea con Su permiso?Es cierto que Allah es para todos los hombres Clemente y Compasivo.
066_00	Él es Quien os dio la vida, luego os hará morir y luego os dará la vida. En verdad el hombre es desagradecido.
067_00	A cada comunidad le hemos dado unos ritos que debe cumplir; que no te discutan las órdenes. Llama (a la gente) a tu Señor.Y ten la seguridad de que sigues una guía recta.
068_00	Y si te discuten, di: Allah sabe lo que hacéis.
069_00	Allah juzgará entre vosotros el Día del Levantamiento, sobre aquello en lo que discrepabais.
070_00	¿Es que no sabes que Allah conoce lo que hay en el cielo y en la tierra? Está todo en un Libro; verdaderamente eso es fácil para Allah.
071_00	Y adoran, fuera de Allah, aquello sobre lo que no se ha hecho descender ningún poder y sobre lo que carecen de conocimiento. No hay nadie que pueda auxiliar a los injustos.
072_00	Y cuando se les recitan Nuestros signos claros reconoces la repulsa en el rostro de los que se niegan a creer, poco les falta para abalanzarse contra los que recitan Nuestros signos.Di: ¿Queréis saber algo peor que eso?: El fuego que Allah ha prometido a los que se nieguen a creer!
072_01	¡Qué mal lugar de vuelta!
073_00	¡Hombres! Se os pone un ejemplo, prestadle atención: Los que invocáis fuera de Allah no serían capaces ni de crear una mosca, aunque se juntaran para ello.
073_01	Y si una mosca les quitara algo no podrían recuperarlo. ¡Qué débil buscador y qué débil buscado!
074_00	No han apreciado a Allah en Su verdadera magnitud.Realmente Allah es Fuerte, Irresistible.
075_00	Allah escoge mensajeros entre los ángeles y entre los hombres.Es verdad que Allah es Quien oye y Quien ve.
076_00	Sabe lo que hay por delante y lo que hay por detrás de ellos y a Él vuelven todos los asuntos.
077_00	¡Vosotros que creéis!: Inclinaos y postraos, adorad a vuestro Señor y haced el bien para que así podáis tener éxito.
078_00	Luchad por Allah como se debe luchar por Él.Él os ha elegido y no ha puesto ninguna dificultad en la práctica de Adoración;
078_01	la religión de vuestro padre Ibrahim, él os llamó antes musulmanes.El Mensajero es testigo para vosotros de ello así como vosotros lo sois
078_02	para los hombres.Así pues, estableced el salat, entregad el zakat y aferraos a Allah. Él es vuestro Dueño.¡Y qué excelente Dueño y qué excelente Protector!
