001_00	Ya, Sin*
056_00	Ellos y sus esposas estarán a la sombra y sobre lechos recostados.
057_00	En él tendrán fruta y todo lo que pidan.
058_00	Paz: Palabra de un Señor Compasivo.
059_00	Pero los que hicisteis el mal alejaos hoy.
060_00	¿Acaso no hice un pacto con vosotros, hijos de Adam, de que no adorarais al Shaytán? Realmente él es un enemigo declarado para vosotros.
061_00	¿Y que me adorarais a Mí? Esto es un camino recto.
062_00	Él ha extraviado a muchas comunidades de vosotros. ¿No vais a entender?
063_00	Esto es Yahannam, el que se os había prometido.
064_00	Entrad hoy en él por haberos negado a creer.
065_00	Hoy les sellaremos la boca y serán sus manos las que nos hablen y serán sus pies los que den testimonio de lo que se ganaron.
066_00	Si quisiéramos les borraríamos los ojos y aunque acudieran al camino, ¿cómo iban a ver?
067_00	Y si quisiéramos los dejaríamos paralizados en el sitio* y no podrían ni avanzar ni retroceder.
068_00	Al que le damos una vida larga le disminuimos en su constitución. ¿No vais a entender?
069_00	No le hemos enseñado poesía ni es propio de él; no es sino un Recuerdo y una Recitación clara.
070_00	Para advertir al que esté vivo y para que se haga realidad la palabra dictada contra los incrédulos.
071_00	¿Es que no ven que hemos creado para ellos, como parte de lo que Nuestras manos han hecho, animales de rebaño sobre los que tienen dominio?
072_00	Se los hemos subordinado y en ellos montan y de ellos comen.
073_00	Y en ellos tenéis utilidades y bebida. ¿No agradeceréis?
074_00	Han tomado, aparte de Allah, dioses para que les auxilien.
075_00	Pero no pueden auxiliarles, aunque son para ellos un ejército a su disposición*
076_00	Pero que no te entristezca lo que dicen, realmente sabemos lo que guardan en secreto y lo que declaran.
077_00	¿Es que no ve el hombre que lo hemos creado de una gota de esperma? Y sin embargo es un puro discutidor.
078_00	Nos pone un ejemplo olvidando que él mismo ha sido creado y dice: ¿Quién dará vida a los huesos cuando ya estén carcomidos?
079_00	Di: Les dará vida Quien los originó por primera vez, que es Quien conoce a cada criatura.
080_00	Él que os da fuego de la madera verde del árbol, haciendo que con ella encendáis*.
081_00	¿Acaso Quien creó los cielos y la tierra no iba a ser Capaz de crear algo como vosotros? Claro que sí, Él es el Creador, el Conocedor.
082_00	Realmente cuando quiere algo Su orden no es sino decirle: Sé, y es.
083_00	¡Gloria pues, a Aquel en Cuyas manos está el dominio de todas las cosas y a Quien habréis de regresar!
