001_00	Alif, Lam, Ra.Esos son los signos del Libro claro.
019_00	Y llegaron unos viajeros que enviaron por agua a su aguador, y cuando éste descolgó su cubo, exclamó: ¡Albricias! Aquí hay un muchacho. Y lo ocultaron como mercancía. Pero Allah sabía lo que hacían.
020_00	Y lo vendieron a bajo precio, unos cuantos dirhams, para deshacerse de él.
021_00	Y el que lo había comprado, que era de Misr, le dijo a su mujer: Hónralo mientras permanezca entre nosotros porque tal vez nos beneficie o quizás lo adoptemos como hijo.
021_01	Y así fue como le dimos una posición a Yusuf en la tierra y se hizo propicio que le enseñáramos la interpretación de los relatos.Allah es Invencible en Su mandato, sin embargo la mayoría de los hombres no lo saben.
022_00	Y cuando hubo alcanzado la madurez, le dimos sabiduría y conocimiento.Así es como recompensamos a los que hacen el bien.
023_00	Entonces aquélla en cuya casa estaba lo requirió, cerró las puertas y le dijo: Ven aquí. Él contestó: ¡Que Allah me proteja!
023_01	Mi Señor es el mejor refugio. Es cierto que los injustos no tienen éxito.
024_00	Ella lo deseaba y él la deseó, pero vio que era una prueba de su Señor. Fue así para apartar de él el mal y la indecencia.En verdad es uno de Nuestros siervos elegidos.
025_00	Ambos corrieron hacia la puerta y entonces ella le rasgó la túnica por detrás; y en esto se encontraron a su marido
025_01	junto a la puerta.Dijo ella: ¿Qué pago merece aquel que quiere mal para tu familia sino ser encerrado o recibir un doloroso castigo?
026_00	Dijo él: Ella me requirió. Y un testigo de la familia de ella sugirió: Si la túnica está rasgada por delante es que ella dice la verdad y él es de los que mienten,
027_00	pero si la túnica está rasgada por detrás, entonces es ella la que miente y él es de los que dicen la verdad.
028_00	Y cuando vío que la túnica estaba rasgada por detrás, dijo: Esta es una de vuestras artimañas (mujeres) pues es cierto que vuestra astucia es enorme.
029_00	¡Yusuf! Apártate de esto y tú (mujer) pide perdón por tu falta pues realmente has sido de las que cometen faltas.
030_00	Y dijo un grupo de mujeres en la ciudad: La mujer del Aziz* ha pretendido a su criado, el amor por él la ha llegado a lo más hondo y la vemos claramente perdida.
031_00	Cuando ella se enteró de sus maquinaciones las mandó llamar y les preparó acomodo. Les dio a cada una un cuchillo* y dijo: ¡Sal ahora ante ellas!
031_01	Y cuando lo vieron, se quedaron maravilladas y se cortaron en las manos sin darse cuenta.Dijeron: ¡Válganos Allah! Esto no es un ser humano sino un ángel noble.
032_00	Dijo: Aquí tenéis a aquel por quien me habéis censurado, yo lo solicité, pero él se
032_01	guardó; sin embargo, si no hace lo que le ordeno lo encarcelarán y quedará entre los humillados.
033_00	Dijo: ¡Señor mío! Prefiero la cárcel antes que aquello a lo que me invitan, pero si no alejas de mí sus artimañas cederé ante ellas y seré de los ignorantes.
034_00	Su Señor le respondió y lo apartó de sus astucias, es cierto que Él es Quien oye y Quien sabe.
035_00	Luego, a pesar de haber visto los signos, les pareció conveniente encarcelarlo por un tiempo.
036_00	Y con él entraron en la cárcel dos jóvenes criados.
036_01	Uno de ellos dijo: Me he visto (en sueños) haciendo vino. Y dijo el otro: Me he visto llevando sobre la cabeza un pan del que comían los pájaros.Dínos cual es su interpretación pues ciertamente vemos que eres de los que hacen el bien.
037_00	Dijo: No os llegará ninguna comida que sea parte de vuestra provisión sin que antes de que os haya llegado no os haya dicho en qué consiste, eso
037_01	es parte de lo que mi Señor me ha enseñado.Realmente abandoné la forma de Adoración de una gente que no creía en Allah y negaba la Última Vida.
038_00	Y seguí la forma de Adoración de mis padres Ibrahim, Ishaq y Yaqub.
038_01	No cabía en nosotros que asociáramos nada con Allah, eso es parte del favor de Allah para con nosotros y para los hombres; sin embargo la mayoría de ellos no son agradecidos.
039_00	¡Compañeros de cárcel! ¿Qué es mejor, (adorar a) señores distintos, o a Allah, el Único, el Dominante?
040_00	Lo que adorais fuera de Él no son sino nombres que vosotros y vuestros padres habéis dado y en los que Allah no ha hecho descender ningún poder.
040_01	El juicio sólo pertenece a Allah que ha ordenado que lo adoréis únicamente a Él.Esa es la Adoración recta, sin embargo la mayoría de los hombres no saben.
041_00	¡Compañeros de cárcel!
041_01	Uno de vosotros escanciará vino a su señor mientras que el otro será crucificado y los pájaros comerán de su cabeza. El asunto sobre el que me habéis consultado ha sido decretado.
042_00	Le dijo al que de los dos suponía salvado: Háblale de mí a tu señor. Pero el Shaytán hizo que se olvidara de mencionarlo*. Y permaneció en la cárcel varios años.
043_00	Y dijo el rey: He visto siete vacas gordas a las que comían siete flacas y siete espigas verdes y otras tantas secas.¡Nobles!
043_01	Dad un juicio sobre mi visión si podéis interpretar las visiones.
044_00	Dijeron: Es una maraña de ensueños y nosotros no conocemos la interpretación de los ensueños.
045_00	El que de los dos se había salvado, acordándose después, pasado un tiempo, dijo: Yo os diré su interpretación, dejadme ir.
046_00	¡Yusuf!
046_01	Tú que eres veraz, danos un juicio sobre siete vacas gordas a las que comen siete flacas y siete espigas verdes y otras tantas secas, para que regrese a la gente y puedan saber.
047_00	Dijo: Sembraréis como de costumbre siete años. La cosecha que recojáis dejadla en sus espigas a excepción de un poco de lo que comeréis.
048_00	Luego vendrán siete años difíciles que agotarán lo que hayáis acopiado para ellos a excepción de un poco que guardéis.
049_00	Luego vendrá un año en el que los hombres serán socorridos y en el que prensarán.
050_00	Y dijo el rey: ¡Traedlo ante mí!
050_01	Y cuando el mensajero llegó a él*, éste le dijo: Vuelve a tu Señor y pregúntale cómo fue que aquéllas mujeres se cortaron en las manos, ciertamente el rey conoce su artimaña.
051_00	Dijo: ¿Qué pasó cuando pretendisteis a Yusuf?
051_01	Dijeron: ¡Allah nos libre! No supimos nada malo de él.La mujer del Aziz dijo: Ahora se muestra la verdad, yo lo pretendí y ciertamente él es sincero.
052_00	Esto es para que se sepa que yo no lo traicioné en su ausencia y que Allah no guía la astucia de los traidores*.
053_00	Y yo no digo que mi alma sea inocente pues es cierto que el alma ordena insistentemente el mal, excepto cuando mi Señor tiene misericordia.Es verdad que mi Señor es Perdonador y Compasivo.
054_00	Y dijo el rey: ¡Traédmelo! que lo he elegido para mí.Y al ver cómo le hablaba, le dijo: En verdad, hoy gozas de posición ante nos y estás seguro.
055_00	Dijo: Ponme al cargo de las despensas del país, pues ciertamente soy buen guardián y conocedor.
056_00	Así es como dimos una posición a Yusuf en la tierra, en la que podía residir donde quisiera.Llegamos con Nuestra misericordia a quien queremos y no dejamos que se pierda la recompensa de los que hacen el bien.
057_00	Pero la recompensa de la Última Vida es mejor para los que creen y tienen temor (de Allah).
058_00	Y vinieron los hermanos de Yusuf, se presentaron ante él y él los reconoció aunque ellos no lo reconocieron.
059_00	Cuando les había suministrado sus provisiones les dijo: traedme a vuestro hermano de padre, ya veis que doy la medida cumplida (en el grano) y soy el mejor de los anfitriones.
060_00	Si no me lo traéis, no podréis abasteceros de mí, ni acercaros.
061_00	Dijeron: Persuadiremos a su padre para que nos lo deje; eso es lo que haremos.
062_00	Y les dijo a sus criados: Ponedles las mercancías que trajeron en las alforjas, para que las reconozcan al llegar a su gente y les haga regresar.*
063_00	Y cuando volvieron a su padre le dijeron: ¡Padre! Nos han dicho que no nos abastecerán más, permite que venga con nosotros nuestro hermano para que así nos abastezcan; y de verdad que cuidaremos de él.
064_00	Dijo: ¿Acaso os lo he de confiar como os confié antes a su hermano? Allah es mejor protección y Él es el más Misericordioso de los misericordiosos.
065_00	Y cuando abrieron sus alforjas descubrieron que se les habían devuelto las mercancías y dijeron: ¡Padre! ¿Qué más podemos desear?
065_01	Nos han devuelto las mercancías. Aprovisionaremos a nuestras familias, cuidaremos de nuestro hermano y tendremos la carga de un camello más. Eso es fácil.
066_00	Dijo: No lo enviaré con vosotros hasta que no os comprometáis jurando por Allah que me lo vais a traer,
066_01	excepto que puedan con todos vosotros.Y cuando hubieron dado su promesa, les dijo: Allah es Guardián de lo que decimos.
067_00	Y dijo: ¡Hijos míos!
067_01	No entréis por una sóla puerta, entrad por puertas distintas*. Yo no puedo hacer nada por vosotros frente a Allah.En verdad el juicio sólo pertenece a Allah, en Él me confío y que en Él se confíen los que confían.
068_00	Y entraron por donde su padre les había ordenado.
068_01	Aunque no les habría servido de nada ante Allah, pues no fue sino para que Yaqub satisfaciera una necesidad de su alma; y es cierto que él tenía un conocimiento procedente de lo que le habíamos enseñado.Sin embargo la mayoría de los hombres no saben.
069_00	Y cuando se presentaron ante Yusuf, éste llamó aparte a su hermano y le dijo: Yo soy tu hermano, no desesperes por lo que hicieron.
070_00	Y al abastecerles las provisiones puso una copa en la alforja de su hermano. Luego alguien exclamó: ¡Caravaneros, sois unos ladrones!
071_00	Dijeron volviéndose a ellos: ¿Qué habéis perdido?
072_00	Dijeron: Hemos perdido la copa del rey. Quien la encuentre tendrá la carga de un camello, lo garantizo.
073_00	Dijeron: ¡Por Allah! Sabéis perfectamente que no hemos venido a traer corrupción en la tierra ni somos ladrones.
074_00	Dijeron: Y si estáis mintiendo, ¿qué castigo os damos?
075_00	Contestaron: Que el castigo de aquel en cuyas alforjas se encuentre sea su propia persona. Así pagamos a los injustos.
076_00	Y comenzó por las alforjas de ellos antes que por la de su hermano para después sacar las alforjas de su hermano.Así fue como le enseñamos a Yusuf el ardid del que
076_01	se sirvió.No podía prender a su hermano según la ley* del rey, a menos que Allah quisiera.Elevamos en grados a quien queremos, y por encima de todo poseedor de conocimiento hay un Conocedor.
077_00	Dijeron: Si ha robado, ya robó antes un hermano suyo.Y Yusuf, sin mostrárselo a ellos,
077_01	dijo para sí mismo: Vosotros estáis en peor situación y Allah conoce lo que atribuís.
078_00	Dijeron: ¡Mi aziz!, él tiene un padre muy anciano, toma en su lugar a uno de nosotros, ciertamente vemos que eres de los que hacen el bien.
079_00	Dijo: Nos refugiamos en Allah de quedarnos con nadie que no sea aquel en cuyo poder encontramos nuestra propiedad, pues en ese caso seríamos injustos.
080_00	Y cuando hubieron perdido la esperanza se retiraron a deliberar.
080_01	Dijo el mayor de ellos: ¿Es que no sabéis que nuestro padre recibió de nosotros un compromiso ante Allah, además del descuido que antes tuvisteis con Yusuf?No saldré de esta tierra mientras no me lo permita mi padre o Allah juzgue a mi favor.
080_02	Y Él es el mejor de los jueces.
081_00	Regresad a vuestro padre y decidle: ¡Padre! Tu hijo ha robado, sólo damos fe de lo que conocemos y no estamos al cuidado de lo desconocido.
082_00	Pregunta en la ciudad en la que hemos estado y a la caravana con la que hemos venido. Es cierto que decimos la verdad.
083_00	Dijo: ¡No! Vuestras almas os han incitado a algo, pero hermosa paciencia. Puede que Allah me los traiga a todos a la vez, verdaderamente Él es el Conocedor y el Sabio.
084_00	Se apartó de ellos y dijo: ¡Qué pena siento por Yusuf! y sus ojos, de tristeza, se volvieron blancos mientras reprimía la ira de su dolor.
085_00	Dijeron: ¡Por Allah que no vas a dejar de recordar a Yusuf hasta consumirte o llegar a perecer!
086_00	Dijo: Yo sólo me lamento de mi dolor y de mi pena ante Allah y sé de Allah lo que no sabéis.
087_00	¡Hijos míos! Id e indagad acerca de Yusuf y de su hermano y no desesperéis de la misericordia de Allah, pues sólo desespera de la misericordia de Allah la gente que se niega a creer.
088_00	Y cuando se presentaron ante él, le dijeron: ¡Aziz!
088_01	Hemos sido tocados por la desgracia nosotros y nuestra familia y traemos una mercancia exigua; abastécenos dándonos la medida completa y sé generoso con nosotros. Es cierto que Allah recompensa a los que dan con generosidad.
089_00	Dijo: ¿Sabéis lo que hicisteis con Yusuf y con su hermano mientras erais ignorantes?
090_00	Dijeron: ¿Tú eres Yusuf?
090_01	Dijo: Yo soy Yusuf y éste es mi hermano. Allah nos ha favorecido.Quien tiene temor (de Allah) y tiene paciencia...es verdad que Allah no deja que se pierda la recompensa de los que hacen el bien.
091_00	Dijeron: ¡Por Allah! que Allah te ha preferido sobre nosotros y es cierto que hemos cometido maldades.
092_00	Dijo: No hay ningún reproche contra vosotros; hoy Allah os ha perdonado y Él es el más Misericordioso de los misericordiosos.
093_00	Marchad llevándoos esta túnica mía y echadla sobre el rostro de mi padre que así volverá a ver y traedme a toda vuestra familia.
094_00	Y cuando la caravana hubo partido, dijo su padre: Percibo el olor de Yusuf, aunque penséis que estoy desvariando.
095_00	Dijeron*: ¡Por Allah! que has vuelto a tu antigua perdición*.
096_00	Y cuando llegó el portador de las buenas noticias; se la echó sobre la cara* y recuperó la vista.Y dijo: ¿No os dije que sabía de Allah lo que no sabéis?
097_00	Dijeron: ¡Padre! Perdona nuestras faltas, realmente hemos cometido maldades.
098_00	Dijo: Pediré perdón por vosotros a mi Señor pues es verdad que Él es el Perdonador, el Compasivo.
099_00	Y cuando se presentaron ante Yusuf, éste abrazó a sus padres y dijo: Entrad en Misr, si Allah quiere, seguros.
100_00	Subió a sus padres sobre el trono y cayeron postrados en (reverencia) ante él, dijo: ¡Padre mío! Esta es la interpretación de mi visión anterior, mi
100_01	Señor ha hecho que se realizara y me favoreció al sacarme de la prisión y al haberos traído a mí desde el desierto después de que
100_02	el Shaytán hubiera sembrado la discordia entre mí y mis hermanos.Realmente mi Señor es Benévolo en lo que quiere y es cierto que es el Conocedor, el Sabio.
101_00	¡Señor mío!
101_01	Me has dado soberanía y me has enseñado a interpretar los relatos.Tú que creaste los cielos y la tierra, eres mi Protector en esta vida y en la Última. Haz que muera sometido a Ti y reúneme con los justos.
102_00	Eso forma parte de las noticias del No-Visto que te inspiramos, tú no estabas junto a ellos cuando decidieron y tramaron su asunto.
103_00	Pero la mayor parte de los hombres, aunque tú* lo ansíes, no son creyentes.
104_00	Y no les pides ningún pago a cambio. No es sino un recuerdo para los mundos.
105_00	¡Cuántos signos hay en los cielos y en la tierra! Pasan delante de ellos y se apartan.
106_00	La mayoría de ellos no creen en Allah y son asociadores.
107_00	¿Acaso están libres de que les llegue algo del castigo de Allah que los envuelva; o de que les llegue la hora de repente sin darse cuenta?
108_00	Di: Este mi camino. Llamo a (la adoración) de Allah basado en una clara visión, tanto yo como los que me siguen.Y ¡Gloria a Allah! Yo no soy de los que asocian.
109_00	Antes de ti no hemos enviado sino hombres, sacados de la gente de las ciudades, a los que se les inspiró.¿Es que no han ido por la tierra y han visto cómo terminaron los que hubo antes de ellos?Realmente la Morada de la Última Vida es mejor para aquéllos que tienen temor (de Allah).
109_01	¿Es que no vais a razonar?
110_00	Incluso cuando Nuestros mensajeros habían ya desesperado, creyendo que habían sido negados definitivamente, llegó a ellos Nuestro auxilio y salvamos a quien quisimos.Nuestro castigo no se aparta de la gente que hace el mal.
111_00	En su historia hay una lección para los que saben reconocer lo esencial.Y no es un relato inventado, sino una confirmación
111_01	de lo que ya tenían, una aclaración precisa de cada cosa y una guía y una misericordia para gente que cree.
