001_00	Alif, Lam, Mim
024_00	Y la única respuesta de su gente fueron las palabras: ¡Matadlo o quemadlo! Pero Allah lo salvó del fuego, realmente en eso hay signos para gente que cree.
025_00	Y dijo: Lo que habéis tomado fuera de Allah, por el amor que existe en vosotros por la vida del mundo, no son mas que
025_01	ídolos; pero después, el Día del Levantamiento, renegaréis unos de otros y os maldeciréis mutuamente.Vuestro refugio será el Fuego y no tendréis quien os auxilie.
026_00	Y Lut creyó en él y dijo: He de emigrar por mi Señor, es cierto que Él es el Inigualable, el Sabio.
027_00	Le concedimos a Ishaq y a Yaqub, y le dimos a su descendencia la Profecía y el
027_01	Libro, y le dimos a él su recompensa en esta vida.Verdaderamente en la Otra estará con los justos.
028_00	Y Lut, cuando dijo a su gente: Estáis cometiendo una indecencia que ninguna criatura ha cometido antes.
029_00	¿Cómo podéis buscar a los hombres, asaltar los caminos y hacer cosas reprobables en vuestras reuniones?
029_01	Pero la única respuesta de su gente fueron las palabras: Tráenos el castigo de Allah si es verdad lo que dices.
030_00	Dijo: ¡Señor mío! Ayúdame contra la gente corruptora.
031_00	Y cuando llegaron Nuestros emisarios a Ibrahim llevando la buena noticia, dijeron:Vamos a destruir a los habitantes de esta ciudad puesto que sus habitantes son injustos.
032_00	Dijo: Lut está en ella. Dijeron: Nosotros sabemos mejor quién está en ella. A él y a su familia los salvaremos con la excepción de su mujer, que será uno de los que se queden atrás.
033_00	Y cuando se presentaron Nuestros emisarios, Lut se entristeció a causa de ellos y se angustió.Le dijeron: No temas ni te entristezcas pues en verdad
033_01	nosotros vamos a salvarte a ti y a tu familia con la excepción de tu mujer, que será uno de los que se queden atrás.
034_00	Vamos a hacer que baje un castigo del cielo contra los habitantes de esta ciudad por haberse pervertido.
035_00	Es verdad que hicimos de ella un signo claro para la gente que entendiera.
036_00	Y a los Madyan (les enviamos) a su hermano Shuayb, que dijo: ¡Gente mía! Adorad a Allah y estad a la espera del Último Día, y no hagáis el mal en la tierra como corruptores.
037_00	Pero lo negaron y les agarró la Sacudida, y amanecieron en sus hogares caídos de bruces.
038_00	Y los Ad y los Zamud. Lo podéis ver con claridad en sus moradas. El Shaytán les embelleció sus acciones y los desvió del camino a pesar de que tenían visión.
039_00	Y Qarún, Firaún y Haman. Musa les trajo las pruebas evidentes pero se llenaron de soberbia en la tierra y no pudieron adelantarse (escapar).
040_00	A cada uno le castigamos por sus faltas.A unos les mandamos un viento huracanado, a otros
040_01	les agarró el Grito, a otros hicimos que se los tragara la tierra y a otros
040_02	los ahogamos. Allah no fue injusto con ellos en nada sino que fueron ellos mismos los injustos.
041_00	Los que han tomado fuera de Allah protectores son como la araña que se ha hecho una
041_01	casa.Y sin duda la casa de la araña es la más frágil de las casas, si supieran.
042_00	Allah conoce lo que invocáis fuera de Él. Él es el Irresistible, el Sabio.
043_00	Esas son las semblanzas con las que llamamos la atención de los hombres, pero sólo los que saben las comprenden.
044_00	Allah creó los cielos y la tierra con la verdad. Realmente en ello hay un signo para los creyentes.
045_00	Recita lo que se te ha inspirado del Libro y establece el salat, es cierto que el salat
045_01	impide la indecencia y lo reprobable.Pero el recuerdo de Allah es mayor*, y Allah sabe lo que hacéis.
046_00	Y no discutas con la gente del Libro sino de la mejor manera, a excepción de los que hayan sido injustos.*Y decid: Creemos
046_01	en lo que os ha hecho descender a vosotros, nuestro Dios y vuestro Dios es Uno y nosotros estamos sometidos a Él (somos musulmanes).
047_00	Y del mismo modo hemos hecho que te descendiera a ti el Libro; de manera que aquéllos a los que les habíamos dado el Libro creen en él y algunos de éstos también creen en él.
047_01	Sólo los que se niegan a creer niegan Nuestros signos.
048_00	Antes de él ni leías ni escribía tu mano ningún libro. Si hubiera sido así, los que dicen falsedades habrían tenido dudas.
049_00	Por el contrario, en los pechos de aquéllos a los que se les dio conocimiento, son signos evidentes. Sólo los injustos niegan Nuestros signos.
050_00	Y dicen: ¿Por qué no se le hacen descender signos procedentes de su Señor? Di: Los signos están junto a Allah y yo sólo soy un advertidor claro.
051_00	¿Es que no les basta que hayamos hecho que te descendiera el Libro que recitas?Verdaderamente en él hay misericordia y recuerdo para la gente que cree.
052_00	Di: Allah es suficiente Testigo entre vosotros y yo, Él conoce lo que hay en los cielos y en
052_01	la tierra.Y aquéllos que creen en lo falso y se han negado a creer en Allah, ésos son los perdedores.
053_00	Te están pidiendo que te apresures en traerles el castigo; y de no ser porque hay un plazo fijado, el castigo les llegaría y los agarraría de repente sin que lo advirtieran.
054_00	Te urgen a que les muestres el castigo cuando en realidad Yahannam rodea a los incrédulos.
055_00	El día en que el castigo los envuelva por arriba y bajo sus pies y diga: ¡Gustad lo que hacíais!
056_00	¡Siervos míos que creéis! ¡Ancha es Mi tierra, adoradme sólo a Mí!
057_00	Toda alma ha de gustar la muerte, luego regresaréis a Nosotros.
058_00	Y a los que hayan creído y llevado a cabo las acciones de bien los hospedaremos en elevadas estancias del Jardín por cuyo suelo corren los ríos y en el que serán inmortales. ¡Qué excelente recompensa la de los que actúan!
059_00	Los que fueron pacientes y se confiaron en su Señor.
060_00	¿A cuántos animales que no llevan consigo su provisión, Allah los provee, al igual que hace con vosotros?Él es Quien oye y Quien sabe.
061_00	Y si les preguntas quién creó los cielos y la tierra y subordinó al sol y a la luna, sin duda que dirán: Allah.¿Cómo entonces inventan?
062_00	Allah hace abundante la provisión para quien quiere de Sus siervos y la hace restringida (para quien quiere).Realmente Allah tiene conocimiento de todas las cosas.
063_00	Y si les preguntas quién hace que caiga agua del cielo con la que da vida a la tierra después de haber estado muerta, dirán sin duda: Allah.
063_01	Di: Las alabanzas pertenecen a Allah, pero la mayor parte de los hombres no entienden.
064_00	La vida del mundo no es sino juego y distracción, la verdadera vida es la morada de la Última Vida, si supieran.
065_00	Y cuando embarcan en la nave invocan a Allah con un reconocimiento sincero de que sólo Él debe ser adorado; pero cuando los ponemos a salvo en la tierra, Le asocian copartícipes.
066_00	Pero que renieguen con ingratitud de lo que les damos y disfruten, que ya sabrán.
067_00	¿Es que no ven que hemos hecho un lugar inviolable y seguro,* fuera del cual la gente alrededor comete todo tipo de fechorías?¿Van a creer en lo falso negando la merced de Allah?
068_00	¿Hay alguien más injusto que aquel que inventa una mentira contra Allah y niega la verdad cuando le llega?¿No es Yahannam refugio para los que se niegan a creer?
069_00	A los que luchan por Nosotros, les guiaremos a Nuestro camino, es cierto que Allah está con los que hacen el bien.
