001_00	¡Hombres!
012_01	de lo que dejen, una vez se haya cumplido cualquier legado que hayan dispuesto o el pago de alguna deuda.Y a ellas les corresponde un cuarto
012_02	de lo que dejéis si no tuvierais ningún hijo; pero si lo tuvierais, entonces una octava parte de lo que dejéis, una vez se hayan cumplido
012_03	los legados que hayáis testado y pagado las deudas que tuvierais.Y si un hombre o una mujer, de los que se puede heredar, muere y no
012_04	tiene ni padres ni hijos, pero sí un hermano o hermana, entonces a cada uno le corresponde la sexta parte. Y si fueran más, habrían de
012_05	compartir un tercio; una vez cumplidos los legados que hubiera dispuesto y pagadas las deudas que tuviera, sin perjuicio de nadie.Esto es un mandamiento de Allah, y Allah es Conocedor, Sabio.
013_00	Estos son los límites establecidos por Allah.Quien obedezca a Allah y a Su mensajero, Él le hará entrar en jardines por cuyo suelo corren los ríos donde serán inmortales.Ese es el gran triunfo.
014_00	Y quien desobedezca a Allah y a Su mensajero y traspase Sus límites, le hará entrar en un Fuego en el que será inmortal y tendrá un castigo denigrante.
015_00	Aquéllas de vuestras mujeres que se presenten con una indecencia*, buscad cuatro testigos de entre vosotros, y si dan
015_01	testimonio contra ellas, retenedlas en las casas hasta que la muerte se las lleve o Allah les dé una salida.
016_00	Y a aquellos dos de vosotros* que la cometan, maltratadlos, pero si se arrepienten y se corrigen, dejadlos; es cierto que Allah acepta el arrepentimiento y es Compasivo.
017_00	Allah se compromete a aceptar el arrepentimiento sólo en favor de aquéllos que hacen el mal por ignorancia y luego, al poco, se vuelven atrás arrepentidos.
017_01	A ésos Allah les devuelve Su favor; Allah es siempre Conocedor y Sabio.
018_00	Pero no se les aceptará el arrepentimiento a los que habiendo llevado a cabo malas acciones, cuando se les
018_01	presente la muerte digan: "Ahora me arrepiento"; ni a los que mueran siendo incrédulos.Para ésos hemos preparado un castigo doloroso.
019_00	¡Vosotros que creéis!
019_01	No os está permitido heredar las mujeres por la fuerza ni que les pongáis impedimentos para llevaros parte de lo que les disteis*; excepto que hayan cometido un acto probado de indecencia.
019_02	Convivid con ellas según lo reconocido y si os disgustan, tal vez os esté disgustando algo en lo que Allah ha puesto mucho bien.
020_00	Y si queréis cambiar de esposa* y le habéis dado una gran dote, no toméis nada de ello.¿Seréis capaces de hacerlo con falsedad y cometiendo un delito evidente?
021_00	¿Y cómo podríais hacerlo después de haber tenido intimidad el uno con el otro y habiendo recibido ellas un compromiso firme por vuestra parte?
022_00	Y no os caséis con aquéllas mujeres con las que vuestros padres hayan estado casados, con la excepción de lo que ya esté hecho.Ciertamente es algo indecente y detestable, y un mal camino.
023_00	Se os prohiben vuestras madres, hijas, hermanas, tías paternas, tías maternas, las hijas de vuestro hermano, las hijas de vuestra hermana, vuestras madres de leche que os amamantaron,
023_01	vuestras hermanas de leche, las madres de vuestras esposas y las hijastras que estén bajo vuestra protección*, que sean hijas de mujeres que hayáis tenido y con las
023_02	que hayáis llegado a cohabitar, porque si son de mujeres que habéis tenido con las que no habéis cohabitado, entonces no hay inconveniente.Y las esposas de vuestros hijos
023_03	de sangre, así como que estéis casados con dos hermanas a un tiempo, a excepción de lo que ya esté hecho.Es cierto que Allah es Perdonador y Compasivo.
024_00	Y las mujeres casadas, a excepción de las que posea vuestra diestra*.
024_01	Es una prescripción de Allah para vosotros.Aparte de esto se os permite que busquéis (esposas) con vuestros bienes como hombres honrados, no como fornicadores.
024_02	Y puesto que gozáis de ellas, dadles la dote como está mandado* y más allá de este mandato, no incurrís en falta en lo que hagáis de mutuo acuerdo.
024_03	Es cierto que Allah es Conocedor, Sabio.
025_00	Y el que de vosotros no tenga medios suficientes para casarse con mujeres libres creyentes, que lo haga con esclavas creyentes que
025_01	poseáis. Allah conoce mejor vuestra creencia.Unos procedéis de otros.Casaos pues con ellas con el permiso de sus familias y dadles lo que
025_02	les corresponde tal y como está establecido, como a mujeres decentes, no como si fueran fornicadoras o de las que toman amantes.Y
025_03	una vez estén en la protección del matrimonio*, si cometen un acto de indecencia*, tendrán la mitad del castigo* que las mujeres
025_04	libres.Esto es válido para quien de vosotros tema caer en la fornicación. Pero es mejor para vosotros que tengáis paciencia.Allah es Perdonador y Compasivo.
026_00	Allah quiere aclararos y mostraros los modelos de conducta de los que os precedieron para que os sirvan de guía. Y quiere volverse a vosotros con Su favor. Allah es Conocedor y Sabio.
027_00	Y Allah quiere volverse a vosotros con Su favor pero los que siguen los apetitos quieren que caigáis en una gran desviación.
028_00	Allah quiere aliviaros, ya que el hombre fue creado débil.
029_00	¡Vosotros que creéis!
029_01	No os apropiéis de los bienes de otros por medio de falsedad, sino a través de transacciones que os satisfagan mutuamente.Y no os matéis a vosotros mismos* pues Allah es siempre Compasivo con vosotros.
030_00	Quien haga esto, transgrediendo y siendo injusto, le haremos entrar en un Fuego. Y eso es fácil para Allah.
031_00	Si evitáis las faltas graves que os hemos prohibido, os cubriremos vuestras malas acciones y os haremos entrar por una entrada noble.
032_00	No ansiéis aquello con lo que Allah ha favorecido a unos sobre otros. Los hombres tendrán una parte de lo que se hayan ganado y las mujeres tendrán una parte de lo que se hayan ganado.
032_01	Pedidle a Allah Su favor. Realmente Allah es Conocedor de todas las cosas.
033_00	Para todos hemos establecido beneficiarios de lo que dejan los padres y los parientes próximos.Y a aquéllos
033_01	con los que hicisteis anteriormente algún pacto jurado, dadles su parte.Allah es Testigo de todas las cosas*.
034_00	Los hombres están al cargo de las mujeres en virtud de la preferencia que Allah ha dado a unos sobre otros y en virtud de
034_01	lo que (en ellas) gastan de sus riquezas.Las habrá que sean rectas, obedientes y que guarden, cuando no las vean, aquello que Allah manda guardar.Pero
034_02	aquéllas cuya rebeldía temáis*, amonestadlas, no os acostéis con ellas, pegadles; pero si os obedecen, no busquéis ningún medio contra ellas.Allah es siempre Excelso, Grande.
035_00	Y si teméis una ruptura entre ambos, nombrad un árbitro de la familia de él y otro de la familia
035_01	de ella.Y si quieren reconciliarse, Allah propiciará su reconciliación.Es cierto que Allah es Quien sabe y conoce lo más recóndito.
036_00	Adorad a Allah sin asociar nada con Él y haced el bien a vuestros padres, así como a
036_01	los parientes, a los huérfanos, a los pobres, a los vecinos próximos*, a los vecinos distantes, al compañero,
036_02	al viajero y a los esclavos que poseáis.Es cierto que Allah no ama a los engreídos y jactanciosos,
037_00	(Ésos) que son avaros, mandan a los hombres la avaricia y ocultan lo que, de Su favor, Allah les ha dado.Hemos preparado para los incrédulos un castigo denigrante.
038_00	Los que dan de sus bienes por aparentar ante la gente, pero no creen en Allah ni en el Último Día.Quien tenga al Shaytán como compañero, ¡y qué mal compañero!
039_00	¿Qué les costaría creer en Allah y en el Último Día y dar de lo que Allah les ha proveído? Allah los conoce bien.
040_00	Allah no es injusto ni en el peso de lo más pequeño, y cualquier buena acción la multiplicará, por Su parte, con una enorme recompensa.
041_00	¿Y qué pasará cuando traigamos a un testigo de cada comunidad y te traigamos a ti* como testigo sobre éstos?
042_00	Ese día, los que se negaron a creer y desobedecieron al Mensajero, desearán que se los trague la tierra, y no le ocultarán a Allah una sola palabra.
043_00	¡Vosotros que creéis! No os acerquéis al salat ebrios, hasta que no sepáis lo que decís; ni
043_01	impuros -salvo que estéis de paso-* hasta que no os lavéis.Y si estáis enfermos o de viaje
043_02	o viene alguno de vosotros de hacer sus necesidades o habéis tenido relación con las mujeres y
043_03	no encontráis agua, procuraos tierra limpia y pasáosla por la cara y las manos.Es cierto que Allah es Indulgente, Perdonador.
044_00	¿No has visto a los que recibieron una parte del Libro cómo compran el extravío y quieren que te extravíes del camino?
045_00	Pero Allah conoce mejor a vuestros enemigos.Allah es Suficiente Aliado y Suficiente Defensor.
046_00	Algunos de los que practican el judaísmo tergiversan las palabras* y dicen: ¡Oímos y desobedecemos! ¡Oye pero no entiendas!
046_01	¡Raina!* Dándole un doble sentido con sus lenguas y ofendiendo la Práctica de Adoración.Si dijeran: ¡Oímos y obedecemos! ¡Oye!
046_02	¡Míranos! Sería mejor para ellos y más justo; pero Allah los maldice por su incredulidad. Son pocos los que creen.
047_00	¡Vosotros que habéis recibido el Libro!
047_01	¡Creed en lo que hemos hecho descender, que es una confirmación de lo que ya teníais, antes de que os borremos las facciones de la cara y la pongamos del revés u os maldigamos como maldijimos a la gente del sábado*. El mandato de Allah está hecho.
048_00	Es cierto que Allah no perdona que se Le asocie con nada, pero, fuera de eso, perdona a quien quiere. Y quien atribuya asociados a Allah, habrá forjado una falsedad incurriendo en un enorme delito...
049_00	¿No has visto a los que se consideran a sí mismos puros? Sin embargo Allah purifica a quien quiere.No se les hará ni una brizna de injusticia*
050_00	Mira cómo inventan mentiras sobre Allah. No hace falta un delito más evidente.
051_00	¿Acaso no has visto a los que se les dio parte del Libro cómo creen en al-Yibt y al-Tagut*
051_01	y dicen de los que niegan la creencia: estos tienen mejor guía en su camino que los que creen?
052_00	A ésos Allah los ha maldecido y al que Allah maldice no encontrarás quien le auxilie.
053_00	¿Es que acaso poseen algo de la Soberanía?Si fuera así, no les darían a los hombres ni un hueso de dátil.
054_00	¿O, por el contrario, sienten envidia de los hombres por lo que Allah les ha dado de Su favor? A los descendientes de Ibrahim les dimos el Libro y la Sabiduría y les dimos un gran dominio.
055_00	Entre ellos, algunos creen en él y otros se apartan. Yahannam les bastará como fuego abrasador.
056_00	A los que se hayan negado a creer en Nuestros signos, los arrojaremos a un Fuego, y cada vez
056_01	que les queme la piel, se la cambiaremos por otra, para que prueben el castigo.Allah es siempre Irresistible, Sabio.
057_00	Y a los que creen y practican las acciones de bien, les haremos entrar en jardines por cuyo suelo
057_01	corren los ríos; allí serán inmortales para siempre, tendrán esposas puras y les pondremos al amparo de una apacible umbría.
058_00	Allah os ordena devolver los depósitos a sus dueños y que cuando juzguéis entre los hombres lo hagáis con
058_01	justicia.¡Que bueno es aquello a lo que Allah os exhorta!Es cierto que Allah es Quien oye y Quien ve.
059_00	¡Vosotros que creéis!
059_01	Obedeced a Allah, obedeced al Mensajero y a aquéllos de vosotros que tengan autoridad.Y si disputáis sobre algo, remitidlo a Allah y al Mensajero, si creéis en Allah y en el Último Día.Esto es preferible y tiene mejor resultado.
060_00	¿No has visto a los que dicen creer en lo que se te ha hecho descender y en lo que se hizo descender antes de
060_01	ti?Quieren recurrir a ese impostor* a pesar de que se les ha ordenado no creer en él.El Shaytán quiere que se pierdan en un lejano extravío.
061_00	Y cuando se les dice: Venid a lo que Allah ha hecho descender y al Mensajero, ves a los hipócritas rehuirte con desdén.
062_00	¿Qué harán cuando les ocurra una desgracia a causa de lo que sus manos presentan? Luego vendrán a ti jurando por Allah: sólo queríamos el bien y la concordia.
063_00	De ésos Allah sabe lo que tienen en el corazón. Así pues, mantente apartado de ellos, adviérteles y diles sobre sí mismos palabras que les lleguen.
064_00	Y no hemos enviado a ningún mensajero sino
064_01	para que fuera obedecido con el permiso de Allah.
065_00	Pero no, por tu Señor que no creerán hasta que no te acepten como árbitro en todo lo que sea motivo de litigio entre ellos y luego no encuentren en sí mismos nada que les impida aceptar lo que decidas y se sometan por completo.
066_00	Si les hubiéramos ordenado que se mataran o que abandonaran sus casas, sólo unos pocos lo habrían hecho.Pero hubiera
066_01	sido mejor para ellos haber hecho aquello a lo que se les exhortó y hubiera sido una afirmación más fuerte*.
067_00	De ser así les hubiéramos dado por Nuestra parte una enorme recompensa
068_00	y los habríamos guiado por un camino recto.
069_00	Quien obedezca a Allah y al Mensajero, ésos estarán junto a los que Allah ha favorecido: los profetas, los veraces, los que murieron dando testimonio y los justos.
069_01	¡Y qué excelentes compañeros!
070_00	Ese es el favor de Allah. Allah basta como Conocedor.
071_00	¡Vosotros que creéis! Tomad vuestras precauciones y salid a combatir en grupos o todos juntos.
072_00	Entre vosotros hay quien se queda atrás, y si os ocurre algún percance dice: Allah me ha agraciado por no haber estado allí con ellos.
073_00	Pero si os llega un favor de Allah seguro que dirá, como si ningún afecto os uniera: ¡Ay de mí! Si hubiera estado con ellos habría logrado un gran triunfo.
074_00	Que combatan en el camino de Allah aquéllos que dan la vida de este mundo a cambio de la otra.
074_01	Y a quien combata en el camino de Allah, ya muera o resulte victorioso, le daremos una enorme recompensa.
075_00	¿Y cómo es que no combatís en el camino de Allah, mientras esos hombres, mujeres y niños oprimidos, dicen: ¡Señor nuestro!
075_01	Sácanos de esta ciudad* cuyas gentes son injustas y danos, procedente de Ti, un protector y un auxiliador?
076_00	Los que creen, combaten en el camino de Allah, y los que se niegan a creer, combaten en el camino del Rebelde.¡Combatid a los aliados del Shaytán!
076_01	Ciertamente la trampa del Shaytán es débil.
077_00	¿No has visto a los que se les dijo: Contened vuestras manos, estableced el salat y entregad el zakat?Y cuando
077_01	se les mandó combatir, algunos de ellos, temieron a los hombres como se teme a Allah o aún más y
077_02	dijeron: ¡Señor nuestro! ¿Por qué nos mandas combatir? ¿Y si nos dieras un pequeño plazo?Di: La posesión en disfrute de
077_03	esta vida es poca cosa; la Última Vida es mejor para quien es temeroso.No se os hará ni una brizna de injusticia.
078_00	Dondequiera que estéis, incluso si estáis en torres fortificadas, os alcanzará la muerte.Si les ocurre algo bueno dicen: Esto viene de Allah, pero si les ocurre algo malo, dicen: Esto viene de ti*.Di: Todo viene de Allah.
078_01	¿Qué le pasa a esta gente que apenas comprende lo que se les dice?
079_00	Lo bueno que te ocurre viene de Allah y lo malo, de ti mismo.Te hemos enviado a los hombres como Mensajero y Allah basta como Testigo.
080_00	Quien obedece al Mensajero está obedeciendo a Allah.Y quien le da la espalda... No te hemos enviado a ellos para que seas su guardián.
081_00	Y dicen: Obediencia.Pero cuando se alejan de ti, hay un grupo de ellos que trama por la noche en contra de
081_01	lo que dices.Pero Allah escribe lo que traman, así pues, apártate de ellos y confíate a Allah, Allah basta como Protector.
082_00	¿Es que no han reparado en el Corán?Si procediera de otro que Allah, hallarían en él muchas contradicciones.
083_00	Y cuando les llega algún rumor que puede afectar a la seguridad o infundir miedo, lo propagan.Si lo remitieran al
083_01	Mensajero o a los que entre ellos tienen mando, lo sabrían los que de ellos están en condiciones de hacer
083_02	averiguaciones*.Y si no fuera por el favor que recibís de Allah y por Su misericordia, todos, salvo unos pocos, seguiríais al Shaytán.
084_00	Combate en el camino de Allah, no te exijas sino a ti mismo y anima a los creyentes; puede ser que
084_01	Allah detenga la violencia de los que se niegan a creer.Y Allah tiene más violencia y Su castigo es más intenso.
085_00	Quien interceda por otro para bien tendrá lo que le corresponda de ello y quien lo haga para mal, tendrá lo que le corresponda de ello.Allah le da a cada cosa lo que le corresponde.
086_00	Y cuando os dirijan un saludo, corresponded con uno mejor que él o simplemente devolvedlo, es cierto que Allah tiene en cuenta todas las cosas.
087_00	Allah, no hay dios sino Él. Os reunirá para el Día del Levantamiento, del cual no hay duda.¿Y quién tiene una palabra más verídica que Allah?
088_00	¿Por qué os dividís en dos grupos con respecto a los hipócritas?
088_01	Allah los ha devuelto a su condición primera* a causa de lo que se han ganado.¿Es que pretendéis guiar a quien Allah ha extraviado?No encontrarás camino para quien Allah ha extraviado.
089_00	Quisieran que renegaseis como ellos han renegado y que fueseis iguales.
089_01	No los toméis como amigos aliados hasta que no hayan emigrado en el camino de Allah.Y si se desentienden, atrapadlos y matadlos donde quiera que los encontréis y no toméis aliado ni auxiliar de entre ellos.
090_00	A excepción de aquéllos que se unan a una gente con la que tengáis algún pacto o vengan a vosotros con el pecho encogido por tener que combatir contra vosotros o contra su gente.Si Allah hubiera querido les habría dado poder sobre vosotros y os habrían combatido.
090_01	Y si se retiran y no os combaten y os ofrecen la paz...
090_02	Allah no os da ningún medio de ir contra ellos.
091_00	Encontraréis a otros que quieren estar a salvo de vosotros y a salvo de su gente; cada vez que vuelven a la discordia, caen más profundamente en ella.
091_01	Pero si no os dejan y os ofrecen la paz y detienen sus manos...
091_02	Atrapadlos y matadlos dondequiera que los encontréis.Os hemos dado sobre ellos una autoridad evidente.
092_00	No es de creyentes que uno mate a otro, a menos que sea por error. Y quien matare a un creyente
092_01	por error, deberá poner en libertad a un esclavo creyente y pagar el precio de sangre a su familia, a menos
092_02	que ésta se lo perdone por generosidad. Y si perteneciera a una gente enemiga vuestra pero fuera creyente, o si fuera
092_03	de una gente con la que tenéis algún pacto, pagad el precio de sangre a su gente y poned en libertad
092_04	a un esclavo que sea creyente.Y quien no encuentre manera de hacerlo, que ayune dos meses consecutivos como reparación aceptable por Allah.Allah es Conocedor, Sabio.
093_00	Y aquel que mate a un creyente intencionadamente, tendrá como recompensa Yahannam donde será inmortal.Sobre él caerá la ira de Allah, que lo maldecirá y le preparará un castigo inmenso.
094_00	¡Vosotros que creéis!
094_01	Cuando salgáis de expedición* en el camino de Allah, distinguid con claridad y no digáis a quien os ofrezca la rendición*:"Tú no eres creyente", buscando con ello lo que la vida del mundo ofrece; pues junto a Allah hay muchos botines.
094_02	Así erais también vosotros antes y Allah os favoreció, de modo que aseguraos bien.Es cierto que Allah conoce hasta lo más recóndito de lo que hacéis.
095_00	No son iguales los creyentes, que sin estar impedidos, permanecen pasivos y los que luchan en el camino de Allah con sus bienes y personas.
095_01	Allah ha dado un grado de preferencia a los que luchan con sus bienes y personas sobre los pasivos.
095_02	A ambos les ha prometido lo más hermoso, pero ha favorecido a los que luchan sobre los que se quedan pasivos con una enorme recompensa.
096_00	Grados procedentes de Él, perdón y misericordia. Y Allah es Perdonador, Compasivo.
097_00	A los que se lleven los ángeles habiendo sido injustos consigo mismos les dirán: ¿En qué se os fue la vida?*Responderán: Estábamos oprimidos en la tierra.Les dirán: ¿Acaso no era la tierra de Allah lo suficientemente extensa como para emigrar?
097_01	Esos tendrán por morada Yahannam. ¡Qué mal fin!
098_00	A menos que se trate de hombres, mujeres y niños imposibilitados, que carezcan de recursos y no sepan cómo hacerlo.
099_00	A éstos Allah los disculpa. Allah es Indulgente, Perdonador.
100_00	Quien emigre en el camino de Allah encontrará en la tierra muchos lugares donde refugiarse y holgura.Al que habiendo dejado su casa
100_01	para emigrar por Allah y Su Mensajero, le sorprenda la muerte, tiene la recompensa asegurada por Allah.Allah es siempre Perdonador y Compasivo.
101_00	Y cuando salgáis de expedición por la tierra no hay inconveniente en que acortéis el salat, así como cuando temáis que os ataquen los que se niegan a creer.
101_01	Es cierto que los incrédulos son para vosotros enemigos declarados.
102_00	Y cuando estés* con ellos y les dirijas el salat, que una parte permanezca en pie contigo llevando sus armas,
102_01	y mientras se hacen las postraciones, que permanezcan (los demás) detrás de vosotros; luego que venga la parte que no
102_02	haya rezado y lo hagan contigo tomando precauciones y estando armados.Los que se niegan a creer querrían que os descuidarais
102_03	de vuestras armas y pertrechos para así poder caer sobre vosotros en una sola carga.No cometéis falta si cuando os
102_04	moleste la lluvia o estéis enfermos, dejáis las armas, pero tomad precauciones.Es cierto que Allah ha preparado para los incrédulos un castigo denigrante.
103_00	Y cuando hayáis concluido el salat invocad a Allah de pie, sentados y acostados.Y cuando estéis fuera
103_01	de peligro estableced el salat; ciertamente el salat es para los creyentes, un precepto en tiempos determinados.
104_00	No flaqueéis en perseguir a esa gente.
104_01	Si os resulta doloroso, también lo es para ellos, pero vosotros esperáis de Allah lo que ellos no esperan.Y Allah es Conocedor, Sabio.
105_00	Es cierto que hicimos que te descendiera el Libro con la verdad para que juzgaras entre los hombres con lo que Allah te hace ver.*No defiendas a los traidores.
106_00	Pide perdón a Allah, ciertamente Allah es Perdonador, Compasivo.
107_00	Ni tampoco defiendas a los que se traicionaron a sí mismos, la verdad es que Allah no ama a quien es traidor y malvado.
108_00	Quieren esconderse de los hombres pero no pueden esconderse de Allah; Él está con ellos cuando, de noche, traman lo que no Le complace. Allah rodea lo que hacen.
109_00	¿Acaso vais a ser vosotros quienes los defiendan en esta vida? ¿Y quién los defenderá ante Allah el Día del Levantamiento o quién será su guardián?
110_00	Quien haga un mal o sea injusto consigo mismo y luego pida perdón a Allah, encontrará a Allah Perdonador y Compasivo.
111_00	Quien contraiga una maldad, lo hará contra sí mismo; Allah es Conocedor y Sabio.
112_00	Y quien contraiga una falta o un delito y luego acuse de ello a un inocente, habrá cargado con una calumnia y con un delito evidente.
113_00	Si no fuera por el favor de Allah para contigo y por Su misericordia...Un grupo de ellos se había propuesto extraviarte, pero sólo se extraviarán a sí mismos y no te perjudicarán en nada.Allah hizo descender sobre ti el Libro y la Sabiduría y te enseñó lo que no sabías.
113_01	El favor de Allah para contigo ha sido inmenso.
114_00	Muchas de sus conversaciones secretas no encierran ningún bien.
114_01	Pero no es así quien manda dar con generosidad, actuar según lo reconocido o reconciliar a los hombres. A quien haga esto, buscando el beneplácito de Allah, le daremos una recompensa enorme.
115_00	Y quien se oponga al Mensajero después de haberle sido aclarada la guía y siga otro camino que el de los creyentes, lo dejaremos con lo que ha elegido y lo arrojaremos a Yahannam.
115_01	¡Qué mal fin!
116_00	Es cierto que Allah no perdona que se Le asocie con nada.Sin embargo, aparte de esto, perdona a quien quiere.Quien asocie algo con Allah, se habrá perdido en un lejano extravío.
117_00	En vez de Él, sólo invocan a hembras* y a un demonio rebelde*.
118_00	Allah lo maldijo y él contestó: Tomaré para mí a una determinada parte de Tus siervos.
119_00	Y en verdad que los extraviaré, les haré tener falsas esperanzas, los instigaré, y harán cortes en las orejas del ganado*, y los
119_01	instigaré, y cambiarán la creación de Allah.Y quien tome al Shaytán por amigo aliado, en vez de Allah, habrá caído en una clara perdición.
120_00	Les promete y les hace tener falsas esperanzas, pero todo lo que el Shaytán les promete no es sino engaño.
121_00	Esos tendrán como morada Yahannam y no encontrarán ninguna salida de él.
122_00	A los que creen y practican las acciones de bien, les haremos fácil entrar en jardines por cuyo suelo corren los ríos; allí serán inmortales para siempre.
122_01	Promesa verdadera de Allah.¿Y quién es más veraz que Allah en Su palabra?
123_00	No se hará según vuestros deseos ni según los deseos de la gente del Libro. Quien haga un mal será pagado por ello y no encontrarás para él, aparte de Allah, nadie que lo proteja ni lo defienda.
124_00	Y quien haga acciones de bien, sea varón o hembra, y sea creyente...esos entrarán en el Jardín y no se les hará ni una brizna de injusticia.
125_00	¿Y quién es mejor en su Práctica de Adoración que aquel que ha sometido su rostro a Allah, hace el bien y sigue la religión de Ibrahim como hanif? Y Allah tomó a Ibrahim como amigo íntimo.
126_00	De Allah es cuanto hay en los cielos y en la tierra. Allah rodea todas las cosas.
127_00	Te piden que dictamines en lo referente a las mujeres.
127_01	Di: Allah os dictamina sobre ellas, como lo que se os dice en el Libro* acerca de las huérfanas con las que deseáis casaros y a las que no dais lo que está prescrito que les deis.
127_02	Y sobre los niños que están indefensos. Y sobre que tratéis a los huérfanos con justicia.El bien que hagáis, realmente Allah lo conoce.
128_00	Y si una mujer teme que su marido incumpla el deber conyugal o la rehuya, no hay falta para ambos si llegan a un acuerdo de reconciliación*.
128_01	La reconciliación es un bien.La codicia está presente en las almas, pero si hacéis el bien y sois temerosos...Es cierto que Allah conoce hasta lo más recóndito de lo que hacéis.
129_00	No podréis ser equitativos con las mujeres aunque lo intentéis, pero no os inclinéis del todo* dejando a la
129_01	otra como si estuviera suspensa en el aire.Si rectificáis y sois temerosos...Es verdad que Allah es Perdonador y Compasivo.
130_00	Y si se separan, Allah los enriquecerá a ambos con parte de Su holgura; Allah es Espléndido, Sabio.
131_00	De Allah es cuanto hay en los cielos y cuanto hay en la tierra.
131_01	Encomendamos a los que recibieron el Libro antes que vosotros, como os hemos encomendado a vosotros mismos, que temierais a Allah, pero si dejáis de creer... De Allah es cuanto hay en los cielos y en la tierra.Allah es Rico y en Sí mismo alabado.
132_00	De Allah es lo que hay en los cielos y en la tierra; Allah basta como Guardián.
133_00	Si quiere, ¡hombres!, os suprimirá y traerá a otros; Allah tiene poder sobre todas las cosas.
134_00	Quien quiera lo que esta vida ofrece...junto a Allah está la recompensa de esta vida y la de la Última. Allah es Quien oye y Quien ve.
135_00	¡Vosotros que creéis!
135_01	Sed firmes en establecer la justicia dando testimonio por Allah, aunque vaya en contra de vosotros mismos o de vuestros padres o parientes más próximos, tanto si son ricos como si son pobres; Allah es antes que ellos.
135_02	No sigáis los deseos para que así podáis ser justos. Y si dáis falso testimonio u os apartáis...Es cierto que Allah conoce hasta lo más recóndito de lo que hacéis.
136_00	¡Vosotros que creéis!
136_01	Creed en Allah y en Su mensajero así como en el Libro que se le ha hecho descender a Su mensajero y en el Libro que se hizo descender antes.Quien niegue la creencia en Allah, en Sus ángeles, en Sus libros, en Sus mensajeros y en el Último Día, se habrá alejado en un gran extravío.
137_00	Es verdad que a quienes creyeron y luego renegaron, y después volvieron a creer y renegaron de nuevo, siendo mayor aún su incredulidad, Allah no los perdonará ni les mostrará ningún camino.
138_00	Anuncia a los hipócritas que hay un castigo doloroso para ellos.
139_00	Esos que toman como aliados a los incrédulos, en vez de a los creyentes; ¿Acaso buscan el poder junto a ellos?Lo cierto es que el poder pertenece por entero a Allah.
140_00	Ya se os reveló en el Libro que cuando oyerais los signos de Allah y vierais como ellos los negaban y se burlaban, no os sentarais en su compañía hasta que
140_01	no hubieran entrado en otra conversación; pues en ver dad que si lo hicierais, seríais iguales que ellos.Es cierto que Allah reunirá a los hipócritas y los incrédulos, todos juntos, en Yahannam.
