001_00	Habrán triunfado los creyentes.
063_00	Pero sus corazones están cerrados a él y han de llevar a cabo otras acciones distintas.
064_00	Hasta que sorprendamos con el castigo a los que de ellos han caído en la vida fácil, entonces pedirán socorro.
065_00	No pidáis socorro hoy porque no recibiréis auxilio de Nosotros.
066_00	Ya se os recitaron Mis signos pero os volvisteis sobre vuestros talones.
067_00	Llenos de soberbia por ello, hablando groseramente en reuniones nocturnas.
068_00	¿Acaso no han meditado la Palabra? ¿O es que les ha llegado algo que no les llegara ya a sus primeros padres?
069_00	¿O es que no reconocen a su mensajero y por ello lo niegan?
070_00	¿O es que dicen: Está poseído? Por el contrario les ha llegado la verdad pero a la mayoría de ellos la verdad les repugna.
071_00	Si la verdad siguiera sus deseos, los cielos y la tierra y lo que hay en ellos se corromperían.Por el contrario les hemos traído su recuerdo, pero ellos se apartan de lo que les hace recordar.
072_00	¿O es que les pides un tributo? El tributo de tu Señor es mejor.Él es Quien mejor provee.
073_00	Y verdaderamente tú los llamas a un camino recto.
074_00	Pero los que no creen en la Otra Vida están desviados del camino.
075_00	Y aunque tuviéramos misericordia con ellos y los libráramos del mal que les aflige, persistirían en andar errantes fuera de los límites.
076_00	Ya les habíamos afligido con el castigo y no se humillaron ni suplicaron ante su Señor.
077_00	Pero llegará un momento en que les abramos una puerta tras la que haya un castigo intenso y queden en él sin esperanza.
078_00	Él es Quien ha creado para vosotros el oído, la vista, y el corazón. Poco es lo que agradecéis.
079_00	Y Él es Quien os ha repartido por la tierra y hacia Él iréis a reuniros.
080_00	Él es Quien os da la vida y os da la muerte y Suya es la alternancia de la noche y el día. ¿No váis a entender?
081_00	Sin embargo hablan como hablaban los primitivos.
082_00	Decían: ¿Acaso cuando hayamos muerto y seamos tierra y huesos se nos devolverá a la vida?
083_00	Ya se nos amenazó con esto a nosotros y a nuestros padres antes, pero no son mas que patrañas de los antiguos.
084_00	Di: ¿De quién son la tierra y lo que hay en ella si es que sabéis?
085_00	Dirán: De Allah. Di: ¿Es que no vais a recapacitar?
086_00	Di: ¿Quién es el Señor de los siete cielos y del Trono Inmenso?
087_00	Dirán: Son de Allah. Di: ¿No Le temeréis?
088_00	Di: ¿Quién tiene en Sus manos el dominio de todas las cosas y ampara pero no es amparado, si sabéis?
089_00	Dirán: Allah. Di: ¿Por qué entonces estáis hechizados?
090_00	Pero aunque les hemos traído la verdad ellos mienten.
091_00	Allah no ha tomado hijo alguno ni hay con Él ningún dios.Porque si así fuera cada dios se llevaría
091_01	lo que hubiera creado y se dominarían unos a otros.¡Ensalzado sea Allah por encima de lo que Le puedan atribuir!
092_00	Él conoce el No-Visto y lo Aparente, sea ensalzado por encima de lo que Le asocian.
093_00	Di: ¡Señor mío! Si me muestras lo que les has prometido
094_00	no me pongas con la gente injusta.
095_00	Verdaderamente tenemos poder para mostrarte lo que les hemos prometido.
096_00	Responde a la maldad de la mejor manera. Nosotros sabemos mejor lo que atribuyen.
097_00	Y di: Señor, en Ti me refugio de los susurros de los demonios.
098_00	Y me refugio en Ti de su presencia.
099_00	Y cuando le llegue la muerte a uno de ellos, entonces dirá: Señor déjame volver
100_00	para que pueda actuar con rectitud en lo que descuidé.Pero no, sólo son palabras que dice.Ante ellos habrá un período intermedio hasta que llegue el día en que sean devueltos a la vida.
101_00	Entonces se soplará el cuerno. Ese día no habrá entre ellos consanguinidad ni se preguntarán unos a otros.
102_00	Aquellos cuyas obras pesen en la balanza... Esos serán los afortunados.
103_00	Y aquellos cuyas obras no tengan peso en la balanza... Esos serán los que se habrán perdido a sí mismos y serán inmortales en Yahannam.
104_00	El Fuego les abrasará la cara y quedarán desfigurados.*
105_00	¿Acaso no se os recitaron Mis signos y vosotros negasteis su verdad?
106_00	Dirán: ¡Señor nuestro! Nuestra propia desgracia pudo más que nosotros y fuimos gente extraviada.
107_00	¡Señor nuestro! Sácanos de él y si reincidimos, entonces seremos injustos.
108_00	Dirá: Sed arrojados en él con desprecio y no Me habléis.
109_00	Es cierto que había una parte de Mis siervos que decía:¡Señor nuestro! Creemos, perdónanos y ten misericordia de nosotros; Tú eres el mejor de los misericordiosos.
110_00	Los tomasteis a burla hasta el punto de olvidar Mi recuerdo y os reísteis de ellos.
111_00	Verdaderamente hoy les hemos recompensado porque fueron pacientes y ellos son los que han tenido éxito.
112_00	Dirá: Cuántos años estuvisteis en la tierra?
113_00	Dirán: Estuvimos un día o parte de un día, pregunta a los que pueden contar.
114_00	Dirá: Fue poco lo que estuvisteis, si hubierais sabido.
115_00	¿Acaso pensasteis que os habíamos creado únicamente como diversión y que no habríais de volver a Nosotros?
116_00	¡Ensalzado sea Allah, el Rey Verdadero, no hay dios sino Él, el Señor del noble Trono.
117_00	Quien invoque a otro dios junto a Allah sin tener pruebas, tendrá que rendir cuentas ante su Señor.En verdad que los que se niegan a creer no tendrán éxito.
118_00	Y di: ¡Señor mío! Perdona y ten misericordia, Tú eres el mejor de los misericordiosos.
