001_00	Alif, Lam, Mim, Sad.
020_01	diciéndoles: Vuestro Señor os ha prohibido este árbol sólo para evitar que seáis ángeles o que no muráis nunca.
021_00	Les aseguró jurándoles: Realmente soy un consejero para vosotros.
022_00	Y los sedujo con engaños, Y una vez hubieron probado del árbol, se les hicieron manifiestas sus vergüenzas y comenzaron a cubrirlas con hojas del Jardín.
022_01	Entonces su Señor les llamó: ¿No os había prohibido ese árbol y os había dicho que el Shaytán era para vosotros un enemigo declarado?
023_00	Dijeron: ¡Señor nuestro! Hemos sido injustos con nosotros mismos y si no nos perdonas y no tienes misericordia de nosotros, estaremos entre los perdidos.
024_00	Dijo: Descended todos*. Seréis mutuos enemigos. Tendréis morada en la tierra y posesiones en disfrute por un tiempo.
025_00	Dijo: En ella viviréis, en ella moriréis y de ella se os hará salir.
026_00	¡Hijos de Adam! Hice descender para vosotros vestidos que cubrieran vuestras vergüenzas y os sirvieran de adorno, así como el vestido del temor (de Allah).
026_01	Y ese es el mejor. Esto forma parte de los signos de Allah para que podáis recapacitar.
027_00	¡Hijos de Adam! Que no os soliviante el Shaytán del mismo modo que logró que vuestros padres salieran del Jardín despojándolos de su vestido para que fueran conscientes de sus vergüenzas.
027_01	Él y los suyos os ven desde donde no los veis. Hemos hecho a los demonios aliados de los que no creen.
028_00	Y cuando cometen un acto vergonzoso dicen: Encontramos a nuestros padres en ello. Pero Allah no ordena la indecencia.
028_01	¿O es que diréis sobre Allah lo que no sabéis?
029_00	Di: Mi Señor ordena la ecuanimidad y que, en cada lugar de oración, dirijáis vuestro rostro y Le invoquéis sinceramente, rindiéndole sólo a Él la Adoración. Así como os originó, volveréis.
030_00	Habrá un grupo al que habrá guiado, pero para otro se habrá confirmado el extravío. Ellos habían tomado a los demonios como protectores, fuera de Allah, y creyeron que estaban guiados.
031_00	¡Hijos de Adam! Poneos vuestros mejores y más puros vestidos en cada lugar de oración; y comed y bebed, pero no os excedáis.Es cierto que Él no ama a los que se exceden.
032_00	Di: ¿Quién prohibe los adornos de Allah, creados por Él para Sus siervos, y las cosas buenas de la provisión?
032_01	Di: Todo esto, El Día del Levantamiento, pertenecerá en exclusiva a quienes en la vida del mundo hayan sido creyentes. Así es como dejamos claros los signos para los que saben.
033_00	Di: Lo que de verdad ha prohibido mi Señor son las indecencias, tanto las externas como las que se ocultan, la maldad, el abuso si
033_01	n razón, que asociéis con Allah aquello sobre lo que no ha descendido ninguna evidencia y que digáis sobre Allah lo que no sabéis.
034_00	Para cada comunidad hay un plazo y cuando éste llegue, no se les atrasará ni se les adelantará una sola hora.
035_00	¡Hijos de Adam! Si os llegan mensajeros, surgidos de vosotros, que os hablan de Mis signos... Quien se guarde y rectifique, no tendrá nada que temer ni se entristecerá.
036_00	Pero los que tachen de mentira Nuestros signos y sean soberbios ante ellos... Ésos son los compañeros del Fuego donde serán inmortales.
037_00	¿Y quién es más injusto que quien inventa una mentira sobre Allah o tacha de mentira Sus signos?A ésos les llegará lo que tengan escrito;
037_01	así, cuando se les presenten Nuestros emisarios para llevar sus almas y les digan: ¿Dónde están los que invocabais aparte de Allah?
037_02	Dirán: Se apartaron de nosotros.Y atestiguarán en contra de sí mismos que fueron incrédulos.
038_00	Dirá: Entrad en el Fuego en compañía de las comunidades de hombres y genios que hubo antes que vosotros. Y cada vez que entre una comunidad, maldecirá a su hermana;
038_01	así, cuando todas hayan coincidido en él, la última de ellas dirá de la primera: ¡Señor Nuestro! Estos son los que nos extraviaron, dales un doble castigo en el Fuego.
038_02	Él dirá: Todos tenéis el doble, pero no sabéis.
039_00	Y le dirá la primera de ellas a la última: No tenéis ningún privilegio sobre nosotros.Gustad el castigo por lo que habéis ganado.
040_00	Es cierto que a los que tachan de mentira Nuestros signos y se muestran soberbios ante ellos, no se les abrirán las puertas del cielo, ni entrarán en el Jardín hasta que no pase el camello por el ojo de la aguja.
040_01	Así es como pagamos a los que hacen el mal.
041_00	Tendrán un lecho de Yahannam y sobre él cobertores de fuego.Así es como pagamos a los injustos.
042_00	Y los que creen y practican las acciones de bien - y no obligamos a nadie sino en la medida de su capacidad - ellos son los compañeros del Jardín donde serán inmortales.
043_00	Quitaremos el rencor que pueda haber en sus pechos, los ríos correrán a sus pies y dirán: Las alabanzas a Allah que nos ha guiado a esto,
043_01	puesto que si Allah no nos hubiera guiado, nosotros jamás nos habríamos guiado; es cierto que los mensajeros de nuestro Señor vinieron con la verdad.
043_02	Y se les proclamará: Aquí tenéis el Jardín, lo habéis heredado por lo que hicisteis.
044_00	Y llamarán los compañeros del Jardín a los del Fuego: Hemos encontrado que lo que nuestro Señor nos había prometido era verdad. ¿Habéis encontrado vosotros que lo que vuestro Señor os prometió era verdad? Dirán: Sí.
044_01	Y una voz pregonará entre ellos: ¡Que la maldición de Allah caiga sobre los injustos!
045_00	Esos que apartan del camino de Allah, procurándolo tortuoso y no creen en la Última Vida.
046_00	Entre ambos grupos habrá una separación, y sobre las "alturas de reconocimiento", habrá unos hombres que reconocerán a cada uno por sus signos.
046_01	Cuando llamen a los compañeros del Jardín les dirán: Paz con vosotros. Pero ellos no podrán entrar en él, aunque lo desearan intensamente.
047_00	Y cuando tengan que volver la mirada a los compañeros del Fuego, dirán: ¡Señor nuestro, no nos pongas junto a las gentes injustas!
048_00	Los compañeros de las "alturas" llamarán a unos hombres a los que habrán reconocido por sus signos y les dirán: ¿De qué os sirvió todo lo que acumulasteis y la soberbia que tuvisteis?
049_00	¿Son éstos de aquí de los que asegurasteis con juramentos que Allah no tendría misericordia con ellos? ¡Entrad en el Jardín, no tenéis nada que temer ni nada por lo que entristeceros!
050_00	Y suplicarán los compañeros del Fuego a los compañeros del Jardín: ¡Derramad sobre nosotros un poco de agua o algo de lo que Allah os ha dado!
050_01	Dirán: Allah ha prohibido ambas cosas para los incrédulos.
051_00	Esos que tomaron su deber de Adoración como frivolidad y juego y se dejaron seducir por la vida del mundo.
051_01	Hoy les olvidamos, como ellos olvidaron el encuentro de este día en el que ahora están; y por haber negado Nuestros signos.
052_00	Y es cierto que les hemos traído un Libro que hemos explicado con precisión en base a un conocimiento; guía y misericordia para gentes que creen.
053_00	¿Qué esperan sino averiguar sus consecuencias?
053_01	El día que esto ocurra, dirán los que antes lo habían olvidado: Realmente los mensajeros de nuestro Señor vinieron con la verdad.
053_02	¿Habrá alguien que interceda por nosotros, o podremos regresar y actuar de forma distinta a como lo hicimos? Se habrán perdido a sí mismos y no podrán encontrar lo que inventaban.
054_00	Realmente vuestro Señor es Allah, Quien creó los cielos y la tierra en seis días, luego se asentó en el Trono.
054_01	La noche cubre al día que le sigue rápidamente y el sol, la luna y las estrellas están, por Su mandato, sometidas.
054_02	¿Acaso no Le pertenecen el Mandato y la creación? Bendito sea Allah, el Señor de los mundos.
055_00	Pedid a vuestro Señor, humilde y secretamente; es cierto que Él no ama a los que se exceden.
056_00	Y no corrompáis las cosas en la tierra después del orden que se ha puesto en ella; e invocadlo con temor y anhelo.Es verdad que la misericordia de Allah está próxima a los bienhechores.
057_00	Él es Quien envía los vientos como anuncio previo a Su misericordia, y cuando forman una nube pesada,
057_01	la conducimos a una tierra muerta y de ella hacemos caer agua con la que hacemos que broten toda clase de frutos.
057_02	Del mismo modo haremos salir a los muertos. Tal vez podáis recapacitar.
058_00	Y la buena tierra da sus frutos con permiso de su Señor, pero la mala no da sino escasez. Así es como hacemos claros los signos para los que agradecen.
059_00	Y así fue como enviamos a Nuh a su gente, y les dijo: ¡Gente mía! Adorad a Allah, fuera de Él no tenéis otro dios; temo para vosotros el castigo de un día terrible.
060_00	Dijeron los ricos y principales de su gente: Te vemos en un claro extravío.
061_00	Dijo: ¡Gente mía! No hay en mí extravío alguno, sino que soy un mensajero del Señor de los mundos.
062_00	Os hago llegar los mensajes de mi Señor y os aconsejo; y sé, procedente de Allah, lo que no sabéis.
063_00	¿Os sorprende que os haya llegado un recuerdo de vuestro Señor a través de uno de vosotros para advertiros y para que fuerais temerosos y se pudiera tener misericordia con vosotros?
064_00	Lo tacharon de mentiroso y lo salvamos en la nave a él y a los que con él estaban, ahogando a los que habían negado la verdad de Nuestros signos.Verdaderamente fueron una gente ciega.
065_00	Y a los Ad, a su hermano Hud que les dijo: ¡Gente mía! ¡Adorad a Allah! Fuera de Él no tenéis otro dios.¿No os guardaréis?
066_00	Dijeron los ricos y principales de su gente, que no creían: Te vemos en una insensatez y te tenemos por uno de los mentirosos.
067_00	Dijo: ¡Gente mía! No hay en mí ninguna insensatez, sino que soy un mensajero del Señor de los mundos.
068_00	Os hago llegar los mensajes de mi Señor y soy un consejero digno de confianza para vosotros.
069_00	¿Os sorprende que os haya llegado un recuerdo de vuestro Señor a través de uno de vosotros para advertiros?
069_01	Recordad cuando os hizo sucesores de las gentes de Nuh y os dió una complexión y una fuerza superiores. Recordad los dones de Allah para que así podáis tener éxito.
070_00	Dijeron: ¿Has venido a nosotros para que adoremos únicamente a Allah y abandonemos lo que nuestros padres adoraban?Tráenos lo que nos has prometido si eres de los veraces.
071_00	Dijo: Un castigo vergonzoso y la ira de vuestro Señor han de caer sobre vosotros.
071_01	¿Vais a contradecirme, con argumentos a favor de unos nombres que vosotros y vuestros padres habéis asignado, y con los que Allah no ha hecho descender ningún poder? Esperad entonces, que yo también espero.
072_00	Y lo salvamos junto a los que con él estaban, por una misericordia Nuestra, exterminando a los que habían negado la verdad de Nuestros signos y no eran creyentes.
073_00	Y a los Zamud, a su hermano Salih que les dijo: ¡Gente mía!
073_01	Adorad a Allah, fuera de Él no tenéis otro dios. Os ha llegado una evidencia de vuestro Señor: La camella de Allah que es un señal para vosotros; dejadla que coma en la tierra de Allah y no la toquéis con ningún daño; porque si lo hicierais, os alcanzaría un doloroso castigo.
074_00	Y recordad cuando os hizo sucesores de los Ad y os dio una posición en la tierra.
074_01	Os hacíais palacios en sus llanuras y excavabais casas en las montañas. Recordad los dones de Allah y no hagáis el mal en la tierra como corruptores.
075_00	Los ricos y principales, que eran aquéllos de su gente que se habían llenado de soberbia, dijeron a quienes eran considerados inferiores, que eran los que habían creído: ¿Es que acaso tenéis conocimiento de que Salih es un enviado de su Señor?
075_01	Contestaron: Nosotros creemos realmente en aquello con lo que ha sido enviado.
076_00	Dijeron los que se habían llenado de soberbia: Nosotros negamos aquello en lo que creéis.
077_00	Y desjarretaron a la camella rebelándose contra la orden de su Señor. Y dijeron: ¡Salih, tráenos lo que nos has asegurado si es que eres uno de los enviados!
078_00	Entonces los agarró la gran sacudida y amanecieron en sus hogares caídos de bruces*.
079_00	Se apartó de ellos y dijo: ¡Gente mía! Os hice llegar el mensaje de mi Señor y os aconsejé, pero no amabais a los consejeros.
080_00	Y Lut, cuando dijo a su gente: ¿Estáis cometiendo la indecencia que nadie antes en los mundos ha cometido?
081_00	¿Vais a los hombres con deseo, en vez de a las mujeres? Realmente sois una gente desmesurada.
082_00	Pero la única respuesta de su gente fue decir: ¡Expulsadlos de vuestra ciudad, son gentes que se tienen por puros!
083_00	Y lo salvamos a él y a su familia con la excepción de su mujer, que fue de los que se quedaron atrás.
084_00	E hicimos que les cayera una lluvia.¡Mira cómo acabaron los que hicieron el mal!
085_00	Y a los Madyan, su hermano Shuayb, que dijo: ¡Gente mía! Adorad a Allah; no tenéis otro dios que Él. Os ha llegado una evidencia de vuestro Señor;
085_01	así pues cumplid con la medida y el peso y no menoscabéis a los hombres en sus cosas,
085_02	ni corrompáis en la tierra después del orden que se ha puesto en ella. Eso es un bien para vosotros si sois creyentes.
086_00	Y no estéis esperando al acecho en cada camino para intimidar, ni desviéis del camino de Allah a quien cree en Él,
086_01	deseando que sea tortuoso. Recordad cuando érais pocos y Él os multiplicó, y mirad cómo han acabado los corruptores.
087_00	Y si hay entre vosotros un grupo que ha creído en aquello con lo que he sido enviado y otro grupo que no ha creído, tened paciencia hasta que Allah juzgue entre nosotros.
087_01	Él es el mejor de los jueces.
088_00	Dijeron los ricos y principales, aquéllos de su gente que se habían llenado de soberbia: ¡Shuayb!
088_01	Te vamos a expulsar de esta ciudad a ti y a los que están contigo, a menos que volváis a nuestras creencias. Dijo: ¿Aunque sea en contra de nuestra voluntad?
089_00	Si volviéramos a vuestras creencias, después de que Allah nos ha salvado de ellas, caeríamos en una mentira inventada contra Allah.
089_01	Nunca volveremos a ellas a menos que Allah, nuestro Señor, lo quiera.
089_02	Nuestro Señor abarca todas las cosas con Su conocimiento, en Allah nos confiamos. ¡Señor nuestro! Juzga entre nosotros y nuestra gente con la verdad; Tú eres el mejor de los jueces.
090_00	Y dijeron los ricos y principales de su gente, los que se habían negado a creer: Si seguís a Shuayb estaréis perdidos.
091_00	Los agarró la gran sacudida y amanecieron en sus hogares caídos de bruces.
092_00	Fue como si los que habían tachado de mentiroso a Shuayb nunca hubieran habitado en ella.Y ésos que habían negado a Shuayb fueron los perdedores.
093_00	Se apartó de ellos y dijo: ¡Gente mía! Os he hecho llegar los mensajes de mi Señor y os he aconsejado.¿Por qué habría de sentir lo que le sucediera a una gente incrédula?
094_00	No hemos enviado a una ciudad ningún profeta sin haber castigado a su gente con la miseria y el padecimiento para que pudieran humillarse.
095_00	Y luego les dábamos bienestar en lugar del mal. Pero cuando se veían prósperos, decían: La fortuna y la adversidad eran cosas que ya afectaban a nuestros padres.Y entonces los agarrábamos de repente sin que hubieran podido darse cuenta.
096_00	Si las gentes de las ciudades hubieran creído y se hubieran guardado, les habríamos abierto las bendiciones del cielo y de la tierra. Sin embargo negaron la verdad y los castigamos a causa de lo que adquirieron.
097_00	¿Acaso la gente de las ciudades está a salvo de que les llegue Nuestro castigo de noche, mientras duermen?
098_00	¿O están a salvo esas mismas gentes de que Nuestro castigo les llegue por la mañana mientras juegan?
099_00	¿Es que están a salvo de la astucia de Allah?Sólo la gente perdida se siente a salvo de la astucia de Allah.
100_00	¿Acaso a los que han heredado la tierra después de otros que hubo en ella, no les sirve de guía saber que, si quisiéramos, los agarraríamos también a causa de sus transgresiones, sellando sus corazones para que no escucharan?
101_00	Esas son las ciudades parte de cuyas noticias te contamos. Les llegaron sus mensajeros con las evidencias, pero no iban a creer en lo que antes habían tachado de mentira.
101_01	Así es como Allah sella los corazones de los incrédulos.
102_00	En la mayor parte de ellos no encontramos compromiso alguno, sólo que se habían pervertido.
103_00	Luego, una vez pasados éstos, enviamos a Musa con Nuestros signos a Firaún y los suyos que los negaron injustamente.Y mira cómo acabaron los corruptores.
104_00	Dijo Musa: ¡Firaún! Soy un mensajero del Señor de los mundos,
105_00	Y soy verdadero. Tengo la obligación de no decir sobre Allah sino la verdad. Habéis tenido evidencias de vuestro Señor, así que dejad que vengan conmigo los hijos de Israel.
106_00	Dijo: Si has traído un signo, muéstralo si es que dices la verdad.
107_00	Entonces arrojó su vara y fue una serpiente claramente visible.
108_00	Y se sacó la mano y ésta apareció blanca ante los que miraban*.
109_00	Dijeron los principales de la gente de Firaún: Ciertamente es un mago experto
110_00	que quiere expulsaros de vuestra tierra. ¿Qué es lo que deliberáis pues?
111_00	Dijeron: Retenedlos a él y a su hermano y envía reclutadores por las ciudades
112_00	que te traigan a todos los magos expertos.
113_00	Y vinieron los magos de Firaún diciendo: ¿Seremos recompensados si somos los vencedores?
114_00	Dijo: Sí, y estaréis entre los próximos a mí.
115_00	Dijeron: ¡Musa! Arroja tú o lo haremos nosotros.
116_00	Dijo: Arrojad vosotros. Y al hacerlo, hechizaron los ojos de la gente, los llenaron de miedo y produjeron una magia prodigiosa.
117_00	Pero inspiramos a Musa: ¡Arroja tu vara! Y se tragó lo que habían falseado.
118_00	Así prevaleció la verdad y se desvaneció lo que habían hecho.
119_00	Allí fueron vencidos y quedaron empequeñecidos.
120_00	Entonces los magos cayeron postrados.
121_00	Y dijeron: Creemos en el Señor de los mundos.
122_00	El Señor de Musa y de Harún.
123_00	Dijo Firaún: ¿Habéis creído en él sin que yo os haya dado permiso? Realmente se trata de una estratagema que habéis urdido en la ciudad para sacar de ella a sus habitantes, pero vais a saber.
124_00	Os cortaré una mano y un pie del lado contrario y luego os crucificaré a todos.
125_00	Dijeron: Verdaderamente hemos de volver a nuestro Señor.
126_00	Te vengas de nosotros sólo porque cuando llegaron los signos de nuestro Señor creímos en ellos.¡Señor nuestro! Derrama sobre nosotros paciencia y llévanos a Ti, estándote sometidos.
127_00	Y dijeron los principales de Firaún: ¿Vas a permitir que Musa y su gente corrompan la tierra y te abandonen a ti y a tus dioses?
127_01	Dijo: Mataremos a sus hijos y dejaremos con vida a sus mujeres y en verdad que nos impondremos sobre ellos.
128_00	Dijo Musa a su gente: Buscad ayuda en Allah y tened paciencia, pues es cierto que la tierra pertenece a Allah y la heredarán aquellos de Sus siervos que Él quiera.Y el buen fin es de los que temen (a Allah).
129_00	Dijeron: Hemos sufrido antes de que tú vinieras a nosotros y también después.
129_01	Dijo: Puede que vuestro Señor destruya a vuestros enemigos y haga que les sucedáis en la tierra para ver cómo actuáis.
130_00	Y castigamos a la familia de Firaún con los años de sequía y esterilidad y la falta de frutos para que tal vez recapacitaran.
131_00	Y cuando les venía un bien decían: Esto es por nosotros; pero si les sobrevenía algún mal, lo atribuían al mal agüero de Musa y a los que con él estaban.
131_01	¿Acaso su mal agüero no estaba junto a Allah? Sin embargo, la mayoría de ellos no sabía.
132_00	Y dijeron: Sea cual sea el signo que nos traigas para hechizarnos con él, no te vamos a creer.
133_00	Y enviamos contra ellos el diluvio, la langosta, los piojos, las ranas y la sangre como signos claros, pero se llenaron de soberbia y fueron gente de mal.
134_00	Pero cuando hubo caído sobre ellos el castigo, dijeron: ¡Musa!: Ruega por nosotros a tu Señor según lo que a
134_01	cordó contigo. Si apartas de nosotros este castigo, te creeremos y dejaremos ir contigo a los hijos de Israel.
135_00	Pero cuando los libramos del castigo durante un tiempo fijado y el plazo cumplió, ellos no cumplieron.
136_00	Nos vengamos de ellos y los ahogamos en el mar por haber tachado de mentira Nuestros signos y haber sido insensibles a ellos.
137_00	Así hicimos que los que habían sido subyugados antes, heredaran los orientes y los occidentes de la tierra que habíamos bendecido.
137_01	Y la hermosaPalabra que tu Señor había dado a los hijos de Israel se cumplió porque fueron pacientes. Y destruimos lo que Firaún y su gente habían hecho, así como lo que habían erigido. Porque fueron
138_00	E hicimos que los hijos de Israel cruzaran el mar. Hasta que llegaron a una gente entregada a la devoción de unos ídolos que tenían. Dijeron: ¡Musa!
138_01	Queremos que nos busques un dios, igual que ellos tienen dioses. Dijo: Realmente sois gente ignorante.
139_00	La verdad es que aquello a lo que están dedicados es perecedero y es inútil lo que hacen.
140_00	Dijo: ¿Deseáis tener otro dios que Allah cuando Él os ha favorecido sobre todos los mundos?
141_00	¿Y cuando os salvó de la gente de Firaún que os atormentaba con el peor de los castigos al matar a vuestro
141_01	s hijos y dejar con vida a vuestras mujeres? Ahí sí que teníais una gran prueba que vuestro Señor os ponía.
142_00	Emplazamos a Musa durante treinta noches que completamos con diez más, de manera que el tiempo que determinó su Señor fueron cuarenta noches.
142_01	Dijo Musa a su hermano Harún: Ocupa mi lugar entre mi gente, pon orden y no sigas el camino de los corruptores.
143_00	Y cuando Musa vino a Nuestra cita y su Señor le habló, dijo: ¡Señor mío! Muéstrate ante mí para que pueda verte; dijo: No Me verás, pero mira el monte y si permenece en su sitio entonces Me verás.
143_01	Y cuando su Señor se manifestó al monte lo pulverizó y Musa cayó fulminado.
143_02	Al volver en sí, dijo: ¡Gloria a Ti! A Ti me vuelvo y soy el primero de los creyentes.
144_00	Dijo: ¡Musa! Verdaderamente te he escogido por encima de los hombres, dándote Mi mensaje y Mi palabra, así que toma lo que te he dado y sé de los agradecidos.
145_00	Y escribimos para él, en las Tablas, una exhortación para todo y una explicación de todo.¡Tómalo con fuerza!
145_01	Y ordena a tu gente que tomen lo mejor de ellas. Os mostraré la morada de los pervertidos.
146_00	Alejaré de Mis signos a quienes se llenan de soberbia en la tierra sin razón; ésos que aunque vean todo tipo de signos, no creen en ellos
146_01	y aunque vean el camino de la guía recta no lo toman como camino, pero que si, en cambio, ven el camino de la perdición, lo toman como camino.
146_02	Eso es porque han negado la verdad de Nuestros signos y son indiferentes a ellos.
147_00	Y los que niegan la verdad de Nuestros signos y el encuentro de la Última Vida, sus obras serán inútiles.¿Y es que acaso se les pagará por otra cosa que no sea lo que hayan hecho?
148_00	Pero durante la ausencia de Musa, su gente se hizo, a partir de las joyas que tenían, el cuerpo de un becerro que mugía.¿Pero es que no veían que ni les hablaba ni les guiaba por ningún camino?
148_01	Lo tomaron (como dios) y fueron injustos.
149_00	Y cuando se echaron atrás y vieron que se habían extraviado dijeron: Si nuestro Señor no tiene compasión de nosotros y no nos perdona, estaremos perdidos.
150_00	Entonces Musa regresó a su gente, enojado y entristecido y dijo: ¡Que mal me habéis sustituido en mi ausencia!¿Queríais apremiar el mandato de vuestro Señor?
150_01	Y arrojó las Tablas, agarró de la cabeza a su hermano y lo arrastró atrayéndolo hacia sí, y éste dijo: ¡Hijo de mi madre!
150_02	La verdad es que pudieron conmigo y casi me matan, no hagas que se alegren por mí los enemigos ni me tengas por injusto.
151_00	Dijo: ¡Señor mío! Perdónanos a mí y a mi hermano y haznos entrar en Tu misericordia, pues Tú eres el más Misericordioso de los misericordiosos.
152_00	En verdad que a quienes tomaron el becerro, les alcanzará la cólera de su Señor y una humillación en este mundo.Así es como pagamos a los que inventan.
153_00	Y los que hagan el mal y luego, después de haberlo hecho, se echen atrás y crean; es cierto que tu Señor, a pesar de lo que hicieron, es Perdonador y Compasivo.
154_00	Y cuando se hubo calmado el enojo de Musa, tomó de nuevo las Tablas en cuya escritura hay guía y misericordia para los que temen a su Señor.
155_00	Musa había elegido a setenta hombres de su gente para la cita fijada con Nosotros. Y después de haber sido arrebatados por el temblor fulminante, dijo: ¡Señor mío!
155_01	Si hubieras querido los habrías destruído anteriormente incluyéndome a mí. ¿Nos vas a destruir por lo que han hecho los ignorantes de entre nosotros? Esto no es sino Tu prueba con la que extravías a quien quieres y guías a quien quieres.
155_02	Tú eres Nuestro Protector, perdónanos y ten compasión de nosotros. Tú eres el mejor de los perdonadores.
156_00	Y escribe para nosotros lo beno en esta vida y en la Última pues hemos sido guiados a Ti.
156_01	Dijo: Aflijo con Mi castigo a quien quiero y Mi misericordia abarca todas las cosas y la escribiré para los que sean temerosos, para los que entreguen el zakat (la purificación de sus bienes) y para los que crean en Nuestros signos.
157_00	Esos que siguen al Mensajero, el Profeta iletrado, al que encuentran descrito en la Torá y en el Inyil, y que les ordena lo reconocido
157_01	y les prohíbe lo reprobable, les hace lícitas las cosas buenas e ilícitas las malas y los libera de las cargas y de las cadenas que pesaban sobre ellos.
157_02	Y aquéllos que creen en él, le honran, le ayudan y siguen la luz que fue descendida con él; ésos son los afortunados.
158_00	Di: ¡Hombres!
158_01	Es cierto que yo soy para vosotros el Mensajero de Allah, a Quien pertenece la soberanía de los cielos y la tierra.No hay dios sino Él, da la vida y da la muerte; así que creed en Él y en Su Mensajero, el Profeta iletrado que cree en Allah y en Sus palabras y seguidle para que tal vez os guiéis.
159_00	De la gente de Musa hay una comunidad que guía de acuerdo a la verdad y con ella hacen justicia.
160_00	Y los dividimos en doce tribus.Y cuando Musa pidió dar de beber a su gente, le inspiramos: ¡Golpea la piedra con tu vara! Y
160_01	brotaron de ella doce fuentes.Cada uno supo de dónde debía beber.Y extendimos sobre ellos la sombra de la nube y les bajamos
160_02	el maná y las codornices: ¡Comed de lo bueno que os proveemos!Pero no Nos perjudicaron, sino que se perjudicaron a sí mismos.
161_00	Y cuando se les dijo: Habitad esta ciudad* y comed de (lo que haya en) ella donde queráis, y rogad: ¡Alivio (para nuestras faltas)!
161_01	Y entrad por la puerta en postración, que así vuestras faltas se os perdonarán. Y a los que hagan el bien les daremos aún más.
162_00	Pero los que de ellos eran injustos dijeron otras palabras de las que se les había ordenado decir y les mandamos un castigo del cielo a causa de la injusticia que habían cometido.
163_00	Y pregúntales por la ciudad que se encontraba a orillas del mar, cuando transgredieron el sábado, siendo el sábado cuando los peces acudían y se dej aban ver,
163_01	mientras que, por el contrario, los días en los que no debían guardar descanso no acudían. Así fue como los probamos por haberse pervertido.
164_00	Y cuando un grupo de ellos dijo: ¿Por qué amonestar a una gente a la que Allah va a destruir o a castigar con un severo castigo?
164_01	Dijeron: Es para tener una justificación ante vuestro Señor y por si acaso temen.
165_00	Y cuando olvidaron lo que se les había recordado, salvamos a quienes se oponían al mal y agarramos a los que habían sido injustos con un castigo implacable a causa de su perversión.
166_00	De manera que cuando traspasaron los límites de lo que se les había prohibido, les dijimos: ¡Convertíos en monos despreciables!
167_00	Y cuando tu Señor anunció que hasta el Día del Levantamiento estaría enviando contra ellos a quien les infringiera el peor castigo.
167_01	Es cierto que tu Señor es Rápido en la cuenta y que Él es Perdonador y Compasivo.
168_00	En la tierra, los dividimos en comunidades: Unos rectos y otros no. Y los pusimos a prueba con bienes y males por si acaso volvían.
169_00	Después de ellos vino una generación que heredó el Libro.Tomaban lo que les ofrecía la vida inmediata de aquí y decían: Ya se nos perdonará.
169_01	Y si se les presentaba de nuevo algo semejante lo volvían a tomar.¿Acaso Allah no les exigió el compromiso de no decir sobre Allah nada que no fuera verdad y no estudiaron su contenido?
169_02	La morada de la Última Vida es preferible para los que tienen temor (de Allah). ¿Es que no van a razonar?
170_00	Y los que se aferran al Libro y establecen la oración prescrita... Es cierto que no vamos a dejar que se pierda la recompensa.
171_00	Y cuando sacudimos el monte por encima de ellos como si fuera un entoldado y creyeron que les iba a caer encima.Tomad con fuerza lo que os hemos dado y recordad lo que contiene, tal vez os guardéis.
172_00	Y cuando tu Señor sacó de las espaldas de los hijos de Adam a su propia descendencia y les hizo que dieran testimonio: ¿Acaso no soy Yo vuestro Señor?
