001_00	Ta, Sin. Estos son los signos del Corán y de un Libro explícito.
040_00	Y dijo el que tenía conocimiento del Libro: Yo te lo traeré antes de que vuelva a ti tu mirada.*
040_01	Y cuando lo vió instalado ante él, dijo: Esto es parte del favor de mi Señor para probarme si soy agradecido o ingrato, y
040_02	quien es agradecido sólo lo es para sí mismo, pero quien es ingrato... Realmente mi Señor es Rico, Generoso.
041_00	Dijo: Hacedle irreconocible el trono para que comprobemos si tiene guía o si es de los que no tienen guía.
042_00	Y cuando ella vino, le preguntaron: ¿Es así tu trono? Respondió: Parece él. Pero nosotros habíamos recibido el conocimiento antes que ella y éramos musulmanes.*
043_00	Mientras que a ella la había desviado lo que adoraba fuera de Allah, realmente pertenecía a un pueblo de incrédulos.
044_00	Se le dijo: Entra en el palacio. Y cuando lo vió creyó que era una superficie de agua y se descubrió las piernas. Dijo: Es un palacio de cristal pulido.
044_01	Dijo ella: ¡Señor mío! He sido injusta conmigo misma pero me someto, junto con Sulayman, a Allah, el Señor de todos los mundos.
045_00	Y he aquí que a los Zamud les enviamos a su hermano Salih: ¡Adorad a Allah! Y entonces se dividieron en dos bandos que discutían.
046_00	Dijo: ¡Gente mía! ¿Por qué pedís que se apresure lo malo antes que lo bueno? Si pidierais perdón a Allah podríais ser tratados con misericordia.
047_00	Dijeron: Vemos un mal presagio para ti y para quien está contigo. Dijo: Vuestro presagio está junto a Allah, sin embargo sois un pueblo que está siendo puesto a prueba.
048_00	En la ciudad había nueve individuos que en vez de mejorar las cosas sembraban la corrupción en la tierra.
049_00	Dijeron: Hemos de jurarnos por Allah que le atacaremos de noche a él y a su familia y que luego diremos a su deudo que no fuimos testigos de la matanza de su familia y que decimos la verdad.
050_00	Urdieron un plan y Nosotros urdimos otro sin que ellos se dieran cuenta.
051_00	Mira cómo terminó su plan, en verdad los exterminamos a ellos y a sus familias, a todos.
052_00	Ahí quedaron sus casas vacías por haber sido injustos.Es cierto que en eso hay un signo para gente que sabe.
053_00	Y salvamos a los que habían creído y tenían temor (de Allah).
054_00	Y Lut, cuando le dijo a su gente: ¿Os entregáis a la aberración a pesar de que lo veis?
055_00	¿Cómo es que buscáis con deseo carnal a los hombres en vez de a las mujeres? Realmente sois un pueblo de ignorantes.
056_00	Pero la única respuesta de su gente fue decir: ¡Expulsad a la familia de Lut de vuestra ciudad! Es gente que se purifica.
057_00	Lo salvamos a él y a su familia con la excepción de su mujer, para la que habíamos decretado que estaría con los que se quedaron atrás.
058_00	E hicimos caer sobre ellos una lluvia. ¡Qué pésima lluvia la de los que fueron advertidos!
059_00	Di: Las alabanzas a Allah y la paz sea con Sus siervos elegidos. ¿Qué es mejor, Allah o lo que asocian con Él?
060_00	¿Acaso Quien ha creado los cielos y la tierra y hace que del cielo caiga agua para vosotros y que con ella crezcan jardines espléndidos cuyos árboles vosotros nunca hubierais podido hacer crecer...?
060_01	¿Puede haber otro dios con Allah? No, sino que son gente que equipara (otras cosas con Allah).
061_00	¿Acaso Quien ha hecho de la tierra un lugar para vivir y ha intercalado en ella ríos y le ha puesto cordilleras y ha puesto entre los dos mares una barrera...?
061_01	¿Es que hay acaso otro dios con Allah? No, sin embargo la mayoría de ellos no sabe.
062_00	¿Quién responde al que se ve en necesidad librándolo del mal y os ha hecho representantes (suyos) en la tierra? ¿Puede haber algún dios con Allah? Qué poco recapacitáis.
063_00	¿Quién os guía en las tinieblas de la tierra y del mar y Quién envía los vientos como preludio de Su misericordia?
063_01	¿Puede haber algún dios con Allah? ¡Sea exaltado Allah por encima de lo que Le asocian!
064_00	¿Quién puede crear una vez primera y luego volver a crear, y Quién os provee desde el cielo y la tierra?.¿Hay algún dios con Allah?Di: Traed la prueba que tengáis si sois de los que dicen la verdad
065_00	Di: Ninguno de los que están en los cielos y en la tierra conoce el No-Visto, sólo Allah lo conoce, y ni siquiera son conscientes de cuándo serán devueltos a la vida.
066_00	Por el contrario su conocimiento se completará en la Última Vida. Y sin embargo dudan sobre ella y sus corazones están ciegos en relación a ella.
067_00	Y dicen los que se niegan a creer: ¿Acaso cuando seamos tierra nosotros y nuestros padres, entonces, se nos hará salir?
068_00	Esto es lo que se nos ha prometido y lo que se prometió a nuestros padres anteriormente y realmente no son mas que leyendas de los antiguos.
069_00	Di: ¡Id por la tierra y ved cómo acabaron los malhechores!
070_00	Pero no te entristezcas por ellos ni estés en apuro por lo que traman.
071_00	Y dicen: ¿Cuándo se cumplirá esta promesa si es verdad lo que decís?
072_00	Di: Pudiera ser que parte de aquello cuya venida urgís os esté pisando los talones.
073_00	Verdaderamente tu Señor favorece a los hombres, sin embargo la mayoría de ellos no agradece.
074_00	Y es cierto que tu Señor sabe lo que sus pechos esconden y lo que muestran.
075_00	No hay nada oculto en el cielo o en la tierra que no esté en un libro explícito.
076_00	Realmente esta Recitación les refiere a los hijos de Israel la mayor parte de aquello sobre lo que no estaban de acuerdo entre ellos.
077_00	Y ciertamente es una guía y una misericordia para los creyentes.
078_00	Tu Señor decidirá entre ellos con Su juicio; Él es el Poderoso, el Conocedor.
079_00	Y confíate a Allah, es cierto que tú estás en la verdad indudable.
080_00	Tú no vas a hacer que los muertos oigan o que los sordos escuchen la llamada cuando se apartan desentendiéndose.
081_00	Ni vas a guiar a los ciegos sacándolos de su extravío.Tan sólo conseguirás que escuche aquel que crea en Nuestros signos y los que sean musulmanes (estén sometidos).
082_00	Cuando se haga realidad la palabra decretada contra ellos, haremos salir para ellos una bestia de la tierra que les hablará*.Realmente los hombres no tenían certeza de Nuestros signos.
083_00	Y el día en que reunamos, de cada comunidad, a un grupo de los que negaban la veracidad de Nuestros signos y sean distribuidos...
084_00	Y al llegar les diga: ¿Negasteis Mis signos sin tener conocimiento de ellos?, ¿qué es lo que hicisteis?
085_00	Y se hará realidad la palabra decretada contra ellos por haber sido injustos y no hablarán.
086_00	¿Es que no vieron cómo hemos hecho la noche para que descansen en ella y el día como claridad? Realmente en ello hay signos para gente que crea.
087_00	Y el día en que se sople en el cuerno y todos cuantos haya en los cielos y en la tierra se queden estremecidos, con la excepción de aquéllos que Allah quiera, y acudan todos a El, sumisos...
088_00	Y veas a las montañas, que creías sólidas, pasar como pasan las nubes. Es la obra de Allah que ha hecho magistralmente todas las cosas, verdaderamente Él conoce perfectamente lo que hacéis.
089_00	Quien se presente con buenas acciones obtendrá algo aún mejor y estará a salvo del horror de ese día.
090_00	Y quien se presente con malas acciones, será arrojado de cara al fuego. ¿Acaso se les pagará por algo que no sea lo que hayan hecho?
091_00	No se me ha ordenado sino que adore al Señor de esta tierra que ha hecho inviolable y a Quien todo pertenece; y se me ha ordenado que sea de los que se someten (los musulmanes).
092_00	Y que recite el Corán.Y quien sigue la guía lo hace en su propio beneficio, pero quien se extravía... Di: Yo sólo soy uno de los advertidores.
093_00	Y di: Las alabanzas a Allah.Él os mostrará Sus signos y vosotros los reconoceréis.Y tu Señor no descuidará lo que hacéis.
