001_00	Sad.
028_00	¿Es que vamos a considerar a los que creen y practican las acciones de bien del mismo modo que a los que corrompen en la tierra? ¿O a los temerosos como a los libertinos?
029_00	Es un Libro bendito, que te hemos hecho descender, para que mediten sus signos y para que recuerden los que saben reconocer lo esencial.
030_00	Y a Daud le concedimos a Sulayman. ¡Qué excelente siervo! Con qué frecuencia se volvía a su Señor.
031_00	Una tarde, que le habían mostrado unos magníficos corceles,
032_00	dijo: He amado lo bueno más que el recuerdo de mi Señor, hasta el punto de que (el sol) se ha ocultado tras el velo (de la noche).*
033_00	Traédmelos de nuevo.Y se puso a desjarretarlos y a degollarlos.*
034_00	Y pusimos a prueba a Sulayman colocando una figura en su trono*, después se volvió a su Señor.
035_00	Dijo: Señor mío, perdóname y concédeme un reino que nadie más después de mí pueda tener, realmente Tú eres el Dador.
036_00	Y le subordinamos el viento que corría, bajo su mandato, dócilmente y a donde él quería.
037_00	Y a todos los demonios, de albañiles y buzos,
038_00	y otros encadenados.
039_00	Este es Nuestro don, haz uso de él concediendo o denegando sin ninguna limitación.
040_00	Es cierto que él, junto a Nos, tiene proximidad y un hermoso lugar de retorno.
041_00	Y recuerda a Nuestro siervo Ayyub cuando clamó a su Señor: ¡El Shaytán me ha tocado con enfermedad y padecimiento!
042_00	Golpea el suelo con tus pies y tendrás agua fresca para lavarte y bebida.
043_00	Y le concedimos que recuperara a su familia y otro tanto más con ellos, como misericordia procedente de Nos y recuerdo para los que saben reconocer lo esencial.
044_00	Toma en tu mano un haz de ramas y golpea con él para que así no perjures*. Es verdad que lo hallamos paciente.¡Qué excelente siervo! Él se volvía mucho (a su Señor).
045_00	Y recuerda a Nuestros siervos lbrahim, Ishaq y Yaqub, ellos tenían firmeza y sagacidad.
046_00	Realmente los escogimos por su entrega al recuerdo de la Morada.
047_00	Y ellos están, ante Nos, entre los predilectos, los elegidos.
048_00	Y recuerda a Ismail, al-Yasa y a Dhul Kifl, todos predilectos.
049_00	Esto es un recuerdo y en verdad que para los temerosos hay un hermoso lugar de retorno:
050_00	los Jardines de Adn cuyas puertas estarán abiertas.
051_00	Allí, recostados, pedirán abundante fruta y bebida.
052_00	A su lado tendrán unas que sólo los mirarán a ellos, de su misma edad.
053_00	Esto es lo que se os promete para el Día de la Cuenta.
054_00	Esta será Nuestra provisión que no tendrá fin.
055_00	Así es, pero es cierto que los que traspasen los límites tendrán el peor lugar de retorno:
056_00	Yahannam, cuyo ardor sufrirán dentro de él.¡Qué mal lugar de descanso!
057_00	Así es. Que gusten el agua hirviente y la pus,
058_00	y otras cosas parecidas del mismo tipo.
059_00	Ahí tenéis a un grupo que entrará con vosotros*.No son bienvenidos; ellos también sufrirán el ardor del Fuego.
060_00	Dirán: ¡No, sois vosotros los que no sois bienvenidos, vosotros lo preparasteis para nosotros! ¡Qué mala residencia!
061_00	Dirán: ¡Señor nuestro! Dóblale el castigo en el Fuego, a quien preparó esto para nosotros.
062_00	Y dirán: ¿Cómo es que no vemos a unos hombres que considerábamos de los peores?
063_00	Los tomábamos a burla, ¿es que no los puede distinguir la vista?
064_00	Cierto que esto es verdad; así será la disputa de la gente del Fuego.
065_00	Di: Yo sólo soy un advertidor y no hay dios sino Allah, el Único, el Dominante.
066_00	El Señor de los cielos y de la tierra y de lo que hay entre ambos, el Irresistible, el Perdonador.
067_00	Di: Es un anuncio de enorme transcendencia.
068_00	Del que vosotros os apartáis.
069_00	No he tenido acceso a conocer la discusión del Consejo Supremo*
070_00	sino que sólo se me ha inspirado que sea un claro advertidor.
071_00	Cuando dijo tu Señor a los ángeles: Voy a crear un ser humano a partir del barro.
072_00	Y cuando le haya dado forma y haya insuflado en él parte de Mi espíritu: ¡Caed postrados ante él!
073_00	Y todos los ángeles se postraron,
074_00	aunque no así Iblis que se ensoberbeció y fue de los renegados.
075_00	Dijo: ¡Iblis! ¿Qué es lo que te impide postrarte ante quien he creado con Mis manos? ¿Te consideras demasiado grande para ello o es que estás entre los altivos?
076_00	Dijo: Yo soy mejor que él, a mí me creaste de fuego y a él lo has creado de barro.
077_00	Dijo: ¡Sal de él*! Realmente estás maldito.
078_00	Mi maldición caerá sobre ti hasta el Día de la Rendición de cuentas.
079_00	Dijo: ¡Señor mío! Concédeme un tiempo de espera hasta el día en que se les devuelva a la vida.
080_00	Dijo: Estás entre los que serán esperados
081_00	hasta el día cuyo momento es conocido.
082_00	Dijo: ¡Por Tu poder que los extraviaré a todos!
083_00	Con la excepción de aquéllos que sean Tus siervos sinceros.
084_00	Dijo: ¡Y por la verdad! Y es verdad lo que digo,
085_00	que llenaré Yahannam contigo y con los que de ellos te sigan, todos juntos.
086_00	Di: No os pido ninguna recompensa por ello ni soy un impostor.
087_00	No es sino un recuerdo para todos los mundos.
088_00	Y tened por seguro que, pasado un tiempo, conoceréis lo que anuncia.
