001_00	Alif, Lam, Ra. Estos son los signos del Libro Sabio.
049_01	Cada comunidad tiene un plazo y cuando les llega su plazo no se les retrasa ni adelanta una hora.
050_00	Di: ¿Y si os llegara Su castigo por la noche o de día?¿Qué pueden querer apresurar de él los que hacen el mal?
051_00	¿Es que vais a creer en él después, cuando ya haya ocurrido, o ahora, cuando queréis apresurarlo?
052_00	Luego se les dirá a los que fueron injustos: ¡Gustad el castigo de la eternidad! ¿Acaso se os paga por algo que no sea lo que habéis adquirido?
053_00	Te piden que les hagas saber si es verdad. Di: Sí, por mi Señor que es verdad y vosotros no podréis escapar.
054_00	Y aunque cada alma injusta fuera dueña de todo cuanto hay en la tierra, lo daría para rescatarse de él.
054_01	Cuando vean el castigo mantendrán en secreto su arrepentimiento y se decidirá entre ellos con equidad sin que sean tratados injustamente.
055_00	¿Acaso no es de Allah cuanto hay en los cielos y en la tierra? ¿No es la promesa de Allah verdadera?Sin embargo la mayor parte de los hombres no saben.
056_00	Él da la vida y da la muerte y a Él volveréis.
057_00	¡Hombres! Os ha llegado una exhortación de vuestro Señor, una cura para lo que hay en los pechos y una guía y una misericordia para los creyentes.
058_00	Di: Que con el favor de Allah y con Su misericordia se regocijen, ello es mejor que cuanto reúnen.
059_00	Di: ¿Veis la provisión que Allah ha hecho descender para vosotros? ¿Y habéis decidido no obstante qué es lo lícito y qué es lo ilícito?Di: ¿Os ha dado Allah autorización o es que estáis inventando sobre Allah?
060_00	¿Y qué pensarán el Día del Levantamiento los que inventaron mentiras sobre Allah? Es verdad que Allah posee favor para los hombres, sin embargo la mayoría de ellos no agradecen.
061_00	Y no hay situación en la que os encontréis ni recitación que de él* hagáis ni acción alguna que llevéis a cabo que no estemos siendo Testigos de ello cuando la emprendéis.
061_01	A tu Señor no le pasa desapercibido en la tierra y en el cielo ni el peso de una partícula de polvo, ni algo aún más pequeño o mayor que eso, sin que esté en un libro claro.
062_00	¿No es cierto que los amigos de Allah no tendrán que temer ni se entristecerán?
063_00	Esos que creyeron y tuvieron temor de Él.
064_00	Para ellos hay buenas noticias en esta vida y en la Última.No hay nada que pueda sustituir las palabras de Allah.Ese es el gran triunfo.
065_00	Y que no te entristezcan sus palabras, porque en verdad el poder pertenece del todo a Allah.Él es Quien oye y Quien sabe.
066_00	¿Acaso no son de Allah quienes están en los cielos y en la tierra?
066_01	¿Y qué siguen ésos que invocan fuera de Allah dioses que ellos Le asocian? Sólo siguen suposiciones y no hacen sino conjeturar.
067_00	Él es Quien hizo para vosotros la noche para que en ella descansarais y el día para que vierais; ciertamente en ello hay signos para la gente que escucha.
068_00	Dicen: Allah ha tomado para Sí un hijo. ¡Lejos de eso en Su gloria!
068_01	Él es el Rico, Suyo es cuanto hay en los cielos y en la tierra. No tenéis ninguna prueba de lo que decís. ¿Es que vais a decir sobre Allah lo que no sabéis?
069_00	Di: Es cierto que los que inventan la mentira sobre Allah no prosperan.
070_00	Un disfrute en este mundo; y después tendrán su regreso a Nosotros; y luego les haremos probar el duro castigo por haber negado.
071_00	Recítales la historia de Nuh cuando dijo a su gente:¡Gente mía!
071_01	Si no podéis soportar mi posición y que os llame al recuerdo con los signos de Allah...en Allah me apoyo.Decidid lo que vayáis a hacer encomendándoos a los dioses que asociáis (con Allah), hacedlo abiertamente y llevadlo a cabo en mí sin más demora.
072_00	Y si os apartáis...Yo no os pedí ningún pago, mi recompensa incumbe únicamente a Allah.Se me ha ordenado ser de los que están sometidos.
073_00	Lo tacharon de mentiroso y lo salvamos en la nave junto a los que con él estaban, dejándolos como sucesores y ahogando a los que habían negado la verdad de Nuestros signos.
073_01	Y mira cual fue el fin de los que habían sido advertidos.
074_00	Después, tras él, enviamos mensajeros a su gente y fueron a ellos con las pruebas claras pero no creyeron lo que ya antes habían tachado de mentira.
074_01	Así es como marcamos los corazones de los transgresores.
075_00	Luego, después de éstos, enviamos a Musa y a Harún, con Nuestros signos, a Firaún y a su élite; pero se llenaron de soberbia y fueron gente de mal.
076_00	Y cuando les vino la verdad de Nuestra parte, dijeron: En verdad esto es magia declarada.
077_00	Dijo Musa: ¿Es esto lo que decís de la verdad cuando os llega? ¿Cómo puede ser magia esto?Los magos no prosperan.
078_00	¿Dijeron: Has venido a nosotros para apartarnos de aquello en lo que encontramos a nuestros padres y conseguir para vosotros dos* la supremacía en la tierra?Nosotros no os creemos.
079_00	Y dijo Firaún: ¡Traedme a todos los magos expertos!
080_00	Y cuando vinieron los magos, Musa les dijo: ¡Echad lo que echáis!
081_00	Y cuando hubieron echado, dijo Musa: Lo que habéis traido es magia y Allah lo hará desaparecer, Allah no pone bien en la acción de los que corrompen.
082_00	Y Allah confirma la verdad con Sus palabras aunque les disguste a los que hacen el mal.
083_00	Pero sólo una parte de la descendencia de su pueblo creyó en Musa por miedo a que Firaún y su gente los persiguieran;
083_01	realmente Firaún fue altivo en la tierra y fue de los que exceden (todo límite).
084_00	Y dijo Musa: ¡Gente mía! Si creéis en Allah confiaros a Él, si es que sois sumisos.
085_00	Y dijeron: En Allah nos confiamos. ¡Señor nuestro! No pongas a prueba, a través de nosotros, a la gente injusta.
086_00	Y sálvanos, por tu Misericordia, de la gente incrédula.
087_00	E inspiramos a Musa y a su hermano: Procurad casas en Misr* para vuestra gente, hacedlas lugares de adoración y estableced la oración. Y da buenas noticias a los creyentes.
088_00	Y dijo Musa: ¡Señor nuestro! En verdad le has dado a Firaún y a su élite, lujo y riquezas en la vida de este mundo. ¡Señor nuestro! para que se extraviaran de Tu camino.
088_01	¡Señor nuestro! Destruye sus riquezas y endurece sus corazones, porque no van a creer hasta que no vean el castigo doloroso.
089_00	Dijo: Vuestra petición ha sido ya respondida, sed pues rectos y no sigáis el camino de los que no saben.
090_00	Hicimos que los hijos de Israel cruzaran el mar y Firaún y sus ejércitos los persiguieron con hostilidad e injusticia, hasta que al ver
090_01	que las aguas lo ahogaban, dijo: Creo que no hay otro dios sino Aquel en el que creen los hijos de Israel y soy de los que se someten.
091_00	¿Ahora?, ¿cuando antes desobedecías y eras de los corruptores?
092_00	Hoy arrojaremos tu cuerpo a tierra firme con el fin de que sea un signo para los que vengan después de ti.Pero es cierto que muchos de los hombres son indiferentes a Nuestros signos.
093_00	Y establecimos a los hijos de Israel en un lugar para vivir verdadero y les proveímos de las cosas buenas.
093_01	Y no entraron en discordia sino después de haberles llegado el conocimiento. Realmente tu Señor decidirá entre ellos el Día del Levantamiento acerca de aquello en lo que discrepaban.
094_00	Y si estás en duda de lo que te hemos hecho descender, pregunta a los que leían el
094_01	Libro antes de ti. Te ha llegado la verdad de tu Señor; no seas de los escépticos.
095_00	Ni seas tampoco de los que niegan la verdad de los signos de Allah, porque entonces estarías entre los perdidos.
096_00	Aquéllos en cuya contra se han hecho realidad las palabras de tu Señor, no creerán
097_00	aunque se les presenten todos los signos, hasta que no vean el doloroso castigo.
098_00	¿Por qué no hubo ninguna ciudad que creyera y se beneficiara de su creencia?Sólo la gente de Yunus, a los que en cuanto creyeron, les levantamos el denigrante castigo en esta vida dejándolos disfrutar por un tiempo.
099_00	Y si tu Señor quisiera creerían todos los que están en la tierra.¿Acaso puedes tú obligar a los hombres a que sean creyentes?
100_00	Ningún alma puede creer si no es con permiso de Allah y Él impondrá el vil castigo a quienes no razonen.
101_00	Di: Observad lo que hay en los cielos y en la tierra.Sin embargo a la gente que no cree no les sirven de nada los signos ni las advertencias.
102_00	¿Qué esperan sino algo similar a los días de sus antecesores?Di: Esperad entonces, que yo estaré con vosotros entre los que esperan.
103_00	Y siempre, después de ello, salvamos a Nuestros mensajeros y a los que han creído. Así es; salvar a los creyentes es un deber que nos hemos impuesto.
104_00	Di: ¡Hombres! Si estáis en duda acerca de la creencia que practico... No adoro a quienes vosotros adoráis aparte de Allah, sino que adoro a Allah, Aquel que hará que vuestro plazo se cumpla.
104_01	Y se me ha ordenado que sea de los creyentes.
105_00	Así como (me ha sido ordenado): Dirige tu rostro a la práctica de Adoración como hanif y no seas uno de los asociadores.
106_00	Y no invoques fuera de Allah aquello que ni te beneficia ni te perjudica, porque si lo hicieras, serías de los injustos.
107_00	Y si Allah te toca con un daño, nadie, sino Él, te librará de ello.
107_01	Y si te concede un bien... No hay quien pueda impedir Su favor. Él lo hace llegar a quien quiere de Sus siervos. Y Él es el Perdonador, el Compasivo.
108_00	Di: ¡Hombres! Os ha llegado la verdad procedente de vuestro Señor; quien se guíe, lo hará en beneficio de sí mismo y quien se extravíe sólo se perderá a sí mismo.
108_01	Yo no soy un guardián para vosotros.
109_00	Sigue lo que se te ha inspirado y ten paciencia hasta que Allah juzgue. Él es el mejor de los jueces.
