001_00	Kaf, Ha, Ya, Ayn, Sad.
047_00	Dijo: Paz contigo, pediré perdón por ti a mi Señor, es cierto que Él es Complaciente conmigo.
048_00	Me alejaré de vosotros y de lo que adoráis fuera de Allah e invocaré a mi Señor, tal vez no quede decepcionado en mi súplica de Él.
049_00	Y cuando los dejó junto a todo lo que adoraban fuera de Allah, le concedimos a Ishaq y a Yaqub y a ambos los hicimos profetas.
050_00	Les concedimos parte de Nuestra misericordia y les dimos una lengua de veracidad, sublime.
051_00	Y recuerda en el Libro a Musa, él estaba entregado y fue mensajero y profeta.
052_00	Lo llamamos desde la ladera derecha del monte y hablándole en confidencia lo acercamos a Nos.
053_00	Y le concedimos por Nuestra Misericordia a su hermano Harún como profeta.
054_00	Y recuerda en el Libro a Ismail, él fue cumplidor de la promesa y fue mensajero y profeta.
055_00	Mandaba a su gente la oración y la purificación de la riqueza* y era satisfactorio para su Señor.
056_00	Y recuerda en el Libro a Idris, él fue veraz y profeta.
057_00	Lo elevamos a un alto lugar.
058_00	Esos son los que Allah ha favorecido entre los profetas de la descendencia de Adam, los que llevamos con Nuh, la descendencia de Ibrahim e Israil* y los que guiamos y escogimos.
058_01	Cuando se les recitaban los signos del Misericordioso caían postrados llorando.
059_00	Después les sucedió una generación que abandonó la Oración* y siguió las pasiones; pero ya encontrarán perdición.
060_00	Con la excepción de los que se volvieron atrás, creyeron y obraron con rectitud, pues ellos entrarán en el Jardín y no se les hará injusticia en nada.
061_00	Los jardines de Adn que el Misericordioso ha prometido a Sus siervos antes de que los hayan visto, verdaderamente Su promesa llegará.
062_00	Allí no oirán ninguna frivolidad, sino: Paz. Y en ellos tendrán su sustento mañana y tarde.
063_00	Ese es el Jardín que haremos heredar a quien de Nuestros siervos se guarde.
064_00	Y no bajamos sino por orden de tu Señor*, Suyo es lo que tenemos por delante, lo que tenemos detrás y lo que hay en medio. Y tu Señor no es olvidadizo.
065_00	El Señor de los cielos y de la tierra y de lo que hay entre ambos. ¡Adoradle pues y sed constantes en vuestra adoración! ¿Conoces a alguien que tenga Su nombre?
066_00	Y dice el hombre: ¿Acaso cuando esté muerto seré resucitado?
067_00	¿Es que ya no recuerda el hombre que fue creado antes, cuando no era nada?
068_00	Por tu Señor que los reuniremos, así como a los demonios, y luego los haremos comparecer en torno a Yahannam, arrodillados.
069_00	Después, de cada grupo arrancaremos a los más obstinadamente rebeldes contra el Misericordioso.
070_00	Y ciertamente Nosotros sabemos mejor quienes son los que merecen más entrar en él.
071_00	Y no hay ninguno de vosotros que no vaya a llegar a él, esto es para tu Señor una decisión irrevocable.
072_00	Luego salvaremos a los que hayan sido temerosos (de su Señor) y abandonaremos en él a los injustos, arrodillados.
073_00	Y cuando Nuestros signos claros se les recitan, los que se niegan a creer les dicen a los que creen: ¿Cuál de las dos partes tiene mejor situación y mejor lugar de reunión?
074_00	¿Cuántas comunidades mejores que ellos en posesiones y en aspecto, destruimos?
075_00	Di: A los que están en el extravío, el Misericordioso los dejará así, hasta que
075_01	cuando vean lo que les fue prometido, ya sea el castigo o la Hora, sabrán quién tiene el peor lugar y es más débil en tropas.
076_00	Y a aquéllos que hayan seguido la guía, el Misericordioso los incrementará en ella. Y las palabras y acciones perdurables y rectas son mejor ante tu Señor en recompensa y en resultado.
077_00	¿No has visto a quien niega Nuestros signos cómo dice: Se me darán riquezas e hijos?
078_00	¿Es que acaso tiene acceso al No-Visto o ha hecho algún pacto con el Misericordioso?
079_00	¡Pero no! Escribiremos lo que dice y le prolongaremos el castigo.
080_00	Le haremos heredero de lo que dice y vendrá a Nosotros solo.
081_00	Y han tomado dioses fuera de Allah para que sean un poder para ellos.
082_00	¡Pero no! Estos renegarán de su adoración y se pondrán en su contra.
083_00	¿Es que no ves que hemos enviado a los demonios contra los incrédulos y los incitan seduciéndolos?
084_00	No te apresures contra ellos, verdaderamente les llevamos una cuenta.
085_00	El día en que reunamos ante el Misericordioso a los temerosos en grupos.
086_00	Y llevemos a los malhechores a Yahannam como ganado al abrevadero.
087_00	No habrá para ellos ninguna intercesión, a excepción de quien tenga un pacto con el Misericordioso.
088_00	Y dicen: El Misericordioso ha tomado un hijo.
089_00	Ciertamente traéis una calamidad.
090_00	A punto están los cielos de rasgarse, la tierra de abrirse y las montañas de derrumbarse por su causa.
091_00	Porque atribuyen un hijo al Misericordioso.
092_00	Y no es propio del Misericordioso tomar un hijo.
093_00	Todos los que están en los cielos y en la tierra no se presentan ante el Misericordioso sino como siervos.
094_00	Y es verdad que Él conoce su número y los tiene bien contados.
095_00	Todos vendrán a Él por separado el Día del Levantamiento.
096_00	Realmente a los que creen y practican las acciones de rectitud, el Misericordioso les dará amor.
097_00	Y es verdad que lo hemos hecho fácil a tu lengua para que así, al recitarlo, des buenas noticias a los temerosos y adviertas a una gente que se obstina.
098_00	Y cuántas generaciones hemos destruido antes de ellos. ¿Percibes a alguno de ellos o les escuchas algún murmullo?
