001_00	Alif, Lam, Mim
028_00	Os pone un ejemplo extraído de vosotros mismos: ¿Acaso hay entre aquéllos que poseen vuestras die
028_01	stras alguno que tenga parte en lo que os damos como provisión, de forma que no hay diferencias y
028_02	los teméis como os teméis entre vosotros? Así es como explicamos los signos a una gente que razona.
029_00	Sin embargo los injustos siguen sus pasiones sin conocimiento.¿Y quién guiará a quien Allah ha extraviado?No tendrán quien les auxilie.
030_00	Mantén tu rostro sin apartarlo de la Adoración primigenia, como hanif. La marca original* de Allah, con la que ha marcado a los hombres al crearlos.
030_01	No se puede reemplazar la creación de Allah. Esa es la forma de Adoración genuina, sin embargo la mayoría de los hombres no saben.
031_00	Vueltos hacia Él*.Y temedle, estableced el salat y no seáis de los que asocian.
032_00	De ésos que han creado divisiones en su práctica de Adoración y se han fragmentado en sectas. Cada facción está contenta con lo suyo.
033_00	Y cuando algún perjuicio afecta a los hombres, suplican a su Señor recurriendo a El, pero luego cuando les da a probar una misericordia procedente de Él, una parte de ellos asocia a otros con su Señor,
034_00	para de esta manera ser ingratos con lo que les dimos.Pero disfrutad que ya sabréis.
035_00	¿O es que acaso hemos hecho descender sobre ellos alguna prueba que hable a favor de lo que asocian?
036_00	Cuando les hacemos probar a los hombres una misericordia se alegran con ella, pero si les sobreviene algún mal, a causa de los que sus manos presentan, entonces se desesperan.
037_00	¿Es que no ven que Allah expande la provisión a quien quiere y la restringe (a quien quiere)?Es cierto que en eso hay signos para gente que cree.
038_00	Da, pues, el derecho que le corresponde al pariente, al pobre y al viajero. Ello es mejor para los que buscan la faz de Allah.Y ésos son los que cosecharán éxito.
039_00	Y lo que deis de más* para que os revierta aumentado en la riqueza de la gente, no crecerá junto a Allah.
039_01	Pero lo que deis con generosidad buscando la faz de Allah... A ésos se les multiplicará.
040_00	Allah es Quien os crea y luego os sustenta, luego os hará morir y luego os devolverá a la vida.
040_01	¿Hay alguno de vuestros asociados que pueda hacer algo de eso?¡Glorificado sea Él y exaltado por encima de lo que asocian!
041_00	La corrupción se ha hecho patente en la tierra y en el mar a causa de lo que las manos de los hombres han adquirido, para hacerles probar parte de lo que hicieron y para que puedan echarse atrás.
042_00	Di: Id por la tierra y mirad cuál fue el fin de los que hubo antes. La mayoría de ellos eran asociadores.
043_00	Dirige tu rostro hacia la práctica de Adoración auténtica, antes de que llegue un día en el que Allah no dará posibilidad de volver. Ese día serán separados.
044_00	Quienes se hayan negado a creer, sobre ellos pesará su incredulidad, y quienes hayan obrado con rectitud se habrán preparado el terreno a sí mismos.
045_00	Para que Él recompense con Su favor a quienes hayan creído y llevado a cabo las acciones de bien; es cierto que Él no ama a los incrédulos.
046_00	Y parte de Sus signos es que envía los vientos anunciando buenas noticias para haceros probar parte de Su misericordia, para que navegue la nave gracias a Su mandato y para que busquéis Su favor y podáis ser agradecidos.
047_00	Y he aquí que antes de ti enviamos mensajeros a sus respectivos pueblos.
047_01	Fueron a ellos con las pruebas evidentes y Nos vengamos de los que hicieron el mal. Era un deber para Nosotros auxiliar a los creyentes.
048_00	Allah es Quien envía los vientos que remueven las nubes a las que extiende en el cielo como quiere y las fragmenta, y ves cómo la lluvia sale de su interior.
048_01	Y cuando la hace caer sobre aquéllos de Sus siervos que Él quiere, se llenan de júbilo.
049_00	A pesar de haber perdido ya la esperanza de que la hiciéramos caer sobre ellos.
050_00	Así pues, mira las huellas de la misericordia de Allah: Cómo le da vida a la tierra después de haber estado muerta.Él es Quien devolverá la vida a los muertos y Él que tiene poder sobre todas las cosas.
051_00	Pero si enviamos un viento y ven que todo se pone amarillo, seguramente empezarán a dejar de creer por su causa.
052_00	Y por cierto que tú no vas a hacer que oigan los muertos ni que los sordos escuchen la llamada mientras se alejan dando la espalda.
053_00	Tú no puedes guiar a los ciegos sacándolos de su extravío y sólo puedes hacer que escuchen aquéllos que creen en Nuestros signos y están sometidos (son musulmanes).
054_00	Allah es Quien os ha creado de debilidad y después de ser débiles os ha dado fortaleza y después, tras haberla tenido, os da debilidad de nuevo y vejez.
054_01	Él crea lo que quiere y es el Conocedor, el Poderoso.
055_00	El día en que ocurra la Hora, los que hayan hecho el mal jurarán no haber permanecido (en las tumbas) sino una hora.Del mismo modo mentían.
056_00	Y dirán aquéllos a los que se les dio el conocimiento y la creencia: Realmente habéis permanecido, tal y como está en el Libro de Allah, hasta el Día del Resurgimiento
056_01	y éste es el Día del Resurgimiento; sin embargo vosotros no lo sabíais.
057_00	Ese día ninguna excusa les servirá a los que fueron injustos ni tendrán oportunidad de complacer (a su Señor).
058_00	Realmente en este Corán le hemos puesto al hombre toda clase de comparaciones; pero aunque fueras a ellos con un prodigio, los que no quieren creer dirían: No sois mas que farsantes.
059_00	Así es como Allah marca los corazones de los que no saben.
060_00	Ten pues paciencia porque en verdad la promesa de Allah es verídica, que no te inquieten los que no tienen certeza.
