001_00	Alif, Lam, Mim.
014_00	A los hombres se les ha embellecido el amor por todo lo deseable: las mujeres, los hijos, la acumulación de caudales de oro y plata, los caballos de raza, los animales de rebaño y las tierras de labor.
014_01	Ese es el disfrute de la vida de este mundo, pero Allah tiene junto a Sí el lugar de retorno más hermoso.
015_00	Di: ¿Queréis saber algo mejor que eso?
015_01	Quien tenga temor (de Allah), tendrá junto a su Señor jardines por los que corren los ríos; allí serán inmortales, tendrán esposas puras y complacencia de Allah.
015_02	Allah ve a los siervos.
016_00	Los que dicen: ¡Señor nuestro! Creemos, perdónanos las faltas y presérvanos del castigo del Fuego.
017_00	Los pacientes, los veraces, los que se entregan a la obediencia, los que dan, y los que piden perdón en el tiempo anterior al alba.
018_00	Allah atestigua que no hay dios sino Él, así como los ángeles y los dotados de conocimiento, rigiendo (Su creación) con equidad.No hay dios sino Él, el Inigualable, el Sabio.
019_00	Realmente la práctica de Adoración ante Allah es el Islam*.Los que recibieron el Libro no discreparon sino después de haberles llegado el conocimiento, por envidias entre ellos.
019_01	Y quien niega los signos de Allah... Cierto es que Allah es Rápido en la cuenta.
020_00	Si te cuestionan, di: He sometido mi rostro a Allah, al igual que los que me siguen. Diles a los que recibieron el Libro y a los ignorantes: ¿No os someteréis*? Si se someten habrán sido guiados, pero si se apartan...
020_01	La verdad es que a ti sólo te incumbe la transmisión. Allah ve a los siervos.
021_00	Realmente los que niegan los signos de Allah y matan a los profetas sin derecho alguno
021_01	y matan a quienes ordenan la equidad entre los hombres... Anúnciales un castigo doloroso.
022_00	Esos son aquéllos cuyas acciones serán inútiles en esta vida y en la Última; y no tendrán quien les auxilie.
023_00	¿No has visto cómo los que recibieron una parte del Libro recurren al Libro de Allah para que sirva de juicio entre ellos y cómo luego hay un grupo que da la espalda y se desentiende?
024_00	Eso es porque dicen: El Fuego no nos tocará sino días contados. Lo que habían inventado les ha falseado su Práctica de Adoración.
025_00	¿Y qué ocurrirá cuando un día, sobre el que no cabe duda, los reunamos y a cada uno se le pague por lo que se haya ganado sin que se le trate injustamente?
026_00	Di: ¡Allah, Rey de la Soberanía! Das el Dominio a quien quieres y se lo quitas a quien quieres. Y das poder a quien quieres y humillas a quien quieres.
026_01	El bien está en Tu mano*. Realmente eres Poderoso sobre todas las cosas.
027_00	Haces que la noche entre en el día y que el día entre en la noche. Haces salir lo vivo de lo muerto y lo muerto de lo vivo;
027_01	y provees a quien quieres sin limitación.
028_00	Que los creyentes no tomen por amigos* a los incrédulos en vez de a los que creen. Quien lo haga... no tendrá nada que ver con Allah.
028_01	A menos que sea para guardaros de ellos. Allah os advierte que tengáis cuidado con Él. Y a Allah habéis de volver.
029_00	Di: Tanto si escondéis lo que hay en vuestros pechos como si lo mostráis, Allah lo sabe. Y conoce lo que hay en los cielos y en la tierra.Allah es Poderoso sobre todas las cosas.
030_00	El día en que cada uno encuentre ante sí el bien y el mal que haya hecho, deseará que de éste último, le separe una gran distancia.
030_01	Allah os advierte que tengáis cuidado con Él. Allah es Clemente y Misericordioso con los siervos.
031_00	Di: Si amáis a Allah, seguidme, que Allah os amará y perdonará vuestras faltas. Allah es Perdonador y Compasivo.
032_00	Di: Obedeced a Allah y al Mensajero pero si os apartáis...Ciertamente Allah no ama a los que reniegan.
033_00	Allah eligió a Adam, a Nuh, a la familia de Ibrahim y a la familia de Imrán* por encima de los mundos.
034_00	(Los eligió) generación tras generación.Allah es Oyente y Conocedor.
035_00	Cuando dijo la mujer de Imrán*: ¡Señor mío! Hago la promesa de ofrecerte lo que hay en mi vientre, para que se dedique exclusivamente a Tu servicio, libre de las obligaciones del mundo. Acéptalo de mi; verdaderamente Tú eres Quien oye y Quien sabe.
036_00	Y una vez hubo parido dijo: ¡Señor mío! He dado a luz una hembra y bien sabía Allah lo que había parido; y no es el varón como la hembra.
036_01	La he llamado Maryam: A ella y a su descendencia los refugio en Ti del Shaytán lapidado.
037_00	Su Señor la aceptó con buena acogida, hizo que se criara bien y la confió a Zakariyya. Cada vez que Zakariyya la visitaba en su lugar de oración, encontraba junto a ella provisión.
037_01	Decía: ¡Maryam! ¿Cómo es que tienes esto? Decía ella: Esto procede de Allah, es cierto que Allah provee a quien quiere sin limitación.
038_00	Entonces Zakariyya suplicó a su Señor y dijo: ¡Señor mío! Concédeme una buena descendencia procedente de Ti; realmente Tú eres el que atiende las súplicas.
039_00	Y los ángeles lo llamaron mientras permanecía en pie rezando en el lugar de oración: Allah te anuncia la buena noticia
039_01	(del nacimiento) de Yahya, que será confirmador de una palabra de Allah*, señor, casto, y de entre los justos, profeta.
040_00	Dijo: ¡Señor mío! ¿Cómo es que voy a tener un hijo si he alcanzado ya la vejez y mi mujer es estéril?Dijo: Así es, Allah hace lo que quiere.
041_00	Dijo: ¡Señor mío! Dame una señal.Dijo: Tu señal será que, durante tres días, no podrás hablar a la gente excepto por señas.Invoca mucho a tu Señor y ora mañana y tarde.
042_00	Y cuando dijeron los ángeles: ¡Maryam! Allah te ha elegido, te ha purificado y te ha escogido entre todas las mujeres de la creación).[Lit. de los mundos]
043_00	¡Maryam! Dedícate por entero al servicio de tu Señor y póstrate e inclínate con los que se inclinan.
044_00	Estas son noticias del No-Visto que te inspiramos.Tú* no estabas con ellos cuando echaron a suertes con sus flechas para saber cuál de ellos sería el tutor de Maryam, ni estabas allí cuando discutieron.
045_00	Cuando dijeron los ángeles: ¡Maryam! Allah te anuncia una palabra procedente de Él cuyo nombre será el Ungido*, Isa hijo de Maryam; tendrá un alto rango en esta vida y en la Última;
045_01	y será de los que tengan proximidad.
046_00	En la cuna y siendo un hombre maduro, hablará a la gente y será de los justos.
047_00	Dijo: ¡Señor mío! ¿Cómo voy a tener un hijo si ningún hombre me ha tocado? Dijo: Así será, Allah crea lo que quiere; cuando decide un asunto le basta decir: ¡Sé! Y es.
048_00	Y le enseñará la Escritura y la Sabiduría, la Torá y el Inyil.
049_00	Y será un mensajero para los hijos de Israel (y les dirá): He venido a vosotros con un signo de vuestro Señor.
049_01	Voy a crear para vosotros, a partir del barro, algo con forma de ave. Soplaré en ello y será un ave con permiso de Allah.
049_02	Y sanaré al ciego y al leproso y daré vida a los muertos con permiso de Allah y os diré (sin verlo) lo que coméis y lo que guardáis en vuestras casas.
049_03	Y, si sois creyentes, en ello tenéis un signo.
050_00	Soy un confirmador de lo que había antes de mí en la Torá y os haré lícito parte de lo que se os prohibió.
050_01	He venido a vosotros con un signo de vuestro Señor, así pues, temed a Allah y obedecedle.
051_00	Allah es mi Señor y el vuestro, ¡Adorádle! Esto es un camino recto.
052_00	Y cuando Isa notó rechazo en ellos, dijo: ¿Quién defenderá conmigo la causa de Allah?
052_01	Entonces dijeron los más íntimos de los discípulos: Nosotros somos los defensores de Allah, en Allah creemos; da testimonio de que estamos sometidos*.
053_00	¡Señor nuestro! Creemos en lo que has hecho descender y seguimos al mensajero, incluye nuestro nombre entre los que dan testimonio.
054_00	Y maquinaron, pero Allah también maquinó y Allah es el que mejor maquina.
055_00	Cuando dijo Allah: ¡Isa!
055_01	Voy a llevarte y a elevarte hacia Mí y voy a poner tu pureza a salvo de los que no creen. Hasta el día del Levantamiento consideraré a los que te hayan seguido por encima de los que se hayan negado a creer, luego volveréis a Mí y juzgaré entre vosotros sobre aquello en lo que discrepabais.
056_00	Y a los que no creen, los castigaré con un severo castigo en esta vida y en la Última. No tendrán quien les auxilie.
057_00	Pero a quienes creen y practican las acciones de bien, los recompensaremos cumplidamente. Allah no ama a los injustos.
058_00	Esto te lo contamos como parte de los signos y del Recuerdo Sabio.
059_00	Verdaderamente Isa, ante Allah, es como Adam.Lo creó de tierra y luego le dijo: ¡Sé! Y fue.
060_00	(Esto es) la verdad procedente de tu Señor, no seas de los que dudan.
061_00	Y a quien, después del conocimiento que te ha venido, te discuta sobre él, dile: Venid, llamemos a nuestros hijos y a los vuestros, a nuestras mujeres y a las vuestras y llamémonos a nosotros todos
061_01	y luego pidamos y hagamos que la maldición de Allah caiga sobre los mentirosos.
062_00	Ciertamente esta es la verdadera historia* y no hay dios sino Allah. Y en verdad que Allah es el Inigualable, el Sabio.
063_00	Y si vuelven la espalda... Es cierto que Allah conoce a los corruptores.
064_00	Di: ¡Gente del Libro!
064_01	Venid a una palabra común para todos: Adoremos únicamente a Allah, sin asociarle nada y no nos tomemos unos a otros por señores en vez de Allah. Y si vuelven la espalda, decid: ¡Sed testigos de que somos musulmanes!
065_00	Di: ¡Gente del Libro! ¿Por qué disputáis sobre Ibrahim, si la Torá y el Inyil no se hicieron descender sino después de él?¿Es que no razonaréis?
066_00	Y estáis disputando sobre lo que no sabéis. ¿Por qué disputáis sobre aquello de lo que no tenéis conocimiento?Allah sabe y vosotros no sabéis.
067_00	Ibrahim no era ni judío ni cristiano, sino hanif y musulmán.Y no uno de los asociadores.
068_00	En verdad los más dignos de (llamar suyo a) lbrahim, son los que le siguieron, este Profeta y los que creen. Y Allah es Protector de los creyentes.
069_00	Hay algunos de la gente del Libro que quisieran extraviaros, pero sólo se extravían a sí mismos sin darse cuenta.
070_00	¡Gente del Libro! ¿Por qué negáis los signos de Allah si sois testigos de ellos?
071_00	¡Gente del Libro! ¿Por qué disfrazáis la verdad de falsedad y ocultáis la verdad a sabiendas?
072_00	Una parte de la gente del Libro dijo: Creed en lo que se les ha hecho descender a los que creen sólo al principio del día, pero dejad de creer en ello al final; puede que así desistan.
073_00	Y no creáis en nadie que no siga vuestra misma forma de Adoración - Di: La guía de Allah es la Guía - ni creáis que se le pueda dar a nadie lo que se os ha dado a vosotros, ni que pueda tener pruebas contra vosotros ante vuestro Señor.
073_01	Di: El favor está en manos de Allah, y Él lo da a quien quiere. Allah es Espléndido y Conocedor.
074_00	Distingue con Su misericordia a quien quiere; Allah es Poseedor del favor inmenso.
075_00	De la gente del Libro hay algunos que si les confías una gran cantidad de dinero, te la devuelven, pero hay otros que aunq
075_01	ue les confíes un dinar, sólo te lo devuelven después de pedírselo con insistencia.
075_02	Eso es porque ellos han dicho: No hay medio de ir contra nosotros por lo que hagamos con los ignorantes*, diciendo una mentira contra Allah a pesar de que saben.
076_00	¡Muy al contrario! Quien cumple su compromiso y es temeroso... Allah ama a los que Le temen.
077_00	La verdad es que los que venden el pacto de Allah y sus juramentos a bajo precio, no tendrán parte en la Última Vida.
077_01	Allah no les hablará ni los mirará el Día del Levantamiento ni los purificará: Tienen un castigo doloroso.
078_00	Y hay una parte de ellos que tergiversan el Libro con sus lenguas, para que creáis que lo que recitan es parte de él.Pero no es parte del Libro.
078_01	Dicen: Esto viene de Allah; pero no es cierto que venga de Allah.Dicen una mentira contra Allah, a sabiendas.
079_00	No cabe en un ser humano a quien Allah le ha dado el Libro, la Sabiduría y la Profecía, que diga a los hombres: Sed siervos míos en vez de (siervos de) Allah;
079_01	sino más bien: Sed maestros, puesto que conocéis el Libro y lo habéis estudiado.
080_00	Y no os ordena que toméis a los ángeles y a los profetas como señores. ¿Os iba a ordenar la incredulidad después de haber sido musulmanes?
081_00	Y (ten presente) el compromiso que Allah pidió a los profetas: Os damos parte de un Libro y de una Sabiduría, luego vendrá a vosotros un mensajero que confirmará lo que tenéis; en él habréis de creer y le habréis de ayudar. Dijo: ¿Estáis de acuerdo y aceptáis, en estos términos, Mi pacto? Dijeron: Estamos de acuerdo.
081_01	Dijo: Dad testimonio, que Yo atestiguo con vosotros.
082_00	Quien dé la espalda después de eso... Esos son los que se salen del camino.
083_00	¿Acaso desearéis algo distinto a la Práctica de Adoración aceptada por Allah, cuando todos los que están en los cielos y en la tierra están sometidos a Él, de grado o por fuerza, y a Él tenéis que volver?*
084_00	Di: Creemos en Allah y en lo que se ha hecho descender para nosotros y en lo que se hizo descender sobre Ibrahim, Ismail, Ishaq, Yaqub y las Tribus,
084_01	así como lo que le fue dado a Musa, a Isa y a los profetas, procedente de su Señor; no excluimos a unos y aceptamos a otros y a Él estamos sometidos.
085_00	Y quien desee otra práctica de Adoración que no sea el Islam. no le será aceptada y en la Última Vida será de los perdedores.
086_00	¿Cómo guiará Allah a unos que después de haber creído y de haber atestiguado la verdad del Mensajero y después de haberles llegado las pruebas claras han renegado?Allah no guía a las gentes injustas.
087_00	La recompensa de éstos será que la maldición de Allah, la de los ángeles y la de todos los hombres, caerá sobre ellos.
088_00	Inmortales en ello, no se les aliviará el castigo ni se les aplazará.
089_00	Salvo aquellos que se vuelvan atrás arrepentidos y se corrijan, pues es verdad que Allah es Perdonador, Compasivo.
090_00	Ciertamente a los que han renegado después de haber creído y luego han persistido aumentando su incredulidad, no se les aceptará el arrepentimiento.Ellos son los extraviados.
091_00	El que se niegue a creer y muera siendo incrédulo no se le aceptará ningún rescate; aunque diera
091_01	todo el oro que cabe en la tierra. Esos tendrán un castigo doloroso y no habrá quien les auxilie.
092_00	No alcanzaréis la virtud, hasta que no deis de lo que amáis.Y cualquier cosa que deis, Allah la conoce.
093_00	Antes de que se hiciera descender la Torá, todos los alimentos eran lícitos para los hijos de Israel salvo
093_01	los que el propio Israel* se prohibió a sí mismo. Di: ¡Si es verdad lo que decís, traed la Torá y recitadla!
094_00	El que invente la mentira contra Allah después de eso... Esos son los injustos.
095_00	Di: Allah ha dicho la verdad, seguid pues la religión de Ibrahim, que era hanif y no de los que asocian.
096_00	Es cierto que la primera casa* que fue erigida para los hombres fue la de Bakka*, bendita y guía para todos los mundos.
097_00	En ella hay signos claros: La estación de Ibrahim; quien entre en ella, estará a salvo. Los hombres tienen la obligación con Allah de peregrinar a la Casa, si encuentran medio de hacerlo.
097_01	Y quien se niegue... Ciertamente Allah es Rico con respecto a todas las criaturas.
098_00	Di: ¡Gente del Libro! ¿Por qué negáis los signos de Allah cuando Allah es Testigo de lo que hacéis?
099_00	Di: ¡Gente del Libro! ¿Por qué desviáis de la senda de Allah a quien cree y deseáis que sea tortuosa cuando vosotros mismos sois testigos (de su verdad)?Allah no está descuidado de lo que hacéis.
100_00	¡Vosotros que creéis! Si obedecéis a algunos de los que recibieron el Libro, conseguirán haceros caer en la incredulidad después de que habéis creído.
101_00	¿Y cómo es que os negáis a creer, cuando se os recitan los signos de Allah y tenéis entre vosotros a Su Mensajero?Quien se aferre a Allah, será guiado a un camino recto.
102_00	¡Vosotros que creéis! Temed a Allah como debe ser temido y no muráis sin estar sometidos*.
103_00	Y aferráos todos juntos a la cuerda de Allah y no os separéis; y recordad el favor que Allah ha tenido con vos
103_01	otros cuando, habiendo sido enemigos, ha unido vuestros corazones y por Su gracia os habéis convertido en hermanos.
103_02	Estabais al borde de caer en el Fuego y os salvó de ello. Así os aclara Allah Sus signos. Ojalá os guiéis.
104_00	Para que de vosotros surja una comunidad que llame al bien, ordene lo reconocido e impida lo reprobable. Esos son los que cosecharán el éxito.
105_00	Y no seáis como aquéllos* que se dividieron y cayeron en discordia, cuando ya les habían llegado las pruebas claras. Esos tendrán un inmenso castigo.
106_00	El día en que unos rostros se vuelvan blancos y otros negros. Aquéllos cuyos rostros se ennegrezcan...¡Renegasteis después de haber creído, gustad pues el castigo porque no creísteis!
107_00	Aquéllos cuyos rostros se vuelvan blancos, estarán en la Misericordia de Allah, en ella serán inmortales.
108_00	Esos son los signos de Allah que te recitamos con la verdad y Allah no quiere la injusticia para las criaturas.
109_00	A Allah pertenece cuanto hay en los cielos y en la tierra y a Allah se remiten los asuntos.
110_00	Sois la mejor comunidad que ha surgido en bien de los hombres.
110_01	Ordenáis lo reconocido, impedís lo reprobable y creéis en Allah. Y a la gente del Libro más les valdría creer. Los hay creyentes, pero la mayoría se han salido del camino.
111_00	No os harán ningún daño aparte de alguna molestia, y si combaten contra vosotros, volverán la espalda ante vuestra presencia. Y luego no se les prestará auxilio.
112_00	Donde quiera que se encuentren tendrán que soportar la humillación, a menos que hayan hecho algún pacto con Allah o con los hombres. Se ganaron la ira de Allah y se les impuso el yugo de la mezquindad.
112_01	Porque negaron los signos de Allah y mataron a los profetas sin razón; y porque desobedecieron y fueron transgresores.
113_00	No todos los de la gente del Libro son iguales, los hay que forman una comunidad recta: recitan los signos de Allah durante la noche y se postran.
114_00	Creen en Allah y en el Último Día, ordenan lo reconocido e impiden lo reprobable y compiten en las acciones de bien. Esos son de los justos.
115_00	Y el bien que hagáis... No se os negará. Allah conoce a los que Le temen.
116_00	Y realmente a los que se niegan a creer, de nada les servirán frente a Allah ni sus obras ni sus hijos. Ellos son los compañeros del Fuego, en el que serán inmortales.
117_00	Lo que gastan en la vida del mundo es como un viento helado que azota los campos de un pueblo injusto consigo mismo y los arrasa.
117_01	Pero no es Allah quien es injusto con ellos, sino que son ellos los injustos consigo mismos.
118_00	¡Vosotros que creéis! No toméis por amigos de confianza a quienes no sean de los vuestros, porque no cejarán en el empeño de corromperos; desean vuestro mal.
118_01	La ira asoma por sus bocas, pero lo que ocultan sus pechos es aún peor. Y si razonáis, ya se os han aclarado los signos...
119_00	¿Pero cómo es que vosotros, que creéis en todos los libros revelados, los amáis mientras que ellos no os aman? Cuando se encuentran con vosotros dicen: Creemos. Pero cuando están a solas se muerden los dedos de rabia contra vosotros.
119_01	Di: ¡Morid con vuestra rabia! Realmente Allah conoce lo que hay en los pechos.
120_00	Si os llega un bien, les duele, y si os sobreviene un mal, se alegran por ello; pero si
120_01	tenéis paciencia y sois temerosos, su intriga no os dañará en absoluto; es cierto que Allah rodea lo que hacen.
121_00	Y cuando, a primera hora de la mañana, te ausentaste de tu familia para asignar a los creyentes sus puestos de combate... Y Allah es Oyente, Conocedor.
122_00	Cuando dos grupos de los vuestros temieron flaquear y Allah era Su protector. Que en Allah se confíen los creyentes.
123_00	Es cierto que Allah os ayudó en Badr, aunque estabais en inferioridad de condiciones. Así pues, temed a Allah y podréis ser agradecidos.
124_00	Cuando dijiste a los creyentes: ¿No os basta con que vuestro señor os haya fortalecido haciendo descender tres mil ángeles?
125_00	Y si tenéis paciencia y tenéis temor (de Allah) y vienen a vosotros de improviso, Allah os fortalecerá con cinco mil ángeles designados.
126_00	Y no lo hizo Allah sino para que fuera una buena nueva para vosotros y para tranquilizar vuestros corazones.El auxilio sólo viene de Allah, el Irresistible, el Sabio.
127_00	Y también para destruir a los que se habían negado a creer, o subyugarlos, y que quedaran defraudados.
128_00	No es asunto tuyo si Él se vuelve sobre ellos con Su perdón o si los castiga, pues ciertamente ellos son injustos.
129_00	Y a Allah pertenece cuanto hay en los cielos y cuanto hay en la tierra. Perdona a quien quiere y castiga a quien quiere.Allah es Perdonador y Compasivo.
130_00	¡Vosotros que creéis¡ No os alimentéis de la usura, que se multiplica sin fin, y temed a Allah para que podáis tener éxito.
131_00	Guardaos del Fuego que ha sido preparado para los incrédulos.
132_00	Y obedeced a Allah y al Mensajero para que se os dé misericordia.
133_00	Acudid prestos hacia un perdón de vuestro Señor y a un Jardín preparado para los temerosos, cuyo ancho son los cielos y la tierra.
134_00	Esos que dan en los momentos de desahogo y en los de estrechez, refrenan la ira y perdonan a los hombres. Allah ama a los que hacen el bien.
135_00	Aquéllos que cuando cometen una indecencia o son injustos consigo mismos, recuerdan a Allah y piden perdón por sus faltas - porque ¿quién perdona las faltas sino Allah?
135_01	- y no reinciden en lo que hicieron después de saberlo.
136_00	Esos tienen como recompensa un perdón de su Señor y jardines por los que corren los ríos. En ellos serán inmortales.¡Qué excelente recompensa para los que actúan!
137_00	Antes que vosotros ya se siguió otras veces un mismo modo de actuar*; así pues, recorred la tierra y mirad cómo acabaron los que negaron la verdad.
138_00	Esto es una aclaración para los hombres y una guía y una advertencia para los que temen (a Allah).
139_00	No desfallezcáis ni os apenéis, porque, si sois creyentes, seréis superiores.
140_00	Si sufrís una herida, ellos también sufrieron una herida similar.
140_01	Así es como alternamos los días entre los hombres para que Allah sepa quienes son los que creen y tome a algunos de entre vosotros para morir dando testimonio.*Allah no ama a los injustos.
141_00	Y para que Allah limpie las malas acciones de los que creen y aniquile a los que se niegan a creer.
142_00	¿O contáis acaso con entrar en el Jardín sin que Allah sepa quiénes de vosotros han luchado y quiénes son los pacientes?
143_00	Habíais deseado la muerte antes de tenerla enfrente, pero al verla os quedasteis mirando.*
144_00	Pero Muhammad es sólo un mensajero antes del cual ya hubo otros mensajeros.
144_01	Si muriese o lo mataran, ¿daríais la espalda? Quien da la espalda, no perjudicará a Allah en absoluto. Y Allah recompensará a los agradecidos.
145_00	Nadie muere si no es con permiso de Allah, en un plazo escrito de antemano.
145_01	Quien quiera la recompensa que ofrece esta vida se la daremos en parte, y quien quiera la recompensa de la Última se la daremos. Y recompensaremos a los agradecidos.
146_00	¡Cuántos profetas ha habido a cuyo lado murieron multitud de seguidores y no se desanimaron por lo que les afligía en el camino de Allah ni flaquearon ni buscaron descanso!
146_01	Allah ama a los pacientes.
147_00	Tan sólo dijeron: ¡Señor nuestro, perdónanos las faltas y que hayamos ido más allá de los límites en aquello que es de nuestra incumbencia; afirma nuestros pasos y auxílianos contra el pueblo incrédulo!
148_00	Y Allah les dio la recompensa de esta vida y la hermosa recompensa de la Última. Allah ama a los que hacen el bien.
149_00	¡Vosotros que creéis! Si obedecéis a los que no creen harán que os volváis sobre vuestros pasos y os perderéis.
150_00	Pero Allah es vuestro Señor, y Él es el mejor de los que auxilian.
151_00	Arrojaremos el terror en los corazones de los que no creen por haber equiparado a Allah con aquello sobre lo que no se ha hecho descender ningún poder. Y su refugio será el Fuego.¡Qué mala morada la de los injustos!
152_00	Ciertamente Allah fue sincero con vosotros en Su promesa cuando, con Su permiso, los estabais venciendo. Sin embargo, cuando Allah os hizo ver lo que amabais, entonces flaqueasteis, discutisteis las órdenes y desobedecisteis, pues entre vosotros hay quien quiere esta vida y hay quien quiere la Última.
152_01	Y luego* os apartó de ellos para probaros y os perdonó.
152_02	Allah posee favor para los creyentes*.
153_00	Cuando, sin hacer caso de nadie, os alejabais huyendo y el Mensajero os llamaba desde atrás. Así os pagó la aflicción que habíais causado con otra aflicción*.
153_01	Para que no os entristeciérais por lo que habíais perdido ni por lo que había sucedido. Allah conoce perfectamente lo que hacéis.
154_00	Luego, tras la aflicción, hizo que descendiera seguridad sobre vosotros: Un sueño que envolvió a una parte de vosotros mientras los demás se preocupaban por
154_01	sí mismos pensando de Allah, sin razón, como en los tiempos de la ignorancia.Decían: ¿Acaso hemos tenido algo que ver en la decisión*?Di: En verdad, la decisión
154_02	pertenece enteramente a Allah. Escondían en sus almas lo que no te mostraban.Decían: Si hubiéramos tenido parte en la decisión, no habría muerto ninguno
154_03	de nosotros.Di: Aunque hubierais estado en vuestras casas, la muerte habría sorprendido en sus lechos a aquéllos para los que estaba escrita. Fue para que
154_04	Allah probara lo que había en vuestros pechos y para que reconociera lo que había en vuestros corazones.Y Allah es Conocedor de lo que encierran los pechos.
155_00	A los que de vosotros dieron la espalda el día en el que se encontraron la dos tropas... el Shaytán les hizo tropezar a causa de lo que ellos se habían buscado.
155_01	Y en verdad que Allah os lo perdonó. Es cierto que Allah es Perdonador, Indulgente.
156_00	¡Vosotros que creéis! No seáis como aquéllos que renegaron y decían de sus hermanos cuando éstos salían de expedición por la tierra o hacían incursiones: Si se hubieran quedado con nosotros no habrían muerto ni los habrían matado.
156_01	(Lo decían) y Allah hacía de ello una angustia para sus corazones. Allah da la vida y da la muerte. Allah ve lo que hacéis.
157_00	Y si os matan en el camino de Allah o morís... El perdón de Allah y Su misericordia es mejor que lo que vosotros atesoráis.
158_00	Si morís u os matan... Tened por cierto que seréis reunidos para volver a Allah.
159_00	Por una misericordia de Allah, fuiste suave con ellos; si hubieras sido áspero, de corazón duro, se habrían alejado de tu alrededor.
159_01	Así pues, perdónalos, pide perdón por ellos y consúltales en las decisiones, y cuando hayas decidido confíate a Allah. Es verdad que Allah ama a los que ponen su confianza en Él.
160_00	Si Allah os ayuda... no habrá quien pueda con vosotros, pero si os abandona... ¿Quién sino Él os ayudará?En Allah se confían los creyentes.
161_00	Un profeta no puede cometer fraude.Quien defraude se presentará el Día del Levantamiento cargando con lo que defraudó; luego a cada uno se le pagará cumplidamente lo que se haya ganado y no serán tratados injustamente.
162_00	¿Acaso quien busca lo que satisface a Allah es como el que incurre en la ira de Allah y tiene por morada Yahannam?¡Qué mal lugar de retorno!.
163_00	Tienen (diferentes) grados ante a Allah. Allah ve lo que hacen.
164_00	Realmente Allah ha concedido una gracia a los creyentes al enviarles un Mensajero salido de ellos mismos que les recita Sus signos, los purifica y les enseña el Libro y la Sabiduría;
164_01	ya que antes estaban en un extravío evidente.
165_00	¿Por qué cuando os sobrevino un revés, a pesar de que vosotros habíais causado el doble*, dijisteis: ¿A qué se debe esto?Se debe a vosotros mismos; ciertamente Allah tiene poder sobre todas las cosas.
166_00	Y todo lo que os sobrevino el día en que se encontraron las dos tropas fue con permiso de Allah, para que Él supiera quiénes eran los creyentes
167_00	Y supiera quiénes eran hipócritas.Se les dijo: Venid a combatir en el camino de Allah o a defender*; dijeron: Si supiéramos combatir, de verdad que os seguiríamos.
167_01	Ese día estuvieron más cerca de la incredulidad que de la creencia, pues decían con la lengua lo que no estaba en sus corazones.Y Allah sabe mejor lo que ocultaban.
168_00	Ellos son los que, habiéndose quedado sin hacer nada, dijeron a sus hermanos: Si nos hubieran hecho caso no les habrían matado.Di: Si es verdad lo que decís, haceros inmunes a la muerte.
169_00	Y no deis por muertos a los que han sido matados en el camino de Allah; están vivos y reciben provisión junto a su Señor.
170_00	Contentos por lo que Allah les ha dado de Su favor y regocijándose por aquéllos que habrán de venir después y que aún no se les han unido, porque ésos no tendrán que temer ni se entristecerán.
171_00	Regocijándose por una gracia de Allah y un favor, y porque Allah no deja que se pierda la recompensa de los creyentes.
172_00	Los que respondieron a Allah y al Mensajero, a pesar de las heridas que sufrían, si hicieron el bien y se guardaron, tienen una enorme recompensa*.
173_00	Aquéllos a los que dijo la gente: Los hombres se han reunido contra vosotros, tenedles miedo.Pero esto no hizo sino darles más fe y dijeron: ¡Allah es suficiente para nosotros, qué excelente Guardián!
