001_00	Ha, Mim.
029_01	Dijo Firaún: No os hago ver sino lo que veo y únicamente os guío al camino de la recta dirección.
030_00	Y dijo el que creía: ¡Gentes! Es verdad que temo para vosotros lo mismo que les ocurrió a todos los que se confabularon*.
031_00	La misma suerte que corrieron la gente de Nuh, los Ad, los Zamud y los que vinieron después de ellos.Y Allah no quiere la injusticia para Sus siervos.
032_00	¡Gentes mías! Temo para vosotros el día en que unos se llamarán a otros.
033_00	El día en que os volveréis dando la espalda y no tendréis quien os defienda de Allah.A quien Allah extravía no hay quien le guíe.
034_00	Y he aquí que Yusuf os trajo anteriormente las pruebas claras, pero os quedasteis dudando de lo que os había traído,
034_01	hasta que cuando él murió dijisteis: Allah no enviará ya a ningún otro mensajero después de él. Así es como Allah extravía a quien excede los límites y desconfía.
035_00	Aquéllos que discuten los signos de Allah sin tener ninguna prueba que les haya venido.
035_01	Grande es la repulsa que provocan en Allah y en los que creen. Así marca Allah al corazón soberbio y arrogante.
036_00	Y dijo Firaún: Haman, constrúyeme una torre para que pueda alcanzar los accesos,
037_00	los accesos a los cielos, y subir hasta el dios de Musa, pues realmente lo tengo por embustero.
037_01	Así fue como a Firaún se le embelleció la maldad de su acción y fue desviado del camino. Sin embargo la estratagema de Firaún no fue sino perdición.
038_00	Y dijo el que había creído: ¡Gente mía! Seguidme y os guiaré al camino de la recta dirección.
039_00	¡Gente mía! Esta vida de aquí es simplemente un disfrute pasajero pero la Última Vida es el hogar de la Permanencia.
040_00	El que haya cometido maldad sólo recibirá el pago equivalente a ella,
040_01	pero quien haya obrado rectitud, sea varón o hembra, y sea creyente, ésos entrarán en el Jardín donde se les proveerá sin limitación.
041_00	¡Gente mía! ¿Cómo puede ser que yo os esté llamando a la salvación mientras que vosotros me estáis llamando al Fuego?
042_00	¿Me llamáis a que reniegue de Allah y Le asocie aquello de lo que no tengo conocimiento, mientras que yo os llamo al Poderoso, al Perdonador?
043_00	No hay duda de que aquello a lo que me llamáis no puede responder a lo que se le pida, ni en esta vida ni en la Última, y a Allah hemos de retornar. Y los que vayan más allá de los límites serán los compañeros del Fuego.
044_00	Os acordaréis de lo que digo. Confío mi asunto a Allah, es cierto que Allah ve a los siervos.
045_00	Allah lo libró de las maldades que tramaron y cayó sobre la gente de Firaún el peor castigo.
046_00	El Fuego, al que serán expuestos mañana y tarde. Y el día que llegue la Hora*: ¡Haced que la gente de Firaún entre en el más duro de los castigos!
047_00	Y cuando en el Fuego se hagan reproches unos a otros, dirán los débiles a los que fueron soberbios: Fuimos vuestros seguidores: ¿Podéis quitarnos algo del Fuego?
048_00	Dirán los que habían sido soberbios: Todos estamos en él, Allah ha juzgado ya entre los siervos.
049_00	Y dirán los que están en el Fuego a los encargados de Yahannam: ¡Pedid a vuestro Señor que nos alivie un día del tormento!
050_00	Dirán: ¿Acaso no os llegaron vuestros mensajeros trayendo las pruebas claras? Dirán: Sí. ¡Rogad entonces! Sin embargo la súplica de los incrédulos no encontrará ningún camino.
051_00	Auxiliaremos a Nuestros mensajeros y a quienes crean, en esta vida y en el día en que se levanten los testigos.
052_00	El día en que a los injustos no les servirán de nada sus disculpas y tendrán la maldición y la mala morada.
053_00	Y así fue como le dimos a Musa la guía y le dimos el Libro en herencia a los hijos de Israel.
054_00	Como guía y recuerdo para los que supieran reconocer lo esencial.
055_00	Ten pues paciencia porque la promesa de Allah es verdadera y pide perdón por tus faltas y glorifica a tu Señor con las alabanzas que Le son debidas por la tarde y de madrugada.
056_00	Realmente los que te discuten los signos de Allah sin que se les haya dado ninguna prueba, sólo tienen
056_01	orgullo en sus pechos y no lo conseguirán. Busca pues refugio en Allah, Él es el que Oye y el que Ve.
057_00	La creación de los cielos y de la tierra sobrepasa a la creación de los hombres; sin embargo la mayoría de los hombres no sabe.
058_00	No son iguales el ciego y el que ve, como no lo son tampoco los que creen y practican las acciones de bien y los que hacen el mal; poco es lo que recapacitan.
059_00	La Hora vendrá y no hay duda en ello, sin embargo la mayoría de los hombres no cree.
060_00	Y vuestro Señor ha dicho: Llamadme y os responderé.Pero es cierto que aquellos cuya soberbia les impida adorarme, entrarán en Yahannam humillados.
061_00	Allah es Quien ha hecho para vosotros la noche, para que pudierais en ella descansar, y el día como claridad.En verdad Allah posee favor para los hombres, sin embargo la mayoría de los hombres no agradece.
062_00	Ese es Allah, vuestro Señor, el Creador de todas las cosas, no hay dios excepto Él. ¿Cómo pues podéis inventar?
063_00	Así es como se apartan de la verdad los que han negado los signos de Allah.
064_00	Allah es Quien ha hecho para vosotros la tierra como lugar en el que estar y el cielo como edificación y os ha dado forma haciendo que fuera la mejor,
064_01	y os ha proveído de cosas buenas; ése es Allah vuestro Señor. ¡Bendito sea Allah el Señor de todos los mundos!
065_00	Él es el Viviente, no hay dios sino Él, invocadlo ofreciéndole con sinceridad, sólo a Él, la adoración.La alabanza pertenece a Allah, el Señor de los mundos.
066_00	Di. Se me ha prohibido adorar a los que invocáis fuera de Allah, pues me han llegado las pruebas claras de mi Señor, y se me ha ordenado someterme al Señor de los mundos.
067_00	Él es Quien os ha creado de tierra y luego de una gota de esperma y de un coágulo de sangre. Luego hace que salgáis como niños para que después
067_01	alcancéis la madurez y lleguéis a ser ancianos, habiendo entre vosotros quienes mueren antes, y cumpláis así un plazo fijado. Puede que razonéis.
068_00	Él es Quien da la vida y da la muerte y si decide algo simplemente dice: Sé, y es.
069_00	¿Acaso no has visto cómo se desvían los que discuten los signos de Allah?
070_00	Los que han tachado de mentira el Libro y aquello con lo que hemos enviado a Nuestros mensajeros. Pero ya sabrán.
071_00	Cuando tengan argollas en el cuello y cadenas, serán llevados a rastras
072_00	hacia el agua hirviente y luego serán arrojados al Fuego.
073_00	Después se les dirá: ¿Dónde están los que asociabais
074_00	aparte de Allah? Dirán: Se han extraviado de nosotros aunque en realidad lo que invocábamos antes no era nada.Así es como Allah extravía a los incrédulos.
075_00	Esto es por haber actuado alegremente en la tierra sin derecho y por haber sido arrogantes.
076_00	Entrad por las puertas de Yahannam para, en él, ser inmortales. ¡Que mal refugio el de los soberbios!
077_00	Y ten paciencia porque la promesa de Allah es verdad y te haremos ver parte de lo que les hemos prometido o bien te llevaremos con Nosotros. A Nos han de regresar.
078_00	Es verdad que antes de ti ya habíamos enviado mensajeros; te hemos dado noticias de algunos de ellos y de otros no,
078_01	a ningún mensajero le correspondió traer ningún signo sin que fuera con el permiso de Allah y cuando la orden de Allah llegaba, se decidía con la verdad, siendo la perdición de los que atribuían falsedades.
079_00	Allah es Quien os ha dado los animales de rebaño para que los utilizarais de montura y os sirvieran de alimento.
080_00	En ellos tenéis beneficios y sobre ellos podéis lograr necesidades que hay en vuestros pechos* y sobre ellos sois transportados al igual que sobre las naves.
081_00	Y os muestra Sus signos. ¿Qué signos de Allah podréis negar?
082_00	¿Es que no han ido por la tierra y no han visto cómo acabaron los que hubo antes de ellos?Eran más numerosos que ellos, tenían
082_01	mayor poderío y más vestigios de su presencia en la tierra; pero todo lo que habían conseguido no les sirvió de nada ante Allah.
083_00	Cuando llegaron a ellos sus mensajeros con las pruebas claras se contentaron con el conocimiento que tenían y aquello de lo que se habían burlado los rodeó.
084_00	Y al ver Nuestra furia, dijeron: Creemos en Allah, Él sólo, y renegamos de los asociados que Le atribuíamos.
085_00	Pero no les sirvió de nada creer una vez que ya habían visto Nuestra furia, es la práctica constante de Allah que ya ha aplicado antes a Sus siervos.Allí perdieron los incrédulos.
