001_00	ای مردم! از پروردگارتان بترسید، بدون شک زلزله ی قیامت حادثه ی عظیمی است.
023_00	بی گمان خداوند کسانی را که ایمان آورده و کارهای شایسته انجام داده اند به باغهایی (از بهشت) وارد می کند که از زیر (درختان) آن نهرها جاری است،
023_01	در آنجا به دستبندها ی از طلا و مروارید آراسته می شوند، و لباسشان در آنجا ابریشم است.
024_00	و به سوی گفتار پاکیزه هدایت می شوند، و به راه (خداوند) ستوده راهنمایی می گردند.
025_00	بی گمان کسانی که کافر شدند، و (مردم را) از راه خدا باز می دارند و (همچنین از) مسجد الحرام، که آن را برای (همه ی) مردم یکسان قرار دادیم، (چه) مقیم در آنجا و یا وارد بر آن،
025_01	و کسی که از روی ستم در آنجا کجروی (و انحراف از حق را) بخواهد، از عذاب دردناک به او می چشانیم.
026_00	و (به یاد آور) زمانی را که جای خانه (کعبه) را برای ابراهیم تعیین کردیم؛ (و گفتیم :) چیزی را شریک من قرار مده، و خانه ی مرا برای طواف کنندگان و قیام کنندگان و رکوع (و) سجود کنندگان پاک گردان.
027_00	و در (میان) مردم به حج ندا بده، تا پیاده و (سوار) بر هر (مرکب و) شتر لاغری از هر راه دوری به سوی تو بیایند.
028_00	تا شاهد منافع (گوناگون) خویش باشند، و در روزهای معین (به هنگام قربانی) نام خدا را بر چهارپایانی
028_01	که به آنها روزی داده ایم؛ یاد کنند، پس از (گوشت) آن بخورید، و بینوای فقیر را (نیز) اطعام کنید .
029_00	سپس، باید آلودگیهای شان را بر طرف سازند، و به نذرهای خود وفا کنند، و (برگرد) خانه های کهنسال (کعبه) طواف کنند.
030_00	(حکم) این است، و هر کس (مقدسات و) حرمت نهاده های خدا را بزرگ دارد، پس این (کار) نزد پروردگارش برای او بهتر است .
030_01	و چهارپایان برای شما حلال شده، مگر آنچه بر شما خوانده می شود، پس از پلیدی بتها اجتناب کنید، و از گفتار باطل (و دروغ) دوری کنید.
031_00	در حالی که حقگرا و مخلص خدا و شریک نیاورندگان به او باشید، و کسی که به خدا شرک آورد، پس گویی از آسمان سقوط کرده است، آنگاه پرندگان (گوشت خوار) او را می ربایند، یا باد او را به جایی بسیار دور پرتاب می کند.
032_00	(حکم) این است، و کسی که شعائر الهی را بزرگ دارد، پس بی گمان این (کار) از پرهیزگاری دلهاست.
033_00	در آن (چهارپایان قربانی) تا زمان معین برای شما منافع (و بهره ها) است، پس قربانگاه آن خانه ی کهنسال (کعبه) است.
034_00	و برای هر امتی (رسم) قربانی دادیم، تا نام خدا را (به هنگام ذبح) بر چهار پایانی که روزی شان کرده است؛ ببرند، پس معبود شما، معبود یگانه است، (همه) برای او تسلیم شوید،
034_01	و به فروتنان بشارت ده.
035_00	(همان) کسانی که چون نام خدا برده شود، دلهایشان ترسان گردد، و شکیبایان در برابر مصیبتهایی که به آنها می رسد، و آنها که نماز را بر پا می دارند، و از آنچه روزی شان کرده ایم؛ انفاق می کنند.
036_00	و (قربانی) شتران (فربه) را (در حج) برای شما از شعائر الهی قرار دادیم، در آن برای شما خیر (و برکت) است.
036_01	پس (هنگام قربانی) در حالی که بر پا ایستاده اند؛ نام خدا را بر آنها ببرید، آنگاه چون پهلوها یشان (بر زمین) افتاد، از (گوشت) آنها بخورید، و (فقیران) قانع (غیر سائل) و(فقیران) سائل را اطعام کنید. این گونه (ما) آنها را برای شما رام کردیم؛ باشد که شما سپاسگزاری کنید.
037_00	گوشتهای قربانی و خونهای آنها هرگز به خدا نمی رسد، ولیکن پرهیزگاری شما به او می رسد، این گونه (خداوند) آنها را ب
037_01	رای شما مسخر کرده تا خداوند را به (شکرانه ی)آن که شما را هدایت کرده است؛ بزرگ بشمارید، و نیکوکاران را بشارت ده.
038_00	یقیناً خداوند از کسانی که ایمان آورده اند؛ دفاع می کند، بی گمان خداوند هیچ خیانتکار ناسپاسی را دوست ندارد .
039_00	به کسانی که با آنان جنگ می شود، اجازه (جهاد) داده شده است، از آن روی که مورد ستم قرار گرفته اند، و یقیناً خداوند بر یاری آنها تواناست.
040_00	(همان) کسانی که به ناحق از دیارشان رانده شدند؛ جز اینکه می گفتند:« پروردگار ما الله است».
040_01	و اگر خداوند بعضی از مردم را به (وسیله ی) بعضی دیگر دفع نمی کرد، بی گمان دیرها(ی راهبان) و کلیساها(ی مسیحیان) و کنشتها(ی یهودیان) و مساجدی که نام خدا در آنها بسیار برده می شود؛ ویران می گردید،
040_02	و مسلماً خداوند یاری می کند کسی که (دین) او را یاری دهد، بی گمان خداوند قوی پیروزمند است.
041_00	(همان) کسانی که اگر در زمین به آنها قدرت (و حکومت) بخشیم، نماز را بر پا می دارند، و زکات را می دهند، و امر به معروف و نهی ازمنکر می کنند، و سرانجام کارها از آن خداست.
042_00	(ای پیامبر) اگر (این قوم بت پرست) تو را تکذیب می کنند، (غمگین نباش) به راستی پیش از آنها قوم نوح و عاد وثمود (پیامبرانشان را) تکذیب کردند.
043_00	و (همچنین) قوم ابراهیم و قوم لوط.
044_00	و اصحاب مدین (قوم شعیب)، و موسی (نیز) تکذیب شد، پس به کافران مهلت دادم آنگاه آنها را فرو گرفتم، پس (بنگر) انکار (و عقوبت) من چگونه بود !
045_00	پس چه بسیار آبادیها را در حالی که (مردمش) ستمگر بودند؛ نابودشان کردیم، پس (اینک) بر سقفهایش فروریخته (و ویران شده) است، و (چه بسیار) چاه (پر آب) که بی حاصل مانده، و (چه) قصر(های) بر افراشته استوار (که بی صاحب مانده است).
046_00	آیا آنها در زمین سیر نکردند، تا دلهایی داشته باشند که با آن (حقیقت را) دریابند، یا گوشهای که با آن (اخبار گذشتگان را) بشنوند ؟!
046_01	پس بی گمان چشمها (ی ظاهر) نا بینا نمی شود، ولیکن دلهایی که در سینه هاست؛ نابینا می شود.
047_00	و آنها به شتاب از تو عذاب می طلبند، و خداوند هر گز وعده اش را خلاف نمی کند، وبی گمان یک روز نزد پروردگارت، مانند هزار سال از آنچه است که (شما) می شمارید.
048_00	و چه بسیار آبادیها که به آنها مهلت دادم؛ در حالی که (مردمش) ستمگر بودند، آنگاه آنها را گرفتم، و باز گشت (همه) به سوی من است.
049_00	(ای پیامبر!) بگو : «ای مردم ! جز این نیست که من برای شما بیم دهنده ی آشکاری هستم » .
050_00	پس کسانی که ایمان آوردند و کارها ی شایسته انجام دادند، برای آنها آمرزش و روزی نیک است.
051_00	و کسانی که مبارزه کنان در (انکار) آیات ما تلاش کردند، (و پنداشتند که ما را به ستوه می آورند) آنان اهل دوزخ هستند.
052_00	و (ما) هیچ رسول و پیامبری را پیش از تو نفرستادیم؛ مگر اینکه چون (آیات ما را) تلاوت می کرد، شیطان در تلاوت او (چیزی) القاء می
052_01	کرد، آنگاه خدا آنچه شیطان القاء می کند؛ از میان می برد، سپس خداوند آیاتش را استوار (و محکم) می دارد، و خداوند دانای حکیم است.
053_00	تا (خداوند) آنچه را که شیطان القاء می کند، آزمونی قرار دهد برای کسانی که در دلهایش بیماری است، و آنهایی که دلهایشان سخت است، و بی گمان ستمکاران در مخالفت (و دشمنی) دور (و دراز) هستند.
054_00	و تا کسانی که به آنان دانش داده شده بدانند که مسلماً آن (قرآن) از سوی پروردگارت حق است، پس به آن ایمان بیاورند، آنگاه دلهایشان برای آن (حق) خاضع گردد،
054_01	و یقیناً خداوند کسانی را که ایمان آوردند به راه راست هدایت می کند.
055_00	و کسانی که کافر شدند همواره در آن (= قرآن) شک دارند، تا آنکه نا گهان قیامت فرا رسد یا عذاب روز نحس بر آنها (فرود) آید .
056_00	فرمانروایی در آن روز از آن خداست، میان آنها داوری می کند، پس کسانی که ایمان آورده، و کارهای شایسته انجام داده اند؛ در باغهای پر نعمت (بهشت) هستند.
057_00	و کسانی که کافر شدند و آیات ما را تکذیب کردند، برای آنها عذاب خوار کننده ای است.
058_00	و کسانی که در راه خدا هجرت کردند، سپس کشته شدند یا (به مرگ طبیعی) مردند، مسلماً خداوند به آنها روزی نیکویی می دهد، یقیناً خداوند بهترین روزی دهندگان است.
059_00	بدون شک آنها را به جایگاهی وارد می کند که از آن خشنود باشند، و بی گمان خداوند دانای برد بار است.
060_00	(احکام) این است، و هر کس به همان مقدار که به او ستم شده مجازات کند، سپس بر او ستم کنند، بدون شک خداوند او را یاری خواهد کرد، یقیناً خداوند بخشنده ی آمرزنده است .
061_00	این (یاری الهی) به خاطر آن است که خداوند شب را در روز داخل می کند، و روز را در شب داخل می گرداند، و بی گمان خداوند شنوای بیناست.
062_00	این بخاطر آن است که خداوند حق است، و آنچه جز او (به خدای) می خوانند باطل است، و به راستی که خداوند بلند مرتبه ی بزرگ است .
063_00	آیا ندیدی که خداوند از آسمان آبی فرو فرستاد، سپس زمین (بر اثر آن) سبز و خرم می گردد؟ بی گمان خداوند باریک بین آگاه است.
064_00	آنچه در آسمانها و آنچه در زمین است از آن اوست، و بدون شک خداوند بی نیاز ستوده است .
065_00	آیا ندیدی که خداوند آنچه را در زمین است مسخر شما کرده است، و (نیز) کشتیها به فرمان او در دریا روان است، و آ
065_01	سمان را از آن که بر زمین افتد - جز به فرمانش - نگه می دارد، بی گمان خداوند (نسبت) به مردم رؤوف مهربان است .
066_00	و او کسی است که شما را زنده کرد، سپس شما را می میراند، آنگاه بار دیگر زنده می کند، به راستی که انسان بسیار ناسپاس است .
067_00	برای هر امتی (روش عبادت و) آیینی مقرر کردیم که آنان به آن عمل کنند، پس نباید در این امر با تو به نزاع بر خیزند، به سوی پروردگارت دعوت کن، بی گمان تو بر هدایت مستقیم قرار داری.
068_00	و اگر با تو مجادله کردند، پس بگو : «خداوند به آنچه انجام می دهید؛ داناتر است،
069_00	خداوند روز قیامت میان شما در آنچه در آن اختلاف می کردید، داوری می کند».
070_00	آیا ندانسته ای که خداوند آنچه را در آسمان و زمین است می داند ؟! بی گمان (همه ی) اینها در کتابی (ثبت) است، مسلماً این برخداوند آسان است .
071_00	و (آنها) به جای خداوند چیزی را می پرستند که (او) هیچ دلیلی بر آن نازل نکرده است، و چیزی را که علم به آن ندارند، و برای ستمگران هیچ یاوری نیست.
072_00	و هنگامی که آیات روشن ما بر آنان خوانده می شود، در چهره ی کسانی که کافر شدند (آثار) ناخوشی (و انکار) را می شناسی که نزدیک است بر کسانی که آیات ما را بر آنان می خواند، حمله ور شوند،
072_01	بگو: «آیا شما را به بدتر از این خبر دهم ؟ (همان) آتش (جهنم) است که خداوند به کسانی که کافر شدند؛ وعده داده است، و بد سرانجامی است».
073_00	ای مردم! مثلی زده شده است، پس به آن گوش فرا دهید : بی گمان کسانی را که به جای الله (به خدایی) می خوانید؛ هر گز نمی توانند مگسی را بیافرینند، اگر چه (همگی) برای این (کار) گرد آیند،
073_01	و اگر مگس چیزی از آنها برباید، نمی توانند از آن باز پس گیرند، (آری) طالب و مطلوب (= عابد ومعبود) نا توانند.
074_00	(آنها) خداوند را چنانکه سزاوار اوست نشناختند، یقیناً خداوند قوی پیروزمند است .
075_00	خداوند از فرشتگان رسولانی را بر می گزیند، و (نیز) از مردم، بی گمان خداوند شنوای بیناست .
076_00	آنچه را در پیش روی آنها، و آنچه پشت سر آنهاست می داند، و (همه ی) کارها به سوی خدا باز گردانده می شود.
077_00	ای کسانی که ایمان آوره اید ! رکوع کنید، و سجده کنید، و پروردگارتان را بپرستید، و کار نیک انجام دهید باشد که رستگار شوید.
078_00	و در راه خدا جهاد کنید، چنانکه سزاوار جهاد (در راه) او است، او شما را بر گزید، و در دین برای شما هیچ سختی (و تنگنایی) قرار نداد، (همان)
078_01	آیین پدرتان ابراهیم است، او (= خداوند) پیش از این (در کتب سابقه) و در این (قرآن نیز) شما را مسلمان نامید، تا پیامبر گواه بر شما باشد و ش
078_02	ما گواهان بر مردم باشید، پس نماز را بر پا دارید، و زکات را بدهید، و به خدا تمسک جویید، که او مولای شماست، چه خوب مولا، وچه خوب یاوری است .
