001_00	حم (حا . میم).
023_00	واین گونه در هیچ (شهر و) قریه ای پیش از تو هشدار دهنده ای نفرستادیم, مگر اینکه متنعمانش گفتند: «ما نیاکان خود را بر آیینی یافتیم, وبی گمان ما به (اعمال و) آثار آنها اقتداء می کنیم».
024_00	(پیامبرشان) گفت: «آیا اگر برای شما چیزی هدایت کننده تر از آنچه که نیاکانتان را بر آن یافتید, آورده باشم؟! (بازهم به آنها اقتداء می کنید؟!) گفتند: «(آری,) ما به آنچه که شما به آن فرستاده شده اید, کافریم».
025_00	بنابراین از آنها انتقام گرفتیم, پس بنگر سرانجام تکذیب کنندگان چگونه بود!
026_00	و(به یاد آور) هنگامی که ابراهیم به پدرش وقومش گفت: «بی گمان من از آنچه می پرستید, بیزارم,
027_00	مگر آن کسی که مرا آفریده, واو به زودی هدایتم خواهد کرد».
028_00	و (ابراهیم) این کلمۀ (توحید) را (کلمۀ پاینده) در نسلهای بعد از خود قرار داد, باشد که (به سوی خدا) باز گردند.
029_00	بلکه, آنان وپدرانشان را (از زندگی) بهره مند ساختیم, تا حق وفرستادۀ آشکار برای شان آمد.
030_00	وهنگامی که حق برایشان آمد, گفتند: «این سحراست, وما (نسبت) به آن کافریم».
031_00	وگفتند: «چرا این قرآن بر مرد بزرگ, از (مردم) این دو شهر (مکه وطایف) نازل نشده است؟!».
032_00	آیا آنها رحمت پروردگارت را تقسیم می کنند؟!
032_01	ما روزی (و معیشت) آنها را در زندگی دنیا میانشان تقسیم کردیم, وبعضی را بر بعضی (درجات و) بر تری دادیم, تا بعضی از آنان بعضی دیگر را به خدمت گیرند, ورحمت پروردگارت از (تمام) آنچه گرد می آورند, بهتراست.
033_00	اگر (چنین) نبود که همه ی مردم یک امت می شدند, یقیناً ما برای خانه های کسانی که به (خدای) رحمان کافر می شدند, سقفهای از نقره قرار می دادیم, و(نیز) نرد بانهایی که از آن بالا روند.
034_00	وبرای خانه هایشان درها و تختهایی (نقره ای, قرار می دادیم) که بر آن تکیه زنند.
035_00	و تجمل (وزینت های) فراوان (برایشان قرار می دادیم) وتمام اینها بهرۀ (نا چیز) زندگی دنیاست, وآخرت نزد پروردگارت برای پرهیزگاران است.
036_00	وهرکس از یاد (خدای) رحمان غافل (ورویگردان) شود, برای او شیطانی بر می گماریم, پس همواره آن (شیطان) قرین (وهمنشین) او باشد.
037_00	وآنها (= شیاطین) اینها (=انسانها) را از راه (خدا) باز می دارند, وگمان می کنند که آنان هدایت یافته اند.
038_00	تا زمانی که (در روز قیامت) نزد ما آید, (به همنشین خود) می گوید: « ای کاش میان من وتو مسافت شرق وغرب فاصله بود, پس تو چه بد همنشینی بودی».
039_00	(خداوند می فرماید:) «چون ستم کردید, امروز (این گفته ها) هرگز سودتان ندهد, چرا که (همه) شما در عذاب شریک هستید».
040_00	(ای پیامبر) آیا تو می توانی به کران (سخنی) بشنوانی, یا کوران, وآنهایی را که در گمراهی آشکار هستند, هدایت کنی؟!
041_00	پس اگر تو را (از این دنیا) ببریم, بی گمان ما از آنها انتقام خواهیم گرفت.
042_00	یا آنچه را که به آنها وعده داده ایم, به تو نشان می دهیم, پس یقیناً ما بر آنها تواناهستیم.
043_00	پس به چیزی که به تو وحی شده است تمسک بجوی, که بی شک تو بر راه راست هستی.
044_00	و بی گمان این (قرآن) برای تو وقومت پند (وسربلند) ی است, و به زودی باز خواست خواهید شد.
045_00	و از پیامبرانی که پیش از تو فرستادیم بپرس: آیا غیر از (خدای) رحمان, معبودانی برای پر ستش قرار دادیم؟!
046_00	وبه راستی ما موسی را با نشانه های خود به سوی فرعون و در باریان او فرستادیم, پس گفت: «بی گمان من فرستادۀ پروردگار جهانیان هستم».
047_00	پس چون با نشانه های ما (به سوی) آنها آمد, ناگاه (همه) از آن خندیدند.
048_00	وما هیچ نشانه (و معجزه) ای به آنها نشان نمی دادیم, مگر اینکه از دیگری بزرگتر (ومهمتر) بود, وآنها را به عذاب گرفتار کردیم, باشد که (توبه کنند و) باز گردند.
049_00	و(به موسی) گفتند: «ای جادوگر! پروردگارت را با عهدی که با تو کرده, برای ما بخوان, بی گمان ما هدایت خواهیم یافت».
050_00	پس چون عذاب را از آنها بر طرف ساختیم, آنگاه آنها عهد شکنی کردند.
051_00	و فرعون در (میان) قوم خود ندا داد, گفت: «ای قوم من! آیا فرمانروایی مصر, واین نهرها که زیر (کاخ) من روان است, از آنِ من نیست؟! آیا نمی بینید؟!
052_00	بلکه من بهترم, از این مردی که خوار است, ونمی تواند درست سخن بگوید.
053_00	پس چرا بر او دستنبدهای طلا فرو فرستاده نشده, یا (چرا) فرشتگان صف کشیده همراه او نیامده اند, (تا اورا یاری کنند)؟!».
054_00	پس (فرعون) قوم خود را (بی خرد و) سبک شمرد, پس آنها از او اطاعت کردند, بی گمان آنها گروهی فاسق بودند.
055_00	پس چون ما را به خشم آوردند از آنها انتقام گرفتیم, وهمگی شان را (در دریا) غرق کردیم.
056_00	آنگاه آنها را در شمار گذشتگان وعبرتی (برای آیندگان) قرار دادیم.
057_00	وچون (در باره آفرینش) فرزند مریم مثلی زده شد, ناگهان قوم تو از آن (شادی کنان) داد وفریاد زدند.
058_00	وگفتند: «آیا معبودان ما بهترند یا او؟». آنها (آن (مثل) را جز برای جدال (ولجاجت) با تو نزدند, بلکه آنها گروهی ستیزه جویند( ).
059_00	او (= مسیح) جز بنده ای نبود که ما بر او نعمت بخشیدیم, واورا (مایه) عبرت برای بنی اسرائیل گرداندیم.
060_00	واگر می خواستیم به جای شما فرشتگانی قرار می دادیم که در (روی) زمین جانشین (شما) باشند.
061_00	وبی گمان او (= عیسی) نشانه ای برای قیامت است( ), پس هرگز در آن (= قیامت) شک نکنید, واز من پیروی کنید, (که) این راه راست است.
062_00	وشیطان شما را (از راه حق) باز ندارد, بی گمان او برای شما دشمنی آشکار است.
063_00	وچون عیسی با دلایل (ومعجزات) روشن آمد, گفت: «من برای شما حکمت آورده ام, و(آمده ام) تا چیزهایی را که درآن اختلاف دارید, برایتان روشن کنم, پس ازالله بترسید, واز من اطاعت کنید.
064_00	بی گمان الله پروردگار من, وپروردگار شما ست, پس اورا بپرستید, (که) این راه راست است».
065_00	آنگاه گروها (ی مختلف, بنی اسرائیل) میان خود (دربارۀ عیسی) اختلاف کردند, پس وای بر کسانی که ستم کردند, از عذاب روز دردناک!
066_00	آیا (چیزی) جز قیامت را انتظار می کشند, که ناگهان ودر حالی که بی خبرند به سراغشان بیاید.
067_00	دوستان درآن روز (قیامت) دشمن یکدیگرند, جز پرهیزگاران.
068_00	ای بندگان من! امروز نه ترسی بر شما است, ونه شما اندوهگین می شوید.
069_00	(همان) کسانی که به آیات ما ایمان آوردند ومسلمان بودند.
070_00	شما وهمسرانتان با شادمانی (واکرام) به بهشت وارد شوید.
071_00	بر (گرداگرد) آنها سینی هایی زرین (غذا) و (نیز) جامهای (طلایی, شراب) می گردانند, ودر آن (بهشت) آنچه دلها تمنا می کند, وچشمها از آن لذّت می برد, وجود دارد, وشما در آن همیشه خواهید بود.
072_00	و(این) همان بهشتی است, که به (پاداش) آنچه که انجام می دادید, آن را به ارث برده اید.
073_00	در آن (بهشت) برای شما میوۀ فراوانی است, که از آن می خورید.
074_00	بی گمان مجرمان در عذاب جهنم جاودانند.
075_00	(عذاب) از آنها کاهش نمی یابد, وآنها در آن (از همه چیز) نا امید هستند.
076_00	و(ما) به آنها ستم نکردیم, لیکن آنان خود ستمکار بودند.
077_00	و(آنها) فریاد می زنند: «ای مالک, (بخواه) که پروردگارت کار ما را یکسره کند (وبمیراند)». (او) گوید: «بی گمان شما (در این جا) ماندنی هستید».
078_00	به راستی ما حق را برای شما آوردیم, ولیکن بیشترتان از حق کراهت داشتید.
079_00	آیا آنها (= مشرکان مکه) تصمیم قاطع بر کاری گرفتند, پس ما (نیز) تصمیم (واردۀ) قاطع (دربارۀ آنها) داریم.
080_00	آیا آنها می پندارند که ما راز گویی و(سخنان) در گوشی آنان را نمی شنویم؟! آری, (می شنویم) وفرستادگان ما (از فرشتگان) نزد آنها (هستند و) می نویسند.
081_00	(ای پیامبر, به مشرکان) بگو: «اگر (به فرض محال) برای (خدای) رحمان فرزندی بود, پس من نخستین پرستندگانش بودم».
082_00	پاک ومنزه است پروردگار آسمانها وزمین, پروردگار عرش, از آنچه آنها توصیف می کنند.
083_00	پس (ای پیامبر) آنها را (به حال خود) رها کن, تا (در باطل) غوطه بخورند, وبه بازی سرگرم باشند, تا روزی را که به آنها وعده شده است, ملاقات کنند (وسزای اعمال خود را ببینند).
084_00	و او کسی است که در آسمان معبوداست, ودر زمین (نیز) معبود است, و او حکیم داناست.
085_00	وپر برکت وبزرگوار است کسی که فرمانر وایی آسمانها وزمین وآنچه در میان آن دواست, از آنِ اوست. وعلم (بر پاشدن) قیامت نزد اوست, و(همه) به سوی او باز گردانده می شوید.
086_00	و کسانی را که به جای او می خوانند, اختیار شفاعت ندارند, مگر کسانی که به حق گواهی دادند, و آنان (به خوبی) می دانند.
087_00	واگر از آنها (= مشرکان) بپرسی, چه کسی آنها را آفریده است, قطعاً می گویند: «خدا» پس چگونه (از حق) منحرف می شوند؟!
088_00	و (شکایت و) گفتار او (= پیامبر) (این بود:) «پروردگارا! بی گمان اینها قومی هستند که ایمان نمی آورند».
089_00	پس (ای پیامبر) از آنها در گذر, وبگو: «سلام (بر شما)». پس به زودی خواهند دانست( ).
