001_00	فرمان خدا فرا رسیده است ، پس برای آن شتاب نکنید ، او پاک وبرتر است از آنچه شریک او قرار می دهند .
019_00	و خداوند آنچه را پنهان می دارید، و آنچه را آشکار می کنید ؛ می داند .
020_00	و آنهایی را که به جای الله (به خدایی) می خوانند؛ چیزی را نمی آفرینند ، و خودشان (نیز) آفریده می شوند .
021_00	(آنها) مردگانی هستند غیر زنده ، و نمی دانند در چه زمانی برانگیخته می شوند .
022_00	معبود شما ، معبودی یگانه است ، پس کسانی که به آخرت ایمان نمی آورند ، دلهایشان (حق را) انکار کند ، و خودشان مستکبرند .
023_00	قطعاً آنچه را پنهان می دارند ، وآنچه را آشکار می کنند ؛ می داند ، بی گمان اومستکبران را دوست ندارد .
024_00	و چون به آنها گفته شود :« پروردگارتان چه چیز نازل کرده است ؟ » گویند: «افسانه های پیشینیان» .
025_00	تا در روز قیامت بار گناهان خود را بطور کامل بر دوش کشند ، و (نیز) بخشی از گناهان کسانی را که به نادانی گمراهشان می سازند ، آگاه باشید ، چه بد است آنچه بر دوش می کشند .
026_00	به راستی کسانی که پیش از ایشان بودند (نیز) مکر ورزیدند ، پس خداوند بنیاد شان را از اساس وپایه ویران کرد ، که سقف از بالا بر سرشان فرو ریخت ، و عذاب (الهی) ازآنجای که نمی دانستند به سراغشان آمد .
027_00	آنگاه روز قیامت (خداوند) آنها را رسوا می سازد ، می فرماید :«آن شریکان (دروغین) من ، (آن) کسانی که شما در باره ی آنها (با پیامبران) دشمنی (و مجادله) می کردید ، کجا هستند ؟!
027_01	کسانی که به آنها علم داده شده گویند :«همانا رسوایی و سختی امروز بر کافران است » .
028_00	(همان) کسانی که فرشتگان (عذاب) جانشان را می گیرند ، در حالی که به خود ستم کرده بودند ، پس سر تسلیم فرود می
028_01	آورند (و گویند :) ما هیچ (کار) بدی انجام نمی دادیم ، آری ، مسلماً خداوند به آنچه انجام می دادید؛ داناست .
029_00	پس از درهای جهنم داخل شوید در حالی که جاودانه در آن خواهید بود ، چه بد است جایگاه مستکبران .
030_00	و به که کسانی پرهیزگاری نمودند، گفته شد: « پروردگارتان چه چیز نازل کرده است ؟ » گویند :«خیر (و هدایت را)». برای کسانی که نیکی کردند ،
030_01	در این دنیا نیکی است ، و قطعاً سرای آخرت (بسی) بهتر است ، و چه خوب است سرای پرهیزگاران.
031_00	باغهایی (از بهشت) جاویدان است ، که به در آیند، نهرها از زیر (درختان) آن جاری است ، در آنجا هر چه بخواهند برای شان (مهیا) است ، این گونه خداوند پرهیزگاران را پاداش می دهد .
032_00	(همان) کسانی که فرشتگان (رحمت) جانشان را می گیرند ، در حالی که پاکند ، (به آنها) می گویند:« سلام بر شما ، به خاطر آنچه که می کردید به بهشت وارد شوید ».
033_00	آیا (کافران) جز این انتظار دارند که فرشتگان (برای گرفتن جانشان) به سراغ آنها بیایند ، یا فرمان پروردگارت (برای عذابشان)
033_01	فرا رسد ، کسانی که پیش از آنها بودند (نیز) چنین کردند ، و خداوند به آنها ستم نکرد ، لیکن آنها به خویشتن ستم می کردند .
034_00	پس بدیهای آنچه را که می کردند به آنها رسید ، و آنچه به آن مسخره می کردند ، برآنان فرود آمد .
035_00	و کسانی که شر ک ورزیدند گفتند : «اگر خدا می خواست ، نه ما و نه پدرانمان ، غیر از او هیچ چیزی را پرستش نمی کردیم ، و نه چیزی را بد
035_01	ون فرمان او حرام می ساختیم » کسانی که پیش از آنها بودند (نیز) چنین کردند، پس آیا بر پیامبران جز ابلاغ آشکار (مسئولیت دیگری) هست ؟
036_00	یقیناً ما در (میان) هر امتی پیامبری را فرستادیم که :«خدای یکتا را بپرستید ، و از طاغوت اجتناب کنید » .
036_01	پس خداوند بعضی از آنان را هدایت کرد و بر بعضی از آنان گمراهی محقق گشت ، پس در زمین بگردید ، آنگاه بنگرید عاقبت تکذیب کنندگان چگونه بود .
037_00	(ای پیامبر!) هر اندازه بر هدایت آنها حریص باشی (سودی ندارد ، زیرا که) خداوند کسی را که گمراه کرده است ، هدایت نمی کند، و آنها یاورانی ندارند .
038_00	و آنها با شدید ترین سوگند هایشان به خداوند سوگند یاد کردند که :«خداوند کسی را که می میرد، بر نمی انگیزد ! » آری (این) وعده ی قطعی بر اوست (که همه ی مردگان را بر می انگیزد ) ولی بیشتر مردم نمی دانند .
039_00	تا آنچه را که درآن اختلاف می کردند برای شان روشن سازد، و تا کسانی که کافر شدند ، بدانند که آنها دروغگو بوده اند .
040_00	فرمان ما به هر چیزکه چون اراده اش کنیم ، فقط این است که به او گوییم :«موجود باش » پس (بلا فاصله) موجود می شود.
041_00	و کسانی که پس از آن که ستم دیدند، در راه خدا هجرت کردند ، یقیناً در این دنیا جایگاه خوبی خواهیم داد ، و مسلماً پاداش آخرت بزرگتر است ، ای کاش می دانستند .
042_00	(همان) کسانی که صبر کردند ، و (تنها) بر پروردگارشان توکل می کنند .
043_00	وپیش از تو (ای پیامبر) جز مردانی که به آنها وحی می کردیم نفرستادیم ، پس (ای مردم ) اگر نمی دانید از (آگاهان) اهل کتاب بپرسید .
044_00	(که آنها را) با دلایل روشن و کتابها (فرستادیم) و (ما این) قرآن را بر تو نازل کردیم تا برای مردم روشن سازی ، آنچه را که به سوی آنها نازل شده است ، و باشد که آنها بیندیشند.
045_00	آیا کسانی که بد اندیشی (و توطئه) کردند ، (از این) ایمن هستند که خدا (همه ی) آنها را در زمین فرو برد ، و یا عذاب (الهی) از جایی که نمی دانند ، به سراغشان بیاید ؟!
046_00	یا (آن که) به هنگام رفت و آمدشان (گریبان) آنها را بگیرد ، پس نتوانند که (ما را ناتوان کنند و) بگریزند .
047_00	یا (آن که) آنان رادر حال ترس (و وحشت) بگیرد ، پس بی تردید پروردگارشما روؤف مهربان است .
048_00	آیا آنها به چیزهای که خداوند آفریده است نمی نگرند که (چگونه) سایه هایش از راست و چپ سجده کنان برای خداوند در حرکتند ، و آنها (عاجز و) فروتن هستند ؟!
049_00	و آنچه در آسمانها و آنچه در زمین از جنبندگان وجود دارد، و (نیز) فرشتگان؛ برای خدا سجده می کنند، و آنان تکبر نمی ورزند .
050_00	آنها از پروردگارشان که بر فرازشان است ، می ترسند، و آنچه فرمان می یابند ، انجام دهند .
051_00	و خداوند فرمود :« دو معبود را نگیرید ، فقط او معبود یگانه است ، پس (تنها) از من بترسید » .
052_00	و آنچه در آسمانها و زمین است از آن اوست ، و (نیز) دین (و پرستش) ابدی از آن اوست، آیا از غیر خدا می ترسید ؟!
053_00	آنچه از نعمت دارید ، پس (همه) از (جانب) خداوند است ، سپس هنگامی که نا راحتی به شما رسد ، باز به سوی او زاری می کنید .
054_00	سپس هنگامی که آن ناراحتی را از شما بر طرف ساخت ، آنگاه گروهی از شما به پروردگارشان شرک می آورند .
055_00	تا آنچه را که به آنها دادایم کفران کنند ، پس (چند روزی) بهره گیرید ، که بزودی خواهید دانست .
056_00	و آنها برای چیزی (= بتانی) که نمی دانند ، سهمی از آنچه روزیشان داده ایم قرار می دهند ، به خدا سو گند، البته از آنچه افترا می بندید، باز خواست خواهید شد .
057_00	و (آنها) برای خدا دختران قرار می دهند ، - او منزه است - و برای خودشان آنچه را میل دارند .
058_00	و هرگاه به یکی از آنها به (تولد) دختر بشار دهند ، چهره اش سیاه می شود در حالی که او خشم خود را فرو می خورد .
059_00	و به سبب بشارت بدی که به او داده شده ، از قوم (خود) پنهان می شود (می اندیشد که) آیا با خواری او را نگه دارد یا در خاک پنهانش کند ؟! آگاه باشید آنچه را که حکم می کنند ، بد (حکمی) است.
060_00	برای کسانی که به (سرای) آخرت ایمان ندارند ، مثل (و صفت) بد است . و برای خداوند صفت برتر (و عالی) است ، و او پیروزمند حکیم است.
061_00	و اگر خداوند مردم را به (خاطر) ستمشان مؤاخذه می کرد ، هیچ جنبنده ای بر روی آن (= زمین) باقی نمی گذارد ، و لیکن آ
061_01	نها را تا زمان معین مهلت می دهد ، پس هنگامی که اجلشان فرا رسد ، نه ساعتی تأخیر می کنند و نه ساعتی پیشی می گیرند .
062_00	و (آنها) برای خدا چیزهایی قرار می دهند که خودشان (از آن) کراهت دارند ، و زبانهایشان (سخن) دروغ بیان می کند که نیکیها از آن ایشان است، بی تردید برای آنان آتش (جهنم) است ، و قطعاً آنها از پیشگامان (جهنم) هستند .
063_00	(ای پیامبر!) به خدا سوگند که به سوی امتهای پیش از تو (پیامبرانی) فرستادیم ، پس شیطان اعمالشان را برای آنها بیا راست ، لذا امروز او دوست (و یاور) شان است ، و عذاب درد ناکی برای آنهاست .
064_00	و (ای پیامبر! ما) کتاب (قرآن) را بر تو نازل نکردیم؛ مگر برای اینکه آنچه را که در آن اختلاف کردند ، برای آنها روشن سازی ، و (نیز) مایه ی هدایت ورحمت برای گروهی که ایمان می آورند؛ باشد.
065_00	و خداوند از آسمان آبی فرو فرستاد ، پس با آن زمین را بعد از مردنش زنده گرداند . بی گمان در این ، نشانه ای است برای گروهی که می شنوند .
066_00	و همانا در (وجود) چهار پایان برای شما عبرتی است ، از آنچه در شکم آنها ، از میان سرگین و خون ، شیر خالص که برای نوشندگان گوارا است، به شما می نوشانیم.
067_00	و (نیز) از میوه های در ختان خرما و انگور، مسکرات (نا پاک) و روزی خوب (و پاکیزه) می گیرید . بی گمان در این نشانه ای است برای گروهی که خرد می ورزند .
068_00	و پروردگار تو به زنبور عسل الهام کرد که :«از کوهها و درختان و داربستهایی که (مردم) می سازند ، خانه هایی برگزین ،
069_00	آنگاه از (شیره ی) تمام میوه ها (و گلها) بخور ، سپس راههای هموار پروردگارت را بپیما » از شکم آنها ، نوشیدنی با رنگهای گوناگون بیرون می آید که در آن شفا برای مردم است.
069_01	بی شک در این نشانه ای است برای گروهی که می اندیشند .
070_00	و خداوند شما را آفرید ، سپس می میراند، و بعضی از شما به پیری و (فرتوتی) می رساند ، تا بعد از علم (وآگاهی) چیزی نداند (و همه را فراموش کند) بی گمان خداوند دانای تواناست .
071_00	و خداوند برخی از شما را بر برخی (دیگر) در روزی برتری داده است ، پس کسانی که برتری داده شده اند، حاضر ن
071_01	یستند از روزی خود به بردگانشان بدهند ، تا همگی در آن برابر شوند ، آیا آنها نعمت خدا را انکار می کند ؟!
072_00	و خداوند برای شما از (جنس) خودتان همسرانی قرار داد ، و از همسرانتان برای شما فرزندان و نوادگان پدید آ
072_01	ورد ، و از پاکیزه ها به شما روزی داد ، آیا به باطل ایمان می آورند ، و به نعمت خدا آنها کفر می ورزند ؟!
073_00	و آنها غیر از خدا ، چیزی را می پرستند که هیچ روزی را برای آنها از آسمانها و زمین در اختیار ندارند ، و (هرگز) نمی توانند .
074_00	پس برای خدا مثلها مزنید ، یقیناً خداوند می داند ، و شما نمی دانید .
075_00	خداوند مثلی زده : برده ی مملوکی را که بر هیچ چیز توانا نیست ، و کسی را که از جانب خود ، روزی نیکو بخشیده ایم ، پس او پنهان و آشکار از آن (روزی) انفاق می کند ، آیا (این دو نفر) برابرند ؟!
075_01	ستایش مخصوص خداست ، بلکه بیشترشان نمی دانند.
076_00	و خداوند مثل (دیگری) زده است : دو مرد را ، که یکی از آن دو ،گنگ است ، و بر هیچ چیزی توانا نیست ، سر بار صاحب (و مولای) خود است ، هر کجا او را بفرستد ، هیچ خیری را نمی آورد .(و مأموریتش را خوب انجام نمی دهد).
076_01	آیا او و کسی که به عدل فرمان می دهد ، و خود بر راه مستقیم قرار دارد ، برابر است ؟!
077_00	(علم) غیب آسمانها و زمین از آن خداست (و تنها او همه را می داند) و امر قیامت مانند چشم برهم زدن و یا از آن هم نزدیکتر است ، بی گمان خداوند بر همه چیز تواناست .
078_00	و خداوند شما را از شکم مادرانتان بیرون آورد ، در حالی که هیچ چیز نمی دانستید ، و برای شما گوش و دیدگان و دلها پدید آورد ، شاید سپاس گزارید .
079_00	آیا آنها به پرندگانی که درجوّ آسمان مسخر (فرمان خدا) هستند ، نمی نگرند ، مسلماً در این (امر) نشانه هایی است برای گروهی که ایمان می آورند .
080_00	و خداوند برای شما از خانه هایتان جای آرامش (و سکونت) قرار داد ، و از پوست چهار پایان (نیز) برای شما خانه هایی (= خیمه هایی) قرار داد که آن را در روز کوچ کردنتان و روز اقامتتان سبک می یابید (و به آسانی آن را جا به جا می کنید) 
080_01	و از پشمهایش و کرکهایش و موهایش اثاثیه (خانه) و متاع (و اسباب و وسایل زندگی ) تا مدت معینی (برایتان) قرار داد .
081_00	و (نیز) خداوند از آنچه آفریده است سایه هایی برای شما قرار داده ، و از کوهها پناهگاهایی برای شما قرار داده است، و برای شما جامه هایی برای شما قرار داد که شما را از از گرما (و سرما) حفظ می کند ، و جامه هایی که شما را در (هنگام) جنگ (و درگیری) مصون می دارد .
081_01	این گونه (خداوند) نعمتهایش را بر شما تمام می کند ، باشد که تسلیم (فرمان او) شوید .
082_00	پس (ای پیامبر!) اگر (آنها) روی گرداندند ؛ جزاین نیست که بر (عهده ی) تو ابلاغ آشکار است .
083_00	(آنها ) نعمت خدا را می شناسند ، سپس انکارش می کنند ، و بیشترشان کافرند .
084_00	و روزی که از هر امتی گواهی (بر آنان) بر می انگیزیم ، آنگاه به کسانی که کافر شدند ، اجازه ی (سخن گفتن) داده نمی شود ، و نه از آنها تقاضای توبه (و عذر خواهی) می شود.
085_00	و کسانی که ستم کردند ، هنگامی که عذاب را ببینند ، پس نه از (عذاب) آنها کاسته می شود ، و نه آنها مهلت می یابند .
086_00	و کسانی که شرک ورزیدند هنگامی که شریکان (= معبودهایی خود ساخته) خود را ببینند ، می گویند :«پروردگارا !
086_01	اینان شریکان (و معبودان) ما هستند ، کسانی که ما به جای تو می خواندیم». آنگاه (معبودانشان) به آنها پاسخ می دهند :«به راستی که شما دروغگو هستید »
087_00	و در آن روز (همگی) در پیشگاه خدا تسلیم شوند ، و(تمام ) آنچه را افتراء می بستند ، از (نظر) آنان گم (و نابود) شوند.
088_00	کسانی که کافر شدند و (مردم را) از راه خدا باز داشتند ، به (کیفر) آنکه فساد می کردند ، عذابی بر عذابشان خواهیم افزود .
089_00	و روزی که در (میان) هر امتی ، گواهی از خودشان بر آنها بر می انگیزیم ، و تو را بر آنها گواه آوریم .
089_01	و (ما این) کتاب را بر تو نازل کردیم ، که بیانگر همه چیز ، و هدایت و رحمت و بشارت برای مسلمانان است .
090_00	به راستی خداوند به عدل و احسان و بخشش به نزدیکان فرمان می دهد ، و از فحشا و منکر و ستم نهی می کند ، و شما را پند می دهد؛ شاید متذکر شوید .
091_00	و به عهد (و پیمان) خدا وفا کنید ، هرگاه عهد (و پیمان) بستید ، و سو گندها را پس از محکم ساختنش
091_01	نشکنید، درحالی که شما خدا را کفیل (و ضامن) بر خود قرارداده اید ، یقیناً خداوند آنچه را می کنید ؛ می داند .
092_00	و مانند آن زن نباشید که پشم های تابیده ی خود را پس از محکم شدن وا می تابد . (و قطعه قطعه می کند ) ،
092_01	که سوگندهای خود را وسیله ی (خیانت و) فریب سازید ، به خاطر اینکه گروهی از گروه (دیگر) بیشتراست . جز این نیست که خداوند شما را با این وسیله آزمایش می کند ، یقیناً روز قیامت ، آنچه را درآن اختلاف می کردید ، برای شما روشن خواهد کرد .
093_00	و اگر خدا می خواست همه ی شما را یک امت قرار می داد ، و لیکن هر کس را بخواهد؛ گمراه می کند ، و هر کس را بخواهد؛ هدایت می نماید ، و قطعاً از آنچه می کردید ، باز خواست خواهید شد.
094_00	و سوگندهایتان را وسیله ی (خیانت و) فریب در میان خود قرار ندهید ، که (مبادا) گامی بعد از استواری اش (بر ایمان) متزلزل شود ، و به خاطر باز داشتن (مردم) از راه خدا ، بدی آن را (در دنیا) بچشید ، و (در آخرت) برای شما عذاب بزرگی خواهد بود .
095_00	و پیمان (و عهد) خدا را به بهای اندک نفروشید ، اگر بدانید ! آنچه نزد خداوند است ، یقیناً برای شما بهتر است .
096_00	آنچه نزد شماست، فنا می شود، و آنچه نزد خداست باقی است ، و قطعاً به کسانی که صبر کردند ، پاداششان را به (حسب) بهترین اعمالی که انجام می دادند؛ می دهیم .
097_00	هر کسی که کار شایسته ای انجام دهد ، (خواه) مرد باشد یا زن ، در حالی که مؤمن است ، او را به حیاتی پاک زنده می داریم ، و مسلماً پاداششان را به (حسب) بهترین اعمالی که انجام می دادند ؛ به آنها می دهیم .
098_00	پس هنگامی که قرآن می خوانی، از (شر) شیطان رانده شده ، به خدا پناه ببر .
099_00	بی گمان او بر کسانی که ایمان آورده اند و بر پروردگارشان توکل می کنند ، (هیچ) تسلطی ندارد.
100_00	تسلط او تنها بر کسانی است که او را به دوستی (و سر پرستی) خود بر گزیده اند ، و کسانی که (به پیروی از وی) به او (= خدا) شرک می ورزند.
101_00	و هنگامی که آیه ای را به جای آیه ی دیگر جایگزین (= نسخ) کنیم - و خداوند به آنچه که نازل می کند، داناتر است - (آنها) گویند :« بی گمان تو افترا زنی » (هر گز چنین نیست) بلکه بیشتر آنها نمی دانند .
102_00	بگو :« روح القدس (= جبرئیل) آن را از جانب پروردگارت به حق نازل کرده است ، تا کسانی که ایمان آورده اند ، ثابت قدم گرداند ، و برای (عموم) مسلمانان هدایت وبشارت باشد».
103_00	و به راستی (ما) می دانیم که آنها می گویند: «همانا بشری (این آیات را) به او آموزش می دهد » در حالی که زبان کسی که اینها به او نسبت می دهند عجمی (= غیر عربی) است ، و این (قرآن به) زبان عربی آشکار است .
104_00	یقیناً کسانی که به آیات خدا ایمان نمی آورند ، خدا آنها را هدایت نمی کند ، و برای آنها عذاب درد ناکی است .
105_00	تنها کسانی دروغ می بندند که به آیات خدا ایمان ندارند ، و ایشانند که دروغگویان (واقعی) هستند .
106_00	کسی که بعد از ایمانش به خدا کافر شود (باز خواست می شود) مگر کسی که به زور (به کفر) واداشته شود در حالی که قلبش به ایمان آرام باشد ،
106_01	لیکن کسی که سینه ی خود را برای (پذیرش) کفر بگشاید، پس خشم خدا برآنهاست ، و برای آنها عذاب بزرگی است .
107_00	این به (خاطر) آن است که زندگی دنیا را بر آخرت ترجیح دادند ، و همانا خداوند گروه کافران (لجوج) را هدایت نمی کند .
108_00	اینان کسانی هستند که (بر اثر گناهان شان ) خداوند بر دلهایشان و گوششان و چشمانشان مهر نهاده است ، و اینان غافلان (واقعی) هستند .
109_00	بدون شک آنها در آخرت زیانکارانند.
110_00	آنگاه پروردگارتو برای کسانی که هجرت کردند ، بعد از آن که شکنجه (و عذاب) کشیدند (تا سخن کفر بگویند) سپس (در راه خدا) جهاد کردند ، و صبر نمودند ، بی گمان پروردگارت بعد از این (رنج ها) آمرزنده ی مهربان است .
111_00	(به یاد آورید روز قیامت ، آن) روزی که هرکس (به دفاع) از خود به مجادله بر می خیزد ، و به هر کسی (پاداش) آنچه کرده است؛ به طور کامل (و تمام) داده می شود ، و به آنها ستم نخواهد شد .
112_00	و خداوند مثلی زده است : قریه ای که ایمن و آسوده بود ، همواره روزی اش به فراوانی از هرجا می رسید ،
112_01	پس (اهلش) به نعمت های خدا ناسپاسی کردند ، آنگاه خداوند به (کیفر) آنچه که انجام می دادند ؛ لباس گرسنگی و ترس (و نا امنی) را بر آنها پوشانید (و طعمش را چشانید).
113_00	و به راستی پیامبری از خودشان به سوی آنها آمد، پس او را تکذیب کردند ، آنگاه در حالی که ظالم بودند ، عذاب (الهی) آنها را فرو گرفت .
114_00	پس از آنچه که خدا به شما روزی داده است ؛ حلال (و) پاکیزه بخورید ، و شکر ونعمت خدا را بجای می آورید ، اگر او را می پرستید .
115_00	(خداوند) تنها مردار ، و خون و گوشت خوک و آنچه را که (هنگام ذبح) نام غیر خدا برآن برده شده است؛ بر شما حرام کرده است ، پس
115_01	کسی که ناچار شود در حالی که نه ستمکار باشد و نه از حد تجاوز کند (و از آنها بخورد) پس بی گمان خداوند آمرزنده ی مهربان است .
116_00	و چیزی را که زبانتان به دروغ توصیف می کند ؛ نگویید : « این حلال است ،و آن حرام »
116_01	تا برخدا افترا ببندید، یقیناً کسانی که بر خدا افترا می بندند ؛ رستگار نمی شوند.
117_00	(در این دنیا) بهره ی اند ک (نصیبشان می شود) و برای آنها (در آخرت) عذاب دردناک است .
118_00	و برکسانی که یهودی شدند ؛ حرام کرده بودیم ، چیزهای را که پیش از این بر تو حکایت کردیم ، و (ما) به آنها ستم نکردیم ، ولیکن آنها به خودشان ستم کردند .
119_00	سپس پروردگار تو برای کسانی که ازروی جهالت بدی کردند ، آنگاه بعد از آن توبه کردند ، و (اعمال خود را) اصلاح کردند ، یقیناً پروردگارت بعد از آن (توبه ، برای آنها) آمرزنده ی مهربان است .
120_00	به راستی ابراهیم (به تنهایی) امتی بود ، فرمانبردار خدا ، حنیف (= خالی از انحراف) بود و (هرگز) از مشرکان نبود .
121_00	شکر گزار نعمتهای خدا بود ، (خداوند) او را برگزید ، و به راه راست هدایتش نمود.
122_00	(ما) در دنیا به او نیکی عطا کردیم ؛ و قطعاً او در آخرت از صالحان است.
123_00	سپس به تو (ای پیامبر!) وحی کردیم که از آیین ابراهیم که حنیف بود و از مشرکان نبود ؛ پیروی کن .
124_00	(رعایت تعظیم روز) شنبه تنها بر کسانی که در آن اختلاف کردند (بعنوان مجازات) مقرر شد ، و بی گمان پروردگارت روز قیامت در آنچه اختلاف می کردند؛ میان آنها داوری می کند.
125_00	با حکمت وپند نیکو (مردم را) به راه پروردگارت دعوت نما ، و با روشی که نیکو تر است ، با آنها (بحث و) مناظره کن ، بی
125_01	تردید پروردگارت به (حال) کسی که از راه او گمراه شده است؛ دانا تر است ، و (نیز) او به هدایت یافتگان؛ دانا تر است .
126_00	و اگر خواستید مجازات کنید ، پس چنان مجازات کنید که شما را مجازات کرده اند ، و اگر صبر نمایید ، مسلماً آن برای صابران بهتر است .
127_00	و (ای پیامبر گرامی) صبر کن و صبر تو جز به (توفیق) خدا نیست ، و بر آنها اندوهگین مشو، و از آنچه مکر می ورزند؛ دلتنگ مباش .
128_00	همانا خداوند با کسانی است که تقوا پیشه کردند ، و کسانی که نیکو کارانند .
