001_00	(اعلام) بیزاری از سوی خدا وپیامبرش, به کسانی از مشرکان است که (با آنها) پیمان بسته اید.
029_00	با کسانی از اهل کتاب که نه به خدا ونه به روز قیامت ایمان دارند, ونه آنچه را خدا ورسولش حرام کرده, حرام می دانند,
029_01	ونه دین حق را می پذیرند, بجنگید, تا زمانی که باذلت وخواری به دست خویش جزیه بدهند.
030_00	ویهود گفتند: «عزیر پسر خداست» ونصار گفتند: «مسیح پسر خداست». این سخنی است که با زبانهایشان می گویند,
030_01	مشابهت (وتقلید) می کنند سخن کسانی که پیش از این کافر بودند, خدا آنها را بکشد, چگونه (از حق) منحرف می شوند؟!
031_00	(آنها) دانشمندان ورهبان خویش, و (همچنین) مسیح پسر مریم را معبودانی بجای الله گرفتند؛ در حالی که دستور نداشتند جز خداوند یکتایی را که هیچ معبودی (به حق) جز او نیست؛ بپرستند,
031_01	او پاک ومنزه است از آنچه شریک او قرار می دهند.
032_00	(آنها) می خواهند نور خدا را با دهان خود خاموش کنند, وخداوند ابا می کند, مگر اینکه نورش را کامل (وتمام) کند, اگر چه کافران کراهت داشته باشند.
033_00	او کسی است که رسول خود را با هدایت ودین حق فرستاد, تا آن را بر همۀ دین ها غالب گرداند, اگر چه مشرکان کراهت داشته باشند.
034_00	ای کسانی که ایمان آورده اید!
034_01	بی گمان بسیاری از احبار ورهبان اموال مردم را به باطل می خورند, و(دیگران را) از راه خدا باز می دارند, وکسانی که طلا ونقره را می اندوزند (وگنجینه می کنند) ودر راه خدا انفاق نمی کنند, پس آنهارا به عذابی درد ناک بشارت ده.
035_00	روزی که آن را در آتش جهنم گرم (وتفته اش) کنند, پس با آن پیشانی هایشان وپهلوهایشان, وپشتهایشان را داغ کنند, (وبه آنها گفته شود) این همان چیزی است که برای خود اندوختید, پس بچشید (طعم) آنچه را می اند و ختید.
036_00	بی گمان تعداد ماهها نزد خداوند در کتاب خدا, از آن روز که آسمانها وزمین را آفریده, دوازده ماه است, که چهار ماه از آن, (ماه) حرام است. این, دین ثابت ودرست (الهی) است.
036_01	پس در این ماهها به خود ستم نکنید, و دسته جمعی با مشرکان بجنگید, همان گونه که آنها دسته جمعی با شما می جنگند, وبدانید که خداوند با پرهیزگاران است.
037_00	همانا به تأخیر افکندن (وجابجای ما ههای حرام) افزونی در کفر است, کسانی که کافر شدند, با آن گمراه می شوند, یک سال؛
037_01	آن را حلال, ویک سال (دیگر) آن را حرام می کنند, تا مطابق با تعداد ماههایی شود که خداوند تحریم کرده است, پس آنچه
037_02	را که خدا حرام کرده, حلال می شمارند, اعمال زشت شان در نظرشان آراسته شده است, وخداوند گروه کافران را هدایت نمی کند.
038_00	ای کسانی که ایمان آورده اید! شما را چه شده, هنگامی که به شما گفته می شود: « (به سوی جهاد) در راه خدا حرکت کنید» به زمین می چسپید (وسستی می کنید) آیا به جای آخرت به زندگی دنیا راضی شده اید؟!
038_01	حال آنکه متاع زندگی دنیا, در (برابر) آخرت, جز اندکی (هیچ) نیست.
039_00	اگر (برای جهاد) کوچ نکنید, (خداوند) شما را به عذاب دردناکی, عذاب می کند, وقوم دیگری را به جای شما قرار می دهد, وهیچ زیانی به او نمی رسانید, وخداوند بر هر چیزی تواناست.
040_00	اگر او (= پیامبر) را یاری نکنید, به راستی که خداوند او را یاری کرد, آنگاه که کافران او را (از مکه) بیرون کردند, نفر دوم از دو نفری که آن دو در غار
040_01	بودند, به یار خود (ابو بکر) می گفت: «اندوهگین مباش, یقیناً خدا با ماست». پس خداوند آرامش خود را بر او فرو فرستاد, وبا لشکرهایی که شما آن را نمی دید
040_02	ید, او را تأیید (وتقویت) نمود, وکلام (وگفتار شرک) کسانی که کافر شدند؛ پایین قرار داد, وکلام (وآیین) خدا بالا (وپیروز) است, وخداوند پیروزمند حکیم است.
041_00	سبکبار وگرانبار (همگی برای جهاد) کوچ کنید, وبا اموال تان, وجانهایتان در راه خدا جهاد کنید, این برای شما بهتراست, اگر بدانید.
042_00	اگر متاعی نزدیک (ودست یافتنی) بود,وسفری آسان (ونزدیک درپیش) بود, البته از تو پیروی می کردند, ولیکن مسافت راه (تبوک) بر آنها دور (وپر مشقت) است, وبه زودی به
042_01	خدا سوگند یاد می کنند که: «اگر توانایی داشتیم, البته همراه شما بیرون می شدیم» (آنها با این کارها) خود را هلاک می کنند, وخداوند می داند که آنها دروغگو هستند.
043_00	(ای پیامبر!) خدا تو را ببخشاید! چرا به آنها اجازه دادی؟! پیش از آنکه راستگویان بر تو آشکار شوند, ودروغگویان را بشناسی!.
044_00	کسانی که به خدا وروز آخرت ایمان دارند, هیچ گاه برای (ترک) جهاد با اموال شان وجانهایشان, از تو اجازه نمی خواهند, وخداوند نسبت به پرهیزگاران داناست.
045_00	تنها کسانی از تو اجازه می خواهند؛ که به خدا وروز آخرت ایمان ندارند, ودلهایشان گرفتار شک است, وآنها در شک (وترید) خود سر گردانند.
046_00	واگر آنها می خواستند که (همراه شما) بیرون شوند, سازو برگی برای آن آماده می کردند, ولیکن خداوند از حرکت آنها کراهت داشت, لذا آنها را (از حرکت) بازداشت, وبه آنان گفته شد: «با نشستگان بنشینید».
047_00	اگر (آنها) همراه شما بیرون می آمدند, جز فساد (وتباهی) چیزی بر شما نمی افزودند, وبه سرعت در میان شما فتنه انگیزی می کردند, ودر میان شما افرادی (ضعیف الایمان) هستند که به (سخنان) آنها گوش فرا می دهند, وخداوند, (نسبت) به ستمکاران داناست.
048_00	به راستی که آنها پیش از این (نیز) فتنه گری می کردند, وکارها را برای تو دگرگون کردند, تا آنکه حق فرا رسید, وفرمان خدا آشکار شد، (وشما پیروز شدید) در حالی که آنها کراهت داشتند.
049_00	بعضی از آنها می گویند: «(در ترک جهاد) به من اجازه بده, ومرا به فتنه (وگناه) نیفکن». آگاه باشید که آنها در فتنه افتاده اند, وبی گمان جهنم کافران را احاطه کرده است.
050_00	اگر به تو نیکی برسد, آنها را ناراحت می کند, واگر مصیبتی به تورسد, می گویند: «ما پیش از این چارۀ کار خود را اندیشیده ایم» وشادمانه باز می گردند.
051_00	بگو: «هرگز (مصیبتی) به ما نرسد, جز آنچه خداوند برای ما نوشته است, او مولای ماست, ومؤمنان باید بر خدا توکل کنند».
052_00	بگو: «آیا برای ما جز یکی از دو نیکی را انتظار دارید؟!
052_01	(یا پیروزی یا شهادت) وما برای شما انتظار داریم که خداوند, عذابی از نزد خودش به شما برساند, یا بدست ما (شما را مجازات کند) پس شما انتظار بکشید, بی گمان ما (نیز) با شما انتظار می کشیم».
053_00	بگو: «انفاق کنید, چه از روی میل باشد یا به اکراه, هرگز از شما پذیرفته نخواهد شد, زیرا شما مردمی فاسق (ونافرمان) هستید».
054_00	وهیچ چیز مانع قبول انفاقهای آنها نشد, مگر آنکه به خدا وپیامبرش کافر شدند, وجز با کسالت (وبی میلی) برای نماز حاضر نمی شوند, وجز با کراهت انفاق نمی کنند.
055_00	پس (فزونی) اموال شان واولاد شان , تو را شگفت زده نکند, زیرا خداوند می خواهد به (وسیلۀ) آن آنها را در زندگی دنیا عذاب کند, ودرحالی که کافرند جانشان بر آید.
056_00	وآنها (= منافقان) به خدا سوگند یاد می کنند که از شما هستند, درحالی که از شما نیستند, ولیکن آنها گروهی اند که می ترسند، (بدین سبب سوگند می خورند).
057_00	اگر پناهگاه یا غارها یا تونلی (در زیر زمین) بیابند, شتابان به سوی آن می گریزند.
058_00	واز آنها کسانی هستند که در (قسیم) صدقات (وغنایم) به تو خرده می گیرند, پس اگر از آن (اموال, بهره ای) به آنها داده شود, راضی می شوند, واگر از آن (چیزی) داده نشود, فوراً خشم می گیرند.
059_00	اگر به آنچه خدا ورسولش به آنها داده است, راضی باشند, وبگویند: «خداوند برای ما کافی است, به زودی خدا ورسولش از فضل خود به ما عطا می فرماید, ما تنها به سوی خدا رغبت می وزریم». (برای آنها بهتر بود).
060_00	صدقات (وزکاتها) مخصوص فقراء ومساکین وکار گزاران (جمع آوری) آن, ودلجوئی شدگان, وبرای (آزاد کردن) بردگان, و(ادای و
060_01	ام) بدهکاران, ودر راه خدا, وبه راه ماندگان, (است, این) فریضه ای (مقرر شده) از جانب خداست، وخداوند دانای حکیم است.
061_00	واز آنها (= منافقان) کسانی هستند که پیامبر را آزار می دهند, و می گویند: «گوش (وخوش باور) است».
061_01	بگو: «برای شما گوش نیکی است, به خدا ایمان دارد, ومؤمنان را تصدیق می کند, ورحمت است برای کسانی از شما که ایمان آورده اند».
061_02	وکسانی که رسول خدا را آزار می دهند, برایشان عذاب درد ناکی است.
062_00	(منافقان) برای شما به خدا سوگند یاد می کنند, تا شما را خشنود سازند, درحالی که اگر ایمان داشتند, شایسته تر (این) است که خدا ورسولش را خشنود سازند.
063_00	آیا نمی دانند, بی گمان هر کس با خدا ورسولش مخالفت (ودشمنی) کند, پس مسلماً برای او آتش جهنم است, جاودانه در آن خواهد بود؟! این (همان) رسوایی بزرگ است.
064_00	منافقان می ترسند که مبادا سوره ای بر (علیه) آنان نازل شود, وبه آنها از آنچه درون دلهایشان (نهفته) است, آگاه سازد, بگو: «استهزا کنید, بی گمان خداوند, آنچه را که از آن می ترسید, آشکار می سازد».
065_00	و (ای پیامبر!) اگر از آنها بپرسی: (« چرا چنین کرده اید؟»). گویند: «ما حرف می زدیم, (شوخی و) بازی می کردیم» بگو: «آیا خدا وآیات او وپیامبرش را مسخره می کردید؟».
066_00	عذر نیاورید, به راستی که شما پس از ایمان (آوردن) تان کافر شده اید, اگر گروهی از شما را (بخاطر توبه) ببخشیم, گروه دیگری را عذاب خواهیم کرد, زیرا که مجرم بودند.
067_00	مردان منافق وزنان منافق, همه (همانند هم و) از یک گروه اند, به کارهای زشت فرمان می دهند, واز نیکیها باز می دارند, ودست
067_01	هایشان را (از بخشش) می بندند, خدا را فراموش کردند, پس خدا (نیز) آنها را فراموش کرد، بی گمان منافقان همان فاسقان هستند.
068_00	خداوند به مردان منافق وزنان منافق وکفار, وعدۀ آتش جهنم داده است, جاوانه در آن خواهند ماند, همان برای آنها کافی است, وخدا آنها را لعنت کرده است, وبرای آنها عذاب همیشگی است.
069_00	(شما منافقان) همانند کسانی که پیش از شما بودند, (هستید, بلکه) آنها از شما نیرومندتر, واموال وفرزندانشان بیشتر بود, آنها از نصیب
069_01	خود بهره مند شدند, پس شما نیز از نصیب خود بهره مند شده اید, همچنانکه کسانی که پیش از شما بوده اند, از نصیب خویش بهره مند شده ب
069_02	ودند, وشما (در سخنان ناپسند) فرورفتید, همان گونه که آنها فرورفتند؛ آنان اعمالشان در دنیا وآخرت نابود شد, وآنان همان زیانکارانند.
070_00	آیا خبر کسانی که پیش از آنها بودند, (چون) قوم نوح, وعاد وثمود, وقوم ابراهیم, واصحاب مدین (= قوم شعیب) وشهرهای زیر ورو شده (قوم لوط) به آنها نرسیده
070_01	است, که پیامبرانشان با دلایل روشن به (سوی) آنها آمدند, (ولی نپذیرفتند) پس خداوند (با هلاکشان) به آنها ستم نکرد, ولیکن خودشان بر خویشتن ستم می کردند.
071_00	ومردان مؤمن وزنان مؤمن دوستان (و یاور) یکدیگرند,
071_01	امر به معروف ونهی از منکر می کنند, ونماز را بر پا می دارند, وزکات را می پردازند, وخدا وپیامبرش را اطاعت می کنند,
071_02	اینانند که خداوند به زودی آنها را مورد رحمت قرار می دهد, بی گمان خداوند پیروزمند حکیم است.
072_00	خداوند به مردان مؤمن وزنان مؤمن, باغهایی (از بهشت) وعده داده که نهرها از زیر (درختان) آن جاری است, جاودانه در آن خواهند ماند,
072_01	و(نیز) خانه های پاکیزه ای در بهشتهای جاوید (نصیب شان فرموده) وخشنودی خداوند (از همۀ اینها) برتراست, این, همان کامیابی بزرگ است.
073_00	ای پیامبر! با کافران ومنافقان جهاد کن, وبرآنان سخت بگیر, وجایگاهشان جهنم است, وچه بد سرانجامی است.
074_00	(منافقان) به خدا سوگند یاد می کنند که (سخنان نادرست) نگفته اند, وبه راستی که سخن کفر گفته اند, وپس از اسلام آوردنشان, کافر شده اند, وقصد چیز
074_01	ی (خطرناک) کردند, که به آن نرسیدند, تنها به این سبب عیبجوئی می کنند که خدا ورسولش, آنها را از فضل خود بی نیاز کرد, پس اگر توبه کنند, برای آن
074_02	ها بهتراست, واگر روی بگردانند؛ خداوند آنها را در دنیا وآخرت, با عذابی دردناک عذابشان می کند, ودر (روی) زمین هیچ کارساز و یاوری نخواهند داشت.
075_00	بعضی از آنها با خدا (عهد و) پیمان بستند که: اگر (خداوند) از فضل خود (نصیبی) به ما دهد, قطعاً صدقه (وزکات) خواهیم داد, واز نیکوکاران خواهیم بود.
076_00	پس چون (خداوند) از فضل خود به آنها (نصیبی) بخشید, به آن بخل ورزیدند, واعراض کنان روی گرداندند (وسر پیچی کردند).
077_00	پس (این عمل) نفاق را تا روزی که او (= خدا) را ملاقات کنند, در دلهایشان بر قرار ساخت, به (سبب) آنچه که با خدا وعده کرده بودند, خلاف نمودند, (وعهد شکنی کردند) وبه (سبب) آنکه دروغ می گفتند.
078_00	آیا نمی دانستند که خداوند اسرارشان, و(سخنان) در گوشی شان را می داند, وبی گمان خداوند دانای غیبها است.
079_00	کسانی که از مؤمنان رغبت کننده (وفرمانبردار) در صدقات (شان) عیبجویی می کنند, وکسانی را که جز به اندازۀ (ناچیز) توانایی خود (چیزی) نمی یابند, پس (عیبجوئی و) مسخره شان می کنند, خداوند آنها را مسخره می کند, وبرای آنها عذاب دردناکی است.
080_00	(ای پیامبر) برای آنها آمرزش بخواه یا برای شان آمرزش نخواه, اگر هفتاد بار برای آنها آمرزش بخواهی, هرگز خداوند آنها
080_01	را نمی آمرزد, این بدان سبب است که آنها به خدا وپیامبرش کافر شدند, وخداوند گروه فاسقان را هدایت نمی کند.
081_00	واپس ماندگان (از غزوۀ تبوک) از نشستن خود بعد از (مخالفت با) رسول خدا, خوشحال شدند، وکراهت داشتند که با اموال خود, وجانهای خود, در راه خدا جهاد کنند,
081_01	و(به یکدیگر) گفتند: «در این گرما, (برای جهاد) بیرون نروید», (ای پیامبر! به آنان) بگو: «آتش جهنم (از این) گرمتراست» اگر در می یافتند.
082_00	پس آنها باید کمتر بخندند, وبسیار گریه کنند, (این) جزای آنچه که انجام می دادند.
083_00	پس اگر خداوند تو را به سوی گروهی از آنها باز گرداند, واز تو اجازۀ خروج (برای جهاد) خواستند, پس بگو: «هرگز با من خارج نخواهید شد, وهرگز همراه من, با هیچ دشمنی نخواهید جنگید,
083_01	زیرا شما نخستین بار به نشستن (و کناره گیری) راضی شدید, پس با پس ماندگان بمانید».
084_00	وهرگز بر هیچ یک از آنها که مرده است, نماز نخوان, وبر (کنار) قبرش نایست, بی گمان آنها به خدا ورسولش کافر شدند, ودر حالی که فاسق (ونافرمان) بودند؛ مردند.
085_00	و(فزونی) اموال شان واولادشان, تو را شگفت زده نکند, زیرا خداوند می خواهد به (وسیلۀ) آن, آنها را در زندگی دنیا عذاب کند, ودر حالی که کافراند؛جانشان بر آید.
086_00	وهنگامی که سوره ای نازل شود که به خدا ایمان آورید, وهمراه پیامبرش جهاد کنید, توانگرانشان از تو اجازه می خواهند, وگویند: « بگذار ما با خانه نشینان (که معذورند) باشیم».
087_00	آنها راضی شدند که با (زنان و) باز ماندگان باشند, وبردلهایشان مهر زده شده, پس آنان (چیزی) نمی فهمند.
088_00	لیکن پیامبر وکسانی که با او ایمان آوردند, با اموال خود وجانهای خود (در راه خدا) جهاد کردند, نیکی ها (همه) از آنِ آنهاست, وآنانند که رستگارانند.
089_00	خداوند برای آنها باغهایی (از بهشت) آماده کرده است, که نهرها از زیر (درختان) آن جاری است, جاودانه در آن خواهند ماند, این کامیابی بزرگ است.
090_00	و عذر آورندگان از اعراب (بادیه نشین, نزد تو) آمدند, تا به آنها اجازه داده شود, وکسانی که به خدا ورسولش دروغ گفته بودند (در خانه) نشستند, به زودی به کسانی از آنها که کافر شدند, عذاب دردناکی خواهد رسید.
091_00	بر ناتوانان گناهی نیست ونه بر بیماران, ونه بر کسانی که چیزی نمی یابند, خرج کنند, (گناهی است).
091_01	هرگاه برای خدا وپیامبرش خیر خواهی کنند, بر نیکو کاران هیچ راه (سرزنش) نیست, وخداوند آمرزندۀ مهربان است.
092_00	ونه بر کسانی که وقتی نزد تو آمدند که آنها را (بر مرکبی) سوار کنی, گفتی: «چیزی که شما را برآن سوار کنم, نمی یابم» آنها باز گشتند, در حالی که از اندوه چشمانشان اشک ریزان بود, چرا که هیچ چیزی برای انفاق (در راه خدا) نیافتند.
093_00	تنها راه (سرزنش) بر کسانی (باز) است که از تو اجازه می خواهند, در حالی که توانگراند, (آنها)
093_01	راضی شدند که با (زنان و) بازماندگان باشند, وخداوند بر دلهایشان مهر نهاده است, پس آنان (چیزی) نمی دانند.
094_00	هنگامی که به سوی آنها باز گردید ، از شما عذر خواهی می کنند ، بگو : « عذر خواهی نکنید؛ ما هرگز (گفتار) شما باور نخواهیم کرد ، به راستی که خداوند ما را از اخبار شما آگاه کرده است ،
094_01	و به زودی خدا و رسولش ، اعمال شما را خواهند دید ، آنگاه به سوی (خدای) دانای پنهان و آشکار باز گردانده می شوید؛ پس شما را به آنچه انجام می دادید؛ آگاه می کند »
095_00	هنگامی که به سوی آنان باز گردید ، برای شما به خدا سوگند یاد می کنند ، تا از آنها چشم پوشی (و اعراض) کنید ، پس از آنها روی بگرانید (و اعراض کنید) بی گمان آنها (مردمی) پلیدند ،
095_01	و جایگاهشان جهنم است ، به کیفر آنچه که انجام می دادند.
096_00	برای شما سوگند یاد می کنند ، تا از آنها راضی شوید ، اگر شما از آنها راضی شوید ، پس بی تردید خداوند از گروه فاسقان راضی نخواهد شد .
097_00	کفر و نفاق اعراب (بادیه نشین) ، شدیدتر است ، و به نا آگاهی از حدود (و احکامی) که خدا بر پیامبرش نازل کرده ، سزاوارترند، و خداوند دانای حکیم است .
098_00	از اعراب (بادیه نشین ) کسانی اند که آنچه را (در راه خدا) انفاق می کنند ، غرامت به حساب می آورند ، و منتظرند حوادث (و پیشامد ناگواری) به شما برسد، حوادث بد (و ناگوار) بر خودشان باد ، و خداوند شنوای داناست.
099_00	و از اعراب (بادیه نشین) کسانی اند که به خدا و روز آخرت ایمان دارند ، و آنچه را ( در راه خدا) انفاق می کنند ، سبب تقرب به خدا ، و دعای پیامبر می دانند ، آگاه باشید ، بی گمان اینها سبب تقربشان خواهد بود ،
099_01	و خداوند به زودی آنها را در رحمت خود وارد خواهد کرد ، بی گمان خداوند آمرزنده ی مهربان است.
100_00	و پیشگامان نخستین از مهاجرین و انصار ، و کسانی که به نیکی از آنها پیروی کردند، خداوند از آنها خشنود گشت ، و آنها (نیز) از او خشنود شدند ،
100_01	و برای آنها باغهایی (از بهشت) آماده کرده است ، که نهرها از زیر (درختان) آن جاری است ، جاودانه در آن خواهند ماند ، این کامیابی بزرگ است .
101_00	و از (میان) اعراب (بادیه نشین) که پیرامون شما هستند ، گروهی منافقند ، و از اهل مدینه (نیز) گروهی خوی نفاق گرفته اند ، تو آنها را
101_01	نمی شناسی ، (ولی) ما آنها را می شناسیم، به زودی آنها را دو بار عذاب خواهیم کرد ، سپس به سوی عذابی بزرگ (در قیامت) فرستاده می شوند.
102_00	و گروه دیگری (نیز) هستند که به گناهان خود اعتراف کردند ، کارهای شایسته و ناشایسته را به هم آمیختند ، امید است که خداوند توبه ی آن را بپذیرد ، بی گمان خداوند آمرزنده ی مهربان است .
103_00	از اموال آنها صدقه (و زکات) بگیر، تا بوسیله ی آن آنها را پاک سازی و تزکیه شان کنی ، و برای شان دعا کن ، یقیناً دعای تو مایه ی آرامش برای آنهاست ، و خداوند شنوای داناست.
104_00	آیا نمی دانند ، که تنها خداوند توبه را از بندگانش می پذیرد ، و صدقات را می گیرد ، وبی گمان خداست که توبه پذیر مهربان است .
105_00	وبگو:«عمل کنید ، پس بزودی خداوند ،وپیامبرش ومؤمنان اعمال شما را خواهند دید ، و به زودی به سوی (خدای ) دانای پنهان و آشکار ، باز گردانده می شوید ، پس شما را به آنچه انجام می دادید؛ آگاه می کند »
106_00	و گروه دیگری (نیز) موقوف به فرمان (و مشیت ) خداست ، یا آنها را عذاب می کند ، و یا توبه ی آنها را می پذیرد ، وخداوند دانای حکیم است .
107_00	و کسانی که برای زیان رسانیدن (به مسلمانان ) و(تقویت ) کفر وتفرقه افکنی میان مؤمنان ،مسجدی ساختند ، و(تا) کمینگاهی برای کسانی که از پیش با خدا ورس
107_01	ولش مبارزه کرده اند باشد ، و البته آنها سوگند یاد می کنند که قصدی جز نیکی (و خدمت ) نداشته ایم و خداوند گواهی می دهد که یقیناً آنها دروغگو هستند.
108_00	(ای پیامبر!) هر گز در آن مسجد (برای نماز) نایست ، آن مسجد که از روز نخست بر پایه تقوا بنا شده ،
108_01	شایسته تر است که در آن (به نماز) بایستی ، در آن مردانی هستند که دوست دارند که پاکیزه شوند ، و خداوند پاکیزگان را دوست دارد .
109_00	آیا کسی که اساس (وبنیان) آن را بر ترس از خدا و خشنودی (او) آن را بنا کرده بهتر است ،یا کسی که اساس (وبنیان) آن برکن
109_01	ار پرتگاه سستی بنا نهاده است ، پس (نا گهان ) با او در آتش جهنم فرو ریزد ؟ و خداوند گروه ستمکاران را هدایت نمی کند .
