001_00	حم (حا.میم)
028_00	این آتش کیفر دشمنان خداست، که آنان در آن سرای جاوید دارند، کیفری است به (سبب) آنکه آيات ما را انکار می کردند.
029_00	و کسانی که کافر شدند، گفتند: « پروردگارا! آن دو کسان از جن و انس که ما را گمراه کردند، به ما نشان بده، که آن دو را زیر پای خود قرار دهیم (ولگد کوبشان کنیم) تا از پست ترین (مردم) باشند».
030_00	بی گمان کسانی که گفتند: «پروردگار ما الله است» سپس استقامت کردند( )، فرشتگان بر آنها نازل می شوند (و می گویند:) «نترسید، و اندوهگین نباشید، و بشارت باد، به بهشتی که شما وعده داده می شدید.
031_00	ما در زندگی دنیا و (نیز) در آخرت دوستان (و یاران) شما هستیم، و برای شما در آن (بهشت) هر چه دلتان بخواهد فراهم است، و هر چه در خواست کنید برایتان (حاضر) است.
032_00	(اینها) پذیرایی از سوی (خداوند) آمرزنده مهربان است».
033_00	و چه کسی خوش گفتار تر است از کسی که به سوی خدا دعوت کند، و کار شایسته انجام دهد، و گوید: « بی شک من از مسلمانان هستم؟!»
034_00	و (هرگز) نیکی و بدی یکسان نیست، همیشه به نیکوترین شیوه پاسخ ده، پس ناگاه (می بینی) همان کس که میان تو و او دشمنی است، گویی دوست صمیمی است.
035_00	و (اما) جز کسانی که شکیبا باشند آن را نپذیرند، و جز دارنده بهره بزرگ (از ایمان و اخلاق) آن را نپذیرد.
036_00	وهر گاه وسوسه ای (باز دارنده) از سوی شیطان تو را باز گرداند، پس به خدا پناه ببر، یقیناً اوست که شنوای داناست.
037_00	و از نشانه های او، شب و روز، و خورشید و ماه است،
037_01	برای خورشید و برای ماه سجده نکنید، و برای خدایی که آنها را آفریده است، سجده کنید، اگر تنها او را می پرستید.
038_00	پس اگر (کافران) تکبر کنند، (باکی نیست) پس کسانی که نزد پروردگارت هستند، شب و روز او را تسبیح می گویند و آنان خسته نمی شوند.
039_00	و از نشانه های او (این) است که زمین را خشک (و بی جان) می بینی، پس هنگامی که آب (باران) را بر آن فرو فرستیم، به جنبش در آید و برویاند،
039_01	بی گمان کسی که آن را زنده کرد، یقیناً مردگان را زنده می کند، بی شک او بر هر چیز تواناست.
040_00	بی گمان کسانی که در آیات ما کجروی می کنند، بر ما پوشیده نیستند، آیا کسی که در آتش انداخته شود بهتر است،
040_01	یا کسی که روز قیامت ایمن (و بدون وحشت) بیاید؟! هر چه می خواهید بکنید، مسلماً او به آنچه انجام می دهید بیناست.
041_00	بی گمان کسانی که به ذکـر (= قرآن) هنگامی که برای (هدایت) آنان آمده کافر شدند، (نیز بر ما پوشیده نیستند). و به راستی که آن کتابی ارجمند است.
042_00	که هیچ گونه باطلی نه از پیش رو آن و نه از پشت سر آن، بدو راه نیابد، از سوی حکیم ستوده نازل شده است.
043_00	(ای پیامبر) به تو (چیزی) گفته نمی شود، مگر آنچه به پیامبران پیش از تو گفته شد، مسلماً پروردگار تو دارای آمرزش، و (هم) دارای مجازات دردناک است.
044_00	و اگر آن را قرآنی عجمی (= غیر عربی) قرار می دادیم، یقیناً مـی گفتند:«چرا آیاتش روشن (و واضح) نیست؟! آیا (قرآن) عجمی است، و (مخاطب آن) عربی است؟!»
044_01	بگو:« این (قرآن) برای کسانی که ایمان آوردند، هدایت و شفاست، و کسانی که ایمان نمی آورند، در گوشهایشان سنگینی است، و آن (قرآن) برایشان (مایه) کوری است، آنان (همچون کسانی اند که گـویا) از جـایی دور ندا داده مـی شوند».
045_00	و به راستی ما به موسی کتاب (تورات) دادیم، پس در آن اختلاف شد، و اگر فرمانی از پروردگار تو پیش از این نبود، مسلماً در میان آنها داوری می شد، و بی گمان آنها درباره آن (= قرآن) در شکی قوی هستند.
046_00	هر کس که کار شایسته ای انجام دهد، پس به سود خود اوست، و هر کس بدی کند، پس به زیان اوست، و پروردگار تو هرگز به بندگان ستم نمی کند.
047_00	علم به(وقوع) قیامت تنها به سوی او (الله) باز گردانده می شود( ), وهیچ میوه ای از غلافش بیرون نمی شود وهیچ ما ده ای بار دار نمی شود ونمی زاید مگر به علم او,
047_01	و روزی که آنها را ندا می دهد (ومی فرماید:) کجایند شریكانی (که برای) من (می پنداشتید؟!) گویند: «(پروردگارا!) ما (در درگاه تو) عرضه داشتیم که هیچ کس از ما (بر شرک) گواهی نمی دهد».
048_00	وآنچه را پیش از این می خواندند, از (نظرشان) ناپدید (ونابود) شد, ودریافتند که (در آن روز) هیچ راه گریزی ندارند.
049_00	انسان (هرگز) از طلب خیر (ونیکی) خسته نمی شود, واگر شر (وبدی) به او برسد, مأیوس ونا امید می شود.
050_00	واگر پس از رنجی که به او رسیده است, رحمتی از سوی خود به او بچشانیم, مسلماً می گوید: «این حق من است, وگمان نمی کنم قیامت بر پا می شود, و (به فرض) اگر به سوی پروردگارم باز گردانده شوم, بی گمان برای من نزد او (پاداشهای) نیکو (وخوش) است».
050_01	پس بی گمان کسانی که کافر شدند به آنچه کرده اند آگاه خواهیم کرد, واز عذاب سخت به آنها می چشانیم.
051_00	وهرگاه بر انسان (خیر و) نعمتی عطاء نمائیم, روی می گرداند, ومتکبرانه (از حق) دور می شود, وهرگاه شر (وبدی) به او برسد, پس دعا (وتقاضا) یش (برای دفع آن) افزون می شود.
052_00	(ای پیامبر!) بگو: «به من خبر دهید اگر این (قرآن) از سوی خدا باشد, سپس شما به آن کافر شوید, چه کسی گمراه تر خواهد بود از کسی که (با آن) در مخالفت (شدید و) دور است.
053_00	به زودی نشانه های خود را در آفاق ودر نفس خودشان به آنها نشان خواهیم داد, تا برای آنها روشن گردد که او حق است, آیا کافی نیست که پروردگارت بر همه چیز گواه است؟!
054_00	آگاه باش, که آنها از لقای پروردگارشان در شک اند, وآگاه باش که او به همه چیز احاطه دارد.
