001_00	الر. (الف . لام . را) این آیات کتاب محکم (و با حکمت) است .
036_00	و بیشتر آنها جزاز گمان پیروی نمی کنند ، بی تردید، گمان ، از حق بی نیاز نمی کند ، یقیناً خداوند به آنچه می کنند ، داناست.
037_00	و (سزاوار ) نیست این قرآن ، به دروغ (بدون وحی الهی) به خدا نسبت داده شود؛ بلکه تصدیق کننده چیزی است که پیش از آن (نازل شده) است، و بیان و تفصیل (آن) کتاب است، شکی در آن نیست ، از (جانب) پروردگار جهانیان است.
038_00	آیا آنها می گویند: «(او) آن را به دروغ (به خدا) نسبت داده است ؟!» بگو :« اگر راست می گویید ، پس یک سوره همانند آن بیاورید، و جز خدا هر که را که می توانید به یاری بخوانید »
039_00	بلکه آنها چیزی را تکذیب کردند که به آن علم و احاطه نداشتند ، و هنوز برای آنها مصداق (و حقیقت) آن نیامده است، بدین گونه کسانی که پیش از آنها بودند (نیز) تکذیب کردند ، پس بنگر سرانجام ستمکاران چگونه بوده است.
040_00	و از آنها کسی هست که به آن ایمان می آورد ، و از آنها کسی هست که به آن ایمان نمی آورد ، و پروردگار تو به مفسدان آگاه تر است .
041_00	و اگر (کافران) تو را تکذیب کردند ، پس بگو :« عمل من برای خودم ، و عمل شما برای خودتان است ، شما از آنچه من می کنم بیزارید ، و من (نیز ) از آنچه ( شما) می کنید بیزارم».
042_00	و ازآنها کسانی هستند که به تو گوش فرا می دهند ، آیا تو می توانی کران را بشنوانی ، وهر چند نفهمند ؟!
043_00	و از آنها کسانی اند که به تو می نگرند ، آیا تو می توانی کران را راهنمایی کنی ، وهر چند نبینند ؟!
044_00	یقیناً خداوند به مردم هیچ ستم نمی کند ، ولی مردم به خویشن ستم می کنند .
045_00	و روزی که (خداوند) آنها را محشور می کند ، (چنان احساس می کنند) گویی جز ساعتی از روز که یکدیگر را بشناسن
045_01	د (در دنیا) درنگ نکرده اند، به راستی کسانی که لقای خداوند را تکذیب کردند ، زیان کردند ، وهدایت نیافتند .
046_00	و اگر پاره ای از چیز های را که به آنها وعده داده ایم به تو نشان دهیم ، یا تو را بمیرانیم ، پس باز گشت شان به سوی ماست ، پس خداوند بر آنچه که می کنند ، گواه است.
047_00	برای هر امتی پیامبری است ، پس هنگامی که پیامبرشان آمد ، میان آنها به عدالت داوری شود ، وبه آنها ستم نخواهد شد .
048_00	ومی گویند :«اگر راست می گویید این وعده (عذاب) کی خواهد بود ؟!».
049_00	بگو :«من برای خودم مالک هیچ زیانی و سودی نیستم ، جز آنچه خدا بخواهد ، برای هر امتی سر آم
049_01	دی است ، هنگامی که سر آمد آنها فرا رسد، پس نه ساعتی تأخیر می کنند ، ونه پیشی می گیرند ».
050_00	بگو :« به من خبر دهید؛ اگر عذاب او شبانگاه یا در روز به سراغ شما آید ، مجرمان چه چیز را (اینگونه) به شتاب می طلبند ؟! »
051_00	باز هنگامی که (عذاب ) واقع شد ، آیا به آن ایمان می آورید؟ (آنگاه گفته می شود) : حالا ، در حالی که با شتاب آن را می خواستید .
052_00	سپس به کسانی که ستم کردند گفته می شود :«عذاب جاوید را بچشید ! آیا جز به آنچه که می کردید کیفر داده می شوید ؟!»
053_00	و از تو خبر می گیرند :آیا آن حق است ؟! بگو :«آری ، سو گند به پروردگارم ، قطعاً آن حق است ، وشما عاجز کننده نیستید( و نمی توانید از آن فرار کنید ) ».
054_00	و هر کس که ستم کرده ، اگر تمام آنچه در زمین است داشته باشد، حتماً (همه را ) برای نجات خودش بدهد ، و هنگامی
054_01	که عذاب را ببیند ، پشیمانی ( خود) را کتمان کنند ، و میان آنها به عدالت داوری شود، و به آنها ستم نخواهد شد .
055_00	آگاه باشید ، بی شک آنچه در آسمانها و زمین است ، از آن خداست ، آگاه باشید همانا وعده ی خدا حق است ، و لیکن بیشتر آنها نمی دانند .
056_00	اوست که زنده می کند و می میراند ، و(همه) به سوی او باز گردانده می شوید .
057_00	ای مردم ! به راستی که برای شما از جانب پروردگارتان موعظه ای آمد، و شفایی برای آنچه در سینه هاست و هدایت و رحمتی برای مؤمنان است .
058_00	بگو:«به فضل خدا و به رحمت او ، پس باید بدان خوشحال شوند، که آن از آنچه می اندوزند؛ بهتر است ».
059_00	بگو:« به من خبر دهید؛ آنچه از روزی که خداوند برای شما نازل کرده است ، پس بخشی از آن را حلال ، و بخشی را حرام نموده اید ؟! » بگو:« آیا خداوند به شما اجازه داده است یا بر خدا دروغ می بندید؟»
060_00	و کسانی که بر خدا دروغ می بندند ، (در باره ی ) روز قیامت چه می پندارند ؟! بی گمان خداوند بر (همه ی) مردم فضل (و کرم) دارد،ولیکن بیشترشان سپاسگزاری نمی کنند .
061_00	و در هیچ کار(و حالی) نباشی ، وهیچ بخشی از قرآن را نمی خوانی، و هیچ عملی را انجام نمی دهید ، مگر اینکه ما (حاضر و) گواه بر شما هستیم ، هنگامی که درآن (عمل) وارد م
061_01	ی شوید ، و هموزن ذره ای در زمین و نه در آسمان بر پروردگارت پوشیده نمی ماند ، و نه کوچکتر از آن (ذره) و نه بزرگتر ، مگر اینکه در کتاب روشن (لوح محفوظ ، ثبت ) است .
062_00	آگاه باشید ! همانا دوستان خدا ، نه ترسی بر آنهاست ، و نه آنها غمگین می شوند.
063_00	(همان) کسانی که ایمان آوردند ، و پرهیزگاری می کردند .
064_00	برای آنان در زندگی دنیا و در آخرت بشارت است ، سخنان خدا تغییر ناپذیر است ، این همان کامیابی بزرگ است .
065_00	(ای پیامبر!) سخن آنها تو را غمگین نکند بی گمان تمام عزت (و پیروزمندی) از آن خداست ، او شنوای داناست.
066_00	آگاه باشید ، هر که در آسمانها و هر که در زمین است ، از آن خداست ، و کسانی که غیر خدا؛ شریکان را م
066_01	ی خوانند ، پیروی (از دلیلی) نمی کنند ، آنها تنها از گمان پیروی می کنند ، و آنها فقط دروغ می گویند.
067_00	او کسی است که شب را برای شما قرار داد، تا در آن آرام بگیرید ، و روز را روشن (قرار داد) بی گمان در اینها نشانه هایی است برای گروهی که می شنوند.
068_00	(مشرکان) گفتند: « خداوند فرزندی برگزیده است» او منزه است ، او بی نیاز است ، آنچه در آسمانها و آنچه د
068_01	ر زمین است از آن اوست،هیچ دلیلی نزد شما بر این (ادعا) نیست ، آیا بر خدا چیزی می گویید که نمی دانید؟!
069_00	بگو : « بی گمان کسانی که به خدا دروغ می بندند، رستگار نمی شوند».
070_00	بر خورداری (نا چیز) در دنیا دارند، آنگاه باز گشت شان به سوی ماست، سپس عذاب سختی بسبب آنکه کفر می ورزیدند؛ به آنها می چشانیم.
071_00	و داستان نوح را بر آنها بخوان ، چون به قوم خود گفت :« ای قوم من ! اگر اقامت من ، و یاد آوری من به آیات خدا ، بر شما گران آمده است ،
071_01	پس من بر خدا تو کل کردم ، شما تدبیر (و اندیشه ی) خود و معبودهایتان را جمع کنید، سپس هیچ چیز از کارهایتان بر شما پوشیده نماند ، آنگاه (برای کشتنم ) به سوی من هجوم آورید ، و (لحظه ای) مرا مهلت ندهید.
072_00	پس اگر روی بگردانید ، من (در مقابل دعوتم) از شما هیچ مزدی نخواسته ام ، مزد من ، تنها بر خداست ، و من مأمور شده ام که از مسلمانان باشم».
073_00	پس آنها او را تکذیب کردند، آنگاه ما او، وآنان که با او در کشتی بودند ، نجات دادیم ، و آنها را جانشین( گذشتگان) قرار دادیم ، وکسانی را که آیات ما را تکذیب کردند؛ غرق کردیم .
073_01	پس بنگر که سرانجام بیم دادگان چگونه بود!
074_00	سپس بعد از او(= نوح) پیامبرانی به سوی قومشان فرستادیم ، پس آنان دلایل روشنی برای شان آوردند ،پس آنها (مستعد) نبودند که به آنچه پیش از آن تکذیب کرده بودند ، ایمان آوردند.
074_01	این چنین بر دلهای تجاوزکاران مهر می نهیم .
075_00	سپس بعد از آنها موسی و(برادرش) هارون را با آیات خود به سوی فرعون و اطرافیانش فرستادیم ، پس آنها تکبر ورزیدند ، و آنها گروه مجرم بودند.
076_00	پس چون حق از نزد ما برای آنها آمد ،گفتند : « بی گمان این جادویی آشکار است ».
077_00	موسی گفت: « آیا درباره ی حق ،چون برای شما آمده است (چنین) می گویید ؟! آیا این جادو است ؟در حالی که جادوگران رستگار نمی شوند » .
078_00	(فرعونیان) گفتند : آیا آمده ای که ما را از آنچه نیاکانمان بر آن یافتیم ،باز داری ، وبزرگی (و حکومت ) در روی زمین ،از آن شما دو تن باشد ؟ ما به شما دو نفر ایمان نمی آوریم .
079_00	و فرعون گفت:«تمام جادوگران (ماهر و) دانا نزد من بیاورید ».
080_00	پس چون جادوگران آمدند ، موسی به آنها گفت : «آنچه شما (از وسایل سحر) می توانید بیفکنید ، (اکنون بر زمین ) بیفکنید ».
081_00	پس چون افکندند، موسی گفت : «آنچه شما آورده اید ، سحر است ، بی گمان خداوند آن را باطل خواهد کرد ، همانا خداوند عمل مفسدان را اصلاح نمی کند.
082_00	و خداوند با کلمات خود ، حق را (ثابت و) پایدار می کند گرچه مجرمان کراهت داشته باشند» .
083_00	پس هیچ کس به موسی ایمان نیاورد ، جز گروهی اندک از قوم او ،(آن هم ) با ترس فرعون واطرافیانش ، که مبادا آنها را بیازارد ،
083_01	و بی شک فرعون در زمین سر کش (و جاه طلب ) بود ، و همانا او از اسرافکاران بود .
084_00	موسی گفت :« ای قوم من! اگرشما به خدا ایمان آورده اید ، پس بر اوتوکل کنید ،اگر مسلمان هستید ».
085_00	گفتند:« بر خدا توکل کرده ایم، پروردگارا! ما را دستخوش فتنه ی گروه ستمگر قرار نده ،
086_00	و به رحمتت ما را از (شر) گروه کافران نجات بده ».
087_00	و به موسی وبرادرش (هارون) وحی کردیم که : برای قوم خود ، خانه های در(سرزمین) مصر انتخاب کنید ، وخانه هایتان را عبادتگاه قرار دهید ، و نماز را بر پا دارید، و (ای موسی!) مؤمنان را (به پیروزی وبهشت ) بشارت بده»
088_00	و موسی گفت :« پروردگارا ! تو به فرعون واطرافیانش زینت و اموالی (فراوان) در زندگی دنیا داده ای ، پروردگارا! تا (بدین وسیله دیگران را) از راه توگمراه کنند.
088_01	پروردگارا! اموالشان را نابود کن، و دلهایشان را سخت کن، پس آنها ایمان نمی آورند، تا عذاب دردناک را ببینند ».
089_00	(خداوند) فرمود:« قطعاً دعای شما دو نفر پذیرفته شد، پس استقامت کنید،و از راه کسانی که نمی دانند، پیروی نکنید »
090_00	و (سر انجام ما ) بنی اسرائیل را از دریا گذراندیم ،پس فرعون وسپاهیانش از روی ستم وتعدی ، در پی آنها رفتند ، چون (فرعون) هنگام غرق
090_01	شدنش فرا رسید ، گفت:«ایمان آوردم،که هیچ معبودی (به حق)نیست؛ جز کسی که بنی اسرائیل به اوایمان آورده اند ،و من از مسلمانان هستم » .
091_00	(به او گفته شد:) حالا ؟ در حالی که قبلاً نافرمانی کردی و از مفسدان بودی!
092_00	پس امروز بدنت را (از دریا) نجات می دهیم ، تا عبرتی برای کسانی که بعد از تو می آیند باشی ، و بی گمان بسیاری از مردم از آیات ما غافلند .
093_00	و به راستی که بنی اسرائیل را در جایگاه نیکو منزل دادیم ، و از پاکیزه ها روزیشان دادیم ،پس اختلاف نکردند تا اینکه علم (و آگاهی) برای شان آمد،
093_01	بی گمان پروردگارتو ، روز قیامت در آنچه در آن اختلاف می کردند، میانشان داوری خواهد کرد.
094_00	پس اگر در آنچه بر تو نازل کرده ایم در تردید هستی ، از کسانی که کتاب (آسمانی) پیش از تو را می خوانند؛ بپرس،
094_01	یقیناً حق از طرف پروردگارت به تو رسیده است ، پس هرگز از تردید کنندگان مباش!
095_00	ومباش هر گز از کسانی که آیات خدا را تکذیب کردند ،آنگاه از زیانکاران خواهی بود .
096_00	بی گمان کسانی که فرمان پروردگار بر آنها تحقق یافته ، ایمان نمی آورند ،
097_00	هر چند که هرگونه آیه (و معجزه ) برای آنها بیاید ، تا زمانی که عذاب دردناک را ببیند.
098_00	پس چرا هیچ شهر( وآبادی ) ایمان نیاورد که ایمانشان سودشان دهد ، مگر قوم یونس، چون ایمان آوردند عذاب رسوا کننده را درزندگی دنیا از آنها بر طرف کردیم ، و تا مدتی معین آنها را بهرمند ساختیم.
099_00	و اگر پروردگار تو می خواست ، مسلماً تمام کسانی که در (روی) زمین هستند، همگی ایمان می آوردند ، آیا تو می خواهی مردم را مجبور کنی تا که ایمان بیاورند ؟!
100_00	و هیچ کس جز به فرمان خدا نمی تواند؛ ایمان بیاورد ، و(خداوند) پلیدی را بر کسانی که نمی اندیشند؛ قرار می دهد .
101_00	بگو :«بنگرید چه چیز (از نشانه های یگانگی اش) در آسمانها و زمین است ؟» واین آیات و هشدارها به حال گروهی که ایمان نمی آورند ، سودی نمی بخشد .
102_00	پس آیا آنها (چیزی) جزهمانند روزهای کسانی را که پیش از آنها گذشتند ، انتظار می کشند ؟! بگو :«پس منتظر باشید، که بی گمان من(نیز) با شما از منتظرانم ».
103_00	سپس پیامبران مان ، وکسانی را که ایمان آورده اند نجات می دهیم ، اینگونه ، بر ما حق است که مؤمنان را نجات دهیم .
104_00	بگو :«ای مردم !
104_01	اگر از دین من در شک هستید، پس من کسانی را که شما به جای الله پرستش می کنید ؛ نمی پرستم، ولیکن من تنها الله را می پرستم که شما رامی میراند ، و من مأمور شده ام از مؤمنان باشم .
105_00	واینکه روی خود را به آیین حنیف متوجه کن ، وهر گز از مشرکان مباش!
106_00	و به جای الله ، چیزی را که نه سودی به تو می رساند ونه زیانی به تو می رساند ؛ نخوان، پس اگر چنین کنی ، بی گمان از ستمکاران خواهی بود .
107_00	و اگر خداوند زیانی به تو برساند ، پس جز او هیچ کس نتواند آن را بر طرف کند ، و اگر اراده ی خیری برای تو کند
107_01	، پس هیچ کس فضل او را باز نتواند داشت ، به هرکس از بندگانش که بخواهد می رساند و او آمرزنده ی مهربان است» .
108_00	بگو:«ای مردم!
108_01	بی تردید حق از طرف پروردگارتان برای شما آمد ، پس هر کس هدایت شد ، برای خود هدایت شده ، و هر کس گمراه شد ، پس به زیان خود گمراه شده است ، و من نگهبان بر شما نیستم ».
109_00	و از آنچه به تو وحی می شود پیروی کن ، وصبر کن ، تا خداوند داوری کند ، و او بهترین داوران است .
