001_00	از تو در بارۀ انفال (= غنایم) سؤال می کنند، بگو: «انفال از آنِ خدا و پیامبر است,
043_00	(بیاد آور) آنگاه که خداوند (عدۀ) آنها را در خوابت به تو اندک نشان داد, واگر زیاد نشان می داد؛ مسلماً سست می شدید, ودر این کار اختلاف می کردید, ولی خداوند (شما را از سستی واختلاف) سلامت داشت,
043_01	بی گمان او به آنچه در سینه هاست؛ آگاه است.
044_00	و(بیاد آور) آنگاه که چون باهم روبروشدید, آنها را به چشم شما کم نشان داد, وشما را (نیز) به چشم آنها کم جل
044_01	وه داد, تا خداوند, کاری را که می بایست انجام شود, به انجام برساند, وهمۀ کارها به خدا باز گردانده می شود.
045_00	ای کسانی که ایمان آورده اید! هنگامی می که با گروهی (از دشمن) روبرو شدید, پایدار (وثابت قدم) باشید, و خدا را بسیار یاد کنید, تا رستگار شوید.
046_00	و خدا و پیامبرش را اطاعت کنید, وبا همدیگر نزاع نکنید, که سست شوید, وقوت (ومهابت) شما از میان برود, وصبر کنید, بی گمان خداوند با صابران است.
047_00	ومانند کسانی نباشید که باسرکشی وخود نمایی به مردم, از سرزمین خود (مکه) بیرون آمدند, و(مردم را) از راه خدا باز می داشتند, وخداوند به آنچه می کنند؛ احاطه دارد.
048_00	و(به یاد بیاورید) هنگامی را که شیطان اعمال آنها را در نظرشان بیاراست, وگفت: «امروز هیچ کس از مردم بر شما پیروز
048_01	نخواهد شد, ومن حامی (وپناه دهندۀ) شما هستم». پس هنگامی که دو گروه روبرو شدند, به عقب بازگشت, وگفت: «بی گمان م
048_02	ن از شما بیزارم, به راستی من چیزی را می بینم که شما نمی بینید, همانا من از خدا می ترسم, وخداوند سخت کیفر است!».
049_00	و (به یاد آورید) هنگامی را که منافقان وآنان که در دلهایشان بیماری است, می گفتند: «اینان را دینشان بفریفته است». وهرکس بر خدا توکل کند, پس بی گمان خداوند پیروزمند حکیم است.
050_00	واگر ببینی هنگامی که فرشتگان (مرگ) جان کافران را می گیرند, به صورت وپشت آنها می زنند و(می گویند: ) «عذاب سوزنده را بچشید» (هر آینه تعجب می کردی).
051_00	این به (خاطر) کارهایی است که پیش از این فرستاده اید, وآنکه خداوند هرگز نسبت به بندگانش ستم روا نمی دارد.
052_00	همانند شیوۀ فرعونیان, وکسانی که پیش از آنان بودند, به آیات خدا کفر ورزیدند, پس خداوند آنها را به کیفر گناهانشان فرو گرفت, مسلماً خداوند نیرومند سخت کیفر است.
053_00	این, بدان خاطر است که خداوند, هیچ نعمتی را که بر قومی ارزانی داشته, تغییر نمی دهد, تا آنکه آنها (روش) خودشان را تغییر دهند, وبی گمان خداوند شنوای داناست.
054_00	مانند شیوۀ فرعونیان وکسانی که پیش از آنان بودند, آیات پروردگارشان را تکذیب کردند, پس آنان را به کیفر گناهانشان هلاک کردیم,
054_01	وفرعونیان را غرق نمودیم, وهمۀ (آنها) ستمکار بودند.
055_00	یقیناً, بدترین جنبندگان نزد خدا, کسانی هستند که کافر شدند, پس آنان ایمان نمی آورند.
056_00	کسانی که با آنها پیمان بستی, سپس هربار پیمان خود را می شکنند, وآنها (در خیانت وپیمان شکنی از خدا) نمی ترسند.
057_00	پس اگر آنها را در (میدان) جنگ بیابی, چنان به آنان حمله ببر تا کسانی که پشت سر آنها هستند (بترسند و) باشد که پند گیرند.
058_00	واگر از خیانت قومی بیم داشتی؛ منصفانه (پیمان شان را) به سوی آنان بیانداز (وفسخ پیمانشان را برای همگان اعلان کن), به راستی که خداوند خائنان را دوست نمی دارد.
059_00	وکسانی که کافر شدند, نپندارند که پیشی گرفته اند؛ آنها هرگز ما را ناتوان نخواهند کرد.
060_00	وآنچه از نیرو درتوان دارید؛ برای (مقابله با ) آنها آماده سازید, و(همچنین) از اسبان بسته ( ی ورزیده, مهیا کنید) تا به وسیلۀ آن دشمن خدا ودشمن خود را بترسانید, و(همچنین) دشمنان د
060_01	یگری غیر از آنها را, که شما نمی شناسید وخدا آنها را می شناسد (بترسانید) وهر چیزی را که در راه خدا خرج می کنید, (پاداشش) به تمام وکمال به شما داده می شود, وبه شما ستم نخواهد شد.
061_00	واگر به صلح مایل شدند, پس تو (نیز) از در صلح درآی, وبر خدا توکل کن, بی گمان او شنوای داناست.
062_00	واگر بخواهند تو را فریب دهند, پس خدا برای تو کافی است, اوست که با یاری خود و مؤمنان تو را تأیید (وتقویت) کرد.
063_00	وبین دلهای آنها الفت داد, اگر تمام آنچه را که در روی زمین است خرج می کردی, نمی توانستی بین دلهایشان الفت دهی, ولی خدا در میان آنها الفت داد, همانا او پیروزمند حکیم است.
064_00	ای پیامبر! خداوند تو را و کسانی از مؤمنان را که از تو پیروی کرده اند؛ (از شر دشمنان) کفایت می کند.
065_00	ای پیامبر! مؤمنان را به جنگ تشویق کن, اگر بیست نفر بردبار از شما باشند, بر دویست نفر (از کافران) غلبه می کنند,
065_01	واگر صد نفر از شما باشند بر هزار نفر از کسانی که کافر شدند, غلبه می کنند, زیرا آنان گروهی هستند که نمی فهمند.
066_00	اکنون خداوند به شما تخفیف داد, ودانست که در شما ناتوانی است,
066_01	پس اگر صدنفر بردبار از شما باشند؛ بر دویست نفر پیروز می شوند, واگر از شما هزار نفر باشند, به فرمان خدا بر دو هزار نفر پیروز خواهند شد, وخداوند با صابران است.
067_00	هیچ پیامبری را سزاوار نیست که اسیرانی داشته باشد؛ تا آنکه در زمین کشتار بسیار کند, شما (با گرفتن فدیه از اسیران) متاع دنیا را می خواهید، وخداوند (سرای) آخرت را (برای شما) می خواهد, وخداوند پیروزمند حکیم است.
068_00	اگر حکم پیشین الهی نبود(که غنیمت وفدیه ی اسیر حلال است) , قطعاً در آنچه گرفتید, عذاب بزرگی به شما می رسید.
069_00	پس از آنچه غنیمت گرفته اید, حلال پاکیزه بخورید, واز خدا بترسید, همانا خداوند آمرزندۀ مهربان است.
070_00	ای پیامبر! به اسیرانی که در دست شما هستند بگو: «اگر خداوند خیری در دلهای شما بداند, بهتر از آنچه از شما گرفته شد, به شما خواهد داد, وشما را می آمرزد,
070_01	وخداوند آمرزندۀ مهربان است».
071_00	واگر بخواهند به تو خیانت کنند, پس آنها پیش از این (نیز) به خدا خیانت کردند, وخداوند (تو را) بر آنها پیروز گردانید, وخداوند دانای حکیم است.
072_00	همانا کسانی که ایمان آوردند, وهجرت کردند, وبا اموال وجانهایشان در راه خدا جهاد نمودند، وکسانی که (ایشان را) پناه دادند ویاری نمودند, اینان یارا
072_01	ن (ودوستدار) یکدیگرند, وکسانی که ایمان آوردند وهجرت نکرده اند, شما هیچ گونه دوستی (ومسؤلیتی) در برابر آنها ندارید؛ تا آنکه هجرت کنند، واگر در (
072_02	کار) دین از شما یاری خواستند, پس برشماست که (آنها را) یاری کنید, مگر بر علیه گروهی که میان شما وآنها پیمانی است، وخداوند به آنچه می کنید؛ بیناست.
073_00	وکسانی که کافر شدند, دوستدار (ویاور) یکدیگرند, اگر (شما ای مؤمنان این کار را) نکنید, فتنه وفسادی بزرگ در زمین بر پا خواهد شد.
074_00	وکسانی که ایمان آوردند, وهجرت نمودند, ودر راه خدا جهاد کردند, وکسانی که (ایشان را) پناه
074_01	دادند ویاری نمودند, اینان مؤمنان حقیقی هستند, برای آنها آمرزش وروزی شایسته ای خواهد بود.
075_00	وکسانی که بعد از آنها ایمان آوردند وهجرت نمودند, وبه همراه شما جهاد کردند, پس آنان از شما هستند.
075_01	وخویشاوندان در کتاب خدا نسبت به یکدیگر سزاوارترند, وهمانا خداوند به همه چیز داناست.
