001_00	نازل شدن (این) کتاب از سوی خداوند پیروزمند حکیم است.
036_00	آیا خداوند برای بند ه اش کافی نیست؟! و تو را به کسانی غیر از او می ترسانند، و هر کس را خدا گمراه کند، پس او را هیچ هدایتگری نیست.
037_00	و هر کس را خدا هدایت کند، پس او را هیچ گمراه کننده ای نیست. آیا خداوند پیروزمند انتقام گیر نیست؟!
038_00	و اگر از آنها (= مشرکان) بپرسی: « چه کسی آسمانها و زمین را آفریده است؟» مسلماً گویند: «خدا»
038_01	بگو: «آیا دیدید آنچه را که به جای خداوند می خوانید، اگر خداوند زیانی برای من بخواهد، آیا آنها (= معبودان) خواهند توانست زیان او را بر طرف کنند؟! و یا اگر رحمتی برای من بخواهد، آیا آنها خواهند توانست رحمت او را باز دارند؟!».
038_02	بگو: « خدا مرا کافی است، و (همه) توکل کنندگان بر او توکل می کنند».
039_00	بگو: «ای قوم من! شما بر روش خود عمل کنید، من (نیز به روش خود) عمل می کنم ، پس به زودی خواهید دانست،
040_00	چه کسی عذاب خوار کننده ای به سراغش می آید، و عذابی دایم بر او فرود می آید».
041_00	بی گمان ما (این) کتاب (آسمانی) را برای مردم به حق بر تو نازل کردیم، پس هر کس که هدایت شود به سود خود اوست، و هر کس که گمراه شود، تنها به زیان خودش خواهد بود، و تو بر آنها نگهبان نیستی (که آنها را به هدایت اجبار کنی).
042_00	خداوند جانها را به هنگام مرگشان قبض می کند،و(نیز جان) آنها که درخواب خود نمرده اند،(قبض می کند) آنگاه (جان) کسانی که فرمان مرگشان را صادر کرده نگه می داد،
042_01	و (جان) دیگری را تا مدتی معین باز پس می فرستد، بی گمان در این (امر) نشانه های (روشنی) است برای گروهی که اندیشه می کنند.
043_00	آیا غیر از خدا شفیعانی گرفته اند؟! (به آنها) بگو: اگر چه مالک چیزی نباشند، و (چیزی را) درک نکنند (باز هم از آنها شفاعت می طلبید).
044_00	بگو: « تمام شفاعت از آن خداست، فرمانروایی آسمانها و زمین از آن اوست، سپس (همگی) به سوی او باز گردانده می شوید».
045_00	و هنگامی که خداوند به تنهایی یاد شود دلهای کسانی که به آخرت ایمان ندارند متنفر (و بیزار) می شود، و هنگامی که کسانی غیر از او یاد شوند، آنگاه است که آنها شادمان می شوند.
046_00	بگو: پروردگارا! (ای) آفریننده آسمانها و زمین دانای نهان و آشکار، تو در میان بندگانت در آنچه اختلاف می کردند، داوری خواهی کرد( ).
047_00	و اگر تمام آنچه که در روی زمین است و همانند آن همراهش از آن کسانی باشد که ستم کردند( )، یقیناً همه را بخاطر سختی عذاب روز قیامت (برای رهایی خود از عذاب) فدا کنند،
047_01	و برای آنها از سوی خداوند چیزهایی آشکار می شود که هرگز گمان نمی کردند.
048_00	وبدیها آنچه انجام داده اند برای آنها آشکار می شود وآنچه به آن مسخره می کردند، آنها را فرو می گیرد.
049_00	پس چون به انسان (رنج و) زیانی برسد ما را می خواند، آنگاه چون از جانب خود به او نعمتی عطا کنیم، می گوید:« به سبب دانایی (ولیاقت) خودم به من داده اند»
049_01	بلکه این آزمایشی است، ولیکن بیشتر شان نمی دانند.
050_00	به راستی این سخن را کسانی که پیش از آنها بودند (نیز) گفتند، پس آنچه را بدست آوردند، برای آنها سودی نبخشید (و عذاب را دفع نکرد).
051_00	پس بدیهای آنچه می کردند به آنها رسید، و کسانی از آنها که ستم کردند (نیز) بدیهای آنچه می کردند به زودی به آنها خواهد رسید، و آنها (خدا را) عاجز کننده نیستند (و راه گریزی ندارند).
052_00	آیا آنها ندانستند که خداوند روزی را برای هر کس که بخواهد گسترده یا تنگ می سازد، بی گمان در این، نشانه هایی است برای گروهی که ایمان می آورند.
053_00	(ای پیامبر، از جانب من) بگو:«ای بندگان من که بر خود اسراف (و ستم) کرده اید! از رحمت خدا نا امید نشوید،
053_01	همانا خداوند همه گناهان را می بخشد، یقیناً او بسیار آمرزنده مهربان است( ).
054_00	و به سوی پروردگارتان باز گردید و در برابر او تسلیم شوید، پیش از آنکه عذاب به سراغ شما آید، آنگاه (از سوی هیچ کس) یاری نشوید.
055_00	و از نیکوترین چیزی که از جانب پروردگارتان بر شما نازل شده پیروی کنید، پیش از آنکه ناگهان عذاب به سراغ شما آید، در حالی که شما از آن بی خبرید.
056_00	تا (مبادا) کسی (در روز قیامت) بگوید:«ای افسوس بر من، که در حق خدا کوتاهی کردم، و بی گمان از مسخره کنندگان (آیین او) بودم».
057_00	یا بگوید: «اگر خداوند مرا هدایت می کرد، یقیناً از پرهیزگاران بودم»
058_00	یا هنگامی که عذاب را می بیند، بگوید: «ای کاش بار دیگر (به دنیا) باز می گشتم تا از نیکوکاران می شدم».
059_00	(خداوند می فرماید:) آری، آیات من برایت آمد، و تو آن را تکذیب نمودی، و تکبّر ورزیدی، و از کافران بودی.
060_00	و روز قیامت کسانی را که بر خدا دروغ بسته اند، می بینی که چهره هایشان سیاه شده است، آیا در جهنم جایگاهی برای متکبران نیست؟!
061_00	و خداوند کسانی را که پرهیزگاری کردند با رستگاری شان نجات می دهد، نه رنجی به آنها رسد، و نه آنها اندوهگین شوند.
062_00	خداوند آفریدگار همه چیز است، و او بر همه چیز نگهبان است.
063_00	کلیدهای آسمانها و زمین از آن اوست، و کسانی که به آیات خدا کافر شدند، اینان زیانکارانند.
064_00	بگو:«ای نادانان آیا به من فرمان می دهید که غیر خدا را پرستش کنم؟»
065_00	و به راستی که به تو و به کسانی که پیش از تو بودند، وحی شد که اگر شرک آوری، یقیناً اعمالت (تباه و) نابود می شود، و از زیان کاران خواهی بود.
066_00	بلکه تنها خدا را پرستش کن، و از شکر گزاران باش.
067_00	و آنها (= مشرکان) خدا را چنانکه سزاوار بزرگی اوست نشناختند در حالی که روز قیامت تمام زمین در مشت
067_01	اوست و آسمانها درهم پیچیده در دست راست اوست( )، او منزه و برتر است از آنچه شریک او می پندارند.
068_00	و در «صور» دمیده شود( )، پس هر که در آسمانها و هر که در زمین است ) جز آنها که خدا بخواهد ) (بی هوش شده و) بمیرند. سپس بار دیگر در آن دمیده می شود، ناگهان آنها به پا خیزند (و) می نگرند.
069_00	و زمین به نور پروردگارش روشن می شود، و نامه (اعمال) نهاده شود، و پیامبران و گواهان را بیاورند، و در میان آنها به حق داوری شود، و به آنها ستم نخواهند شد.
070_00	و به هر کس (پاداش) آنچه کرده است به تمام داده شود، و او به آنچه انجام می دهند داناتر است.
071_00	و کسانی که کافر شدند گروه گروه به سوی جهنم رانده می شوند،
071_01	تا وقتی به (کنار) آن (= دوزخ) رسند درهایش گشوده شود، و نگهبانانش به آنان گویند: « آیا پیامبرانی از میان خودتان به سوی شما نیامدند که آیات پروردگارتان را برای شما بخوانند، و شما را از دیدار امروزتان هشدار دهند؟!»
071_02	گویند:«آری، ولیکن فرمان عذاب (الهی) بر کافران محقق شده است».
072_00	گفته شود: «از درهای جهنم وارد شوید، جاودانه در آن بمانید، پس چه بد است، جایگاه متکبران».
073_00	و کسانی که از پروردگارشان ترسیده اند، گروه گروه به بهشت برده می شوند،
073_01	تا وقتی به (کنار) آن رسند، و درهایش گشوده شود، و نگهبانانش به آنان گویند: « سلام بر شما پاکیزه بوده اید (خوش باشید) پس به جاودانه به آن (= بهشت) وارد شوید».
074_00	و (بهشتی ها) گویند: «حمد و ستایش مخصوص خداوندی است که وعده اش در حق ما راست بود، و سرزمین (بهشت) را به ارث به ما داد، که از بهشت هر جا که بخواهیم منزل می گیریم، پس چه نیکو است پاداش عمل کنندگان.»
075_00	و فرشتگان را می بینی که بر گرد عرش حلقه زده اند به ستایش پروردگارشان تسبیح می گویند، و در میان مردم به حق داوری می شود، و گفته شود: «حمد و ستایش مخصوص خداوند پروردگار جهانیان است».
