001_00	به راستی مؤمنان رستگار شدند.
044_01	و آنها را افسانه هایی (برای آیندگان) قرار دادیم. پس دور باد قومی که ایمان نمی آورند.
045_00	سپس موسی و برادرش هارون را با آیات خود، و دلایل آشکار فرستادیم،
046_00	به سوی فرعون و اشراف (قوم) او، پس آنها تکبر کردند، و مردمی (سرکش و) برتری جوی بودند.
047_00	پس گفتند : «آیا (ما) به دو انسان مانند خود ایمان بیاوریم، در حالی که قوم آنها بردگان (و زیر دستان) ما هستند؟! »
048_00	پس (آنها) آن دو (پیامبر) را تکذیب کردند، سرانجام (همگی) از هلاک شدگان گشتند.
049_00	و به راستی به موسی کتاب (تورات) دادیم، باشد که آنان (= بنی اسرائیل) هدایت شوند.
050_00	و پسر مریم و مادرش را آیتی قرار دادیم، و آنها را در مکانی بلند و هموار که دارای امنیت و آب جاری بود، جای دادیم.
051_00	ای پیامبران ! از (غذاهای) پاکیزه بخورید، و کار شایسته انجام دهید، بی شک من به آنچه انجام می دهید؛ آگاهم.
052_00	و بی گمان این امت شما، امت واحدی است، و من پروردگار شما هستم، پس از من بترسید .
053_00	پس آنها در میان خود در کار (دین) شان فرقه فرقه و پراکنده شدند، و هرگروه به آنچه نزد خود دارند؛ خوشحالند.
054_00	پس (ای پیامبر!) آنها را تا مدتی در جهل و غفلتشان بگذار.
055_00	آیا گمان می کنند که آن مال و فرزند که با آنها به آنان یاری می دهیم.
056_00	برای این است که شتابان خیرات (و نیکیها) به آنها برسانیم ؟! (چنین نیست) بلکه آنها (حقیقت را) درنمی یابند.
057_00	بی گمان کسانی که از خوف پروردگارشان بیمناکند.
058_00	و کسانی که به آیات پروردگارشان ایمان می آورند.
059_00	و کسانی که به پروردگارشان شرک نمی آورند.
060_00	و کسانی که (در راه خدا) آنچه را باید بدهند، می دهند، و (با این حال) دلهایشان بیم ناک است، که بی گمان آنان به سوی پروردگارشان باز می گردند .
061_00	(آری) اینانند که در نیکیها شتاب می کنند، و در انجام آن (از دیگران) پیشی می گیرند.
062_00	(ما) هیچ کس را جز به اندازه ی توانش تکلیف نمی کنیم، و نزد ما کتابی است که به حق سخن می گوید، و به آنها هیچ ستمی نمی شود.
063_00	بلکه دلهای آنها از این (کتاب) در غفلت است، و آنها جز این؛ اعمال (زشت) دیگری (نیز) دارند که پیوسته آن را انجام می دهند.
064_00	تا زمانی که متنعمان آنها را به عذاب گرفتار کنیم، در این هنگام آنها ناله و فریاد سر می دهند .
065_00	(به آنها گفته می شود :) امروز فریاد نکنید، یقیناً شما از سوی ما یاری نخواهید شد.
066_00	به راستی آیات من پیوسته بر شما خوانده می شد، پس شما (از حق اعراض می کردید و) به عقب باز می گشتید.
067_00	در حالی که در برابر آن تکبر می کردید، (و در مجالس) شبانه ی (خود) به بدگویی می پرداختید (و افسانه سرایی می کردید)
068_00	آیا (آنها) در این گفتار نیندیشیدند، یا (اینکه) چیزی برای آنان آمده که برای نیاکان نخستین شان نیامده است ؟!
069_00	یا (اینکه) پیامبرشان را نشناخته اند، پس او را انکار می کنند ؟!
070_00	یا می گویند او جنون دارد؟ (چنین نیست) بلکه (او) حق را برای آنها آورده است، و بیشترشان از حق کراهت دارند.
071_00	و اگر حق از هوسهای آنها پیروی کند، آسمانها و زمین و هرکه در آنهاست، تباه شوند، بلکه (ما) برای آنها پند و اندرزشان آورده ایم، پس آنها از پندشان روی گردانند.
072_00	یا (اینکه) تو از آنها مزدی طلب می کنی ؟ پس پاداش پروردگارت بهتر است، و او بهترین روزی دهندگان است.
073_00	و یقیناً تو آنها را به راه راست دعوت می کنی .
074_00	و بی گمان کسانی که به آخرت ایمان ندارند از (این) راه (راست) منحرف هستند .
075_00	و اگر به آنها رحم کنیم و بلا و رنجی را که بدان گرفتارند، از آنها بر طرف سازیم، در طغیان خود لجاجت (و پافشاری) می کنند (و) سر گردان می مانند .
076_00	و به راستی (ما) آنها را به عذاب (و بلا) گرفتار ساختیم، (تا بیدار شوند) پس برای پروردگارشان فروتنی ننمودند، و (به درگاهش تضرع و) زاری نکردند.
077_00	تا زمانی که دری از عذاب سخت به روی آنها گشودیم، آنگاه آنها در آن بکلی نا امید گردند .
078_00	و او کسی است که برای شما گوش و چشم و دل پدید آورد، چه اندک سپاس می گزارید.
079_00	و او کسی است که شما را در زمین (آفرید و) پراکنده نمود، و به سوی او گرد آورده می شوید.
080_00	و او کسی است که زنده می کند و می میراند، و رفت و آمد شب و روز از آن اوست، آیا نمی اندیشید ؟!
081_00	(چنین نکردند) بلکه آنها (نیز) مثل آنچه پیشینیان گفته بودند، گفتند .
082_00	گفتند : « آیا هنگامی که مردیم و خاک و استخوانها (ی پوسیده) شدیم، آیا (دوباره) برانگیخته می شویم،
083_00	به راستی این وعده به ما و نیاکان ما از قبل داده شده، این (چیزی) جز افسانه های پیشینیان نیست».
084_00	(ای پیامبر!) بگو: «اگر می دانید، زمین و هرکه در آن است از آنِ کیست ؟! ».
085_00	به زودی خواهند گفت :«(همه) از آن خداست» بگو: «آیا پند نمی گیرید؟!».
086_00	بگو: «چه کسی پروردگار آسمانهای هفتگانه، و پروردگار عرش عظیم است ؟!»
087_00	خواهند گفت: «(همه) از آنِ الله است» بگو: «آیا (از خدا) نمی ترسید ؟!».
088_00	بگو: «اگر می دانید، چه کسی فرمانروایی همه ی موجودات در دست دارد، و او پناه می دهد، و کسی در برابر او پناه داده نمی شود ؟!
089_00	خواهند گفت: «ازآن خداست» بگو: «پس چگونه جادو می شوید ؟!»
090_00	(چنین نیست) بلکه حق را برای آنها آوردیم، و بی گمان آنان دروغگو هستند.
091_00	خداوند هر گز فرزندی بر نگزیده است، و هیچ معبود (دیگری) با او نیست، (اگر چنین بود) آنگاه هر معبودی آنچه را که
091_01	آفریده بود؛ می برد، و مسلماً بعضی بر بعضی دیگر برتری می جستند، خداوند منزه (و پاک) است از آنچه آنها توصیف می کنند.
092_00	دانای نهان و آشکار است، پس برتر است از آنچه شریک او می سازند.
093_00	(ای پیامبر!) بگو: «پروردگارا ! اگر آنچه را که به آنها وعده داده می شود، به من نشان دهی .
094_00	پروردگارا ! پس مرا در (زمره ی) قوم ستمگران قرار مده ».
095_00	و یقیناً ما تواناییم که آنچه را به آنها وعده می دهیم؛ به تو نشان دهیم .
096_00	بدی را به روشی که آن بهتر است، دفع کن، ما به آنچه توصیف می کنند؛ داناتریم.
097_00	و بگو: «پروردگارا ! من از وسوسه های شیطان به تو پناه می برم،
098_00	و پروردگارا ! از اینکه آنان نزد من حاضر شوند، به تو پناه می برم » .
099_00	(کافران پیوسته به راه و روش خود ادامه می دهند) تا زمانی که مرگ یکی از آنها فرا رسد، گوید: «پروردگارا ! مرا (به دنیا) باز گردان ،
100_00	باشد که در آنچه (در دنیا) ترک (و کوتاهی) کرده ام، کار شایسته ای انجام دهم». هرگز چنین نیست، بی گمان این سخنی است که او به زبان می گوید، ( و به فرض محال اگر باز گردد، به کارهای گذشته اش ادامه می دهد) و پشت سر آنها برزخی است تا روزی که برانگیخته شوند.
101_00	پس هنگامی که در صور دمیده شود، در آن روز هیچ گونه پیوندهای خویشاوندی در میان آنها نخواهد بود، و از (حال) یکدیگر نپرسند.
102_00	و کسانی که (کفه ی) ترازوی (اعمال) شان سنگین شود، پس آنانند که رستگار هستند.
103_00	و کسانی که (کفه ی) ترازوی (اعمال) شان سبک باشد، پس آنها کسانی هستند که (وجود خود را از دست داده و) به خود زیان رسانده اند و در جهنم جاودانه خواهند ماند.
104_00	(شعله های) آتش چهره هایشان را می سوزاند، و آنها درآن ترشرو (و عبوس) هستند.
105_00	(به آنها گفته می شود:) مگر آیات من بر شما خوانده نمی شد، پس شما آنها را تکذیب می کردید ؟!
106_00	(در پاسخ) گویند: «پروردگارا ! بدبختی ما بر ما چیره شد، و ما قومی گمراه بودیم.
107_00	پروردگارا ! ما را از این (جهنم) بیرون کن، پس اگر (به کفر و نافرمانی) باز گردیم، قطعاً ستمکار خواهیم بود ».
108_00	(خداوند) می فرماید:«در آن گم شوید و با من سخن مگویید.
109_00	بی گمان گروهی از بندگانم می گفتند: پروردگارا ! (ما) ایمان آوردیم، پس ما را ببخش و بر ما رحم کن، و تو بهترین رحم کنندگانی .
110_00	پس شما آنها را به مسخره گرفتید؛ تا یاد مرا فراموش تان کردند، و شما به آنها می خندیدید!
111_00	همانا من امروز آنها را بخاطر صبری که کرده اند پاداش دادم، قطعاً آنها کامیاب هستند».
112_00	(خداوند) می فرماید: « (شمار) چند سال در زمین درنگ کردید؟!».
113_00	گویند:« یک روز، یا قسمتی از یک روز درنگ کرده ایم، پس از حسابگران بپرس».
114_00	می فرماید: «(آری) اگر می دانستید، شما جز مقدار اندکی (در دنیا) درنگ نکردید،
115_00	آیا گمان کردید که ما شما را بیهوده آفریده ایم، و همانا شما به سوی ما باز گردانده نمی شوید ؟!
116_00	پس بلند مرتبه (و برتر) است خداوند ی که فرمانروای حق است، هیچ معبودی (به حق) جز او نیست، پروردگار عرش کریم است.
117_00	و هر کس که با خداوند معبود دیگری را بخواند، مسلماً هیچ دلیلی بر (حقانیت) آن نخواهد داشت، جز این نیست که حسابش نزد پروردگارش خواهد بود، یقیناً کافران رستگار نمی شوند.
118_00	و (ای پیامبر) بگو :« پروردگارا ! ببخش و رحم کن! و تو بهترین رحم کنندگانی ».
