001_00	المص (الف . لام . ميم. صاد).
040_00	بی گمان کسانی که آيات ما را تکذيب کردند, ودر برابر آن (گردنکشی و) تکبر ورزيدند, درهای آسمان (هرگز) برايشان گشوده نمی شود, وبه بهشت داخل نخواهند شد, مگر اين که شتراز سوراخ سوزن درآيد,
040_01	واين چنين, گناهکاران را کيفر می دهيم.
041_00	برای آنها بستری از (آتش) جهنم و(نيز) روی آنها پوششهای (از آتش جهنم) است. واين چنين ستمکاران را کيفر می دهيم.
042_00	و کسانی که ايمان آوردند و کارهای شايسته انجام دادند – هيچ کس را جز به اندازهٴ توانش تکليف نمی کنيم – آنها اهل بهشت هستند, وجاودانه در آن خواهد ماند.
043_00	وآنچه از کينه (ونفرت) که در سينه هايشان است بر می کنيم. واز زير (درختان ومسکن های) آنها نهرها جاری است.
043_01	وگويند: «ستايش مخصوص خداوندی است که ما را به اين (بهشت) هدايت نمود, واگر خداوند ما را هدايت نمی کرد؛ ما هرگز راه نمی يافتيم. مسلّماً فرستادگان پروردگار ما به حق آمدند».
043_02	و(آنگاه) به آنان ندا داده می شود که: «اين بهشت را به پاداش آنچه که انجام می داديد, به (شما داده اند و) ارث برديد».
044_00	واهل بهشت, اهل دوزخ را صدا می زنند که: «آنچه را که پروردگارمان به ما وعده داده بود, (همه را) حق يافتيم, پس آيا شما (نيز) آنچه را پروردگارتان به شما وعده داده بود؛ حق يافتيد؟!».
044_01	گويند: «آری». پس ندا دهنده ای در ميان آنها ندا دهد که: «لعنت خدا بر ستمکاران باد,
045_00	(همان) کسانی که (مردم را) از راه خدا باز میداشتند, وآن را کج می طلبيدند, و(نيز) آنها به آخرت کافر بودند».
046_00	ودر ميان آن دو (گروه بهشتی ودوزخی) حجابی است, وبر اعراف (= بلنديهای آن) مردانی هستند که هريک (از آن دو گروه) را از سيما (وچهره) شان می شناسند, واهل بهشت را صدا می زنند که: «سلام بر شما باد»
046_01	اينان هر چند طمع (واميد) بهشت دارند, وهنوز بدان در نيامده اند.
047_00	وچون چشمشان به سوی اهل دوزخ گردانده شود, گويند: «پروردگارا! ما را با گروه ستمکاران قرار مده».
048_00	واهل اعراف, مردانی (از اهل دوزخ را) که از سيما (وچهره) شان آنها را می شناسند, صدا می زنند, گويند: «جمعيت (ومال اندوزی) شما, وآن سرکشی (وتکبر) های شما, به حالتان فايده ای نبخشيد!».
049_00	آيا اينها (همان) کسانی هستند که سوگند ياد میکرديد که (هر گز) خداوند رحمتی به آنان نمیرساند؟ (به آنها گفته می شود): «به بهشت داخل شويد, نه ترسی بر شماست, ونه شما اندو هگين میشويد».
050_00	واهل دوزخ, اهل بهشت را صدا می زنند که: «اندکی از آب, يا از آنچه خداوند به شما روزی داده, بر ما بريزيد»
050_01	(آنها) گويند: «بی گمان خداوند هر دو را بر کافران حرام کرده است».
051_00	آنان که دين خود را سرگرمی وبازيچه گرفتند, وزندگی دنيا آنها را فريفت, پس امروز ما آنها را فرام
051_01	وش می کنيم, همانطور که آنها ديدار چنين روزی را فراموش کردند, وآنکه آيات ما را انکار می کردند.
052_00	وبتحقيق ما کتابی برای آنها آورديم که آن را از روی دانش به تفصيل بيان کرديم, که مايهٴ هدايت ورحمت برای قومی است که ايمان می آورند.
053_00	آيا آنها جز انتظار (سرانجام و) تأويلش را دارند؟!
053_01	روزی که (نتيجه و) تأويلش فرارسد, کسانی که آن را پيش از اين فراموش کرده بودند می گويند: «مسلّماً فرستادگان پروردگارمان به حق آمده بودند, پس آيا (امروز) برای ما شفيعانی هستند که برای ما شفاعت کنند, يا باز گرديم آنگاه اعمالی غير از آنچه میکرديم, انجام دهيم؟!».
053_02	بتحقيق آنها به خود زيان رسانيدند, و(معبودهايی ساختگی و) آنچه دروغ میبافتند (همگی) از (نظر) آنان ناپديد (وگم) شد.
054_00	(ای مردم) بی گمان پروردگارشما الله است که آسمانها وزمين را در شش روز آفريد, سپس بر عرش مستقر شد,
054_01	شب را به روز می پوشاند که شتابان در پی آن می رود, وخورشيد و ماه و ستارگان (را آفريد) که مسخر فرمان او هستند, آگاه باشيد که آفرينش وفرمانروايی از آنِ او است,
054_02	پر برکت (وبه غايت بزرگ) است خداوندی که پروردگار جهانيان است.
055_00	پروردگارتان را با تضرع (وزاری) ودر پنهانی, بخوانيد, همانا او از حد درگذرندگان را دوست نمیدارد.
056_00	ودر زمين, پس از اصلاح آن فساد نکنيد, واو را با بيم واميد بخوانيد, همانا رحمت خدا به نيکوکاران نزديک است.
057_00	واو کسی است که بادها را بشارت دهنده در پيشاپيش (باران) رحمتش می فرستد,
057_01	تا هنگامی که ابرهای سنگين بار را بر دارند, ما آن را به سوی (شهر و) سرزمينی مرده می فرستيم, سپس از آن؛ آب را نازل می کنيم, آنگاه از آن (آب) ازهر گونه ميوهای (ازدل خاک) بيرون می آوريم,
057_02	اين گونه مردگان را (زنده می کنيم واز قبرها) بيرون می آوريم, شايد پند گيريد.
058_00	سرزمين پاکيزه (وخوب) گياهش به فرمان پروردگارش می رويد, وسره زمين نا پاک (وبد) جز اندک وبی ارزش, از آن نمی رويد, اينگونه آيات (خود) را برای گروهی که سپاس می گزارند, گوناگون بيان می کنيم.
059_00	همانا ما نوح را به سوی قومش فردستاديم, پس گفت: «ای قوم من! خدا را بپرستيد, که جز او معبودی (راستين) برای شما نيست, (واگر اورا عبادت نکرديد) بی گمان من بر شما از عذاب روزی بزرگ می ترسم».
060_00	اشراف (وبزرگان) قومش گفتند: «به راستی ما تو را در گمراهی آشکار می بينيم».
061_00	گفت: «ای قوم من! هيچ گونه گمراهی در من نيست, بلکه من فرستاده ای از (جانب) پروردگار جهانيان هستم.
062_00	پيامهای پروردگارم را به شما می رسانم وشما را اندرز می دهم, واز (شريعت) خداوند چيزهايی می دانم که شما نمی دانيد.
063_00	آيا تعجب کرده ايد که پندی از سوی پروردگارتان بر (زبان) مردی از خود شما, برای شما برسد تا شما را بيم دهد وتا پر هيزگاری پيشه کنيد وباشد که مشمول رحمت گرديد؟!».
064_00	پس او را تکذيب کردند, آنگاه ما او وکسانی را که با وی در کشتی بودند, نجات داديم, وکسانی که آيات ما را تکذيب کردند, غرق کرديم, براستی آنها گروهی نابينا (وکوردل) بودند.
065_00	وبه (سوی قوم) عاد, برادرشان هود را (فرستاديم) گفت: «ای قوم من! خدا را پرستش کنيد که جز او معبودی (راستين) برای شما نيست, آيا پر هيزگاری پيشه نمی کنيد؟!».
066_00	اشراف (وبزرگان) قوم او که کافر بودند گفتند: «بی گمان ما تو را در سفاهت (ونادانی) می بينيم, وما مسلماً تو را از دروغگويان می پنداريم».
067_00	گفت: «ای قوم من! هيچ گونه سفاهت (ونادانی) در من نيست, بلکه من فرستاده ای از (جانب) پروردگار جهانيان هستم,
068_00	پيامهای پروردگارم را به شما می رسانم. ومن خير خواه امينی برای شما هستم.
069_00	آيا تعجب کرده ايد که پندی از سوی پروردگارتان بر (زبان) مردی از خود شما, برای شما برسد تا شما را بيم دهد؟! وبه ياد آوريد هنگامی که پس از قوم نوح شما را جانشينان (آنان) قرار داد, وشما را در آفرينش فزونی (وقدرت) داد.
069_01	پس نعمتهای خدا را به ياد آوريد, شايد رستگار شويد».
070_00	گفتند: «آيا به (نزد) ما آمده ای که تنها خدا را عبادت کنيم, وآنچه را نياکانمان می پرستيدند, رها کنيم؟! پس اگر از راستگويان هستی, آنچه را (از عذاب الهی) به ما وعده می دهی, بياور».
071_00	(هود) گفت: «به تحقيق عذاب وغضب از (جانب) پروردگارتان بر شما واقع شده (وشما را فراگرفته) است, آيا با من در (بارهٴ) نامهايی مجادله می کنيد که شما ونياکانتان (بر بتها) نهاده ايد, در حالی که خداوند هيچ دليل (وبرهانی) در بارهٴ آن نازل نکرده است,
071_01	پس شما منتظر باشيد, بی گمان من (نيز) باشما از منتظرانم».
072_00	پس او, وکسانی را که با او بودند؛ به رحمت (ولطفی) از (سوی) خويش نجات داديم, وريشه کسانی که آيات ما را تکذيب کردند و از مؤمنان نبودند, قطع کرديم.
073_00	و به (سوی قوم) ثمود, برادرشان صالح را (فرستاديم) گفت: «ای قوم من! خدا را بپرستيد, که جز او معبودی (راستين) برای شما نيست. همانا دليل روشنی از (سوی) پروردگارتان برای شما آمده است,
073_01	اين ماده شتر خدا, برای شما معجزه ای است, پس او را (به حال خود) واگذاريد که در زمين خدا (بچرد وعلف) بخورد, وآن را آزار (وآسيبی) نرسانيد, که عذاب دردناکی شما را خواهد گرفت.
074_00	وبه ياد آوريد هنگامی که شما را پس از (قوم) عاد جانشينان (آنان) قرار داد, ودر زمين مستقر ساخت, که در دشتهای آن قصرهايی بنا می کنيد, ودر کوهها خانه هايی می تراشيد.
074_01	پس نعمتهای خدا را بياد آوريد, ودر زمين به فساد (وتباهی) نکوشيد».
075_00	اشراف (وبزرگان) از قوم او که گرد نکشی میکردند به مستضعفان, به (همان) کسانی از آنان که ايمان آورده بودند گفتند: «آيا شما بر
075_01	استی يقين داريد که صالح از (طرف) پروردگارش فرستاده شده است؟!» (آنها) گفتند: «ما به آنچه او بدان فرستاده شده, ايمان داريم».
076_00	آنان که گردنکشی می کردند گفتند: « ما به آنچه شما به آن ايمان آورده ايد, (منکر و) کافريم».
077_00	پس ماده شتر را پی کردند, واز فرمان پروردگارشان سر باز زدند, وگفتند: «ای صالح! اگر تو از پيامبران (خدا) هستی, آنچه را به ما وعده می دهی بياور!».
078_00	آنگاه زلزله ای آنها را فرا گرفت, در نتيجه در خانههای خود از پای در آمدند (ومردند).
079_00	پس (صالح) از آنها روی گردانيد وگفت: «ای قوم! من پيام پروردگارم را به شما رساندم, وبرای شما خير خواهی کردم, ولی شما خير خواهان را دوست نداريد».
080_00	و (به ياد آوريد) لوط را, هنگامی که به قوم خود گفت: «آيا کار بسيار زشتی را انجام می دهيد که پيش از شما هيچ يک از جهانيان انجام نداده است؟!
081_00	همانا شما به جای زنان با مردان شهوت می رانيد, راستی که شما قومی تجاوز کار هستيد».
082_00	و پاسخ قومش جز اين نبود که گفتند: «اينها را از شهر (وديار) تان بيرون کنيد, که اينها مردمی هستند که پاکيزگی می طلبند (واز کار ما بيزارند)».
083_00	پس ما او وخانداش را نجات داديم, جز همسرش که از باز ماندگان بود.
084_00	و بارانی (از سنگ) بر آنها بارانيديم (که آنها را نابود ساخت) پس بنگر که سر انجام گنا هکاران چگونه بود.
085_00	وبه سوی (مردم) مدين برادرشان شعيب را (فرستاديم) گفت: «ای قوم من! خدا را بپرستيد, که جز او معبودی (راستين) برای شما ن
085_01	يست, مسلّماً دليل روشنی از (طرف) پروردگارتان برای شما آمده است, پس (حق) پيمانه وترازو را کامل (و درست) ادا کنيد, واز
085_02	(اموال و) چيزهای مردم را (چيزی) نکاهيد, ودر زمين, پس از اصلاحش, فساد نکنيد, اگر ايمان داريد, اين برای شما بهتر است.
086_00	وبر سر هر راهی ننشينيد که (مردم را) تهديد کنيد, و از راه خدا کسی را که به او ايمان آورده است, بازداريد, وآن را کج می خواهيد, وبه ياد آوريد زمانی را که اندک بوديد, و او شما را بسيار گرداند,
086_01	وبنگريد سرانجام مفسدان چگونه بود.
087_00	واگر گروهی از شما به آنچه من به آن فرستاده شده ام, ايمان آورده اند, وگروهی (ديگر) ايمان نيا
087_01	ورده اند, پس صبر کنيد (ومنتظر بمانيد) تا خداوند ميان ما داوری کند, که او بهترين داوران است».
088_00	اشراف (وبزرگان) از قوم اوکه سرکشی می کردند, گفتند: «ای شعیب! قطعاً تو وکسانی را که با تو ایمان آورده اند, از شهر (ودیار) خویش بیرون خواهیم کرد، یا اینکه به آیین ما باز گردید».
088_01	(شعیب) گفت: «آیا (باز گردیم) اگر چه از آن کراهت داشته (وبیزار) باشیم؟!
089_00	اگر ما به آیین شما باز گردیم, بعد از آنکه خدا ما را از آن نجات داد, بتحقیق بر خدا دروغ بسته ایم, وشایسته ما نیست
089_01	که به آن باز گردیم, مگر آنکه الله, پروردگار ما بخواهد, (زیرا) علم (ودانش) پروردگارما, بر همه چیز احاطه دارد, ما ب
089_02	ر خدا توکل کرده ایم, پروردگارا! میان ما وقوم مان بحق (راهی بگشا و) داوری کن, که تو بهترین (راهگشایان و) داورانى».
090_00	و اشراف (وبزرگان) از قوم اوکه کافر بودند, گفتند: «اگر از شعیب پیروی کنید, قطعاً شما زیانکار خواهید بود».
091_00	آنگاه زلزلۀ (شدیدی) آنها را فرا گرفت, پس در خانه های خود از پا در آمدند (و مردند).
092_00	آنان که شعیب را تکذیب کردند (چنان نابود شدند) که گویا هرگز در آن (دیار وخانه ها) نبوده اند, وآنان که شعیب را تکذیب کردند؛ خود زیانکار بودند.
093_00	آنگاه (شعیب) از آنان روی گرداند, وگفت: «ای قوم من! به راستی من پیامهای پروردگارم را به شما رساندم و برای شما خیر خواهی (ونصیحت) نمودم, پس چگونه بر گروه کافر (وبی ایمان) افسوس بخورم؟!».
094_00	وما در هیچ شهر (ودیاری) پیامبری نفرستادیم؛ مگر اینکه اهلش را به رنجها وسختیها گرفتار ساختیم, شاید تضرع وزاری کنند (وبه سوی خدا بر گردند).
095_00	سپس به جای نا خوشی (وبدی), خوشی (ونیکی) آوردیم, تا اینکه افزون شدند, وگفتند: «بی گمان به نیاکان ما (نیز) رنج و راحتی رسیده بود» پس نا گهان آنها را در حالی که بی خبر (وغافل) بودند گرفتیم.
096_00	واگر اهل شهرها (وآبادیها) ایمان می آوردند وتقوا پیشه می کردند, قطعاً (درهای) برکات از آسمان وزمین را بر آنها می گشودیم, ولکن (آنها آیات وپیامبران ما را) تکذیب کردند, پس ما (نیز) آنها را به کیفر آنچه انجام می دادند, فرو گرفتیم.
097_00	آیا اهل (این) شهرها (وآبادیها) ایمن هستند از اینکه عذاب ما؛ در شب, هنگامی که خفته باشند سراغشان بیاید؟!
098_00	آیا اهل (این) شهرها (وآبادیها) ایمن هستند از اینکه عذاب ما؛ در روز، هنگامی که سرگرم بازی (وامور بیهوده) هستند, به سراغشان بیاید؟!
099_00	آیا آنها از مکر (وگرفت) خدا در امانند؟! در حالی که جز زیانکاران (کسی) از مکر (وگرفت) خدا ایمن نمی شود.
100_00	آیا برای آنان که زمین را پس از (نابود کردن) اهلش به ارث می برند, روشن (وواضح) نشده است که اگر بخواهیم آنها را (نیز) به (کیفر) گناهانشان هلاک می کنیم, وبر دلهایشان مهرمی نهیم، آنگاه آنان (صدای حق وپندی را) نمی شنوند.
101_00	اینها, شهرها (وآبادیهایی) است که برخی از اخبار آن را بر تو حکایت می کنیم, ومحققاً پیامبرانشان دلایل (ومعجزات) روشن برای آنان آورند, پس هرگز به آنچه از پیش تکذیب کرده بودند, ایمان نیاوردند,
101_01	اینگونه خداوند بر دلهای کافران مهر می نهد.
102_00	ودر بیشترشان (وفای به) عهد نیافتیم, وبه راستی بیشتر آنها را نا فرمان (وفاسق) یافتیم.
103_00	سپس بعد آنها موسی را با آیات (ونشانه های) خویش به سوی فوعون واطرافیان او فرستادیم, آنگاه آنها به آن (آیات) ستم کردند (وکافر شدند) پس بنگر عاقبت مفسدان چگونه بود!
104_00	وموسی گفت: «ای فرعون! من فرستاده ای از (سوی) پروردگار جهانیان هستم.
105_00	سزاواراست که جز (سخن) حق بر خداوند نگویم, بتحقیق من دلیل (ومعجزه ای روشن) از پروردگارتان برای شما آورده ام, پس بنی اسرائیل را با من بفرست».
106_00	(فرعون) گفت: «اگر معجزه ای آورده ای, آن را بیاور اگر از راستگویانى».
107_00	پس (موسی) عصای خود را انداخت, ناگهان آن اژدهای آشکار شد.
108_00	ودست خود را (از گریبان) بیرون آورد، پس ناگهان آن سفید (ودرخشان) برای بینندگان بود.
109_00	اشراف (وبزرگان) از قوم فرعون گفتند: « به راستی این (شخص) جادوگری (ماهرو) داناست.
110_00	می خواهد شما را از سرزمین تان بیرون کند, پس چه فرمان می دهید؟».
111_00	(آنگاه به فرعون) گفتند: «او وبرادرش را بازداشت کن, (ومهلت دهید) وجمع آوری کنندگان را به (همۀ) شهرها بفرست.
112_00	تا همۀ ساحران دانا (وماهر) را به نزد تو بیاورند.
113_00	و ساحران نزد فرعون آمدند, گفتند: «آیا اگر ما پیروز شدیم, پاداشی برای ما خواهد بود؟».
114_00	(فرعون) گفت: «آری! بتحقیق شما از مقربان خواهید بود».
115_00	(روز موعد فرا رسید, ساحران) گفتند: «ای موسی! یا نخست تو (عصای خود را) بیفکن, یا ما (ابزار خود را) می افکنیم».
116_00	(موسی) گفت: «شما بیفکنید» چون (ابزار خود را) افکندند, چشمهای مردم را افسون کردند وآنها را ترساندند, وسحر عظیمی (پدید) آوردند.
117_00	و (ما) به موسی وحی کردیم که: «عصای خود را بیفکن» پس ناگهان آن (عصا, به صورت اژدهای درآمد) آنچه را که به دروغ بر ساخته بودند, می بلعید.
118_00	آنگاه حق آشکار (وپیروز) شد وآنچه آنها (ساخته بودند و) انجام می دادند باطل گشت.
119_00	پس در آن جا (فرعون وفرعونیان همگی) مغلوب شدند وخوار وزبون بازگشتند.
120_00	و ساحران به سجده افتادند.
121_00	گفتند: «به پروردگار جهانیان ایمان آوردیم,
122_00	پروردگار موسی وهارون».
123_00	فرعون گفت: «آیا پیش از آنکه به شما اجازه دهم, به او ایمان آوردید؟! قطعاً این دسیسه ونیرنگی است که در شهر اندیشیده اید, تا اهلش را از آن بیرون کنید, پس بزودی خواهید دانست.
124_00	البته دستهایتان و پاهایتان را به خلاف یکدیگر خواهم برید, سپس همگی شما را به دار خواهم زد».
125_00	گفتند: «(پس از شهادت) ما به سوی پروردگارمان باز می گردیم,
126_00	وتنها انتقام تو از ما بخاطر این است که ما به آیات پروردگارمان هنگامی که به سوی ما آمد, ایمان آوردیم, پروردگارا! بر ما صبر (واستقامت) فرو ریز, وما را مسلمان بمیران».
127_00	و اشراف (وبزرگان) از قوم فرعون (به او) گفتند: «آیا موسی وقومش را رها می کنی تا در زمین فساد کنند, و تو و معبودانت را واگذارند؟».
127_01	(فرعون) گفت: «بزودی پسرانشان را می کشیم, وزنانشان را (برای خدمتکاری) زنده نگه می داریم, وبی گمان ما برآنها چیره ومسلط هستیم».
128_00	موسی به قومش گفت: «از خدا یاری بجویید, وصبر (واستقامت) پیشه کنید, همانا زمین از آنٍ خداست, به هرکس از بندگانش که بخواهد آن را به میراث می دهد (ومی بخشد) وعاقبت (نیک) از آنٍ پرهیزگاران است».
129_00	(قوم موسی) گفتند: «پیش از آنکه به سوی ما بیایی آزار دیده ایم, وبعد از آنکه نزد ما آمدی (نیز آزار می بینیم!)».
129_01	(موسی) گفت: «امید است پروردگارتان دشمن شما را هلاک کند, وشما را در زمین جانشین سازد, پس بنگرد چگونه عمل می کنید».
130_00	وبه راستی ما قوم (ونزدیكان) فرعون را به قحط سالی وکمبود میوه ها گرفتار کردیم, شاید که آنان پندگیرند.
131_00	پس هنگامی که نیکی (ونعمت) به آنها روی آورد, گفتند: «این حق ماست» واگر بدی (ورنجی) به آنها می رسید, به موسی وکسانی که با او بودند فال بد می زدند.
131_01	آگاه باشید, همانا فال بدشان فقط به نزد خداست, (وبه کیفر گناهانشان می باشد) ولیکن بیشتر آنها نمی دانند.
132_00	وگفتند: «هرچه را که از نشانه (ومعجزه) برای ما بیاوری, تا ما را بدان جادو کنی, ما به تو ایمان نمی آوریم».
