001_00	حم (حا . میم).
015_00	هرکس کار شایسته ای انجام دهد, پس به سود خود اوست, وکسی که مرتکب کار بدی شود, پس به زیان خود اوست, آنگاه (همه) به سوی پروردگارتان باز گردانده می شوید.
016_00	ویقیناً ما بنی اسرائیل را کتاب (آسمانی) وحکومت ونبوت بخشیدیم, و از پاکیزه ها روزیشان دادیم, وآنها را بر جهانیان (زمانشان) برتری دادیم.
017_00	وآنها را در امر (دین) نشانه های روشنی عطا کردیم, پس آنها اختلاف نکردند مگر بعد از آنکه برای آنان علم ودانش آمد, (آن هم) از روی تجاوز (و ستم) به یکدیگر بود.
017_01	بی گمان پروردگارتو روز قیامت در آنچه اختلاف می کردند در میان آنها داوری می کند.
018_00	سپس تو را (ای پیامبر) بر راه (و شریعتی) روشن از دین قرار دادیم. پس از آن پیروی کن, و از (هوی و) هوسهای کسانی که نمی دانند پیروی نکن.
019_00	بی شک آنها هرگز نمی توانند تو را از خدا بی نیاز کنند, (وعذاب اورا از تو دفع نمایند) ومسلماً ستمکاران برخی شان یاور برخی دیگراند, وخداوند یاور پر هیزگاران است.
020_00	این (قرآن) برای مردم مایۀ بصیرت است, وبرای گروهی که یقین دارند, هدایت ورحمت است.
021_00	آیا کسانی که مرتکب بدیها شدند, گمان کردند که (ما) آنها را همچون کسانی قرار می دهیم که ایمان آورده اند وکارهای شایسته انجام داده اند, که زندگی شان ومرگشان یکسان باشد؟! چه بد داوری می کنند!
022_00	و خداوند آسمانها وزمین را به حق آفریده است, وتا هرکس را در برابر آنچه که انجام داده است پاداش دهد, و به آنها ستمی نخواهد شد.
023_00	آیا دیده ای کسی را که معبود خود را هوای (نفسانی) خویش قرار داد, وخداوند از روی علم او را گمراه کرد, وبر گوشش ودلش مهر نهاد, وبر دیده اش پرده قرار داد؟!
023_01	پس (اگر خدا هدایتش نکند( چه کسی بعد از خدا اورا هدایت خواهد کرد؟ آیا پند نمی گیرید؟!
024_00	و (مشرکان) گفتند: «چیزی جز (این) زندگانی دنیای ما, (در کار) نیست, می میریم وزنده می شویم, وجز طبیعت (و روزگار) ما را هلاک نمی سازد» وآنها به این (امر) هیچ علمی ندارند, وآنها جز (وهم و) گمان می کنند.
025_00	وهنگامی که آیات روشن ما بر آنها خوانده شود, حجتشان جز این نیست که گویند: «اگر را ستگویید, نیاکان ما را (زنده کنید و) بیاورید».
026_00	(ای پیامبر) بگو: «خداوند شما را زنده می کند, سپس شما را می میراند, باز شما را در روز قیامت ـ که تردیدی در آن نیست ـ جمع می کند. ولیکن بیشتر مردم نمی دانند.
027_00	وفرمانروایی آسمانها وزمین از آنِ خداست, وروزی که قیامت بر پا شود, اهل باطل زیان خواهند کرد.
028_00	و (در آن روز) هرامتی را می بینی که به زانو در آمده, هر امتی به سوی نامۀ اعمالش خوانده می شود, (وبه آنها گفته می شود:) «امروز در برابر آنچه می کردید, پاداش می یابید» .
029_00	این کتاب ماست که به حق بر علیه شما سخن می گوید (و گواهی می دهد) البته ما آنچه را که می کردید, می نوشتیم.
030_00	پس اما کسانی که ایمان آوردند و کارهای شایسته انجام دادند, پروردگارشان آنها در رحمت خود (= بهشت) داخل می کند, این همان کامیابی بزرگ است.
031_00	واما کسانی که کافر شدند, (به آنها گفته می شود:) آیا آیات من بر شما خوانده نمی شد, پس شما تکبر کردید, و قومی مجرم بودید؟!
032_00	وچون گفته می شود: «بی گمان وعدۀ خداوند حق است, و(در آمدن) قیامت هیچ شکی نیست» می گفتید: «ما نمی دانیم قیامت چیست؟ ما فقط گمانی داریم, و ما (در بارۀ آن) یقین کننده نیستیم»
033_00	وبدیهای آنچه کرده اند, برای آنان آشکار شد, وآنچه که مسخره اش می کردند آنها را فرو گرفت.
034_00	و (به آنها) گفته می شود: «امروز شما را فراموش می کنیم, همان گونه که (شما) دیدار امروزتان را فراموش کردید, وجایگاه شما آتش (دوزخ) است, وشما هیچ یاوری ندارید.
035_00	این بدان سبب است که شما آیات خدا را به مسخره گرفتید, وزندگی دنیا شما را فریفت». پس امروز نه آنها از آن (دوزخ) بیرون آورده می شوند, ونه هیچ عذری از آنها پذیرفته می شود.
036_00	پس ستایش مخصوص خداست, پروردگار آسمانها و پروردگار زمین, پروردگار جهانیان.
037_00	وکبریاء وبزرگی در آسمانها وزمین, از آنِ اوست( ), واو پیروزمند حکیم است.
