001_00	Tha Sîn Mîm.
036_00	Zij zeiden: "Stel (de zaak van) hem en zijn broeder uit en stuur bijeenroepers naar de steden.
037_00	Zij zullen elke bekwame tovenaar bij jou brengen.
038_00	Zo werden de tovenaars verzameld op een afgesprokem lijd op een aangewezen dag.
039_00	En tot de mensen werd gezegd: "Zijn jullie nu bijeengekomen?
040_00	Moge wij de tovenaars volgen als zij de overwinnaars zijn."
041_00	Toen de tovenaars kwamen, zeiden zij tot Fir'aun: "Krijgen we zeker een beloning, als wij de overwinnaars zijn?"
042_00	Hij zei: "Ja, jullie zullen dan tot de (mij) nabijen behoren."
043_00	Môesa zei tot hen: "Werpt maar wat jullie te werpen hebben."
044_00	Toen wierpen zij hun touwen en staven neer, terwijl zij zeiden: "Bij de eer van Fir'aun: voorwaar, wij zullen zeker de overwinnaars zijn."
045_00	Toen wierp Môesa zijn staf neer, en toen verslond zij wat zij met hun bedrog hadden gemaakt.
046_00	Toen wierpen de tovenaan zich neer, knielend.
047_00	Zij zeiden: "Wij geloven in de Heer der Werelden.
048_00	De Heer van Môesa en Hârôen."
049_00	Hij (Fir'aun) zei: "Geloven jullie hem voordat ik jullie toestemming geef? Voorwaar, hij is zeker jullie meerdere die jullie de tovenarij onderwees. En spoedig zullen jullie het weten:
049_01	ik zal jullie handen en jullie voeten aan tegenovergestelde kanten afhakken en ik zal jullie allen kruisigen."
050_00	Zij (de tovenaars) zeiden: "Het deert (ons) niet. Voorwaar, wij zullen naar onze Heer terugkeren.
051_00	Voorwaar, wij verlangen dat Hij onze fouten vergeeft, omdat wij de eersten van de gelovigen zijn."
052_00	En wij openbaarden aan Môesa: "Reis in de nacht met Mijn dienaren: voorwaar, jullie zullen achtervolgd worden."
053_00	Toen stuurde Fir'aun bijeenroepers de steden in.
054_00	"Diegenen zijn zeker een kleine groep.
055_00	En voorwaar, zij hebben ons woedend gemaakt.
056_00	En voorwaar, wij zijn zeker allen voorzichtig."
057_00	Toen verdreven Wij hen van de tuinen en bronnen.
058_00	En de schatten en eervolle plaatsen.
059_00	Zo was het; en Wij deden de Kinderen van Israël het erven.
060_00	Toen achtervolgden zij hen bij zonsopgang.
061_00	En toen de twee groepen elkaar zagen, zeiden de metgezellen van Môesa: "Voorwaar, wij worden zeker bereikt!"
062_00	Hij (Môesa) zei: "Zeker niet voorwaar, mijn Heer is met mij, Hij zal mij lieden."
063_00	Toen openbaarden Wij aan Môesa: "Sla de zee met jouw staf." Toen spleet de zee en elk gedeelte was als een geweldige berg.
064_00	En Wij deden de anderen daar dichtbij komen.
065_00	En wij redden Môesa en allen die bij hem waren.
066_00	Vervolgens verdronken Wij de anderen.
067_00	Voorwaar, daarin is zeker een Teken, maar de meesten van hen zijn geen gelovigen.
068_00	En voorwaar, jouw Heer (O Moehammad) is zeker Hij, de Almachtige, de Meest Barmhartige.
069_00	En lees hun de geschiedenis van Ibrâhîm voor.
070_00	(Gedenk) toen hij tot zijn vader en zijn volk zei: "Wat aanbidden jullie?"
071_00	Zij zeiden: "Wij aanbidden afgoden en wij zullen hen blijven aanbidden."
072_00	Hij (Ibrâhîm) zei: "Horen zij jullie, wanneer jullie hen aanroepen?
073_00	Of brengen zij jullie voordeel of berokkenen zij jullie nadeel?
074_00	Zij zeiden. "Wij vonden dat zelfs onze vaderen zo deden."
075_00	Hij (Ibrâhîm) zei: "Hebben jullie dain gezien wat jullie plegen te aanbidden?
076_00	Jullie en jullie vaderen die voorafgingen?
077_00	Voorwaar, zij zijn een vijand voor mij, (ik aanbid niemand) behalve de Heer der Werelden.
078_00	Degene Die mij geschapen heeft, Hij leidt mij.
079_00	En Hij is Degene Die mij voedt en Die mij te drinken geeft.
080_00	En wanneer ik ziek ben, is Hij het Die mij geneest.
081_00	Degene Die mij doet sterven en mi vervolgens doet leven.
082_00	En Degene van Wie ik hevig verlang dat Hij mijn zonden zal vergeven op de Dag des Oordeels.
083_00	Mijn Heer, schenk mij wijsheid en verenig mij met de rechtschapenen.
084_00	En maak mijn naam vermaard onder de lateren.
085_00	En maak mij één van de erfgenamen van de Tuin van de gelukzaligheid (het Paradijs).
086_00	En vergeef mijn vader, waal bij behoorde tot de dwalenden.
087_00	En verneder mij niet op de Dag waarop er wordt opgewekt.
088_00	Op de Dag, waarop rijkdom en zonen niet zullen baten.
089_00	Alleen bij (zal gebaat zijn), die naar Allah komt met een zuiver hart
090_00	En de Tuin wordt dichtbij de Moettaqôen gebracht.
091_00	En Djahîm (de Hel) wordt tentoongesteld aan de dwalenden.
092_00	En tot hen wordt gezegd: "Waar is het, wat jullie plachten te aanbidden?
093_00	Naast Allah? Kunnen zij jullie helpen of zichzelf helpen?
094_00	Dan worden zij hals over kop daarin geslingerd, zij en de dwalenden.
095_00	En de troepen van Iblîs (de Satan), allemaal.
096_00	Zij zeggen, terwijl zij met elkaar redetwisten:
097_00	"Bij Allah, wij verkeerden zeker in een duidelijke dwaling.
098_00	Dat wij jullie (de afgoden) gelijkstelden met de Heer der Werelden.
099_00	En alleen de misdadigers hebben ons doen afdwalen.
100_00	En wij hebben geen voorsprekers,
101_00	En geen boezemvriend.
102_00	Was er voor ons maar een weg terug, dan zouden wij tot de gelovigen behoren."
103_00	Voorwaar, daarin is zeker een Teken, maar de meesten van hen zijn ongelovigen.
104_00	En voorwaar, jouw Heer (O Moehammad) is zeker Hij, de Almachtige, de Meest Barmhartige.
105_00	Het volk van Nôeh loochende de Boodschappers.
106_00	(Gedenk) toen hun broeder Nôeh tot hen zei: "Vrezen jullie (Allah) niet?
107_00	Voorwaar, ik ben voor jullie een betrouwbare Boodschapper.
108_00	Vreest daarom Allah en gehoorzaamt mij.
109_00	Ik vraag jullie er geen beloning voor, mijn beloning berust alleen bij de Heer der Werelden.
110_00	Vreest daarom Allah en gehoorzaamt mij.
111_00	Zij zeiden: "Zouden wij jou volgen, terwijl de meest nederigen jou volgen?"
112_00	Hij (Nôeh) zei: "En ik heb geen kennis over wat zij deden.
113_00	Hun afrekening is slechts bij mijn Heer, als jullie het maar zouden beseffen.
114_00	Ik zal de gelovigen zeker niet wegjagen.
115_00	Ik ben slechts een duidelijke waarschuwer."
116_00	Zij zeiden: "Als jij er niet mee ophoudt, O Nôeh, dan behoor jij tot degenen die gestenigd worden!"
117_00	Hij (Nôeh) zei: "Mijn Heer, voorwaar mijn volk loochent mij.
118_00	Spreek daarom een oordeel uit tussen mij en hen. En red mij en de gelovigen die met mij zijn."
119_00	Toen redden Wij hem en degenen die met hem in het beladen schip waren.
120_00	En vervolgens verdronken Wij degenen die achterbleven (in de zondvloed).
121_00	Voorwaar, daarin is zeker een Teken, maar de meesten van hen zijn geen gelovigen.
122_00	En voorwaar, jouw Heer (O Moehammad) is zeker Hij, de Almachtige, de Meest Barmhartige.
123_00	Het volk van de 'Ad loochende de Boodschappers.
124_00	(Gedenk) toen hun broeder Hôed tot hen zei: "Vrezen jullie Allah niet?
125_00	Voorwaar, ik ben voor jullie een betrouwbare Boodschapper.
126_00	Vreest daarom Allah en gehoorzaamt mij.
127_00	En ik vraag jullie er geen beloning voor, want mijn beloning berust alleen bij de Heer der Werelden.
128_00	Zouden jullie op elke heuvel een gebouw bouwen om jullie te vermaken?
129_00	En bouwen jullie paleizen in de hoop dat jullie eeuwig leven?
130_00	En als jullie toeslaan, slaan jullie toe als geweldenaars.
131_00	Vreest daarom Allah en gehoorzaamt mij.
132_00	En vrom Hem Die jullie dat geschonken heeft waarover jullie weten.
133_00	En Hij Die jullie vee en zonen schenkt.
134_00	En tuinen en bronnen.
135_00	Voorwaar, ik vrees voor jullie een bestraffing op de geweldige Dag."
136_00	Zij zeiden: "Voor ons is het hetzelfde of jij ons waarschuwt of dat jij niet tot de waarschuwers behoort.
137_00	Dit is slechts een gewoonte van de vroegeren.
138_00	En wij zullen niet behoren tot hen die gestraft worden."
139_00	Maar zij loochenden hem, dus vernietigden Wij hen. Voorwaar, daarin is zeker een Teken, maar de meesten van hen waren gew gelovigen.
140_00	En voorwaar, jouw Heer (O Moehammad) is zeker Hij, de Almachtige, de Meest Barmhartige.
141_00	Het volk van de Tsamôed loochende de Boodschappers.
142_00	(Gedenk) toen hun broeder Shâlih tot hen zei: "Vrezen jullie (Allah) niet?
143_00	Voorwaar, ik ben voor jullie een betrouwbare Boodschapper.
144_00	Vreest daarom Allah en gehoorzaamt mij.
145_00	En ik vraag jullie er geen beloning voor, mijn beloning berust alleen bij de Heer der Werelden.
146_00	Zullen jullie in veiligheid gelaten worden temidden van wat hier is?
147_00	Temidden van tuinen en bronnen.
148_00	En akkerland en dadelpalmen met tere trossen.
149_00	En jullie houwen vaardig huizen uit in de bergen.
150_00	Vreest dan Allah en gehoorzaamt mij.
151_00	En geeft geen gehoor aan het bevel van de buitensporigen.
152_00	Degenen die verderf zaaien op de aarde en zich niet beteren."
153_00	Zij zeiden: "Voorwaar, jij behoort tot de betoverden.
154_00	Jij bent slechts een mens zoals wij. Breng daarom een Teken als jij tot de waarachtigen behoort."
155_00	Hij (Shâlih) zei: "Dit is een vrouwtjeskameel, zij heeft recht om te drinken en jullie hebben recht om te drinken, (ieder) op een vastgestelde dag.
156_00	En treft haar niet met kwaad, want dan zal de straf van een Geweldige Dag jullie treffen.
157_00	Toen slachtten zij haar, daarna werden zij berouwvollen.
158_00	Toen trof de bestraffing hen. Voorwaar, daarin is zeker een Teken, maar de meesten van hen zijn geen gelovigen.
159_00	En voorwaar, jouw Heer (O Moehammad) is zeker Hij, de Almachtige, de Meest Barmhartige.
160_00	Het volk van Lôeth loochende de Boodschappers.
161_00	(Gedenk) toen hun broeder Lôeth tot hen zei: "Vrezen jullie (Allah) niet?
162_00	Voorwaar, ik ben voor jullie een betrouwbare Boodschapper.
163_00	Vreest daarom Allah en gehoorzaamt mij.
164_00	En ik vraag jullie er geen beloning voor, want mijn beloning berust alleen bij de Heer der Werelden.
165_00	Waarom benaderen jullie van de wereldbcwoners de mannen?
166_00	En verlaten jullie hen die jullie Heer als echtgenotes geschapen heeft? Jullie zijn beslist een overtredend volk!"
167_00	Zij zeiden: "O Lôeth, als jij er niet mee ophoudt, behoor jij tot de verdrevenen."
168_00	Hij in zei: "Voorwaar, ik behoor tot hen die jullie daden verachten.
169_00	Mijn Heer, red mij en mijn familie van wat zij doen."
170_00	En Wij hebben hem en zijn familie allen gered.
171_00	Behalve een oude vrouw onder de achterblijvers.
172_00	Toen vernietigden Wij de anderen.
173_00	En Wij deden een (vulkanische) regen op hen neerstromen, hoe slecht was de regen voor de gewaarschuwden!
174_00	Voorwaar, daarin is zeker een Teken, maar de meesten van hen zijn geen gelovigen.
175_00	En voorwaar, jouw Heer (O Moehammad), is zeker Hij, de Almachtige, de Meest Bamhartige.
176_00	De bewoners van Aikah loochenden de Boodschappers.
177_00	(Gedenk) toen Sjoe'aib tot hen zei: "Vrezen jullie (Allah) niet?
178_00	Voorwaar, ik ben voor jullie een betrouwbare Boodschapper.
179_00	Vreest daarom Allah en gehoorzaamt mij.
180_00	En ik vraag jullie er geen beloning voor, mijn beloning berust slechts bij de Heer der Werelden.
181_00	En geeft de volle maat een behoort niet tot hen die tekort doen.
182_00	En weegt met juiste weegschalen.
183_00	En benadeelt niet de mensen in hun zaken en verricht geen kwaad op aarde, als verderfzaaiers.
184_00	En vreest Degene Die jullie en de vroegere generaties geschapen heeft."
185_00	Zij zeiden: "Voorwaar, jij behoort slechts tot de betoverden.
186_00	En jij bent slechts een mens als wij ein wij vinden dat jij zeker tot de leugenaars behoort.
187_00	Laat dan eens een stuk van de hemel op ons vallen, als jij tot de waarachtigen behoort."
188_00	Hij zei: "Mijn Heer weet het beste wat jullie doen."
189_00	Maar zij loochenden hem, waarop een bestraffing hen trofop een zwaarbewolkte dag. Voorwaar, het was een bestraffing van een geweldige dag.
190_00	Voorwaar, daarin is zeker een Teken, maar de meesten van ben zijn geen gelovigen.
191_00	En voorwaar, jouw Heer (O Moehammad) is zeker Hij, de Almachtige, de Meest Bamhartige.
192_00	En voorwaar, hij (de Koran) is zeker een neerzending van de Heer der Werelden.
193_00	Met hem (de Koran) daalde de getrouwe Geest (Djibrîl) neer.
194_00	Op jouw hart (O Moehammad), opdat jij tot de waarschuwers behoort.
195_00	In een duidelijke Arabische taal.
196_00	En voorwaar, hij (de Koran) is zeker (aangekondigd) in de Schriften van de vroegeren.
197_00	Is het voor hen dan geen teken dat de geleerden van de Kinderen van Israël hem kennen?
198_00	En als Wij hem am de niet-Arabieren hadden doen neerdalen.
199_00	(En als) hij hem dan aan ben voorgedragen had, dan hadden zij er niet in geloofd.
200_00	Op deze wijze deden Wij hem binnendringen in de barten van de misdadigers.
201_00	Zij zullen er niet in geloven totdat zij de pijnlijke bestraffing zien.
202_00	Die plotseling tot ben zal komen, terwijl zij het niet beseffen.
203_00	Dan zeggen zij: "Krijgen wij uitstel?"
204_00	Vragen zij dan dat Onze bestraffing bespoedigd wordt?
205_00	Wat denk jij dan, als Wij hun (enige) jaren laten genieten?
206_00	En daarop tot hen komt wat beloofd was?
207_00	Het zal hun niet baten, wat hun aan genot gegeven was.
208_00	En Wij hebben geen stad vernietigd zonder dat er voor haar waarschuwers waren geweest.
209_00	Als een waarschuwing: en Wij weren geen onrechtvaardigen.
210_00	En hij (de Koran) is niet door de Satans neergedaald.
211_00	Het past hun niet en zij zijn er niet toe in staat.
212_00	Voorwaar, van het horen (ervan) zijn zij zeker buitengesloten.
213_00	Roept dus geen andere goden naast Allah aan, anders zal jij tot de bestraften behoren.
214_00	En waarschuw jouw naaste familieleden.
215_00	En wees bescheiden eva nederig tegenover de gelovigen die jou volgen.
216_00	En als zij jou dan ongehoorzam zijn, zeg dan: "Ik ben onschuldig aan wat jullie doen."
217_00	En vertrouw op de Almachtige, de Meest Barmhartige.
218_00	Degene Die jou ziet als jij staat (te bidden).
219_00	En jouw bewegingen (ziet) onder de knielenden.
220_00	Voorwaar, Hij is de Alhorende, de Alwetende.
221_00	Zal ik jou vertellen tot wie de Satans neerdalen?
222_00	Zij dalen neer tot elke zondige leugenaar.
223_00	Zij luisteren nam het gesprokene en de meesten van hen zijn leugenaars.
224_00	En de dichters; de dwalenden volgen hen.
225_00	Zie jij niet dat zij rusteloos ronddwalen in iedere vallei?
226_00	En dat zij zeker zeggen wat zij niet doen?
227_00	Behalve degenen die geloven en goede daden verrichten en Allah vaak gedenken.
227_01	En zij overwinnen nadat hun onrecht is aangedaan. En degenen die onrecht pleegden zullen spoedig weten tot welke plaats van terugkeer zij zullen terugkeren!
