001_00	Alif Lâm Mîm Shâd.
022_01	En hun Heer riep tot hen: "Heb ik jullie deze boom van jullie niet verboden en heb Ik niet tot jullie gezegd: "Voorwaar, de Satan is voor jullie een duidelijke vijand?"
023_00	Zij zeiden: "Onze Heer, wij hebben onszelf onrecht aangedaan en wanneer U ons niet vergeeft en ons geen genade schenkt, dan zullen wij zeker tot de verliezers behoren."
024_00	Hij (Allah) zei: "Daalt af, jullie zijn elkaars vijanden, en voor jullie is er op de aarde een verblijfplaats en een genieting tot een bepaalde tijd."
025_00	Hij zei: "Daarop zullen jullie leven en daarop zullen jullie sterven en daaruit zullen jullie tevoorschijn worden gebracht."
026_00	O Kinderen van Adam, voorzeker, Wij hebben voor jullie kleding neergezonden om jullie schaamte te bedekken en versierselen.
026_01	En het kleed van het vrezen (van Allah), dat is het beste. Dat zijn een aantal van Allah's Tekenen. Hopelijk laten zij zich vermanen.
027_00	0OKinderen van Adam, laat de Satan jullie niet in verzoeking brengen, zoals hij jullie voorouders uit de tuin heeft verdreven; hij nam hun kleding van hen weg om hen hun schaamte te tonen.
027_01	Hij en zijn aanhangers zien jullie van waar jullie hen niet zien. Voorwaar, Wij hebben de Satans tot leiders gemaakt voor degenen die niet geloven.
028_00	En wanneer zij een gruweldaad bedrijven, dan zeggen zij: "Wij troffen dit bij onze vaderen aan en Allah heeft ons dit bev
028_01	olen." Zeg (O Moehammad): "Voorwaar, Allah beveelt geen gruweldaden, zeggen jullie dat over Allah wat jullie niet weten?"
029_00	Zeg: "Mijn Heer heeft rechtvaardigheid bevolen." En: "Richt jullie aangezicht (tot Hem) bij iedere knieling (in het gebed) en aanbidt Hem op een zuivere wijze van aanbidding. Zoals Hij jullie de eerste keer heeft geschapen, zo zullen jullie terugkeren."
030_00	Een groep heeft Hij leiding gegeven en voor een andere groep is hun dwaling terecht. Voorwaar, zij namen de Satans als beschermers, naast Allah, en zij dachten dat zij waarlijk rechtgeleiden waren.
031_00	O Kinderen van Adam, draagt jullie mooie kleding bij elke shalât, en eet en drinkt en overdrijft niet. Voorwaar, Hij houdt niet van de buitensporigen.
032_00	Zeg (O Moehammad): "Wie heeft de mooie kleding die Allah voor Zijn dienaren heeft gebracht on de goede dingen van de voorzieningen verboden verklaard?" Zeg
032_01	: "Dit is op de Dag der Opstanding uitsluitend voor degenen die geloofden tijdens het wereldse leven." Zo zetten Wij de Verzen uiteen aan een volk dat weet.
033_00	Zeg: "Mijn Heer heeft slechts de zedeloosheden verboden, wat er openlijk van is en wat er verborgen van is; en de zonde; en de overtreding zonder r
033_01	echt; en dat jullie Allah deelgenoten toekennen, waarvoor Hij geen bewijs heeft neergezonden en dat jullie over Allah zeggen wat jullie niet weten."
034_00	Voor iedere gemeenschap is er een vastgesteld tijdstip on wanneer haar tijdstip is gekomen, dan kunnen zij het geen moment uitstellen noch vervroegen.
035_00	O Kinderen van Adam, wanneer er Boodschappers uit jullie midden tot jullie komen, die jullie Mijn Verzen vertellen: wie dan (Allah) vreest en zich betert; over hem zal geen angst komen. Noch zullen zij treuren.
036_00	En degenen die Onze Verzen loochenen en er hoogmoedig tegenover staan, zij zijn degenen die de bewoners van de Hel zijn. Zij zijn daarin eeuwig levenden.
037_00	Wie zijn dan onrechtvaardiger dan degenen die een leugen over Allah hebben verzonnen en die Zijn Verzen geloochend hebben?
037_01	Zij zijn degenen die door hun aandeel in het Boek (Lauhoelmahfoezh) getroffen worden, totdat wanneer Onze gezanten (de Engelen) tot hen komen die hen wegnemen. Zij zeiden: "Waar is hetgeen dat jullie plachten to aanbidden naast Allah?"
037_02	Zij zeiden: "Zij zijn van ons weggegaan," on zij getuigden over zichzelf dat zij ongelovigen waren.
038_00	Hij (Allah) zegt: "Treedt de gemeenschappen van de Djinn's en de mensen binnen die jullie reeds zijn voorgegaan in de Hel.
038_01	Telkens wanneer een gemeenschap (de Hel) binnengaat, vervloekt zij haar zuster(-gemeenschap), totdat, wanneer zij allen bijelkaarkomen, de laatste van hen over de eerste van hen zegt: "Onze Heer, deze heeft ons heeft doen dwalen, geef hun daarom een dubbele bestraffing van de Hel."
038_02	Hij zei: "Voor een ieder is er een dubbele (bestraflring), maar jullie weten het niet."
039_00	En de eerste van hen zal tot de laatste van hen zeggen: "Jullie zijn niet boven ons begunstigd, proeft daarom de bestraffing vanwege hetgeen jullie plachten verrichten.
040_00	Voorwaar, degenen die Onze Verzen loochenen en die zich er hooghartig van afwenden: de poorten van de hemel zullen voor hen niet worden geopend, en zij zullen het Paradijs niet binnengaan, totdat de kameel door het oog van de naald gaat.
040_01	En zo vergelden Wij de misdadigers.
041_00	Voor hen is er een plaats van hellevuur en boven hen zijn er bedekkingen (van vuur). Zo vergelden Wij de onrechtplegers.
042_00	En degenen die geloven en goede werken verrichten, Wij belasten niemand (van hen) dan naar zijn vermogen: zij zijn degenen die de bewoners van het Paradijs zijn. Zij zijn daarin eeuwig levenden.
043_00	En Wij nemen uit hun harten weg wat er aan wrok is, onder (het Paradijs) door stromen de rivieren.
043_01	En zij zeiden: "Alle lof zij Allah, Die ons hierheen heeft geleid en wij zouden geen leiding hebben gevonden als Allah ons geen Leiding had geschonken, Voorzeker, de gezanten van Onze Heer zijn in Waarheid gekomen.
043_02	En tot hen wordt geroepen: "Dit is het Paradijs dat jullie hebben beerfd wegens watjullie plachten te doen."
044_00	En de bewoners van het Paradijs roepen tot de bewoners van de Hel: "Wij hebben waarlijk aangetroffen wat onze Heer ons heeft beloofd, hebben jullie dan ook werkelijk aaagetroffen wat jullie Heer jullie heeft aangezegd?" Zij zeiden: "Ja".
044_01	Dan verkondigt een omroeper onder hen dat de vloek van Allah op de onrechtplegers rust.
045_00	Degenen die (de mensen) afhouden van de Weg van Allah en die wensen dat hij krom was. En zij geloven niet in het Hiernamaals.
046_00	En tussen hen is een afscheiding en op de A'raf bevinden zich mannen, zij kennen allen door hun kenmerken; zij roepen
046_01	tot de bowoners van het Paradijs: Salamoen 'alaikoem." (Vrede zij met jullie) Zij zijn haar nog niet binnengegaan terwijl zij (dat) begeren.
047_00	En wanneer zij hun blikken in de richting van de bewoners ven de Hel wenden, dan zeggen zij: "Onze Heer, plaats ons niet bij het onrechtplegende volk."
048_00	En zij die zich op de A'râf bevinden, roepen tot mannen die zij bij hun kenmerken kennen, zij zeggen: "Jullie vergaren baat jullie niet, noch hetgeen waarop jullie trots plachten te zijn."
049_00	(Zij dit op de A'râf zitten zeggen:) "Zijn dezen (de gelovigen) degenen waarvan jullie hebben gezworen dat Allah hen niet met Barmhartigheid zou bereiken?" (Tot de gelovigen zal worden gezegd:) "Gaat het Paradijs binnen, er zal geen vrees over jullie komen, noch zullen jullie treuren."
050_00	En de bewoners van de Hel roepen tot de bewoners van het Paradijs: "Stort over ons uit water, of van dat waar Allah jullie mee voorzien heeft."
050_01	Zij zeggen: "Voorwaar, Allah heeft dit verboden voot de ongelovigen."
051_00	(Zij zijn) degenen die hun godsdienst als vermaak en spel beschouwden en degenen die bedrogen zijn door het wereldse leven.
051_01	Op de Dag (der Opstanding) vergeten Wij hen zoals zij de ontmoeting met deze Dag van hen vergaten, on omdat zij Onze Tekenen plachten te ontkennen.
052_00	En voorzeker hebben Wij hun een Boek gebracht en het daarna uittengezet, op grond ven kennis, als Leiding en als Bamhartigheid voor een volk dat gelooft.
053_00	Zij wachten op niets anders dan het gevolg ervan.
053_01	De Dag waarop het gevolg ervan komt, zeggen degenen die het (Boek) daarvoor hadden vergeten: "Waarlijk, de Boodschappers van onze Heer kwamen tot ons met de Waarheid: zijn er voor ons dan nog voorsprekers die ten gunste ven ons spreken?
053_02	Of kunnen wij (naar de aarde) worden teruggebracht? Dan zullen wij anders handelen dan wij plachten te handelen." Waarlijk, zij hebben zichzelf verlies toegebracht en van hen weggegaan is wat zij plachten te verzinnen.
054_00	Voorwaar, jullie Heer is Allah, Degene Die de hemelen en de aarde in zes dagen (perioden) heeft geschapen.
054_01	Vervolgens zetelde Hij zich op de Troon. Hij doet de nacht de dag bedekken, die hem haastig najaagt; en de zon, de maan en de sterren zijn aan Zijn bevel onderworpen.
054_02	Weet, dat scheppen en bevelen aan Hem is voorbehouden. Gezegend zij Allah, de Heer der Werelden.
055_00	Roept jullie Heer aan in nederigheid en (met) zachtheid. Voorwaar, Hij houdt niet van de overtreders.
056_00	En zaait geen verderf op aarde na de verbetering ervan (door de aanwezigheid van de Profeet) en roept Hem aan, (Zijn bestraffing) vrezend en (Zijn Barmhartigheid) begerend. Voorwaar, Allah's Barmhartigheid is dicht bij de weldoeners.
057_00	En Hij is Degene Die de winden zendt als aankondigers van verheugende tijdingen, voorafgaand aan Zijn Barmhartigheid (regen).
057_01	Zodat wanneer zij de zware wolken hebben opgeheven, Wij die naar een dorre streek drijven, waarna Wij daaruit water doen neerdalen, waarmee Wij dan allerlei soorten vruchten voortbrengen.
057_02	Zo wekken Wij de doden op. Hopelijk laten jullie je vermanen.
058_00	En de vruchtbare streek brengt haar gewassen vooit met verlof van haar Heer. En de (streek) die onvruchtbaar is, brengt niets voort dan een schaats gewas. Zo leggen Wij de Tekenen uit aan een volk dat dankbaar is.
059_00	Voorzeker, Wij zonden Nôeh tot zijn volk en hij zei: "O mijn volk, aanbidt Allah, er is voor jullie geen god dan Hij: voorwaar, ik vrees voor jullie de bestraffing van een geweldige Dag."
060_00	De vooraanstaanden van zijn volk zeiden: "Voorwaar, wij zien jou zeker in duidelijke dwaling verkeren."
061_00	Hij (Nôeh) zei: "O mijn volk, er is bij mij geen dwaling, maar ik ben een Boodschapper van de Heer der Werelden.
062_00	Ik verkondig jullie Boodschappen van mijn Heer en ik geef jullie raad en ik weet over Allah wat jullie niet weten."
063_00	En verbaasde het jullie, dat er een vermaning van jullie Heer tot jullie is gekomen, door een man uit jullie midden? (Hij komt) opdat hij jullie waarschuwt, en opdat jullie (Allah) vrezen. En hopelijk zullen jullie begenadigd worden.
064_00	Toen loochenden zij hem (Nôeh), waarna Wij hem redden en degenen met hem in het schip. En Wij verdronken hen die Onze Tekenen loochenden. Voorwaar, zij waren een blind volk.
065_00	En tot de 'Ad (zonden Wij) hun broeder Hôed, Hij zei: "O mijn vok aanbidt Allah, er is voor jullie geen god dan Hij, zullen jullie dan niet (Allah) vrezen?"
066_00	De vooraanstaanden onder zijn volk, die ongelovig waren, zeiden: "Voorwaar, wij zien dat jij in dwaasheid verkeert; en voorwar, wij menen zeker dat jij tot de leugenaars behoort."
067_00	Hij (Hôed) zei: "O mijn volk, er is bij mij geen dwaasheid, maar ik ben een Boodschapper van de Heer der Werelden.
068_00	Ik verkondig jullie Boodschappen van mijn Heer en ik ben voor jullie een betrouwbare raadgever."'
069_00	En verhaasde het jullie, dat er tot jullie een vermaning van jullie Heer is gekomen, door een man uit jullie midden, om jullie te vermanen? En gedenkt toen Hij jullie tot opvolgers had aangesteld na (do ondergang van) het volk van Nôeh.
069_01	En jullie gestalten maakten Wij groter (dan die van hen). Gedenkt daarom de gunsten van Allah. Hopelijk zullen jullie welslagen.
070_00	Zij zeiden: "Ben jij tot ons gekomen opdat Wij Allah ah Enige aanbidden en verlaten wat onze vaderen plachten te aanbidden? Laat dan komen, hetgeen wat jij ons aanzegt, als jij tot de waarachtigen behoort."
071_00	Hij zei: "Waarlijk, een bestraffing en toorn van jullie Heer is erover jullie neergekomen. Willen jullie met mij redetwisten over de namen die jullie en jullie vaderen gaven (aan jullie afgoden), waarvoor Allah geen bewijs heeft neergezonden?
071_01	Wachten jullie maar: voorwaar, ik behoor met jullie tot de wachtenden."
072_00	Toen redden Wij hem (Hôed) en degenen met hem door Genade van Ons en Wij roeiden degenen die Onze Tekenen loochenden geheel uit. En zij plachten geen gelovigen te zijn.
073_00	En tot de Tsamôed (zonden Wij) hun broeder Shâlih. Hij zei: "O mijn volk, aanbidt Allah, er is voor jullie geen god dan Hij. Waarlijk, er is een duidelijk bewijs van jullie Heer tot jullie gekomen.
073_01	Dat is de vrouwtjeskameel van Allah, als een Teken voor jullie. Laat haar daarom op de aarde van Allah eten en doe haar geen kwaad, anders zal een pijnlijke bestraffing jullie grijpen."
074_00	En (gedenkt) toen Hij jullie tot opvolgers aanstelde na (de ondergang van) de 'Ad en Hij jullie op aarde vestigde. Jullie namen van haar vlakten om er paleizen (op te bouwen) en jullie namen van de bergen om er huizen uit te houwen.
074_01	Gedenkt daarom de gunsten van Allah en sticht geen onheil op de aarde, als verderfzaaiers.
075_00	De vooraannstaanden, van degenen die hoogmoedig waren onder zijn volk, zeiden tot de nederigen onder hen die geloofden: "Wet
075_01	en jullie dat Shâlat een door zijn Heer gezondene is?" Zij zeiden: "Voorwaar, wij geloven in hetgeen warmee hij is gezonden."
076_00	Degenen die hoogmoedig waren, zeiden: "Voorwaar, wij geloven niet in hetgeen waarin jullie geloven."
077_00	Zij slachtten de vrouwtjeskameel en zij minachtten het bevel van hun Heer en zij zeiden: "O Shâlih, laat het aangezegde (de bestraffing) tot ons komen, als jij tot de gezanten behoort!"
078_00	Toen greep de aardbeving hen, waardoor zij doden in hun huizen werden.
079_00	Toen wendde hij (Shâlih) zich van hen af en zei. "O mijn volk, voorzeker, ik heb jullie een Boodschap van mijn Heer vorkondigd en jullie raad gegeven, maar jullie houden niet van de raadgevers."
080_00	En (gedenkt) Lôeth, toen hij tot zijn volk zei: "Begaan jullie zedeloosheid die nog niemand van de bewoners van de werelden v??r jullie heeft begaan?
081_00	Voorwaar, jullie naderen zeker wellustig mannen in plaats van vrouwen. Jullie zijn zelfs ten overschrijdend volk."
082_00	En het antwoord van zijn volk was slechts dat zij zeiden: "Verdrijft hen (Lôeth en zijn volgelingen) uit jullie stad. Voorwaar, zij zijn mensen dit zich reinigen."
083_00	Toen redden Wij hen en zijn volgelingen, behalve zijn vrouw, zij behoorde tot de achterblijvers (die gestraft werden).
084_00	En Wij deden een regen (van stenen) op hen neerkomen. Zie dan hoe liet einde was vam de misdadigers.
085_00	En tot (de bewoners van) Madyan (zonden Wij) hun broeder Sjoe'aib, Hij zei: "O mijn volk, unbidt Allah, er is voor jullie geen god dan Hij. Waarlijk, er is een duidelijk bewijs van jullie Heer tot jullie gekomen.
085_01	Geeft dan de volle maat en het volle gewicht en benadeelt de mensen niet in hun zaken en zaait geen verderf op aarde na de verbetering op haar (door de komst van een Profeet). Dat is beter voor jullie, als jullie gelovigen zijn."
086_00	En zit niet op iedere weg, terwijl jullie degenen bedreigen en afhouden van het Pad van Allah die in Hem geloven, wensend dat het krom was. En gedenkt toen jullie met woinigen waren en Hij jullie talrijk deed worden.
086_01	En zie hoe het einde was van de verderfzaaiers.
087_00	En als er een groep onder jullie is die gelooft in hetgeen waarmee ik (Sjoe'aib) ben gezonden, en er een ander
087_01	e groep is die niet gelooft: weest dan geduldig tot Allah tussen ons oordeelt, en Hij is de Beste der Rechters.
088_00	De vooraanstaanden, van degenen die hoogmoedig waren van zijn volk, zeiden: "Wij zullen jou, O Sjoe'aib, en degenen die met jou geloven
088_01	zeker uit onze stad verdrijven, of jullie moeten terugkeren tot onze godsdienst." Hij zei: "En als wij er een afkeer van zouden hebben?"
089_00	Waarlijk, wij zouden een leugen ovet Allah verzinnen als wij zouden terugkeren tot jullie godsdienst, nadat Allah ons daaruit heeft gered.
089_01	Het past ons niet dat wij erin terugkeren, behalve wanneer Allah, onze Heer, het wil.
089_02	Onze Heer omvat alle dingen met Zijn kennis. Op Allah vertrouwen wij. Onze Heer, doe een uitspraak tussen ons en ons volk, naar de Waarheid en U bent de Beste van de Oordelaars.
090_00	En de vooraanstaanden van zijn volk, die ongelovig waren, zeiden. "Als jullie Sjoe'aib gevolgd hebben: voorwaar, dan zullen jullie zeker de verliezers zijin."
091_00	Toen greep de aardbeving hen en zij werden doden in hun huizen.
092_00	Degenen die Sjoe'aib loochenden werden alsof zij nooit in haar (de stad) hadden gewoond. Degenen die Sjoe'aib loochenden, zij zijn de verliezers.
093_00	Hij (Sjoe'ajb) wendde zich men van hen af, en hij zei: "O mijn volk, voorzeker, ik heb Boodschappen van mijn Hecr verkondigd, en jullie raad gegeven. Hoe kan ik dan bedroefd zijn over een volk dal ongelovig is?"
094_00	En Wij zonden geen Profeet naar een stad, of Wij troffen de inwoners ervan met kwclling en tegenspoed. Hopelijk zullen zij nederig worden.
095_00	Daarna vervingen Wij het slechte door het goede, totdat zij (in aantal en welvaart) toenamen, en zij zeiden: "Voorzeker, tegenspoed en voorspoed hebben ook onze vaderen getroffen." Toen grepen Wij hen onverwachts, terwijl zij er niet op bedacht waren.
096_00	En ais de inwoners van de steden hadden geloofd en (Allah) hadden gcvreesd, dan hadden Wij zeker voor hen zegeningen uit de hemel en de aarde geopend; maar zij loochenden, zodat Wij hen grepen wegens wat zij plachten te verrichten.
097_00	Voelen de inwoners van de steden zich er soms veilig voor, dat Onze bestraffing in de nacht tot hen komt, terwijl zij slapen?
098_00	Ofvoelen de inwoners van de steden zich er soms veilig voor, dat Onze bestrafting in de ochtend tot hen komt, terwijl zij spelen?
099_00	Voelen zij zich soms veilig voor het plan van Allah? Niemand voelt zich veilig voor het plan van Allah, behalve het verliezende volk.
100_00	Is het degenen die de aarde beërven na (de ondergang van) haar bewoners niet duidelijk geworden dat, als Wij zouden willen, Wij hen zouden treffen vanwcge hun zonden, en Wij hun harten zouden vergrendelen zodat zij niet zouden kunnen luisteren?
101_00	Over deze steden geven Wij jou (O Moehammad) berichten. En voorzeker, hun Profeten waren tot hen gekomen met de duidelijke bewijzen.
101_01	Maar zij waren niet zo dat zij geloofden in wat zij voorheen loochenden. Zo vergrendelt Allah de beden van de ongelovigen.
102_00	En Wij troffen de meesten van hen aan als mensen die zich niet aan een verbond hielden. En de meesten van ben troffen Wij zeker aan als zwaar zondigen.
103_00	Vervolgens zonden Wij na hen Môesa met Onze Tekenen tot Fir'aun en zijn vooraanstaande volgelingen, waarop zij deze in hun onrechtvaadigheid verwierpem. Aanschouw dan hoe het einde was van de verderfzaaiers.
104_00	En Môesa zei: "O Fir'aun, voorwaar, ik ben een Boodschapper van de Heer der Werelden.
105_00	Het is mij verplicht dat ik over Allah niets dan de Waarheid zeg. Waarlijk, ik ben tot jullie gekomen met een duidelijk Teken van jullie Heer, stuur de Kinderen van breel daarom met mij mee."
106_00	Hij (Fir'aun) zei: "Als jij met een Teken bent gekomen, kom er dan mee, als jij tot de waarahtigen behoort."
107_00	Toen wierp bij (Môesa) zijn staf, en toen werd deze een duidelijke slang.
108_00	En bij haalde zijn hand tevoorschijn, en toen werd deze witstralend voor de toeschouwers.
109_00	De vooraanstaanden van Fir'aun's volk zeiden: "Voorwaar, dit is een kundige tovenaar!
110_00	Hij wil jullie uit jullie land verdrijven!"' (Fir'aun vroeg:) "Wat raden jullie aan?"'
111_00	Zij zeiden: "Geef hem en zijn broeder uitstel, en stuur verzamelaars naar de steden.
112_00	Opdat zij alle vaardige tovenaars tot u brengen.
113_00	En de tovenaars kwamen tot Fir'aun, zij zeiden: "Voorwaar, is er voor ons zeker een beloning als wij de winnaars zijn."
114_00	Hij (Fir'aun) zei: "Ja, en voorwaar, jullie zullen tot de nabijen behoren."
115_00	Zij zeiden: "O Môesa, wep jij (eerst) of werpen wij?"
116_00	Hij zei: "Werpt." Toen zij dan wierpen, betoverden zij de ogen van de mensen en joegen hen angst aan met geweldige tovenarij.
117_00	En Wij openbaarden aan Môesa: "Werp jouw staf!" En toen verslond deze wat zij met hun bedrog hadden gemaakt.
118_00	Toen werd de Wacheid duidelijk, en bleek wat zij (de tovenaars) plachten te doen valsheid te zijn.
119_00	Zij werden daar verslagen, en zij keerden vernederd terug.
120_00	En de (tot inkeer gekomen) tovenaars wierpen zich (als in de shalât) neer.
121_00	Zij zeiden: "Wij geloven in de Heer der Werelden.
122_00	De Heer van Môesa en Hârôen."
123_00	Fir'aun zei: "Geloven jullie hem v??r dat ik jullie toestemming heb gegeven? Voorwaar, dit is zeker een list die jullie beraamd hebben in de stad om de inwoners ervan te verdrijven. Maar straks zullen jullie weten (wat de gevolgen van jullie daden zijn).
124_00	Ik zal zeker jullie handen en voeten kruiselings afhouwen en vervolgens zal ik jullie zeker allen kruisigen."
125_00	Zij (de voormalige tovenaars) zelden: "Voorwaar, tot onze Heer keren wij terug.
126_00	En jij neemt slechts wraak op ons, omdat wij in de Tekenen van onze Heer geloofden toen deze tot ons kwamen. Onze Heer, schenk ons geduld en doe ons sterven als mensen die zich (aan U) hebben overgegeven."
127_00	En de vooraanstaanden van het volk van Fir'aun zeiden: "Laat u Môesa en zijn volk verderf op aarde zaaien en u en uw goden v
127_01	erlaten?" Hij zei: "Wij zullen hun zonen doden en hun dochters in leven laten: en voorwaar, wij zijn oppermachtig over hen."
128_00	Môesa zei tot zijn volk: "Smeekt Allah om hulp en weest geduldig. Voorwaar, de aarde behoort aan Allah, Hij doet haar erven aan wie Hij wil van zijn dienaren. En de (goede) einde behoort aan de Moettaqôen.
129_00	Zij zeiden: "Wij werden gekweld v??r dat jij (Môesa) tot ons kwam en nadat jij tot ons bent gekomen."
129_01	Hij zei: "Hopelijk zal jullie Heer jullie vijanden vernietigen en jullie als opvolgers aanstellen op de aarde, opdat Hij zal aanschouwen hoe jullie handelen."
130_00	En voorzeker grepen Wij het volk van Fir'aun met jaren (van hongersnood) en tekorten aan oogstopbrengsten. Hopelijk zullen zij zich laten vermanen.
131_00	En wanneer dan het goede tot Hen kwam, zeiden zij: "Voor ons is dat (vanwege onze inspaningen)," maar wanneer het slechte hen treft, dan wijzen zij Môesa en degenen met hem aan als brengers van het noodlot.
131_01	Wet: hun noodlot is slechts bij Allah, maar de meesten van hen weten het niet.
132_00	Zij zeiden: "Met wat voor Tekenen jij ook tot ons komt om ons daarmee te betoveren, wij zullen daardoor niet in jou zeloven."
133_00	Daarop zonden Wij tot hen de overstroming, en sprinkhanen, en luizen, en kikkers en bloed, als duidelijke Tekenen, maar zij toonden zich hoogmoedig en zij waren een misdadig volk.
134_00	En toen de plaag ben overviel, zeiden zij: "O Môesa, roep jou Heer aan krachtens het verbond dat jij met Hem hebt.
134_01	Als jij de plaag van ons wegneemt, dan zullen wij zeker in jou geloven en dan zullen wij de Kinderen van Israël zeker met jou sturen."
135_00	En toen Wij de plaag van hen hadden weggenomen, voor een vastgestelde termijn die zij bereikten, toen breken zij hun woord.
136_00	Wij vergolden hun toen doordat Wij hen verdronken in de zee omdat zij Onze Tekenen loochenden en zij ze niet in acht plachten te nemen.
137_00	En aan het volk dat onderdrukt was geweest, deden Wij gebieden ten Oosten en ten Westen van het land erven, die Wij zegenden.
137_01	En het mooie Woord van jouw Heer werd bewaarheid voor de Kinderen van Israël omdat zij geduldig waren geweest. En Wij verwoestten wat Fir'aun en zijn volk hadden gemaakt en wat zij plachten te bouwen.
138_00	En Wij brachten de Kinderen van Israël naar de overkant van de zee.
138_01	En toen zij een volk ontmoetten dat opging in het vereren van hun afgodsbeelden, zeiden zij: "O Môesa, maak voor ons een god zoals hun goden." Hij zei: "Voorwaar, jullie zijn een onwetend volk."
139_00	Voorwaar, van dezen zal hetgeen waar zij in opgaan vernietigd worden, en wat zij plachten te doen bleek valsheid te zijn.
140_00	Hij zei: "Zou ik voor jullie een god naast Allah zoeken, terwijl Hij jullie heeft bevoorrecht boven de werelden?""
141_00	En (gedenkt) toen Wij ben redden van de volgelingen van Fir'aun, zij kwelden jullie met de ergste bestraffing; zij doodden jullie zonen en lieten jullie dochters in leven.
141_01	En daarin was een geweldige beproeving van jullie Heer.
142_00	En Wij beloofden Môesa (een periode van) dertig dagen en Wij vervolmaakten deze met tien (dagen), zo werd de afgesproken termijn met zijn Heer vervolmaakt: veertig nachten.
142_01	En Môesa zei tot zijn broeder Hârôen: "Vervang mij bij mijn volk, en verbeter en volg niet het pad van de verderfzaaiers."
143_00	En toen Môesa op de met Ons afgesproken tijd was gekomen en zijn Heer tot hem had gesproken, zei hij: "Mijn Heer, Toon U aan mij." Hij zei: "Jij zult Mij nimmer (kunnen)
143_01	zien, maar kijk naar de berg, als deze op zijn plaats blijft, dan zul je Mij zien." En toen zijn Heer zich aan de berg zichtbaar maakte, maakte Hij deze tot pulver, en
143_02	Môesa viel bewusteloos ter aarde. En toen hij weer bij bewustzijn was gekomen, zei hij: "Heilig bent U, ik wend mij berouwvol tot U en ik ben de eerste van de gelovigen."
144_00	Hij (Allah) zei: "O Môesa. voorwaar, Ik heb jou uitverkoren beven de (andere) mensen, door middel van Mijn Boodschap aan jou en Mijn ij Woord. Neem dan wat Ik aan jou heb gegeven (de Taur?t) en behoor tot de Dankbaren."
