001_00	Ha Mîm.
056_00	Voorwaar, degenen die over de Verzen van Allah redetwisten zonder een bewijs dat tot hen is gekomen: in hun harten is niets dan hoogmoed waardoor zij het (doel) niet bereiken.
056_01	Zoek daarom je toevlucht tot Allah: voorwaar, Hij is de Alhorende, de Alziende.
057_00	De Schepping van de hemelen en de aarde is zeker groter dan de schepping van de mens, maar de meeste mensen weten het niet.
058_00	En de blinde en de ziende (van hart) zijn niet gelijk, en zij die geloven en goede werken verrichten zijn niet gelijk aan de kwaaddoeners. Gering is de lering die jullie eruit trekken.
059_00	Voorwaar, het Uur zal zeker komen, daaraan is geen twijfel, maar de meeste mensen geloven niet
060_00	En jullie Heer zei: "Roept Mij aan, Ik zal jullie verhoren. Voorwaar, degenen die te hoogmoedig zijn om Mij te dienen zullen de Hel binnengaan als vernederden."
061_00	Allah is Degene Die voor jullie de nacht heeft gemaakt opdat jullie er in zullen rusten en de dag als verlichter. Voorwaar, Allah is de zeker de Bezit ter van de Gunst voor de mensen, maar de meeste mensen zijn niet dankbaar.
062_00	Dat is Allah, jullie Heer, de Schepper van alle dingen, geen god is er dan Hij. Waarom worden jullie dan belogen?
063_00	Zo worden degenen die de Verzen van Allah plachten te ontkennen belogen.
064_00	Allah is Degene Die voor jullie de aarde tot een stevige plaats heeft gemaakt en de hemel tot een gewelf. En Hij heeft jullie gevormd en jullie vormen geschikt gemaakt en Hij heeft jullie van de goede dingen voorzien.
064_01	Dat is Allah jullie Heer. Gezegend zij daarorn Allah, de Heer der Werelden.
065_00	Hij is de Levende, geen god is er dan Hij. Roept Hem daarom aan, Hem zuiver aanbiddend. Alle lof zij Allah, de Heer der Werelden.
066_00	Zeg (O Moehammad): "Voorwaar, het is mij verboden dat ik degenen aanbid die jullie naast Allah aanroepen, nadat de bewijzen van mijn Heer tot mij zijn gekomen. En mij is bevolen om mij over te geven aan de Heer der Werelden.
067_00	Hij is Degene Die jullie uit aarde heeft geschapen, daarna uit een druppel, daarop uit een bloedklonter, vervolgens deed Hij jullie naar buiten komen als een kind.
067_01	Om jullie daarna jullie volwassenheid te doen bereiken, om jullie tenslotte oud te doen worden. En onder jullie zijn er die eerder overlijden, opdat jullie de vastgestelde tijd zullen bereiken. En hopelijk zullen jullie het begrijpen.
068_00	Hij is Degene Die doet leven en doet sterven. En wanneer Hij een zaak heeft bepaald, dan zegt Hij er slechts tegen: "Wees," en het is.
069_00	Zie jij niet dat degenen die over de Verzen van Allah redetwisten afgeleid (van de Waarheid) zijn?
070_00	(Zij zijn) degenen die het Boek en hetgeen waarmee Wij de Boodschappers hebben gezonden loochenden. Zij zullen het weten.
071_00	Wanneer de ketenen en de kettingen om hun nekken hangen worden zij gesleept.
072_00	In het kokende water. vervolgens worden zij in de Hel verbrand.
073_00	Daarna wordt tot hen gezegd: "WAAr zijn (de afgoden) die jullie toegekend hebben?
074_00	Naast Allah?" Zij zullen zeggen: "Zij zijn van ons verdwenen. Wij plachten voorheen zelfs niets aan te roepen." Zo doet Allah de ongelovigen dwalen.
075_00	(Er wordt gezegd:) "Dat was omdat jullie op aarde zonder recht blij plachten te leven en omdat jullie arrogant leefden.
076_00	Gaat de poorten van de Hel binnen, eeuwig levend daarin. Slecht is dan de verblijfplaats van de hoogmoedigen."
077_00	Wees daarom geduldig: voorwaar, de belofte van Allah is waar. Of Wij jou (Moehammad) nu een gedeelte van wat Wij hen hebben aangezegd laten zien (het is hoe dan ook terecht). Of dat Wij jou wegnemen: tot Ons zullen zij dan terugkeerd worden.
078_00	En voorzeker, Wij hebben v??r jou Boodschappers gezonden. Over sommigen van hen hebben Wij jou verteld en over sommigen hebben Wij jou niet verteld.
078_01	Fn het paste een Boodschapper niet om met een Teken te komen zonder de toestemming van Allah. Wanneer dan het bevel van Allah is gekomen, dan wordt er volgens de Waarheid bepaald. En dan verliezen de opstandigen.
079_00	Allah is Degene Die voor jullie het vee heeft gemaakt om erop te rijden en ervan te eten.
080_00	En voor jullie zijn er baten in. En zodat jullie dàt door middel van hen zullen bereiken, waar in jullie harten behoefte aan is. En op hen en op de schepen worden jullie gedragen.
081_00	En Hij laat jullie Zijn Tekenen zien. Welke van de Tekenen van Allah ontkennen jullie dan?
082_00	Reizen zij dan niet op aarde en zien zij dan niet wat het einde was van degenen v??r hen?
082_01	Zij waren met meer dan zij en zij overtroffen hen in macht en in gebouwen op de aarde. Maar wat zij hadden verworven, baatte hun niet.
083_00	En toen hun Boodschappers tot hen kwamen met de duidelijke bewijzen, waren zij blij met wat bij ben was aan kennis. Maar dat waar zij de spot mee plachten te drijven omsingelde hen.
084_00	En toen zij Onze straf zagen, zeiden zij: "Wij geloven in Allah, de Enige. En wij geloven niet in wat wij aan Hem plachten toe te kennen.
085_00	Maar hun geloof baatte hun niet toen zij Onze bestraffing zagen. Dat is de handelwijze van Allah, die reeds voor Zijn dienaren was. En de ongelovigen verloren toen.
