001_00	Kâf Ha Ya 'Ain Shâd,
026_00	Dus eet en drink en verkoel jouw ogen. Maar als jij iemand ziet, zeg dan: "Voorwaar, ik heb de Barmhartige belooft te vasten, dus zal ik vandaag tot geen mens spreken."
027_00	Toen ging zij naar haar volk, hem ('Isa) dragend. Zij zeiden: "O Maryam, jij hebt iets vreemds gedaan.
028_00	O zuster van Hârôen, jouw vader was geen slechte man en jouw moeder was geen onzedelijke vrouw."
029_00	Daarop wees zij naar hem. Zij zeiden: "Hoe kunnen wij spreken met een baby, die nog als kind in de wieg ligt?"
030_00	Hij ('Isa) zei: "Voorwaar, ik ben een dienaar van Allah. Hij heeft mij de Schrift gegeven en mij tot een Profeet gemaakt.
031_00	En Hij heeft mij gezegend waar ik ook ben en Hij heeft mij bevolen de shalât te verrichten en de zamt (te betalen), zolang ik leef.
032_00	En om goed te zijn voor mijn moeder. En Hij heeft mij niet als een arrogante ongehoorzame gemaakt.
033_00	Vrede zij met mij op de dag dat ik geboren werd en op de dag dat ik sterf en op de dag dat ik tot leven word opgewekt."
034_00	Dat is 'Isa, zoon van Maryam, het Woord van Waarheid waaraan zij twijfelen.
035_00	Het is niet passend voor Allah om een zoon te hebben, Heilig is Hij, als Hij iets bepaalt, zegt Hij er slechts tegen: "Wees," en het is.
036_00	(Zeg:) "En voorwaar, Allah is mijn Heer en jullie Heer: dus aanbidt Hem, dit is het rechte Pad."
037_00	Maar de groepen verschilden onderling van mening; dus wee hen die niet geloven getuige te zijn van de geweldige Dag.
038_00	Hoeveel beter zullen zij luisteren en hoeveel scherper zullen zij zien op de Dag dat zij tot Ons zullen komen! Maar de onrechtvaardigen verkeren in duidelijke dwaling.
039_00	En waarschuw hen voor de Dag van spijt, wanneer de zaak bepaald is; zij zijn onachtzaam en zij geloven niet.
040_00	Voorwaar, Wij erven de aarde en een ieder die zich daarop bevindt. En tot Ons zullen zij weerkeren.
041_00	En vertel (O Moehammad) in het Boek over lbrâhîm: hij was waarheidsgetrouw, een Profeet.
042_00	(Gedenk) toen hij tot zijn vader zei: "O mijn vader, waarom aanbidt u iets dat niet hoort, niet ziet en u niets baat?
043_00	O mijn vader, er is waarlijk kennis tot mij gekomen, die niet tot u kwam. Dus volg mij, dan leid ik u op het rechte Pad.
044_00	O mijn vader, gehoorzaam de Satan niet: voorwaar, de Satan is opstandig tegen de Barmhartige.
045_00	O mijn vader, ik ben bang dat een bestraffing van de Barmhartige u zig treffen, dan zal u een helper van de Satan worden."
046_00	Hij zei: "Haatjij mijn poden. O (Ibrâhîm? Als jij niet ophoudt, zal ik jou zeker stenigen. Ga bij mij vandaan voor een lange tijd."
047_00	Hij (Ibrâhîm) zei: "Vrede zij met u, ik zal vergeving voor u vragen bij mijn Heer: voorwaar, Hij is altijd mild voor mij.
048_00	En ik zal weggaan van jullie en van wat jullie naast Allah aanbidden. En ik zal bij mijn Heer smeken, moge ik niet teleurgesteld zijn in mijn smeekbeden aan mijn Heer."
049_00	En toen hij van hen wegging en van wat zij naast Allah aanbaden, schonken Wij hem Ishâq en Ya'qôeb en Wij maakten leder van hen een Profeet.
050_00	En Wij schonken hun van Onze Barmhartigheid en Wij maakten hen geëerd, verheven.
051_00	En vertel (O Moehammad) in het Boek over Môesa: hij was een uitverkorene en hij was een Boodschapper, een Profeet.
052_00	En Wij riepen hem van de rechterzijde van (de berg) Thôer en Wij brachten hem dichterbij Ons, zachtjes smekend.
053_00	En Wij schonken hem van Onze Barnhartigheid zijn broeder Hârôen, een Profeet.
054_00	En vertel in het Boek over Ismâ'îl: hij was trouw aan zijn beloften en hij was een Boodschapper, een Profeet.
055_00	En hij placht zijn familie de shalât en de zakât te bevelen en hij vond welbehagen bij zijn Heer.
056_00	En vertel in het Boek over Isrîs: hij was een oprechte, een Profeet.
057_00	En Wij verhieven hem in een verheven positie.
058_00	Zij zijn degenen die Allah begenadigd heeft onder de Profeten van de nakomelingen van Adam en degenen die Wij met Nôeh (in de ark) droegen en onder de nakomelingen van Ibrâhîm en Isrâ'îl en onder hen die Wij geleid en uitgekozen hebben.
058_01	Wanneer aan ben de Verzen van de Barmhartige worden voorgedragen, buigen zij knielend neer en huilen.
059_00	Maar na ben volgden andere generaties, die de shalât achterwege lieten en de begeerten volgden. Daarom zullen zij verlies tegemoet zien.
060_00	Behalve wie berouw toont en gelooft en goede daden verricht. Zij zijn het die het Paradijs zullen binnentreden en hun zal geen onkel onrecht aangedaan worden.
061_00	Tuinen van 'Adn (het Paradijs) die de Barmhartige aan zijn dienaren in het onwaarneembare beloofde. Voorwaar, (de vervulling van) Zijn belofse vindt zeker plaats.
062_00	Zij zullen daarin geen onzinnige gesprekken horen, maar slechts 'Vrede' en daarin is voor hen levensonderhoud, 's ochtends en 's avonds.
063_00	Dat is het Paradijs dat Wij Onze dienaren die (Allah) vrezen doen erven.
064_00	Wij (Engelen) dalen slechts op bevel van jouw Heer neer. Aan Hem behoort alles wat voor ons is en wat achter ons is en wat ertussen is. En jouw Heer is niet vergeetachtig.
065_00	(Hij is de) Heer van de hemelen en de aarde en wat ertussen is: aanbid Hem daarom, en wees geduldig in het aanbidden van Hem. Ken jij iemand die am Hem gelijkwandig is?"
066_00	En de mens zegt: "Is het waar dat als ik sterf, ik zeker tot leven zal worden opgewekt?"
067_00	Herinnert de mens zich niet dat Wij hem eerder geschapen hebben, toen hij niets was?
068_00	Daarom, bij jouw Heer, Wij zullen hen en de Satans zeker verzamelen. Vervolgens zullen Wij ten zeker rondom de Het brengen, knielend.
069_00	Dan zullen Wij uit elke groep degenen plukken, die het meest in opstand kwamen tegen de Barmhartige.
070_00	Dan zullen Wij zeker degenen gekend doen worden, die het meest verdienen daarbinnen te gaan.
071_00	En er is niemand onder jullie of hij treedt daar binnen. Het is van jouw Heer een als onafwendbaar vastgesteld besluit.
072_00	Dan zuilen Wij hen redden die (Allah) vreesden, en Wij laten de onrechtplegers er in achter, knielend.
073_00	En wanneer Onze duidelijke Verzen aan hen worden voorgedragen, zeggen degenen die ongelovig zijn tegen degenen die gelovig zijn: "Welke van de twee groepen is op een betere plaats en in een beter gezelschap?"
074_00	En hoeveel generaties hebben Wij niet v??r hen vernietigd, die beter toegerust waren en (mooier in) verschijning.
075_00	Zeg (O Moehammad): "Wie in dwaling verkeert: de Barmhartige laat voor hem de termijn verlengen, tot wanneer zij zien wat hun aangezegd was: ?f de bestraffing, ?f het Uur;
075_01	dan zullen zij weten wie er slecht of is wat betreft plaats, en zwakker is wat betreft een helper."
076_00	En Allah zal voor degenen die Leiding volgen dt Leiding vemeerderen; en de blijvende goede daden zijn heter bij jouw Heer wat betreft beloning en beter wat betreft de terugkeer.
077_00	Heb jij degene gezien, die niet in Onze Tekenen gelooft, en zegt: "Aan mij zullen zeker bezit en zonen gegeven worden"?
078_00	Heeft hij het onwaarneembare gezien of heeft hij een verbond gesloten met de Barmhartige?
079_00	Welnee, Wij zullen opschrijven wat hij zeg en Wij verlengen de duur van de bestraffing voor hem.
080_00	En Wij zullen erven wat hij opnoemt en hij zal alleen tol Ons komen.
081_00	En zij hebben goden naast Allah genomen, opdat zij voor hen een medestander zijn.
082_00	Zeker niet, zij zullen hun aanbidding verwerpen en tegenstanders van hun zijn.
083_00	Zie jij niet dat Wij de Satans gestuurd hebben naar de ongelovigen om hen tot wanorde op te stoken?
084_00	Vraag daarom niet (O Moehammad) om bespoediging voor hen: voorwaar, Wij stellen voor ben hun tijd nauwkeurig vast.
085_00	Op die Dag zullen Wij de Moeftaqôen voor de Barmhartige verzamelen als afgevaardigen.
086_00	En Wij zullen de misdadigers naar de Hel drijven, opgedreven (als vee).
087_00	Zij hebben geen macht tot voorspraak, behalve wie iuet de Barmhartige een verbond heeft gesloten.
088_00	En zij zeiden: "De Barmhartige heeft Zich een zoon genomen."
089_00	Voorzeker, jullie zijn met iets verwerpelijks gekomen.
090_00	De hemelen staan daardoor op het punt om open te barsten en de aarde om open te splijten en de bergen om uiteen te vallen!
091_00	Omdat zij een zoon toeschrijven aan de Barmhartige.
092_00	Het is niet passend voor de Barmhartige om Zich een zoon te nemen.
093_00	En er is niemand in de hemelen of (op) de aarde of bij zal als een dienaar naar de Barmhartige komen.
094_00	Voorzeker, Hij heeft hun aantal het beste berekend en Hij heeft hun aantal nauwkeurig vastgesteld.
095_00	leder van ben zal op de Dag der Opstanding alleen tot Hem komen.
096_00	Voorwaar, degenen die geloven en goede werken verrichten: de Barmhartige zal hen liefde schenken.
097_00	Voorwar, Wij hebben hem gemakkelijk in jouw taal (O Moehammad) gemaakt opdat jij er goede tijdingen mee brengt aan de Moettaqôen en liet twistende volk er mee waarschuwt.
098_00	En hoeveel generaties v??r hen hebben Wij niet vernietigd? Zie jij ook maar één van hen of hoor je hun zacht gefluister?
