001_00	O mensen, vreest jullie Heer. Voorwaar, de beving van het Uur zal een geweldige zaak zijn.
040_02	En Allah zal zeker hen helpen die Item (Zijn godsdienst) helpen. Voorwaar, Allah is zeker Sterk, Geweldig.
041_00	(Zij zijn) degenen die, als Wij hen macht geven op aarde, de shalât onderhouden en de zakât betalen en het goede bevelen en het verwerpelijke verbieden. En het einde van alle zaken rust bij Allah.
042_00	En wanneer zij jou loochenen (O Moehammad): waarlijk, het volk van Nôeh en de 'Ad en de Tsamôcd loochenden (hun Profeten) v??r hen.
043_00	En het volk van Ibrâhîm en het volk van Lôeth.
044_00	En de bewoners van Madyan. En Môesa werd geloochend. Toen gaf Ik uitstel aan de ongelovigen, vervolgens bestrafte Ik hen. En hoe was mijn afkeuring?
045_00	En hoeveel steden hebben Wij niet vernietigd omdat zij onrecht pleegden waarop zij tot de bodem toe geruïneerd zijn? En (hoeveel) bronnen die verwaarloosd zijn en hoge kastelen (zijn er niet verlaten)?
046_00	Hebben zij dan niet rondgereisd op de aarde, zodat zij harten kregen om te begrijpen of oren om mee te horen?
046_01	Voorwaar, de ogen zijn niet blind, maar de harten in hun binnengen zijn blind.
047_00	En zij vragen jou om de bestraffing te bespoedigen, Allah zet zijn belofte nooit breken. En voorwaar, één dag bij jouw Heer is als duizend jaren, zoals jullie berekenen.
048_00	En hoeveel steden heb ik geen uitstel gegeven, terwijl zij onrecht pleegden, waarna Ik hen bestrafte. En tot Mij is de terugkeer.
049_00	Zeg (O Moehammad): "O mensen, voorwaar, ik ben slechts een duidelijke waarschuwer voor jullie."
050_00	Degenen die geloven en goede daden verrichten, voor hen is er vergeving en een weldadige voorziening.
051_00	En degenen die proberen Onze Verzen te ontkrachten: zij zullen de bewoners van Djahîm (de Hel) zijn."
052_00	En Wij hebben geen enkele Boodschapper of Profeet v??r jullie gestuurd zonder dat, wanneer hij (de Koran) voordroeg, de Satan iets in zijn voorlezing wierp, maar Allah heft wat de Satan erin wierp op.
052_01	Vervolgens bevestigt Allah Zijn Verzen. En Allah is Alwetend, Alwijs.
053_00	Zodat Hij wat de Satan inwerpt als een beproeving maakt voor degenen in wiens harten er een ziekte is en wiens harten verhard zijn. En voorwaar, de onrerhtvaardigen zijn sterk vijandig.
054_00	En zodat degenen die kennis gegeven is, zullen weten dat het de Waarheid van jouw Heer is, zodat zij erin geloven en zij hun harten aan Hem onderwerpen.
054_01	En voorwaar, Allah zal de gelovigen zeker leiden op een recht Pad.
055_00	Maar degenen die niet geloven zullen erover in twijfel blijven, totdat het Uur onverwachts tot hen komt of de bestraffing van een ellendige Dag hen treft.
056_00	De heerschappij op die Dag behoort aan Allah. Hij zal tussen hen oordelen. Daarop zullen degenen die geloven en gmde daden verrichten in de Tuinen van gelukzaligheid (het Paradijs) zijn.
057_00	En degenen die niet geloven en Onze Verzen loochenen: zij zijn degenen voor wie er een vernederende bestraffing is.
058_00	En degenen die op de Weg van Allah uitwijken en vervolgens gedood worden of sterven. Allah zal hen zeker voorzien van een goede voorziening. Voorwaar, Allah is de Beste van de Voorzieners.
059_00	Hij zal hen zeker een plaats laten binnengaan, die hen behaagt. Voorwaar, Allah is zeker Alwetend, Zachtmoedig.
060_00	Zo is het. En wie straft met het gelijke van dat waar hij mee gestraft is en dan opnieuw onrechtvaardig behandeld wordt: Allah zal hen zeker helpen. Voorwaar, Allah is zeker Vergevend, Vergevensgezind.
061_00	Dat is omdat Allah de nacht doet overgaan in de dag en de dag doet overgaan in de nacht. En omdat Allah zeker Alhorend, Alziend is.
062_00	Dat is omdat Allah de Waarheid is en omdat wat zij naast Hem aanroepen vals is en omdat Allah de Verhevene, de Grootste is.
063_00	Zie jij niet dat Allah water uit de hemelen doet neerdalen? Zo wordt de aarde groen. Voorwaar, Allah is zeker Zachtmoedig, Alwetend.
064_00	Aan Hem behoort wat er in de hemelen en op de aarde is. En voorwaar, Allah is zeker de Behoefteloze, de Geprezene.
065_00	Zie jij niet dat Allah alles op de aarde en de schepen die over de zeeën rondvaren op zijn bevel aan jullie dienstbaar heeft gemaakt? En dat Hij de hemelen weerhoudt op de aarde te vallen, alleen maar door Zijn toestemming?
065_01	Voorwaar, Allah is voor de mensen zeker Zachtmoedig, Meest Bamhartig.
066_00	En Hij is het Die jullie doet leven en dan doet sterven en jullie vervolgens doet leven. Voorwaar, de mens is zeker ondankbaar.
067_00	Voor iedere gemeenschap hebben Wij godsdienstige gebruiken vastgesteld, die zij moeten volgen. Laat hen daarom niet met jou over de zaak twisten, en roep op tot jouw Heer: voorwaar, jij volgt zeker rechte Leiding.
068_00	En als zij met jou twisten zeg dan: "Allah weet beter wat jullie doen."
069_00	Allah zal op de Dag der Opstanding onder jullie oordelen over dat waarover jullie plachten te redetwistten.
070_00	Weet jij niet dat Allah weet wat er in de hemelen en op de aarde is? Voorwaar, dat is in een Boek (Lauhoelmahfôezh). Voorwaar, dat is voor Allah gemakkelijk.
071_00	En zij aanbidden naast Allah dat waarover Hij geen bewijs neergezonden heeft en waarover zij geen kennis hebben. En voor de onrechtplegers zal ef geen helper zijn.
072_00	En wanneer de duidelijke Verzen aan hen worden voorgedragen herken jij op de gezichten van de degenen die ongelovig zijn de afkeuring. Zij staan op het punt om degenen die Onze Verzen aan hen voordragen aan te vallen.
072_01	Zeg (O Moehammad): "Zal ik jullie op de hoogte brengen van wat slechter dan dat is? De Hel! En Allah beloofde die aan degenen die ongelovig zijn, en dat is een slechte bestemming."
073_00	O mensen! Er wordt eren vergelijking gemaakt, luistert ernaar! Voorwaar, degenen die jullie naast Allah aanroepen zullen nooit een vlieg kunnen scheppen, al kwamen zij daarvoor allen bijelkaar!
073_01	En als de vlieg iets van hen zou weggrissen, kunnen zij het niet van hem terugpakken. Zwak is hij die er naar zoekt en het gezochte!
074_00	Zij schatten Allah niet op de Zijn ware nucht in. Voorwaar, Allah is zeker Sterk, Machtig.
075_00	Allah kiest uit de Engelen gezanten en uit de mensen (Boodschappers). Voorwaar, Allah is Alhorend, Alziend.
076_00	Hij weet wat v??r hen is en wat achter hen is en tot Allah worden alle zaken teruggebracht.
077_00	O jullie die geloven: buigt en knielt en aanbidt jullie Heer en doet het goede. Hopelijk zullen jullie welslagen.
078_00	En streeft naar Allah volgens het streven waar Hij rechtop heeft. Hij heeft jullie uitgekozen en Hij heeft het jullie in de godsdienst niet moeilijk gemaakt: (volgt) de godsdienst van jullie vader Ibrâhîm.
078_01	Hij is degene die jullie Moslims genoemd heeft, vroeger en hierin (de Koran): opdat de Boodschapper getuige is voor jullie en opdat jullie getuigen zijn voor de mensen.
078_02	Onderhoudt dus de shalât en geeft de zakât en houdt jullie vast ma Allah, Hij is jullie Meester: de beste Meester en de beste Helper!
