001_00	(De Koran) is de neerzonding van het Boek van Allah, de Almachtige, de Alwijze.
053_00	Zeg: "O mijn dienaren die buitensporig zijn tegenover zichzelf, wanhoopt niet aan de Genade van Allah.
053_01	Voorwaar, Allah vetgeeft alle zonden. Voorwaar, Hij is de Vergevensgezinde, de Meest Barmhartige.
054_00	En keert terug tot jullie Heer, en geeft jullie over aan Hem voordat de bestraffing tot jullie komt waarna jullie niet geholpen worden.
055_00	En volgt op de beste wijze wat aan jullie is neergezonden van jullie Heer, voordat de bestraffing onverwacht tot jullie komt, terwijl jullie het niet beseffen."
056_00	Zodat er voor geen ziel aanleiding zal zijn om te zeggen: "O wat heb ik een spijt omdat ik nalatig ben geweest (in mijn plicht) jegens Allah, hoewel ik tot de spotters behoorde."
057_00	Of zij zou zeggen: "Als Allah mij had geleid, dan zou ik zeker tot de Moettaqôen hebben behoord!"
058_00	Of zij zou zeggen, toen zij de bestraffing zeg: "Had ik (nog) een kans, dan zou ik tot de weldoeners behoren!"
059_00	Nee! Mijn Tekenen zijn reeds tot jou gekomen, maar jij loochende ze en jij was hoogmoedig en jij behoorde tot de ongelovigen.
060_00	En op de Dag der Opstanding zal jij degenen zien die over Allah hebben gelogen, hun gezichten zullen zwart zijn. Is de Hel geen verblijfplaats voor de hoogmoedigen?
061_00	En Allah zal degenen die (Hem) vreesden redden vanwege hun overwinning, het slechte zal hen niet treffen, en zij zullen niet bedroefd zijn.
062_00	Allah is de Schepper van alle dingen. Hij is over alle dingen Toezichthouder.
063_00	Aan Hem behoren de sleutels van de hemelen en de aarde. En degenen die de Verzen van Allah verwerpen: zij zijn degenen die verliezers zijn.
064_00	Zeg (O Moehammad): "Bevelen jullie mij om anderen dan Allah te aanbidden, O jullie enwetenden?"
065_00	Terwijl reeds aan jou en aan degenen v??r jou is geopenbaard: "Als jij deelgenoten toekent, dan zullen jouw werken vruchteloos worden en zet jij zeker tot de verliezers behoren."
066_00	Nee, aanbid daarom Allah en behoor tot de dankbaren.
067_00	En zij achten Hem niet met de achting die Hem toekomt, terwijl Hij de gehele aarde in zijn greep heeft op de Dag van de Opstanding en de hemelen in Zijn Rechterhand opgerold zullen zijn.
067_01	Heilig is Hij en Verheven boven wat zij toekennen.
068_00	En er zal op de bazuin geblazen worden, waarop allen die in de hemelen en op de aarde zijn bezwijken, behalve (voor) wie Allah wil (dat deze blijft leven). En er zal nog een keer op de bazuin worden geblazenen dan zullen zij staan en wachten.
069_00	En de aarde zal schijnen met het licht van haar geer en de boeken zullen naar voren gebracht worden en de Profeten en de getuigen zullen naar veren gebracht worden en er zal tussen hen in Waarheid beslist worden en hun zal geen onrecht aangedaan worden.
070_00	En iedere ziel zal volledig vergolden worden voor wat zij heeft verricht En Hij weet het beste wat zij gedaan hebben.
071_00	En degenen die ongelovig waren zullen in menigten naar de Hel gevoerd worden. Totdat, wanneer zij bij haar zijn aangekornen, haar poorten geopend zullen worden
071_01	en haar bewakers tot hen zullen zeggen: "Zijn er geen Boodschappers van jullie volk tot jullie gekomen, die jullie de Verzen van jullie Heer hebben voorgedragen
071_02	en die jullie hebben gewaarschuwd voor deze Dag van jullie?" Zij zullen zeggen: "Welzeker, maar het woord van de bestraffing is bewaarheid voor de ongelovigen."
072_00	Er wordt gezegd: "Gaat de poorten van de Hel binnen, daarin eeuwig levend. Dat is de slechtste plaats voor de hoogmoedigen.
073_00	En degenen die hun Heer vreesden zullen in menigten naar het Paradijs worden gevoerd, totdat, wanneer zij bij haar zijn aangekomen en haar poorten geopend zullen worden. En haar bewakers tot hen zullen zeggen: "Salâmoen 'alaikoem.
073_01	(Vrede zij met jullie) Jullie hebben goed gchandeld, treedt binnen, eeuwig levend."
074_00	En zij zullen zeggen: "Alle lof zij Allah Die Zijn belofte aan ons heeft vervuld en Die ons de aarde heeft doen erven. En wij verblijven in het Paradijs zoals wij willen." Het is de beste beloning voor de verrichters van het goede.
075_00	En jij (O Moehammad) zal de Engelen zien rondgaan om de Troon, de Glorie van hun heer lofprijzend met de lofprijzing die Hem toekomt. En er zal in Waarheid tussen hen worden beslist en er zal gezegd worden: "Alle lof zij de Heer der Werelden."
